duration,director_facebook_likes,actor_1_facebook_likes,genres,actor_1_name,facenumber_in_poster,content_rating,title_year,imdb_score
106,212,578,Action|Drama|Thriller|War,Joaquim de Almeida,2,PG-13,2001,6.4
114,89,836,Comedy|Music,Pink,2,R,2010,6.4
106,23,1000,Comedy|Drama|Romance,Lisa Ann Walter,2,PG-13,2004,6.1
108,287,4000,Action|Adventure|Comedy|Family|Sci-Fi,Kirsten Dunst,0,PG-13,1998,6.1
98,20,2000,Action|Horror,Michael Jai White,0,R,1997,5.2
131,58,15000,Action|Adventure|Drama|Romance|Thriller,Henry Cavill,1,PG-13,2002,7.7
118,65,11000,Crime|Drama|Thriller,Matthew McConaughey,1,R,2011,7.3
113,174,14000,Action|Mystery|Thriller,Liam Neeson,3,PG-13,2011,6.9
130,22000,23000,Drama|Mystery|Sci-Fi|Thriller,Christian Bale,1,PG-13,2006,8.5
116,51,18000,Comedy|Crime,Kevin Spacey,7,R,2014,6.3
89,7,3000,Adventure|Animation|Comedy|Family|Sci-Fi,Brendan Fraser,2,PG,2013,5.9
139,0,708,Action|Adventure|Drama|Thriller,Rudy Youngblood,0,R,2006,7.8
130,46,387,Action|Adventure|Thriller,Joe Don Baker,1,PG,1987,6.7
107,190,2000,Action|Adventure|Sci-Fi|Thriller,Topher Grace,0,R,2010,6.4
116,425,954,Comedy|Crime|Romance,Brian Dennehy,3,PG,1986,5.9
96,192,40000,Mystery|Thriller,Johnny Depp,1,PG-13,2004,6.6
99,18,18000,Drama|Fantasy|Romance,Keanu Reeves,0,PG,2006,6.8
104,34,545,Horror|Mystery|Thriller,Gena Rowlands,0,PG-13,2005,6.5
105,54,3000,Comedy|Drama|Family|Fantasy,Jennifer Garner,0,PG,2012,6.6
101,10,1000,Comedy|Romance,Busy Philipps,2,PG-13,2008,5.8
134,16000,880,Biography|Drama|Music|Musical,Johnny Cannizzaro,1,R,2014,6.9
135,0,13000,Crime|Drama|Thriller,Matt Damon,1,PG-13,1997,7.1
98,326,21000,Horror|Mystery|Thriller,Robert Downey Jr.,1,R,2003,5.8
155,14000,12000,Drama|History,Anthony Hopkins,2,R,1997,7.2
106,323,472,Adventure|Drama|Romance,Lorraine Bracco,2,PG-13,1992,6.0
102,25,1000,Action|Horror|Sci-Fi|Thriller,Sam Trammell,0,R,2007,4.7
95,80,3000,Comedy|Family,Macaulay Culkin,1,PG,1994,5.2
103,643,24000,Drama|Romance,J.K. Simmons,2,PG-13,2000,5.5
95,30,799,Comedy|Music|Romance,Brad Garrett,4,PG-13,2007,6.5
109,99,176,Adventure|Comedy|Sci-Fi,Bobby Lee,0,R,2011,7.0
95,98,405,Comedy|Drama,Miriam Margolyes,1,PG-13,2012,5.8
111,0,2000,Horror|Mystery,Alison Brie,0,R,2011,6.2
123,541,12000,Mystery|Thriller,Nicolas Cage,1,R,1999,6.5
140,0,720,Biography|Drama|Music|Musical,Michael Wincott,1,R,1991,7.2
94,52,683,Comedy,James Wilcox,2,R,2014,5.1
94,0,374,Comedy|Drama,Adam Arkin,3,PG-13,2000,4.7
92,77,703,Horror,Emma Bell,0,R,2011,5.9
102,6,711,Comedy|Crime|Romance,Jeanne Tripplehorn,1,PG-13,1999,5.8
123,75,18000,Drama,Kevin Spacey,2,PG-13,2000,7.2
104,101,787,Comedy|Drama|Romance|Sport,Jimmy Fallon,1,PG-13,2005,6.2
30,,51,Animation|Comedy|Family,Bruce Dinsmore,0,TV-Y,,7.4
102,65,1000,Comedy|Drama,Lisa Ann Walter,1,PG-13,2008,5.7
136,3000,14000,Comedy|Western,Liam Neeson,3,R,2014,6.1
93,85,924,Action|Adventure|Crime|Fantasy|Mystery|Thriller,Jonathan Winters,0,PG-13,1994,6.0
129,335,15000,Adventure|Drama|Mystery,Tom Hanks,1,PG-13,2011,6.9
107,50,293,Comedy|Drama|Romance,Noah Bean,0,PG-13,2010,6.5
117,260,1000,Biography|Crime|Drama|Music,50 Cent,0,R,2005,5.0
116,18,2000,Action|Adventure|Crime|Thriller,Michael Biehn,0,R,2000,5.7
135,0,3000,Drama|Musical|Romance,Rosario Dawson,1,PG-13,2005,7.0
107,55,3000,Crime|Drama|Horror|Thriller,Rufus Sewell,0,R,2000,5.1
90,39,607,Comedy,Oliver Hudson,2,PG-13,1999,5.3
99,287,10000,Horror|Sci-Fi|Thriller,Marlon Brando,2,PG-13,1996,4.4
104,0,964,Action|Adventure|Romance,Catherine Deneuve,0,PG-13,2001,4.7
115,56,20000,Biography|Drama|History|Romance,Natalie Portman,3,PG-13,2008,6.7
119,7,18000,Drama|Romance,Keanu Reeves,1,PG-13,2001,6.7
99,81,327,Horror|Thriller,Stephen Rea,0,R,2007,5.7
112,17000,22000,Crime|Drama|Romance|Thriller,Robert De Niro,0,R,1973,7.4
128,545,783,Comedy|Drama,Ed Begley Jr.,1,PG-13,1994,6.1
112,118,877,Action|Crime|Drama|Thriller,Jordi Mollà,0,PG-13,2011,6.4
86,7,10000,Adventure|Animation|Comedy|Drama|Family|Fantasy|Musical,Gary Oldman,0,G,1998,6.2
108,105,22000,Crime|Drama|Mystery|Thriller,Robert De Niro,1,R,2002,6.2
128,34,978,Drama|Romance,Mira Sorvino,1,PG-13,1999,5.9
84,33,1000,Action|Comedy|Crime,Dane Cook,0,PG-13,2004,4.0
111,17,14000,Drama|Thriller,Al Pacino,2,R,1996,6.2
131,719,16000,Drama,Bobbie Phillips,0,NC-17,1995,4.6
123,0,4000,Biography|Drama|History|Romance,Kirsten Dunst,1,PG-13,2006,6.4
101,58,12000,Action|Crime|Thriller,Nicolas Cage,3,R,1995,5.9
102,19,13000,Action|Crime|Drama|Thriller,Sylvester Stallone,1,R,2000,5.1
114,171,6000,Drama|Thriller,Naomi Watts,0,PG-13,2012,7.6
107,124,636,Action|Adventure|Comedy|Music|Thriller,Carol Kane,2,PG-13,1987,4.2
87,0,13000,Adventure|Animation|Comedy|Crime|Family,Bill Murray,0,PG,2009,7.8
103,65,11000,Comedy|Romance,Angelina Jolie Pitt,2,PG-13,2002,5.8
99,0,782,Comedy|Romance|Sci-Fi|Thriller,Richard Epcar,2,PG-13,1992,5.9
122,0,326,Comedy|Romance,Mathieu Kassovitz,0,R,2001,8.4
91,29,976,Comedy|Crime|Family|Romance,Mary-Kate Olsen,1,PG,2004,4.8
103,14,865,Comedy|Drama|Romance,Omar Epps,4,R,2004,6.2
107,42,875,Biography|Drama|Romance,Ted Danson,3,PG,2012,6.5
106,22,2000,Drama,Alexa PenaVega,1,PG-13,1999,6.3
101,37,2000,Crime|Horror|Thriller,Natascha McElhone,1,R,2002,3.3
109,80,14000,Action|Adventure|Fantasy|Thriller,Josh Hutcherson,3,PG-13,2009,5.9
110,118,11000,Drama|Horror|Sci-Fi|Thriller,Daniel Radcliffe,2,PG-13,2015,6.0
89,0,1000,Comedy,Justin Theroux,0,PG-13,2003,5.8
100,92,1000,Comedy|Drama|Music,Bernie Mac,2,R,2008,6.5
119,5,521,Action|Adventure|Drama|Thriller,M. Emmet Walsh,0,PG,1980,4.7
83,7,2000,Action|Sci-Fi,Michael Jai White,0,R,1999,4.1
108,22,12000,Action|Horror|Mystery|Sci-Fi|Thriller,Norman Reedus,0,R,2009,6.8
102,39,1000,Drama|Mystery|Sci-Fi|Thriller,Gary Dourdan,4,R,2001,6.2
93,18,3000,Action|Adventure|Thriller,Rufus Sewell,0,PG-13,2002,4.5
84,8,545,Comedy|Fantasy|Sci-Fi,Bridgette Wilson-Sampras,3,PG-13,2001,5.8
107,0,11000,Adventure|Sci-Fi|Thriller,Chris Evans,0,R,2007,7.3
91,48,61,Comedy|Drama,John Gatins,8,PG-13,2012,5.9
94,0,795,Adventure|Animation|Comedy|Fantasy|Romance,Eric Idle,1,PG,2008,4.4
115,180,1000,Action|Crime|Drama|Mystery|Thriller,Ray Winstone,0,R,2015,5.8
93,13,15000,Action|Adventure|Family|Thriller,Alex Pettyfer,3,PG,2006,5.1
105,154,884,Drama|Mystery|Thriller,Sarah Roemer,0,PG-13,2007,6.9
107,34,11000,Comedy|Crime|Drama|Thriller,Angelina Jolie Pitt,1,PG-13,1995,6.2
101,47,499,Adventure|Comedy|Drama|Romance|Thriller|War,James Brolin,2,R,2007,6.9
111,0,1000,Comedy|Fantasy,Jennifer Jason Leigh,2,PG,1994,7.3
113,31,5000,Action|Drama|History|Romance|War,Jet Li,2,R,2007,7.1
112,44,1000,Drama|History|War,Jay Hernandez,0,R,2005,6.0
126,584,11000,Action|Drama|Sci-Fi|Thriller,Chris Evans,5,R,2013,7.0
90,10,1000,Adventure|Animation|Comedy|Fantasy|Music|Romance,Adam Goldberg,0,PG,2011,6.8
93,23,2000,Comedy,Matthew Broderick,10,R,2004,5.7
98,295,720,Action|Drama|Fantasy,Michael Wincott,0,R,1994,7.6
159,50,218,Action|Adventure|Drama|Fantasy|War,Tamannaah Bhatia,1,,2015,8.4
107,124,152,Drama|Fantasy|Romance|Sci-Fi,Arliss Howard,1,PG-13,2009,7.1
102,36,747,Comedy|Romance,Colin Ferguson,1,PG-13,2007,5.6
106,357,23000,Action|Crime|Thriller,Paul Walker,2,PG-13,2001,6.7
87,13000,940,Animation|Comedy|Family|Horror|Sci-Fi,Martin Landau,0,PG,2012,7.0
119,0,2000,Action|Adventure|Sci-Fi|Thriller,Adam Baldwin,0,PG-13,2005,8.0
110,534,865,Biography|Drama|Romance|Sport,Omar Epps,2,PG-13,2004,5.3
125,44,593,Action|Comedy|Sci-Fi,Margot Kidder,1,PG,1983,4.9
113,88,22000,Comedy|Sport,Robert De Niro,1,PG-13,2013,6.4
150,610,755,Action|Adventure|Drama|History|War,Takeshi Kaneshiro,4,R,2008,7.4
108,72,982,Comedy|Romance,Ethan Embry,1,PG-13,2002,6.1
96,126,18000,Comedy|Romance,Gerard Butler,2,R,2009,6.5
93,36,592,Comedy,Austin Pendleton,2,PG,1996,5.7
100,0,12000,Action|Adventure|Comedy|Family|Sci-Fi,Steve Buscemi,1,PG,2002,5.1
118,18,1000,Action|Adventure|Mystery|Sci-Fi|Thriller,LeVar Burton,0,PG,1994,6.6
122,0,643,Action|Biography|Drama,Tony Chiu Wai Leung,1,PG-13,2013,6.5
120,508,21000,Drama|Romance,Robert Pattinson,1,PG-13,2011,6.9
60,,23000,Comedy|Family|Sci-Fi,Joseph Gordon-Levitt,4,TV-PG,,7.8
88,0,76,Adventure|Animation|Family|Fantasy,Blythe Auffarth,0,,2014,6.4
146,278,18000,Biography|Drama|Sport,Denzel Washington,0,R,1999,7.6
115,150,970,Crime|Drama|Thriller,Bill Cobbs,1,PG-13,2002,5.6
123,7,931,Comedy|Crime|Romance,Sarah Silverman,3,PG-13,2001,6.2
94,99,598,Action|Comedy|Crime,D.B. Woodside,1,PG,2015,4.4
102,43,308,Drama|Romance,Sonia Braga,0,R,2001,5.6
98,11,854,Comedy|Drama,Jim Belushi,1,PG,2001,5.5
133,2000,40000,Mystery|Thriller,Johnny Depp,1,R,1999,6.7
118,150,24000,Crime|Drama|Mystery|Thriller,J.K. Simmons,0,R,1996,6.1
105,65,628,Drama|Music,Beth Grant,0,R,2001,6.2
109,304,940,Drama,Mo'Nique,0,R,2009,7.3
129,0,12000,Adventure|Drama,Jeff Bridges,4,PG-13,1996,6.6
109,0,957,Horror|Mystery|Sci-Fi,Wilford Brimley,0,R,1982,8.2
127,123,14000,Action|Sci-Fi|Thriller,Vin Diesel,0,R,2013,6.4
118,11,37,Crime|Mystery|Thriller,Gregory Scott Cummins,1,R,1997,6.4
110,49,1000,Action|Adventure|Drama|Thriller|Western,Tom Skerritt,2,PG-13,2001,5.2
90,27,13000,Adventure|Family|Fantasy|Sci-Fi,Bill Murray,0,PG,2008,6.5
144,0,378,Drama,Mike Howard,31,R,2012,7.1
97,2,4000,Adventure|Comedy|History|Romance,Hayden Christensen,2,R,2007,4.8
130,39,2000,Biography|Drama|Sport,Dennis Quaid,0,PG,2008,7.3
112,5,17000,Action|Adventure|Sci-Fi|Thriller,Chloë Grace Moretz,0,PG-13,2016,5.2
133,0,13000,Drama|Sport,Sylvester Stallone,1,PG-13,2015,7.7
150,0,10000,Crime|Drama|Thriller,Jeremy Renner,7,R,2010,7.6
110,52,10000,Comedy|Drama|Romance,Anna Kendrick,12,PG-13,2012,5.7
96,1000,24000,Comedy|Drama,J.K. Simmons,0,R,2008,7.0
96,3,18000,Adventure|Comedy|Family|Fantasy,Gerard Butler,3,PG,2008,6.0
123,2000,26000,Action|Biography|Drama|Sport,Chris Hemsworth,0,R,2013,8.1
188,0,786,Drama,Patton Oswalt,1,R,1999,8.0
107,0,13000,Action|Comedy|Crime,Bruce Willis,2,R,2010,5.6
110,11,2000,Comedy|Romance,Alison Brie,4,R,2016,6.1
113,188,11000,Drama|Family,Morgan Freeman,5,PG,2011,6.9
122,308,17000,Drama|Fantasy|Romance,Kristen Stewart,1,PG-13,2008,5.2
116,415,18000,Crime|Drama|Thriller,Denzel Washington,1,PG-13,2002,7.0
93,10,789,Action|Comedy|Crime|Thriller,Peter Greene,1,PG-13,1999,6.3
118,43,740,Comedy|Crime,Laura-Leigh,4,R,2013,7.0
115,35,463,Action|Adventure|Sci-Fi,Yuliya Snigir,0,,2009,5.3
93,84,551,Action|Crime|Drama|Mystery|Thriller,Kathleen Quinlan,0,R,1997,6.9
121,883,180,Action|Adventure|Thriller,Bernie Casey,3,PG,1983,6.2
101,38,496,Comedy|Sci-Fi,Charlie McDermott,8,R,2010,6.4
107,188,11000,Drama|Family,Morgan Freeman,0,PG,2014,6.4
124,287,9000,Action|Adventure|Crime|Drama|Family|Fantasy|Romance|Thriller,Charlize Theron,0,R,2000,5.7
109,473,14000,Action|Crime|Drama|Thriller,Vin Diesel,0,R,2003,6.1
105,488,15000,Comedy|Drama|Romance,Emma Stone,1,PG-13,2015,5.4
130,0,2000,Drama|History,Alexa PenaVega,0,PG-13,1996,6.7
127,96,746,Drama|Mystery|Romance|Thriller,Rick Yune,1,PG-13,1999,6.8
114,101,12000,Drama|Horror|Mystery|Thriller,Anthony Hopkins,1,PG-13,2011,6.0
106,487,685,Drama|Sci-Fi|Thriller,Blair Underwood,2,PG-13,1997,7.8
95,31,944,Biography|Comedy|Romance,Stockard Channing,0,R,2000,5.3
81,16,541,Adventure|Animation|Comedy|Family|Sci-Fi,Cheryl Hines,0,G,2008,4.5
95,0,1000,Comedy,Bernie Mac,1,PG-13,2003,5.4
108,480,14000,Comedy,Bradley Cooper,3,R,2009,7.8
105,25,461,Action|Biography|Drama|History,Mike Tyson,0,PG-13,2015,7.2
95,116,45000,Action|Adventure|Comedy|Crime,Muse Watson,1,PG-13,1999,6.6
126,13000,920,Action|Adventure,Michael Gough,0,PG-13,1989,7.6
102,596,877,Biography|Drama|War,Jordi Mollà,0,PG-13,2011,5.9
121,503,808,Action|Crime|Thriller,Rene Russo,2,R,1992,6.7
129,102,768,Biography|Drama|Sport,Catherine Dyer,0,PG-13,2009,7.7
43,,778,Action|Comedy|Crime,Jon Foo,2,TV-14,,5.8
88,0,2000,Action|Adventure|Comedy|Family|Sci-Fi,Alexa PenaVega,0,PG,2001,5.4
106,91,18000,Comedy|Crime,Kevin Spacey,5,R,2011,6.9
110,1000,13000,Adventure|Drama|Western,Matt Damon,0,PG-13,2010,7.7
109,64,11000,Comedy|Drama|Romance,Meryl Streep,0,PG-13,2006,6.8
143,338,12000,Adventure|Mystery|Sci-Fi,Leonard Nimoy,2,PG,1979,6.4
120,91,4000,Comedy|Crime,Jon Favreau,2,R,2013,5.7
128,17000,22000,Crime|Thriller,Robert De Niro,0,R,1991,7.3
123,126,18000,Crime|Drama|Thriller,Kevin Spacey,2,PG-13,2008,6.8
129,0,492,Comedy|Romance,Amy Schumer,1,R,2015,6.3
105,8,1000,Comedy|Romance,Bernie Mac,2,PG-13,2005,5.9
162,333,14000,Drama|Romance|War,Colin Firth,0,R,1996,7.4
138,161,18000,Crime|Drama|Mystery|Thriller,Kevin Spacey,2,R,1997,8.3
100,31,947,Adventure|Comedy|Family|Sci-Fi,Michael Angarano,3,PG,2005,6.2
90,0,19000,Comedy,Tom Selleck,0,PG-13,1997,6.3
108,79,900,Action|Horror|Sci-Fi|Thriller,Natasha Henstridge,0,R,1995,5.8
101,0,40000,Horror,Johnny Depp,1,X,1984,7.5
109,763,812,Horror|Sci-Fi|Thriller,Dylan Baker,1,R,2000,6.3
132,130,29000,Action|Adventure,Leonardo DiCaprio,1,PG-13,1998,6.4
