num_critic_for_reviews,actor_2_name,gross,genres,movie_title,facenumber_in_poster,plot_keywords,content_rating,title_year,actor_2_facebook_likes
47,Adam Butcher,795126,Comedy|Drama|Sport,Saint Ralph ,1,boston marathon|coma|marathon|miracles|running,PG-13,2004,259
88,Jessica Chastain,,Drama|Romance,Miss Julie ,2,kissing someone's boot|midsummer|telling someone to shut up|two word title|valet,PG-13,2014,0
41,Bill Erwin,,Drama|Fantasy|Romance,Somewhere in Time ,2,hotel|love|love across time|time travel|time travel romance,PG,1980,191
24,Bipasha Basu,563699,Action|Crime|Drama|Thriller,Dum Maaro Dum ,0,airport|drugs|loss of loved one|police|title based on song,R,2011,282
318,Barbara Hershey,83574831,Fantasy|Horror|Thriller,Insidious: Chapter 2 ,0,barricading a door|injection in leg|police detective|supernatural|taser,PG-13,2013,618
250,Tony Nappo,87025093,Horror|Mystery,Saw II ,0,death|detective|nerve gas|serial killer|trap,R,2005,654
411,John Gallagher Jr.,71897215,Drama|Horror|Mystery|Sci-Fi|Thriller,10 Cloverfield Lane ,0,alien|bunker|car crash|kidnapping|minimal cast,PG-13,2016,338
106,Steve-O,64267897,Comedy|Documentary,Jackass: The Movie ,0,alligator|golf|japan|panda|stunt,R,2002,362
159,Amiah Miller,56536016,Horror,Lights Out ,0,based on short film|reference to avenged sevenfold|reference to slayer|switching lights on and off|two word title,PG-13,2016,509
251,Sprague Grayden,104007828,Horror,Paranormal Activity 3 ,0,animate object|imaginary friend|reference to macgyver|whispering|woman wearing only a man's shirt,R,2011,438
183,Shelley Hennig,50820940,Fantasy|Horror,Ouija ,0,death of girlfriend|funeral|ghost|ouija|spirit,PG-13,2014,707
131,Heather Langenkamp,44793200,Action|Fantasy|Horror|Thriller,A Nightmare on Elm Street 3: Dream Warriors ,0,dream|freddy krueger|killer|nightmare|springwood ohio,X,1987,449
297,Allison Tolman,43771291,Mystery|Thriller,The Gift ,1,compulsive liar|fired from a job|gift|rape|substance abuse,R,2015,562
41,Jessica Lindsey,44456509,Comedy|Drama,Instructions Not Included ,1,father daughter relationship,PG-13,2013,89
248,Brendon Eggertsen,53884821,Horror,Paranormal Activity 4 ,0,boy in a bathtub|demon|laptop computer|pulled underwater|walking in the dark,R,2012,119
42,Jean Simmons,36000000,Drama|History,The Robe ,1,box office hit|crucifixion|nightmare|palestine|robe,Unrated,1953,422
33,Herbert Lom,,Comedy|Crime|Mystery,The Return of the Pink Panther ,0,clouseau|diamond|panther|pink|pink panther,G,1975,278
91,Tom Arnold,34872293,Comedy|Fantasy|Horror|Thriller,Freddy's Dead: The Final Nightmare ,0,dark comedy|dream|freddy krueger|nightmare|serial murder,R,1991,618
185,Bruce Dern,34468224,Biography|Crime|Drama|Thriller,Monster ,2,beach|female criminal|hooker|lesbian|prostitute,R,2003,844
69,Robert J. Wilke,,Adventure|Drama|Family|Fantasy|Sci-Fi,20,000 Leagues Under the Sea ,0,captain|expedition|sea|submarine|whale,Approved,1954,53
220,Gloria Sandoval,32453345,Fantasy|Horror|Thriller,Paranormal Activity: The Marked Ones ,0,apartment|blood|demonic possession|neighbor|pentagram,R,2014,358
117,Anne Bancroft,,Biography|Drama,The Elephant Man ,1,curiosity|exploitation|freak|hospital|physical deformity,PG,1980,754
471,Jennifer Garner,27296514,Biography|Drama,Dallas Buyers Club ,0,drugs|fda|gay community|hiv|homophobia,R,2013,3000
152,Mark Duplass,25799043,Horror|Sci-Fi|Thriller,The Lazarus Effect ,0,electrocuted|experiment|hell|serum|university,PG-13,2015,830
274,Thomas Lennon,25530884,Mystery|Thriller,Memento ,0,flashback|memory|murder|short term memory|telephone,R,2000,651
336,Rory Cochrane,27689474,Horror|Mystery,Oculus ,0,home office|mirror|released from a mental hospital|trauma|video camera,R,2013,407
174,Jason Mewes,24138847,Comedy,Clerks II ,3,fast food|fast food restaurant|new jersey|quick stop|restaurant,R,2006,898
151,Gary Lewis,21994911,Drama|Music,Billy Elliot ,0,audition|ballet|boxing|miner|miners strike,R,2000,203
276,Liam James,21501098,Comedy|Drama,The Way Way Back ,1,awkward boy|shy kid|summer|vacation|water park,PG-13,2013,468
12,Tisha Campbell-Martin,19281235,Comedy|Drama|Music|Romance,House Party 2 ,0,college|misogyny|money|new friend|party,R,1991,413
18,Jack Thompson,,Adventure|Drama|Family|Romance|Western,The Man from Snowy River ,0,australia|brumby|ranch|stallion|twin,PG,1982,155
28,Constance Shulman,19421271,Animation|Comedy|Family,Doug's 1st Movie ,1,dance|friend|monster|reference to batman|valentine,G,1999,804
95,Todd Allen,20733485,Drama,The Apostle ,1,church|louisiana|minister|preacher|texas,PG-13,1997,130
74,Xander Berkeley,,Biography|Drama,Mommie Dearest ,1,abusive mother|adopted daughter|borderline personality disorder|perfection|sadistic cruelty,R,1981,485
179,Adam Scott,24809547,Comedy|Drama,Our Idiot Brother ,1,art model|farmer|jail|nude model|three sisters,R,2011,3000
125,Tony Curran,19097994,Biography|Drama|Sport,Race ,0,1930s|athlete|nazi germany|olympics|track and field,PG-13,2016,845
22,Monica Calhoun,23031390,Comedy|Drama,The Players Club ,9,catfight|dominatrix|rape|spanking|stripper,R,1998,597
92,Andrew Keegan,16017403,Drama|Romance|Thriller,O ,2,basketball|basketball player|boarding school|love|shakespeare's othello,R,2001,835
196,Edwin Hodge,21197315,Horror|Mystery|Thriller,As Above, So Below ,0,archeologist|catacomb|found footage|paris france|philosopher's stone,R,2014,200
9,Cameron Mills,17382982,Drama|Thriller,Addicted ,0,adultery|attraction|lust|obsession|temptation,R,2014,694
31,Lynn Whitfield,14821531,Drama,Eve's Bayou ,2,doctor|louisiana|secret|title directed by female|witchcraft,R,1997,434
309,Hunter Parrish,18656400,Drama,Still Alice ,1,alzheimer's disease|bechdel test passed|linguistics professor|new york city|reference to angels in america the play,PG-13,2014,2000
15,Peter Ustinov,,Drama|History,The Egyptian ,0,afterlife|egypt|pharaoh|princess|pyramid,Approved,1954,440
36,Lindsay Wagner,,Action|Crime|Thriller,Nighthawks ,2,bomb|new york city|partner|shooting|terrorist,R,1981,970
129,Peter Mark Richman,14343976,Adventure|Horror,Friday the 13th Part VIII: Jason Takes Manhattan ,0,cult film|friday the thirteenth|hockey mask|jason voorhees|murder spree,R,1989,120
168,Louis Mandylor,241437427,Comedy|Family|Romance,My Big Fat Greek Wedding ,3,baptism|greek|greek restaurant|prejudice|travel agency,PG,2002,312
444,Heather Morris,14123773,Crime|Drama,Spring Breakers ,4,kissing a dead body|repeated dialogue|sex in pool|spring break|twins,R,2012,892
123,Kim Darby,15126948,Horror|Thriller,Halloween: The Curse of Michael Myers ,0,halloween|michael myers|nudity|returning character with different actor|slasher flick,R,1995,152
173,Daniel Giménez Cacho,13622333,Adventure|Comedy|Drama|Romance,Y Tu Mamá También ,1,beach|cleaning a swimming pool|male male kiss|mexico|on the road,R,2001,43
246,Dylan Moran,13464388,Comedy|Horror,Shaun of the Dead ,6,british horror|pub|record collection|zombie|zombie apocalypse,R,2004,427
74,Randy Wayne,13350177,Drama|Horror|Thriller,The Haunting of Molly Hartley ,5,18th birthday|birthday|community center|resurrection|teenager,PG-13,2008,984
68,Clifton James,13269963,Drama|Mystery,Lone Star ,2,father son relationship|interracial relationship|neo western|sheriff|texas,R,1996,189
144,Kathleen Kinmont,17768000,Horror|Thriller,Halloween 4: The Return of Michael Myers ,0,halloween|michael myers|murder|niece|october,R,1988,120
96,Deborah Foreman,12947763,Horror|Mystery,April Fool's Day ,0,april fool's day|island|mansion|psycho|secret,R,1986,190
42,Daniel Stern,14100000,Comedy|Drama,Diner ,6,baltimore colts|diner|marriage|salesman|wedding,R,1982,796
29,William Sanderson,12200000,Action|Crime|Drama|Thriller|Western,Lone Wolf McQuade ,0,drugs|martial arts|texas|texas ranger|weapon,PG,1983,400
228,Ryan Robbins,17683670,Horror|Mystery|Sci-Fi|Thriller,Apollo 18 ,0,cosmonaut|footprint|found footage|moon|secret mission,PG-13,2011,270
195,Mary Lynn Rajskub,12055108,Comedy|Drama,Sunshine Cleaning ,0,business|crime scene cleanup|private school|school|sister sister relationship,R,2008,934
203,Claire Geare,27285953,Action|Thriller,No Escape ,0,asia|fictional country|hotel|rebellion|revolution,R,2015,78
44,John Amos,,Action|Adventure|Fantasy,The Beastmaster ,0,breasts|critically acclaimed|female frontal nudity|psychotronic film|sword and sorcery,PG,1982,982
14,George Sanders,,Drama|History|Romance|War,Solomon and Sheba ,2,king|pharaoh|queen|queen of sheba|tribe,,1959,333
59,Mike Epps,11675178,Comedy,Fifty Shades of Black ,4,color in title|parody|reference to cuba gooding jr|reference to netflix|written by star,R,2016,706
45,Jenifer Lewis,10572742,Drama|Romance,Not Easily Broken ,1,african american protagonist|based on novel|title spoken by character,PG-13,2009,578
42,Helen Hayes,,Drama|Romance|War,A Farewell to Arms ,1,1910s|ambulance driver|italy|lake|nurse,Unrated,1932,164
12,Brandy Norwood,9658370,Comedy|Romance,The Perfect Match ,6,,R,2016,509
29,Colleen O'Shaughnessey,9628751,Action|Adventure|Animation|Family|Sci-Fi,Digimon: The Movie ,0,based on video game|box office hit|computer|digimon|internet,PG,2000,45
121,Patrick Fugit,8786715,Comedy|Drama,Saved! ,5,christian|jewish|pastor|school|virginity,PG-13,2004,835
135,Stéphane Rousseau,3432342,Comedy|Crime|Drama|Mystery|Romance,The Barbarian Invasions ,2,cancer|dying|friend|money|socialist,R,2003,28
27,Denholm Elliott,,Adventure|Drama|Romance,Robin and Marian ,10,crusades|friar|robin hood|sheriff|sheriff of nottingham,PG,1976,249
56,Kerr Smith,6755271,Horror|Thriller,The Forsaken ,4,flashing breasts|hitchhiker|vampire|vampire hunter|virus,R,2001,591
22,Carl Weathers,,Action|Drama|War,Force 10 from Navarone ,2,colonel|mission|partisan|spy|traitor,PG,1978,794
59,Gedde Watanabe,6157157,Comedy|Drama,UHF ,1,gambling|imagination|television|television station|tv show,PG-13,1989,448
61,Joel David Moore,6088249,Comedy,Grandma's Boy ,0,co worker|game tester|loss of virginity|roommate|snack,R,2006,936
60,Kevin Corrigan,5480318,Comedy|Drama,Slums of Beverly Hills ,0,flatulence|menstrual blood|nomad|nursing school|title directed by female,R,1998,778
164,Woody Strode,,Western,Once Upon a Time in the West ,1,gang|gun|harmonica|killing|woman in bathtub,PG-13,1968,423
81,Faizon Love,5308707,Comedy|Crime|Drama|Thriller,Made ,2,friendship|loudmouth|money laundering|new york city|stripper,R,2001,585
415,Matt Berry,5009677,Drama|Mystery|Sci-Fi,Moon ,0,computer|contract|earth|moon|solitude,R,2009,572
43,Jami Gertz,4328294,Comedy,Keeping Up with the Steins ,0,bar mitzvah|carried in a chair|hebrew|party|rite of passage,PG-13,2006,847
7,Guillaume Denaiffe,4074023,Documentary,Sea Rex 3D: Journey to a Prehistoric World ,0,3d|imax|plesiosaur|sea|water,,2010,0
120,Sarah Polley,4306697,Drama,The Sweet Hereafter ,0,anger|bus|child|lawyer|school,R,1997,900
195,Michael Lonsdale,3950029,Drama,Of Gods and Men ,0,catholic church|community|monastery|monk|terrorist,PG-13,2010,135
109,Freddy Rodríguez,4040588,Comedy|Drama,Bottle Shock ,0,airport|california|flat tire|overalls|wine,PG-13,2008,579
21,Tim Thomerson,,Comedy|Music|Sci-Fi,Jekyll and Hyde... Together Again ,0,breasts growing|coors light|drugs|hospital|spinning in grave,R,1982,162
93,Jed Brophy,3049135,Biography|Crime|Drama|Romance|Thriller,Heavenly Creatures ,2,fantasy life|friend|friendship|love|teenage crush,R,1994,433
12,Bobby Batson,4700361,Drama,90 Minutes in Heaven ,0,heaven|hospital|praying|pronounced dead|recovery,PG-13,2015,849
155,Scott Takeda,2711210,Comedy|Drama,Everything Must Go ,1,alcoholic|beer|bicycle|new neighbor|yard sale,R,2010,981
81,Ryan O'Neal,1980338,Comedy|Crime|Drama|Mystery|Thriller,Zero Effect ,2,blackmail|client|private detective|private investigator|tycoon,R,1998,385
204,Jennifer Jason Leigh,1082044,Drama|Thriller,The Machinist ,0,alienation|conscience|insomnia|paranoia|urban gothic,R,2004,1000
19,Jane Adams,1100000,Crime|Drama,Light Sleeper ,0,bare breasts|drugs|existentialism|new york city|redemption,R,1992,280
163,Paz Vega,2445646,Biography|Crime|Drama|Mystery|Thriller,Kill the Messenger ,1,based on true story|cia|cocaine|journalist|smear campaign,R,2014,963
248,Jon Tenney,2221809,Drama,Rabbit Hole ,0,car|comic book|comic book artist|iphone|memory,PG-13,2010,289
39,Mia Kirshner,296665,Biography|Crime|Drama|Thriller,Party Monster ,1,drug dealer|drugs|gay|homosexual|party,R,2003,971
322,Mark Webber,3219029,Crime|Horror|Music|Thriller,Green Room ,0,murder|neo nazi|punk band|skinhead|suspense,R,2015,442
50,Tim Russ,,Comedy|Drama|Romance,The Oh in Ohio ,0,marriage|orgasm|school|sex|swimming,R,2006,625
12,Greg Germann,830210,Drama|Mystery|Sci-Fi,Atlas Shrugged: Who Is John Galt? ,0,box office flop|critically bashed|economy|individual versus society|rescue,PG-13,2014,435
83,Darryl Cox,1040879,Comedy|Crime|Drama,Bottle Rocket ,0,caper|escapade|motel|robbery|texas,R,1996,96
37,Joe Mantegna,326308,Crime|Drama|Thriller,Albino Alligator ,3,bar|box office flop|hostage|new orleans louisiana|police,R,1996,1000
16,Bhoomika Chawla,240425,Biography|Drama|History,Gandhi, My Father ,0,africa|hindu|india|muslim|south africa,,2007,45
121,Megan Ambuhl Graner,228830,Crime|Documentary|War,Standard Operating Procedure ,0,abu ghraib|abuse|prison|slow motion|torture,R,2008,0
24,Don Gordon,,Drama,Out of the Blue ,1,explosion|hitchhiking|punk|trauma|truck driver,R,1980,59
324,Tyler Labine,223615,Comedy|Horror,Tucker and Dale vs Evil ,1,cabin|chainsaw|college kid|hillbilly|vacation,R,2010,779
27,Ellen Burstyn,124720,Drama|Romance,Lovely, Still ,0,christmas|fable|old man,PG,2008,1000
9,Paul Fix,,Adventure|Drama|Romance,Tycoon ,1,engineer|ethics|mountain|railroad|south america,Approved,1947,116
31,John Heard,99147,Drama,Desert Blue ,3,cola|desert|ice cream cone|teenage girl|vomiting,R,1998,697
35,Marc Trottier,,Comedy|Horror|Sci-Fi,Decoys ,0,breasts|campus|college|tentacle|virginity,R,2004,680
371,Patch Darragh,65069140,Horror|Thriller,The Visit ,,farm|handheld camera|impostor|rap|rock paper scissors,PG-13,2015,309
133,Daniel Stewart Sherman,65087,Crime|Thriller|War,Redacted ,0,blood splatter|iraq|murder|rape|soldier,R,2007,29
13,Jacqueline Bisset,16066,Mystery|Romance|Thriller,Fascination ,0,death|love|marriage|secret|suspicion,R,2004,522
9,Dylan Minnette,,Drama|Fantasy,Saving Grace             ,1,catholic|death row|inmate|oklahoma city|sexual promiscuity,TV-MA,,1000
56,Sandra Staggs,,Horror|Sci-Fi|Thriller,Area 51 ,0,alien|alien abduction|conspiracy|secret base|ufo,R,2015,21
191,Tony Corvillo,,Drama|Horror|Thriller,Sleep Tight ,0,apartment|concierge|girl|hitchcockian|stalking,Not Rated,2011,93
80,Doug Bradley,,Comedy|Crime|Horror|Thriller,The Cottage ,0,countryside|deformed|farmer|gangster|kidnapping,Unrated,2008,337
19,Callum Blue,,Comedy|Drama|Fantasy,Dead Like Me: Life After Death ,1,african american policeman|police|policeman|policewoman|vomiting,R,2009,738
19,John Stamos,,Animation|Comedy,Farce of the Penguins ,0,flatulence|march|penguin|south pole|spoof,R,2006,2000
,Patricia Neal,,Drama|Family|Music,Flying By ,6,,PG-13,2009,617
38,Dulé Hill,,Comedy|Crime|Mystery,Psych             ,2,best friend|friend|police|police department|psychic,TV-PG,,922
44,Felicity Huffman,37440,Comedy|Drama|Music,Rudderless ,1,demo tape|directed by cast member|grieving father|guitar|guitar player,R,2014,508
3,Cyndi Lauper,,Animation|Family,Henry & Me ,2,bare butt|baseball|children|new york yankees|surrealism,PG,2014,732
6,Jon Heder,,Comedy,Christmas Eve ,7,,PG,2015,970
,Esai Morales,,Crime|Drama|Thriller,We Have Your Husband ,1,abduction|based on true story|mexico,TV-PG,2011,699
64,Irène Jacob,,Drama|Thriller,Dying of the Light ,1,cia|individualism|mental illness|religion|revenge,R,2014,316
8,Sofia Black-D'Elia,,Action|Drama|Thriller|War,Born of War ,3,fight|mina|murder|revenge|terrorist,R,2014,266
64,Sam Waterston,,Action|Sci-Fi|Thriller,Capricorn One ,0,astronaut|hoax|journalist|mission|nasa,PG,1977,849
2,Natasha Henstridge,,Comedy|Drama,Should've Been Romeo ,15,,,2012,900
,Cody Howard,,Family,Running Forever ,2,,,2015,763
35,Haley Joel Osment,,Comedy|Fantasy|Horror|Thriller,Yoga Hosers ,7,part of trilogy|second part,PG-13,2016,3000
21,Michael Dudikoff,,Action|Horror,Navy Seals vs. Zombies ,1,building|infection|navy seal|shot through the head|zombie,,2015,615
99,Ivan Barnev,617228,Comedy|Drama|Romance|War,I Served the King of England ,1,hotel|legs|lingerie|waiter|wealth,R,2006,12
115,Moritz Bleibtreu,274385,Comedy|Drama,Soul Kitchen ,3,2000s|burglar|chef|cook|restaurant,,2009,486
104,Dwight Yoakam,24475416,Drama,Sling Blade ,0,friend|mental institution|murder|repair shop|small town,R,1996,324
195,Imelda Staunton,,Horror|Thriller,The Awakening ,1,boarding school|boy|british horror|ghost|school,R,2011,579
303,Takashi Miike,47277326,Horror,Hostel ,0,bratislava|hostel|sadistic horror|torture|travel,R,2005,1000
122,Shirley Henderson,1247453,Comedy|Drama,Tristram Shandy: A Cock and Bull Story ,0,actor playing himself|battle|boots|penis|womb,R,2005,887
359,Shea Whigham,1729969,Drama|Thriller,Take Shelter ,0,ambiguous ending|firefly|mysterious event|schizophrenia|storm,R,2011,463
130,Lukas Haas,1705139,Fantasy|Horror|Mystery|Thriller,Lady in White ,0,1960s|boy|ghost|murder|small town,R,1988,733
64,Julie Walters,238774,Comedy|Drama,Driving Lessons ,0,actress|coming of age|retired actress|teenage boy|vomiting,PG-13,2006,838
13,Greg Grunberg,,Comedy|Crime,Let's Kill Ward's Wife ,2,apology|death|group of friends|sex|toilet,Unrated,2014,833
159,Lou Perryman,8025872,Comedy|Horror,The Texas Chainsaw Massacre 2 ,3,chainsaw|chainsaw murder|human monster|music score composed by director|obscene finger gesture,X,1986,28
54,Bob Dylan,,Biography|Drama|Romance|Western,Pat Garrett & Billy the Kid ,0,bare breasts|flogging|human branding|man slaps a woman|manhunt,R,1973,476
440,Kristin Scott Thomas,778565,Crime|Drama,Only God Forgives ,1,brutal cop|drug dealer|punishment|thai boxing|vengeance,R,2013,1000
7,Isild Le Besco,,Drama,Camping sauvage ,0,cabin|girl fight|jealousy|sailing boat|tent,,2005,40
4,Kate del Castillo,,Comedy,Without Men ,6,bare chested male|journalist|passion|pregnancy|woman in underwear,R,2011,345
1,Diganth,,Comedy|Romance,Barfi ,2,,,2013,0
96,Sharon Small,1340891,Drama|Romance,Dear Frankie ,0,boy|dock|letter|seaside|stranger,PG-13,2004,66
8,Gary Farmer,,Western,All Hat ,2,contemporary west|cowboy|horse|jockey|neo western,R,2007,580
87,Jacques Gamblin,513836,Comedy|Drama|Romance,The Names of Love ,1,activist|promiscuous daughter|promiscuous woman|sex in a bed|voyeurism,R,2010,52
10,Douglas Smith,,Comedy|Drama,Treading Water ,1,,,2013,480
121,Elena Anaya,434417,Drama,Savage Grace ,1,incest|male nudity|older man younger woman relationship|orgasm|son murders mother,Not Rated,2007,1000
43,Matthew Sunderland,728,Crime|Drama,Out of the Blue ,0,true crime,,2006,10
45,Bubba Smith,81200000,Comedy,Police Academy ,0,misfit|police|police academy|police cadet|police officer,R,1984,760
36,Christopher Atkins,,Adventure|Drama|Romance,The Blue Lagoon ,0,coming of age|island|poison|teenage boy|teenage girl,R,1980,511
84,James Fleet,52700832,Comedy|Drama|Romance,Four Weddings and a Funeral ,4,1990s|chick flick|funeral|gay relationship|wedding,R,1994,398
118,Judge Reinhold,,Comedy|Drama,Fast Times at Ridgemont High ,1,break up|california|high school|surfer|teacher,X,1982,901
42,Richard Basehart,,Adventure|Drama,Moby Dick ,0,obsession|revenge|ship|whale|whaling,Unrated,1956,169
202,Rosario Dawson,13060843,Drama,25th Hour ,0,bar|dream|drug dealing|nightclub|widower,R,2002,3000
5,Indiana Evans,,Crime|Drama,Secrets and Lies             ,0,,,,560
120,Kevin Michael Richardson,3798532,Crime|Drama|Romance|Thriller,Bound ,0,gangster|lesbian|mafia|money|neo noir,R,1996,441
234,Mark Margolis,3609278,Drama,Requiem for a Dream ,0,addiction|diet pill|drug addiction|fast motion scene|heroin,R,2000,1000
17,Jeanne Crain,,Musical|Romance,State Fair ,2,fair|farm|iowa|newspaper|state fair,Approved,1945,135
35,Juan Luis Galiardo,1687311,Drama|Musical,Tango ,3,dancer|director|love|musical filmmaking|tango,PG-13,1998,26
48,John Savage,,Drama|History|Thriller|War,Salvador ,0,1980s|el salvador|political thriller|reagan administration|war journalism,R,1986,652
49,Sarah Drew,10429707,Comedy,Moms' Night Out ,,blogger|pastor|reference to the shawshank redemption|taser|tasered,PG,2014,416
283,Mary McDonnell,727883,Drama|Sci-Fi|Thriller,Donnie Darko ,1,1980s|death|insanity|parallel universe|time travel,R,2001,933
16,Gerardo Taracena,1391770,Adventure|Comedy|Western,Saving Private Perez ,6,conflicted hero|flashback|mission|rescue|rescue mission,PG-13,2011,154
54,Fedja van Huêt,713413,Crime|Drama|Mystery,Character ,1,bailiff|lawyer|office|police|school,R,1997,20
92,Nicholas Gonzalez,410241,Comedy|Crime|Drama,Spun ,0,male nudity|meth|meth lab|nudity|speed freak,R,2002,601
159,Shirley Henderson,278821,Comedy|Drama,Life During Wartime ,1,forgiveness|ghost|new jersey|pedophile|three sisters,R,2009,887
202,Yeong-ae Lee,211667,Crime|Drama,Lady Vengeance ,0,cake|christian|lesbian sex|oral sex|pregnant schoolgirl,R,2005,126
50,Clovis Fouin,706622,Biography|Drama|Music|Romance,Mozart's Sister ,2,mozart|musical prodigy|royal court|singer|talent,,2010,12
54,Jason Flemyng,92191,Comedy|Drama|Sport,Mean Machine ,1,inmate|prison|prison guard|soccer|soccer star,R,2001,1000
98,Anthony Chau-Sang Wong,49413,Action|Crime|Thriller,Exiled ,0,baby|friendship|macau|practical joke|selfie,R,2006,96
92,Dominique McElligott,199652,Action|Adventure|Western,Blackthorn ,0,assumed identity|bolivia|butch cassidy|doctor|thief,R,2011,356
112,Artyom Bogucharskiy,181655,Crime|Drama,Lilya 4-Ever ,1,abandoned by mother|poverty|sex trade|teenage prostitution|unpaid bill,R,2002,2
138,Josh Charles,108229,Drama|Horror|Mystery|Thriller,After.Life ,1,breath on mirror|buried alive|engagement ring|looking at one's self in a mirror|serial killer,R,2009,1000
9,Sana Saeed,,Drama|Thriller,Fugly ,4,,,2014,82
149,Michael Berryman,112000000,Drama,One Flew Over the Cuckoo's Nest ,0,1960s|escape|mental institution|nurse|sexuality,R,1975,721
5,Dove Cameron,,Comedy,R.L. Stine's Monsterville: The Cabinet of Souls ,3,cabinet|carnival|halloween|soul|temptress,PG,2015,570
39,Dom DeLuise,,Comedy|Romance,Silent Movie ,0,black comedy|friend|modern silent movie|silent movie|two word title,PG,1976,842
39,Sameer Ali Khan,,Action|Drama|History|Thriller|War,Airlift ,1,1990s|businessman|evacuation|historical fiction|kuwait,,2016,26
2,Jonathan Crombie,,Drama|Family,Anne of Green Gables             ,0,girl|heroine|kindred spirit|orphan|rural setting,TV-G,,517
29,Michael J. Morris,8691,Action|Adventure,Falcon Rising ,1,,R,2014,298
111,Ray Winstone,26345,Action|Crime|Drama,The Sweeney ,4,bank|criminal|detective|flying squad|policewoman,R,2012,1000
149,James Fox,6940281,Crime|Thriller,Sexy Beast ,6,boulder|gangster|one last job|spain|villa,R,2000,146
90,Fares Fares,188870,Action|Crime|Drama|Thriller,Easy Money ,1,double life|drugs|financial crisis|first part|serbian,R,2010,254
149,Rawiri Paratene,20772796,Drama|Family,Whale Rider ,1,girl|maori|new zealand|tradition|whale,PG-13,2002,20
12,Abhishek Bachchan,199228,Comedy|Drama,Paa ,0,adult actor playing minor|politician|progeria|reference to spiderman|school,,2009,374
64,Claude-Oliver Rudolph,,Mystery|Sci-Fi|Thriller,Cargo ,0,23rd century|lucid dream|outer space|space travel|trapped in space,,2009,9
256,Cara Delevingne,34964818,Adventure|Family|Fantasy,Pan ,4,1940s|child hero|fantasy world|orphan|reference to peter pan,PG,2015,559
57,Corbin Bleu,,Comedy|Drama|Family|Music|Musical|Romance,High School Musical ,0,audition|basketball|high school|singing|teenager,TV-G,2006,632
8,Daniella Alonso,,Crime|Drama,Animal Kingdom             ,0,based on film|brother brother relationship|crime family|remake|southern california,,,557
50,Maury Chaykin,2542264,Comedy|Drama,Love and Death on Long Island ,1,actor|love|obsession|obsessive love|star,PG-13,1997,232
232,Aleksey Chadov,1487477,Fantasy|Thriller,Night Watch ,0,battle|bridge|mother son relationship|supernatural power|vampire,R,2004,28
63,Miranda Richardson,62549000,Crime|Drama|Romance|Thriller,The Crying Game ,0,androgynous|full frontal male nudity|irish republican army|psychological drama|tragic love,R,1992,530
75,Susan Clark,105500000,Comedy,Porky's ,0,female full frontal nudity|revenge|school|sheriff|virginity,R,1981,95
274,Shawn Roberts,101055,Horror,Survival of the Dead ,0,delaware|feud|island|undead|zombie,R,2009,529
