num_critic_for_reviews,actor_1_facebook_likes,actor_3_name,facenumber_in_poster,budget,actor_2_facebook_likes
152,954,Hugh Dillon,1,20000000,739
105,978,Patrick Kilpatrick,2,30000000,968
36,4000,Will Patton,1,25000000,561
181,19000,Riley Smith,1,30000000,953
219,15000,Judy Greer,0,30000000,11000
158,14000,Deborah Kara Unger,1,30000000,975
155,10000,Sissy Spacek,4,35000000,9000
74,13000,Natasha Henstridge,5,40000000,2000
368,900,Delphine Chanéac,0,26000000,686
81,1000,Jordan Prentice,1,35000000,692
154,1000,Frank Grillo,0,30000000,807
140,849,Marcel Iures,0,30000000,787
73,372,Robert Costanzo,2,30000000,206
98,489,Mark Camacho,0,30000000,93
358,596,Sandra Vergara,1,30000000,343
222,23000,Wes Studi,0,30000000,909
85,811,Jürgen Prochnow,3,30000000,586
62,21000,Paul Guilfoyle,0,30000000,767
130,473,Randall Duk Kim,0,45000000,315
376,971,Christiana Leucas,2,45000000,236
130,22000,Munro Chambers,1,25000000,829
65,448,Terence Maynard,0,23000000,143
77,1000,Cheech Marin,0,30000000,857
107,11000,Lynda Boyd,3,30000000,329
292,10000,Verne Troyer,1,40000000,785
193,891,Paul Gross,2,,460
16,147,Björn Hlynur Haraldsson,0,,63
184,3000,David Costabile,3,30000000,697
123,779,Ned Bellamy,2,30000000,240
60,18000,Matthew Broderick,3,18000000,11000
111,22000,Treat Williams,8,30000000,683
217,3000,James Biberi,2,30000000,678
117,14000,Kris Marshall,3,18000000,871
105,2000,Tchéky Karyo,0,25000000,378
41,17000,Steve Howey,1,,2000
124,876,Lucy Boynton,1,30000000,142
90,489,Nicholas Tse,0,60000000,181
110,826,Sarah Carter,4,21000000,816
273,11000,Sam Shepard,0,30000000,10000
63,974,Jaycee Chan,0,18000000,643
56,295,Kad Merad,7,,71
130,26000,Jason Alexander,0,30000000,947
134,18000,Kathy Baker,1,30000000,1000
36,1000,James Corden,0,,898
46,113,Tyrone Keogh,1,30000000,11
7,922,Jemima West,4,24000000,919
132,963,Derek Jacobi,3,30000000,903
5,114,Sergey Garmash,1,30000000,35
56,1000,Chiara Caselli,0,30000000,794
65,11000,Anders Holm,0,19000000,4000
221,10000,Hana Mae Lee,8,29000000,1000
291,523,Tyler Hilton,0,28000000,405
13,757,Tom Noonan,0,,641
148,955,Anne Bancroft,3,30000000,869
42,1000,Mark Williams,0,29000000,409
302,2000,Oliver Platt,1,35000000,1000
181,504,Jennifer Hall,0,29000000,147
64,2000,Vincent Pastore,2,29000000,719
154,22000,Ben Falcone,1,29000000,779
17,18000,Penelope Wilton,0,29000000,427
65,11000,Mary McDonnell,4,28000000,1000
148,1000,Hannah Spearritt,0,12000000,857
161,1000,Angel Coulby,0,29000000,948
124,49000,Scott Weinger,0,28000000,2000
349,559,R. Marcos Taylor,0,28000000,427
148,11000,Kate Capshaw,2,28000000,429
45,971,Christine Cavanaugh,0,24000000,503
133,11000,Monica Potter,0,60000000,2000
87,11000,John Sessions,3,29000000,183
178,40000,Enrique Iglesias,1,29000000,4000
233,25000,Reginald VelJohnson,0,28000000,13000
173,833,Bobb'e J. Thompson,1,28000000,543
426,33000,Charlie Talbert,4,28000000,23000
210,579,Demetri Martin,12,30000000,489
129,639,Kenneth Mitchell,0,28000000,617
287,3000,Mekhi Phifer,0,26000000,2000
108,11000,Alex Rocco,2,35000000,2000
62,173,Haruma Miura,0,30000000,59
220,13000,Seymour Cassel,1,21000000,1000
136,1000,Jake Busey,0,30000000,872
222,22000,Romany Malco,2,28000000,11000
112,844,Desmond Llewelyn,1,28000000,402
122,11,Ann Talman,0,28000000,9
62,664,Gloria Reuben,1,27000000,655
135,14000,Will Ferrell,0,28000000,10000
184,576,Mimi Kirkland,0,28000000,447
36,580,Larry Bagby,0,28000000,336
171,943,Bob Balaban,2,28000000,763
447,553,Michael Rispoli,1,30000000,488
220,731,Fred Ward,3,28000000,579
122,18000,Jeri Ryan,0,28000000,1000
119,35000,Jennifer Garner,6,28000000,7000
177,422,Simon Woods,2,28000000,286
302,11000,M. Emmet Walsh,2,28000000,759
44,14000,Eric Stoltz,1,28000000,1000
211,933,Tómas Lemarquis,0,28000000,194
222,3000,Antoni Corone,4,21000000,327
100,497,Ben Chaplin,2,28000000,347
100,63,,0,160000000,3
98,806,Faizon Love,3,28000000,591
74,738,Ron Eldard,0,28000000,428
97,1000,George Lopez,4,28000000,626
21,1000,Kathleen Turner,3,28000000,937
156,26000,Natasha Henstridge,5,28000000,1000
125,1000,Scoot McNairy,2,28000000,962
225,2000,Sam Riley,0,28000000,860
85,2,Tencho Gyalpo,0,28000000,2
135,480,Fenella Woolgar,4,27000000,261
350,17000,Augustus Prew,0,28000000,927
31,10000,Eduardo Noriega,1,24000000,1000
177,23000,RZA,2,28000000,727
106,594,Steven Berkoff,0,27500000,303
251,11000,Charlyne Yi,2,30000000,985
148,673,Jeffrey Markle,2,30000000,489
76,940,Cedric the Entertainer,3,35000000,706
52,358,Art Malik,0,16000000,223
220,386,Shaun Parkes,0,15000000,99
131,24000,Meryl Streep,2,27500000,15000
7,766,Jake McDorman,2,,638
112,12000,Nichelle Nichols,0,30000000,1000
93,1000,Matthew Settle,4,27000000,482
370,19000,Garry Shandling,0,175000000,13000
83,11000,Tatyana Ali,1,27000000,956
125,1000,Ray Charles,1,27000000,809
73,953,Michael Rady,4,,713
98,1000,Jesse L. Martin,4,25000000,773
158,66,Peter McNicholl,0,30000000,5
152,1000,Ty Olsson,0,27000000,888
202,13000,Dorian Missick,3,27000000,11000
80,2000,Sam Shepard,0,27000000,826
288,898,Rafe Spall,3,30000000,584
99,523,Alan Oppenheimer,1,27000000,312
222,3000,Bruce Spence,1,27000000,882
194,3000,Charlotte Rampling,3,13500000,2000
15,491,Joyce Randolph,4,,154
56,303,Tim Rose,0,25000000,146
63,11000,Dwight Yoakam,4,27000000,597
167,14000,Vanesa Tomasino,1,27000000,716
101,748,William Mapother,0,27000000,489
118,1000,Sophie Okonedo,0,27000000,506
76,2000,Daryl Sabara,5,27000000,734
268,8000,Chris Bauer,1,27000000,698
95,783,Paul Barber,2,28000000,132
78,22000,Chris Bauer,1,15000000,22000
127,1000,Eion Bailey,0,27000000,968
137,22000,Kristen Stewart,1,25000000,18000
54,844,John Neville,4,23000000,766
38,5,Joseph Kaiser,1,27000000,4
167,567,Allen Covert,1,26000000,402
129,2000,Willie Garson,2,26000000,528
