director_facebook_likes,actor_2_name,actor_1_facebook_likes,num_voted_users,actor_3_name,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,language,content_rating,budget,title_year,actor_2_facebook_likes
456,Ophelia Lovibond,1000,29019,Anne-Marie Duff,1,http://www.imdb.com/title/tt1266029/?ref_=fn_tt_tt_1,75,English,R,,2009,548
603,Karl Malden,10000,78454,Kim Hunter,0,http://www.imdb.com/title/tt0044081/?ref_=fn_tt_tt_1,233,English,PG,1800000,1951,416
0,Slim Pickens,654,342585,Keenan Wynn,0,http://www.imdb.com/title/tt0057012/?ref_=fn_tt_tt_1,839,English,PG,1800000,1964,575
12,Ana Claudia Talancón,201,11088,Pedro Armendáriz Jr.,0,http://www.imdb.com/title/tt0313196/?ref_=fn_tt_tt_1,110,Spanish,R,1800000,2002,163
188,Gina Montana,2000,70336,Dwight Henry,0,http://www.imdb.com/title/tt2125435/?ref_=fn_tt_tt_1,269,English,PG-13,1800000,2012,458
88,Paul Williams,595,22764,Claude Akins,4,http://www.imdb.com/title/tt0069768/?ref_=fn_tt_tt_1,91,English,G,1800000,1973,356
9,David Patrick Kelly,767,2794,Jane Adams,1,http://www.imdb.com/title/tt0210299/?ref_=fn_tt_tt_1,78,English,PG-13,1800000,2000,380
0,Bill Irwin,553,2603,Michael Chernus,0,http://www.imdb.com/title/tt1562568/?ref_=fn_tt_tt_1,34,English,R,,2011,471
0,T.R. Silambarasan,141,563,Brahmanandam,2,http://www.imdb.com/title/tt3566698/?ref_=fn_tt_tt_1,6,Tamil,,150000000,2015,77
293,J.J. Abrams,16000,13223,Donald Trump,1,http://www.imdb.com/title/tt1743720/?ref_=fn_tt_tt_1,45,English,PG-13,1500000,2011,14000
0,Gary Farmer,12000,1435,Jon Gries,0,http://www.imdb.com/title/tt0106792/?ref_=fn_tt_tt_1,17,English,PG-13,1800000,1993,580
28,Lhakpa Dorji,0,1747,Sonam Kinga,0,http://www.imdb.com/title/tt0378906/?ref_=fn_tt_tt_1,28,Dzongkha,,1800000,2003,0
57,Bruce Dern,16000,25472,Alan Hale Jr.,3,http://www.imdb.com/title/tt0061747/?ref_=fn_tt_tt_1,109,English,M,1800000,1968,844
174,Jim Backus,2000,1756,Kim Hunter,0,http://www.imdb.com/title/tt0044533/?ref_=fn_tt_tt_1,28,English,,,1952,399
15,Tom Cavanagh,647,6267,Cas Anvar,0,http://www.imdb.com/title/tt0822858/?ref_=fn_tt_tt_1,103,English,R,1800000,2007,642
9,Luke Edwards,467,13,Bree Williamson,0,http://www.imdb.com/title/tt4058122/?ref_=fn_tt_tt_1,,English,,,2016,258
4,Keenan Tracey,433,761,Nicholas Carella,0,http://www.imdb.com/title/tt2645670/?ref_=fn_tt_tt_1,12,English,PG-13,1800000,2013,108
21,Essence Atkins,761,686,Tatyana Ali,13,http://www.imdb.com/title/tt1653002/?ref_=fn_tt_tt_1,8,English,Not Rated,1800000,2012,713
670,Ludger Pistor,486,161471,Armin Rohde,1,http://www.imdb.com/title/tt0130827/?ref_=fn_tt_tt_1,709,German,R,3500000,1998,37
75,Will Estes,701,26773,Nora Zehetner,1,http://www.imdb.com/title/tt0303361/?ref_=fn_tt_tt_1,277,English,R,500000,2002,461
15,CJ Adams,900,840,Erin Pitt,3,http://www.imdb.com/title/tt2475846/?ref_=fn_tt_tt_1,9,English,PG,2000000,2013,450
0,Chris Cleveland,86,28,Circus-Szalewski,0,http://www.imdb.com/title/tt2100573/?ref_=fn_tt_tt_1,1,English,PG-13,1750000,2013,42
36,Eugenio Derbez,953,5526,Kate del Castillo,1,http://www.imdb.com/title/tt0796307/?ref_=fn_tt_tt_1,58,Spanish,PG-13,,2007,399
88,Gordon Jump,595,23268,John Randolph,0,http://www.imdb.com/title/tt0068408/?ref_=fn_tt_tt_1,95,English,PG,1700000,1972,70
143,Sissy Spacek,1000,32415,Karen Allen,1,http://www.imdb.com/title/tt0247425/?ref_=fn_tt_tt_1,510,English,R,1700000,2001,874
68,Chad Lindberg,635,56402,Daniel Franzese,0,http://www.imdb.com/title/tt1242432/?ref_=fn_tt_tt_1,209,English,R,2000000,2010,445
3,Illeana Douglas,349,8697,Jeremy Northam,3,http://www.imdb.com/title/tt0162360/?ref_=fn_tt_tt_1,122,English,PG-13,1700000,1999,347
84,Natalie Press,680,16349,Dean Andrews,0,http://www.imdb.com/title/tt0382189/?ref_=fn_tt_tt_1,103,English,R,1700000,2004,46
25,Nimrat Kaur,638,30479,Lillete Dubey,2,http://www.imdb.com/title/tt2350496/?ref_=fn_tt_tt_1,162,Hindi,PG,1000000,2013,85
87,Joan Allen,887,2725,Stephanie Leonidas,0,http://www.imdb.com/title/tt0381717/?ref_=fn_tt_tt_1,48,English,R,1000000,2004,805
964,Ann Miller,319,17799,Lionel Barrymore,10,http://www.imdb.com/title/tt0030993/?ref_=fn_tt_tt_1,133,English,Approved,1644736,1938,302
160,Donna Reed,862,33987,Deborah Kerr,5,http://www.imdb.com/title/tt0045793/?ref_=fn_tt_tt_1,150,English,Not Rated,1650000,1953,488
673,Ben Johnson,281,11920,Victor McLaglen,1,http://www.imdb.com/title/tt0041866/?ref_=fn_tt_tt_1,90,English,Unrated,1600000,1949,230
11,Michael Welch,651,2561,Anthony Reynolds,0,http://www.imdb.com/title/tt2349460/?ref_=fn_tt_tt_1,21,English,PG,,2013,611
11,Clifton Powell,489,536,Marla Gibbs,0,http://www.imdb.com/title/tt0166195/?ref_=fn_tt_tt_1,13,English,R,2000000,1999,469
8,Lamman Rucker,713,548,Tempestt Bledsoe,5,http://www.imdb.com/title/tt1289419/?ref_=fn_tt_tt_1,15,English,R,,2010,607
0,Adel Karam,227,9750,Nadine Labaki,0,http://www.imdb.com/title/tt0825236/?ref_=fn_tt_tt_1,66,Arabic,PG,1300000,2007,4
0,Pixie Davies,327,2621,Alejandro Furth,3,http://www.imdb.com/title/tt2872724/?ref_=fn_tt_tt_1,18,English,R,,2014,51
21,Lior Ashkenazi,53,4702,Yousef 'Joe' Sweid,0,http://www.imdb.com/title/tt0476643/?ref_=fn_tt_tt_1,23,Hebrew,Unrated,1500000,2006,30
0,Teri Garr,11000,74651,Cindy Williams,2,http://www.imdb.com/title/tt0071360/?ref_=fn_tt_tt_1,313,English,PG,1600000,1974,481
0,Revathy,421,257,Bhoomika Chawla,4,http://www.imdb.com/title/tt0442764/?ref_=fn_tt_tt_1,4,English,,70000000,2005,96
0,Jean-Paul Belmondo,963,4391,Michel Bouquet,0,http://www.imdb.com/title/tt0064990/?ref_=fn_tt_tt_1,26,French,R,1600000,1969,710
1000,Marisa Coughlan,2000,1618,Nicky Katt,2,http://www.imdb.com/title/tt0322700/?ref_=fn_tt_tt_1,40,English,R,1650000,2003,163
4,Gage Golightly,427,3313,Samuel Davis,0,http://www.imdb.com/title/tt3832096/?ref_=fn_tt_tt_1,40,English,Not Rated,,2016,253
0,Kevin Zegers,3000,194426,Mekhi Phifer,0,http://www.imdb.com/title/tt0363547/?ref_=fn_tt_tt_1,1057,English,R,26000000,2004,2000
191,Cheryl Hines,597,37714,Eddie Jemison,1,http://www.imdb.com/title/tt0473308/?ref_=fn_tt_tt_1,204,English,PG-13,2000000,2007,541
15,Donald Gibb,633,57578,Ken Siu,1,http://www.imdb.com/title/tt0092675/?ref_=fn_tt_tt_1,210,English,R,1100000,1988,403
964,Jean Arthur,607,77392,Thomas Mitchell,7,http://www.imdb.com/title/tt0031679/?ref_=fn_tt_tt_1,245,English,Not Rated,1500000,1939,319
184,Leo Fitzpatrick,3000,59041,Justin Pierce,1,http://www.imdb.com/title/tt0113540/?ref_=fn_tt_tt_1,408,English,,1500000,1995,202
387,Elizabeth Meriwether,436,60295,Owen Kline,0,http://www.imdb.com/title/tt0367089/?ref_=fn_tt_tt_1,232,English,R,1500000,2005,25
0,Jennifer Westfeldt,378,14018,Brian Stepanek,1,http://www.imdb.com/title/tt0264761/?ref_=fn_tt_tt_1,190,English,R,1000000,2001,321
611,Ni Yan,9,2410,Dahong Ni,1,http://www.imdb.com/title/tt1428556/?ref_=fn_tt_tt_1,20,Mandarin,R,,2009,4
134,T.J. Storm,260000,246,Sam Medina,5,http://www.imdb.com/title/tt3082898/?ref_=fn_tt_tt_1,1,,,17000000,2016,454
13000,Rhonda Fleming,472,32927,Leo G. Carroll,1,http://www.imdb.com/title/tt0038109/?ref_=fn_tt_tt_1,161,English,Unrated,1696377,1945,239
460,Mia Kirshner,991,14112,Sarah Polley,1,http://www.imdb.com/title/tt0109759/?ref_=fn_tt_tt_1,83,English,R,2000000,1994,971
787,Vincent Gallo,1000,36657,Jan-Michael Vincent,2,http://www.imdb.com/title/tt0118789/?ref_=fn_tt_tt_1,318,English,R,1500000,1998,787
0,Barbara Hershey,852,202800,Philip Friedman,1,http://www.imdb.com/title/tt1591095/?ref_=fn_tt_tt_1,752,English,PG-13,1500000,2010,618
92,Tracey Walter,752,25332,Miguel Sandoval,3,http://www.imdb.com/title/tt0087995/?ref_=fn_tt_tt_1,148,English,R,1500000,1984,324
44,Gastón Pauls,827,38215,Leticia Brédice,0,http://www.imdb.com/title/tt0247586/?ref_=fn_tt_tt_1,125,Spanish,R,1500000,2000,22
4,Yuval Diskin,0,4547,Yaakov Peri,3,http://www.imdb.com/title/tt2309788/?ref_=fn_tt_tt_1,33,Hebrew,PG-13,,2012,0
58,Susanna Thompson,552,9408,Ryan McDonald,1,http://www.imdb.com/title/tt0357110/?ref_=fn_tt_tt_1,68,English,R,1500000,2005,265
38,Alia Shawkat,801,29517,Scott Porter,7,http://www.imdb.com/title/tt1758795/?ref_=fn_tt_tt_1,79,English,R,1500000,2013,727
675,Salvator Xuereb,902,17322,Jean-Hugues Anglade,0,http://www.imdb.com/title/tt0110265/?ref_=fn_tt_tt_1,93,English,R,1500000,1993,424
21,Theresa Russell,33000,30314,Summer Phoenix,0,http://www.imdb.com/title/tt0247199/?ref_=fn_tt_tt_1,159,English,R,1500000,2001,243
234,Connor Paolo,947,10896,Tom Noonan,0,http://www.imdb.com/title/tt0453548/?ref_=fn_tt_tt_1,57,English,R,,2007,530
6,Lisa Brave,393,95,Malone Thomas,1,http://www.imdb.com/title/tt3139764/?ref_=fn_tt_tt_1,3,English,R,1500000,2014,191
122,Brendan Sexton III,210,43839,Larry Fessenden,0,http://www.imdb.com/title/tt0261983/?ref_=fn_tt_tt_1,481,English,R,1500000,2001,148
522,Jeff Garlin,813,2963,Joey Slotnick,0,http://www.imdb.com/title/tt0391229/?ref_=fn_tt_tt_1,28,English,R,1500000,2006,522
13,Nia Long,1000,919,Evan Ross,1,http://www.imdb.com/title/tt1450328/?ref_=fn_tt_tt_1,14,English,PG-13,,2010,826
134,Kane Hodder,936,23349,Joel Murray,0,http://www.imdb.com/title/tt0422401/?ref_=fn_tt_tt_1,235,English,R,1500000,2006,935
0,Stanley Blystone,309,143086,Fred Malatesta,1,http://www.imdb.com/title/tt0027977/?ref_=fn_tt_tt_1,211,English,G,1500000,1936,8
18,Aidan Quinn,954,2419,Bonnie Hunt,1,http://www.imdb.com/title/tt0286162/?ref_=fn_tt_tt_1,55,English,PG,1500000,2002,767
0,Dan Hicks,634,21379,Timothy Patrick Quill,1,http://www.imdb.com/title/tt0489235/?ref_=fn_tt_tt_1,88,English,R,1500000,2007,328
7,Monica Calhoun,890,444,Garrett Morris,7,http://www.imdb.com/title/tt0436742/?ref_=fn_tt_tt_1,5,English,PG-13,1500000,2005,597
102,Jim O'Heir,563,1351,David Alan Grier,0,http://www.imdb.com/title/tt3110770/?ref_=fn_tt_tt_1,11,English,,1500000,2015,485
60,Jenny O'Hara,826,1134,Darren E. Burrows,0,http://www.imdb.com/title/tt0395543/?ref_=fn_tt_tt_1,26,English,R,1500000,2005,189
407,John Arcilla,38,463,Ronnie Lazaro,0,http://www.imdb.com/title/tt1562847/?ref_=fn_tt_tt_1,8,English,R,1700000,2010,8
49,Georgina Reilly,413,22212,Boyd Banks,0,http://www.imdb.com/title/tt1226681/?ref_=fn_tt_tt_1,142,English,Not Rated,1500000,2008,98
7,Joey Lauren Adams,87000,2792,Matthew Lawrence,3,http://www.imdb.com/title/tt1087527/?ref_=fn_tt_tt_1,22,English,R,2000000,2008,781
228,Jaime Zevallos,310,7,Michael Elian,1,http://www.imdb.com/title/tt2265431/?ref_=fn_tt_tt_1,,English,,1500000,2015,228
0,Dee Wallace,1000,20376,Michael Berryman,1,http://www.imdb.com/title/tt1731697/?ref_=fn_tt_tt_1,166,English,R,2500000,2012,725
3,Bruce Hopkins,61,23323,Cameron Rhodes,3,http://www.imdb.com/title/tt3504048/?ref_=fn_tt_tt_1,83,English,Not Rated,350000,2014,46
21,Jon Hunter,0,4120,Matt Hunter,0,http://www.imdb.com/title/tt0473107/?ref_=fn_tt_tt_1,70,English,Not Rated,1500000,2005,0
0,Sarah Lind,199,1232,Kyla Wise,2,http://www.imdb.com/title/tt0475271/?ref_=fn_tt_tt_1,10,English,,1500000,2005,134
11,Michael Rapaport,979,291,Paul Sorvino,2,http://www.imdb.com/title/tt1639397/?ref_=fn_tt_tt_1,7,English,R,1500000,2013,975
34,Joe Armstrong,129,2841,Martin Hancock,2,http://www.imdb.com/title/tt2017486/?ref_=fn_tt_tt_1,13,English,Not Rated,5000000,2014,98
65,Amber Marshall,341,459,John DeSantis,0,http://www.imdb.com/title/tt3626436/?ref_=fn_tt_tt_1,10,English,,1500000,2014,265
5,Jake Busey,3000,108,Tim Guinee,,http://www.imdb.com/title/tt1105355/?ref_=fn_tt_tt_1,1,English,PG-13,2000000,2015,660
764,Johnny Messner,835,735,Michael Paré,3,http://www.imdb.com/title/tt3781616/?ref_=fn_tt_tt_1,18,English,,1500000,2015,522
188,Robert Duvall,10000,226583,David Oyelowo,2,http://www.imdb.com/title/tt0790724/?ref_=fn_tt_tt_1,448,English,PG-13,60000000,2012,3000
37,Balthazar Getty,501,1547,Lydia Hearst,1,http://www.imdb.com/title/tt3526286/?ref_=fn_tt_tt_1,42,English,Not Rated,1500000,2015,418
9,Glen Powell,708,133,Kiowa Gordon,,http://www.imdb.com/title/tt1236254/?ref_=fn_tt_tt_1,2,English,R,2000000,2015,571
0,Billy Gilbert,82,133348,Lucille La Verne,1,http://www.imdb.com/title/tt0029583/?ref_=fn_tt_tt_1,204,English,Approved,2000000,1937,47
33,Mercedes Morán,341,2720,María Alche,0,http://www.imdb.com/title/tt0300270/?ref_=fn_tt_tt_1,37,Spanish,R,1400000,2004,5
74,Woody Strode,984,1978,Honor Blackman,2,http://www.imdb.com/title/tt0063592/?ref_=fn_tt_tt_1,41,English,PG,1455000,1968,423
87,Gabriel Beristain,87,3291,John Bailey,0,http://www.imdb.com/title/tt0374639/?ref_=fn_tt_tt_1,63,English,PG-13,1400000,2004,70
20,Christina Moore,1000,162,Cullen Douglas,,http://www.imdb.com/title/tt4063178/?ref_=fn_tt_tt_1,8,English,PG,2000000,2016,301
10,Adam DiMarco,756,4948,Chasty Ballesteros,0,http://www.imdb.com/title/tt2577172/?ref_=fn_tt_tt_1,33,English,,3150000,2014,382
412,Léa Drucker,412,2082,Laurent Poitrenaux,0,http://www.imdb.com/title/tt3230082/?ref_=fn_tt_tt_1,16,French,R,,2014,4
58,Jonathan Mangum,847,330,Angela Jones,0,http://www.imdb.com/title/tt0464054/?ref_=fn_tt_tt_1,6,English,R,1400000,2014,147
7,Cesar Romero,1000,22975,Burt Ward,1,http://www.imdb.com/title/tt0060153/?ref_=fn_tt_tt_1,155,English,Approved,1377800,1966,370
0,Jason Flemyng,26000,414976,Dexter Fletcher,1,http://www.imdb.com/title/tt0120735/?ref_=fn_tt_tt_1,523,English,R,960000,1998,1000
0,Bruce McGill,883,39,Ned Beatty,0,http://www.imdb.com/title/tt3551840/?ref_=fn_tt_tt_1,2,English,,1250000,1982,655
,Michael Douglas,416,3405,,0,http://www.imdb.com/title/tt0068135/?ref_=fn_tt_tt_1,13,English,,,,0
346,Paprika Steen,280,65951,Trine Dyrholm,1,http://www.imdb.com/title/tt0154420/?ref_=fn_tt_tt_1,258,Danish,R,1300000,1998,278
12000,Debi Mazar,12000,11369,Carol Kane,1,http://www.imdb.com/title/tt0117958/?ref_=fn_tt_tt_1,65,English,R,1300000,1996,680
5,Kieu Chinh,51,775,Cat Ly,2,http://www.imdb.com/title/tt0433398/?ref_=fn_tt_tt_1,19,Vietnamese,R,1592000,2006,24
7,Karen Allen,2000,449,Peter Coyote,2,http://www.imdb.com/title/tt0190255/?ref_=fn_tt_tt_1,38,English,PG,1300000,1999,783
5,Thure Lindhardt,413,1231,Georgina Reilly,0,http://www.imdb.com/title/tt1480658/?ref_=fn_tt_tt_1,10,English,Not Rated,1500000,2012,197
17,Miko Hughes,13000,54316,Carrie Preston,1,http://www.imdb.com/title/tt0120749/?ref_=fn_tt_tt_1,127,English,R,60000000,1998,969
,Tucker Smallwood,210,6381,Kristen Cloke,0,http://www.imdb.com/title/tt0112173/?ref_=fn_tt_tt_1,79,English,,5000000,,121
135,Aziz Muradillayev,0,3144,Mirlan Abdulayev,1,http://www.imdb.com/title/tt2640460/?ref_=fn_tt_tt_1,24,English,PG-13,1400000,2014,0
