director_facebook_likes,actor_2_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,language,imdb_score,aspect_ratio
17,Loretta Devine,7,block party|eurocopter ec120 colibri|fortune cookie|lottery ticket|reverend,30,English,4.9,2.35
49,Adam Boyer,0,high school|rollerskating rink|spelman college|twin|voice over narration,92,English,6.0,2.35
36,Hana Mae Lee,4,a cappella|competition|dj|female protagonist|lesbian,250,English,7.2,1.85
19,Brian Dennehy,2,baseball|baseball player|night|rivalry|summer,107,English,4.9,1.85
0,Bridget Fonda,1,bag of money|found money|minnesota|screenplay adapted by author|snow,416,English,7.5,1.85
11,Ethan Embry,0,darkness|friend|kiss|nightmare|suicide,271,English,4.8,2.35
0,Larry the Cable Guy,2,diner|food poisoning|health inspector|restaurant|undercover,112,English,3.1,1.33
11,Kevin Clash,0,based on tv series|blanket|box office flop|rescue|sesame street,37,English,5.8,1.85
847,Lili Taylor,1,catholic|corrupt cop|new york city|police detective|police officer killed,138,English,6.7,2.35
117,David Niven,3,ambassador|boxer rebellion|china|colonialism|peking china,50,English,6.8,2.2
201,Elizabeth Blackmore,0,book of the dead|demon|h.p. lovecraft|lesbian kiss|promise,789,English,6.5,2.35
80,Harland Williams,1,greece|greek|tour bus|tour guide|tourist,75,English,5.9,1.85
80,Dennis Quaid,6,chief of staff|contest|president|singing|terrorist,217,English,5.5,1.85
22,Margot Kidder,6,box office flop|dc comics|hair|nuclear disarmament|superman,259,English,3.6,2.35
8,Clé Bennett,0,dance|dance contest|loss of sister|step dancing|teenager,18,English,3.3,1.85
47,Chazz Palminteri,2,adult child friendship|corrupt cop|fistfight|gangster|thug,419,English,7.4,2.35
9,Jeremy Northam,3,colon in title|competition|five word title|golf|temper,64,English,6.7,2.35
3,Paul Freeman,0,china|missionary|opium|villain|year 1937,28,English,3.0,1.85
168,Eddie Marsan,3,duchess|illusionist|magician|prince|supernatural power,645,English,7.6,1.85
4,Melanie Griffith,0,chase|dead man|jungle|killing a lion|killing a tiger,27,English,6.4,2.35
541,David Murray,1,criminal|drug lord|gunshot|irish|journalist,113,English,6.9,2.35
30,Brady Corbet,1,colombia|dream|love|surfer|village,39,English,6.6,
219,Curtis Armstrong,6,amnesia|boxer|conspiracy|police|porn star,238,English,5.5,2.35
0,Jess Harnell,0,cgi film|computer animation|dragon|hunter,39,French,6.6,
22,Jan-Michael Vincent,0,cockroach|desert|ghost town|giant spider|travel,71,English,5.2,2.35
57,Rick Gomez,1,e mail|evil spirit|experiment|fear|supernatural,108,English,4.1,2.35
6,Jamie Lee Curtis,1,best friend|funeral|girl|overalls|summer,115,English,6.8,1.85
30,Ty Burrell,2,character name in title|diane arbus|male full frontal nudity|photographer|pubic hair,97,English,6.5,1.85
168,Eddie Marsan,3,duchess|illusionist|magician|prince|supernatural power,645,English,7.6,1.85
0,Tamara Tunie,2,1980s|argument|critique of capitalism|f word|fired from the job,219,English,7.4,1.85
0,Kate Winslet,2,1810s|female protagonist|horseback riding|inheritance|three word title,196,English,7.7,1.85
11,Julie Walters,1,country estate|jane austen|lady|love|writing,151,English,7.1,2.35
18,Matt Long,2,college|college girl|female protagonist|sorority|sorority house,50,English,6.3,2.35
26,Kim Dickens,0,auction|home|house|iranian|marriage,469,English,7.6,1.85
608,Josh Charles,0,education|english teacher|poet|professor|student,491,English,8.0,1.85
137,Mike Starr,2,briefcase full of money|character repeating someone else's dialogue|character says i love you|friendship|reference to cinderella,438,English,7.3,1.85
0,Gretchen Palmer,0,friendship|love|male female friendship|new york|sex,273,English,7.6,1.85
0,James Mason,0,archdiocese|court|hospital|lawyer|malpractice,154,English,7.8,1.85
480,Rachel Blanchard,5,blonde|college|friend|highway travel|road trip,302,English,6.5,1.85
48,Ron Lester,0,coach|coyote|popularity|quarterback|texas,267,English,6.4,1.85
405,Ed Lauter,0,1920s|jack russell terrier|modern silent movie|movie star|movie studio,583,English,8.0,1.33
687,Atticus Shaffer,1,babysitting|experiment|nightmare|possession|twin,230,English,4.8,2.35
0,Bill Murray,2,1960s|boy scouts|boy scouts camp|coming of age|young love,377,English,7.8,1.85
473,Jordana Brewster,0,cannibal|car accident|leatherface|psychopath|slaughterhouse,366,English,5.9,1.85
19,Vincent Walsh,0,based on novel,30,English,5.4,2.35
11,Kenan Thompson,2,disguise|mask|master of disguise|restaurant|waiter,307,English,3.3,1.85
0,Maribel Verdú,0,fairy|fairy tale|faun|princess|spain,1083,Spanish,8.2,1.85
,Jessika Van,0,,57,English,6.6,16.0
14,Angus T. Jones,0,boy|fbi|mailman|van|witness protection,53,English,5.4,1.85
309,Snoop Dogg,2,cartoon on tv|family relationships|physical abuse|single parent|two word title,81,English,6.4,1.85
26,Danneel Ackles,1,animal abuse(non graphic)|cat killer|college|dead cat|death of cat,115,English,4.8,2.35
29,Erik Per Sullivan,0,first part|grand canyon|highway travel|indian|janitor,205,English,5.9,1.85
23,Alonna Shaw,2,boat|hong kong|murder|tunnel|twins,72,English,5.5,1.85
1000,Joe Cornish,1,accident|conspiracy|police|police officer|village,687,English,7.9,2.35
15,Debi Mazar,4,beauty salon|divorce|fashion|new york|perfume,125,English,4.9,1.85
11000,Kevin Dunn,0,art|artist|painter|sex|summer,365,English,7.2,1.85
5,Michael Nyqvist,1,first part|holy land|knight templar|monastery|sword and shield,54,Swedish,6.6,2.35
24,Jay Hernandez,9,lesbian kiss|mom|pta|reference to mad max|scene during end credits,46,English,6.7,
7,Amanda Detmer,3,best friend|break up|friendship|graduation|male in underwear,134,English,5.3,1.85
7,Cole Hauser,0,california|foster home|love|oleander|prison,171,English,7.2,1.85
45,Amy Sedaris,1,cannibalism|cheerleader|condom|hook for hand|satanic ritual,294,English,5.1,1.85
22,Jamie Lee Curtis,0,crying woman|plot|suspect|waitress|younger man older woman relationship,148,English,5.6,1.85
11000,Don Pardo,0,beach|cigarette girl|radio|woman holding a baby|working class,91,English,7.6,1.85
179,Lea Thompson,1,bible quote|chaos|faith|riot|shrine,374,English,3.1,2.35
47,Lena Olin,0,binge drinking|new york|new york city|september 11 2001|suicide,361,English,7.2,1.85
6,Alexandra Holden,1,best friend|high school|mother|sister|wedding,95,English,5.7,1.85
121,Alyson Hannigan,0,alien|earth|female alien|mission|secret,55,English,5.2,1.85
438,Tom Hanks,2,aids|city name in title|gay|homophobia|lawyer,261,English,7.7,1.85
9,Craig Bierko,0,amnesia|barricade|letter|time|virtual reality,302,English,7.0,2.35
3,Vincent Pastore,1,flatulence|interracial marriage|marriage,20,English,3.6,1.85
38,Karl Malden,7,asteroid|meteor|nasa|nuclear weapon|satellite,90,English,4.9,2.35
28,Marian Seldes,0,convict|karaoke|middle america|salesman|singer,123,English,6.0,1.85
11000,Debra Messing,0,blind|director|psychosomatic blindness|self deprecating|studio,148,English,6.6,1.85
89,Lin Shaye,0,band|concert|high school|kiss|teenager,194,English,6.8,2.35
85,Jon Polito,1,combat|head cut off|immortal|scotland|swordsman,316,English,7.2,1.85
369,Omar Benson Miller,1,best friend|dinner|garage|narcotics anonymous|recovery,88,English,7.2,2.35
34,Annabeth Gish,1,fight|gang|junkyard|military|soldier,62,English,2.8,1.85
115,Dagmara Dominczyk,3,immigrant|immigration|magician|money|prostitution,70,English,6.6,2.35
133,Natasha Richardson,0,countess|diplomat|japanese|russian|shanghai,78,English,6.7,1.66
0,Spencer Wilding,0,amnesia|criminal|heist|hypnotherapy|lost painting,212,English,7.0,2.35
29,Snoop Dogg,9,airline|airplane|bathroom|sex|toilet,150,English,4.4,1.85
172,Kad Merad,2,alcohol|alcoholic drink|drunken man|france|provence,49,French,7.1,2.35
