director_facebook_likes,num_voted_users,cast_total_facebook_likes,plot_keywords,title_year,actor_2_facebook_likes
317,88270,32637,activist|death|death row|murder|texas,2003,14000
65,19829,6171,cheerleader|cheerleading movie|neo noir|neo western|texas ranger,2005,923
174,76010,16992,death|drug dealer|limousine|limousine driver|one night,2015,988
0,189249,17211,male pubic hair|pubic hair|russian|sex scene|turkish bath,2007,6000
134,63599,25049,bahamas|blood splatter|cocaine|hairy chest|shark,2005,1000
0,55889,144,cathedral|dauphin|france|trial|wartime rape,1999,40
234,85237,45202,knight|prince|quest|rescue|thong bikini,2011,11000
260,46239,8018,closet|father daughter relationship|psychiatric hospital|real life sisters playing sisters|train,2011,694
333,16562,2606,hostage|museum|natural history museum|news reporter|reporter,1997,713
32,33186,2949,baby|baby boy|kidnapping|kidnapping a child|taxi,1994,619
596,12037,15820,17th century|adultery|letter|pubic hair|swimming,1995,3000
218,38513,10191,bush administration|cia|interview|iraq|new york times,2010,3000
,33535,5381,alien|alien invasion|planet invasion|post apocalypse|year 2046,,845
12000,58015,5702,bounty hunter|fbi|female bounty hunter|female nudity|reality show,2005,940
607,9227,5461,blackmail|investigation|murder|panties pulled down|prostitution,1995,979
83,113483,29926,battle|convict|death|mind control|role playing,2009,8000
98,67796,3580,dream|escape|magic|magic spell|small town,2013,852
0,34730,52885,children|children's tv show|money|revenge|scandal,2002,811
0,34964,24107,chosen one|fashion|fashion model|model|retired,2016,8000
5,15880,11972,breasts|consensual sex|female nudity|judge|surfer,2004,387
0,8070,3954,alien|baby|banker|pregnancy|question in title,2000,602
71,81800,16481,baby|cult|oklahoma|sex scene|waitress,2011,2000
43,19824,1385,chun li|crime fighter|gangster|mobster|rescue,2009,342
70,77684,32831,fight|multiverse|police|police officer|prison,2001,5000
,50391,1863,based on novel|clan|scotland|scottish highlands|year 1743,,531
212,14429,2795,detective|groupie|murder|music industry|rock n roll,1990,560
628,90932,24316,inspired by radio program|inspired by true events|pirate broadcasting|pirate radio|pirate radio station,2009,882
0,170684,1418,cocaine|drug smuggling|interlinked stories|judge|mexico,2000,399
14000,515306,12884,castle|diary|holy grail|map|nazi,1989,844
456,70886,2035,dance|infidelity|marriage|russia|russian,2012,35
662,172965,23051,artificial intelligence|consciousness|future|mind uploading|robot,2015,2000
176,120202,29748,new york city|police|quadriplegic|serial killer|suicide,1999,11000
21000,206104,18141,brownstone|burglar|money|panic|panic room,2002,324
42,1263,2353,bare breasts|genital dismemberment|mulching someone|tooth fairy|woodchipper,2006,555
737,137854,3743,gold|gulf war|iraq|kuwait|map,1999,490
79,40568,27666,child murderer|murder|sex|soviet union|woman slaps a man,2015,254
109,93367,1823,casino|locker|money|museum|race,2001,629
34,148490,33615,extraterrestrial|hospital|patient|planet|science,2001,12000
446,64595,22209,bridge|brooklyn bridge|falling down an elevator shaft|time travel|time travel romance,2001,1000
11000,81888,5390,contract|devil|dream|soul|wish,2000,575
0,12771,18793,brothers hugging|jazz|jealousy|nudity|parole violation,1984,5000
446,237872,33548,outlaw|rancher|small western town|stagecoach|train,2007,8000
118,133436,16967,betrayal|death|final showdown|murder|on the run,2014,794
0,71708,3768,heist|neo noir|one last job|opposites attract|u.s. marshal,1998,745
0,122347,3718,cable guy|foreplay|friend|kissing|television,1996,1000
375,5639,371,friend|hindu|india|muslim|sikh,1998,102
631,47819,2096,crime boss|detective|dick tracy|gangster|orphan,1990,631
323,73068,4660,art|insurance investigator|martinique|painting|trust,1999,977
545,22447,4796,boy|college|heroin|working class|writer,2001,811
270,172489,15192,1980s|colonel|deputy|rambo|sheriff,1982,954
0,54057,95,hallucination|ocean|psychologist|scientist|space station,1972,29
0,8693,6863,apostrophe in title|cinderella|first of series|punctuation in title|three word title,2006,769
350,11913,8349,19th century|butler|housemaid|laboratory|servant,1996,115
29,98199,12344,best friend|chick flick|male female friendship|promise|wedding,1997,1000
148,47573,9176,actor|love|movie star|press|publicist,2001,973
22000,218771,15658,detective|insomnia|murder|partner|police,2002,509
906,97838,6315,21st century|borg|borg sphere|captain|sphere,1996,1000
39,45729,14619,confederate|death|independence day|military|terrorist,2010,541
380,40126,33233,bravery|honor|medal of honor|military life|unreliable flashback,1996,13000
293,220392,2070,birthday|birthday wish|father disappoints child|lie|workaholic,1997,418
65,2581,2104,,2016,423
92,491,2704,1950s|douglas macarthur|general|inchon|invasion,1981,623
32,60884,3244,1000000 b.c.|box office hit|lawn mowing|product placement|stone age,1994,664
118,238671,16410,albanian|revenge|revenge motive|teenage daughter|vacation,2012,935
119,111526,3629,crop circle|farm|orchestral music score|reference to michael jackson|videotape,2003,780
80,137377,1574,beauty pageant|fbi|female agent|pageant|undercover,2000,337
40,85323,17925,cave|lost world|missing brother|mountain|venus flytrap,2008,3000
0,53687,15362,coronation|horse|princess|queen|side saddle,2004,1000
79,59569,30063,college professor|fbi|president|professor|supreme court,1993,8000
541,45798,4043,boy|brother|lawyer|mafia|senator,1994,577
0,184795,14868,billionaire|friend|hospital|list|mechanic,2007,2000
176,81442,12757,analyst|cia|ira|terrorist|terrorist attack,1992,530
126,43358,6292,breakdown|fight|mother in law|scheme|wedding,2005,949
777,383591,37321,child abduction|detective|investigation|police|sex offender,2013,15000
845,305929,22370,lapd|narc|narcotics|title spoken by character|training,2001,881
23,123558,26998,alien|alien race|convention|fan|general,1999,724
322,119590,1645,blow job|demon|exorcism|priest|professor,2001,422
33,75176,1336,bel air california|book|friends who live together|the muppets|tribute band,2011,91
45,191437,3174,1990s|blade|blood|vampire|vampire hunter,1998,650
49,92702,20299,basketball|basketball coach|coach|contract|high school,2005,807
50,57281,758,car accident|feud|lawyer|revenge|road rage,2002,108
49,73539,3717,amazon|anaconda|boat|jungle|snake,1997,902
18,90539,3106,girl in panties|lift skirt|sexual attraction|short shorts|songwriter,2000,625
628,318634,28886,aging rocker|christmas|love at first sight|minister|prime minister,2003,14000
487,211226,24205,ant|circus|grasshopper|misunderstanding|overhearing,1998,1000
117,124765,41636,freemason|jack the ripper|opium|prostitute|victorian era,2001,1000
49,50148,13331,bomb|cia|explosive|explosives expert|miami florida,1994,279
41,37911,3648,driving range|golf|golfer|tournament|winnebago,1996,843
5,5888,7493,nurse|parent|sibling|widow|widower,1968,584
58,30255,27351,book|child|slapstick comedy|soccer|suburb,2005,8000
37,155745,14073,alien|friend|galaxy|hyperspace|spaceship,2005,2000
38,9380,4604,animated sequence|junkyard|love|party|television,2004,641
85,149549,16225,clone|convoy|crow|desert|satellite,2007,706
153,87165,49743,blind date|children|date|daughter|son,2014,11000
61,21215,3757,chef|congressman|cook|hotel|senator,2006,976
161,32544,12161,criminal|rafting|river|robber|white water rafting,1994,894
0,20688,2965,best friend|birthday|boy|friend|magic,1995,845
0,104301,1948,arms tied overhead|damsel in distress|dea|marijuana|southern california,2012,463
160,79141,1102,cell phone|distress signal|family in danger|police|stealing a car,2004,216
29,114692,1461,british|crown jewels|explosion|funeral|spy,2003,304
8,30055,33822,ant|miniaturization|punishment|shrinking|sudden change in size,2006,11000
0,97087,2449,desert planet|dune|giant worm|space travel|spice,1984,362
278,91860,5405,anti war|liverpool|love|protest|song,2007,117
0,152591,53895,based on novel|children|connecticut|suburb|work,2008,14000
503,112769,15053,alcoholic|courthouse|detective|jail|witness,2006,929
326,81523,15990,box office flop|convent|mercenary|new york|pregnant,2008,844
29,15455,3855,detective|heavy rain|murder|partner|serial killer,1996,461
11000,24757,2348,clone|cloning|construction|same actor playing two characters simultaneously on screen|year 1996,1996,484
13,16580,3423,alien|attic|boyfriend|mind control|nintendo ds,2009,701
0,42621,793,nevada|pledge|police|porcupine|search,2001,44
38,35140,24351,accountant|money|opening night|scheme|swedish,2005,8000
38,203461,578,brutality|dark humor|female antagonist|female warrior|post apocalypse,2012,107
23,27648,3855,ghost|new york city|phantom|skull|superhero,1996,642
0,11388,15006,1940s|cowboy|mexico|railway station|texas,2000,861
0,23996,21130,courtship|election|paranoia|president|quaker,1995,5000
2000,132423,2507,british prime minister|death|island|memoir|writer,2010,766
208,26551,6558,creature feature|hijacker|ocean|ship|shot in the leg,1998,1000
0,15697,26982,boy|german soldier|partisan|trapped|village,2008,1000
611,36455,949,china|chrysanthemum|emperor|empress|prince,2006,52
15,48245,12166,deaf|hitman|nightclub|pickpocket|rules of profession,2008,68
188,17307,13917,airport|fbi agent|person in a car trunk|suitcase|suitcase bomb,2002,1000
179,19114,538,19th century|colombia|love|marriage|widow,2007,202
,15762,654,france|living dead|serial killer|small town|supernatural,,116
170,3803,2457,american president|assassin|conspiracy|president|white house,1997,623
32,89568,661,assassin|chinese|conspiracy|gadget|premier,2011,141
11,4377,3090,femme fatale|food|pun|supermarket|troubled production,2012,611
0,452465,3133,1970s|cia|f word|u.s. embassy|year 1979,2012,660
99,213668,13357,hospital|on the run|one armed man|surgeon|u.s. marshal,1993,1000
72,96565,21554,bounty hunter|death|murder|police officer|reporter,2010,1000
272,154487,37076,boy|guard|kicked in the crotch|prank|sexual abuse,1996,11000
170,117606,15662,1980s|mission|prison|rambo|vietnam,1985,738
13,13995,26907,breasts|mafia|sex scene|temple|woods,1996,2000
3,90360,1178,boy|conscience|fairy|jiminy cricket|pinocchio,1940,48
517,9830,14255,1890s|hired gun|immigrant|johnson county war|sheriff,1980,849
235,156225,2998,death|feud|forbidden love|vampire|werewolf,2006,845
118,28618,12876,assistant|experiment|frankenstein|medical student|scientist,2015,1000
835,73006,1801,basketball|mentor|new york|school|writing,2000,370
84,34597,23864,12 step program|box office hit|car accident|vomiting|wedding,2000,10000
255,85198,22383,collar|dog|fight|fighting|piano,2005,5000
16,46158,132,female removes her clothes|roommate|voyeur|voyeurism|wedding,2002,28
521,88844,14244,bar|fbi|law|law firm|lawyer,1993,1000
23,47364,1066,brother brother relationship|death of brother|ghost|seeing dead people|talking with the dead,2010,268
165,117999,27834,apprentice|disobeying orders|gas station|hitman|nightclub,2011,956
97,408302,19968,narcotics|parody|police|remake|undercover cop,2012,971
50,203269,9255,actress|bookstore|friend|kiss|love,1999,437
91,140499,1817,chicken|escape|farm|freedom|rooster,2000,530
29,106909,24534,bride|friend|honeymoon|insurance|insurance company,2004,923
71,20183,3841,advertising|battle of the sexes|dating|one word title|womanizer,1992,558
176,133177,4825,drug lord|fbi|fbi agent|hospital|shot in the crotch,2013,815
311,21554,2957,cleopatra|egypt|epic|queen|roman empire,1963,726
153,74169,6727,claim in title|high school|mixed martial arts|ultimate fighting championship|underdog,2012,828
73,30077,15571,defense lawyer|lawyer|marine|murder|villager,2002,3000
0,11453,13716,columbia university|lecture|marriage|professor|sex,1996,592
89,63677,1651,car accident|death of wife|mothman|point pleasant west virginia|urban legend,2002,537
119,119622,2134,austrian|fame|fashion|gay lead character|mockumentary,2009,442
46,74009,2371,drug cartel|drug lord|james bond 007|personal vendetta|vengeance,1989,349
308,91151,15369,death|forest|love|werewolf|werewolf bite,2011,2000
17,42547,33585,criminal|detective|fire|homicide|media,2001,9000
5,38203,7723,based on video game|dinosaur|king|mario|plumber,1993,922
487,248123,12076,1980s|arms dealer|immorality|ukrainian|warlord,2005,43
611,149414,6229,china|flying|king|palace|sword,2002,643
30,34203,3301,bail bond|bounty hunter|jeans|shot in the butt|title directed by female,2012,786
133,247020,12239,assassination attempt|communist dictatorship|dictator|exploding helicopter|finger bitten off,2014,392
19,22309,2056,bullet time|explosion|knife throwing|throwing a knife|violence,2010,489
,1558,1610,american soldier|naval uniform|navy|patrol boat|uniform,,284
0,24657,1342,bullet|contortionist|gag humor|human cannonball|revenge,2009,172
161,187181,1954,competition|contest|friend|self expression|white rapper,2002,418
326,590,488,ape|computer animation|evolution|first person title|reference to louis de funes,2015,152
241,137003,18761,chaucer|jousting|knight|medieval times|tournament,2001,3000
4,29861,1134,hong kong|interpol|medallion|ship|tough cop,2003,312
0,704766,17540,able to see the dead|ghost|plot twist|psychic|surprise ending,1999,3000
20,125198,362,detective|diamond|hotel|police|rooftop,2012,81
64,34809,2085,alaska|birding|competition|migration|storm,2011,574
80,126907,2004,apartment|bully|fight|karate|master,1984,641
737,358416,83012,based on true story|con artist|drunk wife|fbi investigation|scam,2013,23000
98,227824,18656,alaska|deportation|father son relationship|male objectification|sitka alaska,2009,896
78,56646,2129,blood|murder|sex scene|wrongful arrest|wrongful conviction,1999,489
0,340085,3660,alternate timeline|same actor playing two characters simultaneously on screen|second part|year 2015|younger version of character,1989,869
0,327367,32325,brain capacity|drugs|fictional drug|one woman army|tough girl,2014,11000
456,220020,4585,female frontal nudity|female nudity|perversion|sex scene|spanking,2015,935
0,40227,22935,mission|spy|surfing|trapped|virtual reality,2003,4000
541,99558,31349,african american|court|law|mississippi|trial,1996,11000
189,75152,7014,9 year old|house|illinois|new job|vomiting,2003,2000
532,203963,1261,courage|navy seal|outnumbered|shot multiple times|survival,2013,449
545,71754,16751,baseball|friend|oregon|rivalry|softball,1992,923
0,64989,2676,based on supposedly true story|house|paranormal investigating|psychic|second part,2016,575
21000,479453,10555,competitiveness|creator|entrepreneur|facebook|intellectual property,2010,349
42,132048,318,advertising|bar|dating|lingerie slip|six word title,2009,50
119,93748,5855,female nudity|male nudity|parody|reference to myspace|sequel,2006,869
0,98535,600,death|ghostface|murder|scream|survivor,2000,157
0,283480,3986,band|dog|letter|time machine|tombstone,1990,869
164,85629,12556,camera focus on female butt|gay bar|millionaire|singing in a car|two word title,2015,2000
0,143835,42220,dracula|horror movie remake|maze|monster sex|vampire,1992,12000
0,79264,13321,american|blog|book|cook|cooking,2009,935
241,66511,16911,baseball|baseball player|brooklyn dodgers|major league baseball|racism,2013,3000
333,137891,36810,1950s|italy|mistaken identity|nudity|sociopath,1999,13000
101,97045,16179,adoption|highway travel|road trip|sequel|stupidity,2014,899
155,48806,24300,antarctica|dog|siberian husky|sled dog|survival,2006,984
278,130661,36010,reference to ben affleck|reference to brad pitt|reference to george clooney|reference to jack nicholson|website,2015,11000
167,28621,5178,computer hacker|crime boss|detective|drugs|wedding,2016,874
0,113068,2144,18th century|based on novel|colonel|french and indian war|revenge,1992,363
138,110394,5074,1950s|1960s|racism|rhythm and blues|singer,2004,876
436,656640,3924,anthology|corruption|hearing characters thoughts|neo noir|night,2005,472
38,127528,6775,explosion|multiple perspectives|president|secret service|shooting,2008,897
29,166194,28928,bromance|friend|gay brother|homosexual subtext|wedding,2009,4000
101,109445,2842,dying|friend|inner beauty|love|self help guru,2001,655
0,113472,698,death|gay slur|homosexuality|investigation|president,1991,256
14,31968,19334,cheerleading|fbi|fbi agent|nanny|undercover,2006,826
563,87351,43917,curse|hostage|mexico|pistol|vomiting,2001,11000
11000,103589,2938,emaciation|male nudity|plane crash|prisoner of war|torture,2014,698
23,146899,7009,adult as child|father son relationship|high school student|janitor|school,2009,2000
415,104481,2357,beach house|blonde bombshell|cheating husband|revenge|wife meets mistress,2014,971
160,75345,303717,attempted suicide|car crash|collapsing scaffold|overflowing bathtub|tooth knocked out,2009,137000
14000,178118,16944,cia|cold war|lawyer|negotiation|spy,2015,535
212,86902,2544,battle|massacre|navigator|navy|rescue,2001,563
89,147317,2091,concert|drugs|recession|record company|rock star,2010,719
23,35508,2325,dance|dance competition|dance lesson|love|teacher,2004,593
287,77415,8610,action figure|battle|computer|military|toy,1998,835
20,52805,7039,based on comic|based on comic book|dark hero|image comics|superhero,1997,2000
58,104991,17152,count|escape|island|revenge|sailor,2002,1000
65,173848,13943,defense attorney|defense lawyer|lawyer|plot twist|prostitute,2011,980
174,210542,17152,agriculture|airport|amnesia|nurse|scientist,2011,903
22000,844052,63986,illusion|magician|obsession|rivalry|secret,2006,20000
51,114294,30571,kidnapping|reference to franz beckenbauer|scene during end credits|second part|singing in a car,2014,11000
7,20615,3361,alien|cult film|mission control|product placement|rescue,2013,190
0,236000,848,jaguar|mayan|solar eclipse|tribe|village,2006,78
46,69457,1233,british agent|defection|escape|kgb|soviet general,1987,244
190,171418,4243,kicked in the face|martial arts|punched in the face|strong female character|woman punching a man,2010,1000
425,7900,2179,judicial|judiciary|lawyer|murder|painting,1986,568
192,147504,41293,adultery|extramarital affair|infidelity|unfaithfulness|writer,2004,534
18,114321,18693,house|lake|letter|love across time|parallel time,2006,426
34,87447,1274,attic|bound and gagged|hoodoo|secret|southern gothic,2005,351
54,37398,9069,dodgeball|portrait|soccer|soccer game|young love,2012,2000
10,54421,4298,friend|love|maid|maid of honor|marriage,2008,689
16000,25465,2281,band|music group|musical quartet|singer|song,2014,413
0,46221,16762,courtroom|domestic violence|insurance company|lawyer|underdog,1997,936
326,89557,22318,memory|murder|patient|psychiatrist|the devil,2003,534
14000,56509,37570,courtroom|mutiny|ship|slave ship|slave trade,1997,11000
323,17443,519,cancer|environment|gas chromatograph|jungle|nature,1992,47
25,92789,4324,alien|escape|hunting|hybrid|predator,2007,741
80,49612,4634,attempted murder|based on comic book|escape from prison|lost at sea|wealth,1994,450
643,20201,26938,may december romance|new york|new york city|rockefeller center|title directed by female,2000,1000
30,81334,2787,love|lyricist|singer|singing|song,2007,690
99,192462,390,alien|geek|nerd|road trip|ufo,2011,61
98,30394,1070,cross country|love|mother son relationship|on the road|trip,2012,358
0,104119,4486,author|book|deputy|murder|sheriff,2011,741
541,104564,12970,investigation|obsession|private eye|private investigator|snuff film,1999,638
0,68159,3044,death|paris france|rock band|singer|the doors,1991,576
52,84382,1488,sex in a car|sex video|sexual desire|sexuality|undressing,2014,392
0,10132,1238,actress|clown costume|magazine|party planner|soap opera actress,2000,258
77,83788,3074,blood splatter|death|eyeball run over by car|latex gloves|suspension bridge,2011,682
6,29968,2913,auctioneer|fbi|mafia|mobster|painting,1999,683
75,95860,23920,alcoholism|boy|good deed|protective male|teacher,2000,3000
101,36223,1827,baltimore orioles|boston red sox|promotion|ups|world series,2005,299
,8495,108,based on children's book|best friend|character name in title|friend|one word title,,21
65,50199,3239,bodyguard|bully|generation y|high school|nerd,2008,613
3000,136093,28927,dancing sheep|fetish|musical scene|racial humor|snake poison,2014,9000
85,18723,2711,1930s|bomb|city|invisibility|the shadow,1994,595
335,81298,15595,fear|mourning|mute|quest|revelation,2011,467
50,58871,621,job offer|roller coaster|slow motion action scene|slow motion sequence|television,2010,117
260,35834,3969,male frontal nudity|male pubic hair|prison|pubic hair|violence,2005,1000
18,25346,3753,blood splatter|fbi|murder|secretary general|united nations,2000,1000
0,41685,5917,aids|hiv positive|lawyer|new york city|roommate,2005,1000
55,12093,4565,easter|fbi|luminol|nurse|omen,2000,941
39,10446,1335,job interview|manhattan new york city|new york city|remake|sausage,1999,322
287,26051,10469,animal experimentation|chimera|island|jungle|mutant,1996,368
0,12856,2888,guard|king|murder|musketeer|swordsman,2001,931
56,84357,77823,children|court|king|king henry viii|love,2008,19000
7,70292,29484,advertising|cancer|dog|san francisco california|terminal illness,2001,9000
81,37412,960,biblical plague|louisiana|missionary|plague|small town,2007,253
17000,67797,23737,bar|catholic guilt|epilepsy|italian american|money,1973,926
545,13830,3126,army|basic training|reference to shakespeare's hamlet|teacher|u.s. army,1994,754
118,76498,3432,female in a shower|female nudity|premarital sex|sex scene|woman wearing a miniskirt,2011,738
7,11156,14275,camelot|dragon|excalibur|knight|sword,1998,908
105,21319,34377,beach|grandson|murder|new york city|police,2002,11000
34,11232,3821,based on article|blindness|box office flop|massage therapist|regaining sight,1999,886
33,23747,5039,murder|on the run|security camera|surveillance footage|timebomb,2004,1000
17,16741,17877,drug dealer|mayor|new york city|probation|scandal,1996,940
719,49874,18913,cult film|lap dance|lap dancing|stripper|striptease,1995,893
0,79892,7243,austria|cake|france|queen|versailles,2006,887
58,14226,14008,beard|female nudity|police brutality|stripper|woman in lingerie,1995,975
19,27305,14463,affair|car crash|enforcer|funeral|murder,2000,530
171,145270,7099,christmas|resort|thailand|tourist|tsunami,2012,382
124,8692,3374,cia|emir|hotel|map|morocco,1987,631
0,139114,24770,cider|farm|farmer|fox|tale,2009,11000
65,19364,12566,football|homeless man|interview|psychic|reporter,2002,944
0,17365,2125,accident|bar|chase|cia|laboratory,1992,658
0,534262,809,cheerfulness|female protagonist|garden gnome|magical realism|waitress,2001,326
29,17722,3974,dog|new york city|scholarship|senator|twin,2004,799
14,43442,3639,best friend|commitment|friend|limousine driver|one night stand,2004,826
42,15231,1702,arctic circle|reporter|small town|volunteer|whale,2012,596
22,10413,4327,basketball|boy|italian|kidnapping a child|reunion,1999,642
