director_facebook_likes,gross,content_rating,budget,title_year,movie_facebook_likes
0,34300771,R,25000000,2006,0
189,34290142,R,19800000,2014,14000
53,33422556,PG-13,20000000,2008,0
406,32774834,R,30000000,2004,0
34,34334256,R,11000000,2013,16000
36,32051917,R,20000000,1995,0
92,32014289,PG-13,20000000,2013,13000
32,,PG-13,20000000,1969,0
835,31838002,R,20000000,2008,10000
58,36874745,PG-13,20000000,2016,21000
17,30079316,R,35000000,2002,0
12,35033759,R,19000000,2011,21000
39,29753944,R,20000000,1998,0
29,29062561,PG-13,,2009,0
108,31146570,R,20000000,2010,0
350,27277055,R,20000000,2000,10000
2,26876529,PG-13,27000000,2008,0
154,53146000,R,20000000,1996,613
79,30028592,R,20000000,2008,0
1000,34126138,R,20000000,2004,52000
99,25677801,PG,20000000,2010,0
453,26415649,R,20000000,2008,0
1000,26003149,R,20000000,2013,49000
26,25584685,PG,20000000,2007,590
35,29975979,R,20000000,2009,0
14,31584722,R,20000000,2010,0
15,23179303,PG,20000000,2011,6000
19,23078294,PG-13,9000000,2006,0
23,21413105,PG-13,20000000,1990,0
0,25077977,PG,20000000,2010,0
212,23292105,PG-13,20000000,2006,3000
31,26870825,PG-13,,2006,0
0,20916309,PG,40000000,2009,431
835,21200000,R,20000000,1995,1000
24,28876924,PG-13,20000000,2016,0
0,20207003,R,,2008,0
0,20241395,R,20000000,1998,0
,,,,,124
13000,32000000,R,806947,1960,18000
41,19151864,R,40000000,2008,0
19,23393765,PG-13,20000000,2014,0
0,18882880,R,20000000,2007,681
15,8500000,PG,20000000,1981,501
503,,PG-13,20000000,1985,0
160,18252684,PG,30000000,1998,0
57,19661987,R,20000000,2007,0
0,18352454,R,15000000,2007,76000
480,17803796,PG-13,20000000,2006,484
83,17529157,R,20000000,2012,25000
0,25753840,R,19000000,1996,12000
0,18081626,G,20000000,2005,264
0,17518220,PG-13,20000000,1995,0
0,17104669,R,20000000,2004,0
,,,,,4
0,16988996,G,35000000,2002,422
395,15797907,PG-13,20000000,2007,0
0,16248701,R,20000000,2003,0
2,15712072,PG-13,20000000,2004,269
308,191449475,PG-13,37000000,2008,19000
13,15408822,PG-13,20000000,2003,401
143,15464026,PG-13,20000000,2000,1000
909,14359793,R,,2009,10000
126,8000000,G,20000000,1965,1000
53,,PG-13,19500000,2015,0
82,14174654,PG-13,25000000,2008,0
190,15988876,PG-13,27000000,2009,0
36,13801755,PG,20000000,1997,0
20,13987482,R,20000000,2011,0
4,14291570,PG-13,20000000,2012,10000
272,12181484,PG-13,40000000,2004,713
83,13630226,R,20000000,2009,0
11000,13383737,R,20000000,1994,979
6,13391174,PG,20000000,2006,0
176,12987647,R,30000000,2002,983
563,12469811,R,22000000,2005,0
394,12398628,R,20000000,2002,977
192,13214030,PG-13,20000000,2008,0
212,12232937,PG-13,22000000,2009,0
198,12134420,R,20000000,2010,25000
18,11784000,PG,20000000,1994,444
1000,11169531,PG-13,20000000,2008,0
350,11034436,R,20000000,2005,0
214,12626905,R,20000000,2016,0
11000,10569071,R,20000000,1997,0
4,10544143,PG-13,20000000,1999,311
53,13650738,R,20000000,2015,25000
277,10555348,PG-13,20000000,1989,855
11000,9714482,R,20000000,1996,0
0,8579684,R,9000000,2007,0
0,9525276,R,20000000,2007,0
52,8855646,PG-13,21000000,2009,10000
84,9109322,PG,20000000,2004,0
10,8326035,PG-13,33000000,2005,676
10,8104069,PG-13,20000000,2007,233
54,8054280,PG-13,20000000,2004,924
189,,G,20000000,1969,548
0,8093318,R,20000000,2014,18000
3,7382993,G,20000000,2006,346
9,8888355,PG-13,20000000,2013,0
,,TV-14,,,0
119,7001720,PG-13,12000000,2008,797
0,7268659,R,20000000,2013,48000
17,6852144,PG-13,22000000,2003,0
29,6563357,R,20000000,2008,847
608,6201757,R,10000000,1999,608
38,6420319,PG-13,20000000,2015,15000
0,5702083,R,15000000,2011,36000
0,5480996,R,8700000,2006,0
150,6002756,PG,20000000,2012,13000
892,5132655,R,20000000,2005,1000
650,5205343,PG,20000000,2009,1000
143,5005883,R,20000000,2004,0
78,5749134,R,20000000,2014,0
329,,R,20000000,2008,971
18,4234040,PG-13,20000000,2008,0
162,4001121,R,20000000,2007,0
19,3749061,PG-13,20000000,2012,0
0,3519627,PG-13,20000000,2008,0
0,3081925,R,21000000,2008,13000
6000,2298191,PG-13,2400000000,1997,11000
22,2353728,PG-13,20000000,2003,235
42,2000000,PG,20000000,1980,1000
214,1900725,R,2000000,2005,0
14,2246000,PG,20000000,2015,0
121,1646664,R,20000000,2003,241
110,1190018,R,20000000,2002,20000
55,1027749,R,40000000,2008,1000
115,882710,R,24000000,2000,401
12,1064277,G,20000000,2012,831
11000,531009,R,10000000,2015,0
78,410388,PG-13,2127519898,2004,973
25,375474,PG,20000000,2005,445
46,578382,R,,2010,0
58,305070,R,20000000,1994,399
0,206678,PG,,2008,1000
8,146072,,140000000,1998,136
14,1183354,PG-13,20000000,2010,0
3,121972,R,22000000,2002,217
,,,,,0
278,263365,PG-13,20000000,2010,0
448,54734,R,,2015,0
23,,,13000,2007,30
10,,R,25000000,2008,314
5,,R,20000000,2007,0
0,,G,20000000,2012,1000
0,,,,2014,58
2,,PG,20000000,2014,70
23,,R,20000000,2016,0
160,,PG-13,20000000,2015,0
17,,R,27220000,2013,11000
43,8047690,PG-13,19400000,2006,0
34,476270,R,20000000,2008,0
0,184208848,PG-13,22000000,1990,0
52,100292856,R,20000000,2011,16000
17,58571513,R,19000000,1989,0
15,51431160,PG,20000000,2004,0
0,103001286,R,15000000,1996,11000
17,41867960,R,20000000,2001,0
0,,R,19000000,1980,37000
0,210609762,PG,19000000,1985,39000
37,40846082,R,19000000,1999,0
0,51697449,PG-13,13000000,2009,1000
97,,,27000000,2016,1000
8,27758465,PG-13,19000000,2010,0
189,56127162,PG-13,18000000,2003,0
93,1357042,R,15000000,2011,14000
,,TV-14,,,0
2,15911333,G,19000000,2000,663
42,39103378,R,20000000,2010,0
6000,10049886,PG,19000000,2001,28000
0,,,,2013,332
79,8600000,PG,25000000,1984,1000
33,21483154,PG-13,19000000,2013,53000
51,8396942,R,19000000,2008,0
14,12561,PG,19000000,2010,13000
75,,Approved,19000000,1964,560
31,6923891,R,23000000,2011,0
33,5308553,PG,,2012,0
22,2119994,G,19000000,1993,238
500,1292527,R,19000000,1996,228
44,560512,R,,2016,599
15,64255243,R,19000000,2005,0
0,22245861,R,19000000,2002,0
0,20433940,R,15000000,2005,0
15,,PG-13,,2013,124
0,10562387,R,18500000,1998,15000
0,18439082,PG-13,18500000,2009,13000
89,150056505,R,18000000,2014,21000
55,119938730,PG-13,18000000,1994,0
545,114968774,PG,18000000,1988,0
119,128505958,R,18000000,2006,0
126,95001351,PG-13,18000000,2001,0
12000,76400000,PG,17000000,1984,0
301,75072454,PG-13,20000000,2005,0
31,65535067,R,17000000,1999,0
179,13998282,PG-13,16000000,2014,31000
15,6061759,PG-13,17000000,2005,0
8,64955956,PG-13,18000000,2004,265
72,60057639,R,18000000,2003,10000
116,53868030,PG-13,17000000,1997,0
52,59573085,PG-13,18000000,2016,19000
42,52691009,PG,21000000,2011,0
323,59735548,R,15000000,1987,13000
869,51600000,R,18000000,1984,16000
29,43818159,PG-13,20000000,2008,1000
70,86049418,PG-13,17000000,2004,0
22,43601508,PG-13,18000000,2003,0
500,41300105,R,19800000,2001,0
,,TV-PG,,,0
0,41382841,PG-13,18000000,1986,0
0,42335698,R,18000000,2014,114000
11000,33404871,PG-13,18000000,2013,36000
521,31471430,R,15000000,2006,0
23,30222640,PG-13,25000000,2003,0
380,26830000,R,18000000,1989,0
8,26906039,PG-13,18000000,1996,588
0,21378000,R,1000000,1980,7000
80,43853424,PG,18000000,2011,15000
0,,R,18000000,1970,0
62,23993605,R,18000000,2009,0
130,26400000,PG,18000000,1984,2000
17000,45250,R,18000000,1980,0
7,22927390,PG-13,18000000,2009,0
272,4250320,PG-13,18000000,1985,0
64,22452209,PG,18000000,2009,0
0,18329466,R,18000000,2010,63000
11000,17071230,PG,18000000,2000,812
13,17174870,PG-13,18000000,2000,0
24,26284475,PG-13,17000000,2015,0
38,16702864,PG,18000000,2004,591
34,15561627,R,18000000,2001,0
0,17750583,R,30000000,2015,23000
0,14793904,PG-13,18000000,2009,0
44,15281286,R,18000000,2009,0
28,8000000,PG,18000000,1981,346
128,13491653,R,18000000,2001,813
0,,R,18000000,1981,2000
31,10494494,PG-13,18000000,2013,4000
0,7837632,R,18000000,1997,0
