duration,actor_1_facebook_likes,gross,actor_1_name,movie_imdb_link,language,country,content_rating,title_year,imdb_score,aspect_ratio
117,10000,162586036,Will Smith,http://www.imdb.com/title/tt0454921/?ref_=fn_tt_tt_1,English,USA,PG-13,2006,8.0,2.35
98,931,89706988,Erika Christensen,http://www.imdb.com/title/tt0408790/?ref_=fn_tt_tt_1,English,USA,PG-13,2005,6.2,2.35
128,2000,83000000,Demi Moore,http://www.imdb.com/title/tt0109635/?ref_=fn_tt_tt_1,English,USA,R,1994,6.0,2.35
114,12000,78745923,Nicolas Cage,http://www.imdb.com/title/tt0120632/?ref_=fn_tt_tt_1,English,Germany,PG-13,1998,6.7,2.35
111,926,70098138,David Carradine,http://www.imdb.com/title/tt0266697/?ref_=fn_tt_tt_1,English,USA,R,2003,8.1,2.35
85,21000,66365290,Robert Downey Jr.,http://www.imdb.com/title/tt0131325/?ref_=fn_tt_tt_1,English,USA,PG-13,1999,6.4,1.37
44,847,,Christopher Judge,http://www.imdb.com/title/tt0118480/?ref_=fn_tt_tt_1,English,USA,TV-14,,8.4,1.33
137,890,66207920,Vivica A. Fox,http://www.imdb.com/title/tt0378194/?ref_=fn_tt_tt_1,English,USA,R,2004,8.0,2.35
97,13000,63408614,Sylvester Stallone,http://www.imdb.com/title/tt0098439/?ref_=fn_tt_tt_1,English,USA,R,1989,6.3,2.35
104,13000,58422650,Bruce Willis,http://www.imdb.com/title/tt0104070/?ref_=fn_tt_tt_1,English,USA,PG-13,1992,6.4,1.85
110,485,56932305,Xander Berkeley,http://www.imdb.com/title/tt0184894/?ref_=fn_tt_tt_1,English,USA,PG-13,2000,6.6,2.35
133,1000,68750000,Oliver Platt,http://www.imdb.com/title/tt0116253/?ref_=fn_tt_tt_1,English,USA,R,1996,6.4,2.35
94,1000,68218041,Madeline Carroll,http://www.imdb.com/title/tt1396218/?ref_=fn_tt_tt_1,English,USA,PG,2011,6.0,1.85
104,5000,25040293,Jet Li,http://www.imdb.com/title/tt0865556/?ref_=fn_tt_tt_1,English,USA,PG-13,2008,6.6,2.35
91,1000,55747724,Amy Poehler,http://www.imdb.com/title/tt1621039/?ref_=fn_tt_tt_1,English,USA,PG,2013,5.9,1.85
145,534,55473600,Charles S. Dutton,http://www.imdb.com/title/tt0103644/?ref_=fn_tt_tt_1,English,USA,R,1992,6.4,2.35
135,57,49994804,Andrea Corr,http://www.imdb.com/title/tt0116250/?ref_=fn_tt_tt_1,English,USA,PG,1996,6.3,2.35
122,22000,41609593,Robert De Niro,http://www.imdb.com/title/tt0122690/?ref_=fn_tt_tt_1,English,UK,R,1998,7.3,2.35
110,1000,38553833,Tom Wilkinson,http://www.imdb.com/title/tt0116409/?ref_=fn_tt_tt_1,English,USA,R,1996,6.8,2.35
95,838,76137505,Julie Walters,http://www.imdb.com/title/tt1109624/?ref_=fn_tt_tt_1,English,UK,PG,2014,7.2,2.35
102,622,34350553,Will Forte,http://www.imdb.com/title/tt1298649/?ref_=fn_tt_tt_1,English,USA,R,2012,5.7,2.35
94,933,34238611,Connie Nielsen,http://www.imdb.com/title/tt0269347/?ref_=fn_tt_tt_1,English,USA,R,2003,6.0,1.85
126,12000,34098563,Anthony Hopkins,http://www.imdb.com/title/tt0128278/?ref_=fn_tt_tt_1,English,USA,R,1999,6.5,2.35
118,13000,33828318,Matt Damon,http://www.imdb.com/title/tt0338466/?ref_=fn_tt_tt_1,English,USA,PG-13,2003,5.8,2.35
99,8000,33472850,Will Ferrell,http://www.imdb.com/title/tt0839980/?ref_=fn_tt_tt_1,English,USA,R,2008,5.8,2.35
88,4000,31051126,Salma Hayek,http://www.imdb.com/title/tt1430626/?ref_=fn_tt_tt_1,English,UK,PG,2012,6.7,2.35
141,11000,35707327,Angelina Jolie Pitt,http://www.imdb.com/title/tt0824747/?ref_=fn_tt_tt_1,English,USA,R,2008,7.8,2.35
107,18000,20550712,Keanu Reeves,http://www.imdb.com/title/tt0115857/?ref_=fn_tt_tt_1,English,USA,PG-13,1996,5.6,1.85
116,22000,18573791,Robert De Niro,http://www.imdb.com/title/tt0116277/?ref_=fn_tt_tt_1,English,USA,R,1996,5.8,2.35
143,18000,51225796,Gerard Butler,http://www.imdb.com/title/tt0293508/?ref_=fn_tt_tt_1,English,UK,PG-13,2004,7.4,2.35
114,13000,16264475,Eddie Redmayne,http://www.imdb.com/title/tt0414055/?ref_=fn_tt_tt_1,English,UK,PG-13,2007,6.9,1.85
93,9000,25857987,Charlize Theron,http://www.imdb.com/title/tt0402022/?ref_=fn_tt_tt_1,English,USA,PG-13,2005,5.5,2.35
280,789,12870569,Billy Campbell,http://www.imdb.com/title/tt0279111/?ref_=fn_tt_tt_1,English,USA,PG-13,2003,6.3,2.35
100,995,11466088,Hector Elizondo,http://www.imdb.com/title/tt0120390/?ref_=fn_tt_tt_1,English,USA,R,1997,4.7,2.35
107,939,16088610,Stephen Root,http://www.imdb.com/title/tt0780567/?ref_=fn_tt_tt_1,English,USA,PG,2009,5.6,2.35
119,3000,51178893,Ty Burrell,http://www.imdb.com/title/tt2281587/?ref_=fn_tt_tt_1,English,USA,PG,2014,6.4,1.85
95,956,6768055,Sophia Myles,http://www.imdb.com/title/tt0167456/?ref_=fn_tt_tt_1,English,UK,PG,2004,4.2,1.85
119,2000,39440655,Eric Dane,http://www.imdb.com/title/tt1126591/?ref_=fn_tt_tt_1,English,USA,PG-13,2010,6.4,2.35
133,226,6167817,Denis Lavant,http://www.imdb.com/title/tt0344510/?ref_=fn_tt_tt_1,French,France,R,2004,7.7,2.35
152,617,,James Mason,http://www.imdb.com/title/tt0056193/?ref_=fn_tt_tt_1,English,UK,Not Rated,1962,7.7,1.66
96,13000,,Sylvester Stallone,http://www.imdb.com/title/tt0160184/?ref_=fn_tt_tt_1,English,USA,R,2002,5.3,2.35
117,12000,81645152,Norman Reedus,http://www.imdb.com/title/tt0187738/?ref_=fn_tt_tt_1,English,USA,R,2002,6.7,1.85
123,10000,69951824,Will Smith,http://www.imdb.com/title/tt0814314/?ref_=fn_tt_tt_1,English,USA,PG-13,2008,7.7,2.35
92,13000,9483821,Sylvester Stallone,http://www.imdb.com/title/tt1308729/?ref_=fn_tt_tt_1,English,USA,R,2012,5.7,1.85
170,14000,66676062,Al Pacino,http://www.imdb.com/title/tt0099674/?ref_=fn_tt_tt_1,English,USA,R,1990,7.6,1.85
123,5000,26838389,Orlando Bloom,http://www.imdb.com/title/tt0368709/?ref_=fn_tt_tt_1,English,USA,PG-13,2005,6.4,1.85
110,277,75604320,Todd Stashwick,http://www.imdb.com/title/tt0463034/?ref_=fn_tt_tt_1,English,USA,PG-13,2006,5.6,1.85
116,593,108200000,Margot Kidder,http://www.imdb.com/title/tt0081573/?ref_=fn_tt_tt_1,English,USA,PG,1980,6.8,2.35
121,117,5660084,Todd Giebenhain,http://www.imdb.com/title/tt0299930/?ref_=fn_tt_tt_1,English,USA,R,2003,2.4,2.35
128,14000,7221458,Kate Winslet,http://www.imdb.com/title/tt0405676/?ref_=fn_tt_tt_1,English,Germany,PG-13,2006,6.2,1.85
99,23000,70327868,Christian Bale,http://www.imdb.com/title/tt0162650/?ref_=fn_tt_tt_1,English,Germany,R,2000,5.9,2.35
94,4000,58297830,Kirsten Dunst,http://www.imdb.com/title/tt0118617/?ref_=fn_tt_tt_1,English,USA,G,1997,7.1,2.35
127,1000,57386369,Jim Broadbent,http://www.imdb.com/title/tt0203009/?ref_=fn_tt_tt_1,English,USA,PG-13,2001,7.6,2.35
89,12000,45207112,Steve Buscemi,http://www.imdb.com/title/tt0249478/?ref_=fn_tt_tt_1,English,USA,PG-13,2001,5.5,2.35
123,40000,62563543,Johnny Depp,http://www.imdb.com/title/tt1355683/?ref_=fn_tt_tt_1,English,USA,R,2015,7.0,2.35
135,23000,33574332,Paul Walker,http://www.imdb.com/title/tt0418689/?ref_=fn_tt_tt_1,English,USA,R,2006,7.1,2.35
118,18000,73343413,Gerard Butler,http://www.imdb.com/title/tt1197624/?ref_=fn_tt_tt_1,English,USA,R,2009,7.4,2.35
189,16000,25031037,Quentin Tarantino,http://www.imdb.com/title/tt0462322/?ref_=fn_tt_tt_1,English,USA,R,2007,7.6,2.35
172,852,22843047,Oprah Winfrey,http://www.imdb.com/title/tt0120603/?ref_=fn_tt_tt_1,English,USA,R,1998,5.9,1.85
124,21000,5755286,Robert Downey Jr.,http://www.imdb.com/title/tt0338216/?ref_=fn_tt_tt_1,English,USA,PG-13,2007,5.9,2.35
141,29000,164435221,Leonardo DiCaprio,http://www.imdb.com/title/tt0264464/?ref_=fn_tt_tt_1,English,USA,PG-13,2002,8.0,1.85
157,1000,95720716,Jennifer Ehle,http://www.imdb.com/title/tt1790885/?ref_=fn_tt_tt_1,English,USA,R,2012,7.4,1.85
106,4000,118683135,Jon Favreau,http://www.imdb.com/title/tt0452594/?ref_=fn_tt_tt_1,English,USA,PG-13,2006,5.8,1.85
108,14000,143704210,Colin Firth,http://www.imdb.com/title/tt0795421/?ref_=fn_tt_tt_1,English,USA,PG-13,2008,6.3,2.35
125,14000,110476776,Bradley Cooper,http://www.imdb.com/title/tt0817230/?ref_=fn_tt_tt_1,English,USA,PG-13,2010,5.7,1.85
107,631,80270227,Alice Greczyn,http://www.imdb.com/title/tt0377818/?ref_=fn_tt_tt_1,English,USA,PG-13,2005,5.1,2.35
215,648,36385763,Nick Stahl,http://www.imdb.com/title/tt0120863/?ref_=fn_tt_tt_1,English,USA,R,1998,7.6,2.35
118,16000,37035845,Ryan Reynolds,http://www.imdb.com/title/tt1488555/?ref_=fn_tt_tt_1,English,USA,R,2011,6.4,2.35
118,134,34580635,Matt Price,http://www.imdb.com/title/tt0125664/?ref_=fn_tt_tt_1,English,UK,R,1999,7.4,2.35
178,22000,42438300,Robert De Niro,http://www.imdb.com/title/tt0112641/?ref_=fn_tt_tt_1,English,USA,R,1995,8.2,2.35
92,211,23324666,Kasia Smutniak,http://www.imdb.com/title/tt1179034/?ref_=fn_tt_tt_1,English,France,R,2010,6.5,2.35
104,961,23020488,Jaime King,http://www.imdb.com/title/tt0245803/?ref_=fn_tt_tt_1,English,USA,PG-13,2003,5.5,2.35
116,889,90567722,Robert Forster,http://www.imdb.com/title/tt0183505/?ref_=fn_tt_tt_1,English,USA,R,2000,6.5,1.85
90,677,72601713,Rob Paulsen,http://www.imdb.com/title/tt0414853/?ref_=fn_tt_tt_1,English,Germany,PG,2006,5.6,1.85
93,2000,35092918,Matthew Broderick,http://www.imdb.com/title/tt0790604/?ref_=fn_tt_tt_1,English,USA,PG,2006,4.9,1.85
130,21000,296623634,Robert Pattinson,http://www.imdb.com/title/tt1259571/?ref_=fn_tt_tt_1,English,USA,PG-13,2009,4.6,2.35
90,145,267652016,Kathleen Freeman,http://www.imdb.com/title/tt0126029/?ref_=fn_tt_tt_1,English,USA,PG,2001,7.9,1.85
106,13000,62453315,Matt Damon,http://www.imdb.com/title/tt1385826/?ref_=fn_tt_tt_1,English,USA,PG-13,2011,7.1,1.85
155,25000,165500000,Alan Rickman,http://www.imdb.com/title/tt0102798/?ref_=fn_tt_tt_1,English,USA,PG-13,1991,6.9,1.85
139,10000,153620822,Tom Cruise,http://www.imdb.com/title/tt0116695/?ref_=fn_tt_tt_1,English,USA,R,1996,7.3,1.85
112,15000,218628680,Mila Kunis,http://www.imdb.com/title/tt1637725/?ref_=fn_tt_tt_1,English,USA,R,2012,7.0,1.85
139,625,147637474,Lupe Ontiveros,http://www.imdb.com/title/tt0119822/?ref_=fn_tt_tt_1,English,USA,PG-13,1997,7.7,1.85
115,49000,135014968,Robin Williams,http://www.imdb.com/title/tt0129290/?ref_=fn_tt_tt_1,English,USA,PG-13,1998,6.7,2.35
143,11000,2175312,Harrison Ford,http://www.imdb.com/title/tt1229340/?ref_=fn_tt_tt_1,English,USA,PG-13,2013,6.3,2.35
96,12000,126203320,Steve Buscemi,http://www.imdb.com/title/tt0280590/?ref_=fn_tt_tt_1,English,USA,PG-13,2002,5.8,1.85
112,1000,126975169,Joel Courtney,http://www.imdb.com/title/tt1650062/?ref_=fn_tt_tt_1,English,USA,PG-13,2011,7.1,2.35
131,8000,125548685,Julia Roberts,http://www.imdb.com/title/tt0195685/?ref_=fn_tt_tt_1,English,USA,R,2000,7.3,1.85
116,11000,105807520,Matthew McConaughey,http://www.imdb.com/title/tt0251127/?ref_=fn_tt_tt_1,English,USA,PG-13,2003,6.4,1.85
112,17000,191616238,Channing Tatum,http://www.imdb.com/title/tt2294449/?ref_=fn_tt_tt_1,English,USA,R,2014,7.1,2.35
123,11000,105264608,Brad Pitt,http://www.imdb.com/title/tt0110148/?ref_=fn_tt_tt_1,English,USA,R,1994,7.6,1.85
104,14000,97680195,Bradley Cooper,http://www.imdb.com/title/tt1068680/?ref_=fn_tt_tt_1,English,USA,PG-13,2008,6.8,2.35
107,12000,126088877,Dwayne Johnson,http://www.imdb.com/title/tt1489889/?ref_=fn_tt_tt_1,English,USA,PG-13,2016,6.6,2.35
124,8000,91030827,Julia Roberts,http://www.imdb.com/title/tt0120686/?ref_=fn_tt_tt_1,English,USA,PG-13,1998,6.7,2.35
96,8000,150315155,Will Ferrell,http://www.imdb.com/title/tt1528854/?ref_=fn_tt_tt_1,English,USA,PG-13,2015,6.1,1.85
125,40000,127997349,Johnny Depp,http://www.imdb.com/title/tt2180411/?ref_=fn_tt_tt_1,English,USA,PG,2014,6.0,2.39
129,18000,88504640,Denzel Washington,http://www.imdb.com/title/tt0454848/?ref_=fn_tt_tt_1,English,USA,R,2006,7.6,2.35
90,1000,81517441,Bill Duke,http://www.imdb.com/title/tt0120784/?ref_=fn_tt_tt_1,English,USA,R,1999,7.1,2.35
109,426,81022333,Dylan Walsh,http://www.imdb.com/title/tt0112715/?ref_=fn_tt_tt_1,English,USA,PG-13,1995,5.0,1.85
124,19000,75621915,Scarlett Johansson,http://www.imdb.com/title/tt1389137/?ref_=fn_tt_tt_1,English,USA,PG,2011,7.1,1.85
121,12000,79948113,Nicolas Cage,http://www.imdb.com/title/tt0448011/?ref_=fn_tt_tt_1,English,USA,PG-13,2009,6.2,2.35
95,14000,88658172,Bradley Cooper,http://www.imdb.com/title/tt0427229/?ref_=fn_tt_tt_1,English,USA,PG-13,2006,5.6,2.35
128,6000,75888270,Naomi Watts,http://www.imdb.com/title/tt0377109/?ref_=fn_tt_tt_1,English,USA,PG-13,2005,5.4,1.85
118,33000,84244877,Ryan Gosling,http://www.imdb.com/title/tt1570728/?ref_=fn_tt_tt_1,English,USA,PG-13,2011,7.4,2.39
80,13000,75367693,Bill Murray,http://www.imdb.com/title/tt0356634/?ref_=fn_tt_tt_1,English,USA,PG,2004,5.0,1.85
99,2000,73701902,Jamie Lee Curtis,http://www.imdb.com/title/tt0388419/?ref_=fn_tt_tt_1,English,USA,PG,2004,5.2,2.35
133,22000,75605492,Philip Seymour Hoffman,http://www.imdb.com/title/tt1210166/?ref_=fn_tt_tt_1,English,USA,PG-13,2011,7.6,1.85
127,18000,67823573,Kevin Spacey,http://www.imdb.com/title/tt0114069/?ref_=fn_tt_tt_1,English,USA,R,1995,6.6,1.85
106,14000,91439400,Liam Neeson,http://www.imdb.com/title/tt2024469/?ref_=fn_tt_tt_1,English,UK,PG-13,2014,7.0,2.35
98,12000,67128202,Dwayne Johnson,http://www.imdb.com/title/tt1075417/?ref_=fn_tt_tt_1,English,USA,PG,2009,5.7,2.35
132,20000,70496802,Natalie Portman,http://www.imdb.com/title/tt0434409/?ref_=fn_tt_tt_1,English,USA,R,2005,8.2,2.35
114,154,60470220,Fann Wong,http://www.imdb.com/title/tt0300471/?ref_=fn_tt_tt_1,English,USA,PG-13,2003,6.2,2.35
45,416,,Bernard Hill,http://www.imdb.com/title/tt4192812/?ref_=fn_tt_tt_1,English,UK,,,7.9,
78,8000,58336565,Will Ferrell,http://www.imdb.com/title/tt0381971/?ref_=fn_tt_tt_1,English,USA,G,2006,6.6,1.85
101,660,66002004,Scoot McNairy,http://www.imdb.com/title/tt0400497/?ref_=fn_tt_tt_1,English,USA,G,2005,4.7,1.85
113,1000,54997476,Oliver Platt,http://www.imdb.com/title/tt0260866/?ref_=fn_tt_tt_1,English,USA,R,2001,6.3,2.35
98,10000,55682070,Jeremy Renner,http://www.imdb.com/title/tt1428538/?ref_=fn_tt_tt_1,English,Germany,R,2013,6.1,2.35
124,838,52752475,Olivier Martinez,http://www.imdb.com/title/tt0250797/?ref_=fn_tt_tt_1,English,USA,R,2002,6.7,1.85
109,15000,55092830,Alex Pettyfer,http://www.imdb.com/title/tt1464540/?ref_=fn_tt_tt_1,English,USA,PG-13,2011,6.1,1.85
128,13000,50815288,Matt Damon,http://www.imdb.com/title/tt0365737/?ref_=fn_tt_tt_1,English,USA,R,2005,7.0,2.35
144,769,52822418,Toby Stephens,http://www.imdb.com/title/tt4172430/?ref_=fn_tt_tt_1,English,USA,R,2016,7.4,2.35
95,17000,50150619,Channing Tatum,http://www.imdb.com/title/tt2262227/?ref_=fn_tt_tt_1,English,USA,PG,2014,7.3,2.35
105,87000,48745150,Jimmy Bennett,http://www.imdb.com/title/tt0408345/?ref_=fn_tt_tt_1,English,USA,PG-13,2006,5.8,2.35
121,16000,50007168,Clint Eastwood,http://www.imdb.com/title/tt0118548/?ref_=fn_tt_tt_1,English,USA,R,1997,6.7,2.35
125,10000,48154732,Viggo Mortensen,http://www.imdb.com/title/tt0119173/?ref_=fn_tt_tt_1,English,USA,R,1997,5.8,2.35
129,495,48265581,Deborah Kara Unger,http://www.imdb.com/title/tt0119174/?ref_=fn_tt_tt_1,English,USA,R,1997,7.8,2.35
132,992,46982632,Radha Mitchell,http://www.imdb.com/title/tt0384537/?ref_=fn_tt_tt_1,English,Canada,R,2006,6.6,2.35
118,18000,44737059,Keanu Reeves,http://www.imdb.com/title/tt0191397/?ref_=fn_tt_tt_1,English,USA,PG-13,2000,6.5,1.85
113,3000,56724080,Alyson Hannigan,http://www.imdb.com/title/tt1605630/?ref_=fn_tt_tt_1,English,USA,R,2012,6.7,1.85
140,18000,44484065,Kevin Spacey,http://www.imdb.com/title/tt0120768/?ref_=fn_tt_tt_1,English,Germany,R,1998,7.3,2.35
89,490,47553512,Matt Walsh,http://www.imdb.com/title/tt2106361/?ref_=fn_tt_tt_1,English,USA,PG-13,2014,5.8,1.85
104,437,42610000,Louis Lombardi,http://www.imdb.com/title/tt0109254/?ref_=fn_tt_tt_1,English,USA,R,1994,5.5,1.85
106,16000,41482207,Christopher Lee,http://www.imdb.com/title/tt0099700/?ref_=fn_tt_tt_1,English,USA,PG-13,1990,6.3,1.85
141,21000,47105085,Robert Downey Jr.,http://www.imdb.com/title/tt1872194/?ref_=fn_tt_tt_1,English,USA,R,2014,7.4,2.35
124,294,41256277,Armin Mueller-Stahl,http://www.imdb.com/title/tt0119874/?ref_=fn_tt_tt_1,English,USA,R,1997,5.9,2.35
98,14000,50740078,Milla Jovovich,http://www.imdb.com/title/tt0318627/?ref_=fn_tt_tt_1,English,Germany,R,2004,6.2,2.35
108,14000,40203020,Colin Firth,http://www.imdb.com/title/tt0317198/?ref_=fn_tt_tt_1,English,UK,R,2004,5.9,2.35
114,18000,40905277,Denzel Washington,http://www.imdb.com/title/tt0313443/?ref_=fn_tt_tt_1,English,USA,R,2003,6.5,2.35
101,854,38590500,Mike Starr,http://www.imdb.com/title/tt0110725/?ref_=fn_tt_tt_1,English,USA,R,1994,4.4,2.35
93,12000,39177541,Taylor Lautner,http://www.imdb.com/title/tt0424774/?ref_=fn_tt_tt_1,English,USA,PG,2005,3.5,1.85
119,29000,39778599,Leonardo DiCaprio,http://www.imdb.com/title/tt0163978/?ref_=fn_tt_tt_1,English,USA,R,2000,6.6,2.35
119,627,37486138,Amber Valletta,http://www.imdb.com/title/tt0350028/?ref_=fn_tt_tt_1,English,USA,PG-13,2004,6.0,1.85
99,330,38105077,Shô Kosugi,http://www.imdb.com/title/tt1186367/?ref_=fn_tt_tt_1,English,USA,R,2009,6.4,2.35
137,24000,35168395,J.K. Simmons,http://www.imdb.com/title/tt0126916/?ref_=fn_tt_tt_1,English,USA,PG-13,1999,6.5,2.35
105,325,,David Jason,http://www.imdb.com/title/tt0108967/?ref_=fn_tt_tt_1,English,UK,,,7.8,1.33
117,2000,32800000,Demi Moore,http://www.imdb.com/title/tt0117765/?ref_=fn_tt_tt_1,English,USA,R,1996,4.3,1.85
87,15000,33643461,Emma Stone,http://www.imdb.com/title/tt1392197/?ref_=fn_tt_tt_1,English,USA,PG,2010,4.2,2.35
129,13000,32741596,Matt Damon,http://www.imdb.com/title/tt1212419/?ref_=fn_tt_tt_1,English,USA,PG-13,2010,6.5,2.35
115,33000,31874869,Ryan Gosling,http://www.imdb.com/title/tt0264935/?ref_=fn_tt_tt_1,English,USA,R,2002,6.1,1.85
132,45000,30306268,Muse Watson,http://www.imdb.com/title/tt0112401/?ref_=fn_tt_tt_1,English,France,R,1995,6.3,1.85
131,879,27667947,Li Gong,http://www.imdb.com/title/tt0367959/?ref_=fn_tt_tt_1,English,UK,R,2007,6.2,2.35
95,13000,27067160,Bruce Willis,http://www.imdb.com/title/tt0160916/?ref_=fn_tt_tt_1,English,USA,R,1999,5.9,1.85
125,430,26616999,J.D. Evermore,http://www.imdb.com/title/tt1517260/?ref_=fn_tt_tt_1,English,USA,PG-13,2013,5.9,2.35
98,933,26536120,Connie Nielsen,http://www.imdb.com/title/tt0264395/?ref_=fn_tt_tt_1,English,Germany,R,2003,6.5,2.35
110,16000,26199517,Clint Eastwood,http://www.imdb.com/title/tt0309377/?ref_=fn_tt_tt_1,English,USA,R,2002,6.4,2.35
118,6000,25450527,Naomi Watts,http://www.imdb.com/title/tt0963178/?ref_=fn_tt_tt_1,English,USA,R,2009,6.5,2.35
101,12000,25407250,Steve Buscemi,http://www.imdb.com/title/tt0116225/?ref_=fn_tt_tt_1,English,USA,R,1996,5.7,2.35
60,629,,Grey Damon,http://www.imdb.com/title/tt2355844/?ref_=fn_tt_tt_1,English,USA,,,7.5,16.0
90,14000,23159305,Vin Diesel,http://www.imdb.com/title/tt0129167/?ref_=fn_tt_tt_1,English,USA,PG,1999,8.0,2.35
119,13000,24006726,Bill Murray,http://www.imdb.com/title/tt0362270/?ref_=fn_tt_tt_1,English,USA,R,2004,7.3,2.35
139,11000,20389967,Matthew McConaughey,http://www.imdb.com/title/tt1124037/?ref_=fn_tt_tt_1,English,USA,R,2016,6.7,1.85
