director_name,duration,actor_3_facebook_likes,actor_1_facebook_likes,movie_title,num_voted_users,cast_total_facebook_likes,plot_keywords,num_user_for_reviews,actor_2_facebook_likes,imdb_score
Renny Harlin,125,394,613,Exorcist: The Beginning ,28635,1970,archeologist|church|excavation|faith|relic,308,422,5.1
David Kellogg,110,692,2000,Inspector Gadget ,36491,5320,actor playing multiple roles|claw|gadget|inspector|police,231,710,4.1
Louis Leterrier,125,963,11000,Now You See Me ,447979,13312,bank|fbi|heist|interpol|magician,629,988,7.3
Dennis Dugan,102,4000,12000,Grown Ups ,181443,28497,basketball|coach|daughter|high school|high school basketball,311,11000,6.0
Steven Spielberg,128,232,15000,The Terminal ,303864,16199,airport|construction site|fish out of water|flight attendant|man without a country,596,466,7.3
,43,218,1000,Constantine             ,36919,1990,based on comic|based on comic book|dc arrowverse|dc comics|supernatural,94,560,7.5
Thor Freudenthal,100,446,3000,Hotel for Dogs ,16271,5174,abandoned hotel|dog|foster home|overalls|playing with a dog,57,576,5.4
Martin Campbell,124,748,867,Vertical Limit ,49536,3424,death|die hard scenario|k2|rescue|urination,379,826,5.9
Mike Nichols,102,15000,22000,Charlie Wilson's War ,88451,60646,afghanistan|arms dealer|based on true story|cia|texas,289,15000,7.1
Bibo Bergeron,90,11000,22000,Shark Tale ,132415,63165,anchor|fish|mobster|shark|vegetarian,288,17000,6.0
Bill Condon,130,525,912,Dreamgirls ,55901,2856,1960s|fire|pop chart|singer|trio,503,549,6.5
,45,0,374,Life             ,29450,504,cop|murder|partner|police|protective male,67,130,8.3
F. Gary Gray,118,680,12000,Be Cool ,59435,15889,concert|mobster|russian|sequel|widow,323,1000,5.7
Steven Spielberg,163,412,745,Munich ,176936,2529,arab|black september|israel|jew|munich olympics,824,486,7.6
Antoine Fuqua,142,787,13000,Tears of the Sun ,93494,16580,dictator|doctor|jungle|rebel|refugee,394,1000,6.6
Robert Luketic,100,925,19000,Killers ,72867,25206,hired killer|marriage|neighbor|on the run|store clerk,120,1000,5.4
Guy Ritchie,116,104,15000,The Man from U.N.C.L.E. ,175960,15735,box office flop|cia agent|criminal organization|kgb agent|nuclear bomb,360,509,7.3
James L. Brooks,131,138,11000,Spanglish ,65668,12522,chef|college|housekeeper|letter|mexico,342,964,6.5
Gil Kenan,91,925,12000,Monster House ,71137,17299,babysitter|halloween|house|neighbor|suburb,229,970,6.6
Barry Levinson,123,193,13000,Bandits ,57038,13934,bank manager|hypochondriac|love triangle|prison|television,261,450,6.6
Jerry Zucker,134,249,919,First Knight ,55350,1695,battle|king|king arthur|knight|marriage,180,303,5.9
Andy Tennant,148,99,582,Anna and the King ,31080,804,1860s|children|king|schoolteacher|siam,217,103,6.7
Tarsem Singh,110,222,15000,Immortals ,138190,16691,burned alive|castration|olympus|torture|torture device,405,1000,6.1
Florent-Emilio Siri,113,759,87000,Hostage ,93790,103354,california|hostage|hostage negotiator|organized crime|police,288,13000,6.6
Don Bluth,94,886,13000,Titan A.E. ,52244,15857,alien|captain|escape|pilot|scientist,377,1000,6.6
Ron Shelton,116,541,11000,Hollywood Homicide ,31293,14028,audition|kissing while having sex|machismo|murder|sex,254,982,5.3
Paul W.S. Anderson,99,533,933,Soldier ,44248,2542,crash survivor|planet|sergeant|soldier|survivor,373,722,6.0
David Pastor,84,394,3000,Carriers ,35510,4368,beach|disease|latex gloves|pandemic|virus,119,552,6.0
Henry Selick,93,637,3000,Monkeybone ,14280,5580,carnival|coma|death|monkey|nightmare,171,889,4.7
John Moore,113,568,2000,Flight of the Phoenix ,45815,4397,captain|desert|rescue|stranded|survivor,222,845,6.1
M. Night Shyamalan,106,963,18000,Unbreakable ,245152,33645,child with gun|comic book|invulnerability|superhero|train crash,1344,13000,7.2
Kyle Balda,91,1000,7000,Minions ,142403,13616,antarctica|minion|queen|super villain|villain,275,4000,6.4
Zack Snyder,128,826,4000,Sucker Punch ,197584,7067,alternate reality|escape|girl gang|prostitution|samurai,918,2000,6.1
Brian De Palma,98,697,12000,Snake Eyes ,64121,15269,assassination|boxing|casino|conspiracy|long take,241,854,5.9
Barry Levinson,134,215,548,Sphere ,81611,1044,manifestation|ocean|spacecraft|spaceship|sphere,274,270,6.0
Clay Kaytis,97,415,22000,The Angry Birds Movie ,27130,24350,butt|downward duck|fish|kingfisher|pig,126,1000,6.3
Andy Tennant,112,715,11000,Fool's Gold ,59352,13827,debt|rapper|treasure|treasure hunter|yacht,138,1000,5.6
Judd Apatow,153,130,11000,Funny People ,100837,11852,breasts|comedian|craigslist|infidelity|stand up comedian,301,561,6.4
Peter Berg,110,461,3000,The Kingdom ,101386,5187,al qaeda|bomb making|fbi|saudi arabia|stabbed in the crotch,289,638,7.1
Adam McKay,122,989,8000,Talladega Nights: The Ballad of Ricky Bobby ,130776,12410,car racing|french|friend|nascar|racing,437,1000,6.6
Steve Carr,87,574,1000,Dr. Dolittle 2 ,33884,3287,bear|doctor|false accusation|man with glasses|second part,79,692,4.6
Mel Gibson,178,403,906,Braveheart ,736638,1976,14th century|legend|revolt|scotland|tyranny,1065,466,8.4
Sam Mendes,125,210,15000,Jarhead ,143525,15850,american abroad|gulf war|u.s. military|u.s. soldier|usmc,657,383,7.1
David Silverman,87,433,745,The Simpsons Movie ,259083,3086,alaska|dome|lake|pig|the simpsons,763,440,7.4
Frank Darabont,152,745,940,The Majestic ,45031,4310,amnesia|california|communist|small town|writer,376,826,6.9
Renny Harlin,116,462,13000,Driven ,34435,14780,car race|german|race car|race car driver|rookie,346,658,4.5
Jean-Jacques Annaud,109,8,21,Two Brothers ,11798,55,circus|death of protagonist|jungle|killing an animal|tiger,124,17,7.1
M. Night Shyamalan,108,882,3000,The Village ,193770,7273,creature|pact|plot twist|village|woods,2003,2000,6.5
Betty Thomas,85,595,1000,Doctor Dolittle ,74343,4166,box office hit|doctor|dog|first part|tiger,98,1000,5.3
M. Night Shyamalan,106,242,710,Signs ,271592,1675,crop circle|faith|farm|glass of water|loss of faith,2335,529,6.7
Andrew Adamson,93,48,692,Shrek 2 ,314630,1148,drag queen|physical appearance|princess|queen|sequel,483,309,7.2
John Lasseter,117,769,1000,Cars ,263853,4905,car|desert|route 66|tow truck|truck,584,843,7.2
Garry Marshall,116,995,8000,Runaway Bride ,74274,12790,bride|columnist|journalist|maryland|wedding,255,3000,5.5
Rob Cohen,132,212,14000,xXx ,142569,14790,agent|nsa|nsa agent|prague|russian,737,223,5.8
Paul Tibbitt,92,726,870,The SpongeBob Movie: Sponge Out of Water ,34359,5217,book|magic|pirate|plankton|time machine,133,861,6.0
Ron Howard,139,808,960,Ransom ,98989,3667,bounty|fbi|millionaire|money|ransom,158,848,6.6
Quentin Tarantino,153,11000,13000,Inglourious Basterds ,885175,36741,france|german|nazis|revenge|scalping,1527,11000,8.3
Steven Spielberg,142,5000,49000,Hook ,182802,64259,1990s|caught in a net|children|duel|hero,363,8000,6.7
Brett Ratner,101,467,12000,Hercules ,115687,16235,army|greek mythology|hercules|king|mercenary,269,3000,6.0
Renny Harlin,124,576,13000,Die Hard 2 ,269858,16595,airport|fuel|plane|police|terrorist,316,982,7.1
Clark Johnson,117,1000,10000,S.W.A.T. ,119807,14486,hostage|police|prison|swat team|training,340,1000,6.0
,45,160,898,Sleepy Hollow             ,49049,1430,apocalypse|death|husband wife relationship|mother son relationship|murder,110,372,7.5
Cameron Crowe,141,509,10000,Vanilla Sky ,206776,11458,death|dream|love|lynchian|reality,1248,834,6.9
M. Night Shyamalan,110,559,3000,Lady in the Water ,78635,5609,apartment|bedtime story|eagle|stuttering|swimming pool,1040,579,5.6
Paul W.S. Anderson,109,727,886,AVP: Alien vs. Predator ,143628,3222,alien|antarctica|predator|pyramid|satellite,1283,766,5.6
Betty Thomas,88,1000,1000,Alvin and the Chipmunks: The Squeakquel ,31649,5227,adidas|chipmunk|hospital|school|waste container,98,1000,4.5
Randall Wallace,124,841,4000,We Were Soldiers ,103241,6181,air cavalry|battle|major|soldier|vietnamese,742,973,7.1
Antoine Fuqua,119,992,18000,Olympus Has Fallen ,203154,31782,political thriller|politics|president|speaker of the house|u.s. president,698,11000,6.5
Jonathan Frakes,103,748,1000,Star Trek: Insurrection ,56741,6207,alien|captain|commander|conspiracy|planet,515,906,6.4
Jonathan Liebesman,116,464,833,Battle Los Angeles ,154955,4001,alien|extraterrestrial|invasion|marine|mission,800,697,5.8
Tim Burton,125,883,12000,Big Fish ,350698,16138,dog saved from a fire|flashback|growing up|multiple narrators|traveling salesman,816,1000,8.0
Mike Nichols,125,184,443,Wolf ,43559,1439,blood|publisher|publishing house|werewolf|wolf,137,277,6.2
Steven Spielberg,146,979,25000,War Horse ,116159,46726,barbed wire|british|cavalry|horse|world war one,488,19000,7.2
George Clooney,118,559,13000,The Monuments Men ,102248,27674,art|art expert|nazi stolen art|soldier|world war two,403,13000,6.1
James Cameron,171,638,2000,The Abyss ,131217,4074,alien|estranged couple|ocean|submarine|underwater,380,650,7.6
Oliver Stone,136,17,903,Wall Street: Money Never Sleeps ,84118,1579,corporate greed|crisis|economy|greed|mentor,245,592,6.3
Gary Shore,92,423,3000,Dracula Untold ,138582,5178,death of wife|dracula|tarantula|turk|vampire,423,692,6.3
Edward Zwick,116,774,18000,The Siege ,58023,32563,abduction|martial law|military|new york city|terrorist,281,13000,6.3
Matthew Vaughn,127,271,15000,Stardust ,212085,16034,king|magic|one word title|pirate|village,492,588,7.7
Jean-Jacques Annaud,136,400,11000,Seven Years in Tibet ,96385,12226,austria|dalai lama|himalaya|mountain|tibet,119,691,7.0
Ron Howard,111,244,17000,The Dilemma ,43709,18510,best friend|friend|investigation|secret|two word title,141,1000,5.3
Joel Schumacher,116,384,12000,Bad Company ,39659,12993,cia|cia agent|terrorist|twin|twin brother,189,405,5.6
Andrzej Bartkowiak,113,452,12000,Doom ,88146,13517,commando unit|extra chromosome|first person shooter|special forces|teleportation,814,585,5.2
Betty Thomas,97,150,989,I Spy ,41663,1576,boxer|espionage|spy|stealth|top secret,141,229,5.4
Måns Mårlind,88,324,5000,Underworld: Awakening ,117096,5861,battle|cryogenics|detective|scientist|vampire,271,327,6.4
Adam Shankman,136,66,394,Rock of Ages ,61995,712,concert|love|music industry|panties|pole dancer,356,217,5.9
Gregory Hoblit,125,407,13000,Hart's War ,43651,15916,colonel|honor|lieutenant|pilot|racism,196,787,6.3
Gary McKendry,116,748,26000,Killer Elite ,105556,49608,australia|death|mentor|revenge|secret society,157,22000,6.5
John McTiernan,98,390,1000,Rollerball ,22264,2763,ball|blood|skating|song|year 2005,289,841,3.0
Wych Kaosayananda,91,298,349,Ballistic: Ecks vs. Sever ,16761,1846,blood splatter|camera shot from inside human body|combat|die hard scenario|fbi,277,324,3.6
Mikael Salomon,97,695,11000,Hard Rain ,26893,13628,dam|flood|money|police|sheriff,126,893,5.8
Bobby Farrelly,95,443,2000,Osmosis Jones ,25572,3734,blood|body|egg|virus|white blood cell,123,509,6.2
Will Finn,88,854,2000,Legends of Oz: Dorothy's Return ,5116,6946,jester|kansas|oz|princess|tornado,54,1000,5.6
Michael Mann,133,301,26000,Blackhat ,38983,28129,chinese|computer|cybercrime|hacker|one word title,207,326,5.4
Kerry Conran,106,582,11000,Sky Captain and the World of Tomorrow ,72868,12871,captain|pilot|reporter|robot|scientist,618,1000,6.1
Michael Caton-Jones,116,246,844,Basic Instinct 2 ,31124,1899,drugs|murder|psychiatrist|scotland yard|sex,313,729,4.2
Mikael Håfström,115,585,13000,Escape Plan ,177653,15708,cia agent|escape|muslim|prison|ship,279,1000,6.7
Renny Harlin,99,182,576,The Legend of Hercules ,44891,1520,ancient greece|forbidden love|hercules|king|slavery,202,358,4.2
Phil Alden Robinson,124,497,11000,The Sum of All Fears ,86504,12556,analyst|cia|nuclear bomb|nuclear weapons|russia,568,655,6.4
David Slade,124,10000,21000,The Twilight Saga: Eclipse ,184637,52547,friendship|graduation|revenge|vampire|werewolf,498,17000,4.9
Frank Oz,124,580,22000,The Score ,101899,32871,partner|running|scepter|surveillance|thief,445,10000,6.8
Pierre Coffin,87,975,7000,Despicable Me ,385943,11608,girl|minion|moon|pyramid|white picket fence,296,2000,7.7
Joseph Ruben,105,97,584,Money Train ,32224,1132,bare breasts|breast|loan shark|subway|train,62,220,5.6
Seth MacFarlane,125,3000,14000,Ted 2 ,117739,30010,baby|f word|fight|lawyer|marriage,229,11000,6.4
Alejandro Amenábar,141,334,614,Agora ,52496,1829,christian|love|philosophy|prefect|slave,172,451,7.2
Kinka Usher,121,776,1000,Mystery Men ,53970,3986,bowling|rajah|sphinx|spleen|superhero,435,855,6.0
Bobby Farrelly,111,681,966,Hall Pass ,103230,3393,drugged food|female frontal nudity|male frontal nudity|male nudity|marriage,143,919,5.9
Michael Mann,157,680,14000,The Insider ,133526,18216,cbs|cbs news|research|tobacco|whistleblower,521,826,7.9
Craig Gillespie,117,531,788,The Finest Hours ,27481,3524,1950s|coast guard|oil tanker|sinking ship|survival,113,562,6.8
Ridley Scott,128,135,29000,Body of Lies ,174248,29824,cia|jordan|middle east|spy|terrorist,263,149,7.1
Jay Roach,114,982,7000,Dinner for Schmucks ,80338,10419,dinner|diorama|idiot|irs|mouse,264,1000,5.9
Timur Bekmambetov,105,911,3000,Abraham Lincoln: Vampire Hunter ,128629,8281,chopping down a tree|hanging upside down|shopkeeper|vampire|vampire hunter,348,3000,5.9
Jon Amiel,113,232,537,Entrapment ,88132,1302,art thief|insurance|mask|master thief|reference to iron maiden,274,427,6.2
,30,359,995,Last Man Standing             ,15114,2465,family relationships|husband wife relationship|live studio audience|sitcom|three word title,87,363,7.4
Rob Bowman,121,745,940,The X Files ,85720,4230,agent|alien|bomb|fbi|government,297,826,7.0
Doug Lefler,102,112,14000,The Last Legion ,29285,14625,5th century|boy|capri|roman legion|soldier,174,394,5.4
Steven Spielberg,169,13000,15000,Saving Private Ryan ,881236,44998,army|invasion|killed in action|normandy|soldier,2277,14000,8.6
Scott Waugh,132,464,3000,Need for Speed ,136954,7081,cross country|custom car|illegal street racing|police officer crushed|street racing,346,3000,6.5
Nancy Meyers,127,912,2000,What Women Want ,158864,5838,advertising|battle of the sexes|ex husband ex wife relationship|pantyhose|telepathy,395,955,6.4
Chris Wedge,103,835,1000,Ice Age ,328159,5437,baby|ice|ice age|sleeping|sloth,467,939,7.6
Lawrence Kasdan,136,354,11000,Dreamcatcher ,75573,12194,alien|friend|maine|military|woods,662,599,5.5
Steven Spielberg,150,655,23000,Lincoln ,197412,25517,cultural conflict|politics|president|slavery|u.s. president,720,826,7.4
Lana Wachowski,136,99,18000,The Matrix ,1217752,18563,artificial reality|computer|matrix|questioning reality|simulated reality,3646,145,8.7
Ron Howard,140,552,15000,Apollo 13 ,208817,17171,cape kennedy|news footage|reference to christopher columbus|rocket|trapped in space,296,968,7.6
Paul Verhoeven,113,217,605,Total Recall ,240241,1441,ambiguous ending|false memory|implanted memory|memory|space colony,391,308,7.5
Michael Lembeck,104,775,901,The Santa Clause 2 ,34561,5265,christmas|magic|santa claus|son|toy,116,857,5.5
Tom Hooper,158,11000,20000,Les Misérables ,243834,46204,barricade|innkeeper|parole|rebellion|student,845,13000,7.6
Nora Ephron,119,744,15000,You've Got Mail ,151812,17768,bookstore|competing businesses|instant messaging|new york city|shop owner,556,793,6.5
Adam McKay,106,105,8000,Step Brothers ,212499,11264,dream|friendship|karaoke|love|slacker,277,3000,6.9
Martin Campbell,136,94,12000,The Mask of Zorro ,135404,12396,19th century|california|revenge|training|zorro,318,174,6.7
Todd Phillips,95,490,21000,Due Date ,272789,23018,actor|aspiring actor|birth|misadventure|suitcase,285,561,6.6
Angelina Jolie Pitt,137,465,769,Unbroken ,103589,2938,emaciation|male nudity|plane crash|prisoner of war|torture,351,698,7.2
Clint Eastwood,130,416,16000,Space Cowboys ,60165,17771,nasa|old age|satellite|space|space shuttle,326,495,6.4
Renny Harlin,124,369,13000,Cliffhanger ,96096,15229,money|mountain|rocky mountains|snow|suitcase,172,730,6.4
John Woo,108,461,848,Broken Arrow ,77390,2913,captain|desert|major|park ranger|utah,189,517,6.0
Jon Turteltaub,104,577,13000,The Kid ,34473,16452,altering history|cartoon on tv|childhood|image consultant|one two combo,139,718,6.1
Oliver Stone,129,625,12000,World Trade Center ,67395,14421,based on true story|police|rescue|rubble|trapped,564,1000,6.0
Mike Newell,117,403,8000,Mona Lisa Smile ,61490,12850,art|college|school|student|wellesley college,264,4000,6.4
Larry Charles,99,174,600,The Dictator ,213863,1375,dictator|hotel|oil|overalls|sunglasses,310,346,6.4
Stanley Kubrick,159,521,10000,Eyes Wide Shut ,227071,11424,doctor|orgy|party|pianist|sexual fantasy,1500,580,7.3
Will Gluck,118,929,2000,Annie ,24735,4796,billionaire|business tycoon|mayoral candidate|penthouse|reference to star trek,213,1000,5.2
Glenn Ficarra,105,523,10000,Focus ,149337,11943,con artist|con man|deception|rivalry|seduction,221,806,6.6
McG,103,520,27000,This Means War ,147641,29808,best friend|cia|cia agent|dating|undercover,238,1000,6.3
David S. Goyer,122,957,16000,Blade: Trinity ,132954,19764,blade|blood|dracula|vampire hunter|vampire slayer,514,1000,5.9
John Milius,114,919,1000,Red Dawn ,41776,3860,guerrilla|high school|invasion|soviet|wolverine,383,1000,6.4
Mike Nichols,143,210,509,Primary Colors ,23940,1409,campaigning|candidate|election|governor|president,157,317,6.7
Paul W.S. Anderson,96,974,14000,Resident Evil: Retribution ,104831,17913,corporation|fight|rescue|umbrella|zombie,423,1000,5.4
Paul W.S. Anderson,111,805,26000,Death Race ,166610,28643,armored car|car|murder|prison|warden,211,872,6.4
Renny Harlin,121,263,394,The Long Kiss Goodnight ,60508,1531,amnesia|chase|foot chase|strong female character|vomiting,285,380,6.7
Taylor Hackford,135,184,324,Proof of Life ,49300,1013,jungle|pipeline|prisoner|ransom|south america,265,192,6.2
Jon Favreau,101,539,17000,Zathura: A Space Adventure ,67707,32232,2000s|coke|meeting future self|reference to spongebob squarepants|sony,202,14000,6.1
David Fincher,151,637,11000,Fight Club ,1347461,13209,anti establishment|dark humor|fighting|multiple personality disorder|surprise ending,2968,783,8.8
McG,131,383,11000,We Are Marshall ,46951,12088,coach|football|football team|marshall university|university,175,529,7.1
,60,575,1000,The Missing             ,8739,3537,france|journalist|limp|police detective|reporter,28,773,8.1
Michael Lehmann,100,554,13000,Hudson Hawk ,43376,15944,blackmail|burglar|critically bashed|leonardo da vinci|prison,249,773,5.7
Nora Ephron,105,506,975,Lucky Numbers ,8560,3580,celebrity|lottery|murder|snowmobile|weatherman,69,909,5.0
Stuart Beattie,92,568,623,"I, Frankenstein ",65709,3165,army|creature|demon|frankenstein|gargoyle,194,593,5.1
Roman Polanski,130,25,268,Oliver Twist ,25474,450,boy|character name in title|orphan|pickpocket|workhouse,138,85,6.9
Rob Bowman,100,1000,3000,Elektra ,71202,7048,assassin|battle|heroine|martial arts|spin off,380,1000,4.8
Frank Miller,102,6000,23000,Sin City: A Dame to Kill For ,111102,49433,box office flop|female frontal nudity|female rear nudity|jackpot|rescue,239,13000,6.5
Sydney Pollack,133,970,11000,Random Hearts ,17025,16710,death|plane crash|police|police sergeant|politician,290,1000,5.1
Baltasar Kormákur,121,221,963,Everest ,134625,2131,blizzard|mount everest|mountain|mountain climbing|snow,265,580,7.1
Tom Tykwer,147,16,177,Perfume: The Story of a Murderer ,190490,253,18th century|perfume|scent|sense of smell|smell,482,27,7.5
Jay Roach,94,481,645,Austin Powers in Goldmember ,162909,2725,fem bot|prison|seductive fembot|spy|time travel,795,522,6.2
David Bowers,94,668,12000,Astro Boy ,25681,23365,betrayal|futuristic|gladiator|robot|scientist,77,9000,6.3
Steven Spielberg,127,191,967,Jurassic Park ,613473,2129,dinosaur|jurassic park|survival|theme park|tyrannosaurus rex,895,610,8.1
Lawrence Kasdan,212,812,2000,Wyatt Earp ,35314,5708,historically inaccurate|name calling|penis slur|vomiting|wyatt earp,145,925,6.6
Phillip Noyce,141,672,11000,Clear and Present Danger ,69663,14178,cia|colombia|colombian drug cartel|drugs|president,133,913,6.9
