num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,cast_total_facebook_likes,movie_imdb_link,num_user_for_reviews,budget,title_year,imdb_score,aspect_ratio
183,89,10,704,852,50820940,Fantasy|Horror,Lin Shaye,Ouija ,5056,http://www.imdb.com/title/tt1204977/?ref_=fn_tt_tt_1,159,5000000,2014,4.4,2.35
131,88,55,150,506,44793200,Action|Fantasy|Horror|Thriller,John Saxon,A Nightmare on Elm Street 3: Dream Warriors ,1584,http://www.imdb.com/title/tt0093629/?ref_=fn_tt_tt_1,311,4500000,1987,6.6,1.85
297,108,0,458,1000,43771291,Mystery|Thriller,Busy Philipps,The Gift ,3215,http://www.imdb.com/title/tt4178092/?ref_=fn_tt_tt_1,279,5000000,2015,7.1,2.35
41,115,399,83,399,44456509,Comedy|Drama,Eugenio Derbez,Instructions Not Included ,688,http://www.imdb.com/title/tt2378281/?ref_=fn_tt_tt_1,81,5000000,2013,7.6,1.85
248,96,24,113,235,53884821,Horror,Matt Shively,Paranormal Activity 4 ,799,http://www.imdb.com/title/tt2109184/?ref_=fn_tt_tt_1,247,5000000,2012,4.6,1.85
42,135,28,275,726,36000000,Drama|History,Richard Burton,The Robe ,1920,http://www.imdb.com/title/tt0046247/?ref_=fn_tt_tt_1,69,5000000,1953,6.8,2.2
33,113,688,80,462,,Comedy|Crime|Mystery,Burt Kwouk,The Return of the Pink Panther ,971,http://www.imdb.com/title/tt0072081/?ref_=fn_tt_tt_1,73,5000000,1975,7.1,2.35
91,93,54,581,40000,34872293,Comedy|Fantasy|Horror|Thriller,Johnny Depp,Freddy's Dead: The Final Nightmare ,42002,http://www.imdb.com/title/tt0101917/?ref_=fn_tt_tt_1,252,8500000,1991,4.9,1.85
185,109,260,592,9000,34468224,Biography|Crime|Drama|Thriller,Charlize Theron,Monster ,11736,http://www.imdb.com/title/tt0340855/?ref_=fn_tt_tt_1,533,4500000,2003,7.3,1.85
69,127,130,51,617,,Adventure|Drama|Family|Fantasy|Sci-Fi,James Mason,20,000 Leagues Under the Sea ,799,http://www.imdb.com/title/tt0046672/?ref_=fn_tt_tt_1,108,5000000,1954,7.2,1.37
220,101,52,332,510,32453345,Fantasy|Horror|Thriller,Richard Cabral,Paranormal Activity: The Marked Ones ,2161,http://www.imdb.com/title/tt2473682/?ref_=fn_tt_tt_1,155,5000000,2014,5.0,1.78
117,124,0,452,12000,,Biography|Drama,Anthony Hopkins,The Elephant Man ,13864,http://www.imdb.com/title/tt0080678/?ref_=fn_tt_tt_1,356,5000000,1980,8.2,2.35
471,117,212,896,11000,27296514,Biography|Drama,Matthew McConaughey,Dallas Buyers Club ,17738,http://www.imdb.com/title/tt0790636/?ref_=fn_tt_tt_1,340,5000000,2013,8.0,2.35
152,83,26,801,10000,25799043,Horror|Sci-Fi|Thriller,Olivia Wilde,The Lazarus Effect ,11771,http://www.imdb.com/title/tt2918436/?ref_=fn_tt_tt_1,126,3300000,2015,5.2,2.35
274,113,22000,379,716,25530884,Mystery|Thriller,Callum Rennie,Memento ,1997,http://www.imdb.com/title/tt0209144/?ref_=fn_tt_tt_1,2067,9000000,2000,8.5,2.35
336,104,59,202,972,27689474,Horror|Mystery,James Lafferty,Oculus ,2071,http://www.imdb.com/title/tt2388715/?ref_=fn_tt_tt_1,339,5000000,2013,6.5,2.35
174,97,0,657,1000,24138847,Comedy,Ethan Suplee,Clerks II ,2990,http://www.imdb.com/title/tt0424345/?ref_=fn_tt_tt_1,472,5000000,2006,7.4,1.85
151,110,335,34,838,21994911,Drama|Music,Julie Walters,Billy Elliot ,1122,http://www.imdb.com/title/tt0249462/?ref_=fn_tt_tt_1,433,5000000,2000,7.7,1.85
276,103,214,424,7000,21501098,Comedy|Drama,Steve Carell,The Way Way Back ,8375,http://www.imdb.com/title/tt1727388/?ref_=fn_tt_tt_1,216,5000000,2013,7.4,1.85
12,94,0,287,901,19281235,Comedy|Drama|Music|Romance,William Schallert,House Party 2 ,2523,http://www.imdb.com/title/tt0102065/?ref_=fn_tt_tt_1,11,5000000,1991,5.1,1.85
18,102,18,75,492,,Adventure|Drama|Family|Romance|Western,Tony Bonner,The Man from Snowy River ,854,http://www.imdb.com/title/tt0084296/?ref_=fn_tt_tt_1,56,3500000,1982,7.3,2.35
28,77,0,73,2000,19421271,Animation|Comedy|Family,Frank Welker,Doug's 1st Movie ,2908,http://www.imdb.com/title/tt0187819/?ref_=fn_tt_tt_1,18,5000000,1999,5.0,1.33
95,134,3000,77,205,20733485,Drama,John Beasley,The Apostle ,428,http://www.imdb.com/title/tt0118632/?ref_=fn_tt_tt_1,157,5000000,1997,7.2,1.85
74,129,24,157,977,,Biography|Drama,Faye Dunaway,Mommie Dearest ,2014,http://www.imdb.com/title/tt0082766/?ref_=fn_tt_tt_1,161,5000000,1981,6.7,1.85
179,90,37,1000,11000,24809547,Comedy|Drama,Zooey Deschanel,Our Idiot Brother ,15710,http://www.imdb.com/title/tt1637706/?ref_=fn_tt_tt_1,115,5000000,2011,6.4,1.85
125,134,81,388,882,19097994,Biography|Drama|Sport,William Hurt,Race ,2410,http://www.imdb.com/title/tt3499096/?ref_=fn_tt_tt_1,49,,2016,7.1,2.35
22,104,0,498,1000,23031390,Comedy|Drama,Bernie Mac,The Players Club ,2868,http://www.imdb.com/title/tt0119905/?ref_=fn_tt_tt_1,26,4500000,1998,5.6,1.85
92,95,596,697,1000,16017403,Drama|Romance|Thriller,Mekhi Phifer,O ,3300,http://www.imdb.com/title/tt0184791/?ref_=fn_tt_tt_1,153,5000000,2001,6.2,1.85
196,93,66,161,1000,21197315,Horror|Mystery|Thriller,Ben Feldman,As Above, So Below ,1410,http://www.imdb.com/title/tt2870612/?ref_=fn_tt_tt_1,211,5000000,2014,6.1,1.85
9,106,23,467,1000,17382982,Drama|Thriller,Boris Kodjoe,Addicted ,2840,http://www.imdb.com/title/tt2205401/?ref_=fn_tt_tt_1,33,5000000,2014,5.2,1.85
31,109,148,426,2000,14821531,Drama,Jurnee Smollett-Bell,Eve's Bayou ,3843,http://www.imdb.com/title/tt0119080/?ref_=fn_tt_tt_1,209,6000000,1997,7.3,1.85
309,101,25,423,17000,18656400,Drama,Kristen Stewart,Still Alice ,19673,http://www.imdb.com/title/tt3316960/?ref_=fn_tt_tt_1,195,5000000,2014,7.5,1.85
15,139,345,422,535,,Drama|History,Gene Tierney,The Egyptian ,2112,http://www.imdb.com/title/tt0046949/?ref_=fn_tt_tt_1,67,5000000,1954,6.6,2.55
36,99,6,142,13000,,Action|Crime|Thriller,Sylvester Stallone,Nighthawks ,14306,http://www.imdb.com/title/tt0082817/?ref_=fn_tt_tt_1,107,5000000,1981,6.4,1.85
129,100,6,65,935,14343976,Adventure|Horror,Kane Hodder,Friday the 13th Part VIII: Jason Takes Manhattan ,1327,http://www.imdb.com/title/tt0097388/?ref_=fn_tt_tt_1,291,5000000,1989,4.5,1.85
168,95,38,249,567,241437427,Comedy|Family|Romance,Nia Vardalos,My Big Fat Greek Wedding ,1495,http://www.imdb.com/title/tt0259446/?ref_=fn_tt_tt_1,756,5000000,2002,6.6,1.85
444,94,520,192,11000,14123773,Crime|Drama,James Franco,Spring Breakers ,12306,http://www.imdb.com/title/tt2101441/?ref_=fn_tt_tt_1,561,5000000,2012,5.3,2.35
123,93,13,141,742,15126948,Horror|Thriller,Donald Pleasence,Halloween: The Curse of Michael Myers ,1227,http://www.imdb.com/title/tt0113253/?ref_=fn_tt_tt_1,335,5000000,1995,4.9,1.85
173,106,0,19,269,13622333,Adventure|Comedy|Drama|Romance,Maribel Verdú,Y Tu Mamá También ,361,http://www.imdb.com/title/tt0245574/?ref_=fn_tt_tt_1,385,2000000,2001,7.7,1.85
246,99,1000,358,605,13464388,Comedy|Horror,Peter Serafinowicz,Shaun of the Dead ,1686,http://www.imdb.com/title/tt0365748/?ref_=fn_tt_tt_1,859,4000000,2004,8.0,2.35
74,82,7,664,1000,13350177,Drama|Horror|Thriller,Jessica Lowndes,The Haunting of Molly Hartley ,4856,http://www.imdb.com/title/tt1045655/?ref_=fn_tt_tt_1,113,5000000,2008,3.8,1.85
68,135,407,111,11000,13269963,Drama|Mystery,Matthew McConaughey,Lone Star ,11400,http://www.imdb.com/title/tt0116905/?ref_=fn_tt_tt_1,173,5000000,1996,7.6,2.35
144,88,27,101,742,17768000,Horror|Thriller,Donald Pleasence,Halloween 4: The Return of Michael Myers ,1136,http://www.imdb.com/title/tt0095271/?ref_=fn_tt_tt_1,374,5000000,1988,5.9,1.85
96,89,17,85,690,12947763,Horror|Mystery,Thomas F. Wilson,April Fool's Day ,1160,http://www.imdb.com/title/tt0090655/?ref_=fn_tt_tt_1,125,5000000,1986,6.2,2.35
42,110,272,551,801,14100000,Comedy|Drama,Steve Guttenberg,Diner ,2943,http://www.imdb.com/title/tt0083833/?ref_=fn_tt_tt_1,87,5000000,1982,7.2,1.85
29,107,8,268,926,12200000,Action|Crime|Drama|Thriller|Western,David Carradine,Lone Wolf McQuade ,2383,http://www.imdb.com/title/tt0085862/?ref_=fn_tt_tt_1,65,5000000,1983,6.3,1.85
228,86,17,205,520,17683670,Horror|Mystery|Sci-Fi|Thriller,Warren Christie,Apollo 18 ,1520,http://www.imdb.com/title/tt1772240/?ref_=fn_tt_tt_1,323,5000000,2011,5.2,1.33
195,91,19,260,968,12055108,Comedy|Drama,Clifton Collins Jr.,Sunshine Cleaning ,2528,http://www.imdb.com/title/tt0862846/?ref_=fn_tt_tt_1,134,8000000,2008,6.9,2.35
203,103,66,13,155,27285953,Action|Thriller,Sterling Jerins,No Escape ,259,http://www.imdb.com/title/tt1781922/?ref_=fn_tt_tt_1,214,5000000,2015,6.8,1.85
44,90,152,826,21000,,Action|Adventure|Fantasy,Vanna Bonta,The Beastmaster ,23714,http://www.imdb.com/title/tt0083630/?ref_=fn_tt_tt_1,87,8000000,1982,6.2,1.85
14,141,54,70,746,,Drama|History|Romance|War,Gina Lollobrigida,Solomon and Sheba ,1332,http://www.imdb.com/title/tt0053290/?ref_=fn_tt_tt_1,33,5000000,1959,6.2,2.2
59,92,89,355,729,11675178,Comedy,Fred Willard,Fifty Shades of Black ,2848,http://www.imdb.com/title/tt4667094/?ref_=fn_tt_tt_1,53,5000000,2016,3.5,
45,99,1000,409,849,10572742,Drama|Romance,Eddie Cibrian,Not Easily Broken ,2269,http://www.imdb.com/title/tt0795438/?ref_=fn_tt_tt_1,21,8000000,2009,6.1,1.85
42,79,57,99,998,,Drama|Romance|War,Gary Cooper,A Farewell to Arms ,1284,http://www.imdb.com/title/tt0022879/?ref_=fn_tt_tt_1,46,800000,1932,6.6,1.37
12,96,23,503,927,9658370,Comedy|Romance,Donald Faison,The Perfect Match ,3552,http://www.imdb.com/title/tt4871980/?ref_=fn_tt_tt_1,9,5000000,2016,4.5,
29,82,99,44,93,9628751,Action|Adventure|Animation|Family|Sci-Fi,Lara Jill Miller,Digimon: The Movie ,315,http://www.imdb.com/title/tt0259974/?ref_=fn_tt_tt_1,65,5000000,2000,5.9,1.85
121,92,12,797,3000,8786715,Comedy|Drama,Macaulay Culkin,Saved! ,5668,http://www.imdb.com/title/tt0332375/?ref_=fn_tt_tt_1,324,5000000,2004,6.9,1.85
135,112,66,21,150,3432342,Comedy|Crime|Drama|Mystery|Romance,Marie-Josée Croze,The Barbarian Invasions ,253,http://www.imdb.com/title/tt0338135/?ref_=fn_tt_tt_1,166,6000000,2003,7.7,2.35
27,106,44,136,559,,Adventure|Drama|Romance,Robert Shaw,Robin and Marian ,1199,http://www.imdb.com/title/tt0075147/?ref_=fn_tt_tt_1,90,5000000,1976,6.6,1.85
56,90,23,560,847,6755271,Horror|Thriller,Brendan Fehr,The Forsaken ,3004,http://www.imdb.com/title/tt0245120/?ref_=fn_tt_tt_1,131,5000000,2001,5.3,1.85
22,126,82,576,11000,,Action|Drama|War,Harrison Ford,Force 10 from Navarone ,13591,http://www.imdb.com/title/tt0077572/?ref_=fn_tt_tt_1,80,5000000,1978,6.3,2.35
59,150,3,448,859,6157157,Comedy|Drama,Fran Drescher,UHF ,3942,http://www.imdb.com/title/tt0098546/?ref_=fn_tt_tt_1,198,5000000,1989,7.0,1.85
61,90,4,556,2000,6088249,Comedy,Linda Cardellini,Grandma's Boy ,5202,http://www.imdb.com/title/tt0456554/?ref_=fn_tt_tt_1,202,,2006,7.0,2.35
60,91,84,572,1000,5480318,Comedy|Drama,Natasha Lyonne,Slums of Beverly Hills ,2691,http://www.imdb.com/title/tt0120831/?ref_=fn_tt_tt_1,79,5000000,1998,6.6,1.85
164,145,0,392,973,,Western,Claudia Cardinale,Once Upon a Time in the West ,2589,http://www.imdb.com/title/tt0064116/?ref_=fn_tt_tt_1,565,5000000,1968,8.6,2.35
81,95,4000,334,4000,5308707,Comedy|Crime|Drama|Thriller,Jon Favreau,Made ,5245,http://www.imdb.com/title/tt0227005/?ref_=fn_tt_tt_1,165,5000000,2001,6.4,1.85
415,97,0,372,18000,5009677,Drama|Mystery|Sci-Fi,Kevin Spacey,Moon ,19404,http://www.imdb.com/title/tt1182345/?ref_=fn_tt_tt_1,485,5000000,2009,7.9,2.35
43,90,7,701,2000,4328294,Comedy,Miranda Cosgrove,Keeping Up with the Steins ,5900,http://www.imdb.com/title/tt0415949/?ref_=fn_tt_tt_1,41,,2006,5.4,1.85
7,41,0,0,55,4074023,Documentary,Norbert Ferrer,Sea Rex 3D: Journey to a Prehistoric World ,55,http://www.imdb.com/title/tt1529567/?ref_=fn_tt_tt_1,4,5000000,2010,6.9,1.78
120,112,460,395,990,4306697,Drama,Bruce Greenwood,The Sweet Hereafter ,2820,http://www.imdb.com/title/tt0120255/?ref_=fn_tt_tt_1,196,5000000,1997,7.7,2.35
195,122,22,32,186,3950029,Drama,Lambert Wilson,Of Gods and Men ,416,http://www.imdb.com/title/tt1588337/?ref_=fn_tt_tt_1,89,4000000,2010,7.2,2.35
109,110,19,39,25000,4040588,Comedy|Drama,Alan Rickman,Bottle Shock ,25676,http://www.imdb.com/title/tt0914797/?ref_=fn_tt_tt_1,89,5000000,2008,6.8,2.35
21,87,3,83,922,,Comedy|Music|Sci-Fi,Cassandra Peterson,Jekyll and Hyde... Together Again ,1324,http://www.imdb.com/title/tt0084171/?ref_=fn_tt_tt_1,32,5000000,1982,6.2,
93,108,0,88,14000,3049135,Biography|Crime|Drama|Romance|Thriller,Kate Winslet,Heavenly Creatures ,14574,http://www.imdb.com/title/tt0110005/?ref_=fn_tt_tt_1,265,5000000,1994,7.4,2.35
12,121,35,473,4000,4700361,Drama,Hayden Christensen,90 Minutes in Heaven ,6617,http://www.imdb.com/title/tt4337690/?ref_=fn_tt_tt_1,29,5000000,2015,4.6,2.35
155,97,7,939,8000,2711210,Comedy|Drama,Will Ferrell,Everything Must Go ,10517,http://www.imdb.com/title/tt1531663/?ref_=fn_tt_tt_1,86,5000000,2010,6.4,2.35
81,116,52,102,624,1980338,Comedy|Crime|Drama|Mystery|Thriller,Kim Dickens,Zero Effect ,1209,http://www.imdb.com/title/tt0120906/?ref_=fn_tt_tt_1,151,5000000,1998,7.0,1.85
204,94,122,360,23000,1082044,Drama|Thriller,Christian Bale,The Machinist ,24994,http://www.imdb.com/title/tt0361862/?ref_=fn_tt_tt_1,458,5000000,2004,7.7,2.35
19,103,261,145,722,1100000,Crime|Drama,Dana Delany,Light Sleeper ,1201,http://www.imdb.com/title/tt0102307/?ref_=fn_tt_tt_1,39,5000000,1992,6.8,1.85
163,112,52,688,10000,2445646,Biography|Crime|Drama|Mystery|Thriller,Jeremy Renner,Kill the Messenger ,12897,http://www.imdb.com/title/tt1216491/?ref_=fn_tt_tt_1,99,5000000,2014,7.0,2.35
248,91,263,192,967,2221809,Drama,Dianne Wiest,Rabbit Hole ,1582,http://www.imdb.com/title/tt0935075/?ref_=fn_tt_tt_1,144,5000000,2010,7.0,1.85
39,98,13,600,3000,296665,Biography|Crime|Drama|Thriller,Macaulay Culkin,Party Monster ,5185,http://www.imdb.com/title/tt0320244/?ref_=fn_tt_tt_1,158,5000000,2003,6.3,1.85
322,95,57,233,727,3219029,Crime|Horror|Music|Thriller,Alia Shawkat,Green Room ,1836,http://www.imdb.com/title/tt4062536/?ref_=fn_tt_tt_1,125,5000000,2015,7.1,2.35
50,88,0,276,740,,Comedy|Drama|Romance,Liza Minnelli,The Oh in Ohio ,1665,http://www.imdb.com/title/tt0422861/?ref_=fn_tt_tt_1,56,5000000,2006,5.6,2.35
12,99,0,361,578,830210,Drama|Mystery|Sci-Fi,Joaquim de Almeida,Atlas Shrugged: Who Is John Galt? ,3382,http://www.imdb.com/title/tt2800038/?ref_=fn_tt_tt_1,56,5000000,2014,4.4,
83,91,0,65,387,1040879,Comedy|Crime|Drama,Andrew Wilson,Bottle Rocket ,648,http://www.imdb.com/title/tt0115734/?ref_=fn_tt_tt_1,184,7000000,1996,7.1,1.85
37,97,18000,977,10000,326308,Crime|Drama|Thriller,Viggo Mortensen,Albino Alligator ,13718,http://www.imdb.com/title/tt0115495/?ref_=fn_tt_tt_1,69,5000000,1996,6.1,2.35
16,136,0,14,75,240425,Biography|Drama|History,Akshaye Khanna,Gandhi, My Father ,172,http://www.imdb.com/title/tt0459293/?ref_=fn_tt_tt_1,25,,2007,7.4,2.35
121,118,239,0,6,228830,Crime|Documentary|War,Jeffrey Frost,Standard Operating Procedure ,6,http://www.imdb.com/title/tt0896866/?ref_=fn_tt_tt_1,22,,2008,7.5,2.35
24,94,0,51,311,,Drama,Raymond Burr,Out of the Blue ,498,http://www.imdb.com/title/tt0081291/?ref_=fn_tt_tt_1,27,2200000,1980,7.2,1.85
324,89,27,440,948,223615,Comedy|Horror,Katrina Bowden,Tucker and Dale vs Evil ,2958,http://www.imdb.com/title/tt1465522/?ref_=fn_tt_tt_1,200,,2010,7.6,2.35
27,90,6,940,3000,124720,Drama|Romance,Adam Scott,Lovely, Still ,4987,http://www.imdb.com/title/tt1150947/?ref_=fn_tt_tt_1,15,5000000,2008,7.3,1.85
9,95,5,100,197,,Adventure|Drama|Romance,Judith Anderson,Tycoon ,538,http://www.imdb.com/title/tt0039927/?ref_=fn_tt_tt_1,23,3209000,1947,6.2,1.37
31,90,204,697,1000,99147,Drama,Ethan Suplee,Desert Blue ,3207,http://www.imdb.com/title/tt0126261/?ref_=fn_tt_tt_1,28,2000000,1998,6.2,1.85
35,95,3,383,889,,Comedy|Horror|Sci-Fi,Meghan Ory,Decoys ,2984,http://www.imdb.com/title/tt0357585/?ref_=fn_tt_tt_1,66,5000000,2004,4.6,1.85
371,94,0,99,432,65069140,Horror|Thriller,Ocean James,The Visit ,1010,http://www.imdb.com/title/tt3567288/?ref_=fn_tt_tt_1,455,5000000,2015,6.2,1.85
133,90,0,15,343,65087,Crime|Thriller|War,Mike Figueroa,Redacted ,408,http://www.imdb.com/title/tt0937237/?ref_=fn_tt_tt_1,108,5000000,2007,6.2,1.85
13,103,34,227,811,16066,Mystery|Romance|Thriller,Adam Garcia,Fascination ,1789,http://www.imdb.com/title/tt0305632/?ref_=fn_tt_tt_1,44,5000000,2004,3.3,2.35
9,60,,904,1000,,Drama|Fantasy,Holly Hunter,Saving Grace             ,5203,http://www.imdb.com/title/tt0830900/?ref_=fn_tt_tt_1,47,,,7.5,1.78
56,91,110,14,46,,Horror|Sci-Fi|Thriller,Glenn Campbell,Area 51 ,117,http://www.imdb.com/title/tt1519461/?ref_=fn_tt_tt_1,55,5000000,2015,4.2,
191,102,57,78,331,,Drama|Horror|Thriller,Luis Tosar,Sleep Tight ,526,http://www.imdb.com/title/tt1437358/?ref_=fn_tt_tt_1,48,5000000,2011,7.2,2.35
80,92,46,141,570,,Comedy|Crime|Horror|Thriller,Dave Legeno,The Cottage ,1258,http://www.imdb.com/title/tt0465430/?ref_=fn_tt_tt_1,82,2500000,2008,6.2,2.35
19,87,65,686,866,,Comedy|Drama|Fantasy,Henry Ian Cusick,Dead Like Me: Life After Death ,3724,http://www.imdb.com/title/tt1079444/?ref_=fn_tt_tt_1,80,5000000,2009,6.1,1.78
19,80,799,854,3000,,Animation|Comedy,Alyson Hannigan,Farce of the Penguins ,10727,http://www.imdb.com/title/tt0488539/?ref_=fn_tt_tt_1,47,,2006,4.2,1.85
,90,0,483,695,,Drama|Family|Music,Heather Locklear,Flying By ,3217,http://www.imdb.com/title/tt1131732/?ref_=fn_tt_tt_1,2,,2009,4.5,
38,44,,816,1000,,Comedy|Crime|Mystery,Corbin Bernsen,Psych             ,4092,http://www.imdb.com/title/tt0491738/?ref_=fn_tt_tt_1,127,,,8.4,1.78
44,105,0,394,745,37440,Comedy|Drama|Music,Billy Crudup,Rudderless ,1986,http://www.imdb.com/title/tt1798243/?ref_=fn_tt_tt_1,60,5000000,2014,7.5,
3,67,0,388,979,,Animation|Family,Chazz Palminteri,Henry & Me ,2509,http://www.imdb.com/title/tt1460798/?ref_=fn_tt_tt_1,1,10000000,2014,6.7,
6,95,7,541,989,,Comedy,Gary Cole,Christmas Eve ,3514,http://www.imdb.com/title/tt3703148/?ref_=fn_tt_tt_1,15,,2015,5.1,
,87,49,601,708,,Crime|Drama|Thriller,Teri Polo,We Have Your Husband ,3059,http://www.imdb.com/title/tt2063015/?ref_=fn_tt_tt_1,3,5000000,2011,5.5,1.78
