duration,actor_1_facebook_likes,movie_title,content_rating
199,662,Anne of Green Gables             ,TV-G
103,2000,Falcon Rising ,R
112,2000,The Sweeney ,R
89,1000,Sexy Beast ,R
124,309,Easy Money ,R
101,446,Whale Rider ,PG-13
133,464,Paa ,
112,29,Cargo ,
111,20000,Pan ,PG
98,755,High School Musical ,TV-G
60,1000,Animal Kingdom             ,
93,471,Love and Death on Long Island ,PG-13
104,114,Night Watch ,R
112,1000,The Crying Game ,R
94,110,Porky's ,R
90,648,Survival of the Dead ,R
96,125,Night of the Living Dead ,Unrated
101,19000,Lost in Translation ,R
93,11000,Annie Hall ,PG
152,232,The Greatest Show on Earth ,Not Rated
150,23000,Exodus: Gods and Kings ,PG-13
112,13000,Monster's Ball ,R
95,584,Maggie ,PG-13
111,12000,Leaving Las Vegas ,R
86,707,Hansel & Gretel Get Baked ,
108,431,The Return of the Living Dead ,R
105,597,The Front Page ,PG
91,3000,The Boy Next Door ,R
105,746,Trapeze ,Approved
60,1000,Saving Grace             ,TV-MA
106,14000,The Kids Are All Right ,R
93,355,They Live ,R
172,773,The Great Escape ,Approved
109,847,What the #$*! Do We (K)now!? ,Unrated
93,45000,The Last Exorcism Part II ,PG-13
165,230,Boyhood ,R
96,19000,Scoop ,PG-13
119,1000,Planet of the Apes ,PG-13
93,522,The Wash ,R
82,939,3 Strikes ,R
101,658,The Cooler ,R
120,862,The Misfits ,Approved
81,49000,The Night Listener ,R
82,584,The Jerky Boys ,R
107,798,My Soul to Take ,R
105,382,The Orphanage ,R
86,986,A Haunted House 2 ,R
110,16000,The Rules of Attraction ,R
127,204,Topaz ,M
90,812,Let's Go to Prison ,R
110,4000,Four Rooms ,R
104,769,Secretary ,R
96,960,The Real Cancun ,R
110,721,Talk Radio ,R
84,925,Waiting for Guffman ,R
94,834,Love Stinks ,R
93,497,You Kill Me ,R
96,730,Thumbsucker ,R
88,1000,Red State ,R
101,420,Mirrormask ,PG
102,48,Samsara ,PG-13
87,721,The Barbarians ,R
83,947,The Art of Getting By ,PG-13
103,1000,Zipper ,R
99,979,Poolhall Junkies ,R
106,2000,The Loss of Sexual Innocence ,R
115,690,Holy Motors ,Not Rated
117,12000,Joe ,R
99,419,Shooting Fish ,PG
102,10000,Prison ,R
85,945,Psycho Beach Party ,Unrated
86,759,The Big Tease ,R
120,623,"Buen Día, Ramón ",PG-13
106,617,Trust ,R
103,736,An Everlasting Piece ,R
93,578,Among Giants ,R
112,18000,Adore ,R
100,4000,The Velocity of Gary ,R
113,331,Mondays in the Sun ,R
98,530,Stake Land ,R
23,254,Sonny with a Chance             ,TV-G
92,18000,The Last Time I Committed Suicide ,R
106,585,Futuro Beach ,Unrated
119,3000,Another Happy Day ,R
99,762,A Lonely Place to Die ,R
90,686,Nothing ,R
120,114,The Geographer Drank His Globe Away ,
168,713,1776 ,PG
93,223,Inescapable ,R
96,431,Hell's Angels ,Passed
103,650,Purple Violets ,
93,763,The Veil ,R
84,399,The Loved Ones ,R
81,166,No Vacancy ,R
84,637,How to Fall in Love ,TV-G
94,544,The Perfect Wave ,PG
141,11000,Ben-Hur ,PG-13
120,559,A Man for All Seasons ,Approved
121,3000,Network ,R
226,503,Gone with the Wind ,G
104,507,Desert Dancer ,PG-13
152,773,Major Dundee ,Approved
92,881,Down for Life ,R
107,277,Annie Get Your Gun ,Passed
97,414,Four Lions ,R
115,119,House of Sand ,R
95,963,Defendor ,R
102,89,The Pirate ,Approved
99,117,The Good Heart ,R
109,3000,The History Boys ,R
113,14000,Unknown ,PG-13
25,443,M*A*S*H             ,TV-PG
113,183,Midnight Cowboy ,X
91,1000,The Full Monty ,R
88,628,Airplane! ,PG
88,2000,Chain of Command ,R
97,826,Friday ,R
97,851,Menace II Society ,R
42,912,Empire             ,TV-14
85,3000,Creepshow 2 ,R
121,575,The Ballad of Cable Hogue ,R
134,255,In Cold Blood ,Approved
149,157,The Nun's Story ,Not Rated
121,606,Harper ,Not Rated
116,195,Frenzy ,R
92,648,The Witch ,R
93,625,I Got the Hook Up ,R
96,385,She's the One ,R
105,3000,Gods and Monsters ,R
129,827,The Secret in Their Eyes ,R
87,1000,Day of the Dead ,Unrated
94,430,Train ,R
37,634,Evil Dead II ,X
81,560,Pootie Tang ,PG-13
97,984,Sharknado ,TV-14
106,174,La otra conquista ,R
103,29,Trollhunter ,PG-13
101,827,Ira & Abby ,R
102,622,The Watch ,R
98,11000,Winter Passing ,R
91,4000,D.E.B.S. ,PG-13
105,426,The Masked Saint ,PG-13
98,368,The Betrayed ,
104,922,Taxman ,R
45,773,The Secret             ,
96,708,2:13 ,
148,2000,"Batman: The Dark Knight Returns, Part 2 ",PG-13
100,21,Time to Choose ,
86,603,In the Name of the King: The Last Job ,R
92,2000,Wicked Blood ,Not Rated
88,795,Dawn Patrol ,
90,1000,Lords of London ,R
94,1000,High Anxiety ,PG
80,11000,March of the Penguins ,G
107,18000,Margin Call ,R
99,141,August ,Not Rated
92,1000,Choke ,R
107,24000,Whiplash ,R
135,1000,City of God ,R
99,798,Human Traffic ,R
102,632,Day One ,PG-13
