num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,gross,genres,cast_total_facebook_likes,plot_keywords,movie_imdb_link,country,budget,title_year,imdb_score
190,90,108,270,37470017,Horror|Mystery,1982,demon|gore|record player|tattoo|wings,http://www.imdb.com/title/tt0263488/?ref_=fn_tt_tt_1,Germany,10000000,2001,6.1
81,90,65,730,40485039,Adventure|Comedy|Music|Sci-Fi,20795,failing student|high school|payphone|teenager|telephone booth,http://www.imdb.com/title/tt0096928/?ref_=fn_tt_tt_1,USA,10000000,1989,6.9
56,153,82,139,16800000,Drama|Family|Musical,1593,abuse|child|orphan|orphanage|pickpocket,http://www.imdb.com/title/tt0063385/?ref_=fn_tt_tt_1,UK,10000000,1968,7.5
264,124,108,186,46377022,Comedy|Drama,1898,hotel|india|marigold|retiree|retirement,http://www.imdb.com/title/tt1412386/?ref_=fn_tt_tt_1,UK,10000000,2011,7.3
44,82,6,345,36696761,Animation|Comedy|Family|Mystery|Sci-Fi,2197,friend|principal|summer|summer camp|summer vacation,http://www.imdb.com/title/tt0265632/?ref_=fn_tt_tt_1,USA,23000000,2001,6.5
117,107,750,60,36200000,Action|Adventure|Sci-Fi|Thriller,1529,arena|desert|fight|mad max|post apocalypse,http://www.imdb.com/title/tt0089530/?ref_=fn_tt_tt_1,Australia,12305523,1985,6.2
124,75,73,581,,Action|Adventure|Thriller,3192,body count|dictator|jumping from an airplane|knife fight|one man army,http://www.imdb.com/title/tt0088944/?ref_=fn_tt_tt_1,USA,10000000,1985,6.7
159,97,19,130,35794166,Horror|Mystery|Thriller,4687,animate doll|doll|england|nanny|surprise ending,http://www.imdb.com/title/tt3882082/?ref_=fn_tt_tt_1,USA,10000000,2016,6.0
273,80,66,816,33583175,Horror|Mystery|Thriller,5628,devil|elevator|hit and run|throat slitting|trapped in an elevator,http://www.imdb.com/title/tt1314655/?ref_=fn_tt_tt_1,USA,10000000,2010,6.3
26,85,7,615,32983713,Comedy|Drama,3712,apartment|christmas|christmas present|rent|security guard,http://www.imdb.com/title/tt0293815/?ref_=fn_tt_tt_1,USA,20000000,2002,5.8
242,97,482,482,52200504,Fantasy|Horror|Thriller,2426,demon|possession|psychic|supernatural|teenager,http://www.imdb.com/title/tt3195644/?ref_=fn_tt_tt_1,Canada,10000000,2015,6.1
55,109,78,619,33000000,Action|Comedy|Drama|Music,3394,cult film|kung fu|kung fu classic|martial arts|title spoken by character,http://www.imdb.com/title/tt0089461/?ref_=fn_tt_tt_1,USA,10000000,1985,6.9
151,104,0,1000,30093107,Comedy|Crime,39175,boxer|boxing|diamond|fight|gypsy,http://www.imdb.com/title/tt0208092/?ref_=fn_tt_tt_1,UK,6000000,2000,8.3
48,140,32,120,32101000,Horror|Sci-Fi,1109,intelligence|science runs amok|scientist|supernatural power|virtual reality,http://www.imdb.com/title/tt0104692/?ref_=fn_tt_tt_1,UK,10000000,1992,5.4
166,90,6,617,31487293,Comedy|Drama|Music|Romance,2807,band|gay|gay friend|love|night,http://www.imdb.com/title/tt0981227/?ref_=fn_tt_tt_1,USA,9000000,2008,6.7
206,130,0,769,30651422,Adventure|Comedy|Drama|Fantasy,16693,abortion|abortion clinic|angel|church|clinic,http://www.imdb.com/title/tt0120655/?ref_=fn_tt_tt_1,USA,10000000,1999,7.4
92,98,7,73,30306281,Comedy|Drama,1917,bartender|groupie|lawyer|road trip|writer,http://www.imdb.com/title/tt0280460/?ref_=fn_tt_tt_1,USA,10000000,2002,5.6
78,101,287,257,29500000,Fantasy|Horror|Sci-Fi,1954,1940s|1960s|bar|kick the can|remake,http://www.imdb.com/title/tt0086491/?ref_=fn_tt_tt_1,USA,10000000,1983,6.5
83,114,9,466,30050028,Action|Thriller,2484,bikini|cult film|fired from the job|martial arts|violence,http://www.imdb.com/title/tt0098206/?ref_=fn_tt_tt_1,USA,17000000,1989,6.5
8,100,322,534,29392418,Action|Comedy|Crime,3190,drugs|ex cop|gun fu|machismo|shootout,http://www.imdb.com/title/tt0110399/?ref_=fn_tt_tt_1,USA,10000000,1994,5.8
86,85,21,782,28563926,Drama|Thriller,3819,high school|hospital|new jersey|stanford university|swimming,http://www.imdb.com/title/tt0283026/?ref_=fn_tt_tt_1,USA,8500000,2002,5.0
85,103,27,534,28435406,Comedy|Romance,4441,competition|date|employee|laser in eyes|slacker,http://www.imdb.com/title/tt0424993/?ref_=fn_tt_tt_1,USA,12000000,2006,5.5
76,100,4,678,25339117,Comedy|Romance,4259,graduation|high school|letter|nerd|party,http://www.imdb.com/title/tt0127723/?ref_=fn_tt_tt_1,USA,10000000,1998,6.5
60,114,0,699,25600000,Crime|Drama,12097,dysfunctional family|gang|greaser|holding someone's head underwater|rivalry,http://www.imdb.com/title/tt0086066/?ref_=fn_tt_tt_1,USA,10000000,1983,7.2
78,102,38,190,,Adventure|Family|Fantasy,3691,,http://www.imdb.com/title/tt2788732/?ref_=fn_tt_tt_1,USA,65000000,2016,7.3
112,103,0,275,,Horror|Sci-Fi|Thriller,2013,car accident|coma|evil politician|psychic|vision,http://www.imdb.com/title/tt0085407/?ref_=fn_tt_tt_1,USA,10000000,1983,7.2
189,97,11,220,27736779,Horror|Mystery|Thriller,2403,deputy|farmhouse|nightmare|private investigator|rural,http://www.imdb.com/title/tt2752772/?ref_=fn_tt_tt_1,USA,10000000,2015,5.2
82,116,70,706,24397469,Drama|Music,5804,1960s|death|girl group|nightclub|sister,http://www.imdb.com/title/tt1876451/?ref_=fn_tt_tt_1,USA,17000000,2012,5.7
120,96,9,448,20384136,Horror|Mystery|Thriller,2402,dance|nosebleed|revenge|valentine|valentine's day,http://www.imdb.com/title/tt0242998/?ref_=fn_tt_tt_1,USA,10000000,2001,4.7
183,98,58,242,25464480,Mystery|Sci-Fi|Thriller,15251,abduction|alaska|alien|owl|patient,http://www.imdb.com/title/tt1220198/?ref_=fn_tt_tt_1,USA,10000000,2009,5.9
211,105,500,718,20338609,Comedy|Drama|Music,12946,backstage|country music|cowboy|radio|singing,http://www.imdb.com/title/tt0420087/?ref_=fn_tt_tt_1,USA,10000000,2006,6.8
14,123,5,338,18272447,Drama|Thriller,2149,african american|harlem manhattan new york city|manhattan new york city|new york city|urination,http://www.imdb.com/title/tt0107079/?ref_=fn_tt_tt_1,USA,10000000,1993,5.9
54,107,17,53,,Action|Thriller,857,army|nightmare|one man army|rescue|spy,http://www.imdb.com/title/tt0089348/?ref_=fn_tt_tt_1,USA,10000000,1985,5.3
55,112,92,826,17378977,Comedy|Drama|Music|Romance,7552,1970s|boy|competition|roller skates|tubesocks,http://www.imdb.com/title/tt0403455/?ref_=fn_tt_tt_1,USA,,2005,6.0
179,93,0,766,17096053,Comedy|Drama,15716,coming of age|friendship|private school|student|teacher,http://www.imdb.com/title/tt0128445/?ref_=fn_tt_tt_1,USA,9000000,1998,7.7
221,97,25,861,21371425,Action|Sci-Fi|Thriller,3679,apartment|blue light|drawing|group of friends|light,http://www.imdb.com/title/tt1564585/?ref_=fn_tt_tt_1,USA,10000000,2010,4.4
158,122,108,111,33071558,Comedy|Drama,583,sequel,http://www.imdb.com/title/tt2555736/?ref_=fn_tt_tt_1,UK,10000000,2015,6.6
73,101,22,558,17655201,Drama|Family,3317,boarding house|girl|great depression|house|ohio,http://www.imdb.com/title/tt0846308/?ref_=fn_tt_tt_1,USA,10000000,2008,6.7
65,100,15,804,16247775,Comedy|Family|Romance,4789,e mail|moving|perfect man|secret admirer|suitor,http://www.imdb.com/title/tt0380623/?ref_=fn_tt_tt_1,USA,25000000,2005,5.5
23,129,0,203,16153600,Drama|Music|Romance,19065,comeback|friend|jazz|stage|trumpet,http://www.imdb.com/title/tt0100168/?ref_=fn_tt_tt_1,USA,10000000,1990,6.5
63,81,176,39,16033556,Action|Comedy,361,chosen one|comic violence|intentionally bad|kung fu|stylized violence,http://www.imdb.com/title/tt0240468/?ref_=fn_tt_tt_1,USA,10000000,2002,6.2
132,96,31,536,16667084,Comedy|Horror|Sci-Fi,3119,desert|giant worm|monster|pipe bomb|small town,http://www.imdb.com/title/tt0100814/?ref_=fn_tt_tt_1,USA,11000000,1990,7.1
191,84,36,648,15417771,Horror|Thriller,3416,forest|mountain|road|stupid victim|west virginia,http://www.imdb.com/title/tt0295700/?ref_=fn_tt_tt_1,USA,12600000,2003,6.1
52,100,394,695,,Western,6296,bank|breasts|famous score|last man standing|revenge,http://www.imdb.com/title/tt0081071/?ref_=fn_tt_tt_1,USA,10000000,1980,7.1
91,110,164,45,15156200,Action|Crime|Drama|Mystery|Thriller,571,chinatown|illegal immigrant|new york|police|triad,http://www.imdb.com/title/tt0142192/?ref_=fn_tt_tt_1,USA,30000000,1999,6.0
368,130,337,820,21589307,Drama,13960,14 year old|boat|bounty hunter|boy|river,http://www.imdb.com/title/tt1935179/?ref_=fn_tt_tt_1,USA,10000000,2012,7.4
89,84,134,307,20339754,Comedy|Crime,2737,beach|police|sex scene|spring break|vomiting,http://www.imdb.com/title/tt0499554/?ref_=fn_tt_tt_1,USA,10000000,2007,5.9
83,106,293,547,28873374,Documentary|Music,2787,3 dimensional|concert footage|englishman abroad|reference to keith richards|reference to the doors,http://www.imdb.com/title/tt2515086/?ref_=fn_tt_tt_1,USA,10000000,2013,4.1
83,89,23,503,15102127,Comedy,3973,fourth of july|looking at one's self in a mirror|mirror|sex toy|young version of character,http://www.imdb.com/title/tt1092633/?ref_=fn_tt_tt_1,USA,,2009,5.8
33,76,14,636,13684949,Adventure|Animation|Comedy|Family,3752,castle thunder|document|neighborhood|punctuation in title|villain arrested,http://www.imdb.com/title/tt0314166/?ref_=fn_tt_tt_1,USA,3000000,2002,5.9
386,99,64,918,14597405,Biography|Drama,17204,actress|assistant director|blonde bombshell|movie star|wardrobe,http://www.imdb.com/title/tt1655420/?ref_=fn_tt_tt_1,UK,6400000,2011,7.0
191,96,47,442,12570442,Comedy|Crime|Drama|Thriller,4053,bar|hitman|luck|mexico|mexico city,http://www.imdb.com/title/tt0365485/?ref_=fn_tt_tt_1,USA,10000000,2005,6.8
16,104,28,582,12514138,Drama|Romance,3871,african american|cult film|ex boyfriend|middle class|sex,http://www.imdb.com/title/tt0119572/?ref_=fn_tt_tt_1,USA,10000000,1997,7.4
297,108,0,458,43771291,Mystery|Thriller,3215,compulsive liar|fired from a job|gift|rape|substance abuse,http://www.imdb.com/title/tt4178092/?ref_=fn_tt_tt_1,USA,5000000,2015,7.1
47,108,2,30,11703287,Adventure|Drama,1058,death|missionary|spear|speared to death|tribe,http://www.imdb.com/title/tt0399862/?ref_=fn_tt_tt_1,USA,10000000,2005,7.0
63,87,13,869,11560259,Comedy|Romance,22485,basketball|dancer|high school|love triangle|shakespeare's a midsummer night's dream,http://www.imdb.com/title/tt0192071/?ref_=fn_tt_tt_1,USA,22000000,2001,5.8
144,89,406,759,10824921,Comedy,3462,boss|computer|downsizing|neighbor|office,http://www.imdb.com/title/tt0151804/?ref_=fn_tt_tt_1,USA,10000000,1999,7.8
77,97,31,551,10561238,Comedy|Romance|Thriller,6388,beauty pageant|blonde|cheerleader uniform|small town|upskirt,http://www.imdb.com/title/tt0157503/?ref_=fn_tt_tt_1,Germany,10000000,1999,6.5
325,106,13000,309,14479776,Biography|Crime|Drama|Romance,12418,1950s|abusive husband|artist|painting|secret,http://www.imdb.com/title/tt1126590/?ref_=fn_tt_tt_1,USA,10000000,2014,7.0
100,100,532,711,9801782,Comedy|Crime|Thriller,6046,bachelor party|breasts|friend|prostitute|wedding,http://www.imdb.com/title/tt0124198/?ref_=fn_tt_tt_1,USA,10000000,1998,6.3
52,89,18,2000,8070311,Comedy|Romance,13626,best friend|party|rival|scavenger hunt|sleepover,http://www.imdb.com/title/tt0368975/?ref_=fn_tt_tt_1,USA,10000000,2004,5.3
98,114,0,298,,Mystery|Thriller,1856,actor|neighbor|police|thief|tunnel,http://www.imdb.com/title/tt0086984/?ref_=fn_tt_tt_1,USA,10000000,1984,6.8
163,95,434,472,8460995,Action|Comedy|Romance,2618,colonel|lieutenant|nuclear warhead|team|washington d.c.,http://www.imdb.com/title/tt1470023/?ref_=fn_tt_tt_1,USA,10000000,2010,5.5
137,97,350,250,8111360,Crime|Drama|Thriller,1334,hotel|immigrant|nigerian|surgery|underwear,http://www.imdb.com/title/tt0301199/?ref_=fn_tt_tt_1,UK,10000000,2002,7.4
180,94,0,3000,8828771,Comedy,41059,awkwardness|embarrassment|gross out|irreverence|shame,http://www.imdb.com/title/tt1333125/?ref_=fn_tt_tt_1,USA,6000000,2013,4.3
321,103,207,3000,67631157,Action|Romance|Thriller,55175,police surveillance|surveillance van|tailing a suspect|tourist|venice italy,http://www.imdb.com/title/tt1243957/?ref_=fn_tt_tt_1,USA,100000000,2010,6.0
100,95,4,655,7563670,Comedy|Fantasy|Romance,3651,accident|diary|ghost|psychic|veterinarian,http://www.imdb.com/title/tt0785007/?ref_=fn_tt_tt_1,USA,10000000,2008,5.2
265,101,63,172,6619173,Adventure|Comedy|Drama|Romance|Sci-Fi,7747,candle|end of the world|letter|record|road trip,http://www.imdb.com/title/tt1307068/?ref_=fn_tt_tt_1,USA,10000000,2012,6.7
212,87,44,727,6857503,Comedy,4769,award|cedar rapids iowa|convention|hotel|insurance,http://www.imdb.com/title/tt1477837/?ref_=fn_tt_tt_1,USA,,2011,6.3
68,40,,476,,Comedy|Crime|Drama|Mystery|Romance,2198,anthropologist|fbi|fbi agent|forensics|investigation,http://www.imdb.com/title/tt0460627/?ref_=fn_tt_tt_1,USA,,,7.9
162,101,194,602,6712241,Crime|Drama,3858,curb stomping|neo nazi|prison|son dislikes mother's boyfriend|white supremacist,http://www.imdb.com/title/tt0120586/?ref_=fn_tt_tt_1,USA,7500000,1998,8.6
147,82,87,444,6842058,Action|Horror|Thriller,3818,booby trap|brainwashing|mercenary|serial killer|trap,http://www.imdb.com/title/tt1748227/?ref_=fn_tt_tt_1,USA,10000000,2012,6.1
33,74,0,719,6491350,Animation|Comedy|Family|Fantasy|Musical,5139,dog|florida|mad scientist|school|teacher,http://www.imdb.com/title/tt0350194/?ref_=fn_tt_tt_1,USA,10000000,2004,5.8
94,130,63,2,9473382,Drama|Music|Mystery|Romance,29,auction|montreal|secret|violin|violinist,http://www.imdb.com/title/tt0120802/?ref_=fn_tt_tt_1,Canada,10000000,1998,7.7
143,112,0,201,6197866,Biography|Drama,1351,cane|iowa|lawn mower|tractor|wisconsin,http://www.imdb.com/title/tt0166896/?ref_=fn_tt_tt_1,France,10000000,1999,8.0
38,96,9,934,6044618,Action|Crime|Drama,26961,1950s|drug overdose|gang|gang war|new york city,http://www.imdb.com/title/tt0231448/?ref_=fn_tt_tt_1,USA,10000000,2002,5.6
126,89,0,322,7764027,Comedy|Drama,2061,directed by star|indian american|spelling|spelling bee|two word title,http://www.imdb.com/title/tt2170299/?ref_=fn_tt_tt_1,USA,10000000,2013,6.7
168,100,0,231,5998971,Comedy|Romance|Sport,1022,blister|gym|marathon|training|wedding,http://www.imdb.com/title/tt0425413/?ref_=fn_tt_tt_1,UK,,2007,6.6
19,78,13,378,,Comedy|Sci-Fi,2791,escape|fish out of water|love|robot|servant,http://www.imdb.com/title/tt0082507/?ref_=fn_tt_tt_1,USA,10000000,1981,4.2
91,121,57,664,21569041,Drama,3745,color in title,http://www.imdb.com/title/tt2883434/?ref_=fn_tt_tt_1,USA,9000000,2014,6.6
46,85,49,401,4356743,Comedy|Family|Romance,2446,based on short film|chicago illinois|el train|love|train,http://www.imdb.com/title/tt0279286/?ref_=fn_tt_tt_1,USA,16000000,2001,4.1
198,120,0,294,5484375,Adventure|Biography|Drama|War,24270,bombing|guard|jungle|laos|prisoner,http://www.imdb.com/title/tt0462504/?ref_=fn_tt_tt_1,USA,10000000,2006,7.3
139,106,102,970,5348317,Comedy|Drama|Music,18712,entertainer|inspiration|lost opportunity|pregnant mother|rock star,http://www.imdb.com/title/tt1772288/?ref_=fn_tt_tt_1,USA,10000000,2015,7.1
182,83,157,581,4244155,Comedy|Drama,3374,basement|errand|secret admirer|slacker|wrong number,http://www.imdb.com/title/tt1588334/?ref_=fn_tt_tt_1,USA,10000000,2011,6.5
181,120,64,72,5004648,Drama|Romance,474,chef|friend|italy|restaurant|russian,http://www.imdb.com/title/tt1226236/?ref_=fn_tt_tt_1,Italy,10000000,2009,7.0
23,111,60,699,3333823,Drama|Mystery|Sci-Fi,5262,box office flop|critically bashed|government|industrialist|railroad,http://www.imdb.com/title/tt1985017/?ref_=fn_tt_tt_1,USA,10000000,2012,5.5
30,100,34,541,3275585,Action|Crime|Drama|Thriller,13160,detective|police|protection|russian|sergeant,http://www.imdb.com/title/tt0107983/?ref_=fn_tt_tt_1,UK,11500000,1993,6.6
111,89,0,132,3193102,Crime|Drama|Mystery|Thriller,1335,daughter|englishman|ex con|revenge|young woman,http://www.imdb.com/title/tt0165854/?ref_=fn_tt_tt_1,USA,9000000,1999,7.1
287,115,549,911,54557348,Crime|Drama|Thriller,5732,race relations|racism|racist|social problem|stereotype,http://www.imdb.com/title/tt0375679/?ref_=fn_tt_tt_1,Germany,6500000,2004,7.9
96,135,25,553,3041803,Drama|Romance,2735,high society|love|money|reputation|wealth,http://www.imdb.com/title/tt0200720/?ref_=fn_tt_tt_1,UK,10000000,2000,7.1
27,92,4,311,3060858,Action|Drama|Thriller,1891,assassin|box office flop|cia|farmer|power,http://www.imdb.com/title/tt0093483/?ref_=fn_tt_tt_1,USA,10000000,1987,5.6
44,120,108,400,1055654,Drama|Romance|Sport,2673,college|college athlete|comeback|gymnast|olympics,http://www.imdb.com/title/tt0438315/?ref_=fn_tt_tt_1,Germany,10000000,2006,7.3
49,97,105,269,2331318,Comedy,2603,diner|eating a banana|masturbation|porn star|shooting a pornographic movie,http://www.imdb.com/title/tt1411664/?ref_=fn_tt_tt_1,USA,10000000,2011,3.3
57,135,0,851,2185266,Comedy|Drama|Music,4266,actor|minstrel show|protest|success|writer,http://www.imdb.com/title/tt0215545/?ref_=fn_tt_tt_1,USA,10000000,2000,6.5
185,93,4,4,26583369,Horror|Mystery|Thriller,578,forest|japan|suicide|suicide forest|supernatural,http://www.imdb.com/title/tt3387542/?ref_=fn_tt_tt_1,USA,10000000,2016,4.8
2,118,76,249,800000,Adventure|Mystery|Thriller,2079,bat|curse|egyptologist|mummy|murder,http://www.imdb.com/title/tt0083113/?ref_=fn_tt_tt_1,USA,14000000,1981,5.2
270,97,387,64,7574066,Comedy|Drama,6322,documentary filmmaker|documentary filmmaking|father in law|generation z|hipster,http://www.imdb.com/title/tt1791682/?ref_=fn_tt_tt_1,USA,10000000,2014,6.3
94,98,129,221,1754319,Drama|Romance,2214,gang|gardener|money|police|truck,http://www.imdb.com/title/tt1554091/?ref_=fn_tt_tt_1,USA,10000000,2011,7.2
157,98,0,258,1641788,Drama|Mystery|Thriller,1381,halfway house|key|reality|schizophrenia|spider,http://www.imdb.com/title/tt0278731/?ref_=fn_tt_tt_1,Canada,8000000,2002,6.8
49,101,3,826,1631839,Comedy|Crime|Romance,17665,colombian|enema|group therapy|murder|nurse,http://www.imdb.com/title/tt0171356/?ref_=fn_tt_tt_1,USA,10000000,2000,5.7
80,132,41,1000,1309849,Drama|Romance,29177,boy|boys' school|death|friend|orphan,http://www.imdb.com/title/tt0309912/?ref_=fn_tt_tt_1,UK,10000000,2002,7.2
221,106,34,683,1939441,Biography|Crime|Drama,23187,based on true story|contract killer|crime family|murder of a girl|serial murderer,http://www.imdb.com/title/tt1491044/?ref_=fn_tt_tt_1,USA,10000000,2012,6.9
53,55,,2,447093,Drama,25,meaning of life|moral challenge|morality|search for meaning|ten commandments,http://www.imdb.com/title/tt0092337/?ref_=fn_tt_tt_1,Poland,,,9.1
20,168,53,45,,Action|Adventure|Romance|Sci-Fi,616,breaking the fourth wall|breaking the fourth wall by talking to the audience|computer|mask|singapore,http://www.imdb.com/title/tt0432637/?ref_=fn_tt_tt_1,India,10000000,2006,6.3
90,87,0,503,1276984,Comedy|Crime|Thriller,3059,actress|drive in|female protagonist|movie star|woman shot in the forehead,http://www.imdb.com/title/tt0173716/?ref_=fn_tt_tt_1,France,10000000,2000,6.2
376,98,607,251,1987762,Crime|Drama|Romance|Thriller,11853,female nudity|female pubic hair|lingerie|neo noir|pubic hair,http://www.imdb.com/title/tt1726669/?ref_=fn_tt_tt_1,USA,11000000,2011,6.7
144,96,17,688,1474508,Comedy|Drama,4607,envy|fake family|gadget|materialism|unhappy marriage,http://www.imdb.com/title/tt1285309/?ref_=fn_tt_tt_1,USA,5000000,2009,6.5
82,104,23,232,1011054,Crime|Drama|Thriller,23513,bank|bank fraud|bank manager|gambling|toronto,http://www.imdb.com/title/tt0285861/?ref_=fn_tt_tt_1,Canada,10000000,2003,7.2
51,93,0,622,900926,Comedy,3307,antarctica|coma|neighbor|phd|pregnancy,http://www.imdb.com/title/tt0784972/?ref_=fn_tt_tt_1,USA,10000000,2007,5.3
192,95,0,20,866778,Drama|Romance,20364,blueberry pie|diner|nevada|new york city|pie,http://www.imdb.com/title/tt0765120/?ref_=fn_tt_tt_1,Hong Kong,10000000,2007,6.7
36,119,0,54,836641,Drama,1585,critic|new york|new york city|playwright|theater critic,http://www.imdb.com/title/tt0120709/?ref_=fn_tt_tt_1,Spain,,1998,6.2
71,89,0,119,598645,Comedy|Romance,2006,island|sailor|storm|stranded|vacation,http://www.imdb.com/title/tt0291502/?ref_=fn_tt_tt_1,UK,10000000,2002,3.6
79,107,0,91,578527,Action|Comedy|Thriller,988,assassin|corporation|pop star|reporter|satire,http://www.imdb.com/title/tt0884224/?ref_=fn_tt_tt_1,USA,10000000,2008,5.7
246,85,0,51,488872,Action|Comedy|Sport,700,cult film|kung fu|martial arts|shaolin|soccer,http://www.imdb.com/title/tt0286112/?ref_=fn_tt_tt_1,Hong Kong,10000000,2001,7.3
115,93,787,0,365734,Drama,883,boyfriend girlfriend relationship|erection|female frontal nudity|gang rape|prostitute,http://www.imdb.com/title/tt0330099/?ref_=fn_tt_tt_1,USA,10000000,2003,5.0
34,101,324,28,231417,Comedy|Crime|Thriller,1256,con|con artist|money|scam|sils maria,http://www.imdb.com/title/tt0120018/?ref_=fn_tt_tt_1,France,60000000,1997,6.6
129,103,593,241,3093491,Biography|Drama,1283,based on true story|hijab|journalism|prison|reference to mahmoud ahmedinejad,http://www.imdb.com/title/tt2752688/?ref_=fn_tt_tt_1,USA,5000000,2014,6.6
22,101,163,34,244465,Drama|Romance,1019,foundry|foundry worker|french|friend|titanic,http://www.imdb.com/title/tt0129923/?ref_=fn_tt_tt_1,France,,1997,6.8
196,123,0,131,756452,Drama|Thriller|War,18652,modern day adaptation|reference to william shakespeare|shakespeare in modern dress|shakespeare play|shakespeare's coriolanus,http://www.imdb.com/title/tt1372686/?ref_=fn_tt_tt_1,UK,,2011,6.2
73,111,24,83,228524,Comedy|Drama,768,cat|christmas song|lawn mowing|leave of absence|medication,http://www.imdb.com/title/tt0373024/?ref_=fn_tt_tt_1,USA,4000000,2004,7.3
43,86,302,428,226792,Action|Comedy|Drama,3049,attempted murder|blackmail|diver's watch|nurse|satire,http://www.imdb.com/title/tt0253126/?ref_=fn_tt_tt_1,UK,10000000,2001,6.2
129,99,800,334,221210,Comedy|Drama,50542,black comedy|fictional talk show|high school teacher|phony suicide note|teacher,http://www.imdb.com/title/tt1262981/?ref_=fn_tt_tt_1,USA,,2009,6.9
200,90,76,345,136432,Comedy|Horror|Thriller,2217,blood splatter|eastern europe|female nudity|pine forest|team building,http://www.imdb.com/title/tt0464196/?ref_=fn_tt_tt_1,UK,5000000,2006,6.6
79,82,216,885,131617,Drama|Thriller,5761,bipolar disorder|sodomy|stabbing|street life|violence,http://www.imdb.com/title/tt0443496/?ref_=fn_tt_tt_1,USA,10000000,2005,6.3
112,110,26,146,152857,Drama,18236,businessman|prostitute|street|stripper|travel,http://www.imdb.com/title/tt1183923/?ref_=fn_tt_tt_1,UK,,2010,7.0
17,83,3,421,126247,Comedy|Crime,17469,captain|commandant|mafia|russian mafia|security system,http://www.imdb.com/title/tt0110857/?ref_=fn_tt_tt_1,USA,6200000,1994,3.3
20,128,11,553,82739,Drama,4579,based on autobiography|based on novel|based on true story|murder|racism,http://www.imdb.com/title/tt1210039/?ref_=fn_tt_tt_1,USA,,2010,6.7
12,125,21,36,169379,Drama|History|War,221,,http://www.imdb.com/title/tt2553908/?ref_=fn_tt_tt_1,Mexico,10000000,2013,6.2
59,97,53,499,,Comedy|Drama|Romance,3465,apartment|death of protagonist|follow that car|la dolce vita|love,http://www.imdb.com/title/tt2113659/?ref_=fn_tt_tt_1,USA,10000000,2014,6.5
29,86,71,385,15447,Comedy,2655,box office flop|critically bashed|director|hollywood|mockumentary,http://www.imdb.com/title/tt0118577/?ref_=fn_tt_tt_1,USA,10000000,1997,3.5
23,91,7,875,19348,Comedy|Drama,16118,american south|baseball|farmland|motel|road trip,http://www.imdb.com/title/tt1007018/?ref_=fn_tt_tt_1,USA,10000000,2009,5.5
