director_name,num_critic_for_reviews,actor_2_name,gross,movie_title,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,country
David McNally,155,Tyra Banks,60786269,Coyote Ugly ,3106,5,379,USA
Richard Curtis,218,Liam Neeson,59365105,Love Actually ,28886,9,1004,UK
John Lasseter,117,Madeline Kahn,162792677,A Bug's Life ,24205,0,317,USA
Albert Hughes,208,Jason Flemyng,31598308,From Hell ,41636,1,541,USA
Luis Llosa,38,Rod Steiger,57362581,The Specialist ,13331,2,116,Peru
Ron Shelton,48,Cheech Marin,53854588,Tin Cup ,3648,0,73,USA
Melville Shavelson,8,Tom Bosley,,Yours, Mine and Ours ,7493,0,61,USA
Jesse Dylan,94,Will Ferrell,52580895,Kicking & Screaming ,27351,1,118,USA
Garth Jennings,276,Kelly Macdonald,51019112,The Hitchhiker's Guide to the Galaxy ,14073,0,1053,USA
Joel Zwick,59,Nick Zano,48114556,Fat Albert ,4604,1,91,USA
Russell Mulcahy,216,Mike Epps,50648679,Resident Evil: Extinction ,16225,1,348,France
Frank Coraci,173,Adam Sandler,46280507,Blended ,49743,0,184,USA
Wayne Wang,99,Alicia Witt,38360195,Last Holiday ,3757,1,116,USA
Curtis Hanson,42,Glenn Morshower,46815748,The River Wild ,12161,1,69,USA
Frank Oz,25,Vincent Kartheiser,35617599,The Indian in the Cupboard ,2965,1,47,USA
Oliver Stone,339,Shea Whigham,47307550,Savages ,1948,4,269,USA
David R. Ellis,127,Valerie Cruz,32003620,Cellular ,1102,1,355,USA
Peter Howitt,122,Natalie Imbruglia,27972410,Johnny English ,1461,1,285,UK
John A. Davis,105,Meryl Streep,28133159,The Ant Bully ,33822,1,70,USA
David Lynch,144,Jürgen Prochnow,27400000,Dune ,2449,3,569,USA
Julie Taymor,156,T.V. Carpio,24343673,Across the Universe ,5405,0,524,USA
Sam Mendes,323,Kate Winslet,22877808,Revolutionary Road ,53895,0,414,USA
Richard Donner,199,David Zayas,36883539,16 Blocks ,15053,2,305,Germany
Mathieu Kassovitz,164,Charlotte Rampling,22531698,Babylon A.D. ,15990,0,214,France
John Gray,39,Bob Gunton,20400913,The Glimmer Man ,3855,1,80,USA
Harold Ramis,43,Brian Doyle-Murray,20101861,Multiplicity ,2348,0,81,USA
John Schultz,82,Carter Jenkins,25200412,Aliens in the Attic ,3423,3,55,USA
Sean Penn,150,Adrien Dorval,19719930,The Pledge ,793,0,531,USA
Susan Stroman,168,Will Ferrell,19377727,The Producers ,24351,3,409,USA
Pete Travis,432,Jason Cope,13401683,Dredd ,578,0,588,UK
Simon Wincer,60,Treat Williams,17300889,The Phantom ,3855,0,148,Australia
Billy Bob Thornton,85,Henry Thomas,15527125,All the Pretty Horses ,15006,2,183,USA
Oliver Stone,83,Bob Hoskins,13560960,Nixon ,21130,0,161,USA
Roman Polanski,343,Olivia Williams,15523168,The Ghost Writer ,2507,2,349,France
Stephen Sommers,106,Jason Flemyng,11146409,Deep Rising ,6558,0,273,USA
Spike Lee,158,Omari Hardwick,7916887,Miracle at St. Anna ,26982,0,182,USA
Yimou Zhang,189,Ye Liu,6565495,Curse of the Golden Flower ,949,2,229,China
Danny Pang,125,Charlie Yeung,15279680,Bangkok Dangerous ,12166,1,154,USA
Barry Sonnenfeld,87,Janeane Garofalo,7262288,Big Trouble ,13917,2,186,USA
Mike Newell,115,Giovanna Mezzogiorno,4584886,Love in the Time of Cholera ,538,0,115,USA
,23,Clotilde Hesme,,The Returned             ,654,9,47,France
George P. Cosmatos,24,Ben Gazzara,2154540,Shadow Conspiracy ,2457,2,41,USA
Oliver Parker,152,Tim McInnerny,8129455,Johnny English Reborn ,661,1,142,USA
Lawrence Kasanoff,12,Larry Miller,,Foodfight! ,3090,0,66,USA
Ben Affleck,656,Scoot McNairy,136019448,Argo ,3133,1,695,USA
Andrew Davis,119,Daniel Roebuck,183875760,The Fugitive ,13357,1,270,USA
Andy Tennant,161,Dorian Missick,67061228,The Bounty Hunter ,21554,1,135,USA
Barry Levinson,73,Brad Pitt,53300852,Sleepers ,37076,3,259,USA
George P. Cosmatos,96,Julia Nickson,150415432,Rambo: First Blood Part II ,15662,0,217,USA
Brian Gibson,28,Demi Moore,44834712,The Juror ,26907,1,62,USA
Norman Ferguson,105,Dickie Jones,84300000,Pinocchio ,1178,0,147,USA
Michael Cimino,102,Sam Waterston,1500000,Heaven's Gate ,14255,0,189,USA
Len Wiseman,206,Tony Curran,62318875,Underworld: Evolution ,2998,1,502,USA
Paul McGuigan,159,Spencer Wilding,5773519,Victor Frankenstein ,12876,2,91,USA
Gus Van Sant,137,Rob Brown,51768623,Finding Forrester ,1801,1,297,USA
Betty Thomas,116,Viggo Mortensen,37035515,28 Days ,23864,1,194,USA
Louis Leterrier,177,Jet Li,24520892,Unleashed ,22383,1,303,France
Roger Kumble,99,Lillian Adams,24430272,The Sweetest Thing ,132,3,403,USA
Sydney Pollack,56,Holly Hunter,158348400,The Firm ,14244,0,142,USA
Burr Steers,117,Charlie Tahan,31136950,Charlie St. Cloud ,1066,1,75,USA
Simon West,252,Tony Goldwyn,29113588,The Mechanic ,27834,0,181,USA
Phil Lord,375,Dax Flame,138447667,21 Jump Street ,19968,2,345,USA
Roger Michell,150,Clarke Peters,116006080,Notting Hill ,9255,1,602,UK
Peter Lord,187,Miranda Richardson,106793915,Chicken Run ,1817,0,358,UK
John Hamburg,108,Masi Oka,87856565,Along Came Polly ,24534,1,268,USA
Reginald Hudlin,21,Eartha Kitt,70100000,Boomerang ,3841,1,41,USA
Paul Feig,270,William Xifaras,159578352,The Heat ,4825,7,380,USA
Joseph L. Mankiewicz,72,Richard Burton,57750000,Cleopatra ,2957,2,192,UK
Frank Coraci,154,Reggie Lee,45290318,Here Comes the Boom ,6727,2,112,USA
Carl Franklin,114,Adam Scott,41543207,High Crimes ,15571,1,175,USA
Barbra Streisand,27,Austin Pendleton,41252428,The Mirror Has Two Faces ,13716,0,71,USA
Mark Pellington,166,Will Patton,35228696,The Mothman Prophecies ,1651,0,460,USA
Larry Charles,288,Elton John,59992760,Brüno ,2134,1,396,USA
John Glen,117,Talisa Soto,34667015,Licence to Kill ,2371,0,317,UK
Catherine Hardwicke,291,Billy Burke,37652565,Red Riding Hood ,15369,2,283,USA
John Herzfeld,151,Charlize Theron,24375436,15 Minutes ,33585,1,265,USA
Annabel Jankel,36,Fisher Stevens,20915465,Super Mario Bros. ,7723,0,290,UK
Andrew Niccol,168,Jeremy Crutchley,24127895,Lord of War ,12076,2,437,USA
Yimou Zhang,283,Tony Chiu Wai Leung,84961,Hero ,6229,4,841,China
Julie Anne Robinson,127,Debbie Reynolds,26404753,One for the Money ,3301,1,169,USA
Evan Goldberg,293,Randall Park,6105175,The Interview ,12239,4,835,USA
Sngmoo Lee,95,Dong-gun Jang,5664251,The Warrior's Way ,2056,1,102,New Zealand
,4,Gavin MacLeod,,McHale's Navy             ,1610,1,18,USA
Jean-Pierre Jeunet,213,Dany Boon,1260917,Micmacs ,1342,4,71,France
Curtis Hanson,119,Omar Benson Miller,116724075,8 Mile ,1954,0,564,USA
Jamel Debbouze,9,Youssef Hajdi,,Animal Kingdom: Let's go Ape ,488,0,5,France
Brian Helgeland,167,Rufus Sewell,56083966,A Knight's Tale ,18761,1,658,USA
Gordon Chan,98,Lee Evans,22108977,The Medallion ,1134,1,132,Hong Kong
M. Night Shyamalan,234,Haley Joel Osment,293501675,The Sixth Sense ,17540,0,2073,USA
Asger Leth,258,Mandy Gonzalez,18600911,Man on a Ledge ,362,6,153,USA
David Frankel,108,Kevin Pollak,7204138,The Big Year ,2085,0,125,USA
John G. Avildsen,81,William Zabka,90800000,The Karate Kid ,2004,0,235,USA
David O. Russell,538,Christian Bale,150117807,American Hustle ,83012,5,751,USA
Anne Fletcher,224,Denis O'Hare,163947053,The Proposal ,18656,1,273,USA
Bruce Beresford,129,Annabeth Gish,116735231,Double Jeopardy ,2129,0,336,USA
Robert Zemeckis,125,Jeffrey Weissman,118500000,Back to the Future Part II ,3660,0,327,USA
Luc Besson,433,Morgan Freeman,126546825,Lucy ,32325,0,918,France
Sam Taylor-Johnson,362,Luke Grimes,166147885,Fifty Shades of Grey ,4585,0,1360,USA
Robert Rodriguez,93,Salma Hayek,111760631,Spy Kids 3-D: Game Over ,22935,3,188,USA
Joel Schumacher,71,Matthew McConaughey,108706165,A Time to Kill ,31349,3,236,USA
Shawn Levy,104,Alyson Stoner,138614544,Cheaper by the Dozen ,7014,15,288,USA
Peter Berg,319,Scott Elrod,125069696,Lone Survivor ,1261,0,420,USA
Penny Marshall,41,Lori Petty,107458785,A League of Their Own ,16751,3,166,USA
James Wan,300,Frances O'Connor,102310175,The Conjuring 2 ,2676,0,279,USA
David Fincher,556,Dustin Fitzsimons,96917897,The Social Network ,10555,0,696,USA
Ken Kwapis,161,Sabrina Revelle,93952276,He's Just Not That Into You ,318,7,203,USA
David Zucker,151,Carmen Electra,90703745,Scary Movie 4 ,5855,8,410,USA
Wes Craven,212,Roger Jackson,89138076,Scream 3 ,600,4,734,USA
Robert Zemeckis,111,Jeffrey Weissman,87666629,Back to the Future Part III ,3986,0,263,USA
Etan Cohen,173,Alison Brie,90353764,Get Hard ,12556,2,144,USA
Francis Ford Coppola,181,Anthony Hopkins,82522790,Bram Stoker's Dracula ,42220,0,654,USA
Nora Ephron,252,Mary Lynn Rajskub,94125426,Julie & Julia ,13321,2,277,USA
Brian Helgeland,216,Christopher Meloni,95001343,42 ,16911,0,200,USA
Anthony Minghella,203,Matt Damon,81292135,The Talented Mr. Ripley ,36810,1,696,USA
Bobby Farrelly,218,Kathleen Turner,86208010,Dumb and Dumber To ,16179,1,285,USA
Frank Marshall,118,Bruce Greenwood,81593527,Eight Below ,24300,1,263,USA
Nancy Meyers,241,Anne Hathaway,75274748,The Intern ,36010,2,304,USA
Tim Story,119,Nadine Velazquez,90835030,Ride Along 2 ,5178,0,58,USA
Michael Mann,89,Terry Kinney,72455275,The Last of the Mohicans ,2144,1,382,USA
Taylor Hackford,209,Curtis Armstrong,75305995,Ray ,5074,0,433,USA
Frank Miller,374,Powers Boothe,74098862,Sin City ,3924,1,1732,USA
Pete Travis,235,Edgar Ramírez,72266306,Vantage Point ,6775,4,422,USA
John Hamburg,215,Jon Favreau,71347010,I Love You, Man ,28928,2,215,USA
Bobby Farrelly,109,Bruce McGill,70836296,Shallow Hal ,2842,2,426,USA
Oliver Stone,125,Jay O. Sanders,70405498,JFK ,698,1,442,France
John Whitesell,65,Nia Long,70163652,Big Momma's House 2 ,19334,0,82,USA
Gore Verbinski,125,Brad Pitt,66808615,The Mexican ,43917,0,344,USA
Angelina Jolie Pitt,322,Jack O'Connell,115603980,Unbroken ,2938,0,351,USA
Burr Steers,191,Hunter Parrish,64149837,17 Again ,7009,1,185,USA
Nick Cassavetes,191,Kate Upton,83906114,The Other Woman ,2357,2,189,USA
David R. Ellis,221,Andrew Fiscella,66466372,The Final Destination ,303717,0,290,USA
Steven Spielberg,459,Mark Rylance,72306065,Bridge of Spies ,16944,0,355,USA
John Moore,131,David Keith,59068786,Behind Enemy Lines ,2544,2,411,USA
Nicholas Stoller,222,Mario Lopez,60923325,Get Him to the Greek ,2091,2,197,USA
Peter Chelsom,118,Nick Cannon,57887882,Shall We Dance ,2325,2,211,USA
Joe Dante,100,Denis Leary,53955614,Small Soldiers ,8610,0,139,USA
Mark A.Z. Dippé,70,Frank Welker,54967359,Spawn ,7039,0,209,USA
Kevin Reynolds,138,James Frain,54228104,The Count of Monte Cristo ,17152,1,544,UK
Brad Furman,274,Margarita Levieva,57981889,The Lincoln Lawyer ,13943,1,203,USA
Jaume Collet-Serra,349,Frank Langella,61094903,Unknown ,17152,3,332,UK
Christopher Nolan,341,Hugh Jackman,53082743,The Prestige ,63986,1,1100,USA
Sean Anders,196,Christoph Waltz,54414716,Horrible Bosses 2 ,30571,7,187,USA
Cal Brunker,83,Paul Scheer,57011847,Escape from Planet Earth ,3361,2,44,USA
Mel Gibson,283,Dalia Hernández,50859889,Apocalypto ,848,0,1043,USA
John Glen,105,Desmond Llewelyn,51185897,The Living Daylights ,1233,1,271,UK
Nimród Antal,351,Alice Braga,52000688,Predators ,4243,0,619,USA
Ivan Reitman,16,Debra Winger,49851591,Legal Eagles ,2179,3,34,USA
David Koepp,195,Charles S. Dutton,47781388,Secret Window ,41293,1,531,USA
Alejandro Agresti,175,Dylan Walsh,52320979,The Lake House ,18693,0,548,USA
Iain Softley,193,Deneen Tyler,47806295,The Skeleton Key ,1274,0,371,USA
Peter Hedges,169,Odeya Rush,51853450,The Odd Life of Timothy Green ,9069,0,110,USA
Paul Weiland,128,Beau Garrett,46012734,Made of Honor ,4298,2,101,USA
Clint Eastwood,249,Steve Schirripa,47034272,Jersey Boys ,2281,1,190,USA
Francis Ford Coppola,91,Dean Stockwell,45856732,The Rainmaker ,16762,1,141,USA
Mathieu Kassovitz,207,Charles S. Dutton,59588068,Gothika ,22318,1,376,USA
Steven Spielberg,77,Morgan Freeman,44175394,Amistad ,37570,2,227,USA
John McTiernan,25,José Wilker,45500797,Medicine Man ,519,2,56,USA
Colin Strause,211,Johnny Lewis,41797066,Aliens vs. Predator: Requiem ,4324,0,998,USA
Donald Petrie,19,John Larroquette,38087756,Ri¢hie Ri¢h ,4634,1,39,USA
Joan Chen,101,Sam Trammell,37752931,Autumn in New York ,26938,2,180,USA
Marc Lawrence,175,Scott Porter,50562555,Music and Lyrics ,2787,4,291,USA
Greg Mottola,342,Nelson Ascencio,37371385,Paul ,390,0,334,USA
Anne Fletcher,147,Tom Virtue,37101011,The Guilt Trip ,1070,1,103,USA
Wes Craven,420,Aimee Teegarden,38176892,Scream 4 ,4486,0,518,USA
Joel Schumacher,138,Chris Bauer,36283504,8MM ,12970,1,587,Germany
Oliver Stone,82,Kevin Dillon,35183792,The Doors ,3044,1,209,USA
Jake Kasdan,201,Randall Park,38543473,Sex Tape ,1488,2,158,USA
Diane Keaton,82,Celia Weston,36037909,Hanging Up ,1238,3,130,Germany
Steven Quale,277,Jacqueline MacInnes Wood,42575718,Final Destination 5 ,3074,0,227,USA
Kelly Makin,90,Burt Young,33864342,Mickey Blue Eyes ,2913,1,117,UK
Mimi Leder,157,Haley Joel Osment,33508922,Pay It Forward ,23920,2,660,USA
Bobby Farrelly,124,KaDee Strickland,42071069,Fever Pitch ,1827,1,208,USA
,3,Melissa Altro,,Arthur             ,108,0,43,Canada
Steven Brill,146,Shaun Weiss,32853640,Drillbit Taylor ,3239,1,101,USA
Seth MacFarlane,303,Charlize Theron,42615685,A Million Ways to Die in the West ,28927,3,416,USA
Russell Mulcahy,70,Peter Boyle,32055248,The Shadow ,2711,0,146,USA
Stephen Daldry,283,Thomas Horn,31836745,Extremely Loud & Incredibly Close ,15595,1,341,USA
Roger Michell,212,Patti D'Arbanville,30993544,Morning Glory ,621,0,156,USA
Jim Sheridan,98,Bill Duke,30981850,Get Rich or Die Tryin' ,3969,0,284,USA
Christian Duguay,110,Cary-Hiroyuki Tagawa,30199105,The Art of War ,3753,0,167,USA
Chris Columbus,146,David Fine,29077547,Rent ,5917,1,754,USA
Chuck Russell,100,Jimmy Smits,29374178,Bless the Child ,4565,0,188,USA
Sam Weisman,62,Valerie Perri,28535768,The Out-of-Towners ,1335,2,105,USA
John Frankenheimer,70,Temuera Morrison,27663982,The Island of Dr. Moreau ,10469,2,164,USA
Peter Hyams,107,Justin Chambers,27053815,The Musketeer ,2888,0,291,Germany
Justin Chadwick,169,Scarlett Johansson,26814957,The Other Boleyn Girl ,77823,3,252,UK
Pat O'Connor,94,Charlize Theron,25178165,Sweet November ,29484,1,274,USA
Stephen Hopkins,190,Andrea Frankle,25117498,The Reaping ,960,0,178,USA
Martin Scorsese,112,David Carradine,32645,Mean Streets ,23737,0,223,USA
Penny Marshall,12,Cliff Robertson,24332324,Renaissance Man ,3126,1,61,USA
Olivier Megaton,201,Callum Blue,36665854,Colombiana ,3432,0,203,France
Frederik Du Chau,34,Jaleel White,22717758,The Magic Sword: Quest for Camelot ,14275,0,67,USA
Michael Caton-Jones,104,James Franco,22433915,City by the Sea ,34377,1,166,USA
Irwin Winkler,55,Nathan Lane,22326247,At First Sight ,3821,1,106,USA
Joseph Kahn,86,Jay Hernandez,21176322,Torque ,5039,0,207,USA
Harold Becker,50,Martin Landau,20300000,City Hall ,17877,2,60,USA
Paul Verhoeven,181,Elizabeth Berkley,20302961,Showgirls ,18913,0,450,France
Sofia Coppola,260,Shirley Henderson,15962471,Marie Antoinette ,7243,1,619,USA
Barbet Schroeder,40,Michael Rapaport,14942422,Kiss of Death ,14008,3,60,USA
Stephen Kay,102,Miranda Richardson,14967182,Get Carter ,14463,1,284,USA
J.A. Bayona,371,Geraldine Chaplin,18996755,The Impossible ,7099,0,322,Spain
Elaine May,49,Warren Beatty,14375181,Ishtar ,3374,2,126,USA
Wes Anderson,335,Meryl Streep,20999103,Fantastic Mr. Fox ,24770,0,245,USA
Stephen Herek,86,Stockard Channing,14448589,Life or Something Like It ,12566,2,128,USA
John Carpenter,40,Michael McKean,14358033,Memoirs of an Invisible Man ,2125,2,66,USA
Jean-Pierre Jeunet,242,Jamel Debbouze,33201661,Amélie ,809,0,1314,France
Dennie Gordon,70,Bob Saget,14018364,New York Minute ,3974,1,111,USA
Charles Shyer,135,Nia Long,13395939,Alfie ,3639,4,146,UK
Ken Kwapis,125,Tim Blake Nelson,20113965,Big Miracle ,1702,3,66,USA
Ulu Grosbard,54,Treat Williams,13376506,The Deep End of the Ocean ,4327,1,111,USA
William Malone,104,Jeffrey Combs,13208023,Feardotcom ,4262,1,388,UK
Paul Weitz,157,Salma Hayek,13838130,Cirque du Freak: The Vampire's Assistant ,20503,3,157,USA
Paul McGuigan,159,Spencer Wilding,5773519,Victor Frankenstein ,12876,2,91,USA
Danny DeVito,78,Amber Valletta,9652000,Duplex ,3096,0,147,USA
Malcolm D. Lee,88,Sean Hayes,12081447,Soul Men ,4103,2,25,USA
Jerry Jameson,32,Jason Robards,7000000,Raise the Titanic ,1883,0,70,UK
Mic Rodgers,75,Daniel von Bargen,10431220,Universal Soldier: The Return ,4024,0,162,USA
Christian Alvart,219,Dennis Quaid,10326062,Pandorum ,14127,0,310,Germany
Gary Fleder,83,Mekhi Phifer,6114237,Impostor ,2664,4,207,USA
Christian Duguay,53,Bridgette Wilson-Sampras,4835968,Extreme Ops ,4123,0,82,UK
Jean-Marie Poiré,61,Matt Ross,4777007,Just Visiting ,1149,3,98,France
Danny Boyle,308,Benedict Wong,3675072,Sunshine ,11623,0,801,UK
