num_critic_for_reviews,duration,actor_1_facebook_likes,genres,num_voted_users,plot_keywords,language,actor_2_facebook_likes,movie_facebook_likes
195,96,40000,Mystery|Thriller,147504,adultery|extramarital affair|infidelity|unfaithfulness|writer,English,534,0
175,99,18000,Drama|Fantasy|Romance,114321,house|lake|letter|love across time|parallel time,English,426,0
193,104,545,Horror|Mystery|Thriller,87447,attic|bound and gagged|hoodoo|secret|southern gothic,English,351,0
169,105,3000,Comedy|Drama|Family|Fantasy,37398,dodgeball|portrait|soccer|soccer game|young love,English,2000,11000
128,101,1000,Comedy|Romance,54421,friend|love|maid|maid of honor|marriage,English,689,3000
249,134,880,Biography|Drama|Music|Musical,25465,band|music group|musical quartet|singer|song,English,413,16000
91,135,13000,Crime|Drama|Thriller,46221,courtroom|domestic violence|insurance company|lawyer|underdog,English,936,0
207,98,21000,Horror|Mystery|Thriller,89557,memory|murder|patient|psychiatrist|the devil,English,534,0
77,155,12000,Drama|History,56509,courtroom|mutiny|ship|slave ship|slave trade,English,11000,0
25,106,472,Adventure|Drama|Romance,17443,cancer|environment|gas chromatograph|jungle|nature,English,47,694
211,102,1000,Action|Horror|Sci-Fi|Thriller,92789,alien|escape|hunting|hybrid|predator,English,741,0
19,95,3000,Comedy|Family,49612,attempted murder|based on comic book|escape from prison|lost at sea|wealth,English,450,0
101,103,24000,Drama|Romance,20201,may december romance|new york|new york city|rockefeller center|title directed by female,English,1000,0
175,95,799,Comedy|Music|Romance,81334,love|lyricist|singer|singing|song,English,690,0
342,109,176,Adventure|Comedy|Sci-Fi,192462,alien|geek|nerd|road trip|ufo,English,61,42000
147,95,405,Comedy|Drama,30394,cross country|love|mother son relationship|on the road|trip,English,358,0
420,111,2000,Horror|Mystery,104119,author|book|deputy|murder|sheriff,English,741,26000
138,123,12000,Mystery|Thriller,104564,investigation|obsession|private eye|private investigator|snuff film,English,638,0
82,140,720,Biography|Drama|Music|Musical,68159,death|paris france|rock band|singer|the doors,English,576,0
201,94,683,Comedy,84382,sex in a car|sex video|sexual desire|sexuality|undressing,English,392,0
82,94,374,Comedy|Drama,10132,actress|clown costume|magazine|party planner|soap opera actress,English,258,390
277,92,703,Horror,83788,blood splatter|death|eyeball run over by car|latex gloves|suspension bridge,English,682,20000
90,102,711,Comedy|Crime|Romance,29968,auctioneer|fbi|mafia|mobster|painting,English,683,445
157,123,18000,Drama,95860,alcoholism|boy|good deed|protective male|teacher,English,3000,16000
124,104,787,Comedy|Drama|Romance|Sport,36223,baltimore orioles|boston red sox|promotion|ups|world series,English,299,0
3,30,51,Animation|Comedy|Family,8495,based on children's book|best friend|character name in title|friend|one word title,English,21,301
146,102,1000,Comedy|Drama,50199,bodyguard|bully|generation y|high school|nerd,English,613,702
303,136,14000,Comedy|Western,136093,dancing sheep|fetish|musical scene|racial humor|snake poison,English,9000,24000
70,93,924,Action|Adventure|Crime|Fantasy|Mystery|Thriller,18723,1930s|bomb|city|invisibility|the shadow,English,595,0
283,129,15000,Adventure|Drama|Mystery,81298,fear|mourning|mute|quest|revelation,English,467,39000
212,107,293,Comedy|Drama|Romance,58871,job offer|roller coaster|slow motion action scene|slow motion sequence|television,English,117,0
98,117,1000,Biography|Crime|Drama|Music,35834,male frontal nudity|male pubic hair|prison|pubic hair|violence,English,1000,0
110,116,2000,Action|Adventure|Crime|Thriller,25346,blood splatter|fbi|murder|secretary general|united nations,English,1000,470
146,135,3000,Drama|Musical|Romance,41685,aids|hiv positive|lawyer|new york city|roommate,English,1000,3000
100,107,3000,Crime|Drama|Horror|Thriller,12093,easter|fbi|luminol|nurse|omen,English,941,394
62,90,607,Comedy,10446,job interview|manhattan new york city|new york city|remake|sausage,English,322,279
70,99,10000,Horror|Sci-Fi|Thriller,26051,animal experimentation|chimera|island|jungle|mutant,English,368,0
107,104,964,Action|Adventure|Romance,12856,guard|king|murder|musketeer|swordsman,English,931,299
169,115,20000,Biography|Drama|History|Romance,84357,children|court|king|king henry viii|love,English,19000,0
94,119,18000,Drama|Romance,70292,advertising|cancer|dog|san francisco california|terminal illness,English,9000,8000
190,99,327,Horror|Thriller,37412,biblical plague|louisiana|missionary|plague|small town,English,253,0
112,112,22000,Crime|Drama|Romance|Thriller,67797,bar|catholic guilt|epilepsy|italian american|money,English,926,0
12,128,783,Comedy|Drama,13830,army|basic training|reference to shakespeare's hamlet|teacher|u.s. army,English,754,680
201,112,877,Action|Crime|Drama|Thriller,76498,female in a shower|female nudity|premarital sex|sex scene|woman wearing a miniskirt,English,738,15000
34,86,10000,Adventure|Animation|Comedy|Drama|Family|Fantasy|Musical,11156,camelot|dragon|excalibur|knight|sword,English,908,0
104,108,22000,Crime|Drama|Mystery|Thriller,21319,beach|grandson|murder|new york city|police,English,11000,416
55,128,978,Drama|Romance,11232,based on article|blindness|box office flop|massage therapist|regaining sight,English,886,0
86,84,1000,Action|Comedy|Crime,23747,murder|on the run|security camera|surveillance footage|timebomb,English,1000,0
50,111,14000,Drama|Thriller,16741,drug dealer|mayor|new york city|probation|scandal,English,940,309
181,131,16000,Drama,49874,cult film|lap dance|lap dancing|stripper|striptease,English,893,0
260,123,4000,Biography|Drama|History|Romance,79892,austria|cake|france|queen|versailles,English,887,0
40,101,12000,Action|Crime|Thriller,14226,beard|female nudity|police brutality|stripper|woman in lingerie,English,975,555
102,102,13000,Action|Crime|Drama|Thriller,27305,affair|car crash|enforcer|funeral|murder,English,530,604
371,114,6000,Drama|Thriller,145270,christmas|resort|thailand|tourist|tsunami,English,382,54000
49,107,636,Action|Adventure|Comedy|Music|Thriller,8692,cia|emir|hotel|map|morocco,English,631,754
335,87,13000,Adventure|Animation|Comedy|Crime|Family,139114,cider|farm|farmer|fox|tale,English,11000,15000
86,103,11000,Comedy|Romance,19364,football|homeless man|interview|psychic|reporter,English,944,835
40,99,782,Comedy|Romance|Sci-Fi|Thriller,17365,accident|bar|chase|cia|laboratory,English,658,630
242,122,326,Comedy|Romance,534262,cheerfulness|female protagonist|garden gnome|magical realism|waitress,French,326,39000
70,91,976,Comedy|Crime|Family|Romance,17722,dog|new york city|scholarship|senator|twin,English,799,849
135,103,865,Comedy|Drama|Romance,43442,best friend|commitment|friend|limousine driver|one night stand,English,826,0
125,107,875,Biography|Drama|Romance,15231,arctic circle|reporter|small town|volunteer|whale,English,596,0
54,106,2000,Drama,10413,basketball|boy|italian|kidnapping a child|reunion,English,642,579
104,101,2000,Crime|Horror|Thriller,17309,bondage gear|bound and gagged|hung by one's wrists|tied to a chair|tied to a table,English,886,612
157,109,14000,Action|Adventure|Fantasy|Thriller,35990,antidote|based on young adult novel|flyer|spider|vampire,English,4000,0
159,110,11000,Drama|Horror|Sci-Fi|Thriller,28618,assistant|experiment|frankenstein|medical student|scientist,English,1000,11000
78,89,1000,Comedy,46205,christmas|duplex|television|tenant|writer,English,627,0
88,100,1000,Comedy|Drama|Music,7794,band|masturbation|reunion|singer|tribute,English,760,866
32,119,521,Action|Adventure|Drama|Thriller,2933,military|mineral|ocean|ship|titanic,English,372,328
75,83,2000,Action|Sci-Fi,24216,combat|computer|general|military|reporter,English,577,401
219,108,12000,Action|Horror|Mystery|Sci-Fi|Thriller,121432,future|mission|space|spaceship|survival,English,2000,10000
83,102,1000,Drama|Mystery|Sci-Fi|Thriller,19986,alien|android|bomb|future|weapon,English,1000,892
53,93,3000,Action|Adventure|Thriller,4821,commercial|extreme sports|mountain|serbian|terrorist,English,545,158
61,84,545,Comedy|Fantasy|Sci-Fi,15130,alternate history|alternate timeline|flatulence|future time travel|time travel comedy,English,248,565
308,107,11000,Adventure|Sci-Fi|Thriller,190132,astronaut|earth|future|icarus|sun,English,372,15000
70,91,61,Comedy|Drama,30842,box office flop|buddhist|liar|literary agent|magical tree,English,46,0
41,94,795,Adventure|Animation|Comedy|Fantasy|Romance,2458,box office flop|computer animation|one word title|surrealism|villainess,English,754,211
224,115,1000,Action|Crime|Drama|Mystery|Thriller,28429,assassination|blood vomiting|death|hit squad|mercenary,English,535,0
66,93,15000,Action|Adventure|Family|Thriller,20201,14 year old|british|gadget|spy|training,English,460,823
253,105,884,Drama|Mystery|Thriller,186982,binoculars|electronic tag|house arrest|neighbor|watching someone,English,617,0
79,107,11000,Comedy|Crime|Drama|Thriller,54650,computer|computer virus|cyberpunk|fight the system|sexual fantasy,English,922,12000
94,101,499,Adventure|Comedy|Drama|Romance|Thriller|War,22010,bosnia|cia|fox|hunt|war criminal,English,3,0
77,111,1000,Comedy|Fantasy,65474,art deco|board of directors|industry|mail|stock,English,970,0
106,113,5000,Action|Drama|History|Romance|War,22897,assassination|blood brother|dynasty|general|stabbing a woman,Mandarin,755,0
30,112,1000,Drama|History|War,3322,1800s|kazakhstan|nomad,Kazakh,580,265
488,126,11000,Action|Drama|Sci-Fi|Thriller,181472,closed ecological system|perpetual winter|population control|revolt|train,English,557,58000
63,90,1000,Adventure|Animation|Comedy|Fantasy|Music|Romance,15790,belle epoque|city name in title|monster|paris france,French,559,0
42,93,2000,Comedy,3789,fbi|movie producer|sting operation|undercover|urination,English,894,89
118,98,720,Action|Drama|Fantasy,136580,back from the dead|crime boss|crow|gothic|vigilante,English,581,15000
44,159,218,Action|Adventure|Drama|Fantasy|War,62756,ancient india|dual role|good versus evil|hindu|kingdom,Telugu,133,21000
214,107,152,Drama|Fantasy|Romance|Sci-Fi,114925,jumping on a bed|kissing while having sex|librarian|male objectification|pregnant woman in bathtub,English,142,13000
110,102,747,Comedy|Romance,32412,meddling|psychologist|sobbing female|subtitled scene|you can say that again joke,English,452,0
187,106,23000,Action|Crime|Thriller,272227,eighteen wheeler|illegal street racing|truck|trucker|undercover cop,English,14000,14000
370,87,940,Animation|Comedy|Family|Horror|Sci-Fi,73886,dog|life|remake by original director|science|stop motion animation,English,925,25000
276,119,2000,Action|Adventure|Sci-Fi|Thriller,242599,alliance|cannibalism|future|operative|planet,English,505,14000
76,110,865,Biography|Drama|Romance|Sport,5917,boxer|boxing|boxing arena|boxing manager|directed by co star,English,534,177
95,125,593,Action|Comedy|Sci-Fi,49934,computer|high school|kryptonite|smallville|villain,English,542,0
211,113,22000,Comedy|Sport,46480,broke|promoter|retirement|trainer|training,English,13000,12000
160,150,755,Action|Adventure|Drama|History|War,36894,alliance|battle|china|chinese|strategy,Mandarin,643,0
97,108,982,Comedy|Romance,83786,alabama|divorce|divorce papers|husband wife relationship|new york city,English,935,0
174,96,18000,Comedy|Romance,163665,call in|chick flick|date|hot air balloon|show producer,English,957,9000
23,93,592,Comedy,17810,greenland|military|revenge|soldier|u.s. soldier,English,516,478
103,100,12000,Action|Adventure|Comedy|Family|Sci-Fi,44885,island|mad scientist|scientist|sequel|spy,English,2000,478
98,118,1000,Action|Adventure|Mystery|Sci-Fi|Thriller,60504,23rd century|bare chested male bondage|enterprise the starship|rescue|sacrifice,English,946,0
273,122,643,Action|Biography|Drama,24557,challenge|china|hong kong|martial arts|martial arts master,Mandarin,290,13000
279,120,21000,Drama|Romance,95367,circus|circus vargas|elephant|fear|train,English,11000,33000
22,60,23000,Comedy|Family|Sci-Fi,38383,alien|digit in title|human form|number 3 in title|talking on a rooftop,English,967,0
4,88,76,Adventure|Animation|Family|Fantasy,2169,,English,47,0
65,146,18000,Biography|Drama|Sport,76016,african american|book|boxer|boxing|murder,English,584,0
98,115,970,Crime|Drama|Thriller,30667,abusive husband|escape|intimate partner homicide|marriage|woman wearing only a man's shirt,English,919,0
116,123,931,Comedy|Crime|Romance,44168,bank|infidelity|millionaire|money|scam,English,754,989
76,94,598,Action|Comedy|Crime,23473,character name in title|no opening credits|sequel|wilhelm scream,English,557,8000
106,102,308,Drama|Romance,19686,apartment|fate|gun|love|mysterious man,English,285,689
55,98,854,Comedy|Drama,8433,bully|co worker|divorce|fight|karate,English,543,168
172,133,40000,Mystery|Thriller,137722,bare butt|gnosticism|lucifer|rare book|sex,English,903,0
47,118,24000,Crime|Drama|Mystery|Thriller,14066,cartoon on tv|doctor|emergency room|hospital|nudity,English,210,352
107,105,628,Drama|Music,34592,cover band|fired from a job|heavy metal|rock star|tribute band,English,316,0
323,109,940,Drama,86955,abuse|african american lesbian|lesbian|lesbian couple|school,English,906,12000
37,129,12000,Adventure|Drama,17859,acrophobia|jamaica|male bonding|prostitute|tragedy,English,1000,911
297,109,957,Horror|Mystery|Sci-Fi,258078,alien creature|alien life form|antarctica|isolation|paranoia,English,163,23000
302,127,14000,Action|Sci-Fi|Thriller,125305,alien|left for dead|mercenary|survival|vomiting,English,924,39000
38,118,37,Crime|Mystery|Thriller,9740,deputy|fbi agent|knife held to throat|serial killer|sheriff,English,12,389
31,110,1000,Action|Adventure|Drama|Thriller|Western,4757,army|mexican|orphan|texas|texas ranger,English,569,474
118,90,13000,Adventure|Family|Fantasy|Sci-Fi,52908,box|food|mayor|pipeworks|scientist,English,2000,0
546,144,378,Drama,105144,drifter|past life regression|psychological testing|right hand man|scientology,English,18,27000
21,97,4000,Adventure|Comedy|History|Romance,6691,breasts|nude nun|plague|russian nobleman|two word title,English,476,366
86,130,2000,Biography|Drama|Sport,16673,african american|coach|football movie|nonlinear timeline|syracuse university,English,898,0
194,112,17000,Action|Adventure|Sci-Fi|Thriller,55617,alien|attack|based on novel|based on young adult novel|fear,English,1000,14000
437,133,13000,Drama|Sport,146708,boxing|boxing match|fight|montage|philadelphia,English,597,70000
378,150,10000,Crime|Drama|Thriller,280228,bank manager|bank robbery|criminal gang|heist|prison,English,4000,29000
170,110,10000,Comedy|Drama|Romance,57266,baby|expecting twins|hawaiian shirt|photographer|pregnancy,English,2000,14000
341,96,24000,Comedy|Drama,248468,cia|divorce|embassy|gym|memoir,English,11000,0
139,96,18000,Adventure|Comedy|Family|Fantasy,28109,author|girl|island|reading|scientist,English,82,0
393,123,26000,Action|Biography|Drama|Sport,312629,1970s|female rear nudity|formula 1|rivalry|sex with a nurse,English,10000,83000
224,188,786,Drama,241030,abusive father|coincidence|fictional game show|fictional quiz show|multiple storyline,English,625,13000
203,107,13000,Action|Comedy|Crime,75347,baseball card|detective|partner|thief|wedding,English,642,0
148,110,2000,Comedy|Romance,39440,motor scooter|new york city|newborn baby|scooter|single,English,756,15000
131,113,11000,Drama|Family,17948,boy|dolphin|prosthetics|tail|trap,English,680,0
350,122,17000,Drama|Fantasy|Romance,348007,blood|high school|love|school|vampire,English,12000,19000
129,116,18000,Crime|Drama|Thriller,98899,health care|heart transplant|hospital|hostage|insurance,English,669,0
40,93,789,Action|Comedy|Crime|Thriller,60572,detective|diamond|jewel|police|thief,English,744,0
289,118,740,Comedy|Crime,316671,fake family|male frontal nudity|marijuana|mexico|stripper,English,707,35000
14,115,463,Action|Adventure|Sci-Fi,4387,22nd century|first part|friend|guard|space opera,Russian,35,240
72,93,551,Action|Crime|Drama|Mystery|Thriller,38399,car breakdown|diner|jeep|paranoia|violence,English,284,0
89,121,180,Action|Adventure|Thriller,48636,british|character says now that you're on the case i hope we're going to have some gratuitous sex and violence|cruise missile|missile|nuclear warhead,English,172,0
265,101,496,Comedy|Sci-Fi,139184,cheating wife|drug reference|maintenance man|male vomiting|promiscuous woman,English,390,12000
54,107,11000,Drama|Family,6069,dolphin|latex gloves|medical scrubs|purple gloves|turtle,English,641,0
126,124,9000,Action|Adventure|Crime|Drama|Family|Fantasy|Romance|Thriller,31113,casino|christmas|christmas season|girlfriend|release from prison,English,1000,852
110,109,14000,Action|Crime|Drama|Thriller,38348,bust|dea|drug cartel|justice|tragic hero,English,919,0
138,105,15000,Comedy|Drama|Romance,39778,box office flop|critically bashed|hawaii|one word title|written by director,English,14000,11000
31,130,2000,Drama|History,8531,activist|assassin|civil rights|trial|widow,English,912,591
95,127,746,Drama|Mystery|Romance|Thriller,12375,fisherman|japanese|love|trial|washington state,English,602,846
267,114,12000,Drama|Horror|Mystery|Thriller,75864,demon|exorcism|exorcist|faith|seminary,English,3000,23000
175,106,685,Drama|Sci-Fi|Thriller,220591,accident|future|genetics|mission|police,English,485,17000
63,95,944,Biography|Comedy|Romance,1977,autistic son|cancer|female protagonist|new york city|son,English,886,133
85,81,541,Adventure|Animation|Comedy|Family|Sci-Fi,8860,astronaut|attacked by a plant|planet|senator|space travel,English,521,279
44,95,1000,Comedy,15046,alderman|party|president|presidential candidate|washington d.c.,English,812,638
334,108,14000,Comedy,583341,drunkenness|female nudity|hangover|hedonism|morning after,English,839,24000
78,105,461,Action|Biography|Drama|History,21912,1950s|cancer|hong kong|martial arts school|wing chun,Cantonese,79,12000
199,95,45000,Action|Adventure|Comedy|Crime,181225,penis joke|phallic image|sexy agent|spy|volcano hideout,English,645,0
186,126,920,Action|Adventure,269033,city|dc comics|gotham|pantyhose|police,English,549,12000
77,102,877,Biography|Drama|War,3865,dying|forgiveness|saint|spanish civil war|starts with narration,English,794,2000
68,121,808,Action|Crime|Thriller,128010,gangster|gun|internal affairs|police|police officer,English,277,0
261,129,768,Biography|Drama|Sport,223127,american football|based on true story|football star|high school football|left tackle,English,734,38000
5,43,778,Action|Comedy|Crime,2185,,English,618,0
122,88,2000,Action|Adventure|Comedy|Family|Sci-Fi,84325,brother sister relationship|espionage|rescue|secret agent|spy,English,843,0
340,106,18000,Comedy|Crime,353442,black comedy|boss|chemical company|dental assistant|murder,English,464,31000
493,110,13000,Adventure|Drama|Western,240962,arkansas|murder|sheriff|texas ranger|u.s. marshal,English,12000,36000
208,109,11000,Comedy|Drama|Romance,286178,fashion|fashion industry|magazine|new york city|publishing,English,11000,0
134,143,12000,Adventure|Mystery|Sci-Fi,63330,alien|space|space station|spacecraft|warp speed,English,664,0
275,120,4000,Comedy|Crime,97664,bounty hunter|credit card|cross country|identity|police,English,904,17000
120,128,22000,Crime|Thriller,127503,lawyer|neo noir|prison|rapist|southern gothic,English,1000,0
144,123,18000,Crime|Drama|Thriller,191470,based on true story|blackjack|card counting|gambling|massachusetts institute of technology,English,5000,0
332,129,492,Comedy|Romance,94241,actress playing herself|actress shares first name with character|fired from a job|male nudity|written by star,English,392,25000
104,105,1000,Comedy|Romance,33887,argument|engagement|family relationships|love|undressing,English,358,919
116,162,14000,Drama|Romance|War,142067,church|english|flashback|nurse|patient,English,1000,0
177,138,18000,Crime|Drama|Mystery|Thriller,414219,1950s|call girl|corruption|murder|police detective,English,398,11000
127,100,947,Adventure|Comedy|Family|Sci-Fi,61321,coming of age|friend|high school|sidekick|superpower,English,742,0
83,90,19000,Comedy,32416,academy award|gay|high school|reporter|teacher,English,957,0
97,108,900,Action|Horror|Sci-Fi|Thriller,61018,alien|interspecies sex|scientist|sexual attraction|train,English,759,0
256,101,40000,Horror,149285,freddy krueger|lucid dream|serial killer|slasher|sleep deprivation,English,852,10000
225,109,812,Horror|Sci-Fi|Thriller,79877,coma|fbi|race against time|serial killer|strong female lead,English,551,0
83,132,29000,Action|Adventure,125219,france|musketeer|three musketeers|twin|twin brother,English,130,0
160,123,826,Biography|Drama|Family|History|Sport,20827,eccentric|horse racing|newspaper clipping|stallion|triple crown,English,638,0
191,87,11000,Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,53786,martial arts master|monster|new york city|turtle|warrior,English,4000,0
74,109,1000,Biography|Drama|Sport,32370,coach|football|football coach|high school|radio,English,762,0
238,109,15000,Comedy|Romance,270228,blow job|female rear nudity|girl in panties|male objectification|no panties,English,3000,41000
177,92,17000,Comedy,28041,bare chested male|gay|gay best friend|gay man|gay marriage proposal,English,329,0
405,125,15000,Biography|Comedy|Drama|History|Music,117719,author|disney|loss of father|reference to walt disney|suppression of emotion,English,2000,39000
61,202,18000,Biography|Drama|History|Romance,63923,african american|black history|civil rights|ku klux klan|nation of islam,English,848,0
285,134,529,Comedy,104005,40th birthday|aging|birthday|sex|viagra,English,130,18000
124,88,49000,Comedy|Family,31191,best friend|business deal|impulse|public relations|twin,English,1000,0
164,92,978,Action|Adventure|Fantasy|Sci-Fi|Thriller,119974,battle|slave|vampire|warrior|werewolf,English,593,0
120,91,49000,Comedy|Romance,32157,box office flop|church|kissing|usa|wedding,English,838,913
90,75,11000,Comedy|Romance|Sport,40651,baseball|baseball team|bully|millionaire|team,English,970,0
120,98,944,Comedy|Romance,25883,date|dating|dog|love|teacher,English,940,0
117,147,40000,Biography|Crime|Drama,225122,fbi|mafia|money|racial slur|singer,English,14000,0
226,100,14000,Action|Horror|Sci-Fi,198701,amnesia|quarantine|special forces|virus|zombie,English,2000,0
223,120,887,Fantasy|Horror,105446,ghost|haunted|haunting|house|paranormal investigator,English,770,11000
193,104,24000,Comedy|Crime|Thriller,84131,casino|irony of fate|landlady|professor|remake,English,15000,0
228,103,15000,Action|Crime|Drama|Mystery|Thriller,107772,corporation|death|ex partner|hallucination|police detective,English,552,0
360,109,20000,Action|Sci-Fi|Thriller,304318,currency|future|murder|on the run|time,English,10000,52000
