director_facebook_likes,actor_1_facebook_likes,num_user_for_reviews
17,12000,190
108,40000,289
16000,23000,415
473,18000,429
0,16000,532
438,852,207
161,21000,63
14000,29000,667
0,1000,640
235,4000,483
58,14000,611
0,14000,211
422,631,612
0,648,1448
71,16000,149
869,134,549
17000,22000,533
180,211,211
13,961,180
101,889,481
176,677,155
14,2000,110
129,21000,919
80,145,945
53,13000,407
58,25000,322
488,10000,318
3000,15000,623
274,625,470
293,49000,375
285,11000,346
65,12000,309
14000,1000,849
0,8000,498
80,11000,357
97,17000,322
277,11000,406
235,14000,243
43,12000,110
0,8000,252
51,8000,130
252,40000,779
0,18000,646
241,1000,394
155,426,147
488,19000,199
295,12000,791
9,14000,242
62,6000,560
43,33000,292
12,13000,232
148,2000,209
152,22000,312
249,18000,130
174,14000,384
99,12000,110
160,20000,2042
71,154,192
,416,9
5,8000,118
23,660,168
39,1000,248
75,10000,304
213,838,533
154,15000,329
79,13000,625
0,769,219
34,17000,102
12,87000,306
16000,16000,142
0,10000,142
21000,495,506
50,992,1740
41,18000,261
22,3000,181
473,18000,279
77,490,210
644,437,114
