director_name,actor_2_name,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,movie_imdb_link,budget
John Stainton,Aden Young,5663,1483,0,http://www.imdb.com/title/tt0305396/?ref_=fn_tt_tt_1,13000000
Glenn Ficarra,Louis Herthum,77305,931,0,http://www.imdb.com/title/tt1045772/?ref_=fn_tt_tt_1,13000000
Jean-Jacques Annaud,Everett McGill,16281,931,0,http://www.imdb.com/title/tt0082484/?ref_=fn_tt_tt_1,12500000
Denzel Washington,Kevin Connolly,26493,20456,0,http://www.imdb.com/title/tt0168786/?ref_=fn_tt_tt_1,12500000
Michael Hoffman,Embeth Davidtz,14354,14347,1,http://www.imdb.com/title/tt0283530/?ref_=fn_tt_tt_1,12500000
Tony Scott,Gary Oldman,163492,23602,3,http://www.imdb.com/title/tt0108399/?ref_=fn_tt_tt_1,13000000
Benedek Fliegauf,Matt Smith,9957,9244,1,http://www.imdb.com/title/tt1216520/?ref_=fn_tt_tt_1,3660000
James Foley,Al Pacino,75675,32288,1,http://www.imdb.com/title/tt0104348/?ref_=fn_tt_tt_1,12500000
Michael Winterbottom,Ned Beatty,28483,1813,0,http://www.imdb.com/title/tt0954947/?ref_=fn_tt_tt_1,13000000
Paul Schrader,Ruby Dee,14193,3700,1,http://www.imdb.com/title/tt0083722/?ref_=fn_tt_tt_1,18000000
Stewart Hendler,Margo Harshman,24012,3142,2,http://www.imdb.com/title/tt1232783/?ref_=fn_tt_tt_1,16000000
John Cromwell,Mary Astor,3256,1166,2,http://www.imdb.com/title/tt0029442/?ref_=fn_tt_tt_1,
Craig Gillespie,Kelli Garner,114762,34351,1,http://www.imdb.com/title/tt0805564/?ref_=fn_tt_tt_1,12000000
Mark Herman,Sheila Hancock,132386,156,0,http://www.imdb.com/title/tt0914798/?ref_=fn_tt_tt_1,12500000
Lars von Trier,Udo Kier,79330,2894,0,http://www.imdb.com/title/tt0168629/?ref_=fn_tt_tt_1,12800000
Gillian Armstrong,Richard Roxburgh,5648,2004,2,http://www.imdb.com/title/tt0119843/?ref_=fn_tt_tt_1,16000000
Abel Ferrara,Vincent Gallo,6921,3337,3,http://www.imdb.com/title/tt0116378/?ref_=fn_tt_tt_1,12500000
Brian Koppelman,David Costabile,13371,2661,7,http://www.imdb.com/title/tt1294213/?ref_=fn_tt_tt_1,15000000
Ethan Maniquis,Don Johnson,165792,26233,1,http://www.imdb.com/title/tt0985694/?ref_=fn_tt_tt_1,10500000
George Hickenlooper,Eric Schweig,14757,18739,5,http://www.imdb.com/title/tt1194417/?ref_=fn_tt_tt_1,15000000
Don Bluth,Gabriel Damon,61753,1833,0,http://www.imdb.com/title/tt0095489/?ref_=fn_tt_tt_1,12500000
Je-kyu Kang,Bin Won,31943,1730,2,http://www.imdb.com/title/tt0386064/?ref_=fn_tt_tt_1,12800000
William Dear,Cheech Marin,2676,4270,0,http://www.imdb.com/title/tt0473102/?ref_=fn_tt_tt_1,12500000
William Friedkin,Linda Blair,284252,2466,0,http://www.imdb.com/title/tt0070047/?ref_=fn_tt_tt_1,8000000
Steven Spielberg,Robert Shaw,412454,2047,0,http://www.imdb.com/title/tt0073195/?ref_=fn_tt_tt_1,8000000
Paul Weitz,Shannon Elizabeth,315549,8134,6,http://www.imdb.com/title/tt0163651/?ref_=fn_tt_tt_1,11000000
Stéphane Aubier,Megan Mullally,12029,6829,0,http://www.imdb.com/title/tt1816518/?ref_=fn_tt_tt_1,9600000
Michael Ritchie,Randall 'Tex' Cobb,39798,1044,1,http://www.imdb.com/title/tt0091129/?ref_=fn_tt_tt_1,25000000
Tim Story,Romany Malco,34579,5165,8,http://www.imdb.com/title/tt1621045/?ref_=fn_tt_tt_1,12000000
Tim Story,Jason George,22147,2754,0,http://www.imdb.com/title/tt0303714/?ref_=fn_tt_tt_1,12000000
Nicholas Meyer,Kirstie Alley,91414,16539,2,http://www.imdb.com/title/tt0084726/?ref_=fn_tt_tt_1,11000000
Tom Shadyac,Udo Kier,216486,2462,1,http://www.imdb.com/title/tt0109040/?ref_=fn_tt_tt_1,12000000
John Badham,Barry Corbin,71842,4537,0,http://www.imdb.com/title/tt0086567/?ref_=fn_tt_tt_1,12000000
Peter Weir,Viggo Mortensen,66966,22479,1,http://www.imdb.com/title/tt0090329/?ref_=fn_tt_tt_1,12000000
Mike McCoy,Jason Cottle,57996,146,0,http://www.imdb.com/title/tt1591479/?ref_=fn_tt_tt_1,12000000
Anne Fletcher,Alyson Stoner,90938,21380,0,http://www.imdb.com/title/tt0462590/?ref_=fn_tt_tt_1,12000000
Mike Judge,Demi Moore,42892,17035,0,http://www.imdb.com/title/tt0115641/?ref_=fn_tt_tt_1,12000000
Quentin Tarantino,Sid Haig,239540,25522,5,http://www.imdb.com/title/tt0119396/?ref_=fn_tt_tt_1,12000000
Jon Hurwitz,Eric Winter,113918,4065,2,http://www.imdb.com/title/tt0481536/?ref_=fn_tt_tt_1,12000000
Josh Trank,Alex Russell,204327,2054,0,http://www.imdb.com/title/tt1706593/?ref_=fn_tt_tt_1,12000000
Barbra Streisand,Amy Irving,9503,914,1,http://www.imdb.com/title/tt0086619/?ref_=fn_tt_tt_1,12000000
Terry Gilliam,Michael Palin,45890,2730,0,http://www.imdb.com/title/tt0081633/?ref_=fn_tt_tt_1,5000000
Tamra Davis,Katherine Boecher,34219,1531,1,http://www.imdb.com/title/tt0275022/?ref_=fn_tt_tt_1,12000000
Nima Nourizadeh,Kirby Bliss Blanton,157051,2043,0,http://www.imdb.com/title/tt1636826/?ref_=fn_tt_tt_1,12000000
Franklin J. Schaffner,Karl Malden,76398,1306,0,http://www.imdb.com/title/tt0066206/?ref_=fn_tt_tt_1,12000000
Mark Romanek,Gary Cole,97938,52138,0,http://www.imdb.com/title/tt0265459/?ref_=fn_tt_tt_1,12000000
John Erick Dowdle,Jay Hernandez,57446,140268,0,http://www.imdb.com/title/tt1082868/?ref_=fn_tt_tt_1,12000000
David Moreau,Alessandro Nivola,44130,18765,1,http://www.imdb.com/title/tt0406759/?ref_=fn_tt_tt_1,12000000
Christopher Erskin,Shannon Elizabeth,5928,5006,5,http://www.imdb.com/title/tt0359517/?ref_=fn_tt_tt_1,12000000
Jesse Dylan,Fred Willard,42644,6105,2,http://www.imdb.com/title/tt0278488/?ref_=fn_tt_tt_1,12000000
Brian Henson,Jerry Nelson,33850,534,0,http://www.imdb.com/title/tt0104940/?ref_=fn_tt_tt_1,12000000
Martin Campbell,Tobias Menzies,470501,9125,1,http://www.imdb.com/title/tt0381061/?ref_=fn_tt_tt_1,150000000
Julie Taymor,Roger Rees,61651,7072,0,http://www.imdb.com/title/tt0120679/?ref_=fn_tt_tt_1,12000000
Dan Cutforth,Ashley Ashida Dixon,12383,52,0,http://www.imdb.com/title/tt2215719/?ref_=fn_tt_tt_1,12000000
Josh Boone,Sam Trammell,249688,10565,0,http://www.imdb.com/title/tt2582846/?ref_=fn_tt_tt_1,12000000
John Dahl,Martin Landau,121676,14890,2,http://www.imdb.com/title/tt0128442/?ref_=fn_tt_tt_1,12000000
Chris Rock,Romany Malco,21672,5592,10,http://www.imdb.com/title/tt2784678/?ref_=fn_tt_tt_1,12000000
John Frankenheimer,Richard Dysart,3000,729,1,http://www.imdb.com/title/tt0079758/?ref_=fn_tt_tt_1,12000000
David Koepp,Kathryn Erbe,62468,1254,0,http://www.imdb.com/title/tt0164181/?ref_=fn_tt_tt_1,12000000
,Kelvin Taylor,173172,6091,2,http://www.imdb.com/title/tt1442449/?ref_=fn_tt_tt_1,
Stephen Frears,Mare Winningham,76094,2376,2,http://www.imdb.com/title/tt2431286/?ref_=fn_tt_tt_1,12000000
Mike Binder,Erika Christensen,19007,2944,1,http://www.imdb.com/title/tt0365885/?ref_=fn_tt_tt_1,9000000
Franklin J. Schaffner,Anne Meara,20660,4659,3,http://www.imdb.com/title/tt0077269/?ref_=fn_tt_tt_1,12000000
Elizabeth Allen Rosenbaum,Joanna 'JoJo' Levesque,30462,3963,3,http://www.imdb.com/title/tt0429591/?ref_=fn_tt_tt_1,12000000
Jake Schreier,Cara Delevingne,63390,2753,2,http://www.imdb.com/title/tt3622592/?ref_=fn_tt_tt_1,12000000
Cheryl Dunye,Marsha Thomason,3119,3646,5,http://www.imdb.com/title/tt0332712/?ref_=fn_tt_tt_1,
Alexander Payne,Bruce Dern,91082,3798,0,http://www.imdb.com/title/tt1821549/?ref_=fn_tt_tt_1,12000000
Ernest R. Dickerson,Jada Pinkett Smith,16646,3931,1,http://www.imdb.com/title/tt0114608/?ref_=fn_tt_tt_1,13000000
Tim Hill,Amber Valletta,5794,4551,0,http://www.imdb.com/title/tt0273799/?ref_=fn_tt_tt_1,12000000
Jason Reitman,Patton Oswalt,64682,10575,1,http://www.imdb.com/title/tt1625346/?ref_=fn_tt_tt_1,12000000
Mark Neveldine,Edi Gathegi,196422,28767,1,http://www.imdb.com/title/tt0479884/?ref_=fn_tt_tt_1,12000000
Lionel C. Martin,Gilbert Gottfried,2301,2939,2,http://www.imdb.com/title/tt0119326/?ref_=fn_tt_tt_1,
Richard LaGravenese,Eddie Cibrian,4052,3250,1,http://www.imdb.com/title/tt0120722/?ref_=fn_tt_tt_1,12000000
Sanaa Hamri,Laz Alonso,10103,3906,1,http://www.imdb.com/title/tt1407061/?ref_=fn_tt_tt_1,
Jonathan Demme,Rosemarie DeWitt,41226,12274,1,http://www.imdb.com/title/tt1084950/?ref_=fn_tt_tt_1,
Bob Rafelson,Michael Lerner,16764,1456,0,http://www.imdb.com/title/tt0082934/?ref_=fn_tt_tt_1,12000000
Peter Webber,Colin Firth,60171,34700,0,http://www.imdb.com/title/tt0335119/?ref_=fn_tt_tt_1,
Wolfgang Petersen,Martin Semmelrogge,168203,469,0,http://www.imdb.com/title/tt0082096/?ref_=fn_tt_tt_1,14000000
John Lee Hancock,Marc Blucas,16832,5780,0,http://www.imdb.com/title/tt0318974/?ref_=fn_tt_tt_1,107000000
Wallace Wolodarsky,Barry Watson,12007,2393,3,http://www.imdb.com/title/tt0279781/?ref_=fn_tt_tt_1,12000000
Richard Curtis,Tom Hollander,202341,1595,1,http://www.imdb.com/title/tt2194499/?ref_=fn_tt_tt_1,12000000
Yimou Zhang,Andy Lau,92295,1244,3,http://www.imdb.com/title/tt0385004/?ref_=fn_tt_tt_1,100000000
Nicholas Jarecki,Curtiss Cook,41574,2440,1,http://www.imdb.com/title/tt1764183/?ref_=fn_tt_tt_1,12000000
Dean Israelite,Jonny Weston,57349,1819,0,http://www.imdb.com/title/tt2436386/?ref_=fn_tt_tt_1,12000000
Darnell Martin,Veronika Dash,15412,1141,3,http://www.imdb.com/title/tt1042877/?ref_=fn_tt_tt_1,12000000
Scott Alexander,Dave Chappelle,6965,3848,0,http://www.imdb.com/title/tt0156323/?ref_=fn_tt_tt_1,10000000
Stuart Gordon,Kurtwood Smith,23383,4755,0,http://www.imdb.com/title/tt0106950/?ref_=fn_tt_tt_1,8000000
Christopher Guest,Catherine O'Hara,12197,3535,0,http://www.imdb.com/title/tt0470765/?ref_=fn_tt_tt_1,12000000
Woody Allen,Aleksa Palladino,20576,943,0,http://www.imdb.com/title/tt0120533/?ref_=fn_tt_tt_1,12000000
Ryan Murphy,Joseph Cross,20000,1291,0,http://www.imdb.com/title/tt0439289/?ref_=fn_tt_tt_1,12000000
Robert Iscove,Kelly Clarkson,23606,1445,2,http://www.imdb.com/title/tt0339034/?ref_=fn_tt_tt_1,12000000
Spike Lee,Debi Mazar,4961,4497,3,http://www.imdb.com/title/tt0116414/?ref_=fn_tt_tt_1,12000000
Jane Campion,Nick Damici,18632,1171,0,http://www.imdb.com/title/tt0199626/?ref_=fn_tt_tt_1,12000000
James Gray,Vinessa Shaw,29613,1540,0,http://www.imdb.com/title/tt1103275/?ref_=fn_tt_tt_1,12000000
Fred Schepisi,Ray Winstone,5016,7166,5,http://www.imdb.com/title/tt0253200/?ref_=fn_tt_tt_1,12000000
Joon-ho Bong,Kang-ho Song,68883,1173,0,http://www.imdb.com/title/tt0468492/?ref_=fn_tt_tt_1,12215500000
Roger Spottiswoode,Treat Williams,763,4277,0,http://www.imdb.com/title/tt0082958/?ref_=fn_tt_tt_1,12000000
Antonia Bird,Jeffrey Jones,29990,2543,0,http://www.imdb.com/title/tt0129332/?ref_=fn_tt_tt_1,12000000
Jon Poll,Megan Park,56654,22577,5,http://www.imdb.com/title/tt0423977/?ref_=fn_tt_tt_1,12000000
Paolo Sorrentino,Sabrina Ferilli,55516,456,2,http://www.imdb.com/title/tt2358891/?ref_=fn_tt_tt_1,9200000
Peter Care,Michael Harding,12047,1292,4,http://www.imdb.com/title/tt0238924/?ref_=fn_tt_tt_1,12000000
Chan-wook Park,Alden Ehrenreich,84620,5074,4,http://www.imdb.com/title/tt1682180/?ref_=fn_tt_tt_1,12000000
Kar-Wai Wong,Tony Chiu Wai Leung,41496,2378,0,http://www.imdb.com/title/tt0212712/?ref_=fn_tt_tt_1,12000000
Ira Sachs,Erin Boyes,8014,141,4,http://www.imdb.com/title/tt0804505/?ref_=fn_tt_tt_1,12000000
Carroll Ballard,Hope Davis,6454,1579,0,http://www.imdb.com/title/tt0361715/?ref_=fn_tt_tt_1,12000000
Neil Jordan,Stephen Rea,16863,1554,2,http://www.imdb.com/title/tt1235796/?ref_=fn_tt_tt_1,12000000
Takeshi Kitano,Tatyana Ali,18520,2126,0,http://www.imdb.com/title/tt0222851/?ref_=fn_tt_tt_1,10000000
Anthony Russo,Isaiah Washington,12559,1373,0,http://www.imdb.com/title/tt0271259/?ref_=fn_tt_tt_1,12000000
Sidney Lumet,Anne Bancroft,1427,3099,2,http://www.imdb.com/title/tt0118901/?ref_=fn_tt_tt_1,12000000
Vadim Perelman,Lynn Cohen,12125,2073,2,http://www.imdb.com/title/tt0815178/?ref_=fn_tt_tt_1,8000000
Lawrence Kasdan,Mark Duplass,2551,3878,1,http://www.imdb.com/title/tt1730687/?ref_=fn_tt_tt_1,
Marco Kreuzpaintner,Kate del Castillo,14831,1952,0,http://www.imdb.com/title/tt0399095/?ref_=fn_tt_tt_1,12000000
Lajos Koltai,Péter Fancsikai,5603,11,0,http://www.imdb.com/title/tt0367082/?ref_=fn_tt_tt_1,2500000000
Alan Rudolph,Albert Finney,6884,17417,1,http://www.imdb.com/title/tt0120618/?ref_=fn_tt_tt_1,12000000
Yimou Zhang,Ni Yan,2410,18,1,http://www.imdb.com/title/tt1428556/?ref_=fn_tt_tt_1,
Vincenzo Natali,Jeremy Northam,27052,1501,2,http://www.imdb.com/title/tt0284978/?ref_=fn_tt_tt_1,7500000
Chuan Lu,Yuanyuan Gao,8429,91,0,http://www.imdb.com/title/tt1124052/?ref_=fn_tt_tt_1,12000000
Tim Johnson,Matt Jones,70133,17883,0,http://www.imdb.com/title/tt2224026/?ref_=fn_tt_tt_1,135000000
Lijun Sun,Tom Arnold,408,1854,0,http://www.imdb.com/title/tt1876517/?ref_=fn_tt_tt_1,
Takashi Yamazaki,Meisa Kuroki,4899,164,0,http://www.imdb.com/title/tt1477109/?ref_=fn_tt_tt_1,12000000
Renny Harlin,Kenneth Cranham,12128,708,9,http://www.imdb.com/title/tt1486193/?ref_=fn_tt_tt_1,20000000
Christopher Smith,Michael Dorman,64423,433,1,http://www.imdb.com/title/tt1187064/?ref_=fn_tt_tt_1,12000000
Timothy Hines,Kelly LeBrock,314,2059,1,http://www.imdb.com/title/tt3453052/?ref_=fn_tt_tt_1,12000000
Randall Wallace,Connor Corum,21034,663,,http://www.imdb.com/title/tt1929263/?ref_=fn_tt_tt_1,12000000
Guy Ritchie,Brad Pitt,600996,39175,6,http://www.imdb.com/title/tt0208092/?ref_=fn_tt_tt_1,6000000
David Winters,Matt Marr,105,895,6,http://www.imdb.com/title/tt2598580/?ref_=fn_tt_tt_1,12000000
Mary Lambert,Fred Gwynne,63855,2987,0,http://www.imdb.com/title/tt0098084/?ref_=fn_tt_tt_1,11500000
Akira Kurosawa,Tetsu Watanabe,3466,30,0,http://www.imdb.com/title/tt0107474/?ref_=fn_tt_tt_1,11900000
Jamie Thraves,Caroline Dhavernas,3737,1780,2,http://www.imdb.com/title/tt1034302/?ref_=fn_tt_tt_1,11500000
Mabel Cheung,Ching Wan Lau,117,244,1,http://www.imdb.com/title/tt3682770/?ref_=fn_tt_tt_1,12000000
Joe Dante,Harry Carey Jr.,142293,2053,0,http://www.imdb.com/title/tt0087363/?ref_=fn_tt_tt_1,11000000
George Lucas,Peter Cushing,911097,13485,1,http://www.imdb.com/title/tt0076759/?ref_=fn_tt_tt_1,11000000
Dan Mazer,Zoey Deutch,49671,24063,1,http://www.imdb.com/title/tt1860213/?ref_=fn_tt_tt_1,11500000
David Lean,Klaus Kinski,55816,1966,2,http://www.imdb.com/title/tt0059113/?ref_=fn_tt_tt_1,11000000
Stephen Daldry,Selton Mello,14437,679,0,http://www.imdb.com/title/tt1921149/?ref_=fn_tt_tt_1,
Kenny Ortega,Matt Prokop,43795,3507,1,http://www.imdb.com/title/tt0962726/?ref_=fn_tt_tt_1,11000000
David O. Russell,Jack McGee,275869,23811,2,http://www.imdb.com/title/tt0964517/?ref_=fn_tt_tt_1,25000000
Jeff Tremaine,Steve-O,56595,1853,0,http://www.imdb.com/title/tt0493430/?ref_=fn_tt_tt_1,
Jonathan Lynn,Bruce McGill,82743,3280,1,http://www.imdb.com/title/tt0104952/?ref_=fn_tt_tt_1,11000000
R.J. Cutler,Mireille Enos,83893,20466,3,http://www.imdb.com/title/tt1355630/?ref_=fn_tt_tt_1,11000000
Brian Trenchard-Smith,Damien Garvey,3104,179,2,http://www.imdb.com/title/tt2968804/?ref_=fn_tt_tt_1,12000000
David S. Ward,Tom Berenger,49007,3435,3,http://www.imdb.com/title/tt0097815/?ref_=fn_tt_tt_1,11000000
Oliver Parker,Rupert Everett,18220,3135,5,http://www.imdb.com/title/tt0964587/?ref_=fn_tt_tt_1,13500000
Joel Schumacher,John Enos III,207934,2562,0,http://www.imdb.com/title/tt0183649/?ref_=fn_tt_tt_1,13000000
Adam Shankman,Peter Coyote,162701,2436,1,http://www.imdb.com/title/tt0281358/?ref_=fn_tt_tt_1,11000000
Tim Robbins,Celia Weston,73193,903,0,http://www.imdb.com/title/tt0112818/?ref_=fn_tt_tt_1,11000000
Roger Kumble,Sean Patrick Thomas,149222,6223,3,http://www.imdb.com/title/tt0139134/?ref_=fn_tt_tt_1,10500000
Kevin Greutert,Shawnee Smith,76207,3101,0,http://www.imdb.com/title/tt1233227/?ref_=fn_tt_tt_1,11000000
Mel Brooks,Sid Caesar,36559,3931,0,http://www.imdb.com/title/tt0082517/?ref_=fn_tt_tt_1,11000000
Gina Prince-Bythewood,Alicia Keys,19440,3376,5,http://www.imdb.com/title/tt0416212/?ref_=fn_tt_tt_1,11000000
Rob Pritts,Vinessa Shaw,10966,3850,1,http://www.imdb.com/title/tt0250310/?ref_=fn_tt_tt_1,11000000
Brian De Palma,Gabrielle Carteris,9903,1852,0,http://www.imdb.com/title/tt0105217/?ref_=fn_tt_tt_1,12000000
Norman Jewison,Peter Boyle,5561,14735,2,http://www.imdb.com/title/tt0077531/?ref_=fn_tt_tt_1,11000000
Tobe Hooper,Bud Cort,5187,1661,0,http://www.imdb.com/title/tt0091276/?ref_=fn_tt_tt_1,12000000
John Crowley,Fiona Glascott,73249,995,1,http://www.imdb.com/title/tt2381111/?ref_=fn_tt_tt_1,11000000
Stanley Kubrick,Steven Berkoff,101627,1104,0,http://www.imdb.com/title/tt0072684/?ref_=fn_tt_tt_1,11000000
Brendan Malloy,Jason London,14656,4291,0,http://www.imdb.com/title/tt0253798/?ref_=fn_tt_tt_1,11000000
Reginald Hudlin,John Witherspoon,10777,10982,1,http://www.imdb.com/title/tt0213790/?ref_=fn_tt_tt_1,11000000
Dustin Hoffman,Sheridan Smith,15684,1114,4,http://www.imdb.com/title/tt1441951/?ref_=fn_tt_tt_1,11000000
Gregory Poirier,Jake Busey,15427,2729,0,http://www.imdb.com/title/tt0246989/?ref_=fn_tt_tt_1,11000000
Bill Paxton,Powers Boothe,59982,12237,0,http://www.imdb.com/title/tt0264616/?ref_=fn_tt_tt_1,11000000
Simon Curtis,Frances Fisher,33856,17866,2,http://www.imdb.com/title/tt2404425/?ref_=fn_tt_tt_1,11000000
Bill Condon,Oliver Platt,42689,17490,0,http://www.imdb.com/title/tt0362269/?ref_=fn_tt_tt_1,11000000
Sam Raimi,Bridget Fonda,128850,3913,0,http://www.imdb.com/title/tt0106308/?ref_=fn_tt_tt_1,13000000
Dewey Nicks,Gedde Watanabe,12437,2415,4,http://www.imdb.com/title/tt0240900/?ref_=fn_tt_tt_1,11000000
Lasse Hallström,Leonardo DiCaprio,171882,69746,1,http://www.imdb.com/title/tt0108550/?ref_=fn_tt_tt_1,11000000
Philip Saville,Alan Van Sprang,2164,1281,1,http://www.imdb.com/title/tt0377992/?ref_=fn_tt_tt_1,17000000
Mike Leigh,Sally Hawkins,20307,3133,1,http://www.imdb.com/title/tt0383694/?ref_=fn_tt_tt_1,11000000
