director_name,actor_1_facebook_likes,actor_1_name,movie_title,budget,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Ang Lee,15000,Jake Gyllenhaal,Brokeback Mountain ,14000000,13000,7.7,1.85,13000
Jonathan Liebesman,833,Noel Fisher,Teenage Mutant Ninja Turtles ,125000000,809,5.9,2.35,62000
Amy Heckerling,927,Donald Faison,Clueless ,12000000,281,6.8,1.85,0
Todd Haynes,2000,Dennis Quaid,Far from Heaven ,13500000,258,7.4,1.85,0
Steve Pink,3000,Adam Scott,Hot Tub Time Machine 2 ,14000000,837,5.1,1.85,0
,20,Krystyna Janda,Dekalog             ,,3,9.1,1.33,0
Philip Kaufman,14000,Kate Winslet,Quills ,13500000,230,7.4,1.85,0
Martin McDonagh,2000,Abbie Cornish,Seven Psychopaths ,15000000,906,7.2,2.35,52000
Kasi Lemmons,539,Colm Feore,The Caveman's Valentine ,,508,6.0,1.85,329
,70,Jacek Koman,The Border             ,,2,7.4,,64
Oliver Hirschbiegel,918,Thomas Kretschmann,Downfall ,13500000,653,8.3,1.85,14000
Alejandro Amenábar,273,Belén Rueda,The Sea Inside ,10000000,114,8.1,2.35,0
Jonathan Glazer,19000,Scarlett Johansson,Under the Skin ,,50,6.3,1.85,29000
Barry Levinson,49000,Robin Williams,Good Morning, Vietnam ,13000000,263,7.3,1.85,0
Hyung-rae Shim,898,Jason Mewes,The Last Godfather ,13400000,391,3.6,1.78,502
Jon M. Chu,569,Usher Raymond,Justin Bieber: Never Say Never ,13000000,69,1.6,1.85,62000
Darren Aronofsky,20000,Natalie Portman,Black Swan ,13000000,15000,8.0,2.35,106000
José Padilha,10000,Gary Oldman,RoboCop ,100000000,2000,6.2,2.35,60000
Francis Ford Coppola,22000,Robert De Niro,The Godfather: Part II ,13000000,14000,9.0,1.85,14000
Thomas Carter,656,Sean Patrick Thomas,Save the Last Dance ,13000000,363,6.1,1.85,0
Renny Harlin,130,Tuesday Knight,A Nightmare on Elm Street 4: The Dream Master ,7000000,125,5.7,1.85,0
Patricia Riggen,3000,Jennifer Garner,Miracles from Heaven ,13000000,3000,6.8,1.85,16000
Danny Leiner,3000,Jennifer Garner,Dude, Where's My Car? ,13000000,934,5.5,1.37,0
Christopher Cain,549,Jack Palance,Young Guns ,13000000,439,6.8,1.85,0
Theodore Melfi,13000,Bill Murray,St. Vincent ,13000000,6000,7.3,1.85,33000
Steve Pink,833,Joe Lo Truglio,About Last Night ,12500000,807,6.1,2.35,0
Gil Junger,23000,Joseph Gordon-Levitt,10 Things I Hate About You ,16000000,13000,7.2,1.85,10000
Ed Decter,11000,Zooey Deschanel,The New Guy ,13000000,489,5.9,1.85,1000
Gene Quintano,11000,Jon Lovitz,Loaded Weapon 1 ,8200000,852,6.1,1.85,0
Jaume Collet-Serra,619,Óscar Jaenada,The Shallows ,17000000,350,6.8,2.35,0
Eric Bress,8000,Logan Lerman,The Butterfly Effect ,13000000,902,7.7,1.85,15000
Chris Koch,571,Chris Elliott,Snow Day ,13000000,442,4.9,1.85,0
Preston A. Whitmore II,1000,Mekhi Phifer,This Christmas ,13000000,997,6.1,2.35,0
Bob Clark,899,Kathleen Turner,Baby Geniuses ,18000000,842,2.5,1.85,0
Kirk Wong,904,Bokeem Woodbine,The Big Hit ,13000000,471,6.1,1.85,934
Bronwen Hughes,694,Gregory Smith,Harriet the Spy ,13000000,558,5.9,1.85,833
John Lafia,659,Jenny Agutter,Child's Play 2 ,13000000,628,5.7,1.85,0
Sam Miller,1000,Leslie Bibb,No Good Deed ,13200000,345,5.6,2.35,0
Frank Darabont,2000,Toby Jones,The Mist ,18000000,850,7.2,1.85,20000
Alex Garland,149,Elina Alminas,Ex Machina ,15000000,145,7.7,2.35,109000
Spike Jonze,512,Willie Garson,Being John Malkovich ,13000000,216,7.8,1.85,0
Mark Brown,939,Mo'Nique,Two Can Play That Game ,6000000,890,6.1,1.85,593
Dave Green,803,Teo Halm,Earth to Echo ,13000000,587,5.8,1.85,0
John Stockwell,4000,Kirsten Dunst,Crazy/Beautiful ,14000000,1000,6.5,1.85,0
Clint Eastwood,378,Yuki Matsuzaki,Letters from Iwo Jima ,19000000,85,7.9,2.35,5000
Michael Polish,24000,J.K. Simmons,The Astronaut Farmer ,13000000,912,6.3,2.35,862
Daisy von Scherler Mayer,1000,LL Cool J,Woo ,13000000,851,3.8,,204
Lenny Abrahamson,805,Joan Allen,Room ,13000000,681,8.3,2.35,72000
Bob Saget,721,Don Rickles,Dirty Work ,13000000,359,6.4,1.85,679
John Waters,899,Kathleen Turner,Serial Mom ,13000000,849,6.7,1.66,3000
Andrew Fleming,16000,Ryan Reynolds,Dick ,13000000,8000,6.1,1.85,0
Niels Arden Oplev,690,Michael Nyqvist,Del 1 - Män som hatar kvinnor             ,,94,8.1,,22
Craig Bolotin,3000,Rosario Dawson,Light It Up ,13000000,1000,6.0,1.85,251
Mark Christopher,4000,Salma Hayek,54 ,13000000,957,5.8,1.85,0
Blair Hayes,15000,Jake Gyllenhaal,Bubble Boy ,13000000,816,5.6,2.35,0
Jez Butterworth,567,Mark Gatiss,Birthday Girl ,13000000,326,6.1,2.35,618
Jon Lucas,552,Justin Chon,21 & Over ,13000000,528,5.9,2.35,11000
Olivier Assayas,12000,Steve Buscemi,Paris, je t'aime ,13000000,530,7.3,1.85,0
Rod Lurie,748,Harry Lennix,Resurrecting the Champ ,13000000,573,6.8,2.35,689
Paul Weitz,2000,Tina Fey,Admission ,13000000,257,5.7,2.35,5000
Patrice Leconte,2000,Emir Kusturica,The Widow of Saint-Pierre ,100000000,370,7.3,2.35,186
Atom Egoyan,14000,Liam Neeson,Chloe ,11000000,153,6.3,1.85,0
Paul Mazursky,979,Chazz Palminteri,Faithful ,13000000,385,5.9,1.85,69
Jim Sheridan,20000,Natalie Portman,Brothers ,26000000,15000,7.1,2.35,10000
Sidney Lumet,22000,Peter Dinklage,Find Me Guilty ,13000000,14000,7.1,1.85,0
Stephen Chbosky,8000,Logan Lerman,The Perks of Being a Wallflower ,13000000,3000,8.0,1.85,131000
Jon Hess,683,Burt Young,Excessive Force ,3000000,155,5.1,1.85,107
Douglas McGrath,2000,Toby Jones,Infamous ,13000000,812,7.1,1.85,0
Michael Winterbottom,14000,Milla Jovovich,The Claim ,20000000,900,6.5,2.35,141
Mark Neveldine,3000,Djimon Hounsou,The Vatican Tapes ,8495000,1000,4.5,1.85,0
Joe Cornish,1000,John Boyega,Attack the Block ,13000000,305,6.6,2.35,18000
Angelina Jolie Pitt,306,Jelena Jovanova,In the Land of Blood and Honey ,13000000,164,4.3,2.35,0
Brad Anderson,873,Michael Imperioli,The Call ,13000000,461,6.7,1.85,23000
John H. Lee,14000,Liam Neeson,Operation Chromite ,12620000,81,6.8,,139
John Stainton,477,Steve Irwin,The Crocodile Hunter: Collision Course ,13000000,238,5.4,2.35,332
Glenn Ficarra,170,Dameon Clarke,I Love You Phillip Morris ,13000000,157,6.6,1.85,11000
Jean-Jacques Annaud,581,Rae Dawn Chong,Quest for Fire ,12500000,201,7.4,2.35,0
Denzel Washington,18000,Denzel Washington,Antwone Fisher ,12500000,638,7.3,2.35,0
Michael Hoffman,13000,Gabriel Millman,The Emperor's Club ,12500000,795,6.9,1.85,0
Tony Scott,11000,Brad Pitt,True Romance ,13000000,10000,8.0,2.35,15000
Benedek Fliegauf,6000,Eva Green,Womb ,3660000,2000,6.4,2.35,0
James Foley,18000,Kevin Spacey,Glengarry Glen Ross ,12500000,14000,7.8,2.35,0
Michael Winterbottom,818,Liam Aiken,The Killer Inside Me ,13000000,467,6.1,2.35,0
Paul Schrader,783,Ed Begley Jr.,Cat People ,18000000,782,6.1,1.85,0
Stewart Hendler,1000,Julian Morris,Sorority Row ,16000000,668,5.1,2.35,0
John Cromwell,490,David Niven,The Prisoner of Zenda ,,185,7.8,1.37,337
Craig Gillespie,33000,Ryan Gosling,Lars and the Real Girl ,12000000,730,7.4,1.85,19000
Mark Herman,77,Richard Johnson,The Boy in the Striped Pajamas ,12500000,32,7.8,1.85,38000
Lars von Trier,963,Catherine Deneuve,Dancer in the Dark ,12800000,595,8.0,2.35,0
Gillian Armstrong,1000,Tom Wilkinson,Oscar and Lucinda ,16000000,653,6.7,2.35,329
Abel Ferrara,812,Isabella Rossellini,The Funeral ,12500000,787,6.6,1.85,344
Brian Koppelman,966,Jenna Fischer,Solitary Man ,15000000,681,6.4,1.85,0
Ethan Maniquis,22000,Robert De Niro,Machete ,10500000,982,6.7,1.85,44000
George Hickenlooper,18000,Kevin Spacey,Casino Jack ,15000000,322,6.2,2.35,0
Don Bluth,912,Judith Barsi,The Land Before Time ,12500000,320,7.3,1.33,5000
Je-kyu Kang,717,Min-sik Choi,Tae Guk Gi: The Brotherhood of War ,12800000,517,8.1,2.35,0
William Dear,968,Clifton Collins Jr.,The Perfect Game ,12500000,844,7.0,2.35,0
William Friedkin,1000,Ellen Burstyn,The Exorcist ,8000000,931,8.0,1.37,18000
Steven Spielberg,813,Roy Scheider,Jaws ,8000000,559,8.0,2.35,21000
Paul Weitz,3000,Alyson Hannigan,American Pie ,11000000,1000,7.0,1.85,0
Stéphane Aubier,6000,Mackenzie Foy,Ernest & Celestine ,9600000,637,7.9,1.85,0
Michael Ritchie,400,Victor Wong,The Golden Child ,25000000,255,5.9,1.85,0
Tim Story,997,Chris Brown,Think Like a Man ,12000000,966,6.6,2.35,0
Tim Story,656,Sean Patrick Thomas,Barbershop ,12000000,528,6.3,1.85,770
Nicholas Meyer,12000,Leonard Nimoy,Star Trek II: The Wrath of Khan ,11000000,980,7.7,2.35,0
Tom Shadyac,759,Sean Young,Ace Ventura: Pet Detective ,12000000,595,6.9,1.85,0
John Badham,2000,Matthew Broderick,WarGames ,12000000,883,7.1,1.85,0
Peter Weir,11000,Harrison Ford,Witness ,12000000,10000,7.4,1.85,0
Mike McCoy,93,Alex Veadov,Act of Valor ,12000000,17,6.5,2.35,15000
Anne Fletcher,17000,Channing Tatum,Step Up ,12000000,2000,6.5,2.35,0
Mike Judge,13000,Bruce Willis,Beavis and Butt-Head Do America ,12000000,2000,6.8,1.85,0
Quentin Tarantino,22000,Robert De Niro,Jackie Brown ,12000000,1000,7.5,1.85,0
Jon Hurwitz,1000,Danneel Ackles,Harold & Kumar Escape from Guantanamo Bay ,12000000,954,6.6,1.85,0
Josh Trank,963,Michael Kelly,Chronicle ,12000000,465,7.1,1.85,32000
Barbra Streisand,405,Miriam Margolyes,Yentl ,12000000,194,6.6,1.85,0
Terry Gilliam,629,Shelley Duvall,Time Bandits ,5000000,561,7.0,1.85,0
Tamra Davis,1000,Britney Spears,Crossroads ,12000000,188,3.3,1.85,0
Nima Nourizadeh,971,Dax Flame,Project X ,12000000,329,6.7,1.85,29000
Franklin J. Schaffner,654,George C. Scott,Patton ,12000000,416,8.0,2.2,0
Mark Romanek,49000,Robin Williams,One Hour Photo ,12000000,989,6.8,1.85,0
John Erick Dowdle,137000,Andrew Fiscella,Quarantine ,12000000,1000,6.0,1.85,0
David Moreau,17000,Chloë Grace Moretz,The Eye ,12000000,527,5.4,2.35,0
Christopher Erskin,1000,Vanessa Williams,Johnson Family Vacation ,12000000,1000,4.3,2.35,243
Jesse Dylan,995,Hector Elizondo,How High ,12000000,729,6.2,1.85,0
Brian Henson,227,Steven Mackintosh,The Muppet Christmas Carol ,12000000,94,7.7,1.85,0
Martin Campbell,6000,Eva Green,Casino Royale ,150000000,1000,8.0,2.35,0
Julie Taymor,4000,Salma Hayek,Frida ,12000000,1000,7.4,1.85,0
Dan Cutforth,28,Lexie Contursi,Katy Perry: Part of Me ,12000000,9,5.9,1.85,0
Josh Boone,8000,Shailene Woodley,The Fault in Our Stars ,12000000,1000,7.8,1.85,93000
John Dahl,13000,Matt Damon,Rounders ,12000000,940,7.4,2.35,0
Chris Rock,3000,Rosario Dawson,Top Five ,12000000,966,6.5,2.35,0
John Frankenheimer,452,Talia Shire,Prophecy ,12000000,122,5.4,2.35,902
David Koepp,347,Illeana Douglas,Stir of Echoes ,12000000,301,7.0,1.85,0
,1000,Peter Mensah,Spartacus: War of the Damned             ,,939,8.6,16.0,31000
Stephen Frears,1000,Steve Coogan,Philomena ,12000000,482,7.6,1.85,37000
Mike Binder,975,Alicia Witt,The Upside of Anger ,9000000,931,6.9,2.35,549
Franklin J. Schaffner,1000,Laurence Olivier,The Boys from Brazil ,12000000,837,7.0,1.85,0
Elizabeth Allen Rosenbaum,836,Tammin Sursok,Aquamarine ,12000000,826,5.3,1.85,0
Jake Schreier,733,Nat Wolff,Paper Towns ,12000000,558,6.4,2.35,0
Cheryl Dunye,873,Michael Imperioli,My Baby's Daddy ,,691,4.5,1.85,151
Alexander Payne,1000,Devin Ratray,Nebraska ,12000000,844,7.8,2.35,28000
Ernest R. Dickerson,1000,CCH Pounder,Tales from the Crypt: Demon Knight ,13000000,851,6.7,1.85,0
Tim Hill,833,Noel Fisher,Max Keeble's Big Move ,12000000,626,5.3,1.85,371
Jason Reitman,9000,Charlize Theron,Young Adult ,12000000,786,6.3,1.85,0
Mark Neveldine,26000,Jason Statham,Crank ,12000000,725,7.0,1.78,0
Lionel C. Martin,1000,Bernie Mac,How to Be a Player ,,560,5.3,1.85,439
Richard LaGravenese,1000,Holly Hunter,Living Out Loud ,12000000,849,6.6,2.35,242
Sanaa Hamri,988,Common,Just Wright ,,826,5.8,2.35,0
Jonathan Demme,11000,Anne Hathaway,Rachel Getting Married ,,536,6.7,1.85,0
Bob Rafelson,1000,Anjelica Huston,The Postman Always Rings Twice ,12000000,230,6.6,1.85,1000
Peter Webber,19000,Scarlett Johansson,Girl with a Pearl Earring ,,14000,7.0,2.35,0
Wolfgang Petersen,362,Jürgen Prochnow,Das Boot ,14000000,21,8.4,1.85,11000
John Lee Hancock,2000,Dennis Quaid,The Alamo ,107000000,973,6.0,2.35,701
Wallace Wolodarsky,529,Heather Matarazzo,Sorority Boys ,12000000,526,5.4,1.85,507
Richard Curtis,565,Tom Hughes,About Time ,12000000,555,7.8,2.35,105000
Yimou Zhang,755,Takeshi Kaneshiro,House of Flying Daggers ,100000000,483,7.6,2.35,0
Nicholas Jarecki,664,Nate Parker,Arbitrage ,12000000,591,6.6,1.85,0
Dean Israelite,452,Gary Weeks,Project Almanac ,12000000,328,6.4,2.35,0
Darnell Martin,436,Cedric the Entertainer,Cadillac Records ,12000000,223,7.0,2.35,0
Scott Alexander,931,Sarah Silverman,Screwed ,10000000,744,5.7,1.85,262
Stuart Gordon,1000,Christopher Lambert,Fortress ,8000000,1000,5.9,1.85,1000
Christopher Guest,957,John Michael Higgins,For Your Consideration ,12000000,925,6.3,1.85,650
Woody Allen,537,Melanie Griffith,Celebrity ,12000000,255,6.3,1.66,652
Ryan Murphy,433,Jill Clayburgh,Running with Scissors ,12000000,398,6.2,2.35,0
Robert Iscove,525,Anika Noni Rose,From Justin to Kelly ,12000000,281,2.1,1.85,0
Spike Lee,873,Michael Imperioli,Girl 6 ,12000000,680,5.0,1.85,251
Jane Campion,1000,Jennifer Jason Leigh,In the Cut ,12000000,65,5.3,1.85,656
James Gray,812,Isabella Rossellini,Two Lovers ,12000000,580,7.1,2.35,0
Fred Schepisi,5000,Bob Hoskins,Last Orders ,12000000,1000,7.0,2.35,305
Joon-ho Bong,629,Doona Bae,The Host ,12215500000,398,7.0,1.85,7000
Roger Spottiswoode,3000,Robert Duvall,The Pursuit of D.B. Cooper ,12000000,642,5.7,1.85,135
Antonia Bird,769,Jeremy Davies,Ravenous ,12000000,692,7.1,2.35,0
Jon Poll,21000,Robert Downey Jr.,Charlie Bartlett ,12000000,569,7.0,1.85,0
Paolo Sorrentino,211,Toni Servillo,The Great Beauty ,9200000,98,7.7,2.35,29000
Peter Care,1000,Kieran Culkin,The Dangerous Lives of Altar Boys ,12000000,165,7.1,1.85,677
Chan-wook Park,3000,Mia Wasikowska,Stoker ,12000000,1000,6.8,2.35,27000
Kar-Wai Wong,878,Li Gong,2046 ,12000000,643,7.5,2.35,0
Ira Sachs,60,David Richmond-Peck,Married Life ,12000000,46,6.3,1.85,314
Carroll Ballard,706,Eamonn Walker,Duma ,12000000,442,7.3,1.85,0
Neil Jordan,845,Tony Curran,Ondine ,12000000,327,6.8,1.85,0
Takeshi Kitano,865,Omar Epps,Brother ,10000000,685,7.2,1.85,0
Anthony Russo,693,Michael Jeter,Welcome to Collinwood ,12000000,534,6.4,2.35,423
Sidney Lumet,941,Kyra Sedgwick,Critical Care ,12000000,754,6.0,1.85,88
Vadim Perelman,797,Eva Amurri Martino,The Life Before Her Eyes ,8000000,474,6.4,2.35,1000
Lawrence Kasdan,967,Dianne Wiest,Darling Companion ,,830,5.1,2.35,0
Marco Kreuzpaintner,662,Zack Ward,Trade ,12000000,345,7.5,2.35,0
