director_name,duration,actor_3_facebook_likes,actor_2_name,actor_1_name,movie_title,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,country,title_year,aspect_ratio
Renny Harlin,99,182,Luke Newberry,Roxanne McKee,The Legend of Hercules ,0,http://www.imdb.com/title/tt1043726/?ref_=fn_tt_tt_1,202,USA,2014,2.35
Phil Alden Robinson,124,497,Bruce McGill,Morgan Freeman,The Sum of All Fears ,0,http://www.imdb.com/title/tt0164184/?ref_=fn_tt_tt_1,568,USA,2002,2.35
David Slade,124,10000,Kristen Stewart,Robert Pattinson,The Twilight Saga: Eclipse ,3,http://www.imdb.com/title/tt1325004/?ref_=fn_tt_tt_1,498,USA,2010,2.35
Frank Oz,124,580,Marlon Brando,Robert De Niro,The Score ,0,http://www.imdb.com/title/tt0227445/?ref_=fn_tt_tt_1,445,USA,2001,2.35
Pierre Coffin,87,975,Miranda Cosgrove,Steve Carell,Despicable Me ,0,http://www.imdb.com/title/tt1323594/?ref_=fn_tt_tt_1,296,USA,2010,1.85
Joseph Ruben,105,97,Robert Blake,Vincent Pastore,Money Train ,1,http://www.imdb.com/title/tt0113845/?ref_=fn_tt_tt_1,62,USA,1995,2.35
Seth MacFarlane,125,3000,Morgan Freeman,Liam Neeson,Ted 2 ,0,http://www.imdb.com/title/tt2637276/?ref_=fn_tt_tt_1,229,USA,2015,2.35
Alejandro Amenábar,141,334,Ashraf Barhom,Max Minghella,Agora ,2,http://www.imdb.com/title/tt1186830/?ref_=fn_tt_tt_1,172,Spain,2009,2.35
Kinka Usher,121,776,Wes Studi,Janeane Garofalo,Mystery Men ,4,http://www.imdb.com/title/tt0132347/?ref_=fn_tt_tt_1,435,USA,1999,1.85
Bobby Farrelly,111,681,Larry Joe Campbell,Jenna Fischer,Hall Pass ,3,http://www.imdb.com/title/tt0480687/?ref_=fn_tt_tt_1,143,USA,2011,2.35
Michael Mann,157,680,Rip Torn,Al Pacino,The Insider ,1,http://www.imdb.com/title/tt0140352/?ref_=fn_tt_tt_1,521,USA,1999,2.35
Craig Gillespie,117,531,Abraham Benrubi,Michael Raymond-James,The Finest Hours ,0,http://www.imdb.com/title/tt2025690/?ref_=fn_tt_tt_1,113,USA,2016,2.35
Ridley Scott,128,135,Simon McBurney,Leonardo DiCaprio,Body of Lies ,1,http://www.imdb.com/title/tt0758774/?ref_=fn_tt_tt_1,263,USA,2008,2.35
Jay Roach,114,982,Stephanie Szostak,Steve Carell,Dinner for Schmucks ,2,http://www.imdb.com/title/tt0427152/?ref_=fn_tt_tt_1,264,USA,2010,1.85
Timur Bekmambetov,105,911,Dominic Cooper,Rufus Sewell,Abraham Lincoln: Vampire Hunter ,0,http://www.imdb.com/title/tt1611224/?ref_=fn_tt_tt_1,348,USA,2012,2.35
Jon Amiel,113,232,Kevin McNally,Will Patton,Entrapment ,1,http://www.imdb.com/title/tt0137494/?ref_=fn_tt_tt_1,274,USA,1999,2.35
,30,359,Kaitlyn Dever,Hector Elizondo,Last Man Standing             ,1,http://www.imdb.com/title/tt1828327/?ref_=fn_tt_tt_1,87,USA,,16.0
Rob Bowman,121,745,Mitch Pileggi,Martin Landau,The X Files ,0,http://www.imdb.com/title/tt0120902/?ref_=fn_tt_tt_1,297,USA,1998,2.35
Doug Lefler,102,112,Nonso Anozie,Colin Firth,The Last Legion ,0,http://www.imdb.com/title/tt0462396/?ref_=fn_tt_tt_1,174,UK,2007,2.35
Steven Spielberg,169,13000,Vin Diesel,Tom Hanks,Saving Private Ryan ,2,http://www.imdb.com/title/tt0120815/?ref_=fn_tt_tt_1,2277,USA,1998,1.85
Scott Waugh,132,464,Dominic Cooper,Rami Malek,Need for Speed ,1,http://www.imdb.com/title/tt2369135/?ref_=fn_tt_tt_1,346,USA,2014,2.35
Nancy Meyers,127,912,Lisa Edelstein,Judy Greer,What Women Want ,1,http://www.imdb.com/title/tt0207201/?ref_=fn_tt_tt_1,395,USA,2000,1.37
Chris Wedge,103,835,Stephen Root,Goran Visnjic,Ice Age ,0,http://www.imdb.com/title/tt0268380/?ref_=fn_tt_tt_1,467,USA,2002,1.85
Lawrence Kasdan,136,354,Michael O'Neill,Morgan Freeman,Dreamcatcher ,1,http://www.imdb.com/title/tt0285531/?ref_=fn_tt_tt_1,662,USA,2003,2.35
Steven Spielberg,150,655,Hal Holbrook,Joseph Gordon-Levitt,Lincoln ,0,http://www.imdb.com/title/tt0443272/?ref_=fn_tt_tt_1,720,USA,2012,2.35
Lana Wachowski,136,99,Marcus Chong,Keanu Reeves,The Matrix ,3,http://www.imdb.com/title/tt0133093/?ref_=fn_tt_tt_1,3646,USA,1999,2.35
Ron Howard,140,552,Miko Hughes,Tom Hanks,Apollo 13 ,0,http://www.imdb.com/title/tt0112384/?ref_=fn_tt_tt_1,296,USA,1995,2.35
Paul Verhoeven,113,217,Rachel Ticotin,Ronny Cox,Total Recall ,0,http://www.imdb.com/title/tt0100802/?ref_=fn_tt_tt_1,391,USA,1990,1.85
Michael Lembeck,104,775,Aisha Tyler,Judge Reinhold,The Santa Clause 2 ,0,http://www.imdb.com/title/tt0304669/?ref_=fn_tt_tt_1,116,USA,2002,1.85
Tom Hooper,158,11000,Eddie Redmayne,Hugh Jackman,Les Misérables ,1,http://www.imdb.com/title/tt1707386/?ref_=fn_tt_tt_1,845,USA,2012,1.85
Nora Ephron,119,744,Jean Stapleton,Tom Hanks,You've Got Mail ,2,http://www.imdb.com/title/tt0128853/?ref_=fn_tt_tt_1,556,USA,1998,1.85
Adam McKay,106,105,Adam Scott,Will Ferrell,Step Brothers ,2,http://www.imdb.com/title/tt0838283/?ref_=fn_tt_tt_1,277,USA,2008,2.35
Martin Campbell,136,94,Tony Amendola,Anthony Hopkins,The Mask of Zorro ,0,http://www.imdb.com/title/tt0120746/?ref_=fn_tt_tt_1,318,USA,1998,2.35
Todd Phillips,95,490,RZA,Robert Downey Jr.,Due Date ,3,http://www.imdb.com/title/tt1231583/?ref_=fn_tt_tt_1,285,USA,2010,2.35
Angelina Jolie Pitt,137,465,Jack O'Connell,Finn Wittrock,Unbroken ,0,http://www.imdb.com/title/tt1809398/?ref_=fn_tt_tt_1,351,USA,2014,2.35
Clint Eastwood,130,416,Courtney B. Vance,Clint Eastwood,Space Cowboys ,1,http://www.imdb.com/title/tt0186566/?ref_=fn_tt_tt_1,326,USA,2000,2.35
Renny Harlin,124,369,Leon,Sylvester Stallone,Cliffhanger ,1,http://www.imdb.com/title/tt0106582/?ref_=fn_tt_tt_1,172,USA,1993,2.35
John Woo,108,461,Samantha Mathis,Delroy Lindo,Broken Arrow ,2,http://www.imdb.com/title/tt0115759/?ref_=fn_tt_tt_1,189,USA,1996,2.35
Jon Turteltaub,104,577,Lily Tomlin,Bruce Willis,The Kid ,1,http://www.imdb.com/title/tt0219854/?ref_=fn_tt_tt_1,139,USA,2000,1.85
Oliver Stone,129,625,Jay Hernandez,Nicolas Cage,World Trade Center ,0,http://www.imdb.com/title/tt0469641/?ref_=fn_tt_tt_1,564,USA,2006,1.85
Mike Newell,117,403,Kirsten Dunst,Julia Roberts,Mona Lisa Smile ,1,http://www.imdb.com/title/tt0304415/?ref_=fn_tt_tt_1,264,USA,2003,1.85
Larry Charles,99,174,Aasif Mandvi,Sayed Badreya,The Dictator ,0,http://www.imdb.com/title/tt1645170/?ref_=fn_tt_tt_1,310,USA,2012,2.35
Stanley Kubrick,159,521,Vinessa Shaw,Tom Cruise,Eyes Wide Shut ,1,http://www.imdb.com/title/tt0120663/?ref_=fn_tt_tt_1,1500,UK,1999,1.66
Will Gluck,118,929,Dorian Missick,Quvenzhané Wallis,Annie ,6,http://www.imdb.com/title/tt1823664/?ref_=fn_tt_tt_1,213,USA,2014,2.39
Glenn Ficarra,105,523,Adrian Martinez,Will Smith,Focus ,0,http://www.imdb.com/title/tt2381941/?ref_=fn_tt_tt_1,221,USA,2015,1.85
McG,103,520,Abigail Spencer,Tom Hardy,This Means War ,3,http://www.imdb.com/title/tt1596350/?ref_=fn_tt_tt_1,238,USA,2012,2.35
David S. Goyer,122,957,Natasha Lyonne,Ryan Reynolds,Blade: Trinity ,0,http://www.imdb.com/title/tt0359013/?ref_=fn_tt_tt_1,514,USA,2004,2.35
John Milius,114,919,Jennifer Grey,Lea Thompson,Red Dawn ,0,http://www.imdb.com/title/tt0087985/?ref_=fn_tt_tt_1,383,USA,1984,1.85
Mike Nichols,143,210,Adrian Lester,Maura Tierney,Primary Colors ,0,http://www.imdb.com/title/tt0119942/?ref_=fn_tt_tt_1,157,France,1998,2.35
Paul W.S. Anderson,96,974,Boris Kodjoe,Milla Jovovich,Resident Evil: Retribution ,0,http://www.imdb.com/title/tt1855325/?ref_=fn_tt_tt_1,423,Germany,2012,2.35
Paul W.S. Anderson,111,805,Max Ryan,Jason Statham,Death Race ,4,http://www.imdb.com/title/tt0452608/?ref_=fn_tt_tt_1,211,USA,2008,2.35
Renny Harlin,121,263,Craig Bierko,Melina Kanakaredes,The Long Kiss Goodnight ,2,http://www.imdb.com/title/tt0116908/?ref_=fn_tt_tt_1,285,USA,1996,2.35
Taylor Hackford,135,184,Alun Armstrong,Pamela Reed,Proof of Life ,1,http://www.imdb.com/title/tt0228750/?ref_=fn_tt_tt_1,265,USA,2000,2.35
Jon Favreau,101,539,Josh Hutcherson,Kristen Stewart,Zathura: A Space Adventure ,0,http://www.imdb.com/title/tt0406375/?ref_=fn_tt_tt_1,202,USA,2005,1.85
David Fincher,151,637,Meat Loaf,Brad Pitt,Fight Club ,2,http://www.imdb.com/title/tt0137523/?ref_=fn_tt_tt_1,2968,USA,1999,2.35
McG,131,383,Kimberly Williams-Paisley,Matthew McConaughey,We Are Marshall ,0,http://www.imdb.com/title/tt0758794/?ref_=fn_tt_tt_1,175,USA,2006,2.35
,60,575,James Nesbitt,Jason Flemyng,The Missing             ,0,http://www.imdb.com/title/tt3877200/?ref_=fn_tt_tt_1,28,UK,,
Michael Lehmann,100,554,James Coburn,Bruce Willis,Hudson Hawk ,0,http://www.imdb.com/title/tt0102070/?ref_=fn_tt_tt_1,249,USA,1991,1.85
Nora Ephron,105,506,Michael Moore,Michael Rapaport,Lucky Numbers ,1,http://www.imdb.com/title/tt0219952/?ref_=fn_tt_tt_1,69,France,2000,1.85
Stuart Beattie,92,568,Kevin Grevioux,Caitlin Stasey,"I, Frankenstein ",0,http://www.imdb.com/title/tt1418377/?ref_=fn_tt_tt_1,194,Australia,2014,2.35
Roman Polanski,130,25,Barney Clark,Ian McNeice,Oliver Twist ,0,http://www.imdb.com/title/tt0380599/?ref_=fn_tt_tt_1,138,UK,2005,2.35
Rob Bowman,100,1000,Cary-Hiroyuki Tagawa,Jennifer Garner,Elektra ,0,http://www.imdb.com/title/tt0357277/?ref_=fn_tt_tt_1,380,Canada,2005,2.35
Frank Miller,102,6000,Bruce Willis,Joseph Gordon-Levitt,Sin City: A Dame to Kill For ,3,http://www.imdb.com/title/tt0458481/?ref_=fn_tt_tt_1,239,USA,2014,1.85
Sydney Pollack,133,970,Kristin Scott Thomas,Harrison Ford,Random Hearts ,1,http://www.imdb.com/title/tt0156934/?ref_=fn_tt_tt_1,290,USA,1999,1.85
Baltasar Kormákur,121,221,Martin Henderson,Michael Kelly,Everest ,0,http://www.imdb.com/title/tt2719848/?ref_=fn_tt_tt_1,265,UK,2015,2.35
Tom Tykwer,147,16,David Calder,Michael Smiley,Perfume: The Story of a Murderer ,0,http://www.imdb.com/title/tt0396171/?ref_=fn_tt_tt_1,482,Germany,2006,2.35
Jay Roach,94,481,Josh Zuckerman,Verne Troyer,Austin Powers in Goldmember ,2,http://www.imdb.com/title/tt0295178/?ref_=fn_tt_tt_1,795,USA,2002,2.35
David Bowers,94,668,Charlize Theron,Nicolas Cage,Astro Boy ,1,http://www.imdb.com/title/tt0375568/?ref_=fn_tt_tt_1,77,Hong Kong,2009,2.35
Steven Spielberg,127,191,Ariana Richards,Wayne Knight,Jurassic Park ,0,http://www.imdb.com/title/tt0107290/?ref_=fn_tt_tt_1,895,USA,1993,1.85
Lawrence Kasdan,212,812,Catherine O'Hara,Dennis Quaid,Wyatt Earp ,0,http://www.imdb.com/title/tt0111756/?ref_=fn_tt_tt_1,145,USA,1994,2.35
Phillip Noyce,141,672,Dean Jones,Harrison Ford,Clear and Present Danger ,1,http://www.imdb.com/title/tt0109444/?ref_=fn_tt_tt_1,133,USA,1994,2.35
Daniel Lee,103,7,Peng Lin,Si Won Choi,Dragon Blade ,3,http://www.imdb.com/title/tt3672840/?ref_=fn_tt_tt_1,86,China,2015,2.35
Keenen Ivory Wayans,98,723,Brittany Daniel,Chazz Palminteri,Littleman ,1,http://www.imdb.com/title/tt0430304/?ref_=fn_tt_tt_1,187,USA,2006,1.85
Jonathan Mostow,116,563,Thomas Kretschmann,Matthew McConaughey,U-571 ,0,http://www.imdb.com/title/tt0141926/?ref_=fn_tt_tt_1,602,France,2000,2.35
Rob Reiner,114,452,Samantha Mathis,Shawna Waldron,The American President ,0,http://www.imdb.com/title/tt0112346/?ref_=fn_tt_tt_1,214,USA,1995,2.35
Marco Schnabel,87,645,Romany Malco,Justin Timberlake,The Love Guru ,6,http://www.imdb.com/title/tt0811138/?ref_=fn_tt_tt_1,250,USA,2008,2.35
Demian Lichtenstein,125,867,Bokeem Woodbine,Jon Lovitz,3000 Miles to Graceland ,2,http://www.imdb.com/title/tt0233142/?ref_=fn_tt_tt_1,399,USA,2001,2.35
Quentin Tarantino,187,1000,Jennifer Jason Leigh,Craig Stark,The Hateful Eight ,1,http://www.imdb.com/title/tt3460252/?ref_=fn_tt_tt_1,1018,USA,2015,2.76
Josh Gordon,93,970,Amy Poehler,Will Ferrell,Blades of Glory ,2,http://www.imdb.com/title/tt0445934/?ref_=fn_tt_tt_1,246,USA,2007,1.85
Tim Hill,95,439,Elizabeth Perkins,Gary Cole,Hop ,0,http://www.imdb.com/title/tt1411704/?ref_=fn_tt_tt_1,82,USA,2011,1.85
Zack Snyder,117,447,Michael Fassbender,Gerard Butler,300 ,0,http://www.imdb.com/title/tt0416449/?ref_=fn_tt_tt_1,2073,USA,2006,2.35
Jay Roach,106,708,Blythe Danner,Robert De Niro,Meet the Fockers ,6,http://www.imdb.com/title/tt0290002/?ref_=fn_tt_tt_1,428,USA,2004,1.85
David Frankel,115,664,Kathleen Turner,Eric Dane,Marley & Me ,0,http://www.imdb.com/title/tt0822832/?ref_=fn_tt_tt_1,320,USA,2008,2.35
Frank Darabont,189,693,Jeffrey DeMunn,Tom Hanks,The Green Mile ,0,http://www.imdb.com/title/tt0120689/?ref_=fn_tt_tt_1,1377,USA,1999,1.85
Walt Becker,100,311,Tichina Arnold,Jill Hennessy,Wild Hogs ,3,http://www.imdb.com/title/tt0486946/?ref_=fn_tt_tt_1,255,USA,2007,2.35
Mark Dindal,81,397,Fred Willard,Catherine O'Hara,Chicken Little ,0,http://www.imdb.com/title/tt0371606/?ref_=fn_tt_tt_1,251,USA,2005,1.85
David Fincher,149,625,Sela Ward,Patrick Fugit,Gone Girl ,0,http://www.imdb.com/title/tt2267998/?ref_=fn_tt_tt_1,1127,USA,2014,2.35
Doug Liman,119,73,Josh Hamilton,Matt Damon,The Bourne Identity ,1,http://www.imdb.com/title/tt0258463/?ref_=fn_tt_tt_1,849,USA,2002,2.35
Martin Campbell,130,345,Joe Don Baker,Izabella Scorupco,GoldenEye ,2,http://www.imdb.com/title/tt0113189/?ref_=fn_tt_tt_1,416,UK,1995,2.35
Simon West,116,475,Timothy Hutton,Daniel von Bargen,The General's Daughter ,0,http://www.imdb.com/title/tt0144214/?ref_=fn_tt_tt_1,274,USA,1999,2.35
Peter Weir,103,576,Noah Emmerich,Natascha McElhone,The Truman Show ,1,http://www.imdb.com/title/tt0120382/?ref_=fn_tt_tt_1,877,USA,1998,1.85
Brenda Chapman,99,145,Aria Noelle Curzon,Martin Short,The Prince of Egypt ,2,http://www.imdb.com/title/tt0120794/?ref_=fn_tt_tt_1,353,USA,1998,1.85
Steve Carr,92,522,Lisa Edelstein,Anjelica Huston,Daddy Day Care ,1,http://www.imdb.com/title/tt0317303/?ref_=fn_tt_tt_1,116,USA,2003,1.85
Baltasar Kormákur,109,459,Patrick Fischler,Denzel Washington,2 Guns ,1,http://www.imdb.com/title/tt1272878/?ref_=fn_tt_tt_1,172,USA,2013,2.35
Lawrence Guterman,87,405,Elizabeth Perkins,Carol Ann Susi,Cats & Dogs ,0,http://www.imdb.com/title/tt0239395/?ref_=fn_tt_tt_1,235,USA,2001,1.85
F. Gary Gray,111,82,Charlize Theron,Jason Statham,The Italian Job ,6,http://www.imdb.com/title/tt0317740/?ref_=fn_tt_tt_1,497,USA,2003,2.35
Marc Lawrence,101,268,Alicia Witt,Dorian Missick,Two Weeks Notice ,2,http://www.imdb.com/title/tt0313737/?ref_=fn_tt_tt_1,269,USA,2002,1.85
Eric Darnell,83,754,Woody Allen,Sylvester Stallone,Antz ,0,http://www.imdb.com/title/tt0120587/?ref_=fn_tt_tt_1,289,USA,1998,1.85
Peter Billingsley,113,721,Kristin Davis,Jon Favreau,Couples Retreat ,6,http://www.imdb.com/title/tt1078940/?ref_=fn_tt_tt_1,144,USA,2009,1.85
Tony Scott,107,695,Robert Duvall,Tom Cruise,Days of Thunder ,0,http://www.imdb.com/title/tt0099371/?ref_=fn_tt_tt_1,97,USA,1990,2.35
Adam Shankman,94,2000,Tom Welling,Taylor Lautner,Cheaper by the Dozen 2 ,6,http://www.imdb.com/title/tt0452598/?ref_=fn_tt_tt_1,128,USA,2005,2.35
Wes Ball,132,240,Lili Taylor,Ki Hong Lee,The Scorch Trials ,0,http://www.imdb.com/title/tt4046784/?ref_=fn_tt_tt_1,360,USA,2015,2.35
Ryan Murphy,140,745,Julia Roberts,James Franco,Eat Pray Love ,1,http://www.imdb.com/title/tt0879870/?ref_=fn_tt_tt_1,302,USA,2010,1.85
Brett Ratner,125,627,Don Cheadle,Nicolas Cage,The Family Man ,1,http://www.imdb.com/title/tt0218967/?ref_=fn_tt_tt_1,322,USA,2000,2.35
Robert Schwentke,111,357,Morgan Freeman,Bruce Willis,RED ,4,http://www.imdb.com/title/tt1245526/?ref_=fn_tt_tt_1,328,USA,2010,2.35
Oliver Stone,156,1000,Dennis Quaid,Al Pacino,Any Given Sunday ,5,http://www.imdb.com/title/tt0146838/?ref_=fn_tt_tt_1,452,USA,1999,2.35
Robert Redford,170,380,Kristin Scott Thomas,Scarlett Johansson,The Horse Whisperer ,0,http://www.imdb.com/title/tt0119314/?ref_=fn_tt_tt_1,263,USA,1998,1.85
Michael Mann,120,680,Jada Pinkett Smith,Tom Cruise,Collateral ,0,http://www.imdb.com/title/tt0369339/?ref_=fn_tt_tt_1,836,USA,2004,2.35
Chuck Russell,100,416,Roger Rees,Dwayne Johnson,The Scorpion King ,4,http://www.imdb.com/title/tt0277296/?ref_=fn_tt_tt_1,432,USA,2002,2.35
Jay Russell,115,579,Jay Hernandez,Billy Burke,Ladder 49 ,2,http://www.imdb.com/title/tt0349710/?ref_=fn_tt_tt_1,323,USA,2004,1.85
Christopher McQuarrie,130,1000,Robert Duvall,Tom Cruise,Jack Reacher ,2,http://www.imdb.com/title/tt0790724/?ref_=fn_tt_tt_1,448,USA,2012,2.35
Renny Harlin,105,811,Michael Rapaport,LL Cool J,Deep Blue Sea ,1,http://www.imdb.com/title/tt0149261/?ref_=fn_tt_tt_1,643,USA,1999,2.35
Kenny Ortega,111,6,Mekia Cox,Misha Gabriel Hamilton,This Is It ,0,http://www.imdb.com/title/tt1477715/?ref_=fn_tt_tt_1,223,USA,2009,1.78
Steven Soderbergh,106,175,Monique Gabriela Curnen,Matt Damon,Contagion ,4,http://www.imdb.com/title/tt1598778/?ref_=fn_tt_tt_1,411,USA,2011,1.85
David McNally,89,226,Dyan Cannon,Estella Warren,Kangaroo Jack ,0,http://www.imdb.com/title/tt0257568/?ref_=fn_tt_tt_1,181,USA,2003,2.35
Henry Selick,100,57,Dawn French,Jennifer Saunders,Coraline ,1,http://www.imdb.com/title/tt0327597/?ref_=fn_tt_tt_1,279,USA,2009,1.85
M. Night Shyamalan,91,751,Alan Ruck,Zooey Deschanel,The Happening ,0,http://www.imdb.com/title/tt0949731/?ref_=fn_tt_tt_1,1264,USA,2008,1.85
Tony Scott,146,451,Radha Mitchell,Denzel Washington,Man on Fire ,2,http://www.imdb.com/title/tt0328107/?ref_=fn_tt_tt_1,690,USA,2004,2.35
Brian Robbins,98,722,Joel David Moore,Robert Downey Jr.,The Shaggy Dog ,0,http://www.imdb.com/title/tt0393735/?ref_=fn_tt_tt_1,83,USA,2006,2.35
Todd Phillips,101,767,Carmen Electra,Snoop Dogg,Starsky & Hutch ,5,http://www.imdb.com/title/tt0335438/?ref_=fn_tt_tt_1,308,USA,2004,2.35
Brian Levant,94,626,Harvey Korman,Jim Belushi,Jingle All the Way ,1,http://www.imdb.com/title/tt0116705/?ref_=fn_tt_tt_1,162,USA,1996,1.85
Guillermo del Toro,132,160,Rupert Evans,James Babson,Hellboy ,1,http://www.imdb.com/title/tt0167190/?ref_=fn_tt_tt_1,597,USA,2004,1.85
Steven Zaillian,115,521,Kathleen Quinlan,Robert Duvall,A Civil Action ,1,http://www.imdb.com/title/tt0120633/?ref_=fn_tt_tt_1,181,USA,1998,2.35
Chris Butler,92,586,Kodi Smit-McPhee,Anna Kendrick,ParaNorman ,0,http://www.imdb.com/title/tt1623288/?ref_=fn_tt_tt_1,176,USA,2012,2.35
Michael Caton-Jones,124,460,Bruce Willis,J.K. Simmons,The Jackal ,0,http://www.imdb.com/title/tt0119395/?ref_=fn_tt_tt_1,227,USA,1997,2.35
John Woo,119,716,Joe Morton,Ivana Milicevic,Paycheck ,0,http://www.imdb.com/title/tt0338337/?ref_=fn_tt_tt_1,347,USA,2003,2.35
Jon Avnet,124,672,Stockard Channing,Joe Mantegna,Up Close & Personal ,2,http://www.imdb.com/title/tt0118055/?ref_=fn_tt_tt_1,54,USA,1996,1.85
Sam Fell,93,903,Matthew Broderick,Emma Watson,The Tale of Despereaux ,0,http://www.imdb.com/title/tt0420238/?ref_=fn_tt_tt_1,106,UK,2008,2.35
,22,402,Oliver Hudson,Bianca Kajlich,Rules of Engagement             ,3,http://www.imdb.com/title/tt0790772/?ref_=fn_tt_tt_1,41,USA,,1.78
Kevin Donovan,98,107,Debi Mazar,Romany Malco,The Tuxedo ,2,http://www.imdb.com/title/tt0290095/?ref_=fn_tt_tt_1,207,USA,2002,1.85
