director_name,num_critic_for_reviews,director_facebook_likes,actor_2_name,gross,genres,actor_1_name,movie_title,cast_total_facebook_likes,actor_3_name,plot_keywords,content_rating,budget,actor_2_facebook_likes,imdb_score,aspect_ratio
Stephen Sommers,14,208,Frances Conroy,24103594,Adventure|Comedy|Drama|Family,Curtis Armstrong,The Adventures of Huck Finn ,4840,Anne Heche,boy|lesson|mississippi river|river|slave,PG,6500000,827,6.2,1.85
Doug Liman,137,218,Jay Mohr,16842303,Comedy|Crime,Sarah Polley,Go ,2475,Scott Wolf,drug deal|drugs|sex|sex on stairs|strip club,R,6500000,563,7.3,2.35
Nicole Holofcener,111,132,Marin Hinkle,13367101,Comedy|Drama|Romance,Greg Germann,Friends with Money ,1140,Jake Cherry,friend|friendship|marital problem|money problems|nervous breakdown,R,6500000,230,5.9,2.35
Robert Wise,57,338,Paula Kelly,,Sci-Fi|Thriller,David Wayne,The Andromeda Strain ,394,Eric Christmas,alien|baby|new mexico|satellite|scientist,G,6500000,112,7.2,2.35
Louis Morneau,97,38,Bob Gunton,10149779,Horror|Sci-Fi|Thriller,Leon,Bats ,1405,Ned Bellamy,animal attack|bat|creature feature|experiment|mad scientist,PG-13,6500000,461,3.6,2.35
Caroline Link,73,11,Juliane Köhler,6173485,Biography|Drama,Merab Ninidze,Nowhere in Africa ,105,Matthias Habich,breasts|farm|jew|kenya|tween girl,R,7000000,36,7.7,2.35
Steve McQueen,486,0,Nicole Beharie,4000304,Drama,Michael Fassbender,Shame ,15230,James Badge Dale,female frontal nudity|female nudity|male nudity|sex addict|sex addiction,NC-17,6500000,898,7.3,2.35
Matthew Vaughn,149,905,Sally Hawkins,2338695,Crime|Drama|Thriller,Tom Hardy,Layer Cake ,29277,Jamie Foreman,cake|cocaine|drugs|pills|serbian,R,4000000,594,7.4,2.35
Sterling Van Wagenen,4,0,Eric Johnson,2024854,Drama|Western,Emily Podleski,The Work and the Glory II: American Zion ,1942,Brenda Strong,estrangement|missouri|mormon|mormon church|mormon temple,PG-13,6500000,373,6.6,2.35
Zal Batmanglij,200,129,Julia Ormond,2268296,Drama|Thriller,Alexander Skarsgård,The East ,13180,Jason Ritter,anarchist|corporation|greedy institution|vomiting|watching television,PG-13,6500000,918,6.9,2.35
Michael Mayer,84,15,Matt Frewer,1029017,Drama|Romance,Robin Wright,A Home at the End of the World ,21107,Sissy Spacek,hand job|hugging|long hair|new york city|two men one woman,R,6500000,986,6.8,2.35
Hans Petter Moland,28,19,Sara-Marie Maltha,64148,Drama,Charlotte Rampling,Aberdeen ,846,Stellan Skarsgård,death|ferry|lawyer|norway|vomiting,,6500000,2,7.3,1.85
Oren Moverman,217,38,Yaya DaCosta,66637,Drama|Romance|War,Steve Buscemi,The Messenger ,14462,Eamonn Walker,captain|casualty notification|casualty notification team|sergeant|staff sergeant,R,6500000,712,7.2,2.35
Ian Sharp,12,9,Jed Brophy,,Action|Adventure|Drama|Western,Ray Winstone,Tracker ,1904,Temuera Morrison,one word title,R,6500000,433,6.5,2.35
Anton Corbijn,183,210,Samantha Morton,871577,Biography|Drama|Music,Sam Riley,Control ,2614,Alexandra Maria Lara,band|employment agency|singer|stage fright|suicide,R,4500000,631,7.7,2.35
James Cameron,204,0,Brian Thompson,38400000,Action|Sci-Fi,Michael Biehn,The Terminator ,3582,Paul Winfield,cyborg|future war|robot|shootout in a police station|urban setting,R,6500000,663,8.1,1.85
Wolfgang Becker,153,31,Chulpan Khamatova,4063859,Drama|Romance,Florian Lukas,Good Bye Lenin! ,200,Burghart Klaußner,coma|east germany|german democratic republic|germany|heart attack,R,4800000,51,7.7,1.85
Tom Hooper,145,0,Mark Bazeley,449558,Biography|Drama|Sport,Stephen Graham,The Damned United ,1163,Maurice Roëves,cup|derby county|flashback|football|leeds united,R,10000000,54,7.6,1.85
Dan O'Bannon,203,228,Clu Gulager,,Comedy|Horror|Sci-Fi,Linnea Quigley,The Return of the Living Dead ,2020,Beverly Randolph,crematorium|female frontal nudity|naked dead woman|paramedic|poison gas,R,4000000,426,7.3,1.85
,10,,Fortunato Cerlino,,Crime|Drama|Thriller,Maria Pia Calzone,Gomorrah             ,39,Marco D'Amore,,TV-MA,,9,8.7,1.85
Kevin Smith,93,0,Jason Mewes,2122561,Comedy|Romance,Ethan Suplee,Mallrats ,3254,Joey Lauren Adams,comic|ex girlfriend|jay and silent bob|mall|teenager,R,6000000,898,7.2,1.85
Randal Kleiser,124,116,Stockard Channing,181360000,Musical|Romance,Olivia Newton-John,Grease ,5127,Sid Caesar,automobile racing|boyfriend girlfriend relationship|high school|wrestling|year 1959,PG-13,6000000,944,7.2,2.35
Oliver Stone,120,0,Tom Berenger,137963328,Drama|War,Johnny Depp,Platoon ,42028,Kevin Dillon,1960s|famous score|hero|vietnam|vietnam war,R,6000000,854,8.1,1.85
Michael Moore,288,909,Stevie Wonder,119078393,Documentary|Drama|War,Osama bin Laden,Fahrenheit 9/11 ,1448,Ricky Martin,anti war|interview|iraq|paranoia|war on terrorism,R,6000000,328,7.5,1.85
George Roy Hill,130,131,Ted Cassidy,102308900,Biography|Crime|Drama|Western,Katharine Ross,Butch Cassidy and the Sundance Kid ,2169,Kenneth Mars,bolivia|gang|outlaw|posse|train,M,6000000,566,8.1,2.35
Robert Stevenson,145,55,Glynis Johns,102300000,Comedy|Family|Fantasy|Musical,Ed Wynn,Mary Poppins ,2045,Elsa Lanchester,banker|female protagonist|live action and animation|magic|nanny,Approved,6000000,279,7.8,1.66
Robert Redford,62,0,Elizabeth McGovern,54800000,Drama,Adam Baldwin,Ordinary People ,5122,Judd Hirsch,choir|death|friend|suicide|therapy,R,6000000,553,7.8,1.85
Frank Coraci,188,153,Steve Coogan,24004159,Action|Adventure|Comedy,Jim Broadbent,Around the World in 80 Days ,3175,Cécile De France,19th century|around the world|inventor|martial arts|train,PG,110000000,1000,5.8,2.35
Jerome Robbins,120,34,George Chakiris,43650000,Crime|Drama|Musical|Romance|Thriller,Rita Moreno,West Side Story ,1802,Richard Beymer,dance|gang|new york city|puerto rican|tragedy,Unrated,6000000,271,7.6,2.2
Harold Ramis,71,11000,Rodney Dangerfield,39800000,Comedy|Sport,Bill Murray,Caddyshack ,14921,Brian Doyle-Murray,caddy|country club|golf course|gopher|nudity,R,6000000,573,7.4,1.85
Gary Hardwick,52,10,Tatyana Ali,27457409,Comedy|Drama,Julie Benz,The Brothers ,6419,Jenifer Lewis,african american|commitment|friend|friendship|playboy,R,6000000,685,6.3,1.85
Rick Famuyiwa,18,44,Tamala Jones,25047631,Comedy|Drama|Romance,Omar Epps,The Wood ,2724,Richard T. Jones,flashback|friendship|public nudity|shower|wedding,R,6000000,405,6.9,1.85
Bryan Singer,162,0,Chazz Palminteri,23272306,Crime|Drama|Mystery|Thriller,Kevin Spacey,The Usual Suspects ,20821,Kevin Pollak,criminal|dirty cop|flashback|limping|suspect,R,6000000,979,8.6,2.35
Stephen Hopkins,88,81,Kelly Jo Minter,22168359,Fantasy|Horror|Romance|Thriller,Lisa Wilcox,A Nightmare on Elm Street 5: The Dream Child ,584,Matthew Borlenghi,child|comic book|dream|murderer|nightmare,X,8000000,101,5.1,1.85
Walt Becker,96,12,Curtis Armstrong,21005329,Comedy|Romance,Ryan Reynolds,Van Wilder: Party Liaison ,19341,Erik Estrada,college|love|party|reporter|tuition,R,6000000,876,6.4,1.85
Darren Aronofsky,391,0,John D'Leo,26236603,Drama|Sport,Mark Margolis,The Wrestler ,1582,Ajay Naidu,heart attack|stripper|supermarket|wrestler|wrestling,R,6000000,245,7.9,2.35
King Vidor,32,54,Lillian Gish,20400000,Drama|Romance|Western,Joseph Cotten,Duel in the Sun ,2037,Jennifer Jones,box office hit|half breed|infidelity|shooting|texas,Unrated,8000000,436,6.9,1.37
Christopher Guest,119,378,Catherine O'Hara,18621249,Comedy,John Michael Higgins,Best in Show ,4611,Michael McKean,dog show|gay|gay character|gay couple|gay interest,PG-13,6000000,925,7.5,1.85
John Carpenter,201,0,Adrienne Barbeau,25244700,Action|Sci-Fi,Donald Pleasence,Escape from New York ,2270,Tom Atkins,1990s|police|prison|rescue|year 1997,R,6000000,602,7.2,2.35
Spike Lee,22,0,Ossie Davis,14545844,Comedy|Drama|Musical,Tisha Campbell-Martin,School Daze ,1284,Bill Nunn,beauty salon|black college|college|fraternity|sorority,R,6500000,282,5.8,1.85
Fred Savage,52,0,Brian Doyle-Murray,13235267,Comedy|Family,Lochlyn Munro,Daddy Day Camp ,1752,Tamala Jones,competition|estranged father|skunk|summer camp|wall,PG,6000000,484,2.9,1.85
Sammo Kam-Bo Hung,63,472,Richard Norton,12674183,Action|Comedy|Crime,Sammo Kam-Bo Hung,Mr. Nice Guy ,773,Rachel Blakely,chef|cook|drugs|gang|reporter,PG-13,,155,6.2,2.35
Christopher Guest,97,378,Christopher Guest,17508936,Comedy|Music,Michael McKean,A Mighty Wind ,1660,Laura Harris,concert|mockumentary|musician|new york city|singer,PG-13,,378,7.3,1.85
Donald Petrie,34,80,Lili Taylor,12793213,Comedy|Drama|Romance,Julia Roberts,Mystic Pizza ,10430,Conchata Ferrell,commitment|marriage|pizza|title appears in writing|woman wearing only a man's shirt,R,6000000,960,6.2,1.85
,10,,Tuppence Middleton,,Drama|History|Romance|War,Jim Broadbent,War & Peace             ,4528,Lily James,male frontal nudity|male nudity|tv mini series,TV-14,,888,8.2,16.0
Peter Howitt,88,29,Kevin McNally,11883495,Comedy|Drama|Fantasy|Romance,Jeanne Tripplehorn,Sliding Doors ,1462,John Lynch,alternative reality|multiple outcomes|parallel time|serendipity|twist of fate,R,9000000,427,6.8,1.85
Rusty Cundieff,25,38,Clarence Williams III,11797927,Comedy|Horror|Thriller,Corbin Bernsen,Tales from the Hood ,3221,David Alan Grier,child abuse|death|drugs|ku klux klan|police brutality,R,6000000,475,6.1,1.85
Kevin Macdonald,252,162,Simon McBurney,17605861,Biography|Drama|History|Thriller,David Oyelowo,The Last King of Scotland ,1184,Abby Mukiibi Nkaaga,1970s|assassination|doctor|scottish|ugandan,R,6000000,149,7.7,2.35
Dominique Othenin-Girard,137,2,Tamara Glynn,11642254,Horror|Thriller,Donald Pleasence,Halloween 5 ,1308,Troy Evans,cat|halloween|kitten|michael myers|psychotronic,X,3000000,256,5.2,1.85
Richard Linklater,231,0,Brandon Smith,9203192,Comedy|Crime|Drama,Matthew McConaughey,Bernie ,11328,Rick Dial,funeral|stockbroker|texas|vacation|widow,PG-13,5000000,106,6.8,1.85
Jean-Jacques Mantello,9,0,Daryl Hannah,7518876,Adventure|Documentary|Short,Charlotte Rampling,Dolphins and Whales 3D: Tribes of the Ocean ,844,,3d in title|animal in title|digit in title|dolphin|manatee,,6000000,0,6.5,1.78
Ed Harris,115,0,Bud Cort,8596914,Biography|Drama,John Heard,Pollock ,1517,Amy Madigan,1940s|artist|drinking|life magazine|painter,R,6000000,394,7.0,1.85
Risa Bramon Garcia,67,112,Dave Chappelle,6851636,Comedy|Drama|Romance,Janeane Garofalo,200 Cigarettes ,2697,Gaby Hoffmann,bartender|friend|new year's eve|party|punk,R,6000000,744,5.9,1.85
Brian Klugman,216,49,Bradley Cooper,11434867,Drama|Mystery|Romance|Thriller,J.K. Simmons,The Words ,51355,Olivia Wilde,american in paris|book|love|novel|writer,PG-13,6000000,14000,7.1,1.85
Matt Piedmont,133,4,Adrian Martinez,5895238,Comedy|Western,Will Ferrell,Casa de mi Padre ,10123,Luis E. Carazo,absurd humor|drug lord|mexico|ranch|spaghetti western,R,6000000,806,5.5,2.35
Raymond De Felitta,149,20,Curtiss Cook,6670712,Comedy|Drama,Ezra Miller,City Island ,3825,Dominik García-Lorido,anger|family reunion|father son reunion|hugging|movie making,PG-13,6000000,591,7.4,1.85
John Michael McDonagh,261,51,Fionnula Flanagan,5359774,Comedy|Crime|Thriller,Don Cheadle,The Guard ,3569,Wale Ojo,boat on fire|drug smuggling|fbi|fbi agent|small town,R,6000000,482,7.3,2.35
Deb Hagan,42,0,Alona Tal,4693919,Comedy,Drake Bell,College ,4484,Haley Bennett,college|face slap|high school|loss of virginity|pierced nipple,R,6500000,1000,4.6,1.85
Sofia Coppola,152,0,Kathleen Turner,4859475,Drama|Romance,Kirsten Dunst,The Virgin Suicides ,7103,Scott Glenn,catholic|five sisters|isolation|school|suicide,R,6000000,899,7.2,1.85
Mark Herman,64,39,Annette Badland,4595000,Comedy|Drama|Music|Romance,Jim Broadbent,Little Voice ,2103,Brenda Blethyn,mother|recluse|shy|singer|talent,R,,497,7.0,1.85
Zach Cregger,76,138,Windell Middlebrooks,4542775,Comedy|Romance,Hugh M. Hefner,Miss March ,1831,Raquel Alessi,fellatio|hugh hefner|oral sex|playboy centerfold|topless female nudity,R,6000000,308,5.1,1.85
Zach Braff,149,0,Josh Gad,3588432,Comedy|Drama,Jim Parsons,Wish I Was Here ,18947,Michael Weston,actor|dream sequence|genius recluse|jew|religion,R,6000000,1000,6.7,2.35
Mark Tarlov,35,3,Dylan Baker,4394936,Comedy|Drama|Fantasy|Romance,Sarah Michelle Gellar,Simply Irresistible ,5668,Lawrence Gilliard Jr.,chef|female chef|love|magic|restaurant,PG-13,6000000,812,5.3,2.35
,47,,Jason Dohring,,Crime|Drama|Mystery,Francis Capra,Veronica Mars             ,3318,Enrico Colantoni,best friend|high school|private detective|sheriff|student,TV-14,,828,8.4,1.78
John Cameron Mitchell,108,263,Miriam Shor,3029081,Comedy|Drama|Music|Musical,John Cameron Mitchell,Hedwig and the Angry Inch ,993,Andrea Martin,band|rock band|sex change|song|transsexual,R,6000000,261,7.8,1.85
Sheldon Lettich,17,23,Ryan Bollman,3273588,Action|Drama,Antoni Corone,Only the Strong ,382,Todd Susman,capoeira|fight|fighting|martial arts|violence,PG-13,6000000,91,6.7,1.85
Jon Knautz,12,10,Monda Scott,,Drama|Horror|Mystery|Thriller,Rachel Alig,Goddess of Love ,546,Alexis Kendra,female nudity|hallucination|sex scene|strip club|stripper,,,77,5.4,2.35
Billy Ray,129,53,Rosario Dawson,2207975,Drama|History,Hayden Christensen,Shattered Glass ,8297,Cas Anvar,fabricated facts|journalist|stephen glass|the new republic|writer,PG-13,6000000,3000,7.2,2.35
David Atkins,84,8,Lynne Thigpen,2025238,Comedy|Crime|Drama|Thriller,Chelcie Ross,Novocaine ,489,Polly Noonan,dentist|drugs|murder|sex|sunflower,R,6000000,230,5.8,1.85
Patrick Stettner,61,5,Tony Devon,1028337,Drama|Thriller,Stockard Channing,The Business of Strangers ,1407,Frederick Weller,airport|businesswoman|hotel|revenge|vegetarian,R,,257,6.4,1.85
Sam Peckinpah,147,541,Warren Oates,,Action|Adventure|Western,William Holden,The Wild Bunch ,2379,L.Q. Jones,friendship|honor|righteous rage|soldier|texas,R,6244087,288,8.0,2.35
Jonathan Levine,147,129,Aaron Yoo,2077046,Comedy|Drama|Romance,Mary-Kate Olsen,The Wackness ,2748,Method Man,ice cream|marijuana|new york city|summer|therapy,R,6000000,617,7.0,2.35
Michael Crichton,23,735,Michael Elphick,,Adventure|Crime|Drama|Thriller,Lesley-Anne Down,The Great Train Robbery ,297,Pamela Salem,bank|gold|key|safe|train,PG,6000000,34,7.0,1.85
Lynne Ramsay,75,159,Bryan Dick,267194,Drama,Samantha Morton,Morvern Callar ,841,Paul Popplewell,breasts|cleavage|female rear nudity|girl in panties|public nudity,R,,104,6.7,1.85
Sylvio Tabet,17,0,Kari Wuhrer,869325,Action|Adventure|Fantasy|Sci-Fi,Michael Berryman,Beastmaster 2: Through the Portal of Time ,2000,Marc Singer,beast|beastmaster|psychotronic|sword and sorcery|warrior,PG-13,6000000,514,3.8,1.85
Rick Bieber,16,11,Kendrick Cross,399611,Biography|Drama|Sport,Aidan Quinn,The 5th Quarter ,2370,Sammy Nagi Njuguna,athletic training|football practice|funeral|gymnasium|man crying,PG,6000000,529,5.7,1.85
Claude Chabrol,60,324,Nathalie Baye,181798,Drama,Benoît Magimel,The Flower of Evil ,282,Mélanie Doutey,bordeaux|election|mayor|pamphlet|political thriller,R,,67,6.6,1.66
Shana Feste,63,19,Zoë Kravitz,115862,Drama|Romance,Jennifer Ehle,The Greatest ,2163,Cara Seymour,car crash|loss|self help group|teenage mother|title directed by female,R,6000000,943,6.7,2.35
Wayne Wang,56,61,Russell Wong,1346503,Drama|History,Bingbing Li,Snow Flower and the Secret Fan ,2430,Ji-hyun Jun,car hitting pedestrian|china|fan|nineteenth century|reversal of fortune,PG-13,6000000,595,6.1,2.35
Joey Lauren Adams,36,781,Diane Ladd,117560,Drama|Romance,Tim Blake Nelson,Come Early Morning ,1081,Ritchie Montgomery,church|drink|knocking on a door|love|three word title,R,6000000,206,6.2,1.85
Peter Cattaneo,47,11,Olivia Williams,54606,Comedy|Crime|Romance,James Nesbitt,Lucky Break ,2440,Peter McNamara,escape|prison|prison escape|sadism|solitary confinement,PG-13,6000000,766,6.2,2.35
Fred Zinnemann,38,160,Jane Fonda,,Drama,Meryl Streep,Julia ,15604,Vanessa Redgrave,1930s|female protagonist|nazi|romantic friendship|writer,PG,7840000,949,7.4,1.85
S.R. Bindler,26,0,Scott Glenn,36497,Comedy,Matthew McConaughey,Surfer, Dude ,14599,Sarah Wright,barefoot|endorsement|surfboard|virtual reality|waves,R,6000000,826,4.7,1.85
