director_name,num_critic_for_reviews,duration,actor_2_name,gross,movie_title,cast_total_facebook_likes,plot_keywords,movie_imdb_link,language,country,budget,title_year,actor_2_facebook_likes,aspect_ratio
James McTeigue,525,132,Eddie Marsan,70496802,V for Vendetta ,22417,dystopia|freedom|government|revolution|terrorist,http://www.imdb.com/title/tt0434409/?ref_=fn_tt_tt_1,English,USA,54000000,2005,979,2.35
David Dobkin,165,114,Anna-Louise Plowman,60470220,Shanghai Knights ,428,1880s|arrow|imperial seal|murder|revenge,http://www.imdb.com/title/tt0300471/?ref_=fn_tt_tt_1,English,USA,50000000,2003,131,2.35
,2,45,Gemma Jones,,Unforgotten             ,1816,,http://www.imdb.com/title/tt4192812/?ref_=fn_tt_tt_1,English,UK,,,171,
Matthew O'Callaghan,87,78,Frank Welker,58336565,Curious George ,11124,hat|monkey|museum|shrine|yellow,http://www.imdb.com/title/tt0381971/?ref_=fn_tt_tt_1,English,USA,50000000,2006,2000,1.85
Angela Robinson,117,101,Thomas Lennon,66002004,Herbie Fully Loaded ,2177,automobile racing|car|mechanic|nascar|street racing,http://www.imdb.com/title/tt0400497/?ref_=fn_tt_tt_1,English,USA,50000000,2005,651,1.85
Gary Fleder,113,113,Jennifer Esposito,54997476,Don't Say a Word ,3341,mental institution|post traumatic stress|psychiatrist|vomiting|voyeur,http://www.imdb.com/title/tt0260866/?ref_=fn_tt_tt_1,English,USA,50000000,2001,912,2.35
Tommy Wirkola,349,98,Derek Mears,55682070,Hansel & Gretel: Witch Hunters ,11946,bounty hunter|brother sister team|death of loved one|hansel and gretel|supernatural power,http://www.imdb.com/title/tt1428538/?ref_=fn_tt_tt_1,English,Germany,50000000,2013,520,2.35
Adrian Lyne,152,124,Erik Per Sullivan,52752475,Unfaithful ,2583,erotic thriller|infidelity|marital infidelity|unfaithfulness|wife's lover murdered by husband,http://www.imdb.com/title/tt0250797/?ref_=fn_tt_tt_1,English,USA,50000000,2002,593,1.85
D.J. Caruso,288,109,Emily Wickersham,55092830,I Am Number Four ,15608,based on young adult novel|good versus evil|guardian|human alien|ohio,http://www.imdb.com/title/tt1464540/?ref_=fn_tt_tt_1,English,USA,60000000,2011,348,1.85
Stephen Gaghan,358,128,Amr Waked,50815288,Syriana ,14747,cia|hezbollah|lebanon|oil|prince,http://www.imdb.com/title/tt0365737/?ref_=fn_tt_tt_1,English,USA,50000000,2005,903,2.35
Michael Bay,204,144,James Badge Dale,52822418,13 Hours ,3580,based on true story|cia agent|libya|mercenary|u.s. ambassador,http://www.imdb.com/title/tt4172430/?ref_=fn_tt_tt_1,English,USA,50000000,2016,726,2.35
Jorge R. Gutiérrez,156,95,Hector Elizondo,50150619,The Book of Life ,19513,afterlife|bullfight|bullfighting|love triangle|mexico,http://www.imdb.com/title/tt2262227/?ref_=fn_tt_tt_1,English,USA,50000000,2014,995,2.35
Richard Loncraine,171,105,Harrison Ford,48745150,Firewall ,101383,architect|bank|cayman islands|meeting|murder,http://www.imdb.com/title/tt0408345/?ref_=fn_tt_tt_1,English,USA,50000000,2006,11000,2.35
Clint Eastwood,76,121,Mark Margolis,50007168,Absolute Power ,19139,death|death of wife|murder|thief|violence,http://www.imdb.com/title/tt0118548/?ref_=fn_tt_tt_1,English,USA,50000000,1997,1000,2.35
Ridley Scott,97,125,Demi Moore,48154732,G.I. Jane ,15569,feminism|hit in the crotch|kicked in the crotch|kicked in the testicles|navy,http://www.imdb.com/title/tt0119173/?ref_=fn_tt_tt_1,English,USA,50000000,1997,2000,2.35
David Fincher,157,129,Armin Mueller-Stahl,48265581,The Game ,1397,birthday|falling through a glass roof|game|hitchcockian|suicide,http://www.imdb.com/title/tt0119174/?ref_=fn_tt_tt_1,English,USA,50000000,1997,294,2.35
Christophe Gans,267,132,Deborah Kara Unger,46982632,Silent Hill ,1933,gothic|police|police officer|silent hill|sleepwalking,http://www.imdb.com/title/tt0384537/?ref_=fn_tt_tt_1,English,Canada,50000000,2006,495,2.35
Howard Deutch,118,118,Jon Favreau,44737059,The Replacements ,24024,coach|football player|misfits|strike|sumo wrestler,http://www.imdb.com/title/tt0191397/?ref_=fn_tt_tt_1,English,USA,50000000,2000,4000,1.85
Jon Hurwitz,291,113,Dania Ramirez,56724080,American Reunion ,8398,bikini|female female kiss|high school reunion|outdoor sex|upskirt,http://www.imdb.com/title/tt1605630/?ref_=fn_tt_tt_1,English,USA,50000000,2012,1000,1.85
F. Gary Gray,68,140,Michael Cudlitz,44484065,The Negotiator ,20152,hostage|innocence|murder|negotiator|police,http://www.imdb.com/title/tt0120768/?ref_=fn_tt_tt_1,English,Germany,50000000,1998,822,2.35
Steven Quale,228,89,Alycia Debnam-Carey,47553512,Into the Storm ,1367,danger|graduation|storm|teenage boy|tornado,http://www.imdb.com/title/tt2106361/?ref_=fn_tt_tt_1,English,USA,50000000,2014,298,1.85
John Landis,36,104,Jon Tenney,42610000,Beverly Hills Cop III ,1093,california|counterfeit|counterfeit money|money|theme park,http://www.imdb.com/title/tt0109254/?ref_=fn_tt_tt_1,English,USA,55000000,1994,289,1.85
Joe Dante,105,106,Robert Picardo,41482207,Gremlins 2: The New Batch ,19610,gremlin|horror host|hulk hogan|monster|skyscraper,http://www.imdb.com/title/tt0099700/?ref_=fn_tt_tt_1,English,USA,50000000,1990,823,1.85
David Dobkin,276,141,Robert Duvall,47105085,The Judge ,30183,courtroom|dysfunctional family|indiana|lawyer|trial,http://www.imdb.com/title/tt1872194/?ref_=fn_tt_tt_1,English,USA,50000000,2014,3000,2.35
Mimi Leder,93,124,Holt McCallany,41256277,The Peacemaker ,1289,nuclear explosion|nuclear weapon|russia|train|train crash,http://www.imdb.com/title/tt0119874/?ref_=fn_tt_tt_1,English,USA,50000000,1997,273,2.35
Alexander Witt,191,98,Thomas Kretschmann,50740078,Resident Evil: Apocalypse ,16791,cover up|monster|strong female character|strong female lead|zombie apocalypse,http://www.imdb.com/title/tt0318627/?ref_=fn_tt_tt_1,English,Germany,45000000,2004,919,2.35
Beeban Kidron,143,108,Jim Broadbent,40203020,Bridget Jones: The Edge of Reason ,15634,american actress playing british character|intern|prison|six word title|thailand,http://www.imdb.com/title/tt0317198/?ref_=fn_tt_tt_1,English,UK,40000000,2004,1000,2.35
Carl Franklin,124,114,Sanaa Lathan,40905277,Out of Time ,19739,cancer|florida|insurance|life insurance policy|small town,http://www.imdb.com/title/tt0313443/?ref_=fn_tt_tt_1,English,USA,50000000,2003,886,2.35
Steven Seagal,47,101,Joan Chen,38590500,On Deadly Ground ,1860,environmental|murder|oil|oil spill|tribe,http://www.imdb.com/title/tt0110725/?ref_=fn_tt_tt_1,English,USA,50000000,1994,643,2.35
Robert Rodriguez,66,93,Kristin Davis,39177541,The Adventures of Sharkboy and Lavagirl 3-D ,14899,boy|bully|dream|dream sequence|planet,http://www.imdb.com/title/tt0424774/?ref_=fn_tt_tt_1,English,USA,50000000,2005,722,1.85
Danny Boyle,118,119,Virginie Ledoyen,39778599,The Beach ,29461,love|map|paradise|thailand|travel,http://www.imdb.com/title/tt0163978/?ref_=fn_tt_tt_1,English,USA,50000000,2000,414,2.35
Garry Marshall,93,119,Felicity Huffman,37486138,Raising Helen ,2052,fashion show|female protagonist|love|pastor|queens new york city,http://www.imdb.com/title/tt0350028/?ref_=fn_tt_tt_1,English,USA,50000000,2004,508,1.85
James McTeigue,235,99,Ben Miles,38105077,Ninja Assassin ,701,critically bashed|kung fu|martial artist|martial arts|ninja,http://www.imdb.com/title/tt1186367/?ref_=fn_tt_tt_1,English,USA,40000000,2009,119,2.35
Sam Raimi,113,137,Kelly Preston,35168395,For Love of the Game ,25469,baseball|baseball movie|detroit tigers|perfect game|pitcher,http://www.imdb.com/title/tt0126916/?ref_=fn_tt_tt_1,English,USA,50000000,1999,743,2.35
,14,105,Bruce Alexander,,A Touch of Frost             ,344,cult tv|death|detective inspector|four word title|internal affairs,http://www.imdb.com/title/tt0108967/?ref_=fn_tt_tt_1,English,UK,,,7,1.33
Andrew Bergman,51,117,Rumer Willis,32800000,Striptease ,3016,bouncer|breasts|congressman|private dancer|stripper,http://www.imdb.com/title/tt0117765/?ref_=fn_tt_tt_1,English,USA,40000000,1996,472,1.85
Tom Dey,98,87,Judy Greer,33643461,Marmaduke ,20061,dog|great dane|rivalry|talking animal|talking cat,http://www.imdb.com/title/tt1392197/?ref_=fn_tt_tt_1,English,USA,50000000,2010,2000,2.35
Clint Eastwood,315,129,Jay Mohr,32741596,Hereafter ,14344,death|france|near death experience|tsunami|twin brother,http://www.imdb.com/title/tt1212419/?ref_=fn_tt_tt_1,English,USA,50000000,2010,563,2.35
Barbet Schroeder,136,115,Chris Penn,31874869,Murder by Numbers ,34606,disposing of a dead body|high school student|murder|sociopath|teenage boy,http://www.imdb.com/title/tt0264935/?ref_=fn_tt_tt_1,English,USA,50000000,2002,455,1.85
Richard Donner,61,132,Sylvester Stallone,30306268,Assassins ,58528,assassin|floppy disk|modem|rival|russian,http://www.imdb.com/title/tt0112401/?ref_=fn_tt_tt_1,English,France,50000000,1995,13000,1.85
Peter Webber,209,131,Stephen Walters,27667947,Hannibal Rising ,1344,aunt|cannibalism|faked death|medical student|revenge,http://www.imdb.com/title/tt0367959/?ref_=fn_tt_tt_1,English,UK,50000000,2007,184,2.35
Rob Reiner,99,95,Tim Matheson,27067160,The Story of Us ,14706,four word title|husband wife relationship|male rear nudity|marriage|summer camp,http://www.imdb.com/title/tt0160916/?ref_=fn_tt_tt_1,English,USA,50000000,1999,559,1.85
Andrew Niccol,298,125,Chandler Canterbury,26616999,The Host ,1300,alien|alien creature|body snatching|desert|parasite,http://www.imdb.com/title/tt1517260/?ref_=fn_tt_tt_1,English,USA,40000000,2013,329,2.35
John McTiernan,131,98,Harry Connick Jr.,26536120,Basic ,3357,2000s|army|military crime|necklace yanked off|panama,http://www.imdb.com/title/tt0264395/?ref_=fn_tt_tt_1,English,Germany,50000000,2003,631,2.35
Clint Eastwood,146,110,Anjelica Huston,26199517,Blood Work ,18635,boat|heart transplant|murder|serial killer|sister,http://www.imdb.com/title/tt0309377/?ref_=fn_tt_tt_1,English,USA,50000000,2002,1000,2.35
Tom Tykwer,245,118,Brían F. O'Byrne,25450527,The International ,7654,bank|chase|district attorney|interpol|murder,http://www.imdb.com/title/tt0963178/?ref_=fn_tt_tt_1,English,USA,50000000,2009,450,2.35
John Carpenter,104,101,Valeria Golino,25407250,Escape from L.A. ,15935,escape|island|los angeles california|machismo|president's daughter,http://www.imdb.com/title/tt0116225/?ref_=fn_tt_tt_1,English,USA,50000000,1996,898,2.35
,4,60,Brittany Curran,,Twisted             ,2758,,http://www.imdb.com/title/tt2355844/?ref_=fn_tt_tt_1,English,USA,,,512,16.0
Brad Bird,162,90,Harry Connick Jr.,23159305,The Iron Giant ,16358,boy|friend|government agent|maine|robot,http://www.imdb.com/title/tt0129167/?ref_=fn_tt_tt_1,English,USA,70000000,1999,631,2.35
Wes Anderson,259,119,Anjelica Huston,24006726,The Life Aquatic with Steve Zissou ,15757,expedition|oceanographer|sea|shark|team,http://www.imdb.com/title/tt0362270/?ref_=fn_tt_tt_1,English,USA,50000000,2004,1000,2.35
Gary Ross,79,139,Donald Watkins,20389967,Free State of Jones ,12786,american civil war|civil war|u.s. civil war,http://www.imdb.com/title/tt1124037/?ref_=fn_tt_tt_1,English,USA,50000000,2016,552,1.85
Alan Parker,141,130,Kate Winslet,19593740,The Life of David Gale ,32637,activist|death|death row|murder|texas,http://www.imdb.com/title/tt0289992/?ref_=fn_tt_tt_1,English,USA,50000000,2003,14000,2.35
Stephen Herek,59,100,Vanessa Ferlito,19118247,Man of the House ,6171,cheerleader|cheerleading movie|neo noir|neo western|texas ranger,http://www.imdb.com/title/tt0331933/?ref_=fn_tt_tt_1,English,USA,40000000,2005,923,2.35
Jaume Collet-Serra,236,114,Common,26442251,Run All Night ,16992,death|drug dealer|limousine|limousine driver|one night,http://www.imdb.com/title/tt2199571/?ref_=fn_tt_tt_1,English,USA,50000000,2015,988,2.35
David Cronenberg,356,96,Naomi Watts,17114882,Eastern Promises ,17211,male pubic hair|pubic hair|russian|sex scene|turkish bath,http://www.imdb.com/title/tt0765443/?ref_=fn_tt_tt_1,English,USA,25000000,2007,6000,1.85
John Stockwell,120,110,James Frain,18472363,Into the Blue ,25049,bahamas|blood splatter|cocaine|hairy chest|shark,http://www.imdb.com/title/tt0378109/?ref_=fn_tt_tt_1,English,USA,50000000,2005,1000,2.35
Luc Besson,111,158,David Bailie,14131298,The Messenger: The Story of Joan of Arc ,144,cathedral|dauphin|france|trial|wartime rape,http://www.imdb.com/title/tt0151137/?ref_=fn_tt_tt_1,English,France,390000000,1999,40,2.35
David Gordon Green,208,102,Zooey Deschanel,21557240,Your Highness ,45202,knight|prince|quest|rescue|thong bikini,http://www.imdb.com/title/tt1240982/?ref_=fn_tt_tt_1,English,USA,49900000,2011,11000,2.35
Jim Sheridan,174,84,Gregory Smith,21283440,Dream House ,8018,closet|father daughter relationship|psychiatric hospital|real life sisters playing sisters|train,http://www.imdb.com/title/tt1462041/?ref_=fn_tt_tt_1,English,USA,55000000,2011,694,2.35
Costa-Gavras,59,115,Blythe Danner,10556196,Mad City ,2606,hostage|museum|natural history museum|news reporter|reporter,http://www.imdb.com/title/tt0119592/?ref_=fn_tt_tt_1,English,USA,50000000,1997,713,2.35
Patrick Read Johnson,22,99,Lara Flynn Boyle,16671505,Baby's Day Out ,2949,baby|baby boy|kidnapping|kidnapping a child|taxi,http://www.imdb.com/title/tt0109190/?ref_=fn_tt_tt_1,English,USA,50000000,1994,619,1.85
Roland Joffé,34,135,Robert Duvall,10400000,The Scarlet Letter ,15820,17th century|adultery|letter|pubic hair|swimming,http://www.imdb.com/title/tt0114345/?ref_=fn_tt_tt_1,English,USA,50000000,1995,3000,2.35
Doug Liman,214,108,Ty Burrell,9528092,Fair Game ,10191,bush administration|cia|interview|iraq|new york times,http://www.imdb.com/title/tt0977855/?ref_=fn_tt_tt_1,English,USA,22000000,2010,3000,2.35
,28,43,Tony Curran,,Defiance             ,5381,alien|alien invasion|planet invasion|post apocalypse|year 2046,http://www.imdb.com/title/tt2189221/?ref_=fn_tt_tt_1,English,USA,,,845,1.78
Tony Scott,186,127,Mo'Nique,10137232,Domino ,5702,bounty hunter|fbi|female bounty hunter|female nudity|reality show,http://www.imdb.com/title/tt0421054/?ref_=fn_tt_tt_1,English,France,50000000,2005,940,2.35
William Friedkin,50,107,Chazz Palminteri,9795017,Jade ,5461,blackmail|investigation|murder|panties pulled down|prostitution,http://www.imdb.com/title/tt0113451/?ref_=fn_tt_tt_1,English,USA,50000000,1995,979,1.85
Mark Neveldine,180,95,Logan Lerman,20488579,Gamer ,29926,battle|convict|death|mind control|role playing,http://www.imdb.com/title/tt1034032/?ref_=fn_tt_tt_1,English,USA,50000000,2009,8000,1.85
Richard LaGravenese,231,124,Zoey Deutch,19445217,Beautiful Creatures ,3580,dream|escape|magic|magic spell|small town,http://www.imdb.com/title/tt1559547/?ref_=fn_tt_tt_1,English,USA,60000000,2013,852,2.35
Danny DeVito,105,109,Vincent Schiavelli,8355815,Death to Smoochy ,52885,children|children's tv show|money|revenge|scandal,http://www.imdb.com/title/tt0266452/?ref_=fn_tt_tt_1,English,UK,55000000,2002,811,1.85
Ben Stiller,226,102,Will Ferrell,28837115,Zoolander 2 ,24107,chosen one|fashion|fashion model|model|retired,http://www.imdb.com/title/tt1608290/?ref_=fn_tt_tt_1,English,USA,50000000,2016,8000,2.35
George Armitage,75,88,Andrew Wilson,6471394,The Big Bounce ,11972,breasts|consensual sex|female nudity|judge|surfer,http://www.imdb.com/title/tt0315824/?ref_=fn_tt_tt_1,English,USA,50000000,2004,387,2.35
Mike Nichols,82,87,Linda Fiorentino,6291602,What Planet Are You From? ,3954,alien|baby|banker|pregnancy|question in title,http://www.imdb.com/title/tt0181151/?ref_=fn_tt_tt_1,English,USA,50000000,2000,602,1.85
Patrick Lussier,296,104,Billy Burke,10706786,Drive Angry ,16481,baby|cult|oklahoma|sex scene|waitress,http://www.imdb.com/title/tt1502404/?ref_=fn_tt_tt_1,English,USA,50000000,2011,2000,1.85
Andrzej Bartkowiak,103,96,Robin Shou,8742261,Street Fighter: The Legend of Chun-Li ,1385,chun li|crime fighter|gangster|mobster|rescue,http://www.imdb.com/title/tt0891592/?ref_=fn_tt_tt_1,English,Canada,18000000,2009,342,2.35
James Wong,98,85,Jet Li,43905746,The One ,32831,fight|multiverse|police|police officer|prison,http://www.imdb.com/title/tt0267804/?ref_=fn_tt_tt_1,English,USA,49000000,2001,5000,2.35
,30,64,Graham McTavish,,Outlander             ,1863,based on novel|clan|scotland|scottish highlands|year 1743,http://www.imdb.com/title/tt3006802/?ref_=fn_tt_tt_1,English,USA,,,531,16.0
Renny Harlin,48,104,Gilbert Gottfried,21413502,The Adventures of Ford Fairlane ,2795,detective|groupie|murder|music industry|rock n roll,http://www.imdb.com/title/tt0098987/?ref_=fn_tt_tt_1,English,USA,40000000,1990,560,2.35
Richard Curtis,195,135,Charlie Rowe,7994115,Pirate Radio ,24316,inspired by radio program|inspired by true events|pirate broadcasting|pirate radio|pirate radio station,http://www.imdb.com/title/tt1131729/?ref_=fn_tt_tt_1,English,UK,,2009,882,2.35
Steven Soderbergh,223,190,Jacob Vargas,124107476,Traffic ,1418,cocaine|drug smuggling|interlinked stories|judge|mexico,http://www.imdb.com/title/tt0181865/?ref_=fn_tt_tt_1,English,USA,48000000,2000,399,1.85
Steven Spielberg,149,127,Julian Glover,197171806,Indiana Jones and the Last Crusade ,12884,castle|diary|holy grail|map|nazi,http://www.imdb.com/title/tt0097576/?ref_=fn_tt_tt_1,English,USA,48000000,1989,844,2.35
Joe Wright,324,129,Guro Nagelhus Schia,12802907,Anna Karenina ,2035,dance|infidelity|marriage|russia|russian,http://www.imdb.com/title/tt1781769/?ref_=fn_tt_tt_1,English,UK,,2012,35,2.35
Neill Blomkamp,371,120,Sharlto Copley,31569268,Chappie ,23051,artificial intelligence|consciousness|future|mind uploading|robot,http://www.imdb.com/title/tt1823672/?ref_=fn_tt_tt_1,English,USA,49000000,2015,2000,2.35
Phillip Noyce,75,118,Angelina Jolie Pitt,66488090,The Bone Collector ,29748,new york city|police|quadriplegic|serial killer|suicide,http://www.imdb.com/title/tt0145681/?ref_=fn_tt_tt_1,English,USA,48000000,1999,11000,2.35
David Fincher,233,112,Dwight Yoakam,95308367,Panic Room ,18141,brownstone|burglar|money|panic|panic room,http://www.imdb.com/title/tt0258000/?ref_=fn_tt_tt_1,English,USA,48000000,2002,324,2.35
Chuck Bowman,32,89,Lochlyn Munro,,The Tooth Fairy ,2353,bare breasts|genital dismemberment|mulching someone|tooth fairy|woodchipper,http://www.imdb.com/title/tt0473553/?ref_=fn_tt_tt_1,English,USA,1500000,2006,555,1.78
David O. Russell,150,114,Jamie Kennedy,60652036,Three Kings ,3743,gold|gulf war|iraq|kuwait|map,http://www.imdb.com/title/tt0120188/?ref_=fn_tt_tt_1,English,USA,48000000,1999,490,2.35
Daniel Espinosa,172,137,Fares Fares,1206135,Child 44 ,27666,child murderer|murder|sex|soviet union|woman slaps a man,http://www.imdb.com/title/tt1014763/?ref_=fn_tt_tt_1,English,Czech Republic,50000000,2015,254,2.35
Jerry Zucker,103,112,Douglas Haase,56607223,Rat Race ,1823,casino|locker|money|museum|race,http://www.imdb.com/title/tt0250687/?ref_=fn_tt_tt_1,English,Canada,48000000,2001,629,2.35
Iain Softley,140,120,Jeff Bridges,50173190,K-PAX ,33615,extraterrestrial|hospital|patient|planet|science,http://www.imdb.com/title/tt0272152/?ref_=fn_tt_tt_1,English,USA,48000000,2001,12000,2.35
James Mangold,125,123,Natasha Lyonne,47095453,Kate & Leopold ,22209,bridge|brooklyn bridge|falling down an elevator shaft|time travel|time travel romance,http://www.imdb.com/title/tt0035423/?ref_=fn_tt_tt_1,English,USA,48000000,2001,1000,1.85
Harold Ramis,125,93,Frances O'Connor,37879996,Bedazzled ,5390,contract|devil|dream|soul|wish,http://www.imdb.com/title/tt0230030/?ref_=fn_tt_tt_1,English,USA,48000000,2000,575,2.35
Francis Ford Coppola,36,123,Bob Hoskins,25900000,The Cotton Club ,18793,brothers hugging|jazz|jealousy|nudity|parole violation,http://www.imdb.com/title/tt0087089/?ref_=fn_tt_tt_1,English,USA,58000000,1984,5000,1.85
James Mangold,295,122,Logan Lerman,53574088,3:10 to Yuma ,33548,outlaw|rancher|small western town|stagecoach|train,http://www.imdb.com/title/tt0381849/?ref_=fn_tt_tt_1,English,USA,55000000,2007,8000,2.35
Olivier Megaton,222,115,Dougray Scott,89253340,Taken 3 ,16967,betrayal|death|final showdown|murder|on the run,http://www.imdb.com/title/tt2446042/?ref_=fn_tt_tt_1,English,France,48000000,2014,794,2.35
Steven Soderbergh,158,123,Albert Brooks,37339525,Out of Sight ,3768,heist|neo noir|one last job|opposites attract|u.s. marshal,http://www.imdb.com/title/tt0120780/?ref_=fn_tt_tt_1,English,USA,48000000,1998,745,1.85
Ben Stiller,72,96,Janeane Garofalo,60154431,The Cable Guy ,3718,cable guy|foreplay|friend|kissing|television,http://www.imdb.com/title/tt0115798/?ref_=fn_tt_tt_1,English,USA,47000000,1996,1000,2.35
Deepa Mehta,34,110,Gulshan Grover,528972,Earth ,371,friend|hindu|india|muslim|sikh,http://www.imdb.com/title/tt0150433/?ref_=fn_tt_tt_1,Hindi,India,,1998,102,
Warren Beatty,72,105,Warren Beatty,103738726,Dick Tracy ,2096,crime boss|detective|dick tracy|gangster|orphan,http://www.imdb.com/title/tt0099422/?ref_=fn_tt_tt_1,English,USA,100000000,1990,631,1.85
John McTiernan,152,113,Faye Dunaway,69304264,The Thomas Crown Affair ,4660,art|insurance investigator|martinique|painting|trust,http://www.imdb.com/title/tt0155267/?ref_=fn_tt_tt_1,English,USA,48000000,1999,977,2.35
Penny Marshall,89,132,Adam Garcia,29781453,Riding in Cars with Boys ,4796,boy|college|heroin|working class|writer,http://www.imdb.com/title/tt0200027/?ref_=fn_tt_tt_1,English,USA,48000000,2001,811,1.85
Ted Kotcheff,145,93,Brian Dennehy,,First Blood ,15192,1980s|colonel|deputy|rambo|sheriff,http://www.imdb.com/title/tt0083944/?ref_=fn_tt_tt_1,English,USA,14000000,1982,954,2.35
Andrei Tarkovsky,144,115,Anatoliy Solonitsyn,,Solaris ,95,hallucination|ocean|psychologist|scientist|space station,http://www.imdb.com/title/tt0069293/?ref_=fn_tt_tt_1,Russian,Soviet Union,1000000,1972,29,2.35
Paul Bolger,93,75,George Carlin,15519841,Happily N'Ever After ,6863,apostrophe in title|cinderella|first of series|punctuation in title|three word title,http://www.imdb.com/title/tt0308353/?ref_=fn_tt_tt_1,English,USA,47000000,2006,769,1.85
Stephen Frears,46,108,Bronagh Gallagher,5600000,Mary Reilly ,8349,19th century|butler|housemaid|laboratory|servant,http://www.imdb.com/title/tt0117002/?ref_=fn_tt_tt_1,English,USA,47000000,1996,115,1.85
P.J. Hogan,84,105,Christopher Masterson,126805112,My Best Friend's Wedding ,12344,best friend|chick flick|male female friendship|promise|wedding,http://www.imdb.com/title/tt0119738/?ref_=fn_tt_tt_1,English,USA,46000000,1997,1000,2.35
Joe Roth,142,102,Rainn Wilson,93607673,America's Sweethearts ,9176,actor|love|movie star|press|publicist,http://www.imdb.com/title/tt0265029/?ref_=fn_tt_tt_1,English,USA,48000000,2001,973,2.35
Christopher Nolan,185,118,Maura Tierney,67263182,Insomnia ,15658,detective|insomnia|murder|partner|police,http://www.imdb.com/title/tt0278504/?ref_=fn_tt_tt_1,English,USA,46000000,2002,509,2.35
Jonathan Frakes,143,111,Alfre Woodard,92001027,Star Trek: First Contact ,6315,21st century|borg|borg sphere|captain|sphere,http://www.imdb.com/title/tt0117731/?ref_=fn_tt_tt_1,English,USA,45000000,1996,1000,2.35
Jimmy Hayward,178,81,Billy Blair,10539414,Jonah Hex ,14619,confederate|death|independence day|military|terrorist,http://www.imdb.com/title/tt1075747/?ref_=fn_tt_tt_1,English,USA,47000000,2010,541,2.35
Edward Zwick,65,116,Matt Damon,58918501,Courage Under Fire ,33233,bravery|honor|medal of honor|military life|unreliable flashback,http://www.imdb.com/title/tt0115956/?ref_=fn_tt_tt_1,English,USA,46000000,1996,13000,1.85
Tom Shadyac,73,86,Swoosie Kurtz,181395380,Liar Liar ,2070,birthday|birthday wish|father disappoints child|lie|workaholic,http://www.imdb.com/title/tt0119528/?ref_=fn_tt_tt_1,English,USA,45000000,1997,418,1.85
Brad Furman,72,127,Amy Ryan,14946229,The Infiltrator ,2104,,http://www.imdb.com/title/tt1355631/?ref_=fn_tt_tt_1,English,UK,25000000,2016,423,2.35
Terence Young,10,140,Ben Gazzara,,Inchon ,2704,1950s|douglas macarthur|general|inchon|invasion,http://www.imdb.com/title/tt0084132/?ref_=fn_tt_tt_1,English,South Korea,48000000,1981,623,2.35
Brian Levant,35,91,Elizabeth Perkins,130512915,The Flintstones ,3244,1000000 b.c.|box office hit|lawn mowing|product placement|stone age,http://www.imdb.com/title/tt0109813/?ref_=fn_tt_tt_1,English,USA,45000000,1994,664,1.33
Olivier Megaton,358,98,Luke Grimes,139852971,Taken 2 ,16410,albanian|revenge|revenge motive|teenage daughter|vacation,http://www.imdb.com/title/tt1397280/?ref_=fn_tt_tt_1,English,France,45000000,2012,935,2.35
