director_name,actor_2_name,num_voted_users,cast_total_facebook_likes,actor_3_name,movie_imdb_link,num_user_for_reviews,content_rating,budget,actor_2_facebook_likes,movie_facebook_likes
Claude Chabrol,Nathalie Baye,2591,282,Mélanie Doutey,http://www.imdb.com/title/tt0322289/?ref_=fn_tt_tt_1,36,R,,67,52
Shana Feste,Zoë Kravitz,7394,2163,Cara Seymour,http://www.imdb.com/title/tt1226232/?ref_=fn_tt_tt_1,50,R,6000000,943,0
Wayne Wang,Russell Wong,3024,2430,Ji-hyun Jun,http://www.imdb.com/title/tt1541995/?ref_=fn_tt_tt_1,22,PG-13,6000000,595,0
Joey Lauren Adams,Diane Ladd,2330,1081,Ritchie Montgomery,http://www.imdb.com/title/tt0457308/?ref_=fn_tt_tt_1,29,R,6000000,206,224
Peter Cattaneo,Olivia Williams,1940,2440,Peter McNamara,http://www.imdb.com/title/tt0246134/?ref_=fn_tt_tt_1,34,PG-13,6000000,766,30
Fred Zinnemann,Jane Fonda,6454,15604,Vanessa Redgrave,http://www.imdb.com/title/tt0076245/?ref_=fn_tt_tt_1,44,PG,7840000,949,733
S.R. Bindler,Scott Glenn,7367,14599,Sarah Wright,http://www.imdb.com/title/tt0976247/?ref_=fn_tt_tt_1,37,R,6000000,826,850
Tony Kaye,Pat Buchanan,2143,105,Bill Baird,http://www.imdb.com/title/tt0841119/?ref_=fn_tt_tt_1,29,Unrated,,2,570
Greg Marcks,Barbara Hershey,38273,2200,Shawn Hatosy,http://www.imdb.com/title/tt0331811/?ref_=fn_tt_tt_1,133,R,6000000,618,0
Perry Lang,Kevin Tighe,2989,2152,Tim Guinee,http://www.imdb.com/title/tt0110490/?ref_=fn_tt_tt_1,38,R,8600000,472,176
Jake Goldberger,M. Emmet Walsh,2050,1227,Robert Wahlberg,http://www.imdb.com/title/tt1281374/?ref_=fn_tt_tt_1,17,R,,521,275
Stefan Ruzowitzky,Olivia Wilde,32512,27575,Sissy Spacek,http://www.imdb.com/title/tt1667310/?ref_=fn_tt_tt_1,86,R,12000000,10000,0
Vic Sarin,Aidan Quinn,1696,1940,John Bell,http://www.imdb.com/title/tt1014774/?ref_=fn_tt_tt_1,19,PG,6000000,767,1000
William Kaufman,Sean Cook,10196,3469,Cole Hauser,http://www.imdb.com/title/tt1575694/?ref_=fn_tt_tt_1,39,R,6000000,816,0
,Blake Ritson,10388,2563,Rupert Evans,http://www.imdb.com/title/tt1366312/?ref_=fn_tt_tt_1,50,,,432,0
David Cronenberg,Leslie Carlson,60522,477,Reiner Schwarz,http://www.imdb.com/title/tt0086541/?ref_=fn_tt_tt_1,228,R,5952000,20,0
Cédric Klapisch,Cécile De France,34383,1858,Iddo Goldberg,http://www.imdb.com/title/tt0283900/?ref_=fn_tt_tt_1,149,R,5300000,447,0
Kate Barker-Froyland,Shawn Parsons,6797,12772,Li Jun Li,http://www.imdb.com/title/tt2182972/?ref_=fn_tt_tt_1,21,PG-13,6000000,485,0
Barbet Schroeder,Chris Penn,43575,34605,Agnes Bruckner,http://www.imdb.com/title/tt0264935/?ref_=fn_tt_tt_1,302,R,50000000,455,0
Martin Koolhoven,Tygo Gernandt,9230,219,Martijn Lakemeier,http://www.imdb.com/title/tt0795441/?ref_=fn_tt_tt_1,37,R,4000000,20,0
Charles Matthau,Michael Jai White,6741,6569,Bill Duke,http://www.imdb.com/title/tt0938305/?ref_=fn_tt_tt_1,11,R,6000000,2000,0
John Frankenheimer,Paul Scofield,10119,502,Michel Simon,http://www.imdb.com/title/tt0059825/?ref_=fn_tt_tt_1,124,Unrated,6700000,94,0
Christopher M. Bessette,John Billingsley,748,1443,Trieu Tran,http://www.imdb.com/title/tt1772408/?ref_=fn_tt_tt_1,8,PG-13,,323,543
Prachya Pinkaew,Nathan Jones,30210,2205,Johnny Nguyen,http://www.imdb.com/title/tt0427954/?ref_=fn_tt_tt_1,214,R,200000000,635,0
Gary Sinyor,Frank Finlay,867,1477,Samuel West,http://www.imdb.com/title/tt0120210/?ref_=fn_tt_tt_1,21,R,,338,109
,Belinda Stewart-Wilson,55987,1239,James Buckley,http://www.imdb.com/title/tt1220617/?ref_=fn_tt_tt_1,42,TV-14,,223,0
Gurinder Chadha,Parminder Nagra,89806,2201,Anupam Kher,http://www.imdb.com/title/tt0286499/?ref_=fn_tt_tt_1,438,PG-13,3500159,528,0
John Sayles,Edie Falco,3433,2584,Timothy Hutton,http://www.imdb.com/title/tt0286179/?ref_=fn_tt_tt_1,81,PG-13,5600000,659,160
Preston A. Whitmore II,Wayne Brady,8707,2000,Eva Marcille,http://www.imdb.com/title/tt0473024/?ref_=fn_tt_tt_1,36,PG-13,5600000,378,244
Ashish R. Mohan,Mithun Chakraborty,4633,1065,Johnny Lever,http://www.imdb.com/title/tt2166214/?ref_=fn_tt_tt_1,31,Not Rated,,284,365
Jaume Balagueró,Pablo Rosso,55597,73,Andrea Ros,http://www.imdb.com/title/tt1245112/?ref_=fn_tt_tt_1,148,R,5600000,9,4000
Stewart Raffill,Alexis Biesiada,548,72,Kayla Raparelli,http://www.imdb.com/title/tt1303803/?ref_=fn_tt_tt_1,6,PG,,11,277
George Roy Hill,Robert Shaw,175607,2387,Ray Walston,http://www.imdb.com/title/tt0070735/?ref_=fn_tt_tt_1,252,PG,5500000,559,0
Hugh Hudson,Ben Cross,40511,1651,John Gielgud,http://www.imdb.com/title/tt0082158/?ref_=fn_tt_tt_1,213,PG,5500000,303,0
Darren Grant,Kimberly Elise,10472,2723,Tamara Taylor,http://www.imdb.com/title/tt0422093/?ref_=fn_tt_tt_1,202,PG-13,5500000,637,0
Scott Hicks,Armin Mueller-Stahl,43013,888,Nicholas Bell,http://www.imdb.com/title/tt0117631/?ref_=fn_tt_tt_1,104,PG-13,5500000,294,0
Joseph Gordon-Levitt,Scarlett Johansson,190494,44265,Tony Danza,http://www.imdb.com/title/tt2229499/?ref_=fn_tt_tt_1,314,R,3000000,19000,33000
Clint Eastwood,Richard Bull,36381,17599,John Hillerman,http://www.imdb.com/title/tt0068699/?ref_=fn_tt_tt_1,169,R,5500000,742,0
Terry Zwigoff,Steve Buscemi,96129,34106,T.J. Thyne,http://www.imdb.com/title/tt0162346/?ref_=fn_tt_tt_1,488,R,7000000,12000,5000
Richard Eyre,Jim Broadbent,14786,16768,Kris Marshall,http://www.imdb.com/title/tt0280778/?ref_=fn_tt_tt_1,144,R,5500000,1000,0
William Sachs,Avery Schreiber,1955,396,Angelo Rossitto,http://www.imdb.com/title/tt0080771/?ref_=fn_tt_tt_1,44,R,,110,438
Christophe Barratier,François Berléand,44151,745,Gérard Jugnot,http://www.imdb.com/title/tt0372824/?ref_=fn_tt_tt_1,110,PG-13,5500000,86,0
Émile Gaudreault,Luke Kirby,5548,1033,Claudia Ferri,http://www.imdb.com/title/tt0330602/?ref_=fn_tt_tt_1,67,R,5000000,210,352
James Cox,Louis Lombardi,18792,1315,Franky G,http://www.imdb.com/title/tt0335563/?ref_=fn_tt_tt_1,153,R,5000000,436,1000
Spike Lee,John Savage,59524,2892,Danny Aiello,http://www.imdb.com/title/tt0097216/?ref_=fn_tt_tt_1,418,R,6500000,652,0
James Toback,Eric Stoltz,3754,6776,Joey Lauren Adams,http://www.imdb.com/title/tt0242508/?ref_=fn_tt_tt_1,69,R,5500000,902,113
Aki Kaurismäki,Kati Outinen,15267,391,Jean-Pierre Darroussin,http://www.imdb.com/title/tt1508675/?ref_=fn_tt_tt_1,41,Not Rated,3850000,67,0
Gaspar Noé,Albert Dupontel,87244,118,Jo Prestia,http://www.imdb.com/title/tt0290673/?ref_=fn_tt_tt_1,664,Not Rated,,46,13000
Hitoshi Matsumoto,Hitoshi Matsumoto,1658,81,Shinobu Terajima,http://www.imdb.com/title/tt2914838/?ref_=fn_tt_tt_1,12,Unrated,5500000,17,543
Rakeysh Omprakash Mehra,Steven Mackintosh,70233,1519,Madhavan,http://www.imdb.com/title/tt0405508/?ref_=fn_tt_tt_1,321,Not Rated,,227,0
Collin Schiffli,John Heard,605,2030,David Dastmalchian,http://www.imdb.com/title/tt3297554/?ref_=fn_tt_tt_1,8,,,697,679
George Ratliff,Cree Kelly,3788,561,Mike Eshaq,http://www.imdb.com/title/tt1251743/?ref_=fn_tt_tt_1,31,R,9000000,39,1000
David Wain,Ken Marino,15315,4883,Ron Silver,http://www.imdb.com/title/tt0811106/?ref_=fn_tt_tt_1,117,R,5250000,543,915
Shane Meadows,Paddy Considine,4471,6111,Shane Meadows,http://www.imdb.com/title/tt0202559/?ref_=fn_tt_tt_1,47,R,,680,484
Morten Tyldum,Synnøve Macody Lund,79353,385,Julie R. Ølgaard,http://www.imdb.com/title/tt1614989/?ref_=fn_tt_tt_1,121,R,30300000,52,23000
Jon Wright,Richard Coyle,13227,1832,Bronagh Gallagher,http://www.imdb.com/title/tt1525366/?ref_=fn_tt_tt_1,70,Not Rated,4000000,567,11000
Michael McGowan,Adam Butcher,4976,955,Gordon Pinsent,http://www.imdb.com/title/tt0384488/?ref_=fn_tt_tt_1,52,PG-13,6000000,259,989
Liv Ullmann,Jessica Chastain,2894,631,Colin Farrell,http://www.imdb.com/title/tt2667960/?ref_=fn_tt_tt_1,14,PG-13,5500000,0,0
Jeannot Szwarc,Bill Erwin,21049,454,George Voskovec,http://www.imdb.com/title/tt0081534/?ref_=fn_tt_tt_1,249,PG,5100000,191,0
Rohan Sippy,Bipasha Basu,3266,787,Prateik,http://www.imdb.com/title/tt1618430/?ref_=fn_tt_tt_1,27,R,,282,421
James Wan,Barbara Hershey,109214,2975,Leigh Whannell,http://www.imdb.com/title/tt2226417/?ref_=fn_tt_tt_1,269,PG-13,5000000,618,35000
Darren Lynn Bousman,Tony Nappo,188679,4134,Shawnee Smith,http://www.imdb.com/title/tt0432348/?ref_=fn_tt_tt_1,864,R,4000000,654,0
Dan Trachtenberg,John Gallagher Jr.,126893,14504,Sumalee Montano,http://www.imdb.com/title/tt1179933/?ref_=fn_tt_tt_1,440,PG-13,15000000,338,33000
Jeff Tremaine,Steve-O,67992,1770,Chris Pontius,http://www.imdb.com/title/tt0322802/?ref_=fn_tt_tt_1,327,R,5000000,362,0
David F. Sandberg,Amiah Miller,13523,3344,Gabriel Bateman,http://www.imdb.com/title/tt4786282/?ref_=fn_tt_tt_1,95,PG-13,4900000,509,0
Henry Joost,Sprague Grayden,76828,2371,Christopher Nicholas Smith,http://www.imdb.com/title/tt1778304/?ref_=fn_tt_tt_1,314,R,5000000,438,24000
Stiles White,Shelley Hennig,31915,5056,Daren Kagasoff,http://www.imdb.com/title/tt1204977/?ref_=fn_tt_tt_1,159,PG-13,5000000,707,18000
Chuck Russell,Heather Langenkamp,49820,1584,Jennifer Rubin,http://www.imdb.com/title/tt0093629/?ref_=fn_tt_tt_1,311,X,4500000,449,0
Joel Edgerton,Allison Tolman,79916,3215,Wendell Pierce,http://www.imdb.com/title/tt4178092/?ref_=fn_tt_tt_1,279,R,5000000,562,15000
Eugenio Derbez,Jessica Lindsey,22105,688,Hugo Stiglitz,http://www.imdb.com/title/tt2378281/?ref_=fn_tt_tt_1,81,PG-13,5000000,89,14000
Henry Joost,Brendon Eggertsen,51204,799,Alisha Boe,http://www.imdb.com/title/tt2109184/?ref_=fn_tt_tt_1,247,R,5000000,119,26000
Henry Koster,Jean Simmons,6359,1920,Victor Mature,http://www.imdb.com/title/tt0046247/?ref_=fn_tt_tt_1,69,Unrated,5000000,422,0
Blake Edwards,Herbert Lom,19596,971,Catherine Schell,http://www.imdb.com/title/tt0072081/?ref_=fn_tt_tt_1,73,G,5000000,278,620
Rachel Talalay,Tom Arnold,30765,42002,Yaphet Kotto,http://www.imdb.com/title/tt0101917/?ref_=fn_tt_tt_1,252,R,8500000,618,963
Patty Jenkins,Bruce Dern,105568,11736,Pruitt Taylor Vince,http://www.imdb.com/title/tt0340855/?ref_=fn_tt_tt_1,533,R,4500000,844,0
Richard Fleischer,Robert J. Wilke,22123,799,Paul Lukas,http://www.imdb.com/title/tt0046672/?ref_=fn_tt_tt_1,108,Approved,5000000,53,0
Christopher Landon,Gloria Sandoval,31791,2161,Molly Ephraim,http://www.imdb.com/title/tt2473682/?ref_=fn_tt_tt_1,155,R,5000000,358,10000
David Lynch,Anne Bancroft,161972,13864,Dexter Fletcher,http://www.imdb.com/title/tt0080678/?ref_=fn_tt_tt_1,356,PG,5000000,754,9000
Jean-Marc Vallée,Jennifer Garner,326494,17738,Denis O'Hare,http://www.imdb.com/title/tt0790636/?ref_=fn_tt_tt_1,340,R,5000000,3000,65000
David Gelb,Mark Duplass,28513,11771,Donald Glover,http://www.imdb.com/title/tt2918436/?ref_=fn_tt_tt_1,126,PG-13,3300000,830,0
Christopher Nolan,Thomas Lennon,845580,1997,Jorja Fox,http://www.imdb.com/title/tt0209144/?ref_=fn_tt_tt_1,2067,R,9000000,651,40000
Mike Flanagan,Rory Cochrane,85688,2071,Garrett Ryan,http://www.imdb.com/title/tt2388715/?ref_=fn_tt_tt_1,339,R,5000000,407,23000
Kevin Smith,Jason Mewes,114797,2990,Brian O'Halloran,http://www.imdb.com/title/tt0424345/?ref_=fn_tt_tt_1,472,R,5000000,898,0
Stephen Daldry,Gary Lewis,98354,1122,Jamie Draven,http://www.imdb.com/title/tt0249462/?ref_=fn_tt_tt_1,433,R,5000000,203,0
Nat Faxon,Liam James,115813,8375,Jim Rash,http://www.imdb.com/title/tt1727388/?ref_=fn_tt_tt_1,216,PG-13,5000000,468,22000
George Jackson,Tisha Campbell-Martin,3571,2523,Helen Martin,http://www.imdb.com/title/tt0102065/?ref_=fn_tt_tt_1,11,R,5000000,413,232
George Miller,Jack Thompson,5894,854,Tom Burlinson,http://www.imdb.com/title/tt0084296/?ref_=fn_tt_tt_1,56,PG,3500000,155,0
Maurice Joyce,Constance Shulman,2448,2908,Alice Playten,http://www.imdb.com/title/tt0187819/?ref_=fn_tt_tt_1,18,G,5000000,804,122
Robert Duvall,Todd Allen,11622,428,June Carter Cash,http://www.imdb.com/title/tt0118632/?ref_=fn_tt_tt_1,157,PG-13,5000000,130,1000
Frank Perry,Xander Berkeley,10564,2014,Diana Scarwid,http://www.imdb.com/title/tt0082766/?ref_=fn_tt_tt_1,161,R,5000000,485,0
Jesse Peretz,Adam Scott,74875,15710,Steve Coogan,http://www.imdb.com/title/tt1637706/?ref_=fn_tt_tt_1,115,R,5000000,3000,11000
Stephen Hopkins,Tony Curran,11744,2410,David Kross,http://www.imdb.com/title/tt3499096/?ref_=fn_tt_tt_1,49,PG-13,,845,0
Ice Cube,Monica Calhoun,4345,2868,Chrystale Wilson,http://www.imdb.com/title/tt0119905/?ref_=fn_tt_tt_1,26,R,4500000,597,575
Tim Blake Nelson,Andrew Keegan,17333,3300,John Heard,http://www.imdb.com/title/tt0184791/?ref_=fn_tt_tt_1,153,R,5000000,835,0
John Erick Dowdle,Edwin Hodge,49948,1410,Perdita Weeks,http://www.imdb.com/title/tt2870612/?ref_=fn_tt_tt_1,211,R,5000000,200,14000
Bille Woodruff,Cameron Mills,5975,2840,Sharon Leal,http://www.imdb.com/title/tt2205401/?ref_=fn_tt_tt_1,33,R,5000000,694,0
Kasi Lemmons,Lynn Whitfield,6915,3843,Diahann Carroll,http://www.imdb.com/title/tt0119080/?ref_=fn_tt_tt_1,209,R,6000000,434,599
Richard Glatzer,Hunter Parrish,86077,19673,Seth Gilliam,http://www.imdb.com/title/tt3316960/?ref_=fn_tt_tt_1,195,PG-13,5000000,2000,45000
Michael Curtiz,Peter Ustinov,2498,2112,Jean Simmons,http://www.imdb.com/title/tt0046949/?ref_=fn_tt_tt_1,67,Approved,5000000,440,376
Bruce Malmuth,Lindsay Wagner,12519,14306,Persis Khambatta,http://www.imdb.com/title/tt0082817/?ref_=fn_tt_tt_1,107,R,5000000,970,0
Rob Hedden,Peter Mark Richman,22961,1327,Scott Reeves,http://www.imdb.com/title/tt0097388/?ref_=fn_tt_tt_1,291,R,5000000,120,1000
Joel Zwick,Louis Mandylor,102071,1495,Lainie Kazan,http://www.imdb.com/title/tt0259446/?ref_=fn_tt_tt_1,756,PG,5000000,312,5000
Harmony Korine,Heather Morris,108683,12306,Rachel Korine,http://www.imdb.com/title/tt2101441/?ref_=fn_tt_tt_1,561,R,5000000,892,25000
Joe Chappelle,Kim Darby,20815,1227,Mitchell Ryan,http://www.imdb.com/title/tt0113253/?ref_=fn_tt_tt_1,335,R,5000000,152,0
Alfonso Cuarón,Daniel Giménez Cacho,91377,361,María Aura,http://www.imdb.com/title/tt0245574/?ref_=fn_tt_tt_1,385,R,2000000,43,0
Edgar Wright,Dylan Moran,395921,1686,Rafe Spall,http://www.imdb.com/title/tt0365748/?ref_=fn_tt_tt_1,859,R,4000000,427,19000
Mickey Liddell,Randy Wayne,7904,4856,Haley Bennett,http://www.imdb.com/title/tt1045655/?ref_=fn_tt_tt_1,113,PG-13,5000000,984,562
John Sayles,Clifton James,23202,11400,Miriam Colon,http://www.imdb.com/title/tt0116905/?ref_=fn_tt_tt_1,173,R,5000000,189,0
Dwight H. Little,Kathleen Kinmont,29629,1136,Ellie Cornell,http://www.imdb.com/title/tt0095271/?ref_=fn_tt_tt_1,374,R,5000000,120,0
Fred Walton,Deborah Foreman,10624,1160,Clayton Rohner,http://www.imdb.com/title/tt0090655/?ref_=fn_tt_tt_1,125,R,5000000,190,0
Barry Levinson,Daniel Stern,14995,2943,Ellen Barkin,http://www.imdb.com/title/tt0083833/?ref_=fn_tt_tt_1,87,R,5000000,796,0
Steve Carver,William Sanderson,7973,2383,Robert Beltran,http://www.imdb.com/title/tt0085862/?ref_=fn_tt_tt_1,65,PG,5000000,400,0
Gonzalo López-Gallego,Ryan Robbins,47227,1520,Andrew Airlie,http://www.imdb.com/title/tt1772240/?ref_=fn_tt_tt_1,323,PG-13,5000000,270,0
Christine Jeffs,Mary Lynn Rajskub,61151,2528,Paul Dooley,http://www.imdb.com/title/tt0862846/?ref_=fn_tt_tt_1,134,R,8000000,934,0
John Erick Dowdle,Claire Geare,48675,259,Sahajak Boonthanakit,http://www.imdb.com/title/tt1781922/?ref_=fn_tt_tt_1,214,R,5000000,78,16000
Don Coscarelli,John Amos,15345,23714,Rip Torn,http://www.imdb.com/title/tt0083630/?ref_=fn_tt_tt_1,87,PG,8000000,982,0
King Vidor,George Sanders,2017,1332,Finlay Currie,http://www.imdb.com/title/tt0053290/?ref_=fn_tt_tt_1,33,,5000000,333,270
Michael Tiddes,Mike Epps,9509,2848,Russell Peters,http://www.imdb.com/title/tt4667094/?ref_=fn_tt_tt_1,53,R,5000000,706,11000
Bill Duke,Jenifer Lewis,2326,2269,Wood Harris,http://www.imdb.com/title/tt0795438/?ref_=fn_tt_tt_1,21,PG-13,8000000,578,738
Frank Borzage,Helen Hayes,3519,1284,Adolphe Menjou,http://www.imdb.com/title/tt0022879/?ref_=fn_tt_tt_1,46,Unrated,800000,164,213
Bille Woodruff,Brandy Norwood,1180,3552,Lauren London,http://www.imdb.com/title/tt4871980/?ref_=fn_tt_tt_1,9,R,5000000,509,740
Mamoru Hosoda,Colleen O'Shaughnessey,5164,315,Mona Marshall,http://www.imdb.com/title/tt0259974/?ref_=fn_tt_tt_1,65,PG,5000000,45,207
Brian Dannelly,Patrick Fugit,40274,5668,Eva Amurri Martino,http://www.imdb.com/title/tt0332375/?ref_=fn_tt_tt_1,324,PG-13,5000000,835,0
Denys Arcand,Stéphane Rousseau,24921,253,Marina Hands,http://www.imdb.com/title/tt0338135/?ref_=fn_tt_tt_1,166,R,6000000,28,0
Richard Lester,Denholm Elliott,8930,1199,Nicol Williamson,http://www.imdb.com/title/tt0075147/?ref_=fn_tt_tt_1,90,PG,5000000,249,672
J.S. Cardone,Kerr Smith,7319,3004,Izabella Miko,http://www.imdb.com/title/tt0245120/?ref_=fn_tt_tt_1,131,R,5000000,591,327
Guy Hamilton,Carl Weathers,13587,13591,Franco Nero,http://www.imdb.com/title/tt0077572/?ref_=fn_tt_tt_1,80,PG,5000000,794,729
Jay Levey,Gedde Watanabe,21416,3942,Michael Richards,http://www.imdb.com/title/tt0098546/?ref_=fn_tt_tt_1,198,PG-13,5000000,448,0
