director_name,num_critic_for_reviews,duration,actor_2_name,genres,movie_title,num_voted_users,actor_3_name,facenumber_in_poster,plot_keywords,language,content_rating,budget,aspect_ratio
Tim Burton,230,119,Estella Warren,Action|Adventure|Sci-Fi|Thriller,Planet of the Apes ,177725,Erick Avari,0,astronaut|cage|planet|wilhelm scream|year 2029,English,PG-13,100000000,2.35
James Cameron,210,153,Jenette Goldstein,Action|Sci-Fi,Terminator 2: Judgment Day ,744891,S. Epatha Merkerson,0,future|liquid metal|multiple cameos|sexy woman|time travel,English,R,102000000,2.35
Michael Mann,357,140,Christian Bale,Biography|Crime|Drama|History|Romance,Public Enemies ,230931,Stephen Graham,1,1930s|bank|celebrity criminal|fbi|public enemy number one,English,R,100000000,2.35
Ridley Scott,300,176,Ruby Dee,Biography|Crime|Drama,American Gangster ,324671,RZA,0,death|heroin|popcorn|smuggling|vietnam,English,R,100000000,1.85
James Cameron,94,141,Tia Carrere,Action|Comedy|Thriller,True Lies ,190439,Tom Arnold,0,espionage|secret agent|secret mission|spy|spy film,English,R,115000000,2.35
Tony Scott,267,106,Ramon Rodriguez,Action|Crime|Thriller,The Taking of Pelham 1 2 3 ,149998,Michael Rispoli,1,hijack|hostage|ransom|subway|train,English,R,100000000,2.35
Paul Weitz,180,98,Blythe Danner,Comedy|Romance,Little Fockers ,85531,Teri Polo,10,birthday|critically bashed|male nurse|nurse|suspicion,English,PG-13,100000000,1.85
Adam McKay,265,116,Will Ferrell,Action|Comedy|Crime,The Other Guys ,189806,Derek Jeter,2,capitalist|detective|investigation|new york city|police,English,PG-13,100000000,2.35
Chuck Russell,81,115,James Coburn,Action|Drama|Mystery|Thriller,Eraser ,84424,Roma Maffia,1,assassination attempt|corporate crime|rogue agent|witness|witness protection program,English,R,100000000,2.35
Quentin Tarantino,765,165,Christoph Waltz,Drama|Western,Django Unchained ,955174,Ato Essandoh,1,dynamite|historically inaccurate|ku klux klan|n word|slavery,English,R,100000000,2.35
Gary Trousdale,80,91,Jason Alexander,Animation|Drama|Family|Musical|Romance,The Hunchback of Notre Dame ,102933,Bill Fagerbakke,0,15th century|cathedral|gypsy|paris|victor hugo,English,G,100000000,1.78
Mark Dindal,141,78,Wendie Malick,Adventure|Animation|Comedy|Family|Fantasy,The Emperor's New Groove ,128285,John Fiedler,1,antidote|disney|emperor|first part|llama,English,G,100000000,1.66
Simon West,383,103,Sylvester Stallone,Action|Adventure|Thriller,The Expendables 2 ,246803,Bruce Willis,3,church|hostage|mine|plutonium|revenge,English,R,92000000,2.35
Jon Turteltaub,193,131,Armando Riesco,Action|Adventure|Comedy|Family|Mystery,National Treasure ,255447,Annie Parisse,0,declaration of independence|secret society|treasure|treasure hunt|treasure hunter,English,PG,100000000,2.35
Stefen Fangmeier,170,104,Ed Speleers,Action|Adventure|Family|Fantasy,Eragon ,108076,Gary Lewis,0,dragon|dragon rider|fictional war|sword and fantasy|teenage hero,English,PG,100000000,2.35
Spike Jonze,333,101,Ryan Corr,Adventure|Drama|Family|Fantasy,Where the Wild Things Are ,87677,Max Records,0,based on children's book|creature|igloo|imagination|king,English,PG,100000000,2.35
Joe Wright,256,111,Cara Delevingne,Adventure|Family|Fantasy,Pan ,39956,Nonso Anozie,4,1940s|child hero|fantasy world|orphan|reference to peter pan,English,PG,150000000,2.35
Chris Wedge,203,102,Emma Kenney,Adventure|Animation|Family|Fantasy,Epic ,85833,Troy Evans,2,father daughter relationship|forest|miniature person|shrinking|sword and fantasy,English,PG,100000000,2.35
Florian Henckel von Donnersmarck,321,103,Angelina Jolie Pitt,Action|Romance|Thriller,The Tourist ,176598,Rufus Sewell,0,police surveillance|surveillance van|tailing a suspect|tourist|venice italy,English,PG-13,100000000,2.35
Peter Hyams,174,121,Mark Margolis,Action|Fantasy|Horror|Mystery,End of Days ,89509,Udo Kier,0,atheist|ex cop|female masturbation|female nudity|lucifer,English,R,83000000,2.35
Edward Zwick,166,143,Djimon Hounsou,Adventure|Drama|Thriller,Blood Diamond ,400292,Stephen Collins,0,diamond|elephant|fisherman|rebel|sierra leone,English,R,100000000,2.35
Martin Scorsese,606,240,Matthew McConaughey,Biography|Comedy|Crime|Drama,The Wolf of Wall Street ,780588,Jon Favreau,3,based on true story|fellatio|female rear nudity|sex in an airplane|stockbroker,English,R,100000000,2.35
Joel Schumacher,144,121,Rene Auberjonois,Action|Adventure|Fantasy,Batman Forever ,190786,Debi Mazar,4,love|necktie|partner|rock music|tuxedo,English,PG-13,100000000,1.85
Paul Verhoeven,192,129,Patrick Muldoon,Action|Sci-Fi|War,Starship Troopers ,221521,Seth Gilliam,0,alien|federation|future|military|planet,English,R,105000000,1.85
Tom Tykwer,511,172,Jim Sturgess,Drama|Sci-Fi,Cloud Atlas ,284825,Jim Broadbent,5,composer|future|letter|nonlinear timeline|nursing home,English,R,102000000,2.35
Zack Snyder,188,101,Richard Roxburgh,Action|Adventure|Animation|Family|Fantasy,Legend of the Guardians: The Owls of Ga'Hoole ,65785,Anthony LaPaglia,1,barn owl|escape|owl|ruler|soldier,English,PG,80000000,2.35
Pitof,212,87,Christopher Heyerdahl,Action|Crime|Fantasy|Romance|Thriller,Catwoman ,87451,Alex Borstein,0,based on cult comic book|bechdel test passed|cat|detective|radical transformation,English,PG-13,100000000,2.35
Brett Ratner,245,101,Rufus Sewell,Action|Adventure,Hercules ,115687,Ingrid Bolsø Berdal,0,army|greek mythology|hercules|king|mercenary,English,PG-13,100000000,2.35
Ron Clements,127,95,Martin Short,Adventure|Animation|Family|Sci-Fi,Treasure Planet ,71527,Michael Wincott,0,alien|cyborg|pirate|planet|treasure,English,PG,140000000,1.5
Brad Silberling,167,102,Anna Friel,Adventure|Comedy|Sci-Fi,Land of the Lost ,52029,Bobb'e J. Thompson,1,human versus dinosaur|lizard|primate|time travel|tyrannosaurus rex,English,PG-13,100000000,1.85
Patrick Hughes,320,131,Sylvester Stallone,Action|Adventure|Thriller,The Expendables 3 ,127258,Harrison Ford,15,battle|fight|mission|pg 13 sequel to r rated franchise|rescue,English,PG-13,90000000,2.35
Ericson Core,163,114,Edgar Ramírez,Action|Crime|Sport|Thriller,Point Break ,33953,Delroy Lindo,1,athlete|extreme sports|fbi|fbi agent|heist,English,PG-13,105000000,2.35
Lawrence Guterman,78,94,Traylor Howard,Comedy|Family|Fantasy,Son of the Mask ,40751,Ben Stein,0,baby|cartoon on tv|cartoonist|dog|mask,English,PG,84000000,1.85
Ron Howard,289,122,Benjamin Walker,Action|Adventure|Biography|Drama|History|Thriller,In the Heart of the Sea ,71782,Frank Dillane,0,emaciation|ship|starvation|vomiting|whale,English,PG-13,100000000,1.85
Ron Underwood,66,95,Randy Quaid,Action|Comedy|Sci-Fi,The Adventures of Pluto Nash ,20295,Burt Young,1,casino|future|laser gun|moon|nightclub,English,PG-13,100000000,1.85
Paul Greengrass,266,115,Sean Huze,Action|Drama|Thriller|War,Green Zone ,110364,Igal Naor,1,cia|iraq|iraqi|political military conspiracy|weapon of mass destruction,English,R,100000000,2.35
Steve Martino,208,88,Venus Schultheis,Adventure|Animation|Comedy|Family,The Peanuts Movie ,27918,Bill Melendez,0,dog|girl|imagination|peanuts|red hair,English,G,99000000,1.85
David Mamet,97,110,Felicity Huffman,Drama|Mystery|Thriller,The Spanish Prisoner ,18697,Campbell Scott,0,brother sister relationship|extradition|fbi|japanese tourist|secret,English,PG,10000000,1.85
Stephen Sommers,202,130,Brendan Fraser,Action|Adventure|Fantasy|Thriller,The Mummy Returns ,248045,Patricia Velasquez,5,ancient egypt|bracelet|king|scorpion|son,English,PG-13,98000000,2.35
Martin Scorsese,233,216,Liam Neeson,Crime|Drama,Gangs of New York ,314033,Jim Broadbent,3,butcher|civil war|gangster|new york city|revenge,English,R,100000000,2.35
Yimou Zhang,136,146,Ni Ni,Drama|History|Romance|War,The Flowers of War ,38690,Shigeo Kobayashi,2,abusive stepfather|attempted rape|food shortage|sexual abuse|starving child,Mandarin,R,94000000,2.35
Ash Brannon,154,85,Zooey Deschanel,Animation|Comedy|Family|Sport,Surf's Up ,54077,Jon Heder,0,chicken|competition|island|penguin|surfing,English,PG,100000000,1.85
Frank Oz,169,93,Matthew Broderick,Comedy|Sci-Fi|Thriller,The Stepford Wives ,49739,Roger Bart,1,community|connecticut|fem bot|tv producer|writer,English,PG-13,90000000,1.85
Ridley Scott,200,152,Sam Shepard,Drama|History|War,Black Hawk Down ,292022,Ewen Bremner,0,army|helicopter|somali|somalia|warlord,English,R,92000000,2.35
Jay Roach,255,85,Thomas Middleditch,Comedy,The Campaign ,106790,Katherine LaNasa,0,campaigning|congressman|north carolina|title at the end|u.s. congressman,English,R,95000000,1.85
Luc Besson,173,126,Bruce Willis,Action|Adventure|Sci-Fi,The Fifth Element ,343274,Gary Oldman,2,1910s|alien|artificially created woman|love|taxi driver,English,PG-13,93000000,2.35
Michael Patrick King,221,146,Liza Minnelli,Comedy|Drama|Romance,Sex and the City 2 ,59581,Kristin Davis,4,abu dhabi|box office hit|muslim|nanny|united arab emirates,English,R,100000000,1.85
Bibo Bergeron,82,89,Rosie Perez,Adventure|Animation|Comedy|Family|Romance,The Road to El Dorado ,58300,Elton John,1,adventurer|el dorado|gold|high priest|implied sex,English,PG,95000000,1.85
Steve Martino,233,88,Josh Gad,Adventure|Animation|Comedy|Family,Ice Age: Continental Drift ,145321,Drake,0,acorn|herd|iceberg|ocean|pirate,English,PG,95000000,2.35
Kenneth Branagh,343,105,Derek Jacobi,Drama|Family|Fantasy|Romance,Cinderella ,103737,Lily James,1,dress|duke|fairy godmother|fairy tale|pumpkin,English,PG,95000000,2.35
Peter Jackson,308,135,AJ Michalka,Drama|Fantasy|Thriller,The Lovely Bones ,125109,Tom McCarthy,1,1970s|afterlife|heaven|pedophile|rape,English,PG-13,65000000,2.35
Andrew Stanton,301,100,Stephen Root,Adventure|Animation|Comedy|Family,Finding Nemo ,692482,Brad Garrett,0,great barrier reef|protective father|separation from family|shark|short term memory loss,English,G,94000000,1.85
Peter Jackson,328,192,Billy Boyd,Action|Adventure|Drama|Fantasy,The Lord of the Rings: The Return of the King ,1215718,Bernard Hill,2,battle|epic|king|orc|ring,English,PG-13,94000000,2.35
Peter Jackson,294,172,Orlando Bloom,Action|Adventure|Drama|Fantasy,The Lord of the Rings: The Two Towers ,1100446,Billy Boyd,1,epic|evil wizard|middle earth|ring|wizard,English,PG-13,94000000,2.35
Sergey Bodrov,175,102,Djimon Hounsou,Action|Adventure|Fantasy,Seventh Son ,54501,Olivia Williams,4,apprentice|demon|exorcism|master apprentice relationship|witch,English,PG-13,95000000,2.35
Simon West,199,100,Noah Taylor,Action|Adventure|Fantasy|Thriller,Lara Croft: Tomb Raider ,157016,Chris Barrie,1,illuminati|planetary alignment|time|tomb|tomb raider,English,PG-13,115000000,2.35
Wally Pfister,355,119,Morgan Freeman,Drama|Mystery|Romance|Sci-Fi|Thriller,Transcendence ,172707,Clifton Collins Jr.,1,artificial intelligence|consciousness|power outage|scientist|technology,English,PG-13,100000000,2.35
Joe Johnston,198,92,Trevor Morgan,Action|Adventure|Sci-Fi|Thriller,Jurassic Park III ,219501,Alessandro Nivola,0,dinosaur|island|jurassic park|paleontologist|search,English,PG-13,93000000,1.85
Rupert Wyatt,529,105,David Oyelowo,Action|Drama|Sci-Fi|Thriller,Rise of the Planet of the Apes ,403836,Tyler Labine,0,alzheimer's disease|ape|chimpanzee|fire|when animals attack,English,PG-13,93000000,2.35
Mark Waters,198,107,Tod Fennell,Adventure|Family|Fantasy,The Spiderwick Chronicles ,68935,Joan Plowright,0,actor playing multiple roles|brownie the creature|closing credits sequence|family relationships|magical creature,English,PG,90000000,2.35
John Moore,412,101,Cole Hauser,Action|Thriller,A Good Day to Die Hard ,165618,Megalyn Echikunwoke,2,bomb|cia|courthouse|escape|russian,English,R,92000000,1.85
John Lee Hancock,106,137,Marc Blucas,Drama|History|War|Western,The Alamo ,16832,Jordi Mollà,0,army|dictator|general|texan|texas,English,PG-13,107000000,2.35
Brad Bird,283,115,Craig T. Nelson,Action|Adventure|Animation|Family,The Incredibles ,479166,Lou Romano,0,hero|island|lawsuit|secret|superhero,English,PG,92000000,2.35
Renny Harlin,61,124,Frank Langella,Action|Adventure|Comedy,Cutthroat Island ,21102,Matthew Modine,3,latin|pirate|pirate ship|treasure|treasure map,English,PG-13,98000000,2.35
Chris Columbus,217,118,Rosario Dawson,Adventure|Family|Fantasy,Percy Jackson & the Olympians: The Lightning Thief ,141179,Steve Coogan,0,greek|lightning|lightning bolt|poseidon|teenager,English,PG,95000000,2.35
Barry Sonnenfeld,175,98,Rip Torn,Adventure|Comedy|Family|Mystery|Sci-Fi,Men in Black ,403014,Linda Fiorentino,0,alien|box office hit|flying saucer|laser gun|wisecrack humor,English,PG-13,90000000,1.85
John Lasseter,191,82,John Ratzenberger,Adventure|Animation|Comedy|Family|Fantasy,Toy Story 2 ,385871,Wayne Knight,2,collector|dog|friend|rescue|toy,English,G,90000000,1.85
Tony Scott,316,98,Rosario Dawson,Action|Thriller,Unstoppable ,149947,Ethan Suplee,1,freight train|race against time|runaway train|train|train engineer,English,PG-13,100000000,2.35
Brett Ratner,127,90,John Lone,Action|Comedy|Crime|Thriller,Rush Hour 2 ,160440,Harris Yulin,2,boat|gang|hong kong|triad|vacation,English,PG-13,90000000,2.35
Robert Zemeckis,185,130,Amber Valletta,Drama|Fantasy|Horror|Mystery|Thriller,What Lies Beneath ,98403,Miranda Otto,0,ghost|haunted house|research|secret|vermont,English,PG-13,100000000,2.35
Phil Lord,191,90,Bobb'e J. Thompson,Animation|Comedy|Family|Sci-Fi,Cloudy with a Chance of Meatballs ,152601,Al Roker,1,food|giant food|mayor|sardine|weather,English,PG,100000000,2.35
Carlos Saldanha,188,94,Maile Flanagan,Action|Adventure|Animation|Comedy|Family,Ice Age: Dawn of the Dinosaurs ,166791,Kelly Keaton,0,egg|lost world|rescue|squirrel|weasel,English,PG,90000000,1.85
Ben Stiller,362,114,Adrian Martinez,Adventure|Comedy|Drama|Fantasy|Romance,The Secret Life of Walter Mitty ,236421,Joey Slotnick,1,daydream|life magazine|magazine|photographer|snow leopard,English,PG,90000000,2.35
McG,181,94,LL Cool J,Action|Adventure|Comedy|Crime|Thriller,Charlie's Angels ,145350,Kelly Lynch,0,booty shake|box office hit|duct tape over mouth|first part|martial arts,English,PG-13,92000000,2.35
Martin Scorsese,352,151,Matt Damon,Crime|Drama|Thriller,The Departed ,873649,Ray Winstone,0,boston|mole|police|undercover|undercover cop,English,R,90000000,2.35
Tony Bancroft,143,88,Harvey Fierstein,Adventure|Animation|Family|Fantasy|Musical|War,Mulan ,171792,June Foray,0,based on poem|based on true story|china|one word title|the huns,English,G,90000000,1.66
Ben Stiller,308,121,Steve Coogan,Action|Comedy,Tropic Thunder ,307539,Brandon T. Jackson,3,film director|parody|spoof|vietnam|written and directed by cast member,English,R,92000000,2.35
David Fincher,517,158,Goran Visnjic,Crime|Drama|Mystery|Thriller,The Girl with the Dragon Tattoo ,330152,Joely Richardson,1,computer hacker|hacker|investigation|journalist|punk,English,R,90000000,2.35
John McTiernan,148,128,Aldis Hodge,Action|Adventure|Thriller,Die Hard with a Vengeance ,299258,Kevin Chamberlin,1,bomb|detective|new york city|police|terrorist,English,R,90000000,2.35
Guy Ritchie,415,128,Eddie Marsan,Action|Adventure|Crime|Mystery|Thriller,Sherlock Holmes ,477300,Robert Maillet,3,black magic|bridge construction|professor moriarty|scotland yard inspector|sherlock holmes,English,PG-13,90000000,1.85
Timur Bekmambetov,1,141,Ayelet Zurer,Adventure|Drama|History,Ben-Hur ,57,Moises Arias,2,,English,PG-13,,2.35
Gary Trousdale,146,95,Jim Varney,Action|Adventure|Animation|Family|Fantasy|Sci-Fi,Atlantis: The Lost Empire ,72591,Cree Summer,0,atlantis|crew|expedition|journal|museum,English,PG,120000000,2.35
Walt Becker,70,92,Joshua Mikel,Adventure|Animation|Comedy|Family|Fantasy|Music,Alvin and the Chipmunks: The Road Chip ,9418,Jesse McCartney,0,chipmunk|highway travel|on the road|plane|road movie,English,PG,90000000,1.85
Bryan Singer,269,121,Tom Wilkinson,Drama|History|Thriller|War,Valkyrie ,183247,Thomas Kretschmann,0,american actor playing foreigner|assassination|conspiracy|military|nazis,English,PG-13,75000000,1.85
Dennis Dugan,198,113,Sayed Badreya,Action|Comedy,You Don't Mess with the Zohan ,156348,Kevin Nealon,0,hair stylist|jew|landlord|muslim|palestinian,English,PG-13,90000000,1.85
Chris Columbus,253,106,Adam Sandler,Action|Animation|Comedy|Sci-Fi,Pixels ,89770,Josh Gad,0,alien|arcade game|chase|driving in reverse|video gamer,English,PG-13,88000000,2.35
Steven Spielberg,281,146,William Hurt,Adventure|Drama|Sci-Fi,A.I. Artificial Intelligence ,238747,Kevin Sussman,0,affection|boy|fairy|future|robot,English,PG-13,100000000,1.85
Rob Minkoff,122,88,Rachael Harris,Comedy|Family|Fantasy|Horror|Mystery,The Haunted Mansion ,32049,Marc John Jefferies,0,arachnophobia|crystal ball|ghost|haunted house|thunderstorm,English,PG,90000000,2.35
Robert Zemeckis,159,150,Tom Skerritt,Drama|Mystery|Sci-Fi|Thriller,Contact ,200556,Larry King,2,message from outer space|religion|religion versus science|scientist|universe,English,PG,90000000,2.35
Paul Verhoeven,180,119,Kim Dickens,Action|Horror|Sci-Fi|Thriller,Hollow Man ,101834,Joey Slotnick,0,experiment|research|scientist|suburb|surrealism,English,R,95000000,1.85
Sydney Pollack,227,128,George Harris,Crime|Mystery|Thriller,The Interpreter ,86152,Michael Wright,1,african|assassination|dialect|interpreter|threat,Aboriginal,PG-13,80000000,2.35
Thor Freudenthal,183,106,Leven Rambin,Adventure|Family|Fantasy,Percy Jackson: Sea of Monsters ,86627,Brandon T. Jackson,0,golden fleece|half brother|magical tree|sea|tree,English,PG,90000000,2.35
Jan de Bont,157,117,Angelina Jolie Pitt,Action|Adventure|Fantasy,Lara Croft Tomb Raider: The Cradle of Life ,102747,Djimon Hounsou,1,duology|female hero|female lead|orb|pandora's box,English,PG-13,95000000,2.35
Jon M. Chu,196,129,Morgan Freeman,Action|Adventure|Comedy|Crime|Mystery|Thriller,Now You See Me 2 ,40862,Sanaa Lathan,6,card trick|london england|magician|rain machine|rooftop,English,PG-13,90000000,2.35
Phillip Noyce,64,116,Michael Byrne,Action|Adventure|Romance|Sci-Fi|Thriller,The Saint ,52136,Velibor Topic,0,cold fusion|disguise|energy|fusion|the saint,English,PG-13,68000000,2.35
Tony Scott,142,114,Stephen Dillane,Action|Crime|Thriller,Spy Game ,121259,Catherine McCormack,2,china|cia|cold war|friendship|retirement,English,R,92000000,2.35
Brian De Palma,181,114,Connie Nielsen,Adventure|Sci-Fi|Thriller,Mission to Mars ,60467,Kim Delaney,0,astronaut|mars|mars the planet|outer space|zero gravity,English,PG,90000000,2.35
Carlos Saldanha,240,96,Wanda Sykes,Adventure|Animation|Comedy|Family|Musical,Rio ,165333,Will.i.am,0,bird|brazilian|cockatoo|macaw|minnesota,English,G,90000000,2.35
Chris Columbus,93,132,Oliver Platt,Comedy|Drama|Sci-Fi,Bicentennial Man ,87785,John Michael Higgins,0,23rd century|android|artificial intelligence|dual role|robot,English,PG,100000000,1.85
Mick Jackson,84,104,Anne Heche,Action|Drama|Sci-Fi|Thriller,Volcano ,58227,Gaby Hoffmann,0,earthquake|fire|lava|rescue|volcano,English,PG-13,90000000,1.85
Alan J. Pakula,66,111,Brad Pitt,Action|Crime|Drama|Thriller,The Devil's Own ,45602,Natascha McElhone,0,friendship|murder|northern ireland|police officer|terrorist,English,R,86000000,2.35
Kathryn Bigelow,136,138,Christian Camargo,Drama|History|Thriller|War,K-19: The Widowmaker ,49311,Lex Shrapnel,1,courage|radiation sickness|radioactive contamination|sea|test launch,English,PG-13,100000000,2.35
Josh Trank,369,100,Reg E. Cathey,Action|Adventure|Sci-Fi,Fantastic Four ,110486,Tim Heidecker,3,box office flop|critically bashed|portal|teleportation|troubled production,English,PG-13,120000000,2.35
