director_facebook_likes,actor_3_facebook_likes,actor_2_name,gross,genres,actor_1_name,movie_title,num_voted_users,actor_3_name,facenumber_in_poster,movie_imdb_link,language,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
62,518,Beau Bridges,5100000,Comedy|Drama|Romance,Joely Richardson,The Hotel New Hampshire ,6595,Nastassja Kinski,0,http://www.imdb.com/title/tt0087428/?ref_=fn_tt_tt_1,English,552,6.0,1.85,345
248,147,Chi McBride,10460089,Crime|Drama|Mystery|Thriller,Jason Patric,Narc ,34098,Alan Van Sprang,1,http://www.imdb.com/title/tt0272207/?ref_=fn_tt_tt_1,English,466,7.2,1.85,1000
329,280,Paul Gross,4239767,Comedy|Drama|Romance|Sport,Molly Parker,Men with Brooms ,3709,Kari Matchett,3,http://www.imdb.com/title/tt0263734/?ref_=fn_tt_tt_1,English,329,6.0,1.85,0
18,742,Jenny McCarthy,4131640,Comedy|Crime,Ivana Milicevic,Witless Protection ,5463,Richard Bull,2,http://www.imdb.com/title/tt1001562/?ref_=fn_tt_tt_1,English,749,3.1,1.85,140
0,249,Brenda Strong,3347439,Drama|Romance,Eric Johnson,The Work and the Glory ,833,Tiffany Dupont,1,http://www.imdb.com/title/tt0410454/?ref_=fn_tt_tt_1,English,266,6.9,,31
406,968,Mila Kunis,10814185,Comedy|Crime|Romance,J.K. Simmons,Extract ,37530,Clifton Collins Jr.,6,http://www.imdb.com/title/tt1225822/?ref_=fn_tt_tt_1,English,15000,6.2,1.85,0
119,844,Cheech Marin,533344,Comedy|Drama|Music,Jeff Bridges,Masked and Anonymous ,3972,Bruce Dern,0,http://www.imdb.com/title/tt0319829/?ref_=fn_tt_tt_1,English,844,5.5,1.85,655
27,59,Edouard Baer,206400,Comedy|Crime|Drama|Romance|Thriller,Sandrine Kiberlain,Alias Betty ,1439,Roschdy Zem,0,http://www.imdb.com/title/tt0269329/?ref_=fn_tt_tt_1,French,59,6.9,,26
187,158,Om Puri,197148,Drama|Romance|Sci-Fi|Thriller,Samantha Morton,Code 46 ,18109,Natalie Mendoza,0,http://www.imdb.com/title/tt0345061/?ref_=fn_tt_tt_1,English,163,6.3,2.35,0
22,447,Jenny Agutter,,Comedy,Bob Hoskins,Outside Bet ,243,Vincent Regan,3,http://www.imdb.com/title/tt1772422/?ref_=fn_tt_tt_1,English,659,4.8,,223
549,911,Loretta Devine,54557348,Crime|Drama|Thriller,Don Cheadle,Crash ,361169,Jennifer Esposito,0,http://www.imdb.com/title/tt0375679/?ref_=fn_tt_tt_1,English,912,7.9,2.35,18000
127,373,Michael McElhatton,3014541,Drama,Mia Wasikowska,Albert Nobbs ,19616,Mark Williams,3,http://www.imdb.com/title/tt1602098/?ref_=fn_tt_tt_1,English,415,6.7,2.35,0
20,36,Nathin Butler,,Action|Crime|Drama|Thriller,Akon,Black November ,385,Razaaq Adoti,3,http://www.imdb.com/title/tt2147225/?ref_=fn_tt_tt_1,English,65,5.6,,389
5,60,Mary Goggin,872643,Comedy|Family|Romance,Saif Ali Khan,Ta Ra Rum Pum ,2909,Vic Aviles,3,http://www.imdb.com/title/tt0833553/?ref_=fn_tt_tt_1,Hindi,249,5.4,,108
10,106,Gena Rowlands,4443403,Animation|Biography|Drama|War,Catherine Deneuve,Persepolis ,70194,Danielle Darrieux,0,http://www.imdb.com/title/tt0808417/?ref_=fn_tt_tt_1,French,545,8.0,1.85,14000
287,664,Teri Polo,,Adventure|Fantasy|Thriller,Bruce Dern,The Hole ,19157,Haley Bennett,2,http://www.imdb.com/title/tt1085779/?ref_=fn_tt_tt_1,English,708,5.7,1.85,0
23,93,Elyas M'Barek,,Drama|Thriller,Max Riemelt,The Wave ,80639,Jennifer Ulrich,0,http://www.imdb.com/title/tt1063669/?ref_=fn_tt_tt_1,German,150,7.6,2.35,25000
0,500,Bella Heathcote,1330827,Horror|Thriller,Keanu Reeves,The Neon Demon ,9866,Charles Baker,2,http://www.imdb.com/title/tt1974419/?ref_=fn_tt_tt_1,English,860,7.0,2.35,0
12,641,Jack O'Connell,1818681,Action|Crime|Drama|Thriller,Joseph Gilgun,Harry Brown ,74435,Sean Harris,1,http://www.imdb.com/title/tt1289406/?ref_=fn_tt_tt_1,English,698,7.2,2.35,0
0,4000,James Franco,336530303,Action|Adventure|Romance,J.K. Simmons,Spider-Man 3 ,383071,Kirsten Dunst,0,http://www.imdb.com/title/tt0413300/?ref_=fn_tt_tt_1,English,11000,6.2,2.35,0
0,440,William Hootkins,12610552,Action|Adventure|Fantasy|Sci-Fi|Thriller,George Coe,The Omega Code ,4682,Ayla Kell,0,http://www.imdb.com/title/tt0203408/?ref_=fn_tt_tt_1,English,488,3.5,1.37,129
655,973,Jennifer Garner,143492840,Comedy|Drama|Romance,J.K. Simmons,Juno ,414335,Rainn Wilson,0,http://www.imdb.com/title/tt0467406/?ref_=fn_tt_tt_1,English,3000,7.5,1.85,10000
249,96,Aki Aleong,,Action|Thriller,Darren Shahlavi,Pound of Flesh ,4099,Brahim Achabbakhe,0,http://www.imdb.com/title/tt3488328/?ref_=fn_tt_tt_1,English,284,5.1,1.85,0
82,175,Lois Maxwell,43800000,Action|Adventure|Thriller,Desmond Llewelyn,Diamonds Are Forever ,74249,Jill St. John,2,http://www.imdb.com/title/tt0066995/?ref_=fn_tt_tt_1,English,177,6.7,2.35,0
0,3000,Marlon Brando,134821952,Crime|Drama,Al Pacino,The Godfather ,1155770,Robert Duvall,1,http://www.imdb.com/title/tt0068646/?ref_=fn_tt_tt_1,English,10000,9.2,1.85,43000
213,92,Cynthia Rhodes,94900000,Drama|Music|Romance,Michael Nouri,Flashdance ,35172,Lee Ving,0,http://www.imdb.com/title/tt0085549/?ref_=fn_tt_tt_1,English,174,6.1,1.85,0
464,11000,Chloë Grace Moretz,32391374,Comedy|Drama|Romance,Joseph Gordon-Levitt,500 Days of Summer ,376600,Zooey Deschanel,43,http://www.imdb.com/title/tt1022603/?ref_=fn_tt_tt_1,English,17000,7.7,2.35,40000
319,11,Ian Mune,40158000,Drama|Music|Romance,Holly Hunter,The Piano ,63931,Geneviève Lemon,1,http://www.imdb.com/title/tt0107822/?ref_=fn_tt_tt_1,English,18,7.6,1.85,0
0,11000,Alex Pettyfer,113709992,Comedy|Drama,Channing Tatum,Magic Mike ,108843,Matthew McConaughey,1,http://www.imdb.com/title/tt1915581/?ref_=fn_tt_tt_1,English,15000,6.1,2.35,54000
474,82,Emma Caulfield,32131483,Horror|Mystery|Thriller,Sullivan Stapleton,Darkness Falls ,25870,Angus Sampson,0,http://www.imdb.com/title/tt0282209/?ref_=fn_tt_tt_1,English,970,4.9,2.35,2000
82,189,Geoffrey Holder,35400000,Action|Adventure|Thriller,Yaphet Kotto,Live and Let Die ,74957,Clifton James,3,http://www.imdb.com/title/tt0070328/?ref_=fn_tt_tt_1,English,547,6.8,1.66,0
13,430,Frankie Muniz,34099640,Drama|Family|Sport,Clint Howard,My Dog Skip ,16651,Cody Linley,0,http://www.imdb.com/title/tt0156812/?ref_=fn_tt_tt_1,English,934,7.0,1.37,0
20,61,Sakina Jaffrey,31973840,Comedy|Drama|Romance,Ryan Reynolds,"Definitely, Maybe ",127760,Paulina Gerzon,5,http://www.imdb.com/title/tt0832266/?ref_=fn_tt_tt_1,English,109,7.2,2.35,0
70,826,Loretta Devine,37295394,Comedy|Drama,Gary Dourdan,Jumping the Broom ,7973,Laz Alonso,8,http://www.imdb.com/title/tt1640484/?ref_=fn_tt_tt_1,English,912,5.7,1.85,0
1000,76,Elizabeth Debicki,144812796,Drama|Romance,Leonardo DiCaprio,The Great Gatsby ,362933,Steve Bisley,4,http://www.imdb.com/title/tt1343092/?ref_=fn_tt_tt_1,English,509,7.3,2.35,115000
0,566,Tate Donovan,31501218,Biography|Drama|History,Robert Downey Jr.,"Good Night, and Good Luck. ",84070,Alex Borstein,0,http://www.imdb.com/title/tt0433383/?ref_=fn_tt_tt_1,English,650,7.5,1.85,0
152,27,Michael J. Burg,28747570,Biography|Crime|Drama,Philip Seymour Hoffman,Capote ,100571,Kwesi Ameyaw,1,http://www.imdb.com/title/tt0379725/?ref_=fn_tt_tt_1,English,68,7.4,2.35,0
0,4000,Steve Buscemi,25625110,Action|Crime|Thriller,Quentin Tarantino,Desperado ,138707,Salma Hayek,0,http://www.imdb.com/title/tt0112851/?ref_=fn_tt_tt_1,English,12000,7.2,1.85,0
187,887,Sarah Polley,403932,Drama|Romance|Western,Milla Jovovich,The Claim ,5254,Shirley Henderson,4,http://www.imdb.com/title/tt0218378/?ref_=fn_tt_tt_1,English,900,6.5,2.35,141
,1000,Adam Goldberg,,Crime|Drama|Thriller,Kirsten Dunst,Fargo             ,170055,Oliver Platt,0,http://www.imdb.com/title/tt2802850/?ref_=fn_tt_tt_1,English,1000,9.0,1.78,61000
23,440,Jenny Agutter,25000000,Action|Adventure|Sci-Fi,Farrah Fawcett,Logan's Run ,39847,Peter Ustinov,1,http://www.imdb.com/title/tt0074812/?ref_=fn_tt_tt_1,English,659,6.8,2.35,0
82,244,Hervé Villechaize,21000000,Action|Adventure|Thriller,Christopher Lee,The Man with the Golden Gun ,73950,Desmond Llewelyn,3,http://www.imdb.com/title/tt0071807/?ref_=fn_tt_tt_1,English,387,6.8,1.66,2000
22,794,Vanity,20257000,Action|Comedy|Crime|Thriller,Bill Duke,Action Jackson ,7569,Carl Weathers,2,http://www.imdb.com/title/tt0094612/?ref_=fn_tt_tt_1,English,841,5.2,1.85,978
197,159,Shauna Macdonald,26005908,Adventure|Horror|Thriller,MyAnna Buring,The Descent ,154938,Craig Conway,0,http://www.imdb.com/title/tt0435625/?ref_=fn_tt_tt_1,English,239,7.2,2.35,10000
0,69,Michael Jordan,18642318,Documentary|Sport,Bill Murray,Michael Jordan to the Max ,1723,Bob Costas,0,http://www.imdb.com/title/tt0245280/?ref_=fn_tt_tt_1,English,366,7.5,1.44,407
14,270,Allison Miller,15818967,Horror|Mystery,Zach Gilford,Devil's Due ,13913,Vanessa Ray,0,http://www.imdb.com/title/tt2752758/?ref_=fn_tt_tt_1,English,479,4.0,1.85,0
737,380,Mary Tyler Moore,14891000,Comedy,Lily Tomlin,Flirting with Disaster ,15088,David Patrick Kelly,3,http://www.imdb.com/title/tt0116324/?ref_=fn_tt_tt_1,English,524,6.8,1.85,824
0,597,Ken Foree,16901126,Crime|Horror,Sid Haig,The Devil's Rejects ,76267,Lew Temple,0,http://www.imdb.com/title/tt0395584/?ref_=fn_tt_tt_1,English,649,6.9,1.85,0
,970,Alyson Hannigan,,Action|Drama|Fantasy|Romance,Sarah Michelle Gellar,Buffy the Vampire Slayer             ,101902,Emma Caulfield,0,http://www.imdb.com/title/tt0118276/?ref_=fn_tt_tt_1,English,3000,8.2,1.33,6000
44,190,Rick Fox,17474107,Comedy|Crime|Drama,Kimberly Elise,Dope ,56605,Kiersey Clemons,3,http://www.imdb.com/title/tt3850214/?ref_=fn_tt_tt_1,English,256,7.3,2.35,23000
48,826,Omar Epps,14003141,Crime|Drama|Thriller,LL Cool J,In Too Deep ,4598,Nia Long,1,http://www.imdb.com/title/tt0160401/?ref_=fn_tt_tt_1,English,865,6.1,2.35,375
0,393,Helen McCrory,304360277,Action|Adventure|Thriller,Albert Finney,Skyfall ,522048,Rory Kinnear,0,http://www.imdb.com/title/tt1074638/?ref_=fn_tt_tt_1,English,563,7.8,2.35,80000
0,303,Matthew McGrory,12583510,Horror,Sid Haig,House of 1000 Corpses ,60709,Erin Daniels,0,http://www.imdb.com/title/tt0251736/?ref_=fn_tt_tt_1,English,340,6.0,1.85,0
0,23,Elizabeth MacRae,,Horror,Bernard Fox,Alien Zone ,440,Charles Aidman,0,http://www.imdb.com/title/tt0072626/?ref_=fn_tt_tt_1,English,29,4.1,,44
1000,98,Fred Melamed,9190525,Comedy|Drama,Michael Stuhlbarg,A Serious Man ,102125,Peter Breitmayer,1,http://www.imdb.com/title/tt1019452/?ref_=fn_tt_tt_1,English,105,7.0,1.85,10000
11,970,Robert Duvall,9176553,Drama|Mystery,Bill Murray,Get Low ,19147,Bill Cobbs,1,http://www.imdb.com/title/tt1194263/?ref_=fn_tt_tt_1,English,3000,7.1,2.35,0
49,304,Richard E. Grant,9094451,Action|Fantasy|Horror|Thriller,Julian Sands,Warlock ,11668,Lori Singer,0,http://www.imdb.com/title/tt0098622/?ref_=fn_tt_tt_1,English,554,6.2,1.85,0
107,658,Nate Parker,14612840,Drama|Music,Minnie Driver,Beyond the Lights ,11191,Darryl Stephens,1,http://www.imdb.com/title/tt3125324/?ref_=fn_tt_tt_1,English,664,6.9,,0
192,292,Teddy Sears,9166863,Drama|Romance,Colin Firth,A Single Man ,83182,Keri Lynn Pratt,2,http://www.imdb.com/title/tt1315981/?ref_=fn_tt_tt_1,English,343,7.6,2.35,16000
17000,159,Barbara Hershey,8373585,Drama,Irvin Kershner,The Last Temptation of Christ ,39680,Roberts Blossom,0,http://www.imdb.com/title/tt0095497/?ref_=fn_tt_tt_1,English,618,7.6,1.85,0
30,407,George Wendt,7292175,Comedy|Drama|Romance,Jonathan Brandis,Outside Providence ,7736,Shawn Hatosy,3,http://www.imdb.com/title/tt0125971/?ref_=fn_tt_tt_1,English,412,6.4,1.85,0
98,397,Martin Henderson,6601079,Comedy|Drama|Musical|Romance,Indira Varma,Bride & Prejudice ,17436,Anupam Kher,1,http://www.imdb.com/title/tt0361411/?ref_=fn_tt_tt_1,English,579,6.2,2.35,0
176,46,David Gulpilil,6165429,Adventure|Biography|Drama|History,Roy Billing,Rabbit-Proof Fence ,23486,Deborah Mailman,1,http://www.imdb.com/title/tt0252444/?ref_=fn_tt_tt_1,Aboriginal,93,7.5,2.35,0
70,442,Faizon Love,5694308,Comedy|Sport,Jeffrey Jones,Who's Your Caddy? ,13815,Lil' Wayne,0,http://www.imdb.com/title/tt0785077/?ref_=fn_tt_tt_1,English,585,2.0,1.85,446
6,38,Alun Armstrong,5430822,Action|Crime|Horror|Sci-Fi|Thriller,Michael J. Pollard,Split Second ,8391,Alastair Duncan,0,http://www.imdb.com/title/tt0105459/?ref_=fn_tt_tt_1,English,192,6.2,1.85,0
,346,Xander Berkeley,,Action|Crime|Drama|Thriller,Melinda Clarke,Nikita             ,42402,Aaron Stanford,1,http://www.imdb.com/title/tt1592154/?ref_=fn_tt_tt_1,English,485,7.7,16.0,0
7,35,Nathaniel Lees,4720371,Adventure|Biography|Drama,Anne Hathaway,The Other Side of Heaven ,3203,Miriama Smith,2,http://www.imdb.com/title/tt0250371/?ref_=fn_tt_tt_1,English,43,6.5,1.85,650
,652,Ashley Scott,,Action|Drama|Mystery|Sci-Fi,Jensen Ackles,Dark Angel             ,25329,John Savage,1,http://www.imdb.com/title/tt0204993/?ref_=fn_tt_tt_1,English,794,7.4,1.33,0
147,397,Preity Zinta,2921738,Drama|Musical|Romance,Shah Rukh Khan,Veer-Zaara ,34449,Anupam Kher,0,http://www.imdb.com/title/tt0420332/?ref_=fn_tt_tt_1,Hindi,860,7.9,2.35,2000
342,501,Randy Couture,2344847,Drama|Sport,Alice Braga,Redbelt ,18561,Jose Pablo Cantillo,0,http://www.imdb.com/title/tt1012804/?ref_=fn_tt_tt_1,English,518,6.8,2.35,0
157,224,Tim Guinee,7455447,Comedy|Drama|Romance,Matt Walsh,Cyrus ,29967,Katie Aselton,2,http://www.imdb.com/title/tt1336617/?ref_=fn_tt_tt_1,English,259,6.3,1.85,0
0,359,Cheryl Ladd,2148212,Drama|Family,Bruce McGill,A Dog of Flanders ,781,Jack Warden,0,http://www.imdb.com/title/tt0160216/?ref_=fn_tt_tt_1,English,476,6.3,1.85,157
261,617,Michael McKean,2062066,Biography|Crime|Drama,Ed Begley Jr.,Auto Focus ,11387,Kurt Fuller,3,http://www.imdb.com/title/tt0298744/?ref_=fn_tt_tt_1,English,658,6.6,1.85,357
60,628,Jimmy Fallon,1654367,Biography|Drama,Hayden Christensen,Factory Girl ,18355,Beth Grant,0,http://www.imdb.com/title/tt0432402/?ref_=fn_tt_tt_1,English,787,6.4,1.85,3000
159,77,Siobhan Fallon Hogan,1738692,Drama|Thriller,Ezra Miller,We Need to Talk About Kevin ,95529,Ashley Gerasimovich,0,http://www.imdb.com/title/tt1242460/?ref_=fn_tt_tt_1,English,294,7.5,2.35,38000
0,149,Hans Matheson,2209479,Drama|Family,Samantha Barks,The Christmas Candle ,844,Lesley Manville,0,http://www.imdb.com/title/tt2739338/?ref_=fn_tt_tt_1,English,627,5.8,,962
2,455,Marley Shelton,1889522,Drama|Sport,Ellen Burstyn,The Mighty Macs ,1119,Jennifer Butler,2,http://www.imdb.com/title/tt1034324/?ref_=fn_tt_tt_1,English,690,6.5,2.35,797
161,172,Shelley Long,,Comedy|Drama|Family,Tom Cruise,Losin' It ,3114,Rick Rossovich,0,http://www.imdb.com/title/tt0085868/?ref_=fn_tt_tt_1,English,422,4.8,,168
127,798,Jimmy Smits,1110286,Drama|Romance,Naomi Watts,Mother and Child ,9727,Carla Gallo,6,http://www.imdb.com/title/tt1121977/?ref_=fn_tt_tt_1,English,941,7.2,2.35,0
6,375,Terence Hill,1000000,Adventure|Drama|Romance|War,Catherine Deneuve,March or Die ,2215,Jack O'Halloran,1,http://www.imdb.com/title/tt0076175/?ref_=fn_tt_tt_1,English,750,6.3,1.85,122
8,39,Isabelle Nanty,700000,Comedy|Fantasy|Sci-Fi,Christian Clavier,Les visiteurs ,24438,Valérie Lemercier,1,http://www.imdb.com/title/tt0108500/?ref_=fn_tt_tt_1,French,54,7.0,2.35,0
0,106,Chris Pontius,1768416,Comedy|Drama,Nathalie Fay,Somewhere ,35848,Erin Wasson,0,http://www.imdb.com/title/tt1421051/?ref_=fn_tt_tt_1,English,218,6.3,1.85,0
10,184,Susie Abromeit,1425993,Comedy,Geoff Stults,I Hope They Serve Beer in Hell ,7412,Derek Wayne Johnson,1,http://www.imdb.com/title/tt1220628/?ref_=fn_tt_tt_1,English,216,5.3,2.35,0
43,611,Raquel Welch,306715,Comedy,Taylor Negron,Chairman of the Board ,5143,Larry Miller,1,http://www.imdb.com/title/tt0118836/?ref_=fn_tt_tt_1,English,788,2.3,1.85,724
58,973,Natalie Portman,382946,Drama,Joseph Gordon-Levitt,Hesher ,43965,Rainn Wilson,0,http://www.imdb.com/title/tt1403177/?ref_=fn_tt_tt_1,English,20000,7.1,2.35,19000
47,13,Mark Wingett,518134,Comedy|Crime|Drama,Richard E. Grant,Dom Hemingway ,21243,Richard Graham,2,http://www.imdb.com/title/tt2402105/?ref_=fn_tt_tt_1,English,524,6.2,2.35,0
835,,Casey Affleck,236266,Adventure|Drama|Mystery,Matt Damon,Gerry ,15104,,0,http://www.imdb.com/title/tt0302674/?ref_=fn_tt_tt_1,English,0,6.2,2.35,0
5,52,Luke Newberry,196067,Drama|Romance,Olivia Williams,The Heart of Me ,1966,Eleanor Bron,3,http://www.imdb.com/title/tt0301390/?ref_=fn_tt_tt_1,English,358,6.7,1.85,97
6,935,Josh Charles,532988,Biography|Drama|Romance,Steve Carell,Freeheld ,5863,Luke Grimes,0,http://www.imdb.com/title/tt1658801/?ref_=fn_tt_tt_1,English,1000,6.5,1.85,0
30,281,Marian Seldes,453079,Comedy,Lynn Cohen,The Extra Man ,4124,Dan Hedaya,4,http://www.imdb.com/title/tt1361313/?ref_=fn_tt_tt_1,English,403,5.9,2.35,916
23,0,Yuriy Tsurilo,,Drama|Sci-Fi,Leonid Yarmolnik,Hard to Be a God ,2518,Valentin Golubenko,0,http://www.imdb.com/title/tt2328813/?ref_=fn_tt_tt_1,Russian,4,6.7,1.66,1000
0,410,Mike Starr,46451,Comedy|Crime|Thriller,Chris Hemsworth,Ca$h ,7663,Paul Sanchez,2,http://www.imdb.com/title/tt1106860/?ref_=fn_tt_tt_1,English,854,6.0,1.85,694
554,530,Julie Walters,233103,Drama,Emily Watson,Wah-Wah ,2670,Miranda Richardson,3,http://www.imdb.com/title/tt0419256/?ref_=fn_tt_tt_1,English,838,6.9,2.35,311
78,184,David Della Rocco,,Action|Crime|Thriller,Norman Reedus,The Boondock Saints ,197845,Bob Marley,2,http://www.imdb.com/title/tt0144117/?ref_=fn_tt_tt_1,English,333,7.9,2.35,16000
4,4,Louis Koo,,Action|Crime,Michael Wong,Z Storm ,383,Stephen Au,1,http://www.imdb.com/title/tt3469440/?ref_=fn_tt_tt_1,Cantonese,82,5.3,2.35,55
0,507,Bruce Dern,,Comedy|Fantasy|Horror|Mystery,Alden Ehrenreich,Twixt ,8589,Joanne Whalley,0,http://www.imdb.com/title/tt1756851/?ref_=fn_tt_tt_1,English,844,4.8,1.85,0
0,26,Wendee Lee,,Adventure|Animation|Family,Erin Fitzgerald,Snow Queen ,1159,Ivan Okhlobystin,1,http://www.imdb.com/title/tt2243621/?ref_=fn_tt_tt_1,Russian,62,5.3,,453
24,29,Kate Higgins,,Action|Adventure|Animation|Comedy|Drama|Family|Fantasy|Thriller,Debi Derryberry,Alpha and Omega 4: The Legend of the Saw Toothed Cave ,192,Cindy Robinson,0,http://www.imdb.com/title/tt4061848/?ref_=fn_tt_tt_1,,35,6.0,,41
16000,240,Chris Penn,41400000,Western,Clint Eastwood,Pale Rider ,39451,Sydney Penny,0,http://www.imdb.com/title/tt0089767/?ref_=fn_tt_tt_1,English,455,7.3,2.35,0
49,687,Christopher Judge,,Action|Adventure|Drama|Fantasy|Sci-Fi,Ben Browder,Stargate: The Ark of Truth ,15862,Julian Sands,5,http://www.imdb.com/title/tt0942903/?ref_=fn_tt_tt_1,English,847,7.4,1.78,389
0,787,Adam Goldberg,7993039,Comedy,Milla Jovovich,Dazed and Confused ,120036,Cole Hauser,1,http://www.imdb.com/title/tt0106677/?ref_=fn_tt_tt_1,English,1000,7.7,1.85,10000
197,578,Corbin Bleu,,Comedy|Drama|Family|Music|Musical|Romance,Lucas Grabeel,High School Musical 2 ,39786,Olesya Rulin,5,http://www.imdb.com/title/tt0810900/?ref_=fn_tt_tt_1,English,632,4.8,1.78,586
16,63,Justin Edward Seale,,Drama|Romance,Gordon Pinsent,Two Lovers and a Bear ,33,John Ralston,0,http://www.imdb.com/title/tt4412528/?ref_=fn_tt_tt_1,English,147,7.2,2.35,187
0,493,Edi Gathegi,,Crime|Drama|Thriller,Rex Baker,Criminal Activities ,5255,Travis Aaron Wade,3,http://www.imdb.com/title/tt3687310/?ref_=fn_tt_tt_1,English,725,5.8,2.35,0
4,36,Johanna Wokalek,927107,Biography|Drama|Romance|War,Heike Makatsch,Aimee & Jaguar ,5153,Maria Schrader,1,http://www.imdb.com/title/tt0130444/?ref_=fn_tt_tt_1,German,66,7.3,1.85,687
3,436,John Heard,49526,Comedy|Drama,Rory Culkin,The Chumscrubber ,16299,Tim DeKay,1,http://www.imdb.com/title/tt0406650/?ref_=fn_tt_tt_1,English,697,7.0,2.35,1000
