genres,movie_title,actor_3_name,language,country,aspect_ratio
Action|Crime|Drama|Thriller,The Devil's Own ,Natascha McElhone,English,USA,2.35
Drama|History|Thriller|War,K-19: The Widowmaker ,Lex Shrapnel,English,UK,2.35
Action|Adventure|Sci-Fi,Fantastic Four ,Tim Heidecker,English,USA,2.35
Adventure|Fantasy,Conan the Barbarian ,Sandahl Bergman,English,USA,2.35
Biography|Drama|Sport,Cinderella Man ,Rosemarie DeWitt,English,USA,2.35
Action|Family|Fantasy|Musical,The Nutcracker in 3D ,Richard E. Grant,English,UK,2.35
Drama|History|Sport,Seabiscuit ,Michael O'Neill,English,USA,2.35
Action|Adventure|Drama|Thriller,Twister ,Jami Gertz,English,USA,2.35
Action|Crime|Thriller,The Fast and the Furious ,Jordana Brewster,English,USA,2.35
Adventure|Drama|Romance,Cast Away ,Nick Searcy,English,USA,1.85
Animation|Comedy|Family|Music|Romance,Happy Feet ,Elizabeth Daily,English,USA,2.35
Action|Mystery|Thriller,The Bourne Supremacy ,Oksana Akinshina,English,USA,2.35
Action|Adventure|Drama|Thriller,Air Force One ,Dean Stockwell,English,USA,2.35
Crime|Thriller,Ocean's Eleven ,Elliott Gould,English,USA,2.35
Action|Adventure|Romance,The Three Musketeers ,Orlando Bloom,English,Germany,2.35
Animation|Comedy|Family|Fantasy,Hotel Transylvania ,Jon Lovitz,English,USA,1.85
Animation|Comedy|Family|Fantasy|Musical|Romance,Enchanted ,Fred Tatasciore,English,USA,2.35
Crime|Drama|Horror|Mystery|Thriller,Hannibal             ,Hettienne Park,English,USA,1.78
Action|Crime|Mystery|Thriller,Safe House ,Sam Shepard,English,USA,2.35
Adventure|Comedy|Family,102 Dalmatians ,Jim Carter,English,USA,1.85
Action|Comedy|Crime,Tower Heist ,Judd Hirsch,English,USA,2.35
Comedy|Romance,The Holiday ,Sarah Parish,English,USA,1.85
Action|Crime|Drama|Mystery|Thriller,Enemy of the State ,Lisa Bonet,English,USA,2.35
Comedy|Drama|Romance,It's Complicated ,Zoe Kazan,English,USA,1.85
Crime|Thriller,Ocean's Thirteen ,Brad Pitt,English,USA,2.35
Adventure|Animation|Comedy|Family,Open Season ,Jane Krakowski,English,USA,1.85
Adventure|Mystery|Sci-Fi,Divergent ,Mekhi Phifer,English,USA,2.35
Drama|History|War,Enemy at the Gates ,Clemens Schick,English,USA,2.35
Action|Adventure|Comedy|Thriller,The Rundown ,Ewen Bremner,English,USA,2.35
Action|Adventure|Comedy|Fantasy,Last Action Hero ,Joan Plowright,English,USA,2.35
Drama|Romance,Memoirs of a Geisha ,Karl Yune,English,USA,2.35
Action|Crime|Thriller,The Fast and the Furious: Tokyo Drift ,Nikki Griffin,English,USA,2.35
Adventure|Animation|Comedy|Family|Fantasy,Arthur Christmas ,Michael Palin,English,UK,1.85
Drama|Fantasy|Romance,Meet Joe Black ,Jake Weber,English,USA,1.85
Action|Drama|Thriller,Collateral Damage ,Jsu Garcia,English,USA,1.85
Comedy|Drama|Music|Musical,All That Jazz ,Max Wright,English,USA,1.85
Adventure|Comedy|Drama|Family|Fantasy,Mirror Mirror ,Danny Woodburn,English,USA,1.85
Action|Comedy|Fantasy|Romance,Scott Pilgrim vs. the World ,Ellen Wong,English,USA,1.85
Action|Adventure|Sci-Fi|Thriller,The Core ,Rekha Sharma,English,USA,2.35
Comedy|Romance|Sci-Fi,Nutty Professor II: The Klumps ,Chris Elliott,English,USA,1.85
Adventure|Comedy|Mystery,Scooby-Doo ,Miguel A. Núñez Jr.,English,USA,1.85
Action|Sci-Fi,Dredd ,Rakie Ayola,English,UK,2.35
Comedy|Drama|Fantasy|Romance,Click ,Julie Kavner,English,USA,1.85
Comedy|Fantasy|Horror,Creepshow ,Adrienne Barbeau,English,USA,1.85
Action|Comedy|Family|Fantasy,Cats & Dogs: The Revenge of Kitty Galore ,Katt Williams,English,USA,1.85
Action|Adventure|Sci-Fi|Thriller,Jumper ,Tom Hulce,English,USA,2.35
Action|Adventure|Fantasy|Horror|Sci-Fi,Hellboy II: The Golden Army ,Brian Steele,English,USA,1.85
Crime|Drama|History|Mystery|Thriller,Zodiac ,Anthony Edwards,English,USA,2.35
Action|Mystery|Sci-Fi|Thriller,The 6th Day ,Tony Goldwyn,English,USA,2.35
Comedy|Drama,Bruce Almighty ,Lisa Ann Walter,English,USA,1.85
Action|Adventure|Thriller,The Expendables ,Jet Li,English,USA,2.35
Action|Adventure|Thriller,Mission: Impossible ,Vanessa Redgrave,English,USA,2.35
Adventure|Drama|Sci-Fi|Thriller,The Hunger Games ,Anthony Reynolds,English,USA,2.35
Comedy,The Hangover Part II ,Mike Tyson,English,USA,2.35
Action,Batman Returns ,Andrew Bryniarski,English,USA,1.85
Adventure|Animation|Comedy|Family,Over the Hedge ,Catherine O'Hara,English,USA,1.85
Adventure|Animation|Comedy|Drama|Family|Fantasy|Sci-Fi,Lilo & Stitch ,David Ogden Stiers,English,USA,1.66
Comedy|Family|Fantasy,Charlotte's Web ,Oprah Winfrey,English,USA,1.85
Action|Drama|Romance|Sci-Fi|Thriller,Deep Impact ,Robert Duvall,English,USA,2.35
Action|Comedy|Crime|Thriller,RED 2 ,Garrick Hagon,English,USA,2.35
Comedy|Crime|Sport,The Longest Yard ,Dalip Singh,English,USA,2.35
Adventure|Animation|Comedy|Family|Fantasy|Music,Alvin and the Chipmunks: Chipwrecked ,Lauren Gottlieb,English,USA,1.85
Comedy,Grown Ups 2 ,Jon Lovitz,English,USA,1.85
Action|Adventure|Comedy,Get Smart ,Anne Hathaway,English,USA,1.85
Comedy|Drama|Romance,Something's Gotta Give ,Paul Michael Glaser,English,USA,1.85
Mystery|Thriller,Shutter Island ,Nellie Sciutto,English,USA,2.35
Comedy|Drama|Romance,Four Christmases ,Katy Mixon,English,Germany,1.85
Adventure|Animation|Comedy|Family|Sci-Fi,Robots ,Paula Abdul,English,USA,1.85
Action|Crime|Sci-Fi|Thriller,Face/Off ,Joan Allen,English,USA,2.35
Comedy|Family|Fantasy|Romance,Bedtime Stories ,Kathryn Joosten,English,USA,2.35
Crime|Drama|Thriller,Road to Perdition ,Liam Aiken,English,USA,2.35
Comedy|Romance,Just Go with It ,Kevin Nealon,English,USA,1.85
Action|Adventure|Crime|Drama|Sci-Fi|Thriller,Daredevil             ,Charlie Cox,English,USA,16.0
Action|Crime|Thriller,Con Air ,Dave Chappelle,English,USA,2.35
Action|Mystery|Thriller,Eagle Eye ,Cameron Boyce,English,USA,2.35
Adventure|Drama|History|Romance|War,Cold Mountain ,Charlie Hunnam,English,USA,2.35
Action|Adventure|Drama|Thriller,The Book of Eli ,Gary Oldman,English,USA,2.35
Comedy|Family|Sci-Fi,Flubber ,Sam Lloyd,English,USA,1.85
Fantasy|Horror|Mystery|Thriller,The Haunting ,Virginia Madsen,English,USA,2.35
