duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,genres,movie_title,facenumber_in_poster,movie_imdb_link,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio
101,176,282,11000,118311368,Action|Crime|Mystery|Thriller,Salt ,1,http://www.imdb.com/title/tt0944835/?ref_=fn_tt_tt_1,English,USA,PG-13,110000000,2010,702,6.4,2.35
138,0,8000,12000,101160529,Action|Adventure|Drama,Noah ,2,http://www.imdb.com/title/tt1959490/?ref_=fn_tt_tt_1,English,USA,PG-13,125000000,2014,9000,5.8,1.85
107,14000,845,2000,77564037,Action|Adventure|Family|Mystery,The Adventures of Tintin ,1,http://www.imdb.com/title/tt0983193/?ref_=fn_tt_tt_1,English,USA,PG,135000000,2011,871,7.4,2.35
142,0,10000,11000,249358727,Adventure|Family|Fantasy|Mystery,Harry Potter and the Prisoner of Azkaban ,3,http://www.imdb.com/title/tt0304141/?ref_=fn_tt_tt_1,English,UK,PG,130000000,2004,10000,7.8,2.35
165,1000,165,309,49551662,Adventure|Drama|Romance|War,Australia ,0,http://www.imdb.com/title/tt0455824/?ref_=fn_tt_tt_1,English,Australia,PG-13,130000000,2008,284,6.6,2.35
100,0,894,10000,60522097,Action|Adventure|Sci-Fi,After Earth ,0,http://www.imdb.com/title/tt1815862/?ref_=fn_tt_tt_1,English,USA,PG-13,130000000,2013,943,4.9,2.35
82,0,388,1000,137748063,Adventure|Animation|Family|Thriller,Dinosaur ,1,http://www.imdb.com/title/tt0130623/?ref_=fn_tt_tt_1,English,USA,PG,127500000,2000,558,6.5,1.85
,0,159,10000,,Action|Fantasy,Harry Potter and the Deathly Hallows: Part II ,1,http://www.imdb.com/title/tt1680310/?ref_=fn_tt_tt_1,English,UK,,,2011,570,7.5,
98,189,1000,49000,113733726,Adventure|Comedy|Family|Fantasy,Night at the Museum: Secret of the Tomb ,7,http://www.imdb.com/title/tt2692250/?ref_=fn_tt_tt_1,English,USA,PG,127000000,2014,3000,6.2,1.85
95,96,8000,24000,148337537,Action|Animation|Comedy|Family|Sci-Fi,Megamind ,3,http://www.imdb.com/title/tt1001526/?ref_=fn_tt_tt_1,English,USA,PG,130000000,2010,11000,7.3,2.35
159,0,645,11000,317557891,Adventure|Family|Fantasy,Harry Potter and the Sorcerer's Stone ,4,http://www.imdb.com/title/tt0241527/?ref_=fn_tt_tt_1,English,UK,PG,125000000,2001,687,7.5,2.35
96,124,1000,16000,33592415,Action|Comedy|Fantasy,R.I.P.D. ,2,http://www.imdb.com/title/tt0790736/?ref_=fn_tt_tt_1,English,USA,PG-13,130000000,2013,12000,5.6,2.35
120,28,12,544,,Action|Adventure|Drama|Horror|Sci-Fi,Godzilla Resurgence ,0,http://www.imdb.com/title/tt4262980/?ref_=fn_tt_tt_1,Japanese,Japan,,,2016,106,8.2,2.35
143,563,1000,40000,305388685,Action|Adventure|Fantasy,Pirates of the Caribbean: The Curse of the Black Pearl ,3,http://www.imdb.com/title/tt0325980/?ref_=fn_tt_tt_1,English,USA,PG-13,140000000,2003,5000,8.1,2.35
,0,1000,10000,,Fantasy,Harry Potter and the Deathly Hallows: Part I ,1,http://www.imdb.com/title/tt1571403/?ref_=fn_tt_tt_1,English,UK,,,2010,2000,6.4,
123,508,14000,34000,337103873,Adventure|Sci-Fi|Thriller,The Hunger Games: Mockingjay - Part 1 ,1,http://www.imdb.com/title/tt1951265/?ref_=fn_tt_tt_1,English,USA,PG-13,125000000,2014,22000,6.7,2.35
174,2000,362,15000,217536138,Mystery|Thriller,The Da Vinci Code ,2,http://www.imdb.com/title/tt0382625/?ref_=fn_tt_tt_1,English,USA,PG-13,125000000,2006,574,6.6,2.35
101,107,56,688,131536019,Adventure|Animation|Comedy|Family|Musical,Rio 2 ,0,http://www.imdb.com/title/tt2357291/?ref_=fn_tt_tt_1,English,USA,G,103000000,2014,237,6.4,2.35
134,0,346,20000,214948780,Action|Adventure|Fantasy|Sci-Fi|Thriller,X-Men 2 ,4,http://www.imdb.com/title/tt0290334/?ref_=fn_tt_tt_1,English,Canada,PG-13,110000000,2003,505,7.5,2.35
132,681,12000,23000,209805005,Action|Crime|Thriller,Fast Five ,3,http://www.imdb.com/title/tt1596343/?ref_=fn_tt_tt_1,English,USA,PG-13,125000000,2011,14000,7.3,2.35
129,0,154,21000,186830669,Action|Adventure|Crime|Mystery|Thriller,Sherlock Holmes: A Game of Shadows ,2,http://www.imdb.com/title/tt1515091/?ref_=fn_tt_tt_1,English,USA,PG-13,125000000,2011,979,7.5,2.35
106,255,850,14000,163192114,Action|Adventure|Fantasy,Clash of the Titans ,0,http://www.imdb.com/title/tt0800320/?ref_=fn_tt_tt_1,English,USA,PG-13,125000000,2010,1000,5.8,2.35
113,719,217,605,119412921,Action|Sci-Fi,Total Recall ,0,http://www.imdb.com/title/tt0100802/?ref_=fn_tt_tt_1,English,USA,R,65000000,1990,308,7.5,1.85
102,323,241,845,32694788,Action|Adventure|History,The 13th Warrior ,1,http://www.imdb.com/title/tt0120657/?ref_=fn_tt_tt_1,English,USA,R,85000000,1999,372,6.6,2.35
135,209,602,10000,113165635,Action|Adventure|Thriller,The Bourne Legacy ,0,http://www.imdb.com/title/tt1194173/?ref_=fn_tt_tt_1,English,USA,PG-13,125000000,2012,826,6.7,2.35
125,541,409,920,107285004,Action,Batman & Robin ,3,http://www.imdb.com/title/tt0118688/?ref_=fn_tt_tt_1,English,USA,PG-13,125000000,1997,890,3.7,1.85
110,2000,636,1000,260031035,Comedy|Family|Fantasy,How the Grinch Stole Christmas ,0,http://www.imdb.com/title/tt0170016/?ref_=fn_tt_tt_1,English,USA,PG,123000000,2000,722,6.0,1.85
124,776,812,15000,186739919,Action|Adventure|Sci-Fi|Thriller,The Day After Tomorrow ,0,http://www.imdb.com/title/tt0319262/?ref_=fn_tt_tt_1,English,USA,PG-13,125000000,2004,2000,6.4,2.35
123,610,653,10000,215397307,Action|Adventure|Thriller,Mission: Impossible II ,0,http://www.imdb.com/title/tt0120755/?ref_=fn_tt_tt_1,English,USA,PG-13,125000000,2000,794,6.1,2.35
130,249,461,784,182618434,Action|Adventure|Drama|Thriller,The Perfect Storm ,0,http://www.imdb.com/title/tt0177971/?ref_=fn_tt_tt_1,English,USA,PG-13,140000000,2000,638,6.4,2.35
92,167,702,11000,131920333,Action|Adventure|Sci-Fi|Thriller,Fantastic 4: Rise of the Silver Surfer ,3,http://www.imdb.com/title/tt0486576/?ref_=fn_tt_tt_1,English,USA,PG,130000000,2007,2000,5.6,2.35
127,0,341,774,124976634,Adventure|Drama|Fantasy,Life of Pi ,0,http://www.imdb.com/title/tt0454876/?ref_=fn_tt_tt_1,English,USA,PG,120000000,2012,358,8.0,1.85
123,160,402,12000,115802596,Action|Fantasy|Thriller,Ghost Rider ,1,http://www.imdb.com/title/tt0259324/?ref_=fn_tt_tt_1,English,USA,PG-13,110000000,2007,701,5.2,2.35
123,521,265,13000,108521835,Action|Thriller,Jason Bourne ,0,http://www.imdb.com/title/tt4196776/?ref_=fn_tt_tt_1,English,UK,PG-13,120000000,2016,365,7.1,2.35
107,368,1000,2000,100685880,Action|Adventure|Comedy|Crime,Charlie's Angels: Full Throttle ,0,http://www.imdb.com/title/tt0305357/?ref_=fn_tt_tt_1,English,USA,PG-13,120000000,2003,1000,4.8,2.35
124,0,641,13000,126464904,Adventure|Mystery|Sci-Fi,Prometheus ,0,http://www.imdb.com/title/tt1446714/?ref_=fn_tt_tt_1,English,USA,R,130000000,2012,9000,7.0,2.35
77,50,537,886,64736114,Adventure|Animation|Comedy|Family|Fantasy,Stuart Little 2 ,0,http://www.imdb.com/title/tt0243585/?ref_=fn_tt_tt_1,English,USA,PG,120000000,2002,799,5.4,1.85
109,662,1000,13000,93050117,Action|Drama|Sci-Fi|Thriller,Elysium ,0,http://www.imdb.com/title/tt1535108/?ref_=fn_tt_tt_1,English,USA,R,115000000,2013,2000,6.6,2.35
134,123,567,14000,57637485,Action|Adventure|Sci-Fi|Thriller,The Chronicles of Riddick ,0,http://www.imdb.com/title/tt0296572/?ref_=fn_tt_tt_1,English,USA,PG-13,105000000,2004,850,6.7,2.35
117,294,1000,10000,58607007,Action|Crime|Sci-Fi|Thriller,RoboCop ,0,http://www.imdb.com/title/tt1234721/?ref_=fn_tt_tt_1,English,USA,PG-13,100000000,2014,2000,6.2,2.35
135,0,87,690,43929341,Action|Family|Sport,Speed Racer ,0,http://www.imdb.com/title/tt0811080/?ref_=fn_tt_tt_1,English,USA,PG,120000000,2008,107,6.1,2.35
121,274,157,273,30212620,Comedy|Drama|Romance,How Do You Know ,4,http://www.imdb.com/title/tt1341188/?ref_=fn_tt_tt_1,English,USA,PG-13,120000000,2010,216,5.3,1.85
117,446,877,10000,76418654,Action|Comedy|Romance,Knight and Day ,0,http://www.imdb.com/title/tt1013743/?ref_=fn_tt_tt_1,English,USA,PG-13,117000000,2010,973,6.3,2.35
124,364,1000,11000,89021735,Action|Adventure|Mystery|Sci-Fi,Oblivion ,0,http://www.imdb.com/title/tt1483013/?ref_=fn_tt_tt_1,English,USA,PG-13,120000000,2013,10000,7.0,2.35
140,0,4000,20000,380262555,Action|Adventure|Fantasy|Sci-Fi,Star Wars: Episode III - Revenge of the Sith ,4,http://www.imdb.com/title/tt0121766/?ref_=fn_tt_tt_1,English,USA,PG-13,113000000,2005,16000,7.6,2.35
142,0,4000,20000,310675583,Action|Adventure|Fantasy|Sci-Fi,Star Wars: Episode II - Attack of the Clones ,3,http://www.imdb.com/title/tt0121765/?ref_=fn_tt_tt_1,English,USA,PG,115000000,2002,16000,6.7,1.78
92,0,773,12000,289907418,Adventure|Animation|Comedy|Family|Fantasy,"Monsters, Inc. ",0,http://www.imdb.com/title/tt0198781/?ref_=fn_tt_tt_1,English,USA,G,115000000,2001,1000,8.1,1.85
138,446,929,20000,132550960,Action|Adventure|Sci-Fi|Thriller,The Wolverine ,1,http://www.imdb.com/title/tt1430132/?ref_=fn_tt_tt_1,English,USA,PG-13,120000000,2013,992,6.7,2.35
136,0,1000,20000,474544677,Action|Adventure|Fantasy|Sci-Fi,Star Wars: Episode I - The Phantom Menace ,1,http://www.imdb.com/title/tt0120915/?ref_=fn_tt_tt_1,English,USA,PG,115000000,1999,14000,6.5,2.35
98,16,12000,16000,187165546,Adventure|Animation|Comedy|Family|Fantasy,The Croods ,3,http://www.imdb.com/title/tt0481499/?ref_=fn_tt_tt_1,English,USA,PG,135000000,2013,15000,7.3,2.35
116,0,141,936,,Adventure|Comedy|Family|Fantasy,Asterix at the Olympic Games ,1,http://www.imdb.com/title/tt0463872/?ref_=fn_tt_tt_1,French,France,,78000000,2008,276,5.1,2.35
153,610,617,12000,40911830,Action|Drama|War,Windtalkers ,0,http://www.imdb.com/title/tt0245562/?ref_=fn_tt_tt_1,English,USA,R,115000000,2002,836,6.0,2.35
120,19,9000,26000,47952020,Action|Adventure|Drama|Fantasy,The Huntsman: Winter's War ,2,http://www.imdb.com/title/tt2381991/?ref_=fn_tt_tt_1,English,USA,PG-13,115000000,2016,11000,6.1,2.35
101,473,429,833,190871240,Action|Adventure|Comedy|Sci-Fi,Teenage Mutant Ninja Turtles ,0,http://www.imdb.com/title/tt1291150/?ref_=fn_tt_tt_1,English,USA,PG-13,125000000,2014,809,5.9,2.35
91,0,13,39,274084951,Adventure|Drama|Sci-Fi|Thriller,Gravity ,0,http://www.imdb.com/title/tt1454468/?ref_=fn_tt_tt_1,English,UK,PG-13,100000000,2013,23,7.8,2.35
108,79,268,650,67155742,Action|Adventure|Thriller,Dante's Peak ,1,http://www.imdb.com/title/tt0118928/?ref_=fn_tt_tt_1,English,USA,PG-13,116000000,1997,293,5.8,2.35
112,13,799,5000,81638674,Action|Adventure|Comedy|Sci-Fi,Teenage Mutant Ninja Turtles: Out of the Shadows ,,http://www.imdb.com/title/tt3949660/?ref_=fn_tt_tt_1,English,USA,PG-13,135000000,2016,833,6.3,2.35
100,128,78,596,56114221,Action|Adventure|Sci-Fi,Fantastic Four ,3,http://www.imdb.com/title/tt1502712/?ref_=fn_tt_tt_1,English,USA,PG-13,120000000,2015,360,4.3,2.35
108,189,1000,49000,250863268,Action|Adventure|Comedy|Family|Fantasy,Night at the Museum ,2,http://www.imdb.com/title/tt0477347/?ref_=fn_tt_tt_1,English,USA,PG,110000000,2006,3000,6.4,1.85
114,62,884,12000,155181732,Action|Adventure|Drama|Thriller,San Andreas ,0,http://www.imdb.com/title/tt2126355/?ref_=fn_tt_tt_1,English,USA,PG-13,110000000,2015,2000,6.1,2.35
119,55,387,811,125332007,Action|Adventure|Thriller,Tomorrow Never Dies ,3,http://www.imdb.com/title/tt0120347/?ref_=fn_tt_tt_1,English,UK,PG-13,110000000,1997,766,6.5,2.35
142,776,1000,13000,113330342,Action|Drama|History|War,The Patriot ,1,http://www.imdb.com/title/tt0187393/?ref_=fn_tt_tt_1,English,USA,R,110000000,2000,2000,7.1,2.35
125,0,350,11000,125531634,Crime|Thriller,Ocean's Twelve ,0,http://www.imdb.com/title/tt0349903/?ref_=fn_tt_tt_1,English,USA,PG-13,110000000,2004,8000,6.4,2.35
126,218,322,11000,186336103,Action|Comedy|Crime|Romance|Thriller,Mr. & Mrs. Smith ,2,http://www.imdb.com/title/tt0356910/?ref_=fn_tt_tt_1,English,USA,PG-13,120000000,2005,11000,6.5,2.35
119,124,1000,14000,129995817,Adventure|Sci-Fi|Thriller,Insurgent ,0,http://www.imdb.com/title/tt2908446/?ref_=fn_tt_tt_1,English,USA,PG-13,110000000,2015,5000,6.3,2.35
170,17000,827,29000,102608827,Biography|Drama,The Aviator ,0,http://www.imdb.com/title/tt0338751/?ref_=fn_tt_tt_1,English,USA,PG-13,110000000,2004,3000,7.5,2.35
85,11,116,480,42776259,Adventure|Comedy|Family|Fantasy,Gulliver's Travels ,1,http://www.imdb.com/title/tt1320261/?ref_=fn_tt_tt_1,English,USA,PG,112000000,2010,392,4.9,2.35
119,1000,741,11000,98780042,Action|Comedy|Crime|Sci-Fi|Thriller,The Green Hornet ,0,http://www.imdb.com/title/tt0990407/?ref_=fn_tt_tt_1,English,USA,PG-13,120000000,2011,1000,5.8,2.35
60,,432,669,,Action|Adventure|Crime,The A-Team             ,4,http://www.imdb.com/title/tt0084967/?ref_=fn_tt_tt_1,English,USA,TV-PG,,,554,7.6,4.0
102,263,1000,6000,106369117,Action|Drama|Fantasy|War,300: Rise of an Empire ,0,http://www.imdb.com/title/tt1253863/?ref_=fn_tt_tt_1,English,USA,R,110000000,2014,1000,6.2,2.35
103,67,111,383,142614158,Adventure|Animation|Comedy|Family|Fantasy,The Smurfs ,3,http://www.imdb.com/title/tt0472181/?ref_=fn_tt_tt_1,English,USA,PG,110000000,2011,113,5.5,1.78
76,6,421,12000,50026353,Animation|Comedy|Family|Music|Western,Home on the Range ,0,http://www.imdb.com/title/tt0299172/?ref_=fn_tt_tt_1,English,USA,PG,110000000,2004,513,5.4,1.78
120,124,943,6000,66002193,Action|Adventure|Mystery|Sci-Fi|Thriller,Allegiant ,3,http://www.imdb.com/title/tt3410834/?ref_=fn_tt_tt_1,English,USA,PG-13,110000000,2016,5000,5.8,2.35
127,189,544,20000,85463309,Action|Drama|Sci-Fi|Sport,Real Steel ,1,http://www.imdb.com/title/tt0433035/?ref_=fn_tt_tt_1,English,USA,PG-13,110000000,2011,929,7.1,2.35
105,67,40,681,71017784,Adventure|Animation|Comedy|Family|Fantasy,The Smurfs 2 ,3,http://www.imdb.com/title/tt2017020/?ref_=fn_tt_tt_1,English,USA,PG,105000000,2013,71,5.4,1.85
121,101,202,673,48068396,Action|Crime|Romance|Thriller,Speed 2: Cruise Control ,0,http://www.imdb.com/title/tt0120179/?ref_=fn_tt_tt_1,English,USA,PG-13,160000000,1997,368,3.7,2.35
114,151,430,11000,61656849,Action|Sci-Fi,Ender's Game ,4,http://www.imdb.com/title/tt1731141/?ref_=fn_tt_tt_1,English,USA,PG-13,110000000,2013,635,6.7,2.35
129,235,297,13000,134520804,Action|Adventure|Thriller,Live Free or Die Hard ,1,http://www.imdb.com/title/tt0337978/?ref_=fn_tt_tt_1,English,USA,PG-13,110000000,2007,300,7.2,2.35
171,0,857,16000,313837577,Action|Adventure|Drama|Fantasy,The Lord of the Rings: The Fellowship of the Ring ,2,http://www.imdb.com/title/tt0120737/?ref_=fn_tt_tt_1,English,New Zealand,PG-13,93000000,2001,5000,8.8,2.35
120,153,447,1000,24004159,Action|Adventure|Comedy,Around the World in 80 Days ,0,http://www.imdb.com/title/tt0327437/?ref_=fn_tt_tt_1,English,USA,PG,110000000,2004,1000,5.8,2.35
165,0,780,10000,58183966,Biography|Drama|Sport,Ali ,1,http://www.imdb.com/title/tt0248667/?ref_=fn_tt_tt_1,English,USA,R,107000000,2001,851,6.8,2.35
82,34,434,760,100446895,Adventure|Comedy|Family|Fantasy,The Cat in the Hat ,1,http://www.imdb.com/title/tt0312528/?ref_=fn_tt_tt_1,English,USA,PG,109000000,2003,743,3.8,1.85
115,295,466,10000,144795350,Action|Mystery|Sci-Fi|Thriller,"I, Robot ",1,http://www.imdb.com/title/tt0343818/?ref_=fn_tt_tt_1,English,USA,PG-13,120000000,2004,981,7.1,2.35
194,0,195,14000,47396698,Action|Adventure|Drama|History|War,Kingdom of Heaven ,1,http://www.imdb.com/title/tt0320661/?ref_=fn_tt_tt_1,English,USA,R,130000000,2005,5000,7.2,2.35
84,50,692,979,140015224,Adventure|Comedy|Family|Fantasy,Stuart Little ,0,http://www.imdb.com/title/tt0164912/?ref_=fn_tt_tt_1,English,Germany,PG,133000000,1999,886,5.9,1.85
97,63,525,852,104374107,Animation|Family|Fantasy|Musical|Romance,The Princess and the Frog ,0,http://www.imdb.com/title/tt0780521/?ref_=fn_tt_tt_1,English,USA,G,105000000,2009,578,7.1,1.85
151,0,372,13000,228430993,Adventure|Drama|Sci-Fi,The Martian ,1,http://www.imdb.com/title/tt3659388/?ref_=fn_tt_tt_1,English,USA,PG-13,108000000,2015,801,8.1,2.35
22,0,,5,,Comedy,"10,000 B.C.             ",0,http://www.imdb.com/title/tt1869849/?ref_=fn_tt_tt_1,,,,,,,7.2,
136,0,3000,19000,35799026,Action|Adventure|Romance|Sci-Fi|Thriller,The Island ,1,http://www.imdb.com/title/tt0399201/?ref_=fn_tt_tt_1,English,USA,PG-13,126000000,2005,12000,6.9,2.35
104,23,591,752,6712451,Comedy|Romance,Town & Country ,0,http://www.imdb.com/title/tt0141907/?ref_=fn_tt_tt_1,English,New Line,R,90000000,2001,631,4.4,1.85
127,57,3000,12000,101643008,Action|Crime|Thriller,Gone in Sixty Seconds ,1,http://www.imdb.com/title/tt0187078/?ref_=fn_tt_tt_1,English,USA,PG-13,90000000,2000,11000,6.5,2.35
171,0,695,3000,187670866,Action|Drama|Romance,Gladiator ,0,http://www.imdb.com/title/tt0172495/?ref_=fn_tt_tt_1,English,USA,R,103000000,2000,933,8.5,2.35
145,14000,533,10000,132014112,Action|Mystery|Sci-Fi|Thriller,Minority Report ,0,http://www.imdb.com/title/tt0181689/?ref_=fn_tt_tt_1,English,USA,PG-13,102000000,2002,798,7.7,2.35
174,0,9000,11000,261970615,Adventure|Family|Fantasy|Mystery,Harry Potter and the Chamber of Secrets ,1,http://www.imdb.com/title/tt0295297/?ref_=fn_tt_tt_1,English,UK,PG,100000000,2002,10000,7.4,2.35
144,258,834,6000,167007184,Action|Adventure|Thriller,Casino Royale ,1,http://www.imdb.com/title/tt0381061/?ref_=fn_tt_tt_1,English,UK,PG-13,150000000,2006,1000,8.0,2.35
119,13000,567,1000,180011740,Action|Adventure|Sci-Fi|Thriller,Planet of the Apes ,0,http://www.imdb.com/title/tt0133152/?ref_=fn_tt_tt_1,English,USA,PG-13,100000000,2001,658,5.7,2.35
153,0,539,780,204843350,Action|Sci-Fi,Terminator 2: Judgment Day ,0,http://www.imdb.com/title/tt0103064/?ref_=fn_tt_tt_1,English,USA,R,102000000,1991,604,8.5,2.35
140,0,1000,40000,97030725,Biography|Crime|Drama|History|Romance,Public Enemies ,1,http://www.imdb.com/title/tt1152836/?ref_=fn_tt_tt_1,English,USA,R,100000000,2009,23000,7.0,2.35
176,0,561,18000,130127620,Biography|Crime|Drama,American Gangster ,0,http://www.imdb.com/title/tt0765429/?ref_=fn_tt_tt_1,English,USA,R,100000000,2007,782,7.8,1.85
141,0,618,2000,146282411,Action|Comedy|Thriller,True Lies ,0,http://www.imdb.com/title/tt0111503/?ref_=fn_tt_tt_1,English,USA,R,115000000,1994,1000,7.2,2.35
106,12000,385,18000,65452312,Action|Crime|Thriller,The Taking of Pelham 1 2 3 ,1,http://www.imdb.com/title/tt1111422/?ref_=fn_tt_tt_1,English,USA,R,100000000,2009,464,6.4,2.35
98,80,708,22000,148383780,Comedy|Romance,Little Fockers ,10,http://www.imdb.com/title/tt0970866/?ref_=fn_tt_tt_1,English,USA,PG-13,100000000,2010,713,5.5,1.85
116,285,107,12000,119219978,Action|Comedy|Crime,The Other Guys ,2,http://www.imdb.com/title/tt1386588/?ref_=fn_tt_tt_1,English,USA,PG-13,100000000,2010,8000,6.7,2.35
115,55,383,1000,101228120,Action|Drama|Mystery|Thriller,Eraser ,1,http://www.imdb.com/title/tt0116213/?ref_=fn_tt_tt_1,English,USA,R,100000000,1996,773,6.1,2.35
165,16000,265,29000,162804648,Drama|Western,Django Unchained ,1,http://www.imdb.com/title/tt1853728/?ref_=fn_tt_tt_1,English,USA,R,100000000,2012,11000,8.5,2.35
91,21,542,2000,100117603,Animation|Drama|Family|Musical|Romance,The Hunchback of Notre Dame ,0,http://www.imdb.com/title/tt0116583/?ref_=fn_tt_tt_1,English,USA,G,100000000,1996,700,6.9,1.78
78,10,253,558,89296573,Adventure|Animation|Comedy|Family|Fantasy,The Emperor's New Groove ,1,http://www.imdb.com/title/tt0120917/?ref_=fn_tt_tt_1,English,USA,G,100000000,2000,452,7.3,1.66
103,165,13000,26000,85017401,Action|Adventure|Thriller,The Expendables 2 ,3,http://www.imdb.com/title/tt1764651/?ref_=fn_tt_tt_1,English,USA,R,92000000,2012,13000,6.7,2.35
131,226,341,12000,173005002,Action|Adventure|Comedy|Family|Mystery,National Treasure ,0,http://www.imdb.com/title/tt0368891/?ref_=fn_tt_tt_1,English,USA,PG,100000000,2004,625,6.9,2.35
