duration,gross,genres,cast_total_facebook_likes,content_rating,aspect_ratio,movie_facebook_likes
111,,Comedy|Drama|Family|Music|Musical|Romance,3009,TV-G,1.78,586
96,,Drama|Romance,414,,2.35,187
94,,Crime|Drama|Thriller,17377,,2.35,0
125,927107,Biography|Drama|Romance|War,333,,1.85,687
108,49526,Comedy|Drama,2119,R,2.35,1000
101,10696,Crime|Thriller,490,R,2.35,413
101,31607598,Drama|Horror|Thriller,35717,PG-13,2.35,10000
139,6857096,Drama|Mystery|War,343,R,1.85,37000
125,223878,Comedy|Drama|Romance,132,R,2.35,282
88,828,Action|Comedy|Crime|Drama|Romance|Thriller,2728,R,2.35,663
115,8060,Action|Crime|Drama|Thriller,666,R,1.85,11000
99,84263837,Horror|Mystery,2323,R,2.35,45000
88,110029,Comedy|Drama|Musical,225,PG-13,2.35,479
112,57504069,Crime|Drama,106,R,1.85,0
108,54215416,Biography|Drama|Music,936,PG-13,1.85,0
107,,Comedy|Drama,1285,PG,1.85,337
104,31899000,Mystery|Romance|Thriller,2442,X,2.35,0
108,24103594,Adventure|Comedy|Drama|Family,4840,PG,1.85,391
102,16842303,Comedy|Crime,2475,R,2.35,0
88,13367101,Comedy|Drama|Romance,1140,R,2.35,515
115,,Sci-Fi|Thriller,394,G,2.35,0
91,10149779,Horror|Sci-Fi|Thriller,1405,PG-13,2.35,342
141,6173485,Biography|Drama,105,R,2.35,802
101,4000304,Drama,15230,NC-17,2.35,23000
105,2338695,Crime|Drama|Thriller,29277,R,2.35,0
100,2024854,Drama|Western,1942,PG-13,2.35,19
116,2268296,Drama|Thriller,13180,PG-13,2.35,12000
97,1029017,Drama|Romance,21107,R,2.35,1000
106,64148,Drama,846,,1.85,260
105,66637,Drama|Romance|War,14462,R,2.35,0
102,,Action|Adventure|Drama|Western,1904,R,2.35,830
122,871577,Biography|Drama|Music,2614,R,2.35,13000
107,38400000,Action|Sci-Fi,3582,R,1.85,13000
121,4063859,Drama|Romance,200,R,1.85,11000
98,449558,Biography|Drama|Sport,1163,R,1.85,0
108,,Comedy|Horror|Sci-Fi,2020,R,1.85,0
55,,Crime|Drama|Thriller,39,TV-MA,1.85,0
123,2122561,Comedy|Romance,3254,R,1.85,0
110,181360000,Musical|Romance,5127,PG-13,2.35,13000
120,137963328,Drama|War,42028,R,1.85,9000
122,119078393,Documentary|Drama|War,1448,R,1.85,0
110,102308900,Biography|Crime|Drama|Western,2169,M,2.35,0
139,102300000,Comedy|Family|Fantasy|Musical,2045,Approved,1.66,0
124,54800000,Drama,5122,R,1.85,0
120,24004159,Action|Adventure|Comedy,3175,PG,2.35,0
152,43650000,Crime|Drama|Musical|Romance|Thriller,1802,Unrated,2.2,0
98,39800000,Comedy|Sport,14921,R,1.85,0
106,27457409,Comedy|Drama,6419,R,1.85,478
106,25047631,Comedy|Drama|Romance,2724,R,1.85,990
106,23272306,Crime|Drama|Mystery|Thriller,20821,R,2.35,28000
89,22168359,Fantasy|Horror|Romance|Thriller,584,X,1.85,1000
94,21005329,Comedy|Romance,19341,R,1.85,0
109,26236603,Drama|Sport,1582,R,2.35,10000
144,20400000,Drama|Romance|Western,2037,Unrated,1.37,403
90,18621249,Comedy,4611,PG-13,1.85,0
106,25244700,Action|Sci-Fi,2270,R,2.35,0
121,14545844,Comedy|Drama|Musical,1284,R,1.85,624
89,13235267,Comedy|Family,1752,PG,1.85,256
86,12674183,Action|Comedy|Crime,773,PG-13,2.35,355
91,17508936,Comedy|Music,1660,PG-13,1.85,0
104,12793213,Comedy|Drama|Romance,10430,R,1.85,0
,,Drama|History|Romance|War,4528,TV-14,16.0,11000
99,11883495,Comedy|Drama|Fantasy|Romance,1462,R,1.85,0
98,11797927,Comedy|Horror|Thriller,3221,R,1.85,985
121,17605861,Biography|Drama|History|Thriller,1184,R,2.35,0
96,11642254,Horror|Thriller,1308,X,1.85,926
99,9203192,Comedy|Crime|Drama,11328,PG-13,1.85,15000
42,7518876,Adventure|Documentary|Short,844,,1.78,28
122,8596914,Biography|Drama,1517,R,1.85,0
101,6851636,Comedy|Drama|Romance,2697,R,1.85,0
102,11434867,Drama|Mystery|Romance|Thriller,51355,PG-13,1.85,21000
84,5895238,Comedy|Western,10123,R,2.35,9000
104,6670712,Comedy|Drama,3825,PG-13,1.85,0
96,5359774,Comedy|Crime|Thriller,3569,R,2.35,17000
94,4693919,Comedy,4484,R,1.85,422
90,4859475,Drama|Romance,7103,R,1.85,0
97,4595000,Comedy|Drama|Music|Romance,2103,R,1.85,915
90,4542775,Comedy|Romance,1831,R,1.85,985
106,3588432,Comedy|Drama,18947,R,2.35,0
96,4394936,Comedy|Drama|Fantasy|Romance,5668,PG-13,2.35,901
44,,Crime|Drama|Mystery,3318,TV-14,1.78,0
95,3029081,Comedy|Drama|Music|Musical,993,R,1.85,0
99,3273588,Action|Drama,382,PG-13,1.85,0
93,,Drama|Horror|Mystery|Thriller,546,,2.35,84
99,2207975,Drama|History,8297,PG-13,2.35,0
95,2025238,Comedy|Crime|Drama|Thriller,489,R,1.85,289
84,1028337,Drama|Thriller,1407,R,1.85,29
144,,Action|Adventure|Western,2379,R,2.35,0
99,2077046,Comedy|Drama|Romance,2748,R,2.35,0
110,,Adventure|Crime|Drama|Thriller,297,PG,1.85,643
97,267194,Drama,841,R,1.85,605
107,869325,Action|Adventure|Fantasy|Sci-Fi,2000,PG-13,1.85,125
90,399611,Biography|Drama|Sport,2370,PG,1.85,0
104,181798,Drama,282,R,1.66,52
96,115862,Drama|Romance,2163,R,2.35,0
104,1346503,Drama|History,2430,PG-13,2.35,0
97,117560,Drama|Romance,1081,R,1.85,224
107,54606,Comedy|Crime|Romance,2440,PG-13,2.35,30
117,,Drama,15604,PG,1.85,733
85,36497,Comedy,14599,R,1.85,850
152,23807,Documentary,105,Unrated,,570
85,,Comedy|Crime|Drama,2200,R,1.85,0
76,,Action|Drama|Thriller,2152,R,2.35,176
87,,Drama|Mystery|Thriller,1227,R,1.85,275
95,65804,Crime|Drama|Thriller,27575,R,2.35,0
101,,Drama|Family,1940,PG,2.35,1000
90,,Action|Thriller,3469,R,1.85,0
240,,Comedy|Drama|Romance,2563,,1.78,0
89,,Horror|Mystery|Sci-Fi|Thriller,477,R,1.85,0
111,3895664,Comedy|Drama,1858,R,1.85,0
86,20200,Drama|Music,12772,PG-13,,0
115,31874869,Crime|Mystery|Thriller,34605,R,1.85,0
103,542860,Drama|History|War,219,R,2.35,0
90,,Comedy|Crime|Thriller,6569,R,,0
133,,Thriller|War,502,Unrated,1.66,0
88,15059,Drama|Thriller,1443,PG-13,2.35,543
111,11905519,Action|Crime|Drama|Thriller,2205,R,1.85,0
94,69582,Comedy,1477,R,1.85,109
25,,Comedy|Romance,1239,TV-14,16.0,0
112,32541719,Comedy|Drama|Romance|Sport,2201,PG-13,1.85,0
141,3064356,Drama|Romance,2584,PG-13,1.85,160
95,7009668,Action|Sport,2000,PG-13,1.85,244
141,352684,Action|Comedy,1065,Not Rated,,365
85,27024,Horror,73,R,1.85,4000
105,531806,Musical,72,PG,,277
129,159600000,Comedy|Crime|Drama,2387,PG,1.85,0
125,58800000,Biography|Drama|Sport,1651,PG,1.85,0
116,50382128,Comedy|Drama|Romance,2723,PG-13,1.85,0
105,35811509,Biography|Drama|Music|Romance,888,PG-13,1.85,0
90,24475193,Comedy|Drama|Romance,44265,R,2.35,33000
105,,Mystery|Western,17599,R,2.35,0
111,6200756,Comedy|Drama,34106,R,1.85,5000
91,1292119,Biography|Drama|Romance,16768,R,1.85,0
95,,Comedy|Sci-Fi,396,R,2.35,438
97,3629758,Drama|Music,745,PG-13,2.35,0
92,6239558,Comedy|Drama,1033,R,1.85,352
104,1056102,Crime|Drama|Mystery|Thriller,1315,R,1.85,1000
120,27545445,Drama,2892,R,1.85,0
99,56007,Comedy|Crime|Drama|Romance|Thriller,6776,R,2.35,113
93,611709,Comedy|Drama,391,Not Rated,1.85,0
99,753501,Crime|Drama|Mystery|Thriller,118,Not Rated,2.35,13000
99,22770,Comedy|Drama,81,Unrated,1.85,543
157,2197331,Comedy|Drama|History|Romance,1519,Not Rated,2.35,0
90,,Drama,2030,,2.35,679
96,27445,Action|Comedy|Drama|Thriller,561,R,1.85,1000
96,766487,Comedy|Romance,4883,R,1.85,915
90,18434,Comedy|Drama,6111,R,1.85,484
100,1196752,Crime|Drama|Thriller,385,R,2.39,23000
94,,Comedy|Horror|Sci-Fi|Thriller,1832,Not Rated,2.35,11000
98,795126,Comedy|Drama|Sport,955,PG-13,1.85,989
129,,Drama|Romance,631,PG-13,,0
103,,Drama|Fantasy|Romance,454,PG,1.85,0
128,563699,Action|Crime|Drama|Thriller,787,R,,421
106,83574831,Fantasy|Horror|Thriller,2975,PG-13,2.35,35000
95,87025093,Horror|Mystery,4134,R,1.85,0
104,71897215,Drama|Horror|Mystery|Sci-Fi|Thriller,14504,PG-13,2.35,33000
87,64267897,Comedy|Documentary,1770,R,1.85,0
81,56536016,Horror,3344,PG-13,2.35,0
94,104007828,Horror,2371,R,1.85,24000
89,50820940,Fantasy|Horror,5056,PG-13,2.35,18000
88,44793200,Action|Fantasy|Horror|Thriller,1584,X,1.85,0
108,43771291,Mystery|Thriller,3215,R,2.35,15000
115,44456509,Comedy|Drama,688,PG-13,1.85,14000
96,53884821,Horror,799,R,1.85,26000
135,36000000,Drama|History,1920,Unrated,2.2,0
113,,Comedy|Crime|Mystery,971,G,2.35,620
93,34872293,Comedy|Fantasy|Horror|Thriller,42002,R,1.85,963
109,34468224,Biography|Crime|Drama|Thriller,11736,R,1.85,0
127,,Adventure|Drama|Family|Fantasy|Sci-Fi,799,Approved,1.37,0
101,32453345,Fantasy|Horror|Thriller,2161,R,1.78,10000
124,,Biography|Drama,13864,PG,2.35,9000
117,27296514,Biography|Drama,17738,R,2.35,65000
83,25799043,Horror|Sci-Fi|Thriller,11771,PG-13,2.35,0
113,25530884,Mystery|Thriller,1997,R,2.35,40000
104,27689474,Horror|Mystery,2071,R,2.35,23000
97,24138847,Comedy,2990,R,1.85,0
110,21994911,Drama|Music,1122,R,1.85,0
103,21501098,Comedy|Drama,8375,PG-13,1.85,22000
94,19281235,Comedy|Drama|Music|Romance,2523,R,1.85,232
102,,Adventure|Drama|Family|Romance|Western,854,PG,2.35,0
77,19421271,Animation|Comedy|Family,2908,G,1.33,122
134,20733485,Drama,428,PG-13,1.85,1000
129,,Biography|Drama,2014,R,1.85,0
90,24809547,Comedy|Drama,15710,R,1.85,11000
134,19097994,Biography|Drama|Sport,2410,PG-13,2.35,0
104,23031390,Comedy|Drama,2868,R,1.85,575
95,16017403,Drama|Romance|Thriller,3300,R,1.85,0
93,21197315,Horror|Mystery|Thriller,1410,R,1.85,14000
106,17382982,Drama|Thriller,2840,R,1.85,0
109,14821531,Drama,3843,R,1.85,599
101,18656400,Drama,19673,PG-13,1.85,45000
139,,Drama|History,2112,Approved,2.55,376
99,,Action|Crime|Thriller,14306,R,1.85,0
100,14343976,Adventure|Horror,1327,R,1.85,1000
95,241437427,Comedy|Family|Romance,1495,PG,1.85,5000
94,14123773,Crime|Drama,12306,R,2.35,25000
93,15126948,Horror|Thriller,1227,R,1.85,0
106,13622333,Adventure|Comedy|Drama|Romance,361,R,1.85,0
99,13464388,Comedy|Horror,1686,R,2.35,19000
82,13350177,Drama|Horror|Thriller,4856,PG-13,1.85,562
135,13269963,Drama|Mystery,11400,R,2.35,0
88,17768000,Horror|Thriller,1136,R,1.85,0
89,12947763,Horror|Mystery,1160,R,2.35,0
110,14100000,Comedy|Drama,2943,R,1.85,0
107,12200000,Action|Crime|Drama|Thriller|Western,2383,PG,1.85,0
86,17683670,Horror|Mystery|Sci-Fi|Thriller,1520,PG-13,1.33,0
91,12055108,Comedy|Drama,2528,R,2.35,0
103,27285953,Action|Thriller,259,R,1.85,16000
90,,Action|Adventure|Fantasy,23714,PG,1.85,0
141,,Drama|History|Romance|War,1332,,2.2,270
92,11675178,Comedy,2848,R,,11000
99,10572742,Drama|Romance,2269,PG-13,1.85,738
79,,Drama|Romance|War,1284,Unrated,1.37,213
96,9658370,Comedy|Romance,3552,R,,740
82,9628751,Action|Adventure|Animation|Family|Sci-Fi,315,PG,1.85,207
92,8786715,Comedy|Drama,5668,PG-13,1.85,0
112,3432342,Comedy|Crime|Drama|Mystery|Romance,253,R,2.35,0
106,,Adventure|Drama|Romance,1199,PG,1.85,672
90,6755271,Horror|Thriller,3004,R,1.85,327
126,,Action|Drama|War,13591,PG,2.35,729
150,6157157,Comedy|Drama,3942,PG-13,1.85,0
90,6088249,Comedy,5202,R,2.35,0
91,5480318,Comedy|Drama,2691,R,1.85,462
145,,Western,2589,PG-13,2.35,10000
95,5308707,Comedy|Crime|Drama|Thriller,5245,R,1.85,393
97,5009677,Drama|Mystery|Sci-Fi,19404,R,2.35,47000
90,4328294,Comedy,5900,PG-13,1.85,249
41,4074023,Documentary,55,,1.78,89
112,4306697,Drama,2820,R,2.35,920
122,3950029,Drama,416,PG-13,2.35,0
110,4040588,Comedy|Drama,25676,PG-13,2.35,0
87,,Comedy|Music|Sci-Fi,1324,R,,323
108,3049135,Biography|Crime|Drama|Romance|Thriller,14574,R,2.35,0
121,4700361,Drama,6617,PG-13,2.35,0
97,2711210,Comedy|Drama,10517,R,2.35,0
116,1980338,Comedy|Crime|Drama|Mystery|Thriller,1209,R,1.85,507
94,1082044,Drama|Thriller,24994,R,2.35,21000
103,1100000,Crime|Drama,1201,R,1.85,247
112,2445646,Biography|Crime|Drama|Mystery|Thriller,12897,R,2.35,13000
91,2221809,Drama,1582,PG-13,1.85,0
98,296665,Biography|Crime|Drama|Thriller,5185,R,1.85,0
95,3219029,Crime|Horror|Music|Thriller,1836,R,2.35,10000
88,,Comedy|Drama|Romance,1665,R,2.35,255
99,830210,Drama|Mystery|Sci-Fi,3382,PG-13,,0
91,1040879,Comedy|Crime|Drama,648,R,1.85,0
97,326308,Crime|Drama|Thriller,13718,R,2.35,225
136,240425,Biography|Drama|History,172,,2.35,133
118,228830,Crime|Documentary|War,6,R,2.35,489
94,,Drama,498,R,1.85,274
89,223615,Comedy|Horror,2958,R,2.35,49000
90,124720,Drama|Romance,4987,PG,1.85,777
95,,Adventure|Drama|Romance,538,Approved,1.37,44
90,99147,Drama,3207,R,1.85,69
95,,Comedy|Horror|Sci-Fi,2984,R,1.85,174
94,65069140,Horror|Thriller,1010,PG-13,1.85,27000
90,65087,Crime|Thriller|War,408,R,1.85,559
103,16066,Mystery|Romance|Thriller,1789,R,2.35,40
60,,Drama|Fantasy,5203,TV-MA,1.78,634
91,,Horror|Sci-Fi|Thriller,117,R,,0
102,,Drama|Horror|Thriller,526,Not Rated,2.35,0
92,,Comedy|Crime|Horror|Thriller,1258,Unrated,2.35,639
87,,Comedy|Drama|Fantasy,3724,R,1.78,887
80,,Animation|Comedy,10727,R,1.85,419
90,,Drama|Family|Music,3217,PG-13,,38
44,,Comedy|Crime|Mystery,4092,TV-PG,1.78,0
105,37440,Comedy|Drama|Music,1986,R,,0
67,,Animation|Family,2509,PG,,165
95,,Comedy,3514,PG,,0
87,,Crime|Drama|Thriller,3059,TV-PG,1.78,58
94,,Drama|Thriller,12676,R,2.35,0
109,,Action|Drama|Thriller|War,1681,R,,190
130,,Action|Sci-Fi|Thriller,5191,PG,2.35,2000
,,Comedy|Drama,4991,,,35
88,,Family,3021,,,49
88,,Comedy|Fantasy|Horror|Thriller,46115,PG-13,,0
97,,Action|Horror,2849,,,0
113,617228,Comedy|Drama|Romance|War,92,R,1.85,1000
99,274385,Comedy|Drama,1519,,1.85,0
148,24475416,Drama,3967,R,1.85,0
107,,Horror|Thriller,2363,R,2.35,10000
93,47277326,Horror,2990,R,2.35,0
94,1247453,Comedy|Drama,3690,R,2.35,750
121,1729969,Drama|Thriller,1520,R,2.35,14000
118,1705139,Fantasy|Horror|Mystery|Thriller,2545,R,1.85,0
98,238774,Comedy|Drama,11703,PG-13,1.85,864
82,,Comedy|Crime,2469,Unrated,,0
101,8025872,Comedy|Horror,302,X,1.85,0
106,,Biography|Drama|Romance|Western,2409,R,2.35,0
90,778565,Crime|Drama,34779,R,1.85,30000
79,,Drama,286,,,11
87,,Comedy,2006,R,,491
,,Comedy|Romance,5,,,2
105,1340891,Drama|Romance,18105,PG-13,1.85,2000
89,,Western,2668,R,2.35,31
100,513836,Comedy|Drama|Romance,143,R,1.85,0
92,,Comedy|Drama,1795,,,199
97,434417,Drama,15093,Not Rated,1.85,0
100,728,Crime|Drama,122,,1.85,285
96,81200000,Comedy,3113,R,1.85,0
104,,Adventure|Drama|Romance,1662,R,1.85,0
117,52700832,Comedy|Drama|Romance,1862,R,1.66,0
90,,Comedy|Drama,5002,X,1.85,0
115,,Adventure|Drama,588,Unrated,1.66,0
108,13060843,Drama,26050,R,2.35,0
43,,Crime|Drama,1587,,16.0,2000
109,3798532,Crime|Drama|Romance|Thriller,3668,R,1.85,2000
102,3609278,Drama,2235,R,1.37,38000
100,,Musical|Romance,496,Approved,1.37,501
115,1687311,Drama|Musical,371,PG-13,2.0,539
122,,Drama|History|Thriller|War,2762,R,1.85,1000
98,10429707,Comedy,2705,PG,2.35,0
133,727883,Drama|Sci-Fi|Thriller,17040,R,2.35,33000
105,1391770,Adventure|Comedy|Western,793,PG-13,2.35,0
122,713413,Crime|Drama|Mystery,48,R,1.85,689
106,410241,Comedy|Crime|Drama,2110,R,1.85,3000
98,278821,Comedy|Drama,5041,R,1.85,0
112,211667,Crime|Drama,907,R,2.35,4000
120,706622,Biography|Drama|Music|Romance,53,,1.85,0
99,92191,Comedy|Drama|Sport,29325,R,1.85,0
110,49413,Action|Crime|Thriller,398,R,2.35,528
102,199652,Action|Adventure|Western,1950,R,2.35,0
109,181655,Crime|Drama,131,R,1.85,0
104,108229,Drama|Horror|Mystery|Thriller,15860,R,2.35,7000
134,,Drama|Thriller,496,,,62
133,112000000,Drama,2176,R,1.85,32000
85,,Comedy,20397,PG,1.78,224
87,,Comedy|Romance,2951,PG,1.85,629
130,,Action|Drama|History|Thriller|War,151,,2.35,10000
199,,Drama|Family,2667,TV-G,1.33,0
103,8691,Action|Adventure,3089,R,,0
112,26345,Action|Crime|Drama,4810,R,2.35,0
89,6940281,Crime|Thriller,1291,R,2.35,0
124,188870,Action|Crime|Drama|Thriller,857,R,2.35,0
101,20772796,Drama|Family,497,PG-13,2.35,0
133,199228,Comedy|Drama,1045,,2.35,504
112,,Mystery|Sci-Fi|Thriller,61,,2.35,2000
111,34964818,Adventure|Family|Fantasy,21404,PG,2.35,24000
98,,Comedy|Drama|Family|Music|Musical|Romance,2553,TV-G,1.33,0
60,,Crime|Drama,3026,,16.0,0
93,2542264,Comedy|Drama,938,PG-13,1.85,61
104,1487477,Fantasy|Thriller,206,R,1.85,0
112,62549000,Crime|Drama|Romance|Thriller,2412,R,2.35,0
94,105500000,Comedy,582,R,1.85,0
90,101055,Horror,1951,R,2.35,0
96,,Drama|Horror|Mystery,403,Unrated,1.85,0
101,44566004,Drama,32015,R,1.85,17000
93,39200000,Comedy|Romance,12691,PG,1.37,0
152,36000000,Drama|Family|Romance,825,Not Rated,1.37,625
150,65007045,Action|Adventure|Drama,26489,PG-13,2.35,51000
112,31252964,Drama|Romance,13707,R,2.35,0
95,131175,Drama|Horror,1885,PG-13,2.35,22000
111,31968347,Drama|Romance,14823,R,1.66,0
86,,Comedy|Horror,2634,,1.78,0
108,,Comedy|Horror|Sci-Fi,2020,R,1.85,0
105,,Comedy|Drama|Romance,1218,PG,2.35,661
91,35385560,Mystery|Thriller,4807,R,2.35,8000
105,,Drama|Romance,986,Approved,2.35,283
60,,Drama|Fantasy,5203,TV-MA,1.78,634
106,20803237,Comedy|Drama,18645,R,1.85,16000
93,13008928,Horror|Sci-Fi|Thriller,837,R,2.35,27000
172,,Adventure|Drama|History|Thriller|War,1785,Approved,2.35,8000
109,10941801,Comedy|Documentary|Drama|Fantasy|Mystery|Sci-Fi,2649,Unrated,1.85,2000
93,15152879,Drama|Horror|Thriller,46868,PG-13,2.35,0
165,25359200,Drama,673,R,1.85,92000
96,10515579,Comedy|Crime|Mystery,20132,PG-13,1.85,0
119,180011740,Action|Adventure|Sci-Fi|Thriller,2776,PG-13,2.35,0
93,10097096,Comedy,955,R,1.85,842
82,9821335,Comedy,3354,R,1.85,118
101,8243880,Crime|Drama|Fantasy|Romance,3086,R,2.35,762
120,,Drama|Romance|Western,1652,Approved,1.66,0
81,7825820,Crime|Mystery|Thriller,50831,R,1.85,576
82,7557877,Comedy|Crime,1002,R,1.85,138
107,14637490,Horror|Mystery|Thriller,2537,R,2.35,0
105,7159147,Drama|Mystery|Thriller,954,R,2.35,11000
86,17314483,Comedy|Fantasy,4073,R,1.85,0
110,6525762,Comedy|Drama|Romance,19928,R,1.85,0
127,,Drama|Thriller,753,M,1.85,414
90,4613815,Comedy|Crime,1566,R,1.85,931
110,4301331,Comedy|Fantasy,7921,R,1.85,0
104,4046737,Comedy|Drama|Romance,2251,R,1.85,15000
96,3713002,Documentary,972,R,1.85,131
110,3468572,Drama,1966,R,1.85,816
84,2892582,Comedy,3559,R,1.85,0
94,2800000,Comedy,2662,R,1.85,309
93,2426851,Comedy|Crime|Romance|Thriller,776,R,2.55,830
96,1325073,Comedy|Drama,1208,R,2.35,708
88,,Action|Crime|Horror|Thriller,4777,R,1.85,16000
101,864959,Adventure|Fantasy,1215,PG,1.85,0
102,2601847,Documentary|Music,48,PG-13,2.35,26000
87,800000,Adventure|Fantasy,1700,R,1.85,550
83,1429260,Drama|Romance,2353,PG-13,2.35,0
103,,Drama|Thriller,3408,R,2.35,987
99,562059,Drama|Thriller,3130,R,1.85,872
106,399793,Drama,4343,R,1.78,111
115,,Drama|Fantasy,1298,Not Rated,1.85,12000
117,371897,Drama,13607,R,2.35,11000
99,302204,Comedy|Crime|Romance,975,PG,2.35,167
102,354704,Crime|Drama|Horror|Thriller,11083,R,1.85,314
85,265107,Comedy|Horror|Mystery,2282,Unrated,1.85,614
86,185577,Comedy,2805,R,1.85,182
120,100412,Drama,824,PG-13,2.35,0
106,58214,Crime|Drama|Thriller,916,R,2.35,10000
103,75078,Comedy,1403,R,1.85,132
93,64359,Comedy|Romance,643,R,,108
112,317125,Drama|Romance,25269,R,2.35,0
100,,Comedy|Drama|Romance,5796,R,2.35,98
113,146402,Comedy|Drama,387,R,1.85,0
98,18469,Drama|Horror|Sci-Fi,1038,R,2.35,0
23,,Comedy|Family|Romance,915,TV-G,1.33,325
92,12836,Biography|Drama,20135,R,1.85,161
106,20262,Drama,629,Unrated,2.35,278
119,,Comedy|Drama,10984,R,2.35,798
99,,Action|Adventure|Crime|Thriller,2631,R,2.35,0
90,,Comedy|Fantasy,1298,R,2.35,688
120,,Adventure|Drama,183,,,282
168,,Drama|Family|History|Musical,1541,PG,2.35,0
93,4063,Drama|Mystery|Romance|Thriller,242,R,2.35,657
96,,Drama|War,457,Passed,1.2,279
103,,Comedy|Drama|Romance,1585,,1.85,296
93,,Horror,2651,R,2.35,0
84,,Horror|Thriller,644,R,2.35,0
81,,Horror,609,R,,531
84,,Comedy|Romance,1932,TV-G,1.78,170
94,,Adventure|Biography|Drama|Romance,1150,PG,,365
141,,Adventure|Drama|History,13391,PG-13,2.35,0
120,,Biography|Drama|History,1238,Approved,1.66,2000
121,,Drama|Romance,5987,R,1.85,17000
