director_name,duration,actor_3_facebook_likes,actor_1_facebook_likes,gross,num_voted_users,cast_total_facebook_likes,actor_3_name,plot_keywords,movie_imdb_link,num_user_for_reviews,budget,title_year
Joe Nussbaum,104,741,1000,10106233,12702,5190,Aimee Teegarden,decoration|father daughter relationship|high school|prom|teenager,http://www.imdb.com/title/tt1604171/?ref_=fn_tt_tt_1,32,8000000,2011
Matt Reeves,98,636,1000,,6124,3502,Carol Kane,bachelor party|directorial debut|funeral|pallbearer|wedding,http://www.imdb.com/title/tt0117283/?ref_=fn_tt_tt_1,55,8000000,1996
Steve Rash,89,660,883,4692814,2870,3291,Jake Busey,hold up|hostage|stockholm syndrome|swat team|vegetarian,http://www.imdb.com/title/tt0165831/?ref_=fn_tt_tt_1,34,8000000,1999
Fina Torres,92,417,1000,5018450,8546,2687,Mark Feuerstein,cross dresser|food|friend|motion sickness|restaurant,http://www.imdb.com/title/tt0206420/?ref_=fn_tt_tt_1,86,8000000,2000
James Ivory,140,136,12000,25967000,21254,13180,Samuel West,england|friendship|prejudice|upper class|working class,http://www.imdb.com/title/tt0104454/?ref_=fn_tt_tt_1,86,,1992
,60,648,3000,,22848,6034,Ruth Negga,heaven and hell|preacher|supernatural|vampire|vertigo comics,http://www.imdb.com/title/tt5016504/?ref_=fn_tt_tt_1,85,,
Duke Johnson,90,0,1000,3442820,31489,1442,David Thewlis,full frontal male nudity|hotel room|multiple characters voiced by same person|one night stand|sex in hotel room,http://www.imdb.com/title/tt2401878/?ref_=fn_tt_tt_1,140,8000000,2015
Mike Leigh,129,386,1000,3205244,23629,2265,Phil Davis,autumn|four seasons|friend|looking at one's self in a mirror|unhappiness,http://www.imdb.com/title/tt1431181/?ref_=fn_tt_tt_1,141,10000000,2010
François Ozon,111,569,963,3076425,23660,3543,Emmanuelle Béart,cook|industrialist|secret|snowstorm|suspect,http://www.imdb.com/title/tt0283832/?ref_=fn_tt_tt_1,162,8000000,2002
Mark L. Lester,79,112,1000,2275557,12561,2404,Vernee Watson,bare chested male|detective|electric torture|japanese american|yakuza,http://www.imdb.com/title/tt0102915/?ref_=fn_tt_tt_1,102,8000000,1991
David Dobkin,104,168,1000,1789892,9494,1795,Kevin Rahm,breasts|serial killer|small town|vomiting|widow,http://www.imdb.com/title/tt0118863/?ref_=fn_tt_tt_1,109,8000000,1998
Anna Boden,101,472,943,6350058,106098,2786,Jim Gaffigan,based on novel|depression|psychiatric ward|suicide attempt|therapy,http://www.imdb.com/title/tt0804497/?ref_=fn_tt_tt_1,150,8000000,2010
Nigel Cole,113,594,5000,1094798,11158,7692,Sally Hawkins,equal pay|machinist|minister|protest|sex,http://www.imdb.com/title/tt1371155/?ref_=fn_tt_tt_1,73,7200000,2010
Anand Tucker,92,291,14000,1071240,3571,15848,Gina McKee,cancer|children|death|terminal cancer|time,http://www.imdb.com/title/tt0829098/?ref_=fn_tt_tt_1,34,8000000,2007
Steve James,106,200,1000,532190,5673,1610,Amy Locane,long distance runner|olympics|oregon|runner|watching television,http://www.imdb.com/title/tt0119937/?ref_=fn_tt_tt_1,37,8000000,1997
Michael Winner,98,249,977,,802,2413,John Gielgud,female nudity|highwayman|nell gwynne|nudity|whipping,http://www.imdb.com/title/tt0086582/?ref_=fn_tt_tt_1,15,8000000,1983
Tomm Moore,75,4,61,686383,22811,75,Evan McGuire,barbarian|fairy|forest|monastery|unfinished book,http://www.imdb.com/title/tt0485601/?ref_=fn_tt_tt_1,71,6500000,2009
John Carney,104,7,480,16168741,99430,517,Mary Catherine Garrison,manhattan new york city|new york city|record label|singer|song,http://www.imdb.com/title/tt1980929/?ref_=fn_tt_tt_1,182,8000000,2013
David Jacobson,108,710,2000,568695,16617,3921,Rory Culkin,beach|cowboy|cowboy hat|neo western|valley,http://www.imdb.com/title/tt0398027/?ref_=fn_tt_tt_1,110,8000000,2005
Michael Corrente,99,209,480,398420,5049,1234,Alexa Havins,1980s|friend|friendship|loyalty|mafia,http://www.imdb.com/title/tt0283503/?ref_=fn_tt_tt_1,48,8000000,2007
Edward Hall,180,844,3000,,2098,6343,Charlotte Rampling,espionage|motel|mother son relationship|murder disguised as suicide|shot in the head,http://www.imdb.com/title/tt2241676/?ref_=fn_tt_tt_1,12,,2012
Keith Gordon,109,1000,21000,336456,7116,41645,Alfre Woodard,detective|detective novel|fantasy sequence|hallucination|writer,http://www.imdb.com/title/tt0314676/?ref_=fn_tt_tt_1,79,8000000,2003
David Leland,111,227,735,146083,1591,1378,Steven Mackintosh,dorset|farm|friend|love|women's land army,http://www.imdb.com/title/tt0119494/?ref_=fn_tt_tt_1,27,,1998
Andrew Currie,93,33,553,298110,25055,786,Kesun Loder,decapitation|neighbor|neighborhood|next door neighbor|zombie,http://www.imdb.com/title/tt0457572/?ref_=fn_tt_tt_1,98,8000000,2006
Andrew Wilson,99,399,8000,127144,5159,9608,Jacob Vargas,directorial debut|fantasy sequence|nurse|old age home|prison,http://www.imdb.com/title/tt0373445/?ref_=fn_tt_tt_1,27,8000000,2005
Jonathan Lynn,98,405,10000,117190,29994,11770,Geoff Bell,apprentice|assassin|hitman|kleptomaniac|thief,http://www.imdb.com/title/tt1235189/?ref_=fn_tt_tt_1,86,8000000,2010
Marc Schölermann,95,448,905,108662,26849,3185,Johnny Whitworth,corpse|dark humor|medical school|murder|pathology,http://www.imdb.com/title/tt0964539/?ref_=fn_tt_tt_1,107,8000000,2008
,142,427,27000,,6053,29196,Kevin McNally,abuse|love|moor the landscape|revenge|tv mini series,http://www.imdb.com/title/tt1238834/?ref_=fn_tt_tt_1,33,,
Robert Moresco,107,463,954,53481,5557,2512,Dash Mihok,desert storm|fbi|fbi agent|fragmentation grenade|woman kills attacker,http://www.imdb.com/title/tt0360323/?ref_=fn_tt_tt_1,34,8000000,2006
Thomas Vinterberg,102,488,947,23106,9003,2572,William Hootkins,gang|gun|loner|love|outcast,http://www.imdb.com/title/tt0342272/?ref_=fn_tt_tt_1,58,50000000,2004
Claudia Llosa,97,47,144,52961,2103,326,William Shimell,,http://www.imdb.com/title/tt2494384/?ref_=fn_tt_tt_1,11,8000000,2014
Katsuhiro Ôtomo,124,4,6,439162,106160,28,Tesshô Genda,based on manga|biker gang|gifted child|post thermonuclear war|science runs amok,http://www.imdb.com/title/tt0094625/?ref_=fn_tt_tt_1,430,1100000000,1988
John Herzfeld,97,1000,23000,,12078,37457,Jason Flemyng,drug lord|on the run|prison|vegan|vegetarian,http://www.imdb.com/title/tt0473188/?ref_=fn_tt_tt_1,31,22000000,2007
Charles Binamé,124,23,413,,4412,733,Julie LeBreton,fan|french canadian|hockey|hockey player|machinist,http://www.imdb.com/title/tt0460505/?ref_=fn_tt_tt_1,31,8000000,2005
Keith Parmer,96,600,31000,,1965,33858,Grant Bowler,police officer killed|police officer shot in the chest|police officer shot in the forehead|police officer shot in the head|police shootout,http://www.imdb.com/title/tt2112277/?ref_=fn_tt_tt_1,24,8000000,2014
Dennie Gordon,114,11,163,50000,322,219,Jack Kao,,http://www.imdb.com/title/tt2102502/?ref_=fn_tt_tt_1,2,,2013
Ol Parker,90,112,186,671240,23023,619,Darren Boyd,florist|friend|friendship|lesbian|love,http://www.imdb.com/title/tt0421994/?ref_=fn_tt_tt_1,149,7900000,2005
Bruce Beresford,104,189,502,,63,1546,Natalie Coughlin,,http://www.imdb.com/title/tt4196848/?ref_=fn_tt_tt_1,5,8000000,2016
François Ozon,102,15,844,10105505,35065,1389,Jean-Claude Lecas,luberon|mystery writer|night|publisher|swimming,http://www.imdb.com/title/tt0324133/?ref_=fn_tt_tt_1,288,,2003
James Nunn,93,376,1000,,3740,2284,Kacey Clarke,bare breasts|firm|hooliganism|training|west ham supporter,http://www.imdb.com/title/tt2628316/?ref_=fn_tt_tt_1,13,,2013
David Webb Peoples,90,26,848,882290,4792,1526,Anna Katarina,battle|blood splatter|combat|game|showdown,http://www.imdb.com/title/tt0094764/?ref_=fn_tt_tt_1,43,10000000,1989
Michael Winnick,106,391,981,,662,2741,Craig Sheffer,gun|mayor|nightclub|police|vigilantism,http://www.imdb.com/title/tt4060866/?ref_=fn_tt_tt_1,14,8000000,2016
Bruce Beresford,99,325,11000,106593296,72324,12619,Patti LuPone,1950s|african american|jewish|old age|widow,http://www.imdb.com/title/tt0097239/?ref_=fn_tt_tt_1,134,7500000,1989
George Tillman Jr.,115,890,1000,43490057,5275,4737,Vivica A. Fox,1990s|family relationships|food in title|sister|unity,http://www.imdb.com/title/tt0120169/?ref_=fn_tt_tt_1,30,7500000,1997
Stanley Tong,89,36,186,32333860,29843,407,Garvin Cross,fight|gang|greed|street gang|wedding,http://www.imdb.com/title/tt0113326/?ref_=fn_tt_tt_1,81,7500000,1995
David Oelhoffen,101,40,10000,,4035,10218,Ángela Molina,algerian war|based on short story|hostage|teacher|title at the end,http://www.imdb.com/title/tt2936180/?ref_=fn_tt_tt_1,19,7700000,2014
Jason Reitman,92,88,24000,24792061,191998,25092,Todd Louiso,cigarette smoking|lobbyist|political satire|reporter|tobacco industry,http://www.imdb.com/title/tt0427944/?ref_=fn_tt_tt_1,323,6500000,2005
Eli Roth,94,658,1000,17544812,69989,4707,Stanislav Ianevski,american|hostel|slovakia|torture|train,http://www.imdb.com/title/tt0498353/?ref_=fn_tt_tt_1,384,10000000,2007
Lone Scherfig,100,221,3000,12574715,112138,4198,Ellie Kendrick,1960s|age difference|france|loss of virginity|oxford,http://www.imdb.com/title/tt1174732/?ref_=fn_tt_tt_1,237,4500000,2009
Anand Tucker,106,161,827,10281585,21225,1871,Clyde Kusatsu,artist|depression|gloves|photography|slacker,http://www.imdb.com/title/tt0338427/?ref_=fn_tt_tt_1,268,,2005
Tony Richardson,109,518,584,5100000,6595,2024,Nastassja Kinski,football|hotel|teenage girl|terrorist|wien,http://www.imdb.com/title/tt0087428/?ref_=fn_tt_tt_1,61,7500000,1984
Joe Carnahan,105,147,673,10460089,34098,1442,Alan Van Sprang,blood splatter|cover up|murder|police shootout|undercover,http://www.imdb.com/title/tt0272207/?ref_=fn_tt_tt_1,214,7500000,2002
Paul Gross,102,280,611,4239767,3709,1834,Kari Matchett,championship|coach|curling|marriage|rural setting,http://www.imdb.com/title/tt0263734/?ref_=fn_tt_tt_1,83,7500000,2002
Charles Robert Carner,97,742,834,4131640,5463,4091,Richard Bull,fbi|polo|possum|sheriff|shotgun,http://www.imdb.com/title/tt1001562/?ref_=fn_tt_tt_1,20,7500000,2008
Russell Holt,118,249,373,3347439,833,1233,Tiffany Dupont,1830s|baptism|intolerance|mormon church|sibling rivalry,http://www.imdb.com/title/tt0410454/?ref_=fn_tt_tt_1,33,7500000,2004
Mike Judge,92,968,24000,10814185,37530,41867,Clifton Collins Jr.,freak accident|gigolo|hit in the crotch|nosy neighbor|on the job injury,http://www.imdb.com/title/tt1225822/?ref_=fn_tt_tt_1,106,8000000,2009
Larry Charles,112,844,12000,533344,3972,15396,Bruce Dern,concert|jail|journalist|revolution|singer,http://www.imdb.com/title/tt0319829/?ref_=fn_tt_tt_1,95,,2003
Claude Miller,103,59,71,206400,1439,262,Roschdy Zem,child|criminal|death|depression|novelist,http://www.imdb.com/title/tt0269329/?ref_=fn_tt_tt_1,26,50000000,2001
Michael Winterbottom,93,158,631,197148,18109,1176,Natalie Mendoza,genetics|i.d.|love|sphinx|totalitarian,http://www.imdb.com/title/tt0345061/?ref_=fn_tt_tt_1,150,7500000,2003
Sacha Bennett,101,447,5000,,243,7206,Vincent Regan,,http://www.imdb.com/title/tt1772422/?ref_=fn_tt_tt_1,3,7500000,2012
Paul Haggis,115,911,3000,54557348,361169,5732,Jennifer Esposito,race relations|racism|racist|social problem|stereotype,http://www.imdb.com/title/tt0375679/?ref_=fn_tt_tt_1,1624,6500000,2004
Rodrigo García,113,373,3000,3014541,19616,4370,Mark Williams,19th century|hotel|painter|waiter|woman pretending to be a man,http://www.imdb.com/title/tt1602098/?ref_=fn_tt_tt_1,98,8000000,2011
Jeta Amata,95,36,262,,385,409,Razaaq Adoti,color in title|number in title|two word title,http://www.imdb.com/title/tt2147225/?ref_=fn_tt_tt_1,4,7500000,2012
Siddharth Anand,153,60,532,872643,2909,902,Vic Aviles,comeback|family relationships|marriage|new york|racer,http://www.imdb.com/title/tt0833553/?ref_=fn_tt_tt_1,37,6000000,2007
Vincent Paronnaud,89,106,963,4443403,70194,1754,Danielle Darrieux,dream|girl|iran|islamic revolution|revolution,http://www.imdb.com/title/tt0808417/?ref_=fn_tt_tt_1,158,7300000,2007
Joe Dante,92,664,844,,19157,4099,Haley Bennett,basement|family relationships|hole|no opening credits|slow motion scene,http://www.imdb.com/title/tt1085779/?ref_=fn_tt_tt_1,69,12000000,2009
Dennis Gansel,107,93,287,,80639,635,Jennifer Ulrich,autocracy|based on real events|dictatorship|germany|teacher,http://www.imdb.com/title/tt1063669/?ref_=fn_tt_tt_1,96,5000000,2008
Nicolas Winding Refn,118,500,18000,1330827,9866,19879,Charles Baker,beauty|cannibalism|fashion|lesbian|model,http://www.imdb.com/title/tt1974419/?ref_=fn_tt_tt_1,73,7000000,2016
Daniel Barber,97,641,788,1818681,74435,2486,Sean Harris,bayonet|death|police|self defense|widower,http://www.imdb.com/title/tt1289406/?ref_=fn_tt_tt_1,224,7300000,2009
Sam Raimi,156,4000,24000,336530303,383071,46055,Kirsten Dunst,sandman|spider man|symbiote|venom|villain,http://www.imdb.com/title/tt0413300/?ref_=fn_tt_tt_1,1902,258000000,2007
Robert Marcarelli,100,440,488,12610552,4682,2428,Ayla Kell,code|evil|false accusation|megalomaniac|torah,http://www.imdb.com/title/tt0203408/?ref_=fn_tt_tt_1,206,7500000,1999
Jason Reitman,96,973,24000,143492840,414335,28817,Rainn Wilson,adoption|baby|friend|pregnancy|school,http://www.imdb.com/title/tt0467406/?ref_=fn_tt_tt_1,881,7500000,2007
Ernie Barbarash,104,96,294,,4099,835,Brahim Achabbakhe,fighting|hand to hand combat|jujitsu|kickboxing|organ,http://www.imdb.com/title/tt3488328/?ref_=fn_tt_tt_1,29,7500000,2015
Guy Hamilton,120,175,244,43800000,74249,1105,Jill St. John,cat|diamond|ford mustang|james bond 007|yanked off bikini top,http://www.imdb.com/title/tt0066995/?ref_=fn_tt_tt_1,276,7200000,1971
Francis Ford Coppola,175,3000,14000,134821952,1155770,28122,Robert Duvall,crime family|mafia|organized crime|patriarch|rise to power,http://www.imdb.com/title/tt0068646/?ref_=fn_tt_tt_1,2238,6000000,1972
Adrian Lyne,95,92,225,94900000,35172,791,Lee Ving,ballet school|dance|dancer|overalls|steel worker,http://www.imdb.com/title/tt0085549/?ref_=fn_tt_tt_1,128,4000000,1983
Marc Webb,95,11000,23000,32391374,376600,54075,Zooey Deschanel,friend|greeting card|office|summer|true love,http://www.imdb.com/title/tt1022603/?ref_=fn_tt_tt_1,494,7500000,2009
Jane Campion,121,11,1000,40158000,63931,1051,Geneviève Lemon,adultery|daughter|male rear nudity|new zealand|piano,http://www.imdb.com/title/tt0107822/?ref_=fn_tt_tt_1,241,7000000,1993
Steven Soderbergh,110,11000,17000,113709992,108843,46646,Matthew McConaughey,bank|male nudity|male objectification|male stripper|stripper,http://www.imdb.com/title/tt1915581/?ref_=fn_tt_tt_1,281,7000000,2012
Jonathan Liebesman,96,82,1000,32131483,25870,2212,Angus Sampson,boy|darkness|light|tooth|tooth fairy,http://www.imdb.com/title/tt0282209/?ref_=fn_tt_tt_1,369,11000000,2003
Guy Hamilton,121,189,581,35400000,74957,1865,Clifton James,british|cards|heroin|murder|tarot card,http://www.imdb.com/title/tt0070328/?ref_=fn_tt_tt_1,251,7000000,1973
Jay Russell,95,430,1000,34099640,16651,2515,Cody Linley,1940s|dog|mississippi|puppy|veteran,http://www.imdb.com/title/tt0156812/?ref_=fn_tt_tt_1,149,5000000,2000
Adam Brooks,112,61,16000,31973840,127760,16289,Paulina Gerzon,college|daughter|girl|sex|wisconsin,http://www.imdb.com/title/tt0832266/?ref_=fn_tt_tt_1,168,,2008
Salim Akil,112,826,1000,37295394,7973,5959,Laz Alonso,martha's vineyard|mother|older woman younger man relationship|wedding|weekend,http://www.imdb.com/title/tt1640484/?ref_=fn_tt_tt_1,59,6600000,2011
Baz Luhrmann,143,76,29000,144812796,362933,29769,Steve Bisley,ingratitude|mansion|party|title appears in writing|tragedy,http://www.imdb.com/title/tt1343092/?ref_=fn_tt_tt_1,753,105000000,2013
George Clooney,93,566,21000,31501218,84070,22745,Alex Borstein,cbs|expose|fear|paranoia|reporter,http://www.imdb.com/title/tt0433383/?ref_=fn_tt_tt_1,526,7500000,2005
Bennett Miller,110,27,22000,28747570,100571,22140,Kwesi Ameyaw,book|holcomb kansas|kansas|killer|truman capote,http://www.imdb.com/title/tt0379725/?ref_=fn_tt_tt_1,416,7000000,2005
Robert Rodriguez,104,4000,16000,25625110,138707,33758,Salma Hayek,crushed by a car|female frontal nudity|female nudity|female rear nudity|one against many,http://www.imdb.com/title/tt0112851/?ref_=fn_tt_tt_1,202,7000000,1995
Michael Winterbottom,115,887,14000,403932,5254,17104,Shirley Henderson,gold|gold mine|miner|railroad|surveyor,http://www.imdb.com/title/tt0218378/?ref_=fn_tt_tt_1,92,20000000,2000
,53,1000,4000,,170055,19949,Oliver Platt,anthology|death|insurance salesman|minnesota|police officer,http://www.imdb.com/title/tt2802850/?ref_=fn_tt_tt_1,173,,
Michael Anderson,119,440,1000,25000000,39847,2951,Peter Ustinov,cat|computer|cult film|runner|sanctuary,http://www.imdb.com/title/tt0074812/?ref_=fn_tt_tt_1,242,9000000,1976
Guy Hamilton,125,244,16000,21000000,73950,17611,Desmond Llewelyn,assassin|bikini|girl in a bikini|mission|secret agent,http://www.imdb.com/title/tt0071807/?ref_=fn_tt_tt_1,258,13000000,1974
Craig R. Baxley,96,794,1000,20257000,7569,5282,Carl Weathers,murder|power|psychotronic|tough cop|union,http://www.imdb.com/title/tt0094612/?ref_=fn_tt_tt_1,65,7000000,1988
Neil Marshall,100,159,513,26005908,154938,1379,Craig Conway,cave|expedition|friendship between women|group of friends|survival horror,http://www.imdb.com/title/tt0435625/?ref_=fn_tt_tt_1,1100,3500000,2005
Don Kempf,46,69,13000,18642318,1723,13448,Bob Costas,basketball|basketball player|character name in title|chicago bulls|imax,http://www.imdb.com/title/tt0245280/?ref_=fn_tt_tt_1,13,,2000
Matt Bettinelli-Olpin,89,270,971,15818967,13913,2517,Vanessa Ray,eiffel tower at night|honeymoon|implied insemination|party|taxi driver,http://www.imdb.com/title/tt2752758/?ref_=fn_tt_tt_1,120,7000000,2014
David O. Russell,92,380,718,14891000,15088,2240,David Patrick Kelly,adoption|armpit fetish|mistaken identity|new mexico|overalls,http://www.imdb.com/title/tt0116324/?ref_=fn_tt_tt_1,105,7000000,1996
Rob Zombie,109,597,1000,16901126,76267,3544,Lew Temple,escape|police|road trip|sheriff|texas,http://www.imdb.com/title/tt0395584/?ref_=fn_tt_tt_1,687,7000000,2005
,44,970,4000,,101902,7970,Emma Caulfield,action heroine|coming of age|destiny|double life|vampire,http://www.imdb.com/title/tt0118276/?ref_=fn_tt_tt_1,665,2300000,
Rick Famuyiwa,103,190,637,17474107,56605,1342,Kiersey Clemons,african american|geek|hip hop|party|tomboy,http://www.imdb.com/title/tt3850214/?ref_=fn_tt_tt_1,89,7000000,2015
Michael Rymer,95,826,1000,14003141,4598,4837,Nia Long,cunnilingus|oral sex|police|sex scene|undercover,http://www.imdb.com/title/tt0160401/?ref_=fn_tt_tt_1,29,7000000,1999
Sam Mendes,143,393,883,304360277,522048,2039,Rory Kinnear,brawl|childhood home|computer cracker|intelligence agency|terrorist cell,http://www.imdb.com/title/tt1074638/?ref_=fn_tt_tt_1,1498,200000000,2012
Rob Zombie,105,303,1000,12583510,60709,2444,Erin Daniels,actor playing multiple roles|axe|dark comedy|masked man|sadism,http://www.imdb.com/title/tt0251736/?ref_=fn_tt_tt_1,922,7000000,2003
