director_name,num_critic_for_reviews,duration,gross,actor_1_name,actor_3_name,plot_keywords,movie_imdb_link,language,content_rating,title_year,actor_2_facebook_likes,imdb_score,movie_facebook_likes
Douglas Aarniokoski,129,84,,Boris Kodjoe,Kathleen Turner,carnage|female nudity|purple panties|sexual attraction|shaved labia,http://www.imdb.com/title/tt1913166/?ref_=fn_tt_tt_1,English,R,2013,948,4.6,0
William Phillips,15,89,,Tyler Mane,Dustin Milligan,blacksmith|bounty hunter|duel|gunslinger|wild west,http://www.imdb.com/title/tt1376195/?ref_=fn_tt_tt_1,English,,2010,716,6.5,850
Greg Mottola,248,107,16025394,Kristen Stewart,Wendie Malick,amusement park|strong female character|summer job|teen movie|teenager,http://www.imdb.com/title/tt1091722/?ref_=fn_tt_tt_1,English,R,2009,985,6.8,0
Andy Garcia,52,144,2483955,Danny Pino,Enrique Murciano,1950s|cuba|cuban flag|fidel castro|havana cuba,http://www.imdb.com/title/tt0343996/?ref_=fn_tt_tt_1,English,R,2005,228,6.7,957
Steve Carr,55,98,57176582,John Witherspoon,Rolando Molina,african american|flashback|marijuana joint|porn magazine|suburb,http://www.imdb.com/title/tt0195945/?ref_=fn_tt_tt_1,English,R,2000,706,6.1,0
Sarik Andreasyan,30,94,,Hayden Christensen,Akon,bank|critically bashed|heist|mechanic|prison,http://www.imdb.com/title/tt2923316/?ref_=fn_tt_tt_1,English,R,2014,4000,5.2,0
Lewis Gilbert,130,117,43100000,Donald Pleasence,Desmond Llewelyn,faked death|japan|japanese|poison|secret headquarters,http://www.imdb.com/title/tt0062512/?ref_=fn_tt_tt_1,English,Approved,1967,462,6.9,0
Julian Gilbey,29,102,,Mem Ferda,Malese Jow,credit card fraud|lesbian kiss|miami,http://www.imdb.com/title/tt2556874/?ref_=fn_tt_tt_1,English,R,2014,1000,6.0,1000
Michael Haneke,447,127,225377,Isabelle Huppert,Jean-Louis Trintignant,aging|daughter|old couple|old love|stroke,http://www.imdb.com/title/tt1602620/?ref_=fn_tt_tt_1,French,PG-13,2012,432,7.9,33000
Gary Sherman,66,98,14114488,Tom Skerritt,Zelda Rubinstein,aunt niece relationship|brother sister relationship|building|father daughter relationship|mirror,http://www.imdb.com/title/tt0095889/?ref_=fn_tt_tt_1,English,PG-13,1988,887,4.5,616
Valeri Milev,18,88,,Daniella Alonso,Jesse Garcia,after dark|after dark horrorfest|fictional tv news show|outbreak,http://www.imdb.com/title/tt1612319/?ref_=fn_tt_tt_1,English,R,2015,290,5.1,898
Stanley Kramer,61,197,46300000,Jonathan Winters,Spencer Tracy,california|desert|dying words|money|race,http://www.imdb.com/title/tt0057193/?ref_=fn_tt_tt_1,English,Approved,1963,898,7.6,0
Pedro Almodóvar,232,121,12899702,Carmen Maura,Antonio de la Torre,abusive father|child abuse|death|rape|secret,http://www.imdb.com/title/tt0441909/?ref_=fn_tt_tt_1,Spanish,R,2006,114,7.6,0
Gerald Potterton,62,90,,John Vernon,Don Francks,anthology|girl|heavy metal|secretary|segments,http://www.imdb.com/title/tt0082509/?ref_=fn_tt_tt_1,English,R,1981,176,6.7,0
Jared Hess,106,89,113155,Jizelle Jade,Héctor Jiménez,amateur film|sexual harassment|sexual innuendo|small town|struggling parent,http://www.imdb.com/title/tt1161418/?ref_=fn_tt_tt_1,English,PG-13,2009,947,6.1,0
Richard Loncraine,56,104,2600000,Robert Downey Jr.,Kristin Scott Thomas,1930s|abuse of power|england|king|murder,http://www.imdb.com/title/tt0114279/?ref_=fn_tt_tt_1,English,R,1995,1000,7.5,0
David Hackl,48,94,,Scott Glenn,Luisa D'Oliveira,bear|breasts|female nudity|grizzly|wilderness,http://www.imdb.com/title/tt1694021/?ref_=fn_tt_tt_1,English,R,2015,476,5.3,0
Anurag Basu,41,90,1602466,Bárbara Mori,Kabir Bedi,casino|desert|love|suicide|tragic event,http://www.imdb.com/title/tt1198101/?ref_=fn_tt_tt_1,English,,2010,412,6.0,0
Lars von Trier,439,130,3029870,Alexander Skarsgård,Charlotte Rampling,art director|breasts|depression|outdoor sex|riding a horse,http://www.imdb.com/title/tt1527186/?ref_=fn_tt_tt_1,English,R,2011,4000,7.1,50000
Kriv Stenders,54,92,,Noah Taylor,Luke Ford,australian|based on true events|dog|love|search,http://www.imdb.com/title/tt0803061/?ref_=fn_tt_tt_1,English,PG,2011,446,7.5,10000
Yash Chopra,50,176,3047539,Shah Rukh Khan,Vic Waghorn,accident|army|bomb|indian army|love,http://www.imdb.com/title/tt2176013/?ref_=fn_tt_tt_1,Hindi,Not Rated,2012,3000,6.9,12000
Ridley Scott,392,116,78900000,Tom Skerritt,Bolaji Badejo,alien|creature|future|outer space|spaceship,http://www.imdb.com/title/tt0078748/?ref_=fn_tt_tt_1,English,R,1979,581,8.5,23000
Tobe Hooper,277,88,30859000,Gunnar Hansen,Marilyn Burns,cannibal|chainsaw|hitchhiker|independent film|leatherface,http://www.imdb.com/title/tt0072271/?ref_=fn_tt_tt_1,English,R,1974,371,7.5,0
Floria Sigismondi,259,106,3571735,Kristen Stewart,Johnny Lewis,band|box office flop|critically bashed|historically inaccurate|revisionist history,http://www.imdb.com/title/tt1017451/?ref_=fn_tt_tt_1,English,R,2010,908,6.6,0
Norman Jewison,66,181,50000000,Topol,Rosalind Harris,immigration|jewish|pogrom|tradition|tradition versus modernity,http://www.imdb.com/title/tt0067093/?ref_=fn_tt_tt_1,English,G,1971,343,8.0,0
Terence Young,129,130,63600000,Desmond Llewelyn,Lois Maxwell,domino|fiery redhead|nassau|official james bond series|underwater battle,http://www.imdb.com/title/tt0059800/?ref_=fn_tt_tt_1,English,Approved,1965,189,7.0,0
Joseph Kahn,115,93,,Josh Hutcherson,Parker Bagley,blood splatter|detention|high school|overalls|reference to c. thomas howell,http://www.imdb.com/title/tt1701990/?ref_=fn_tt_tt_1,English,R,2011,383,5.8,0
Ferzan Ozpetek,81,110,,Riccardo Scamarcio,Lunetta Savino,gay|gay friend|grandmother grandson relationship|heart attack|mother son relationship,http://www.imdb.com/title/tt1405810/?ref_=fn_tt_tt_1,Italian,,2010,26,7.3,0
F. Gary Gray,29,123,36049108,Vivica A. Fox,Blair Underwood,bank|black comedy|main characters killed off|money|robbery,http://www.imdb.com/title/tt0117603/?ref_=fn_tt_tt_1,English,R,1996,851,6.8,0
Malcolm D. Lee,32,120,34074895,Harold Perrineau,Jarrod Bunch,african american|bachelor party|brooklyn bridge|family relationships|stripper,http://www.imdb.com/title/tt0168501/?ref_=fn_tt_tt_1,English,R,1999,886,6.7,0
Tom Holland,142,87,33244684,Catherine Hicks,Dinah Manoff,birthday|doll|murder|serial killer|voodoo,http://www.imdb.com/title/tt0094862/?ref_=fn_tt_tt_1,English,R,1988,189,6.5,0
Michael Moore,263,123,24530513,Michael Moore,Bill Clinton,canada|cuba|france|guantanamo|hmo,http://www.imdb.com/title/tt0386032/?ref_=fn_tt_tt_1,English,PG-13,2007,203,8.0,0
James DeMonaco,285,103,71519230,Noel Gugliemi,Roberta Valderrama,held at gunpoint|machete|masked man|sequel|violence,http://www.imdb.com/title/tt2975578/?ref_=fn_tt_tt_1,English,R,2014,971,6.5,15000
Kris Isacsson,64,91,20035310,Rosario Dawson,Shawn Hatosy,artist|cake|college|new york city|student,http://www.imdb.com/title/tt0186975/?ref_=fn_tt_tt_1,English,PG-13,2000,683,4.9,580
Danny Leiner,150,88,18225165,Ethan Embry,Paula Garcés,marijuana|police|road trip|stoner|white castle,http://www.imdb.com/title/tt0366551/?ref_=fn_tt_tt_1,English,R,2004,729,7.1,0
Rod Lurie,136,126,17804273,Jeff Bridges,William Petersen,bridge|governor|political thriller|president|vice president,http://www.imdb.com/title/tt0208874/?ref_=fn_tt_tt_1,English,R,2000,10000,7.0,1000
Ben Younger,132,120,16938179,Vin Diesel,Herbert Russell,career|casino|judge|stock|stock broker,http://www.imdb.com/title/tt0181984/?ref_=fn_tt_tt_1,English,R,2000,826,7.0,0
John Landis,71,116,90400000,Don Ameche,Ralph Bellamy,interracial relationship|poverty|prostitute|scam|stock market,http://www.imdb.com/title/tt0086465/?ref_=fn_tt_tt_1,English,R,1983,249,7.5,0
Glen Morgan,186,94,16235293,Oliver Hudson,Andrea Martin,attic|christmas|house|incest|sorority,http://www.imdb.com/title/tt0454082/?ref_=fn_tt_tt_1,English,R,2006,318,4.5,0
Daniel Taplitz,39,85,11827301,Jennifer Esposito,Patrick Cranshaw,female to male foot in crotch|lingerie slip|love|mistaken identity|writer,http://www.imdb.com/title/tt0349169/?ref_=fn_tt_tt_1,English,PG-13,2004,150,5.5,266
Kenneth Branagh,46,137,10161099,Brian Blessed,Danny Webb,battle|battle of agincourt|king|shakespeare play|sword and shield,http://www.imdb.com/title/tt0097499/?ref_=fn_tt_tt_1,English,PG-13,1989,520,7.7,0
Tamara Jenkins,201,114,6610326,Philip Seymour Hoffman,Gbenga Akinnagbe,arizona|dementia|married man|sun city arizona|writing,http://www.imdb.com/title/tt0775529/?ref_=fn_tt_tt_1,English,R,2007,929,7.2,0
Linda Mendoza,32,76,6126237,Carlos Ponce,Maria Conchita Alonso,beauty pageant|bilingual|dating|latino|three women,http://www.imdb.com/title/tt0323572/?ref_=fn_tt_tt_1,English,PG,2003,579,4.8,419
Christopher McQuarrie,117,119,6047856,Kristin Lehman,Dylan Kussman,criminal|drifter|gangster|money|surrogate mother,http://www.imdb.com/title/tt0202677/?ref_=fn_tt_tt_1,English,R,2000,127,6.7,1000
Burr Steers,136,99,4681503,Kieran Culkin,Bill Irwin,boy|mistress|money|schizophrenic|school,http://www.imdb.com/title/tt0280760/?ref_=fn_tt_tt_1,English,R,2002,710,7.0,838
Hart Bochner,15,79,4350774,Jon Favreau,Chris Young,college|high school senior|meat|protest|university,http://www.imdb.com/title/tt0110759/?ref_=fn_tt_tt_1,English,PG-13,1994,248,6.5,0
Michael O. Sajbel,46,114,3420871,Bill Cobbs,Mircea Monroe,billionaire|grandfather|playboy|trust fund baby|wealth,http://www.imdb.com/title/tt0482629/?ref_=fn_tt_tt_1,English,PG,2006,906,7.4,0
,1,30,,Ronn Moss,Hunter Tylo,beverly hills california|family relationships|los angeles california|soap opera,http://www.imdb.com/title/tt0092325/?ref_=fn_tt_tt_1,English,TV-14,,170,3.5,748
Stewart Raffill,41,91,,Anjelica Huston,Robert Urich,bar fight|cult film|ice|psychotronic|sword fight,http://www.imdb.com/title/tt0087451/?ref_=fn_tt_tt_1,English,PG,1984,300,5.7,0
Davis Guggenheim,65,95,2955039,Emma Bell,Carly Schroeder,boy|girl|soccer|south orange new jersey|teenager,http://www.imdb.com/title/tt0441007/?ref_=fn_tt_tt_1,English,PG-13,2007,616,6.2,313
Bart Freundlich,100,103,1530535,Billy Crudup,Dagmara Dominczyk,actress|lesbianism|manhattan new york city|urination|watching pornography,http://www.imdb.com/title/tt0427968/?ref_=fn_tt_tt_1,English,R,2005,591,5.7,215
Andrew Fleming,129,92,4881867,Steve Coogan,David Arquette,gang banger|sequel|shakespeare's hamlet|student|time machine,http://www.imdb.com/title/tt1104733/?ref_=fn_tt_tt_1,English,R,2008,1000,6.4,1000
Todd Haynes,103,124,1043487,Christian Bale,Janet McTeer,1970s|glitter|political cover up|reference to katharine hepburn|reference to spencer tracy,http://www.imdb.com/title/tt0120879/?ref_=fn_tt_tt_1,English,R,1998,776,7.0,0
Hong-jin Na,77,156,770629,Jung-min Hwang,Woo-hee Chun,policeman|stranger|supernatural|village|vomiting,http://www.imdb.com/title/tt5215952/?ref_=fn_tt_tt_1,Korean,Not Rated,2016,5,7.7,0
Kevin Tancharoen,67,84,11860839,Lea Michele,Kevin McHale,concert|live in concert recording|live performance,http://www.imdb.com/title/tt1922612/?ref_=fn_tt_tt_1,English,PG,2011,892,5.4,0
Chatrichalerm Yukol,31,300,454255,Sarunyu Wongkrachang,Mai Charoenpura,16th century|burmese|invasion|queen|thailand,http://www.imdb.com/title/tt0290879/?ref_=fn_tt_tt_1,Thai,R,2001,6,6.6,124
Dario Argento,76,120,349618,John Amos,Sally Kirkland,black cat|cat|evil|photographer|undead,http://www.imdb.com/title/tt0100827/?ref_=fn_tt_tt_1,English,R,1990,602,6.1,375
Eric Lavaine,17,98,,Lambert Wilson,Lionel Abelanski,,http://www.imdb.com/title/tt3202120/?ref_=fn_tt_tt_1,French,,2014,41,6.1,348
Mike Leigh,81,121,112935,Lesley Manville,Gary McDonald,love|neighbor|single parent|supermarket|working class,http://www.imdb.com/title/tt0286261/?ref_=fn_tt_tt_1,English,R,2002,44,7.6,484
Marc Forby,26,97,883887,Q'orianka Kilcher,Shaun Evans,hawaii|hawaiian|historically inaccurate|princess|tearing up a letter,http://www.imdb.com/title/tt1185344/?ref_=fn_tt_tt_1,English,PG,2009,537,6.2,0
Peter Cattaneo,24,86,13751,Jacqueline McKenzie,Peter Callan,friend|girl|imaginary friend|outback|town,http://www.imdb.com/title/tt0420835/?ref_=fn_tt_tt_1,English,PG,2006,62,6.6,135
Scott Mann,44,93,,Robert De Niro,D.B. Sweeney,bus|die hard scenario,http://www.imdb.com/title/tt3276924/?ref_=fn_tt_tt_1,English,R,2015,1000,6.1,0
Ole Christian Madsen,80,45,145109,Lars Mikkelsen,Christian Berkel,danish|double agent|nazi|nazi occupation|resistance,http://www.imdb.com/title/tt0920458/?ref_=fn_tt_tt_1,Danish,Not Rated,2008,197,7.3,0
Meiert Avis,41,97,1046166,Fisher Stevens,Perrey Reeves,bare chested male|box office flop|diner|german shepherd|one word title,http://www.imdb.com/title/tt0434424/?ref_=fn_tt_tt_1,English,PG-13,2005,374,4.2,128
Julian Jarrold,91,102,,Andrew Garfield,John Henshaw,ejected from a moving vehicle|gun held to head|handcuffs|shot multiple times|strangulation,http://www.imdb.com/title/tt1259574/?ref_=fn_tt_tt_1,English,Not Rated,2009,281,7.1,0
André Téchiné,66,105,2874,Catherine Deneuve,Émilie Dequenne,bar mitzvah|lawyer|train|wealth|wrestler,http://www.imdb.com/title/tt1183672/?ref_=fn_tt_tt_1,French,Unrated,2009,168,6.0,120
Emily Young,19,103,,Sarah Michelle Gellar,Jonathan Tucker,boyfriend girlfriend relationship|female protagonist|letter of resignation|mental hospital|sex,http://www.imdb.com/title/tt1068678/?ref_=fn_tt_tt_1,English,R,2009,931,6.5,3000
Peter Faiman,35,93,174635000,Paul Hogan,David Gulpilil,australian outback|crocodile|female reporter|journalist|new york city,http://www.imdb.com/title/tt0090555/?ref_=fn_tt_tt_1,English,PG-13,1986,162,6.5,0
Martyn Pick,19,76,,Sean Pertwee,Donald Sumpter,grimdark|mutilated corpse|space marine|ultramarines|warhammer 40k,http://www.imdb.com/title/tt1679332/?ref_=fn_tt_tt_1,English,R,2010,212,5.7,0
Roland Suso Richter,33,90,,Stephen Graham,Stephen Rea,2000s|hospital|man in a wheelchair|year 2000|year 2002,http://www.imdb.com/title/tt0325596/?ref_=fn_tt_tt_1,English,R,2004,900,6.1,458
Jeremy Sims,17,122,,Harrison Gilbertson,Steve Le Marquand,blue clay|diversion|ends with biographical notes|ends with historical notes|tunnel,http://www.imdb.com/title/tt1418646/?ref_=fn_tt_tt_1,English,R,2010,109,7.1,0
Maïwenn,163,127,171320,Riccardo Scamarcio,Karin Viard,abusive parent|child molester|child protection|photographer|police,http://www.imdb.com/title/tt1661420/?ref_=fn_tt_tt_1,French,Not Rated,2011,236,7.3,0
Joby Harold,133,84,14373825,Hayden Christensen,Denis O'Hare,anesthetic|anesthetic awareness|heart|heart surgery|surgery,http://www.imdb.com/title/tt0211933/?ref_=fn_tt_tt_1,English,R,2007,922,6.5,0
,47,23,,Dee Bradley Baker,Tom Kane,begins with narration|female warrior|inbetwequel|jedi knight|war against machines,http://www.imdb.com/title/tt0458290/?ref_=fn_tt_tt_1,English,TV-PG,,296,7.9,2000
Ekachai Uekrongtham,66,96,162,Michael Jai White,Celina Jade,bangkok thailand|detective|human trafficking|revenge|sex slavery,http://www.imdb.com/title/tt1641841/?ref_=fn_tt_tt_1,English,R,2014,368,5.7,0
Joel Schumacher,147,97,32222567,Dianne Wiest,Jason Patric,1980s|california|death|small town|vampire,http://www.imdb.com/title/tt0093437/?ref_=fn_tt_tt_1,English,R,1987,847,7.2,19000
Scott Cooper,273,112,39462438,Jeff Bridges,Debrianna Mansini,country music|country western singer|journalist|musician|singer,http://www.imdb.com/title/tt1263670/?ref_=fn_tt_tt_1,English,R,2009,628,7.3,0
Mark Rydell,32,125,29200000,David Keith,Alan Bates,awol|demand|driver|drugs|roses,http://www.imdb.com/title/tt0079826/?ref_=fn_tt_tt_1,English,R,1979,236,6.9,1000
David E. Talbert,52,96,21564616,Djimon Hounsou,Boris Kodjoe,woman wearing only a man's shirt,http://www.imdb.com/title/tt1171222/?ref_=fn_tt_tt_1,English,PG-13,2013,1000,5.0,0
Roger Vadim,107,98,,Jane Fonda,Milo O'Shea,41st century|angel|future|laser gun|space opera,http://www.imdb.com/title/tt0062711/?ref_=fn_tt_tt_1,English,PG,1968,178,5.9,0
Nils Gaup,6,92,,Bjørn Sundquist,Stian Smestad,boy|island|pirate|ship|treasure,http://www.imdb.com/title/tt0099816/?ref_=fn_tt_tt_1,English,PG,1990,6,6.7,278
Alexander Payne,175,103,14879556,Matthew Broderick,Molly Hagan,female protagonist|high school|self destructiveness|student council president|student government,http://www.imdb.com/title/tt0126886/?ref_=fn_tt_tt_1,English,R,1999,841,7.3,0
Mira Nair,167,122,13569248,Jacinda Barrett,Tabu,bengali|india|reference to gogol|train|train crash,http://www.imdb.com/title/tt0433416/?ref_=fn_tt_tt_1,English,PG-13,2006,405,7.6,0
Ari Sandel,132,101,34017854,Bella Thorne,Skyler Samuels,cartoon on tv|generation y|high school|overalls|strong female character,http://www.imdb.com/title/tt1666801/?ref_=fn_tt_tt_1,English,PG-13,2015,966,6.5,8000
Vondie Curtis-Hall,66,104,4273372,Mariah Carey,Valarie Pettiford,cult film|disc jockey|female protagonist|music business|one word title,http://www.imdb.com/title/tt0118589/?ref_=fn_tt_tt_1,English,PG-13,2001,218,2.1,0
Tom Elkins,79,101,,Abigail Spencer,Brad James,daughter|georgia|mother|slave|trailer,http://www.imdb.com/title/tt1457765/?ref_=fn_tt_tt_1,English,R,2013,907,5.3,0
Woo-Suk Kang,15,135,,Yu-mi Jeong,Kyung-gu Sol,based on book|based on true story|rape|title spoken by character,http://www.imdb.com/title/tt0387596/?ref_=fn_tt_tt_1,Korean,,2003,15,7.2,387
Jane Campion,222,119,4440055,Abbie Cornish,Samuel Roukin,19th century|friend|john keats|passion|poet,http://www.imdb.com/title/tt0810784/?ref_=fn_tt_tt_1,English,PG,2009,552,7.0,0
Karan Johar,210,128,4018695,Shah Rukh Khan,Christopher B. Duncan,airport|asperger's syndrome|autism|muslim|racial profiling,http://www.imdb.com/title/tt1188996/?ref_=fn_tt_tt_1,Hindi,PG-13,2010,327,8.0,27000
Herbert Ross,60,107,80000000,Dianne Wiest,Lori Singer,church|cowboy boots|dancing|high school dance|teenager,http://www.imdb.com/title/tt0087277/?ref_=fn_tt_tt_1,English,PG,1984,455,6.5,0
J.C. Chandor,346,106,6262942,Robert Redford,,boat|container|sea|shipping container|storm,http://www.imdb.com/title/tt2017038/?ref_=fn_tt_tt_1,English,PG-13,2013,,6.9,18000
John Sayles,46,126,1997807,Mary Elizabeth Mastrantonio,Vanessa Martinez,alaska|island|motorboat|singer|wilderness,http://www.imdb.com/title/tt0164085/?ref_=fn_tt_tt_1,English,R,1999,107,7.1,196
Vipul Amrutlal Shah,15,128,1207007,Katrina Kaif,Riteish Deshmukh,india|london england|marriage|stereotype|sugarcane,http://www.imdb.com/title/tt0795434/?ref_=fn_tt_tt_1,Hindi,,2007,687,7.3,341
Ken Loach,169,127,1829142,Padraic Delaney,Martin Lucey,civil war|colonialism|hatred|independence|rural ireland,http://www.imdb.com/title/tt0460989/?ref_=fn_tt_tt_1,English,Not Rated,2006,8,7.5,0
Ayan Mukerji,25,160,3827466,Ranbir Kapoor,Aditya Roy Kapoor,jealousy|jumping into sea|love|swimming pool|wet clothes,http://www.imdb.com/title/tt2178470/?ref_=fn_tt_tt_1,Hindi,Not Rated,2013,551,6.9,0
John G. Avildsen,81,126,90800000,Martin Kove,William Bassett,apartment|bully|fight|karate|master,http://www.imdb.com/title/tt0087538/?ref_=fn_tt_tt_1,English,PG,1984,641,7.2,0
Mervyn LeRoy,54,171,,Peter Ustinov,Robert Taylor,christian|emperor|general|hostage|nero,http://www.imdb.com/title/tt0043949/?ref_=fn_tt_tt_1,English,Passed,1951,426,7.2,1000
Darren Lynn Bousman,147,150,140244,Alexa PenaVega,Paul Sorvino,future|murder|opera|repossession|surgery,http://www.imdb.com/title/tt0963194/?ref_=fn_tt_tt_1,English,R,2008,716,6.7,8000
Serdar Akar,16,122,,Necati Sasmaz,Ghassan Massoud,abu ghraib|bomb|christian|explosion|iraq,http://www.imdb.com/title/tt0493264/?ref_=fn_tt_tt_1,Arabic,,2006,197,6.0,467
Quentin Tarantino,215,178,107930000,Bruce Willis,Phil LaMarr,black comedy|cunnilingus|neo noir|nonlinear timeline|postmodern,http://www.imdb.com/title/tt0110912/?ref_=fn_tt_tt_1,English,R,1994,902,8.9,45000
James Frawley,63,95,76657000,Madeline Kahn,Dom DeLuise,friend|frog leg|on the road|restaurant|the muppets,http://www.imdb.com/title/tt0079588/?ref_=fn_tt_tt_1,English,G,1979,985,7.7,0
Dan Gilroy,534,117,32279955,Jake Gyllenhaal,James Huang,employer employee relationship|ethics|journalism|sociopath|tv news,http://www.imdb.com/title/tt2872718/?ref_=fn_tt_tt_1,English,R,2014,241,7.9,65000
Jay Chandrasekhar,66,119,4992159,Brittany Daniel,Jay Chandrasekhar,beach|island|party|resort|serial killer,http://www.imdb.com/title/tt0331953/?ref_=fn_tt_tt_1,English,R,2004,499,5.6,713
Robert Wise,119,174,163214286,Eleanor Parker,Nicholas Hammond,austria|children|governess|love|orchestral music score,http://www.imdb.com/title/tt0059742/?ref_=fn_tt_tt_1,English,G,1965,209,8.0,15000
Ron Howard,43,111,69800000,Tom Hanks,Patrick Cronin,cmnf|cmnf scene|mermaid|new york city|public nudity,http://www.imdb.com/title/tt0088161/?ref_=fn_tt_tt_1,English,PG,1984,161,6.2,0
Jonathan Dayton,270,101,59889948,Steve Carell,Jill Talley,gay|graduate student|sister sister relationship|sprite|uncle nephew relationship,http://www.imdb.com/title/tt0449059/?ref_=fn_tt_tt_1,English,R,2006,150,7.9,15000
Rob Reiner,99,89,52287414,Marshall Bell,Casey Siemaszko,friendship|summertime|treehouse|walking on train tracks|woods,http://www.imdb.com/title/tt0092005/?ref_=fn_tt_tt_1,English,R,1986,107,8.1,24000
Danny Boyle,224,113,45063889,Noah Huntley,David Schneider,laboratory|london england|military|virus|zombie apocalypse,http://www.imdb.com/title/tt0289043/?ref_=fn_tt_tt_1,English,R,2002,32,7.6,11000
Chris Stokes,58,95,40066497,Jennifer Freeman,Steve Harvey,competition|dance contest|friend|money|street dancing,http://www.imdb.com/title/tt0365957/?ref_=fn_tt_tt_1,English,PG-13,2004,363,3.5,0
Don Siegel,53,112,36500000,Clint Eastwood,Fred Ward,alcatraz|escape|inmate|island|prison,http://www.imdb.com/title/tt0079116/?ref_=fn_tt_tt_1,English,PG,1979,466,7.6,0
Rick Famuyiwa,37,109,27362712,Boris Kodjoe,Wendell Pierce,basketball|hip hop|rap music|record company|writer,http://www.imdb.com/title/tt0297037/?ref_=fn_tt_tt_1,English,PG-13,2002,886,6.5,0
Martin Lawrence,11,108,34746109,Faizon Love,Della Reese,african american|dating|independent film|irreverence|revenge,http://www.imdb.com/title/tt0117891/?ref_=fn_tt_tt_1,English,R,1996,434,5.6,559
Jonathan Levine,327,100,34963967,Joseph Gordon-Levitt,Bryce Dallas Howard,best friend|cancer|survival rate|therapist|vomiting,http://www.imdb.com/title/tt1306980/?ref_=fn_tt_tt_1,English,R,2011,10000,7.7,40000
Masayuki Ochiai,135,90,25926543,James Kyson,Daisy Betts,car accident|japan|newlywed|photograph|photographer,http://www.imdb.com/title/tt0482599/?ref_=fn_tt_tt_1,English,PG-13,2008,332,5.2,0
George A. Romero,127,130,,Ted Danson,Adrienne Barbeau,anthology|child abuse|critically acclaimed|death|grindhouse,http://www.imdb.com/title/tt0083767/?ref_=fn_tt_tt_1,English,R,1982,826,6.9,0
Tom Gormican,164,94,26049082,Mackenzie Davis,Josh Pais,dating|divorce|father daughter relationship|mother daughter relationship|party,http://www.imdb.com/title/tt1800246/?ref_=fn_tt_tt_1,English,R,2014,342,6.1,0
Ken Shapiro,14,93,,Brian Doyle-Murray,Mary Kay Place,air traffic controller|nuclear waste|orgasm|telekinesis|voodoo,http://www.imdb.com/title/tt0082763/?ref_=fn_tt_tt_1,English,PG,1981,345,5.0,495
Justin Tipping,6,80,,Tina Gilton,Justin Hall,,http://www.imdb.com/title/tt4254584/?ref_=fn_tt_tt_1,English,R,2016,163,7.8,240
Kenneth Branagh,41,111,22551000,Keanu Reeves,Brian Blessed,16th century|bachelor|dishonor|masquerade party|wedding,http://www.imdb.com/title/tt0107616/?ref_=fn_tt_tt_1,English,PG-13,1993,18000,7.4,0
Peter R. Hunt,143,142,22800000,Telly Savalas,Desmond Llewelyn,bond girl|british|mission|portugal|switzerland,http://www.imdb.com/title/tt0064757/?ref_=fn_tt_tt_1,English,M,1969,314,6.8,0
,9,60,,Nick Wechsler,Jeff Marlow,bet|friend|pit boss|secret|surveillance,http://www.imdb.com/title/tt4474310/?ref_=fn_tt_tt_1,English,TV-14,,579,7.1,0
