director_name,actor_2_name,genres,movie_title,actor_3_name,plot_keywords,country,content_rating,title_year,movie_facebook_likes
Mars Callahan,Ricky Schroder,Drama|Thriller,Poolhall Junkies ,Ernie Reyes Jr.,beating|hustler|jail|money|revenge,USA,R,2002,872
Mike Figgis,Saffron Burrows,Drama,The Loss of Sexual Innocence ,Julian Sands,1950s|italian|murder|tunisia|vomiting,USA,R,1999,111
Leos Carax,Leos Carax,Drama|Fantasy,Holy Motors ,Denis Lavant,boudoir|death|insanity|male full frontal nudity|penis,France,Not Rated,2012,12000
David Gordon Green,Tye Sheridan,Drama,Joe ,Ronnie Gene Blevins,alcoholic|cigarette smoking|father son relationship|teenage boy|woods,USA,R,2013,11000
Stefan Schwartz,Dan Futterman,Comedy|Crime|Romance,Shooting Fish ,Ralph Ineson,con artist|money|orphan|scam|secretary,UK,PG,1997,167
Renny Harlin,Lane Smith,Crime|Drama|Horror|Thriller,Prison ,Hal Landon Jr.,electric chair|haunting|prison|prisoner|revenge,USA,R,1987,314
Robert Lee King,Kathleen Robertson,Comedy|Horror|Mystery,Psycho Beach Party ,Beth Broderick,cliche|exchange student|slasher|spoof|surfing,Australia,Unrated,2000,614
Kevin Allen,Frances Fisher,Comedy,The Big Tease ,Mary McCormack,competition|fake documentary|hairdresser|nudity|reference to liberace,UK,R,1999,182
Jorge Ramírez Suárez,Adriana Barraza,Drama,Buen Día, Ramón ,Arcelia Ramírez,,Mexico,PG-13,2013,0
David Schwimmer,Jordan Trovillion,Crime|Drama|Thriller,Trust ,Zoe Levin,counselor|fbi|revenge motive|school|teenage girl,USA,R,2010,10000
Barry Levinson,Brían F. O'Byrne,Comedy,An Everlasting Piece ,Pauline McLynn,alopecia|belfast northern ireland|ireland|irish republican army|scalper,USA,R,2000,132
Sam Miller,Alan Williams,Comedy|Romance,Among Giants ,Rob Jarvis,australian|female armpit hair|friend|sheffield|yorkshire,UK,R,1998,108
Anne Fontaine,Naomi Watts,Drama|Romance,Adore ,Ben Mendelsohn,beach|friend|friendship|happiness|neighbor,Australia,R,2013,0
Dan Ireland,Danny Arroyo,Comedy|Drama|Romance,The Velocity of Gary ,Olivia d'Abo,dying|hospital|parenthesis in title|punctuation in title|tears,USA,R,1998,98
Fernando León de Aranoa,Enrique Villén,Comedy|Drama,Mondays in the Sun ,Aida Folch,australia|bar|shipyard|siamese twins|tuna,Spain,R,2002,0
Jim Mickle,Michael Cerveris,Drama|Horror|Sci-Fi,Stake Land ,Nick Damici,canada|post apocalypse|road movie|vampire|vampire hunter,USA,R,2010,0
,Tiffany Thornton,Comedy|Family|Romance,Sonny with a Chance             ,Brandon Mychal Smith,cafeteria|female protagonist|rival|teenage girl|teenager,USA,TV-G,,325
Stephen Kay,Marg Helgenberger,Biography|Drama,The Last Time I Committed Suicide ,Gretchen Mol,1940s|female bare foot|picket fence|tire|vomiting,USA,R,1997,161
Karim Aïnouz,Clemens Schick,Drama,Futuro Beach ,Jesuíta Barbosa,gay|male frontal nudity|male nudity|male rear nudity|nudity,Brazil,Unrated,2014,278
Sam Levinson,Ezra Miller,Comedy|Drama,Another Happy Day ,Demi Moore,countryside|marriage|maryland|usa|wedding,USA,R,2011,798
Julian Gilbey,Eamonn Walker,Action|Adventure|Crime|Thriller,A Lonely Place to Die ,Sean Harris,kidnapper|mountaineering|scotland|scottish highlands|sniper,UK,R,2011,0
Vincenzo Natali,Angelo Tsarouchas,Comedy|Fantasy,Nothing ,Marie-Josée Croze,imagination|one word title|part animation|surrealism|virtual reality,Canada,R,2003,688
Aleksandr Veledinskiy,Elena Lyadova,Adventure|Drama,The Geographer Drank His Globe Away ,Eugenia Khirivskaya,rafting|russia|school|student|teacher,Russia,,2013,282
Peter H. Hunt,Ken Howard,Drama|Family|History|Musical,1776 ,Howard Caine,continental congress|debate|declaration of independence|massachusetts|pennsylvania,USA,PG,1972,0
Ruba Nadda,Bonnie Lee Bouman,Drama|Mystery|Romance|Thriller,Inescapable ,Fadia Nadda,,Canada,R,2012,657
Howard Hughes,Marian Marsh,Drama|War,Hell's Angels ,James Hall,bomb|bombing mission|munitions|oxford|royal flying corps,USA,Passed,1930,279
Edward Burns,Rosemarie DeWitt,Comedy|Drama|Romance,Purple Violets ,Peter Jacobson,directed by star|written and directed by cast member,USA,,2007,296
Phil Joanou,Shannon Woodward,Horror,The Veil ,Kira McLean,documentary crew|mass suicide|survivor|tied feet|tied up while barefoot,USA,R,2016,0
Sean Byrne,Jessica McNamee,Horror|Thriller,The Loved Ones ,Victoria Thaine,escape|high school|high school prom|prom|prom king,Australia,R,2009,0
Chris Stokes,Rachel Sterling,Horror,No Vacancy ,Black Thomas,motel|psychopath|psychopathic killer|road trip|vomiting,USA,R,2012,531
Mark Griffiths,Gina Holden,Comedy|Romance,How to Fall in Love ,Brooke D'Orsay,,USA,TV-G,2012,170
Bruce Macdonald,Cheryl Ladd,Adventure|Biography|Drama|Romance,The Perfect Wave ,Diana Vickers,boyfriend girlfriend relationship|friend|praying|surfing|wave,South Africa,PG,2014,365
Timur Bekmambetov,Ayelet Zurer,Adventure|Drama|History,Ben-Hur ,Moises Arias,chariot race|epic|false accusation|jerusalem|slave,USA,PG-13,2016,0
Fred Zinnemann,Susannah York,Biography|Drama|History,A Man for All Seasons ,Paul Scofield,catholic|chancellor|divorce|king henry viii|thomas more,UK,Approved,1966,2000
Sidney Lumet,Faye Dunaway,Drama|Romance,Network ,William Holden,media|monologue|television|television network|television news,USA,R,1976,17000
Victor Fleming,George Reeves,Drama|History|Romance|War,Gone with the Wind ,Thomas Mitchell,battle of the sexes|gallantry|honesty|indifference|scandal,USA,G,1939,16000
Richard Raymond,Reece Ritchie,Biography|Drama,Desert Dancer ,Marama Corlett,dance|dancer|dancing|desert|iran,UK,PG-13,2014,0
Sam Peckinpah,Slim Pickens,Adventure|War|Western,Major Dundee ,Warren Oates,apache|apache indian|confederate|mexico|scout,USA,Approved,1965,251
Alan Jacobs,Laz Alonso,Drama,Down for Life ,Nicholas Gonzalez,latina|south central los angeles,USA,R,2009,237
George Sidney,Howard Keel,Biography|Comedy|Musical|Romance|Western,Annie Get Your Gun ,Betty Hutton,girl|gun|love|sharpshooter|the end,USA,Passed,1950,456
Christopher Morris,Riz Ahmed,Comedy|Crime|Drama,Four Lions ,Alex Macqueen,accidental shooting|bird|crow|exploding animal|muslim,UK,R,2010,17000
Andrucha Waddington,Seu Jorge,Drama,House of Sand ,Fernanda Torres,1910s|desert|dunes|goat|slave,Brazil,R,2005,385
Peter Stebbings,Tony Nappo,Comedy|Crime|Drama,Defendor ,Charlotte Sullivan,gun running|organized crime|pimp|superhero|vigilante,Canada,R,2009,0
Vincente Minnelli,Reginald Owen,Adventure|Comedy|Musical|Romance,The Pirate ,Ellen Ross,hoop|horseback riding|love|pirate|singer,USA,Approved,1948,359
Dagur Kári,Susan Blommaert,Drama,The Good Heart ,Stephen Henderson,bar|bartender|death|heart attack|mentor protege relationship,Iceland,R,2009,0
Nicholas Hytner,Russell Tovey,Comedy|Drama,The History Boys ,James Corden,gay|headmaster|oxford|school|teacher,UK,R,2006,0
Jaume Collet-Serra,Frank Langella,Action|Mystery|Thriller,Unknown ,Aidan Quinn,agriculture|airport|amnesia|nurse|scientist,UK,PG-13,2011,29000
,Jamie Farr,Comedy|Drama|War,M*A*S*H             ,Mike Farrell,colonel|doctor|korean war|major|nurse,USA,TV-PG,,0
John Schlesinger,Barnard Hughes,Drama,Midnight Cowboy ,John McGiver,gay|homosexual|homosexuality|hustler|male rear nudity,USA,X,1969,0
Peter Cattaneo,Mark Addy,Comedy|Drama|Music,The Full Monty ,Lesley Sharp,dole|male stripper|northern england|steel worker|unemployment,UK,R,1997,0
Jim Abrahams,Lloyd Bridges,Comedy,Airplane! ,Barbara Billingsley,air traffic controller|airplane|airport|pilot|spoof,USA,PG,1980,16000
Kevin Carraway,Max Ryan,Action|Thriller,Chain of Command ,Jon Osbeck,army|michael jai white|ohio|steve austin,USA,R,2015,358
F. Gary Gray,John Witherspoon,Comedy|Drama,Friday ,Tony Cox,bully|drug dealer|first part|neighbor|neighborhood,USA,R,1995,8000
Albert Hughes,Larenz Tate,Crime|Drama|Thriller,Menace II Society ,Khandi Alexander,1990s|escape|graduation|hustler|street,USA,R,1993,0
,Gabourey Sidibe,Drama|Music,Empire             ,Malik Yoba,music business|new york city|record executive|record label|singer,USA,TV-14,,14000
Michael Gornick,Holt McCallany,Comedy|Fantasy|Horror|Thriller,Creepshow 2 ,Dorothy Lamour,anthology|hit and run|hit by a car|living statue|melting woman,USA,R,1987,1000
Sam Peckinpah,Jason Robards,Comedy|Drama|Romance|Western,The Ballad of Cable Hogue ,L.Q. Jones,desert|partner|prostitute|stagecoach|water,USA,R,1970,357
Richard Brooks,Robert Blake,Biography|Crime|Drama|History,In Cold Blood ,Will Geer,homoeroticism|kansas|murder|police|robbery,USA,Approved,1967,0
Fred Zinnemann,Peter Finch,Drama,The Nun's Story ,Beatrice Straight,belgium|congo|convent|nun|nurse,USA,Not Rated,1959,930
Jack Smight,Robert Wagner,Action|Crime|Drama|Mystery|Thriller,Harper ,Shelley Winters,kidnapping|los angeles california|neo noir|private detective|ransom,USA,Not Rated,1966,470
Alfred Hitchcock,Jean Marsh,Thriller,Frenzy ,Clive Swift,penknife|police|rape|serial killer|united kingdom,UK,R,1972,0
Robert Eggers,Kate Dickie,Horror|Mystery,The Witch ,Ralph Ineson,black magic|goat|isolation|naked woman|witch,USA,R,2015,43000
Michael Martin,Master P,Comedy,I Got the Hook Up ,Anthony Johnson,friend|obscenity|scam|vacant lot|van,USA,R,1998,280
Edward Burns,Frank Vincent,Comedy|Drama|Romance,She's the One ,Michael McGlone,claim in title|infidelity|irish american|love|sex,USA,R,1996,453
Bill Condon,Lynn Redgrave,Biography|Drama,Gods and Monsters ,Kevin J. O'Connor,friendship|gardener|gay interest|homosexual|memory,USA,R,1998,0
Juan José Campanella,Soledad Villamil,Drama|Mystery|Thriller,The Secret in Their Eyes ,Guillermo Francella,investigation|justice|murder|suspect|tension,Argentina,R,2009,33000
George A. Romero,John Amplas,Horror,Day of the Dead ,Joseph Pilato,bunker|experiment|military|research|scientist,USA,Unrated,1985,3000
Gideon Raff,Gloria Votsis,Horror|Thriller,Train ,Derek Magyar,blood splatter|heart ripped out|jock strap|train|vomiting,USA,R,2008,804
Sam Raimi,Dan Hicks,Comedy|Fantasy|Horror|Thriller,Evil Dead II ,Kassie Wesley DePaiva,cabin|cabin in the woods|demon|evil dead|woods,USA,X,1987,0
Louis C.K.,J.B. Smoove,Action|Adventure|Comedy|Musical,Pootie Tang ,Robert Vaughn,based on sketch comedy|corporation|cult film|evil corporation|sex,USA,PG-13,2001,0
Anthony C. Ferrante,John Heard,Horror,Sharknado ,Cassandra Scerbo,cult film|hurricane|school bus|shark|shark feature,USA,TV-14,2013,93000
Salvador Carrasco,Zaide Silvia Gutiérrez,Drama|History,La otra conquista ,Damián Delgado,1520s|aztec|indian|spanish colonization|spanish conquest,Mexico,R,1998,140
André Øvredal,Johanna Mørck,Comedy|Drama|Fantasy|Horror,Trollhunter ,Glenn Erland Tosterud,bear|cameraman|hunter|secret government agency|troll,Norway,PG-13,2010,38000
Robert Cary,Fred Willard,Comedy|Romance,Ira & Abby ,Kevin Sussman,erectile dysfunction|mugger|mugging|subway robbery|therapy,USA,R,2006,360
Akiva Schaffer,Nicholas Braun,Action|Comedy|Sci-Fi,The Watch ,Rosemarie DeWitt,alien|escape|manager|neighborhood watch|ohio,USA,R,2012,15000
Adam Rapp,Will Ferrell,Comedy|Drama,Winter Passing ,Dallas Roberts,love|michigan|musician|novelist|student,USA,R,2005,414
Angela Robinson,Geoff Stults,Action|Comedy|Romance,D.E.B.S. ,Scoot McNairy,1959 cadillac|diamonds|female villain|force field|voyeurism,USA,PG-13,2004,1000
Warren P. Sonoda,Mykel Shannon Jenkins,Action|Biography|Crime|Drama|Family|Fantasy,The Masked Saint ,Lara Jean Chorostecki,,Canada,PG-13,2016,0
Amanda Gusack,Christian Campbell,Crime|Drama|Mystery|Thriller,The Betrayed ,Blaine Anderson,blood splatter|ski mask|stolen money|vomiting|warehouse,USA,,2008,127
Avi Nesher,Elizabeth Berkley,Action|Comedy|Crime|Thriller,Taxman ,Robert Townsend,bar|box office flop|dance|one word title|voice over narration,USA,R,1998,18
,Ash Cook,Drama|Thriller,The Secret             ,Genevieve O'Reilly,adultery|baptist church|dentist|double murder|tv mini series,UK,,,405
Charles Adelman,Kevin Pollak,Horror|Thriller,2:13 ,Jere Burns,death|forensic|murder|profiler|serial killer,USA,,2009,211
Jay Oliva,Mark Valley,Action|Animation|Crime|Sci-Fi|Thriller,Batman: The Dark Knight Returns, Part 2 ,Grey Griffin,batman|joker|mutant|tattoo on breast|the joker,USA,PG-13,2013,5000
Charles Ferguson,Jerry Brown,Documentary,Time to Choose ,Peter Agnefjall,,USA,,2015,121
Uwe Boll,Shelly Varod,Action|Adventure|Fantasy|Thriller,In the Name of the King: The Last Job ,Ralitsa Paskaleva,castle|dragon|kidnapping|satire|sword and sorcery,Canada,R,2014,721
Mark Young,Jake Busey,Action|Crime|Drama|Thriller,Wicked Blood ,Lew Temple,chess|drugs|love|meth|pawn,USA,Not Rated,2014,482
Daniel Petrie Jr.,Jeff Fahey,Drama|Thriller,Dawn Patrol ,Rita Wilson,desert|held at gunpoint|marine|revenge|sex on table,,,2014,570
Antonio Simoncini,Joe Egan,Crime|Mystery|Thriller,Lords of London ,Glen Murphy,gang leader|italian woman|period piece|purgatory|suicide,UK,R,2014,606
Mel Brooks,Harvey Korman,Comedy,High Anxiety ,Dick Van Patten,belldon's hysteria|high anxiety|hitchcockian|murder|parody,USA,PG,1977,0
Luc Jacquet,Sofie Gråbøl,Documentary,March of the Penguins ,Romane Bohringer,chick|emperor penguin|journey|ocean|penguin,France,G,2005,0
J.C. Chandor,Demi Moore,Biography|Drama|Thriller,Margin Call ,Ashley Williams,capital management|financial crisis|financial disaster|investment fraud|management,USA,R,2011,21000
Eldar Rapaport,Adrian Gonzalez,Drama|Romance,August ,Edward Conna,apartment|gay parent|job interview|male pubic hair|pubic hair,USA,Not Rated,2011,224
Clark Gregg,Matt Gerald,Comedy|Drama,Choke ,Jonah Bobo,choking|friend|hospital|restaurant|scam,USA,R,2008,0
Damien Chazelle,Melissa Benoist,Drama|Music,Whiplash ,Chris Mulkey,conservatory|drummer|emotional abuse|music school|obsession,USA,R,2014,129000
Fernando Meirelles,Seu Jorge,Crime|Drama,City of God ,Alexandre Rodrigues,coming of age|male frontal nudity|male nudity|photographer|slum,Brazil,R,2002,28000
Justin Kerrigan,John Simm,Comedy|Music,Human Traffic ,Shaun Parkes,friday|friend|hip hop|techno rave|weekend,UK,R,1999,0
Nathan Frankowski,Rus Blackwell,Biography|Drama|Music,Day One ,Luis Antonio,character name in title|depression|drugs|one word title,USA,PG-13,2012,0
Karen Moncrieff,Bruce Davison,Crime|Drama|Mystery,The Dead Girl ,Piper Laurie,dead girl|girl|granddaughter|morgue|storage unit,USA,R,2006,799
Thomas Vinterberg,Alexandra Rapaport,Drama,The Hunt ,Hana Shuan,deer|gun|gunshot|hunt|kindergarten teacher,Denmark,R,2012,60000
Bob Clark,Darren McGavin,Comedy|Family,A Christmas Story ,Scott Schwartz,bb gun|boy|bully|christmas|tongue stuck on a pole,USA,PG,1983,18000
Alejandro Monteverde,Ramon Rodriguez,Drama|Romance,Bella ,Eduardo Verástegui,inter cultural|latino|restaurant|soccer|train,USA,PG-13,2006,0
Mark L. Lester,Perry King,Action|Crime|Drama|Thriller,Class of 1984 ,Timothy Van Patten,back to school|city|high school|sadism|teacher,Canada,R,1982,934
Jennifer Finnigan,Kenan Thompson,Comedy,The Opposite Sex ,Josh Hopkins,bare breasts,USA,,2014,0
Eric Styles,Rupert Graves,Drama|Romance,Dreaming of Joseph Lees ,Miriam Margolyes,love crime|love triangle|lust|sister sister relationship|unrequited love,USA,R,1999,100
Laurent Cantet,Agame Malembo-Emene,Drama,The Class ,Angélica Sancio,high school|inner city|school|student|teacher,France,PG-13,2008,0
Roman Polanski,Mia Farrow,Drama|Horror,Rosemary's Baby ,Charles Grodin,devil worship|incubus|paranoia|raped by a demon|satanism,USA,R,1968,13000
John Ford,Woody Strode,Drama|Western,The Man Who Shot Liberty Valance ,Vera Miles,friend|funeral|outlaw|pistol|stagecoach,USA,Approved,1962,0
Max Mayer,Terry Walters,Drama|Romance,Adam ,Amy Irving,apartment|asperger's syndrome|children|teacher|writer,USA,PG-13,2009,0
Joshua Marston,Wilson Guerrero,Crime|Drama,Maria Full of Grace ,Yenny Paola Vega,colombia|colombian|drug mule|money|stomach,Colombia,R,2004,0
Mike Mills,Lou Taylor Pucci,Comedy|Drama|Romance,Beginners ,Mary Page Keller,actress|cancer|death|french|gay relationship,USA,R,2010,15000
John Gulager,Eric Dane,Action|Comedy|Horror|Thriller,Feast ,Henry Rollins,bar|bloody body of child|dead boy|monster|vomiting,USA,R,2005,0
John Landis,Karen Allen,Comedy,Animal House ,Tim Matheson,academic probation|camera shot of feet|fraternity|school expulsion|smashing a guitar,USA,R,1978,0
Guy Hamilton,Gert Fröbe,Action|Adventure|Thriller,Goldfinger ,Lois Maxwell,bikini|covered in melted gold|fort knox|gold|pilot,UK,Approved,1964,0
Brandon Cronenberg,Douglas Smith,Horror|Sci-Fi|Thriller,Antiviral ,Caleb Landry Jones,celebrity|injection|near future|scalpel|stabbed in the mouth,Canada,Not Rated,2012,0
Frank Capra,Lionel Barrymore,Drama|Family|Fantasy|Romance,It's a Wonderful Life ,Thomas Mitchell,angel|bank|guardian angel|second chance|small town life,USA,PG,1946,41000
Danny Boyle,Shirley Henderson,Drama,Trainspotting ,Ewen Bremner,drug culture|drugs|filthy toilet|heroin addict|heroin withdrawal,UK,R,1996,21000
Spike Lee,Cedric the Entertainer,Comedy|Documentary,The Original Kings of Comedy ,Steve Harvey,backstage|comedian|concert film|emcee|stand up comedian,USA,R,2000,290
Tod Williams,Molly Ephraim,Horror,Paranormal Activity 2 ,Micah Sloat,california|carlsbad california|house|nanny|security camera,USA,R,2010,14000
Kirk Jones,David Kelly,Comedy,Waking Ned Devine ,Fionnula Flanagan,dead body|death|lottery|small town|village,UK,PG,1998,0
Michael Moore,Dick Clark,Crime|Documentary|Drama,Bowling for Columbine ,Bill Clinton,bank|columbine|columbine high school killings|firearm|school shooting,Germany,R,2002,4000
Yimou Zhang,Daoming Chen,Drama,Coming Home ,Ni Yan,amnesia|cultural revolution|husband wife relationship|memory|political prisoner,China,PG-13,2014,0
Jack Sholder,Robert Rusler,Fantasy|Horror,A Nightmare on Elm Street 2: Freddy's Revenge ,Marshall Bell,freddy krueger|gay|gay subtext|homoeroticism|jock strap,USA,R,1985,0
James Ivory,Rupert Graves,Drama|Romance,A Room with a View ,Denholm Elliott,male nudity|male pubic hair|nude bathing|piano|pubic hair,UK,Unrated,1985,0
James DeMonaco,Adelaide Kane,Horror|Sci-Fi|Thriller,The Purge ,Chris Mulkey,class differences|killing spree|one night|suburb|violence,USA,R,2013,31000
Scott Derrickson,Victoria Leigh,Horror|Mystery,Sinister ,James Ransone,book|found footage|research|snuff film|writer,USA,R,2012,58000
David Raynr,Mikki Padilla,Biography|Comedy|Documentary,Martin Lawrence Live: Runteldat ,Dayna Devon,actor name in title|colon in title|four word title|live performance|satire,USA,R,2002,63
Richard Brooks,Judith Anderson,Drama|Romance,Cat on a Hot Tin Roof ,Jack Carson,cancer|football|homosexuality|marriage|mississippi,USA,Approved,1958,0
Ted Post,Gregory Sierra,Action|Adventure|Sci-Fi,Beneath the Planet of the Apes ,Victor Buono,ape|astronaut|mission|planet|rescue,USA,G,1970,0
Charles Martin Smith,Bill Cobbs,Comedy|Drama|Family|Sport,Air Bud ,Michael Jeter,basketball|boy|dog|dog movie|golden retriever,USA,PG,1997,902
Kunihiko Yuyama,Eric Stuart,Action|Adventure|Animation|Family|Fantasy|Sci-Fi,Pokémon 3: The Movie ,Lisa Ortiz,ash|father|mother|pokemon|professor,Japan,G,2000,38
Tom McLoughlin,Ron Palillo,Horror|Thriller,Jason Lives: Friday the 13th Part VI ,Vincent Guastaferro,actual animal killed|death|jason voorhees|slasher flick|teen horror,USA,R,1986,0
David Lean,Sessue Hayakawa,Adventure|Drama|War,The Bridge on the River Kwai ,Jack Hawkins,allies|bridge|construction|jungle|sabotage,UK,PG,1957,0
Patrick Read Johnson,Royal Dano,Adventure|Comedy|Sci-Fi,Spaced Invaders ,Tonya Lee Williams,alien|halloween|killer robot|outer space|wrestler costume,USA,PG,1990,710
Alfred Hitchcock,Bruce Dern,Comedy|Thriller,Family Plot ,William Devane,actor|diamond|heir|kidnapping|ransom,USA,PG,1976,609
Billy Wilder,Ray Walston,Comedy|Drama|Romance,The Apartment ,David White,apartment|elevator|elevator girl|love|mistress,USA,Approved,1960,0
Adam Marcus,Leslie Jordan,Fantasy|Horror|Thriller,Jason Goes to Hell: The Final Friday ,Erin Gray,brutality|evil|jason voorhees|paranormal phenomena|terror,USA,R,1993,949
Alfred Hitchcock,Lila Kedrova,Thriller,Torn Curtain ,David Opatoshu,defection|east germany|germany|iron curtain|scientist,USA,Approved,1966,933
Michel Gondry,Dave Chappelle,Comedy|Documentary|Music,Dave Chappelle's Block Party ,Lauryn Hill,block party|marching band|neighborhood|new york city|tyrannosaurus rex,USA,R,2005,635
John Maclean,Kodi Smit-McPhee,Western,Slow West ,Ben Mendelsohn,american west|bounty hunter|frontier|horse riding|outlaw,UK,R,2015,0
Michael Schultz,LisaGay Hamilton,Comedy|Drama|Music,Krush Groove ,Bobby Brown,actress shares first name with character|bar|car wash|city|d.j.,USA,R,1985,889
Benny Boom,Donald Faison,Action|Comedy|Crime,Next Day Air ,Mike Epps,cocaine|package|slow motion scene|topless female nudity|wrong address,USA,R,2009,545
Richard Brooks,Jean Simmons,Drama,Elmer Gantry ,Edward Andrews,1920s|evangelist|preacher|revival|traveling salesman,USA,Approved,1960,808
Stanley Kramer,Montgomery Clift,Drama|War,Judgment at Nuremberg ,Spencer Tracy,judge|law|nazi|nuremberg|war crime,USA,Not Rated,1961,0
David Raynr,Deon Richmond,Comedy,Trippin' ,Countess Vaughn,apostrophe in title|bare breasts|female nudity|nude black woman|prom,USA,R,1999,143
,Seth Green,Animation|Comedy,Robot Chicken             ,Breckin Meyer,celebrity|robot|satire|sketch comedy|stop motion animation,USA,TV-MA,,1000
Howard Hawks,Walter Brennan,Action|Adventure|Romance|Western,Red River ,Harry Carey Jr.,cattle|cattle drive|cowboy|kansas|texas,USA,Approved,1948,0
Nnegest Likké,Jimmy Jean-Louis,Comedy,Phat Girlz ,Joyful Drake,female protagonist|size positive|thin|title directed by female|wet dream,USA,PG-13,2006,837
Richard Linklater,Ariane Labed,Drama|Romance,Before Midnight ,Athina Rachel Tsangari,friend|greece|greek|hotel room|twin,USA,R,2013,62000
Christopher Leitch,Robert Neary,Comedy|Fantasy,Teen Wolf Too ,Kim Darby,falling in love|glowing eyes|insult|teenager|three word title,USA,PG,1987,491
Don Coscarelli,A. Michael Baldwin,Action|Fantasy|Horror|Sci-Fi|Thriller,Phantasm II ,James Le Gros,cemetery|female nudity|mortuary|sphere|tall man,USA,R,1988,812
Michael Schultz,Kimberly Elise,Drama,Woman Thou Art Loosed ,Clifton Powell,abuse|bishop|death|flashback|poverty,USA,R,2004,187
Patricia Cardoso,Lupe Ontiveros,Comedy|Drama,Real Women Have Curves ,George Lopez,education|factory|high school|mexican american|religious icon,USA,PG-13,2002,595
,Jessica De Gouw,Drama|War,Deadline Gallipoli             ,Luke Ford,gallipoli|tv mini series|world war one,Australia,,,367
Deepa Mehta,Lisa Ray,Drama|Romance,Water ,Seema Biswas,ashram|india|love|tradition|widow,Canada,PG-13,2005,0
Damien O'Donnell,Jimi Mistry,Comedy|Drama,East Is East ,Om Puri,england|marriage|muslim|pakistani|salford,UK,R,1999,1000
Peter M. Cohen,Brian Van Holt,Comedy|Romance,Whipped ,David Heyman,dating|diner|masturbation|urination|washington square manhattan new york city,USA,R,2000,131
Mira Nair,Sarita Choudhury,Crime|Drama|History|Romance,Kama Sutra: A Tale of Love ,Rekha,courtesan|friend|kama sutra|seduction|wedding,USA,R,1996,0
Nicole Holofcener,Thomas Ian Nicholas,Comedy|Drama,Please Give ,Ann Morgan Guilbert,apartment|first date|neighbor|new york|new york city,USA,R,2010,0
Mel Stuart,Jack Albertson,Family|Fantasy|Musical,Willy Wonka & the Chocolate Factory ,Julie Dawn Cole,candy|chocolate|factory|miniaturization|sudden change in size,USA,G,1971,0
