director_name,duration,director_facebook_likes,actor_2_name,gross,actor_1_name,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,language,country,content_rating,title_year,actor_2_facebook_likes,imdb_score
Sam Raimi,37,0,Dan Hicks,5923044,Ted Raimi,113451,1347,0,537,English,USA,X,1987,328,7.8
Louis C.K.,81,0,J.B. Smoove,3293258,Wanda Sykes,11399,2238,0,131,English,USA,PG-13,2001,555,5.2
Anthony C. Ferrante,97,48,John Heard,,Ian Ziering,34532,3075,0,236,English,USA,TV-14,2013,697,3.3
Salvador Carrasco,106,22,Zaide Silvia Gutiérrez,886410,Elpidia Carrillo,1024,222,0,494,Spanish,Mexico,R,1998,16,6.8
André Øvredal,103,12,Johanna Mørck,252652,Otto Jespersen,54104,44,0,199,Norwegian,Norway,PG-13,2010,4,7.0
Robert Cary,101,0,Fred Willard,220234,Frances Conroy,1950,3574,3,24,English,USA,R,2006,729,6.5
Akiva Schaffer,102,82,Nicholas Braun,34350553,Will Forte,104072,2486,4,207,English,USA,R,2012,591,5.7
Adam Rapp,98,9,Will Ferrell,101228,Zooey Deschanel,7228,20009,4,53,English,USA,R,2005,8000,6.4
Angela Robinson,91,23,Geoff Stults,96793,Jordana Brewster,12188,6380,3,135,English,USA,PG-13,2004,756,5.3
Warren P. Sonoda,105,28,Mykel Shannon Jenkins,123777,Diahann Carroll,342,1043,0,15,English,Canada,PG-13,2016,294,4.7
Amanda Gusack,98,0,Christian Campbell,,Alice Krige,1634,668,0,11,English,USA,,2008,168,6.1
Avi Nesher,104,6,Elizabeth Berkley,,Fisher Stevens,372,2406,6,20,English,USA,R,1998,893,5.5
,45,,Ash Cook,,James Nesbitt,653,1393,3,4,English,UK,,,133,7.3
Charles Adelman,96,0,Kevin Pollak,,Teri Polo,961,2307,0,12,English,USA,,2009,574,4.8
Jay Oliva,148,41,Mark Valley,,Michael Emerson,30434,5526,0,55,English,USA,PG-13,2013,774,8.4
Charles Ferguson,100,117,Jerry Brown,29233,Jane Goodall,75,24,0,2,English,USA,,2015,3,7.0
Uwe Boll,86,892,Shelly Varod,,Bashar Rahal,1285,854,1,10,English,Canada,R,2014,145,3.3
Mark Young,92,14,Jake Busey,,Alexa PenaVega,1928,3854,2,10,English,USA,Not Rated,2014,660,5.4
Daniel Petrie Jr.,88,19,Jeff Fahey,,Chris Brochu,455,2497,0,13,English,,,2014,535,4.8
Antonio Simoncini,90,0,Joe Egan,,Ray Winstone,610,1183,1,18,English,UK,R,2014,53,3.1
Mel Brooks,94,0,Harvey Korman,,Madeline Kahn,15115,2861,0,102,English,USA,PG,1977,628,6.7
Luc Jacquet,80,10,Sofie Gråbøl,77413017,Morgan Freeman,45984,11218,0,331,French,France,G,2005,108,7.6
J.C. Chandor,107,78,Demi Moore,5354039,Kevin Spacey,92599,22834,8,225,English,USA,R,2011,2000,7.1
Eldar Rapaport,99,0,Adrian Gonzalez,,Murray Bartlett,1262,320,1,13,English,USA,Not Rated,2011,69,6.1
Clark Gregg,92,0,Matt Gerald,2926565,Anjelica Huston,28573,3608,0,72,English,USA,R,2008,585,6.5
Damien Chazelle,107,141,Melissa Benoist,13092000,J.K. Simmons,399138,26495,0,731,English,USA,R,2014,970,8.5
Fernando Meirelles,135,353,Seu Jorge,7563397,Alice Braga,533200,1211,0,749,Portuguese,Brazil,R,2002,69,8.7
Justin Kerrigan,99,8,John Simm,104257,Danny Dyer,19194,1430,2,160,English,UK,R,1999,472,7.1
Nathan Frankowski,102,19,Rus Blackwell,,Corbin Bleu,2116,1011,7,13,English,USA,PG-13,2012,144,6.6
Karen Moncrieff,93,22,Bruce Davison,17311,James Franco,12304,11860,0,73,English,USA,R,2006,505,6.7
Thomas Vinterberg,115,346,Alexandra Rapaport,610968,Thomas Bo Larsen,170155,216,1,249,Danish,Denmark,R,2012,69,8.3
Bob Clark,94,84,Darren McGavin,,Zack Ward,104908,2076,0,458,English,USA,PG,1983,577,8.1
Alejandro Monteverde,91,38,Ramon Rodriguez,8108247,Armando Riesco,9607,2747,0,174,English,USA,PG-13,2006,464,7.4
Mark L. Lester,98,73,Perry King,,Roddy McDowall,6549,1105,4,75,English,Canada,R,1982,251,6.6
Jennifer Finnigan,97,246,Kenan Thompson,,Geoff Stults,557,3717,5,3,English,USA,,2014,521,4.5
Eric Styles,92,4,Rupert Graves,7680,Samantha Morton,704,2020,0,18,English,USA,R,1999,443,6.4
Laurent Cantet,128,39,Agame Malembo-Emene,3766595,François Bégaudeau,29248,17,7,86,French,France,PG-13,2008,2,7.5
Roman Polanski,136,2000,Mia Farrow,,John Cassavetes,140527,2997,0,447,English,USA,R,1968,563,8.0
John Ford,113,673,Woody Strode,,Lee Marvin,53741,2693,1,214,English,USA,Approved,1962,423,8.1
Max Mayer,99,6,Terry Walters,2277396,Peter Gallagher,29239,1936,0,70,English,USA,PG-13,2009,390,7.2
Joshua Marston,101,13,Wilson Guerrero,6517198,Catalina Sandino Moreno,30474,308,0,172,Spanish,Colombia,R,2004,11,7.5
Mike Mills,105,101,Lou Taylor Pucci,5776314,Goran Visnjic,73349,2016,4,142,English,USA,R,2010,394,7.2
John Gulager,95,38,Eric Dane,,Krista Allen,25542,170118,0,252,English,USA,R,2005,2000,6.4
John Landis,109,644,Karen Allen,141600000,John Belushi,90177,3468,6,257,English,USA,R,1978,783,7.6
Guy Hamilton,110,82,Gert Fröbe,51100000,Honor Blackman,139432,1198,2,418,English,UK,Approved,1964,202,7.8
Brandon Cronenberg,108,43,Douglas Smith,,Sarah Gadon,9356,1962,0,47,English,Canada,Not Rated,2012,480,5.7
Frank Capra,118,964,Lionel Barrymore,,Donna Reed,275720,1844,0,706,English,USA,PG,1946,275,8.6
Danny Boyle,94,0,Shirley Henderson,16501785,Kelly Macdonald,469561,3559,4,514,English,UK,R,1996,887,8.2
Spike Lee,115,0,Cedric the Entertainer,38168022,Bernie Mac,4687,1964,0,83,English,USA,R,2000,436,6.6
Tod Williams,98,21,Molly Ephraim,84749884,Sprague Grayden,82133,1081,0,359,English,USA,R,2010,332,5.7
Kirk Jones,91,52,David Kelly,24788807,James Nesbitt,21245,1965,0,213,English,UK,PG,1998,588,7.4
Michael Moore,120,909,Dick Clark,21244913,Michael Moore,123090,1779,2,888,English,Germany,R,2002,504,8.0
Yimou Zhang,109,611,Daoming Chen,377420,Li Gong,2789,900,1,20,Mandarin,China,PG-13,2014,10,7.3
