director_name,director_facebook_likes,actor_1_name,movie_title,cast_total_facebook_likes,movie_imdb_link,language,country,title_year
Yimou Zhang,611,Honglei Sun,"A Woman, a Gun and a Noodle Shop ",18,http://www.imdb.com/title/tt1428556/?ref_=fn_tt_tt_1,Mandarin,China,2009
John Stockwell,134,Matthew Ziff,Kickboxer: Vengeance ,261818,http://www.imdb.com/title/tt3082898/?ref_=fn_tt_tt_1,,USA,2016
Alfred Hitchcock,13000,Norman Lloyd,Spellbound ,896,http://www.imdb.com/title/tt0038109/?ref_=fn_tt_tt_1,English,USA,1945
Atom Egoyan,460,Bruce Greenwood,Exotica ,2990,http://www.imdb.com/title/tt0109759/?ref_=fn_tt_tt_1,English,Canada,1994
Vincent Gallo,787,Anjelica Huston,Buffalo '66 ,4762,http://www.imdb.com/title/tt0118789/?ref_=fn_tt_tt_1,English,USA,1998
James Wan,0,Lin Shaye,Insidious ,3030,http://www.imdb.com/title/tt1591095/?ref_=fn_tt_tt_1,English,USA,2010
Alex Cox,92,Del Zamora,Repo Man ,1652,http://www.imdb.com/title/tt0087995/?ref_=fn_tt_tt_1,English,USA,1984
Fabián Bielinsky,44,Ricardo Darín,Nine Queens ,856,http://www.imdb.com/title/tt0247586/?ref_=fn_tt_tt_1,Spanish,Argentina,2000
Dror Moreh,4,Ami Ayalon,The Gatekeepers ,0,http://www.imdb.com/title/tt2309788/?ref_=fn_tt_tt_1,Hebrew,Israel,2012
Rebecca Miller,58,Beau Bridges,The Ballad of Jack and Rose ,859,http://www.imdb.com/title/tt0357110/?ref_=fn_tt_tt_1,English,USA,2005
Maggie Carey,38,Donald Glover,The To Do List ,2667,http://www.imdb.com/title/tt1758795/?ref_=fn_tt_tt_1,English,USA,2013
Roger Avary,675,Eric Stoltz,Killing Zoe ,1582,http://www.imdb.com/title/tt0110265/?ref_=fn_tt_tt_1,English,France,1993
Henry Bean,21,Ryan Gosling,The Believer ,33441,http://www.imdb.com/title/tt0247199/?ref_=fn_tt_tt_1,English,USA,2001
David Gordon Green,234,Michael Angarano,Snow Angels ,2747,http://www.imdb.com/title/tt0453548/?ref_=fn_tt_tt_1,English,USA,2007
Simeon Rice,6,Ward G. Smith,Unsullied ,792,http://www.imdb.com/title/tt3139764/?ref_=fn_tt_tt_1,English,USA,2014
Brad Anderson,122,Paul Guilfoyle,Session 9 ,469,http://www.imdb.com/title/tt0261983/?ref_=fn_tt_tt_1,English,USA,2001
Jeff Garlin,522,Jessy Schram,I Want Someone to Eat Cheese With ,2179,http://www.imdb.com/title/tt0391229/?ref_=fn_tt_tt_1,English,USA,2006
Qasim Basir,13,Dorian Missick,Mooz-Lum ,3288,http://www.imdb.com/title/tt1450328/?ref_=fn_tt_tt_1,English,USA,2010
Adam Green,134,Joel David Moore,Hatchet ,3668,http://www.imdb.com/title/tt0422401/?ref_=fn_tt_tt_1,English,USA,2006
Charles Chaplin,0,Paulette Goddard,Modern Times ,352,http://www.imdb.com/title/tt0027977/?ref_=fn_tt_tt_1,English,USA,1936
Pete Jones,18,Brian Dennehy,Stolen Summer ,3901,http://www.imdb.com/title/tt0286162/?ref_=fn_tt_tt_1,English,USA,2002
Bruce Campbell,0,Ted Raimi,My Name Is Bruce ,1238,http://www.imdb.com/title/tt0489235/?ref_=fn_tt_tt_1,English,USA,2007
Mark Brown,7,Vivica A. Fox,The Salon ,3138,http://www.imdb.com/title/tt0436742/?ref_=fn_tt_tt_1,English,USA,2005
Adam Carolla,102,Jay Mohr,Road Hard ,2628,http://www.imdb.com/title/tt3110770/?ref_=fn_tt_tt_1,English,USA,2015
Ira Sachs,60,Rip Torn,Forty Shades of Blue ,1240,http://www.imdb.com/title/tt0395543/?ref_=fn_tt_tt_1,English,USA,2005
John Sayles,407,Brian Lee Franklin,Amigo ,60,http://www.imdb.com/title/tt1562847/?ref_=fn_tt_tt_1,English,USA,2010
Bruce McDonald,49,Stephen McHattie,Pontypool ,721,http://www.imdb.com/title/tt1226681/?ref_=fn_tt_tt_1,English,Canada,2008
James Mottern,7,Jimmy Bennett,Trucker ,89263,http://www.imdb.com/title/tt1087527/?ref_=fn_tt_tt_1,English,USA,2008
Jaime Zevallos,228,Angela Sarafyan,Me You and Five Bucks ,771,http://www.imdb.com/title/tt2265431/?ref_=fn_tt_tt_1,English,USA,2015
Rob Zombie,0,Sid Haig,The Lords of Salem ,5158,http://www.imdb.com/title/tt1731697/?ref_=fn_tt_tt_1,English,USA,2012
Gerard Johnstone,3,Morgana O'Reilly,Housebound ,165,http://www.imdb.com/title/tt3504048/?ref_=fn_tt_tt_1,English,New Zealand,2014
Robert Greenwald,21,Lee Scott,Wal-Mart: The High Cost of Low Price ,0,http://www.imdb.com/title/tt0473107/?ref_=fn_tt_tt_1,English,USA,2005
David Ray,0,Nicole Muñoz,Fetching Cody ,596,http://www.imdb.com/title/tt0475271/?ref_=fn_tt_tt_1,English,Canada,2005
Dave Rodriguez,11,Chazz Palminteri,Once Upon a Time in Queens ,4036,http://www.imdb.com/title/tt1639397/?ref_=fn_tt_tt_1,English,USA,2013
Nae Caranfil,34,Monica Barladeanu,Closer to the Moon ,588,http://www.imdb.com/title/tt2017486/?ref_=fn_tt_tt_1,English,Romania,2014
David Winning,65,Ashanti,Mutant World ,967,http://www.imdb.com/title/tt3626436/?ref_=fn_tt_tt_1,English,Canada,2014
Frank Lotito,5,Brighton Sharbino,Growing Up Smith ,4320,http://www.imdb.com/title/tt1105355/?ref_=fn_tt_tt_1,English,USA,2015
Timothy Woodward Jr.,764,Katrina Law,Checkmate ,2882,http://www.imdb.com/title/tt3781616/?ref_=fn_tt_tt_1,English,USA,2015
Christopher McQuarrie,188,Tom Cruise,Jack Reacher ,16385,http://www.imdb.com/title/tt0790724/?ref_=fn_tt_tt_1,English,USA,2012
Tara Subkoff,37,Timothy Hutton,#Horror ,1044,http://www.imdb.com/title/tt3526286/?ref_=fn_tt_tt_1,English,USA,2015
Russell Friedenberg,9,Rudy Youngblood,Wind Walkers ,2870,http://www.imdb.com/title/tt1236254/?ref_=fn_tt_tt_1,English,USA,2015
William Cottrell,0,Adriana Caselotti,Snow White and the Seven Dwarfs ,229,http://www.imdb.com/title/tt0029583/?ref_=fn_tt_tt_1,English,USA,1937
Lucrecia Martel,33,Mía Maestro,The Holy Girl ,358,http://www.imdb.com/title/tt0300270/?ref_=fn_tt_tt_1,Spanish,Argentina,2004
Edward Dmytryk,74,Brigitte Bardot,Shalako ,2140,http://www.imdb.com/title/tt0063592/?ref_=fn_tt_tt_1,English,UK,1968
Zak Penn,87,Zak Penn,Incident at Loch Ness ,256,http://www.imdb.com/title/tt0374639/?ref_=fn_tt_tt_1,English,UK,2004
Alex Ranarivelo,20,Lea Thompson,The Dog Lover ,2419,http://www.imdb.com/title/tt4063178/?ref_=fn_tt_tt_1,English,USA,2016
Jon Knautz,10,Camren Bicondova,Girl House ,2072,http://www.imdb.com/title/tt2577172/?ref_=fn_tt_tt_1,English,Canada,2014
Mathieu Amalric,412,Mathieu Amalric,The Blue Room ,421,http://www.imdb.com/title/tt3230082/?ref_=fn_tt_tt_1,French,France,2014
David Worth,58,Jessica Szohr,House at the End of the Drive ,1159,http://www.imdb.com/title/tt0464054/?ref_=fn_tt_tt_1,English,USA,2014
Leslie H. Martinson,7,Burgess Meredith,Batman: The Movie ,2658,http://www.imdb.com/title/tt0060153/?ref_=fn_tt_tt_1,English,USA,1966
Guy Ritchie,0,Jason Statham,"Lock, Stock and Two Smoking Barrels ",28294,http://www.imdb.com/title/tt0120735/?ref_=fn_tt_tt_1,English,UK,1998
Robert M. Young,0,Barry Corbin,The Ballad of Gregorio Cortez ,3164,http://www.imdb.com/title/tt3551840/?ref_=fn_tt_tt_1,English,USA,1982
,,Karl Malden,The Streets of San Francisco             ,416,http://www.imdb.com/title/tt0068135/?ref_=fn_tt_tt_1,English,USA,
Thomas Vinterberg,346,Ulrich Thomsen,The Celebration ,821,http://www.imdb.com/title/tt0154420/?ref_=fn_tt_tt_1,Danish,Denmark,1998
Steve Buscemi,12000,Steve Buscemi,Trees Lounge ,14420,http://www.imdb.com/title/tt0117958/?ref_=fn_tt_tt_1,English,USA,1996
Ham Tran,5,Long Nguyen,Journey from the Fall ,83,http://www.imdb.com/title/tt0433398/?ref_=fn_tt_tt_1,Vietnamese,USA,2006
Rich Cowan,7,Eric Dane,The Basket ,3475,http://www.imdb.com/title/tt0190255/?ref_=fn_tt_tt_1,English,USA,1999
Boris Rodriguez,5,Stephen McHattie,Eddie: The Sleepwalking Cannibal ,843,http://www.imdb.com/title/tt1480658/?ref_=fn_tt_tt_1,English,Canada,2012
Harold Becker,17,Bruce Willis,Mercury Rising ,16537,http://www.imdb.com/title/tt0120749/?ref_=fn_tt_tt_1,English,USA,1998
,,James Morrison,Space: Above and Beyond             ,611,http://www.imdb.com/title/tt0112173/?ref_=fn_tt_tt_1,English,USA,
Sadyk Sher-Niyaz,135,Elina Abai Kyzy,Queen of the Mountains ,0,http://www.imdb.com/title/tt2640460/?ref_=fn_tt_tt_1,English,Kyrgyzstan,2014
Paul Donovan,4,Maury Chaykin,Def-Con 4 ,289,http://www.imdb.com/title/tt0087130/?ref_=fn_tt_tt_1,English,Canada,1985
Jonathan Kesselman,4,Judy Greer,The Hebrew Hammer ,6227,http://www.imdb.com/title/tt0317640/?ref_=fn_tt_tt_1,English,USA,2003
Arjun Sablok,0,Abhishek Bachchan,Neal 'N' Nikki ,602,http://www.imdb.com/title/tt0470869/?ref_=fn_tt_tt_1,English,India,2005
Craig Moss,19,Noureen DeWulf,The 41-Year-Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It ,1499,http://www.imdb.com/title/tt1498870/?ref_=fn_tt_tt_1,English,USA,2010
Tyler Oliver,0,Bella Thorne,Forget Me Not ,38121,http://www.imdb.com/title/tt1147684/?ref_=fn_tt_tt_1,English,USA,2009
Alfred Hitchcock,13000,Laurence Olivier,Rebecca ,2888,http://www.imdb.com/title/tt0032976/?ref_=fn_tt_tt_1,English,USA,1940
Steve Miner,49,Betsy Palmer,Friday the 13th Part 2 ,707,http://www.imdb.com/title/tt0082418/?ref_=fn_tt_tt_1,English,USA,1981
Billy Wilder,0,Ray Milland,The Lost Weekend ,581,http://www.imdb.com/title/tt0037884/?ref_=fn_tt_tt_1,English,USA,1945
Douglas Cheek,4,Daniel Stern,C.H.U.D. ,1866,http://www.imdb.com/title/tt0087015/?ref_=fn_tt_tt_1,English,USA,1984
Youssef Delara,8,Noel Gugliemi,Filly Brown ,2459,http://www.imdb.com/title/tt1869425/?ref_=fn_tt_tt_1,English,USA,2012
Deryck Broom,11,Vic Mignogna,The Lion of Judah ,1730,http://www.imdb.com/title/tt1212022/?ref_=fn_tt_tt_1,English,USA,2011
Henry Hathaway,83,Joseph Cotten,Niagara ,683,http://www.imdb.com/title/tt0046126/?ref_=fn_tt_tt_1,English,USA,1953
John Ford,673,Roddy McDowall,How Green Was My Valley ,1129,http://www.imdb.com/title/tt0033729/?ref_=fn_tt_tt_1,English,USA,1941
,,Mary Lynn Rajskub,The Girlfriend Experience             ,1961,http://www.imdb.com/title/tt3846642/?ref_=fn_tt_tt_1,English,USA,
Spike Lee,0,Rami Malek,Da Sweet Blood of Jesus ,4040,http://www.imdb.com/title/tt3104930/?ref_=fn_tt_tt_1,English,USA,2014
Steven Soderbergh,0,Peter Gallagher,"Sex, Lies, and Videotape ",1431,http://www.imdb.com/title/tt0098724/?ref_=fn_tt_tt_1,English,USA,1989
James Wan,0,Michael Emerson,Saw ,5161,http://www.imdb.com/title/tt0387564/?ref_=fn_tt_tt_1,English,USA,2004
Jay Chandrasekhar,422,Geoffrey Arend,Super Troopers ,2893,http://www.imdb.com/title/tt0247745/?ref_=fn_tt_tt_1,English,USA,2001
Giovanni Zelko,4,Zuhair Haddad,The Algerian ,20218,http://www.imdb.com/title/tt1681370/?ref_=fn_tt_tt_1,English,USA,2014
Claudia Sainte-Luce,0,Ximena Ayala,The Amazing Catfish ,58,http://www.imdb.com/title/tt2414046/?ref_=fn_tt_tt_1,Spanish,Mexico,2013
Scott Derrickson,301,Keanu Reeves,The Day the Earth Stood Still ,22194,http://www.imdb.com/title/tt0970416/?ref_=fn_tt_tt_1,English,USA,2008
Mira Nair,300,Naseeruddin Shah,Monsoon Wedding ,809,http://www.imdb.com/title/tt0265343/?ref_=fn_tt_tt_1,Hindi,India,2001
Kenneth Lonergan,50,Matthew Broderick,You Can Count on Me ,4288,http://www.imdb.com/title/tt0203230/?ref_=fn_tt_tt_1,English,USA,2000
Alfred Hitchcock,13000,Jerry Mathers,The Trouble with Harry ,1041,http://www.imdb.com/title/tt0048750/?ref_=fn_tt_tt_1,English,USA,1955
Paul McGuigan,118,Bruce Willis,Lucky Number Slevin ,26451,http://www.imdb.com/title/tt0425210/?ref_=fn_tt_tt_1,English,Germany,2006
Jamie Babbit,91,Natasha Lyonne,But I'm a Cheerleader ,4289,http://www.imdb.com/title/tt0179116/?ref_=fn_tt_tt_1,English,USA,1999
David Boyd,29,Vivica A. Fox,Home Run ,2681,http://www.imdb.com/title/tt2051894/?ref_=fn_tt_tt_1,English,USA,2013
Quentin Tarantino,16000,Quentin Tarantino,Reservoir Dogs ,28994,http://www.imdb.com/title/tt0105236/?ref_=fn_tt_tt_1,English,USA,1992
Walter Lang,9,Spring Byington,The Blue Bird ,293,http://www.imdb.com/title/tt0032264/?ref_=fn_tt_tt_1,English,USA,1940
Sergio Leone,0,Clint Eastwood,"The Good, the Bad and the Ugly ",16089,http://www.imdb.com/title/tt0060196/?ref_=fn_tt_tt_1,Italian,Italy,1966
Anna Muylaert,9,Alex Huszar,The Second Mother ,76,http://www.imdb.com/title/tt3742378/?ref_=fn_tt_tt_1,Portuguese,Brazil,2015
Steve Taylor,14,Jason Marsden,Blue Like Jazz ,1805,http://www.imdb.com/title/tt1758575/?ref_=fn_tt_tt_1,English,USA,2012
Kurt Voss,0,Lemmy,Down and Out with the Dolls ,318,http://www.imdb.com/title/tt0283323/?ref_=fn_tt_tt_1,English,USA,2001
Léa Pool,4,,"Pink Ribbons, Inc. ",0,http://www.imdb.com/title/tt2035599/?ref_=fn_tt_tt_1,English,Canada,2011
James David Pasternak,0,Robin Williams,Certifiably Jonathan ,54484,http://www.imdb.com/title/tt0976025/?ref_=fn_tt_tt_1,English,USA,2007
Laurent Bouhnik,0,Déborah Révy,Q ,114,http://www.imdb.com/title/tt1879030/?ref_=fn_tt_tt_1,French,France,2011
