num_critic_for_reviews,actor_2_name,actor_1_facebook_likes,facenumber_in_poster
82,Viggo Mortensen,18000,0
201,Kurt Fuller,10000,0
231,Michael Irby,931,1
55,Dylan Baker,2000,0
110,Andre Braugher,12000,1
354,Vivica A. Fox,926,0
140,Adam Alexi-Malle,21000,2
77,Don S. Davis,847,4
304,Michael Parks,890,0
45,Jack Palance,13000,1
49,Meryl Streep,13000,3
146,Jason Connery,485,2
60,Joe Morton,1000,0
189,Ophelia Lovibond,1000,1
206,Thomas McDonell,5000,0
118,Carlos Ponce,1000,1
210,Holt McCallany,534,0
76,Jimmy Nail,57,1
149,Natascha McElhone,22000,2
62,Bernard Hill,1000,0
224,Matt Lucas,838,0
265,Nicholas Braun,622,4
135,Jenna Boyd,933,1
100,Maura Tierney,12000,1
123,Terence Bernie Hines,13000,2
164,Maura Tierney,8000,3
238,Russell Tovey,4000,0
264,Michael Kelly,11000,0
47,Morgan Freeman,18000,1
50,Kurt Fuller,22000,3
153,Minnie Driver,18000,0
202,Abbie Cornish,13000,1
178,Sophie Okonedo,9000,0
84,Bruce Boxleitner,789,0
44,Lauren Holly,995,0
93,Ronny Cox,939,2
277,Tina Fey,3000,4
76,Philip Winchester,956,0
197,Peter Gallagher,2000,1
186,André Dussollier,226,1
103,Shelley Winters,617,0
66,Tom Berenger,13000,1
224,Thomas Kretschmann,12000,1
202,Rosario Dawson,10000,1
279,Jason Momoa,13000,3
110,Joe Mantegna,14000,1
190,Kirsten Dunst,5000,0
136,Billy Gardell,277,1
121,Ned Beatty,593,4
131,Lenny Venito,117,0
127,Anthony Hopkins,14000,0
160,Vanessa Williams,23000,0
78,Kelsey Grammer,4000,1
209,Kylie Minogue,1000,1
98,Teri Polo,12000,1
391,Benedict Cumberbatch,40000,7
279,Chris Bauer,23000,0
216,Leslie Bibb,18000,0
250,Rosario Dawson,16000,0
78,Kimberly Elise,852,1
106,Robert Duvall,21000,1
194,Tom Hanks,29000,0
558,Harold Perrineau,1000,0
183,John Michael Higgins,4000,1
238,Meryl Streep,14000,1
186,Taylor Lautner,14000,12
144,Jessica Simpson,631,5
156,Miranda Otto,648,0
215,Olivia Wilde,16000,2
140,Gerry Becker,134,1
133,Don Rickles,22000,2
203,Amber Rose Revah,211,1
127,Mako,961,3
155,Tony Cox,889,1
98,Wanda Sykes,677,1
71,Jorge Garcia,2000,0
299,Kristen Stewart,21000,2
212,Chris Miller,145,1
413,Michael Kelly,13000,2
67,Morgan Freeman,25000,0
109,Kelly Preston,10000,0
457,Seth MacFarlane,15000,1
156,Yeardley Smith,625,0
55,Philip Seymour Hoffman,49000,1
272,Will Ferrell,11000,2
117,Adam Sandler,12000,1
539,AJ Michalka,1000,0
169,Albert Finney,8000,0
140,Adam Goldberg,11000,2
330,Craig Roberts,17000,2
120,Tom Cruise,11000,0
190,Zooey Deschanel,14000,1
177,Thomas Kretschmann,12000,2
65,Liam Aiken,8000,2
145,Linda Cardellini,8000,2
321,Meryl Streep,40000,1
230,James Ransone,18000,2
143,Deborah Kara Unger,1000,1
55,Joe Don Baker,426,0
257,Matt Damon,19000,3
279,Ben Mendelsohn,12000,0
143,Matthew McConaughey,14000,2
196,Gary Cole,6000,0
310,Emma Stone,33000,7
116,Mark Christopher Lawrence,13000,0
105,Cheech Marin,2000,1
419,Robin Wright,22000,1
64,Morgan Freeman,18000,3
359,Nate Parker,14000,0
166,Billy Brown,12000,3
525,Eddie Marsan,20000,1
165,Anna-Louise Plowman,154,2
2,Gemma Jones,416,2
87,Frank Welker,8000,0
117,Thomas Lennon,660,1
113,Jennifer Esposito,1000,0
349,Derek Mears,10000,2
152,Erik Per Sullivan,838,0
288,Emily Wickersham,15000,1
358,Amr Waked,13000,0
204,James Badge Dale,769,0
156,Hector Elizondo,17000,1
171,Harrison Ford,87000,1
76,Mark Margolis,16000,0
97,Demi Moore,10000,1
157,Armin Mueller-Stahl,495,1
267,Deborah Kara Unger,992,0
118,Jon Favreau,18000,1
291,Dania Ramirez,3000,7
68,Michael Cudlitz,18000,2
228,Alycia Debnam-Carey,490,0
36,Jon Tenney,437,1
105,Robert Picardo,16000,0
276,Robert Duvall,21000,1
93,Holt McCallany,294,2
191,Thomas Kretschmann,14000,1
143,Jim Broadbent,14000,1
124,Sanaa Lathan,18000,3
47,Joan Chen,854,1
66,Kristin Davis,12000,1
118,Virginie Ledoyen,29000,0
93,Felicity Huffman,627,1
235,Ben Miles,330,0
113,Kelly Preston,24000,0
14,Bruce Alexander,325,1
51,Rumer Willis,2000,1
98,Judy Greer,15000,0
315,Jay Mohr,13000,0
136,Chris Penn,33000,0
61,Sylvester Stallone,45000,0
209,Stephen Walters,879,0
99,Tim Matheson,13000,1
298,Chandler Canterbury,430,3
131,Harry Connick Jr.,933,0
146,Anjelica Huston,16000,1
245,Brían F. O'Byrne,6000,0
104,Valeria Golino,12000,0
4,Brittany Curran,629,2
162,Harry Connick Jr.,14000,1
259,Anjelica Huston,13000,8
79,Donald Watkins,11000,1
141,Kate Winslet,18000,0
59,Vanessa Ferlito,1000,5
236,Common,14000,2
356,Naomi Watts,10000,1
120,James Frain,23000,3
111,David Bailie,51,0
208,Zooey Deschanel,20000,3
174,Gregory Smith,6000,0
59,Blythe Danner,972,2
22,Lara Flynn Boyle,1000,1
34,Robert Duvall,10000,1
214,Ty Burrell,6000,2
28,Tony Curran,3000,3
186,Mo'Nique,984,0
50,Chazz Palminteri,2000,0
180,Logan Lerman,18000,1
231,Zoey Deutch,1000,7
105,Vincent Schiavelli,49000,2
226,Will Ferrell,14000,4
75,Andrew Wilson,11000,5
82,Linda Fiorentino,2000,0
296,Billy Burke,12000,1
103,Robin Shou,841,2
98,Jet Li,26000,1
30,Graham McTavish,1000,8
48,Gilbert Gottfried,879,5
195,Charlie Rowe,22000,2
223,Jacob Vargas,599,0
149,Julian Glover,11000,5
324,Guro Nagelhus Schia,2000,1
371,Sharlto Copley,20000,0
75,Angelina Jolie Pitt,18000,2
233,Dwight Yoakam,17000,0
32,Lochlyn Munro,598,0
150,Jamie Kennedy,2000,1
172,Fares Fares,27000,3
103,Douglas Haase,779,8
140,Jeff Bridges,18000,1
125,Natasha Lyonne,20000,1
125,Frances O'Connor,3000,2
36,Bob Hoskins,12000,1
295,Logan Lerman,23000,1
222,Dougray Scott,14000,0
158,Albert Brooks,3000,1
72,Janeane Garofalo,2000,1
34,Gulshan Grover,113,0
72,Warren Beatty,678,1
152,Faye Dunaway,1000,0
89,Adam Garcia,919,1
145,Brian Dennehy,13000,1
144,Anatoliy Solonitsyn,29,0
93,George Carlin,4000,3
46,Bronagh Gallagher,8000,1
84,Christopher Masterson,8000,1
142,Rainn Wilson,8000,4
185,Maura Tierney,14000,0
143,Alfre Woodard,1000,2
178,Billy Blair,13000,1
65,Matt Damon,18000,1
73,Swoosie Kurtz,509,1
72,Amy Ryan,788,1
10,Ben Gazzara,1000,1
35,Elizabeth Perkins,924,2
358,Luke Grimes,14000,0
151,Pamela Anderson,807,7
140,Wendy Raquel Robinson,545,1
201,Brendan Fraser,14000,0
77,Raven-Symoné,11000,2
43,Julia Roberts,18000,0
39,Anthony LaPaglia,821,3
207,Noel Gugliemi,11000,1
47,Polly Walker,11000,1
132,Jane Fonda,3000,0
454,Jake Gyllenhaal,20000,2
109,Snoop Dogg,18000,2
213,Enrico Colantoni,25000,3
127,Veronica Cartwright,1000,7
398,Eric Jacobson,970,3
184,Traci Lords,886,1
127,Rick Gonzalez,17000,0
167,Matt Malloy,521,0
119,Eric Stoltz,2000,0
155,Tyra Banks,811,5
218,Liam Neeson,14000,9
117,Madeline Kahn,18000,0
208,Jason Flemyng,40000,1
38,Rod Steiger,13000,2
48,Cheech Marin,982,0
8,Tom Bosley,6000,0
94,Will Ferrell,14000,1
276,Kelly Macdonald,11000,0
59,Nick Zano,1000,1
216,Mike Epps,14000,1
173,Adam Sandler,35000,0
99,Alicia Witt,1000,1
42,Glenn Morshower,11000,1
25,Vincent Kartheiser,1000,1
339,Shea Whigham,749,4
127,Valerie Cruz,550,1
122,Natalie Imbruglia,427,1
105,Meryl Streep,12000,1
144,Jürgen Prochnow,913,3
156,T.V. Carpio,5000,0
323,Kate Winslet,29000,0
199,David Zayas,13000,2
164,Charlotte Rampling,14000,0
39,Bob Gunton,2000,1
43,Brian Doyle-Murray,905,0
82,Carter Jenkins,1000,3
150,Adrien Dorval,723,0
168,Will Ferrell,11000,3
432,Jason Cope,409,0
60,Treat Williams,1000,0
85,Henry Thomas,13000,2
83,Bob Hoskins,12000,0
343,Olivia Williams,854,2
106,Jason Flemyng,3000,0
158,Omari Hardwick,23000,0
189,Ye Liu,879,2
125,Charlie Yeung,12000,1
87,Janeane Garofalo,11000,2
115,Giovanna Mezzogiorno,267,0
23,Clotilde Hesme,164,9
24,Ben Gazzara,849,2
152,Tim McInnerny,219,1
12,Larry Miller,719,0
656,Scoot McNairy,1000,1
119,Daniel Roebuck,11000,1
161,Dorian Missick,18000,1
73,Brad Pitt,22000,3
96,Julia Nickson,13000,0
28,Demi Moore,23000,1
105,Dickie Jones,1000,0
102,Sam Waterston,12000,0
206,Tony Curran,956,1
159,Spencer Wilding,11000,2
137,Rob Brown,670,1
116,Viggo Mortensen,12000,1
177,Jet Li,11000,1
99,Lillian Adams,44,3
56,Holly Hunter,10000,0
117,Charlie Tahan,405,1
252,Tony Goldwyn,26000,0
375,Dax Flame,17000,2
150,Clarke Peters,8000,1
187,Miranda Richardson,579,0
108,Masi Oka,22000,1
21,Eartha Kitt,723,1
270,William Xifaras,975,7
72,Richard Burton,940,2
154,Reggie Lee,4000,2
114,Adam Scott,11000,1
27,Austin Pendleton,12000,0
166,Will Patton,650,0
288,Elton John,468,1
117,Talisa Soto,683,0
291,Billy Burke,10000,2
151,Charlize Theron,22000,1
36,Fisher Stevens,5000,0
168,Jeremy Crutchley,12000,2
283,Tony Chiu Wai Leung,5000,4
127,Debbie Reynolds,922,1
