director_facebook_likes,actor_3_facebook_likes,genres,movie_title,num_voted_users,actor_3_name,facenumber_in_poster,language,imdb_score,movie_facebook_likes
21,772,Comedy|Drama|Fantasy|Romance,Wristcutters: A Love Story ,46076,Chase Ellison,2,English,7.4,11000
135,11,Drama|Romance|Sci-Fi,I Origins ,75633,Venida Evans,0,English,7.3,32000
2,551,Comedy|Drama|Romance,The Battle of Shaker Heights ,3806,Kathleen Quinlan,2,English,6.1,150
0,310,Drama|Fantasy|Thriller,The Lovely Bones ,125114,Tom McCarthy,1,English,6.7,16000
50,0,Biography|Crime|Documentary|History,The Act of Killing ,23836,Syamsul Arifin,1,Indonesian,8.2,20000
141,23,Crime|Documentary|War,Taxi to the Dark Side ,10564,Greg D'Agostino,0,English,7.7,0
10,5,Documentary|Sport,Once in a Lifetime: The Extraordinary Story of the New York Cosmos ,1290,Ahmet Ertegun,0,English,7.3,587
0,0,Drama,Guiana 1838 ,56,Aasheekaa Bathija,0,English,7.4,32
165,679,Comedy|Drama,Lisa Picard Is Famous ,455,Melissa Gilbert,1,English,5.7,25
9,9,Adventure|Biography|Documentary|Drama,Antarctica: A Year on Ice ,2482,Anthony Powell,1,English,7.6,0
0,0,Documentary,A Lego Brickumentary ,1220,Jason Bateman,0,English,6.8,0
74,891,Action|Drama,Hardflip ,606,Raquel Elizabeth Ames,3,English,5.6,706
5,219,Thriller,Chocolate: Deep Dark Secrets ,1524,Sunil Shetty,5,Hindi,4.8,31
243,725,Horror,The House of the Devil ,30160,Dee Wallace,0,English,6.4,0
11,271,Comedy|Crime|Thriller,The Perfect Host ,20176,Nathaniel Parker,1,English,6.8,0
29,117,Comedy|Crime,Safe Men ,2735,Josh Pais,0,English,6.1,157
5,73,Crime|Drama|Romance,Speedway Junky ,1434,Adrienne Frantz,2,English,5.2,27
8,14,Comedy|Drama,The Last Big Thing ,334,James Lorinz,1,English,6.9,43
82,490,Action|Comedy|Fantasy|Sci-Fi,The Specials ,1938,Jamie Kennedy,0,English,6.0,210
32,256,Comedy|Romance,16 to Life ,397,Hallee Hirsh,1,English,6.3,143
0,61,Crime|Drama|Thriller,Alone with Her ,3228,Jonathon Trent,0,English,6.1,244
4,150,Drama|Sci-Fi,Creative Control ,1048,Meredith Hagner,1,English,5.5,793
0,394,Comedy|Drama|Sci-Fi,Special ,4862,Ian Bohen,0,English,6.9,0
18,422,Comedy|Drama,Sparkler ,377,Veronica Cartwright,3,English,5.6,17
0,94,Action|Adventure|Comedy|Fantasy|Sci-Fi,The Helix... Loaded ,534,Jennifer Sky,2,English,1.9,128
53,176,Action|Drama,In Her Line of Fire ,783,Jesse Hutch,2,English,4.1,42
436,4,Comedy|Drama,The Jimmy Show ,480,Heather Bucha,3,English,5.4,47
50,8,Crime|Drama|Romance,Heli ,3499,Gabriel Reyes,0,Spanish,6.8,0
3,4,Comedy|Family,Karachi se Lahore ,876,Javed Sheikh,9,Urdu,7.0,259
57,228,Drama|Romance,Loving Annabelle ,9190,Laura Breckenridge,0,English,6.7,501
0,396,Comedy|Drama,Hits ,1359,Amy Sedaris,1,English,5.8,903
0,131,Crime|Drama|Thriller,Jimmy and Judy ,1420,James Eckhouse,2,English,6.2,138
15,106,Comedy,Frat Party ,1612,Alicia Ziegler,4,English,2.8,297
82,47,Drama,The Party's Over ,340,Louise Sorel,1,English,7.3,32
3,149,Drama,Proud ,275,Janet Hubert,2,English,5.8,141
923,904,Drama,The Poker House ,3943,Bokeem Woodbine,3,English,6.5,599
0,171,Drama,Childless ,33,Diane Venora,5,English,6.1,3
23,23,Comedy|Horror|Sci-Fi,ZMD: Zombies of Mass Destruction ,3650,Kevin Hamedani,0,English,5.1,0
142,317,Horror,Snow White: A Deadly Summer ,634,Tim Abell,1,English,2.2,150
0,0,Drama|Romance,Hidden Away ,955,Joseba Ugalde,0,Spanish,7.2,68
0,360,Comedy|Drama|Romance,My Last Day Without You ,982,Reg E. Cathey,1,English,5.7,370
105,110,Comedy|Music,Steppin: The Movie ,293,Chrystee Pharris,6,English,3.4,41
142,402,Western,Doc Holliday's Revenge ,93,Randy Jay Burrell,3,English,3.8,54
224,37,Horror|Thriller,Black Rock ,6531,Jay Paulson,1,English,4.7,0
0,177,Horror|Mystery,Truth or Die ,6513,Jennie Jacques,2,English,5.6,968
6,0,Drama|Thriller,The Pet ,425,Summer Napoles,0,English,3.9,91
0,36,Drama|Musical|Sci-Fi,Bang Bang Baby ,137,Kristian Bruun,2,English,5.4,48
53,253,Horror,Fear Clinic ,6256,Fiona Dourif,0,English,5.2,936
3,115,Action|Comedy|Horror,Zombie Hunter ,2057,Jarrod Phillips,2,English,3.5,0
0,426,Drama,A Fine Step ,207,Leonor Varela,0,,5.3,212
0,888,Crime|Drama|Mystery|Thriller,Trance ,92640,Tuppence Middleton,0,English,7.0,23000
17,113,Drama|Romance|Sci-Fi,Charly ,4998,Claire Bloom,0,English,7.1,785
0,302,Horror|Thriller,Banshee Chapter ,6265,Michael McMillian,1,English,5.5,2000
,223,Comedy,Jesse             ,954,Bruno Campos,8,English,5.9,57
12,354,Drama,Ask Me Anything ,7870,Cathryn de Prume,1,English,6.0,884
29,558,Comedy|Romance,And Then Came Love ,443,Eartha Kitt,1,English,4.8,42
0,17,Documentary|News,Food Chains ,265,Eve Ensler,0,English,7.1,489
603,279,Crime|Drama|Romance,On the Waterfront ,100890,Rod Steiger,2,English,8.2,0
28,501,Comedy,L!fe Happens ,6025,Kristen Johnston,8,English,5.7,995
163,27,Drama,4 Months, 3 Weeks and 2 Days ,44763,Alexandru Potocean,0,Romanian,7.9,14000
171,76,Horror,The Horror Network Vol. 1 ,139,Jan Cornet,0,English,7.3,52
171,0,Crime|Drama|Thriller,Hard Candy ,131969,Patrick Wilson,0,English,7.1,12000
91,659,Drama|Thriller,The Quiet ,13485,Edie Falco,0,English,6.4,698
32,127,Drama,Circumstance ,6277,Sina Amedson,1,Persian,5.9,0
0,88,Biography|Drama|Romance,Fruitvale Station ,53919,Ariana Neal,0,English,7.5,17000
6,727,Comedy|Fantasy|Thriller,The Brass Teapot ,11965,Alia Shawkat,2,English,6.4,0
11,8,Animation|Drama|Family,Bambi ,94225,Ann Gillis,0,English,7.4,0
0,102,Comedy|Romance|Sport,The Hammer ,5489,Adam Carolla,1,English,7.3,337
29,874,Action|Drama|Thriller,Snitch ,64748,Nadine Velazquez,1,English,6.5,12000
6,522,Comedy|Drama|Romance,Latter Days ,14580,Jacqueline Bisset,2,English,7.2,0
0,0,Drama,Elza ,19,Teddy Doloir,1,French,6.7,24
66,734,Drama,1982 ,122,Quinton Aaron,4,English,7.1,181
15,567,Comedy,For a Good Time, Call... ,13421,Nia Vardalos,0,English,6.0,0
43,172,Comedy|Drama|Romance,Celeste & Jesse Forever ,24391,Rob Huebel,2,English,6.7,0
14,221,Drama|Fantasy|Sci-Fi,Time Changer ,1742,Hal Linden,1,English,5.6,409
46,141,Crime|Drama|Thriller,London to Brighton ,7308,Georgia Groome,0,English,7.0,933
63,175,Action|Comedy|Drama|Sci-Fi,American Hero ,2706,Michelle Tabora,2,English,4.9,549
8,487,Mystery|Thriller,Windsor Drive ,169,Matt Cohen,1,English,3.2,312
0,620,Drama|Mystery,A Separation ,151812,Peyman Moaadi,2,Persian,8.4,48000
5,10,Thriller,Crying with Laughter ,190,Joe Cassidy,1,English,6.9,33
377,236,Comedy|Drama,Welcome to the Dollhouse ,26513,Christina Vidal,1,English,7.5,0
9,86,Drama|Romance,Ruby in Paradise ,2039,Dorothy Lyman,1,English,7.2,81
6,68,Drama|Romance,Raising Victor Vargas ,4743,Judy Marte,1,English,7.2,219
21,3,Crime|Drama|Romance,Pandora's Box ,7431,Fritz Kortner,1,German,8.0,926
0,167,Drama,Harrison Montgomery ,59,Diane Baker,2,English,7.4,18
0,0,Drama,Live-In Maid ,772,Claudia Lapacó,0,Spanish,7.2,83
37,501,Drama|Thriller,Deterrence ,2256,Timothy Hutton,0,English,6.5,130
3,181,Crime|Drama|Romance,The Mudge Boy ,3480,Ryan Donowho,1,English,7.2,396
0,258,Drama,The Young Unknowns ,122,Arly Jover,0,English,4.2,4
247,152,Comedy,Not Cool ,4167,Cherami Leigh,4,English,5.1,0
75,13,Comedy|Horror,Dead Snow ,54601,Ane Dahl Torp,0,Norwegian,6.4,23000
38,69,Action|Adventure|Drama|War,Saints and Soldiers ,17725,Kirby Heyborne,0,English,6.8,1000
0,37,Horror|Sci-Fi|Short|Thriller,Vessel ,292,Whit Spurgeon,1,English,6.2,14
0,425,Comedy|Drama|Music,American Graffiti ,63839,Mackenzie Phillips,1,English,7.5,0
21,0,Documentary|War,Iraq for Sale: The War Profiteers ,1477,Donna Zovko,0,English,7.7,274
8,357,Action|Adventure|Animation|Comedy|Fantasy|Sci-Fi,Aqua Teen Hunger Force Colon Movie Film for Theaters ,12160,Chris Kattan,0,English,6.9,307
365,522,Comedy|Drama|Romance,Safety Not Guaranteed ,101287,Jeff Garlin,0,English,7.0,31000
15,95,Comedy|Documentary,Kevin Hart: Laugh at My Pain ,3543,Jeanette Branch,1,English,7.5,614
214,246,Crime|Horror|Thriller,Kill List ,25750,Neil Maskell,0,English,6.3,0
243,74,Horror,The Innkeepers ,27260,Pat Healy,0,English,5.5,0
687,389,Drama|Fantasy|Horror|Mystery|Thriller,The Unborn ,42183,Rachel Brosnahan,1,English,4.8,0
973,48,Drama,The Conformist ,17813,Dominique Sanda,1,Italian,8.1,0
168,21,Drama,Interview with the Assassin ,1661,Renee Faia,0,English,6.6,163
4,201,Crime|Drama|Horror|Thriller,Donkey Punch ,9376,Tom Burke,0,English,5.2,0
129,280,Horror,All the Boys Love Mandy Lane ,25951,Whitney Able,1,English,5.6,2000
3,118,Horror,Bled ,851,Michele Morrow,0,English,3.1,128
160,433,Thriller|Western,High Noon ,80193,Lon Chaney Jr.,0,English,8.1,3000
23,2,Documentary|Drama|Sport,Hoop Dreams ,18980,Isiah Thomas,0,English,8.3,0
30,14,Documentary|Music,Rize ,2877,Tommy the Clown,0,English,7.1,903
364,567,Action|Adventure|Fantasy|Sci-Fi,Destiny ,3089,Erick Avari,0,English,8.1,1000
52,36,Crime|Drama,L.I.E. ,8509,Walter Masterson,1,English,7.2,420
0,195,Drama|Mystery|Thriller,The Sisterhood of Night ,1354,Louis Ozawa Changchien,,English,6.3,523
0,311,Drama|Music|Romance,B-Girl ,551,Drew Sidora,0,English,4.0,303
0,84,Action|Adventure|Drama|Romance,King Kong ,316027,Evan Parke,0,English,7.2,0
174,324,Horror,House of Wax ,94463,Brian Van Holt,0,English,5.3,0
31,71,Drama,Half Nelson ,70885,Jeff Lima,2,English,7.2,0
0,236,Drama,Naturally Native ,103,Max Gail,4,English,6.5,102
21,48,Comedy,Hav Plenty ,819,Chenoa Maxwell,2,English,6.5,161
0,137,Crime|Drama|Thriller,Adulterers ,514,Danielle Savre,3,English,4.9,158
13,432,Fantasy|Horror,Escape from Tomorrow ,7384,Amy Lucas,0,English,5.2,0
2,442,Documentary,Starsuckers ,474,Elton John,0,English,7.4,203
0,21,Documentary,The Hadza: Last of the First ,5,Jane Goodall,1,English,7.4,5
4,258,Fantasy|Horror|Mystery|Thriller,After ,3699,Karolina Wydra,0,English,5.4,1000
4,2000,Drama|Thriller,Treachery ,344,Michael Biehn,5,English,3.9,0
7,912,Comedy|Drama,Walter ,1432,Virginia Madsen,2,English,5.3,0
10,23,Comedy|Musical|Romance,Top Hat ,13269,Eric Blore,2,English,7.8,1000
19,39,Horror,The Blair Witch Project ,186786,Michael C. Williams,0,English,6.4,0
14,136,Documentary|History|Music,Woodstock ,12631,Joan Baez,0,English,8.1,0
644,11,Comedy,The Kentucky Fried Movie ,13915,Tara Strohmeier,0,English,6.5,0
16,254,Action|Crime|Drama,Mercy Streets ,448,Cynthia Watros,1,English,5.6,12
0,20,Mystery|Thriller,Arnolds Park ,94,Tac Fitzgerald,4,English,5.6,11
4,218,Drama,Broken Vessels ,531,Brent David Fraser,0,English,6.6,51
12,359,Crime|Drama,Water & Power ,85,Exie Booker,0,English,6.3,358
0,0,Documentary,They Will Have to Kill Us First ,74,Khaira Arby,3,French,7.7,34
3,0,Documentary,Crop Circles: Quest for Truth ,204,Francine Blake,0,English,7.0,32
0,271,Action|Drama|Thriller,Light from the Darkroom ,6,Lymari Nadal,0,English,8.0,9
12,2,Comedy|Drama,Irreplaceable ,389,Marianne Denicourt,2,French,7.2,36
5,233,Thriller,The Maid's Room ,719,John Brodsky,0,English,4.5,128
44,704,Comedy|Musical,A Hard Day's Night ,31429,George Harrison,1,English,7.7,0
6,,Documentary,The Harvest/La Cosecha ,57,,0,English,7.2,88
11,221,Drama|Romance,Love Letters ,487,Amy Madigan,1,English,6.1,7
0,0,Comedy,Julija in alfa Romeo ,86,Andrej Nahtigal,6,Slovenian,6.4,18
589,150,Drama|Romance,Fireproof ,17068,Erin Bethea,0,English,6.5,0
95,0,Biography|Documentary|Drama,Faith Connections ,113,Shriman Umeshanad Brahmachari,1,Hindi,7.0,126
24,142,Adventure|Family|Romance,Benji ,3411,Edgar Buchanan,0,English,6.1,816
9,7,Adventure|Biography|Drama|Horror|Thriller,Open Water ,42256,Daniel Travis,1,English,5.7,0
490,201,Comedy,High Road ,1305,Abby Elliott,6,English,5.4,244
8,22,Horror|Sci-Fi,Kingdom of the Spiders ,3274,Tiffany Bolling,0,English,5.9,0
2,0,Documentary|Family|Music,Mad Hot Ballroom ,3156,Paul Daggett,2,English,7.5,588
310,587,Comedy|Drama,The Station Agent ,58260,Paula Garcés,0,English,7.7,0
3,234,Drama,To Save a Life ,4583,D. David Morin,1,English,7.1,0
3,2,Documentary,Wordplay ,3394,Bob Dole,0,English,7.4,694
6,43,Biography|Documentary|Sport,Beyond the Mat ,6790,Mick Foley,3,English,7.6,491
0,15,Comedy|Drama|Romance,The Singles Ward ,1099,Daryn Tufts,0,English,6.4,43
6,0,Drama,Osama ,7559,Mohamad Haref Harati,1,Dari,7.4,0
0,59,Documentary,Sholem Aleichem: Laughing in the Darkness ,154,Jason Kravits,1,English,6.8,287
7,17,Drama|Music,Groove ,3562,Denny Kirkwood,0,English,6.5,0
0,17,Comedy|Crime|Family,The R.M. ,651,Curt Doussett,0,English,6.0,44
35,482,Drama,Twin Falls Idaho ,3479,Jon Gries,0,English,7.3,180
9,595,Crime|Drama,Mean Creek ,26407,Trevor Morgan,0,English,7.3,1000
204,474,Crime|Drama|Romance,Hurricane Streets ,1038,Lynn Cohen,3,English,6.5,51
71,658,Comedy|Romance,Never Again ,709,Michael McKean,1,English,6.0,139
21,469,Crime|Drama|Thriller,Civil Brand ,553,Clifton Powell,3,English,5.3,86
12000,213,Comedy|Drama,Lonesome Jim ,6884,Mary Kay Place,0,English,6.6,238
217,243,Comedy|Drama|Romance,Drinking Buddies ,45928,Ti West,5,English,6.1,0
0,49,Documentary,Deceptive Practice: The Mysteries and Mentors of Ricky Jay ,774,Dick Cavett,0,English,7.1,590
0,4,Action|Adventure|Drama,Seven Samurai ,229012,Kamatari Fujiwara,6,Japanese,8.7,11000
6,8,Documentary|Sport,The Other Dream Team ,3086,Mickey Hart,1,English,8.4,0
32,329,Comedy|Music|Romance,Johnny Suede ,3013,Nick Cave,0,English,5.8,344
681,143,Comedy,Finishing the Game: The Search for a New Bruce Lee ,1656,Joe McQueen,0,English,6.2,155
248,196,Comedy|Fantasy|Horror,Rubber ,26185,Cecelia Antoinette,0,English,5.8,46000
12,183,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,Home ,70136,April Winchell,0,English,6.7,26000
6,325,Comedy|Romance,Kiss the Bride ,1358,Garrett M. Brown,3,English,5.7,60
12,699,Drama|Sport,The Slaughter Rule ,2004,Eddie Spears,2,English,6.1,183
380,113,Drama|Sci-Fi|Thriller,Monsters ,75669,Ricky Catter,0,English,6.4,19000
0,347,Drama,The Californians ,299,Illeana Douglas,3,English,5.0,29
0,170,Comedy,The Living Wake ,739,Matthew Cowles,2,English,6.5,339
38,445,Comedy|Horror,Detention of the Dead ,2038,Max Adler,6,English,4.6,898
0,0,Comedy|Crime,Crazy Stone ,2097,Zhonghua Chen,1,Mandarin,7.7,23
3,25,Biography|Documentary|Music,Scott Walker: 30 Century Man ,1006,Damon Albarn,0,English,7.3,808
395,637,Drama,Everything Put Together ,601,Megan Mullally,0,English,6.6,22
487,118,Drama|Thriller,Good Kill ,15756,Stafford Douglas,0,English,6.4,0
2,0,Thriller,Insomnia Manica ,16,Chin-Chien Chang,0,English,5.8,0
3,205,Documentary,The Outrageous Sophie Tucker ,38,Tony Bennett,1,English,7.2,16
