director_name,num_critic_for_reviews,duration,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,budget,title_year
Rafa Lara,12,125,36,Andrés Montiel,78,169379,Drama|History|War,"Cinco de Mayo, La Batalla ",683,221,William Miller,,http://www.imdb.com/title/tt2553908/?ref_=fn_tt_tt_1,3,Spanish,Mexico,10000000,2013
Michael Radford,59,97,499,Jared Gilman,962,,Comedy|Drama|Romance,Elsa & Fred ,2041,3465,James Brolin,apartment|death of protagonist|follow that car|la dolce vita|love,http://www.imdb.com/title/tt2113659/?ref_=fn_tt_tt_1,18,English,USA,10000000,2014
Arthur Hiller,29,86,385,Harvey Weinstein,795,15447,Comedy,An Alan Smithee Film: Burn Hollywood Burn ,2971,2655,Ryan O'Neal,box office flop|critically bashed|director|hollywood|mockumentary,http://www.imdb.com/title/tt0118577/?ref_=fn_tt_tt_1,85,English,USA,10000000,1997
Michael Meredith,23,91,875,Justin Timberlake,12000,19348,Comedy|Drama,The Open Road ,2941,16118,Ted Danson,american south|baseball|farmland|motel|road trip,http://www.imdb.com/title/tt1007018/?ref_=fn_tt_tt_1,11,English,USA,10000000,2009
Julio DePietro,22,90,617,Scott Porter,806,100503,Comedy|Romance,The Good Guy ,7759,3124,Aaron Yoo,book club|cheating boyfriend|job promotion|manhattan new york city|new york city,http://www.imdb.com/title/tt1247662/?ref_=fn_tt_tt_1,20,English,USA,8000000,2009
Katherine Dieckmann,43,90,495,Minnie Driver,1000,92900,Comedy|Drama,Motherhood ,3662,3146,Anthony Edwards,birthday|birthday party|delivery man|mother|neighbor,http://www.imdb.com/title/tt1220220/?ref_=fn_tt_tt_1,23,English,USA,5000000,2009
William Dear,16,94,422,Corbin Bleu,835,140987,Drama,Free Style ,361,2519,Sandra Echeverría,,http://www.imdb.com/title/tt1128071/?ref_=fn_tt_tt_1,4,English,Canada,,2008
Kim Farrant,84,112,51,Reef Ireland,147,,Drama|Mystery|Thriller,Strangerland ,5637,285,Sean Keenan,australian|desert|mother daughter relationship|mother son relationship|promiscuity,http://www.imdb.com/title/tt2325977/?ref_=fn_tt_tt_1,57,English,Australia,10000000,2015
Marcus Raboy,4,85,240,Tamala Jones,706,,Comedy|Crime|Music,The Janky Promoters ,1097,1936,Glenn Plummer,bigger dreams|concert promoter|hotel maid|pep talk|rap concert,http://www.imdb.com/title/tt1210071/?ref_=fn_tt_tt_1,10,English,USA,,2009
Scott Marshall,20,93,611,Drew Waters,906,5561,Comedy|Romance,Blonde Ambition ,4995,4725,Larry Miller,boss|business|career|confidence|female protagonist,http://www.imdb.com/title/tt0887719/?ref_=fn_tt_tt_1,34,English,USA,10000000,2007
Álex de la Iglesia,71,104,102,Leonor Watling,439,3607,Crime|Mystery|Thriller,The Oxford Murders ,22753,940,Danny Sapani,landlady|lecture|murder|oxford university|symbol,http://www.imdb.com/title/tt0488604/?ref_=fn_tt_tt_1,94,English,Spain,10000000,2008
Andrew Traucki,102,94,72,Gyton Grantley,122,,Horror|Thriller,The Reef ,11950,375,Adrienne Pickering,boat|great white shark|killing an animal|shark|underwater,http://www.imdb.com/title/tt1320291/?ref_=fn_tt_tt_1,89,English,Australia,,2010
Michael Clancy,27,85,742,Rip Torn,11000,70527,Comedy|Drama,Eulogy ,7690,14656,Kelly Preston,dysfunctional family|family relationships|family reunion|funeral|twin,http://www.imdb.com/title/tt0349416/?ref_=fn_tt_tt_1,68,English,USA,6500000,2004
Patrick Lussier,62,99,126,Craig Fairbrass,298,,Drama|Fantasy|Horror|Thriller,White Noise 2: The Light ,11285,934,Adrian Holmes,angry spirit|aura|electronic voice phenomena|electronics|near death experience,http://www.imdb.com/title/tt0496436/?ref_=fn_tt_tt_1,82,English,USA,10000000,2007
Robert Adetuyi,5,91,111,Mishael Morgan,485,,Drama|Music,You Got Served: Beat the World ,1642,964,Chase Armitage,,http://www.imdb.com/title/tt1568139/?ref_=fn_tt_tt_1,11,English,Canada,10000000,2011
Kari Skogland,76,117,415,Kevin Zegers,5000,,Drama|Thriller,Fifty Dead Men Walking ,9585,7637,Michael McElhatton,1980s|ira|near death experience|title directed by female|what happened to epilogue,http://www.imdb.com/title/tt1097643/?ref_=fn_tt_tt_1,38,English,UK,6000000,2008
Taedong Park,8,85,196,Tom Arnold,1000,,Adventure|Animation,Jungle Shuffle ,162,2259,Amanda Troop,,http://www.imdb.com/title/tt2722786/?ref_=fn_tt_tt_1,2,English,South Korea,10000000,2014
Paul Schrader,75,106,520,Ayelet Zurer,30000,,Drama|War,Adam Resurrected ,3075,31325,Derek Jacobi,circus|dog|entertainer|holocaust|patient,http://www.imdb.com/title/tt0479341/?ref_=fn_tt_tt_1,31,English,Germany,10000000,2008
Benedikt Erlingsson,66,81,5,Charlotte Bøving,63,11835,Comedy|Drama|Romance,Of Horses and Men ,1920,81,Sigríður María Egilsdóttir,barbed wire|barbed wire fence|horse|nature|snowstorm,http://www.imdb.com/title/tt3074732/?ref_=fn_tt_tt_1,7,Icelandic,Iceland,10000000,2013
Gurinder Chadha,31,100,95,Mark Addy,1000,,Comedy|Drama|Horror|Romance,It's a Wonderful Afterlife ,1250,2227,Shabana Azmi,afterlife|indian|murder|overweight woman|police,http://www.imdb.com/title/tt1319716/?ref_=fn_tt_tt_1,16,English,UK,10000000,2010
Jason Connery,32,90,711,Henry Rollins,1000,,Action|Horror|Sci-Fi,The Devil's Tomb ,5715,3937,Jason London,desert|mercenary|priest|scientist|war veteran,http://www.imdb.com/title/tt1147687/?ref_=fn_tt_tt_1,60,English,USA,10000000,2009
Vic Sarin,17,116,46,Jesse Moss,183,,Drama|Romance,Partition ,2223,428,John Light,india|love|muslim|pakistan|sikh,http://www.imdb.com/title/tt0213985/?ref_=fn_tt_tt_1,27,English,Canada,10000000,2007
Jim Issa,4,84,482,Luke Perry,670,,Comedy,Good Intentions ,553,2739,Jon Gries,,http://www.imdb.com/title/tt1070781/?ref_=fn_tt_tt_1,3,English,USA,10000000,2010
Jee-woon Kim,152,135,7,Woo-sung Jung,398,128486,Action|Adventure|Comedy|Western,"The Good, the Bad, the Weird ",26156,569,Dal-su Oh,bounty hunter|manchuria|map|train|treasure,http://www.imdb.com/title/tt0901487/?ref_=fn_tt_tt_1,74,Korean,South Korea,10000000,2008
Douglas Aarniokoski,129,84,899,Katrina Bowden,1000,,Horror|Thriller,Nurse 3D ,7286,4686,Kathleen Turner,carnage|female nudity|purple panties|sexual attraction|shaved labia,http://www.imdb.com/title/tt1913166/?ref_=fn_tt_tt_1,75,English,USA,10000000,2013
William Phillips,15,89,499,Callum Rennie,764,,Action|Comedy|Drama|Western,Gunless ,3015,2876,Dustin Milligan,blacksmith|bounty hunter|duel|gunslinger|wild west,http://www.imdb.com/title/tt1376195/?ref_=fn_tt_tt_1,27,English,Canada,10000000,2010
Greg Mottola,248,107,452,Martin Starr,17000,16025394,Comedy|Drama|Romance,Adventureland ,131180,18983,Wendie Malick,amusement park|strong female character|summer job|teen movie|teenager,http://www.imdb.com/title/tt1091722/?ref_=fn_tt_tt_1,220,English,USA,,2009
Andy Garcia,52,144,195,Victor Rivers,786,2483955,Drama|Romance,The Lost City ,8369,1674,Enrique Murciano,1950s|cuba|cuban flag|fidel castro|havana cuba,http://www.imdb.com/title/tt0343996/?ref_=fn_tt_tt_1,165,English,USA,9600000,2005
Steve Carr,55,98,525,Mike Epps,723,57176582,Comedy,Next Friday ,27492,3939,Rolando Molina,african american|flashback|marijuana joint|porn magazine|suburb,http://www.imdb.com/title/tt0195945/?ref_=fn_tt_tt_1,84,English,USA,9500000,2000
Sarik Andreasyan,30,94,262,Jordana Brewster,4000,,Action|Crime|Drama|Thriller,American Heist ,12372,9432,Akon,bank|critically bashed|heist|mechanic|prison,http://www.imdb.com/title/tt2923316/?ref_=fn_tt_tt_1,42,English,Canada,10000000,2014
Lewis Gilbert,130,117,244,Burt Kwouk,742,43100000,Action|Adventure|Thriller,You Only Live Twice ,75280,2127,Desmond Llewelyn,faked death|japan|japanese|poison|secret headquarters,http://www.imdb.com/title/tt0062512/?ref_=fn_tt_tt_1,267,English,UK,9500000,1967
Julian Gilbey,29,102,1000,Alfie Allen,31000,,Action|Comedy|Crime|Drama,Plastic ,5865,35634,Malese Jow,credit card fraud|lesbian kiss|miami,http://www.imdb.com/title/tt2556874/?ref_=fn_tt_tt_1,12,English,UK,10000000,2014
Michael Haneke,447,127,319,Emmanuelle Riva,678,225377,Drama|Romance,Amour ,70382,1557,Jean-Louis Trintignant,aging|daughter|old couple|old love|stroke,http://www.imdb.com/title/tt1602620/?ref_=fn_tt_tt_1,190,French,France,8900000,2012
Gary Sherman,66,98,770,Heather O'Rourke,1000,14114488,Horror|Thriller,Poltergeist III ,13190,3827,Zelda Rubinstein,aunt niece relationship|brother sister relationship|building|father daughter relationship|mirror,http://www.imdb.com/title/tt0095889/?ref_=fn_tt_tt_1,114,English,USA,10500000,1988
Valeri Milev,18,88,200,Roger Cross,557,,Action|Horror,Re-Kill ,1763,1702,Jesse Garcia,after dark|after dark horrorfest|fictional tv news show|outbreak,http://www.imdb.com/title/tt1612319/?ref_=fn_tt_tt_1,26,English,USA,9500000,2015
Stanley Kramer,61,197,760,Sid Caesar,924,46300000,Action|Adventure|Comedy|Crime,"It's a Mad, Mad, Mad, Mad World ",29323,4109,Spencer Tracy,california|desert|dying words|money|race,http://www.imdb.com/title/tt0057193/?ref_=fn_tt_tt_1,344,English,USA,9400000,1963
Pedro Almodóvar,232,121,82,Lola Dueñas,148,12899702,Comedy|Crime|Drama|Mystery,Volver ,76681,448,Antonio de la Torre,abusive father|child abuse|death|rape|secret,http://www.imdb.com/title/tt0441909/?ref_=fn_tt_tt_1,228,Spanish,Spain,,2006
Gerald Potterton,62,90,123,Joe Flaherty,187,,Adventure|Animation|Fantasy|Horror|Sci-Fi,Heavy Metal ,23516,646,Don Francks,anthology|girl|heavy metal|secretary|segments,http://www.imdb.com/title/tt0082509/?ref_=fn_tt_tt_1,147,English,Canada,9300000,1981
Jared Hess,106,89,327,Michael Angarano,33000,113155,Adventure|Comedy|Sci-Fi,Gentlemen Broncos ,9006,34398,Héctor Jiménez,amateur film|sexual harassment|sexual innuendo|small town|struggling parent,http://www.imdb.com/title/tt1161418/?ref_=fn_tt_tt_1,54,English,USA,,2009
Richard Loncraine,56,104,1000,Jim Broadbent,21000,2600000,Drama|War,Richard III ,11612,23962,Kristin Scott Thomas,1930s|abuse of power|england|king|murder,http://www.imdb.com/title/tt0114279/?ref_=fn_tt_tt_1,88,English,UK,6000000,1995
David Hackl,48,94,129,Michaela McManus,826,,Action|Horror|Thriller,Into the Grizzly Maze ,4486,1586,Luisa D'Oliveira,bear|breasts|female nudity|grizzly|wilderness,http://www.imdb.com/title/tt1694021/?ref_=fn_tt_tt_1,38,English,USA,10000000,2015
Anurag Basu,41,90,303,Steven Michael Quezada,594,1602466,Action|Drama|Romance|Thriller,Kites ,9673,1836,Kabir Bedi,casino|desert|love|suicide|tragic event,http://www.imdb.com/title/tt1198101/?ref_=fn_tt_tt_1,106,English,India,600000000,2010
Lars von Trier,439,130,844,Kirsten Dunst,10000,3029870,Drama|Sci-Fi,Melancholia ,128729,15835,Charlotte Rampling,art director|breasts|depression|outdoor sex|riding a horse,http://www.imdb.com/title/tt1527186/?ref_=fn_tt_tt_1,551,English,Denmark,7400000,2011
Kriv Stenders,54,92,110,Keisha Castle-Hughes,509,,Biography|Comedy|Drama|Family|Romance,Red Dog ,13003,1248,Luke Ford,australian|based on true events|dog|love|search,http://www.imdb.com/title/tt0803061/?ref_=fn_tt_tt_1,80,English,Australia,8500000,2011
Yash Chopra,50,176,1000,Katrina Kaif,8000,3047539,Drama|Romance,Jab Tak Hai Jaan ,42296,13762,Vic Waghorn,accident|army|bomb|indian army|love,http://www.imdb.com/title/tt2176013/?ref_=fn_tt_tt_1,286,Hindi,India,7217600,2012
Ridley Scott,392,116,513,Yaphet Kotto,1000,78900000,Horror|Sci-Fi,Alien ,563827,2524,Bolaji Badejo,alien|creature|future|outer space|spaceship,http://www.imdb.com/title/tt0078748/?ref_=fn_tt_tt_1,1110,English,UK,11000000,1979
Tobe Hooper,277,88,177,Edwin Neal,383,30859000,Horror|Thriller,The Texas Chain Saw Massacre ,96410,1094,Marilyn Burns,cannibal|chainsaw|hitchhiker|independent film|leatherface,http://www.imdb.com/title/tt0072271/?ref_=fn_tt_tt_1,826,English,USA,83532,1974
Floria Sigismondi,259,106,741,Scout Taylor-Compton,17000,3571735,Biography|Drama|Music,The Runaways ,39260,21711,Johnny Lewis,band|box office flop|critically bashed|historically inaccurate|revisionist history,http://www.imdb.com/title/tt1017451/?ref_=fn_tt_tt_1,129,English,USA,10000000,2010
Norman Jewison,66,181,51,Paul Michael Glaser,402,50000000,Drama|Family|Musical|Romance,Fiddler on the Roof ,29839,934,Rosalind Harris,immigration|jewish|pogrom|tradition|tradition versus modernity,http://www.imdb.com/title/tt0067093/?ref_=fn_tt_tt_1,150,English,USA,9000000,1971
Terence Young,129,130,177,Earl Cameron,244,63600000,Action|Adventure|Thriller,Thunderball ,82073,1164,Lois Maxwell,domino|fiery redhead|nassau|official james bond series|underwater battle,http://www.imdb.com/title/tt0059800/?ref_=fn_tt_tt_1,275,English,UK,9000000,1965
Joseph Kahn,115,93,123,Shanley Caswell,14000,,Comedy|Horror|Sci-Fi,Detention ,12520,15014,Parker Bagley,blood splatter|detention|high school|overalls|reference to c. thomas howell,http://www.imdb.com/title/tt1701990/?ref_=fn_tt_tt_1,76,English,USA,10000000,2011
Ferzan Ozpetek,81,110,16,Alessandro Preziosi,580,,Comedy|Drama|Romance,Loose Cannons ,8667,662,Lunetta Savino,gay|gay friend|grandmother grandson relationship|heart attack|mother son relationship,http://www.imdb.com/title/tt1405810/?ref_=fn_tt_tt_1,29,Italian,Italy,,2010
F. Gary Gray,29,123,685,Jada Pinkett Smith,890,36049108,Action|Crime|Drama|Romance|Thriller,Set It Off ,10139,3661,Blair Underwood,bank|black comedy|main characters killed off|money|robbery,http://www.imdb.com/title/tt0117603/?ref_=fn_tt_tt_1,70,English,USA,9000000,1996
Malcolm D. Lee,32,120,862,Sanaa Lathan,1000,34074895,Comedy|Drama,The Best Man ,6525,5420,Jarrod Bunch,african american|bachelor party|brooklyn bridge|family relationships|stripper,http://www.imdb.com/title/tt0168501/?ref_=fn_tt_tt_1,79,English,USA,9000000,1999
Tom Holland,142,87,118,Alex Vincent,311,33244684,Fantasy|Horror,Child's Play ,62038,760,Dinah Manoff,birthday|doll|murder|serial killer|voodoo,http://www.imdb.com/title/tt0094862/?ref_=fn_tt_tt_1,281,English,USA,9000000,1988
Michael Moore,263,123,184,Tucker Albrizzi,909,24530513,Documentary|Drama,Sicko ,66610,1633,Bill Clinton,canada|cuba|france|guantanamo|hmo,http://www.imdb.com/title/tt0386032/?ref_=fn_tt_tt_1,429,English,USA,9000000,2007
James DeMonaco,285,103,908,Zach Gilford,2000,71519230,Action|Horror|Sci-Fi|Thriller,The Purge: Anarchy ,92364,6807,Roberta Valderrama,held at gunpoint|machete|masked man|sequel|violence,http://www.imdb.com/title/tt2975578/?ref_=fn_tt_tt_1,244,English,USA,9000000,2014
Kris Isacsson,64,91,407,Lauren German,3000,20035310,Comedy|Drama|Romance,Down to You ,12324,4409,Shawn Hatosy,artist|cake|college|new york city|student,http://www.imdb.com/title/tt0186975/?ref_=fn_tt_tt_1,173,English,USA,9000000,2000
Danny Leiner,150,88,587,Fred Willard,982,18225165,Adventure|Comedy,Harold & Kumar Go to White Castle ,155262,3114,Paula Garcés,marijuana|police|road trip|stoner|white castle,http://www.imdb.com/title/tt0366551/?ref_=fn_tt_tt_1,316,English,USA,9000000,2004
Rod Lurie,136,126,883,Gary Oldman,12000,17804273,Drama|Thriller,The Contender ,20449,25660,William Petersen,bridge|governor|political thriller|president|vice president,http://www.imdb.com/title/tt0208874/?ref_=fn_tt_tt_1,370,English,USA,20000000,2000
Ben Younger,132,120,701,Nia Long,14000,16938179,Crime|Drama|Thriller,Boiler Room ,41313,17336,Herbert Russell,career|casino|judge|stock|stock broker,http://www.imdb.com/title/tt0181984/?ref_=fn_tt_tt_1,246,English,USA,8000000,2000
John Landis,71,116,199,Denholm Elliott,392,90400000,Comedy,Trading Places ,102895,845,Ralph Bellamy,interracial relationship|poverty|prostitute|scam|stock market,http://www.imdb.com/title/tt0086465/?ref_=fn_tt_tt_1,159,English,USA,,1983
Glen Morgan,186,94,179,Crystal Lowe,607,16235293,Horror,Black Christmas ,19918,1611,Andrea Martin,attic|christmas|house|incest|sorority,http://www.imdb.com/title/tt0454082/?ref_=fn_tt_tt_1,278,English,USA,9000000,2006
Daniel Taplitz,39,85,127,Tate Taylor,911,11827301,Comedy|Romance,Breakin' All the Rules ,4247,1345,Patrick Cranshaw,female to male foot in crotch|lingerie slip|love|mistaken identity|writer,http://www.imdb.com/title/tt0349169/?ref_=fn_tt_tt_1,26,English,USA,,2004
Kenneth Branagh,46,137,130,Derek Jacobi,591,10161099,Action|Biography|Drama|History|Romance|War,Henry V ,23441,1341,Danny Webb,battle|battle of agincourt|king|shakespeare play|sword and shield,http://www.imdb.com/title/tt0097499/?ref_=fn_tt_tt_1,108,English,UK,9000000,1989
Tamara Jenkins,201,114,338,David Zayas,22000,6610326,Comedy|Drama,The Savages ,32188,23770,Gbenga Akinnagbe,arizona|dementia|married man|sun city arizona|writing,http://www.imdb.com/title/tt0775529/?ref_=fn_tt_tt_1,127,English,USA,,2007
Linda Mendoza,32,76,571,Freddy Rodríguez,591,6126237,Comedy|Romance,Chasing Papi ,3419,2851,Maria Conchita Alonso,beauty pageant|bilingual|dating|latino|three women,http://www.imdb.com/title/tt0323572/?ref_=fn_tt_tt_1,41,English,USA,,2003
Christopher McQuarrie,117,119,35,Nicky Katt,187,6047856,Action|Crime|Drama|Thriller,The Way of the Gun ,27536,358,Dylan Kussman,criminal|drifter|gangster|money|surrogate mother,http://www.imdb.com/title/tt0202677/?ref_=fn_tt_tt_1,327,English,USA,8500000,2000
Burr Steers,136,99,471,Rory Culkin,1000,4681503,Comedy|Drama,Igby Goes Down ,29058,2478,Bill Irwin,boy|mistress|money|schizophrenic|school,http://www.imdb.com/title/tt0280760/?ref_=fn_tt_tt_1,238,English,USA,9000000,2002
Hart Bochner,15,79,219,Matt Ross,4000,4350774,Comedy,PCU ,10476,4908,Chris Young,college|high school senior|meat|protest|university,http://www.imdb.com/title/tt0110759/?ref_=fn_tt_tt_1,52,English,USA,8000000,1994
Michael O. Sajbel,46,114,633,Drew Fuller,970,3420871,Drama|Family|Romance,The Ultimate Gift ,14100,3824,Mircea Monroe,billionaire|grandfather|playboy|trust fund baby|wealth,http://www.imdb.com/title/tt0482629/?ref_=fn_tt_tt_1,81,English,USA,,2006
,1,30,140,Katherine Kelly Lang,177,,Drama|Romance,The Bold and the Beautiful             ,5478,639,Hunter Tylo,beverly hills california|family relationships|los angeles california|soap opera,http://www.imdb.com/title/tt0092325/?ref_=fn_tt_tt_1,54,English,USA,,
Stewart Raffill,41,91,297,John Carradine,1000,,Action|Adventure|Comedy|Romance|Sci-Fi,The Ice Pirates ,7767,1991,Robert Urich,bar fight|cult film|ice|psychotronic|sword fight,http://www.imdb.com/title/tt0087451/?ref_=fn_tt_tt_1,56,English,USA,9000000,1984
Davis Guggenheim,65,95,261,John Doman,702,2955039,Biography|Drama|Sport,Gracie ,3624,2007,Carly Schroeder,boy|girl|soccer|south orange new jersey|teenager,http://www.imdb.com/title/tt0441007/?ref_=fn_tt_tt_1,27,English,USA,9000000,2007
Bart Freundlich,100,103,316,Garry Shandling,745,1530535,Comedy|Drama|Romance,Trust the Man ,7833,1721,Dagmara Dominczyk,actress|lesbianism|manhattan new york city|urination|watching pornography,http://www.imdb.com/title/tt0427968/?ref_=fn_tt_tt_1,63,English,USA,9000000,2005
Andrew Fleming,129,92,611,Amy Poehler,1000,4881867,Comedy|Music,Hamlet 2 ,15200,3767,David Arquette,gang banger|sequel|shakespeare's hamlet|student|time machine,http://www.imdb.com/title/tt1104733/?ref_=fn_tt_tt_1,76,English,USA,9000000,2008
Todd Haynes,103,124,277,Eddie Izzard,23000,1043487,Drama|Music,Velvet Goldmine ,27766,24102,Janet McTeer,1970s|glitter|political cover up|reference to katharine hepburn|reference to spencer tracy,http://www.imdb.com/title/tt0120879/?ref_=fn_tt_tt_1,314,English,UK,,1998
Hong-jin Na,77,156,0,Jun Kunimura,45,770629,Fantasy|Horror|Mystery|Thriller,The Wailing ,2379,50,Woo-hee Chun,policeman|stranger|supernatural|village|vomiting,http://www.imdb.com/title/tt5215952/?ref_=fn_tt_tt_1,24,Korean,South Korea,,2016
Kevin Tancharoen,67,84,748,Heather Morris,2000,11860839,Documentary|Music,Glee: The 3D Concert Movie ,5156,4617,Kevin McHale,concert|live in concert recording|live performance,http://www.imdb.com/title/tt1922612/?ref_=fn_tt_tt_1,21,English,USA,9000000,2011
Chatrichalerm Yukol,31,300,6,Chatchai Plengpanich,7,454255,Action|Adventure|Drama|History|War,The Legend of Suriyothai ,1666,32,Mai Charoenpura,16th century|burmese|invasion|queen|thailand,http://www.imdb.com/title/tt0290879/?ref_=fn_tt_tt_1,47,Thai,Thailand,400000000,2001
Dario Argento,76,120,433,Adrienne Barbeau,982,349618,Horror,Two Evil Eyes ,4302,2942,Sally Kirkland,black cat|cat|evil|photographer|undead,http://www.imdb.com/title/tt0100827/?ref_=fn_tt_tt_1,45,English,Italy,9000000,1990
Eric Lavaine,17,98,5,Julie Engelbrecht,186,,Comedy,Barbecue ,1673,253,Lionel Abelanski,,http://www.imdb.com/title/tt3202120/?ref_=fn_tt_tt_1,1,French,France,,2014
Mike Leigh,81,121,25,Ruth Sheen,149,112935,Drama,All or Nothing ,8161,251,Gary McDonald,love|neighbor|single parent|supermarket|working class,http://www.imdb.com/title/tt0286261/?ref_=fn_tt_tt_1,94,English,UK,9000000,2002
Marc Forby,26,97,204,Will Patton,679,883887,Drama,Princess Kaiulani ,1201,1426,Shaun Evans,hawaii|hawaiian|historically inaccurate|princess|tearing up a letter,http://www.imdb.com/title/tt1185344/?ref_=fn_tt_tt_1,14,English,USA,9000000,2009
Peter Cattaneo,24,86,18,Vince Colosimo,185,13751,Drama|Family,Opal Dream ,813,299,Peter Callan,friend|girl|imaginary friend|outback|town,http://www.imdb.com/title/tt0420835/?ref_=fn_tt_tt_1,6,English,Australia,11400000,2006
Scott Mann,44,93,558,Joshua Mikel,22000,,Action|Crime|Thriller,Heist ,16198,24154,D.B. Sweeney,bus|die hard scenario,http://www.imdb.com/title/tt3276924/?ref_=fn_tt_tt_1,57,English,USA,19000000,2015
Ole Christian Madsen,80,45,104,Thure Lindhardt,573,145109,Drama|History|Thriller|War,Flame and Citron ,14247,1098,Christian Berkel,danish|double agent|nazi|nazi occupation|resistance,http://www.imdb.com/title/tt0920458/?ref_=fn_tt_tt_1,44,Danish,Denmark,45000000,2008
