duration,actor_3_facebook_likes,actor_2_name,movie_title,movie_imdb_link,language,imdb_score
98,129,Mari Koda,Step Up 2: The Streets ,http://www.imdb.com/title/tt1023481/?ref_=fn_tt_tt_1,English,6.2
80,854,Chazz Palminteri,Hoodwinked! ,http://www.imdb.com/title/tt0443536/?ref_=fn_tt_tt_1,English,6.5
121,242,Sophie Okonedo,Hotel Rwanda ,http://www.imdb.com/title/tt0395169/?ref_=fn_tt_tt_1,English,8.1
94,280,Dougray Scott,Hitman ,http://www.imdb.com/title/tt0465494/?ref_=fn_tt_tt_1,English,6.3
93,170,Mary J. Blige,Black Nativity ,http://www.imdb.com/title/tt1425922/?ref_=fn_tt_tt_1,English,4.4
93,1000,50 Cent,The Prince ,http://www.imdb.com/title/tt1085492/?ref_=fn_tt_tt_1,English,4.6
116,50,Shawn Andrews,City of Ghosts ,http://www.imdb.com/title/tt0164003/?ref_=fn_tt_tt_1,English,6.0
101,83,Elaine Cassidy,The Others ,http://www.imdb.com/title/tt0230600/?ref_=fn_tt_tt_1,English,7.6
154,604,Carrie Henn,Aliens ,http://www.imdb.com/title/tt0090605/?ref_=fn_tt_tt_1,English,8.4
170,244,Rex Harrison,My Fair Lady ,http://www.imdb.com/title/tt0058385/?ref_=fn_tt_tt_1,English,7.9
99,681,Sarah Michelle Gellar,I Know What You Did Last Summer ,http://www.imdb.com/title/tt0119345/?ref_=fn_tt_tt_1,English,5.6
104,613,Damon Wayans Jr.,Let's Be Cops ,http://www.imdb.com/title/tt1924435/?ref_=fn_tt_tt_1,English,6.5
126,284,Patrick Gallagher,Sideways ,http://www.imdb.com/title/tt0375063/?ref_=fn_tt_tt_1,English,7.5
110,422,Owain Yeoman,Beerfest ,http://www.imdb.com/title/tt0486551/?ref_=fn_tt_tt_1,English,6.3
101,598,Donald Pleasence,Halloween ,http://www.imdb.com/title/tt0077651/?ref_=fn_tt_tt_1,English,7.9
80,576,Tony Chiu Wai Leung,Hero ,http://www.imdb.com/title/tt0299977/?ref_=fn_tt_tt_1,Mandarin,7.9
87,503,Molly Shannon,Good Boy! ,http://www.imdb.com/title/tt0326900/?ref_=fn_tt_tt_1,English,5.1
123,849,Sanaa Lathan,The Best Man Holiday ,http://www.imdb.com/title/tt2083355/?ref_=fn_tt_tt_1,English,6.7
109,968,Common,Smokin' Aces ,http://www.imdb.com/title/tt0475394/?ref_=fn_tt_tt_1,English,6.7
90,298,Gina Holden,Saw 3D: The Final Chapter ,http://www.imdb.com/title/tt1477076/?ref_=fn_tt_tt_1,English,5.6
96,486,Vinessa Shaw,40 Days and 40 Nights ,http://www.imdb.com/title/tt0243736/?ref_=fn_tt_tt_1,English,5.6
125,1000,Olivia Wilde,TRON: Legacy ,http://www.imdb.com/title/tt1104001/?ref_=fn_tt_tt_1,English,6.8
82,281,Chris Kattan,A Night at the Roxbury ,http://www.imdb.com/title/tt0120770/?ref_=fn_tt_tt_1,English,6.2
86,583,Mary-Kate Olsen,Beastly ,http://www.imdb.com/title/tt1152398/?ref_=fn_tt_tt_1,English,5.6
108,580,Greg Nicotero,The Hills Have Eyes ,http://www.imdb.com/title/tt0454841/?ref_=fn_tt_tt_1,English,6.4
98,428,Jenna Boyd,Dickie Roberts: Former Child Star ,http://www.imdb.com/title/tt0325258/?ref_=fn_tt_tt_1,English,5.6
129,89,Valente Rodriguez,"McFarland, USA ",http://www.imdb.com/title/tt2097298/?ref_=fn_tt_tt_1,English,7.4
99,826,Loretta Devine,Lottery Ticket ,http://www.imdb.com/title/tt0979434/?ref_=fn_tt_tt_1,English,4.9
105,104,Adam Boyer,ATL ,http://www.imdb.com/title/tt0466856/?ref_=fn_tt_tt_1,English,6.0
112,746,Hana Mae Lee,Pitch Perfect ,http://www.imdb.com/title/tt1981677/?ref_=fn_tt_tt_1,English,7.2
108,505,Brian Dennehy,Summer Catch ,http://www.imdb.com/title/tt0234829/?ref_=fn_tt_tt_1,English,4.9
121,244,Bridget Fonda,A Simple Plan ,http://www.imdb.com/title/tt0120324/?ref_=fn_tt_tt_1,English,7.5
89,973,Ethan Embry,They ,http://www.imdb.com/title/tt0283632/?ref_=fn_tt_tt_1,English,4.8
89,323,Larry the Cable Guy,Larry the Cable Guy: Health Inspector ,http://www.imdb.com/title/tt0462395/?ref_=fn_tt_tt_1,English,3.1
73,142,Kevin Clash,The Adventures of Elmo in Grouchland ,http://www.imdb.com/title/tt0159421/?ref_=fn_tt_tt_1,English,5.8
132,625,Lili Taylor,Brooklyn's Finest ,http://www.imdb.com/title/tt1210042/?ref_=fn_tt_tt_1,English,6.7
154,86,David Niven,55 Days at Peking ,http://www.imdb.com/title/tt0056800/?ref_=fn_tt_tt_1,English,6.8
96,58,Elizabeth Blackmore,Evil Dead ,http://www.imdb.com/title/tt1288558/?ref_=fn_tt_tt_1,English,6.5
98,399,Harland Williams,My Life in Ruins ,http://www.imdb.com/title/tt0865559/?ref_=fn_tt_tt_1,English,5.9
107,841,Dennis Quaid,American Dreamz ,http://www.imdb.com/title/tt0465142/?ref_=fn_tt_tt_1,English,5.5
134,488,Margot Kidder,Superman IV: The Quest for Peace ,http://www.imdb.com/title/tt0094074/?ref_=fn_tt_tt_1,English,3.6
94,66,Clé Bennett,How She Move ,http://www.imdb.com/title/tt0770810/?ref_=fn_tt_tt_1,English,3.3
122,834,Chazz Palminteri,Running Scared ,http://www.imdb.com/title/tt0404390/?ref_=fn_tt_tt_1,English,7.4
128,193,Jeremy Northam,Bobby Jones: Stroke of Genius ,http://www.imdb.com/title/tt0375104/?ref_=fn_tt_tt_1,English,6.7
97,161,Paul Freeman,Shanghai Surprise ,http://www.imdb.com/title/tt0091934/?ref_=fn_tt_tt_1,English,3.0
110,96,Eddie Marsan,The Illusionist ,http://www.imdb.com/title/tt0443543/?ref_=fn_tt_tt_1,English,7.6
102,60,Melanie Griffith,Roar ,http://www.imdb.com/title/tt0083001/?ref_=fn_tt_tt_1,English,6.4
98,71,David Murray,Veronica Guerin ,http://www.imdb.com/title/tt0312549/?ref_=fn_tt_tt_1,English,6.9
120,55,Brady Corbet,Escobar: Paradise Lost ,http://www.imdb.com/title/tt2515030/?ref_=fn_tt_tt_1,English,6.6
160,215,Curtis Armstrong,Southland Tales ,http://www.imdb.com/title/tt0405336/?ref_=fn_tt_tt_1,English,5.5
80,168,Jess Harnell,Dragon Hunters ,http://www.imdb.com/title/tt0944834/?ref_=fn_tt_tt_1,French,6.6
91,255,Jan-Michael Vincent,Damnation Alley ,http://www.imdb.com/title/tt0075909/?ref_=fn_tt_tt_1,English,5.2
83,62,Rick Gomez,The Apparition ,http://www.imdb.com/title/tt1433822/?ref_=fn_tt_tt_1,English,4.1
102,165,Jamie Lee Curtis,My Girl ,http://www.imdb.com/title/tt0102492/?ref_=fn_tt_tt_1,English,6.8
122,260,Ty Burrell,Fur: An Imaginary Portrait of Diane Arbus ,http://www.imdb.com/title/tt0422295/?ref_=fn_tt_tt_1,English,6.5
110,96,Eddie Marsan,The Illusionist ,http://www.imdb.com/title/tt0443543/?ref_=fn_tt_tt_1,English,7.6
126,168,Tamara Tunie,Wall Street ,http://www.imdb.com/title/tt0094291/?ref_=fn_tt_tt_1,English,7.4
136,1000,Kate Winslet,Sense and Sensibility ,http://www.imdb.com/title/tt0114388/?ref_=fn_tt_tt_1,English,7.7
120,281,Julie Walters,Becoming Jane ,http://www.imdb.com/title/tt0416508/?ref_=fn_tt_tt_1,English,7.1
108,433,Matt Long,Sydney White ,http://www.imdb.com/title/tt0815244/?ref_=fn_tt_tt_1,English,6.3
126,385,Kim Dickens,House of Sand and Fog ,http://www.imdb.com/title/tt0315983/?ref_=fn_tt_tt_1,English,7.6
128,1000,Josh Charles,Dead Poets Society ,http://www.imdb.com/title/tt0097165/?ref_=fn_tt_tt_1,English,8.0
113,481,Mike Starr,Dumb & Dumber ,http://www.imdb.com/title/tt0109686/?ref_=fn_tt_tt_1,English,7.3
89,62,Gretchen Palmer,When Harry Met Sally... ,http://www.imdb.com/title/tt0098635/?ref_=fn_tt_tt_1,English,7.6
129,359,James Mason,The Verdict ,http://www.imdb.com/title/tt0084855/?ref_=fn_tt_tt_1,English,7.8
94,486,Rachel Blanchard,Road Trip ,http://www.imdb.com/title/tt0215129/?ref_=fn_tt_tt_1,English,6.5
106,35,Ron Lester,Varsity Blues ,http://www.imdb.com/title/tt0139699/?ref_=fn_tt_tt_1,English,6.4
100,628,Ed Lauter,The Artist ,http://www.imdb.com/title/tt1655442/?ref_=fn_tt_tt_1,English,8.0
89,389,Atticus Shaffer,The Unborn ,http://www.imdb.com/title/tt1139668/?ref_=fn_tt_tt_1,English,4.8
94,559,Bill Murray,Moonrise Kingdom ,http://www.imdb.com/title/tt1748122/?ref_=fn_tt_tt_1,English,7.8
83,597,Jordana Brewster,The Texas Chainsaw Massacre: The Beginning ,http://www.imdb.com/title/tt0420294/?ref_=fn_tt_tt_1,English,5.9
111,107,Vincent Walsh,The Young Messiah ,http://www.imdb.com/title/tt1002563/?ref_=fn_tt_tt_1,English,5.4
80,499,Kenan Thompson,The Master of Disguise ,http://www.imdb.com/title/tt0295427/?ref_=fn_tt_tt_1,English,3.3
112,250,Maribel Verdú,Pan's Labyrinth ,http://www.imdb.com/title/tt0457430/?ref_=fn_tt_tt_1,Spanish,8.2
60,762,Jessika Van,The Messengers             ,http://www.imdb.com/title/tt3513704/?ref_=fn_tt_tt_1,English,6.6
94,635,Angus T. Jones,See Spot Run ,http://www.imdb.com/title/tt0250720/?ref_=fn_tt_tt_1,English,5.4
130,522,Snoop Dogg,Baby Boy ,http://www.imdb.com/title/tt0255819/?ref_=fn_tt_tt_1,English,6.4
91,638,Danneel Ackles,The Roommate ,http://www.imdb.com/title/tt1265990/?ref_=fn_tt_tt_1,English,4.8
91,459,Erik Per Sullivan,Joe Dirt ,http://www.imdb.com/title/tt0245686/?ref_=fn_tt_tt_1,English,5.9
110,51,Alonna Shaw,Double Impact ,http://www.imdb.com/title/tt0101764/?ref_=fn_tt_tt_1,English,5.5
121,108,Joe Cornish,Hot Fuzz ,http://www.imdb.com/title/tt0425112/?ref_=fn_tt_tt_1,English,7.9
114,650,Debi Mazar,The Women ,http://www.imdb.com/title/tt0430770/?ref_=fn_tt_tt_1,English,4.9
96,252,Kevin Dunn,Vicky Cristina Barcelona ,http://www.imdb.com/title/tt0497465/?ref_=fn_tt_tt_1,English,7.2
270,292,Michael Nyqvist,Arn: The Knight Templar ,http://www.imdb.com/title/tt0837106/?ref_=fn_tt_tt_1,Swedish,6.6
100,851,Jay Hernandez,Bad Moms ,http://www.imdb.com/title/tt4651520/?ref_=fn_tt_tt_1,English,6.7
94,95,Amanda Detmer,Boys and Girls ,http://www.imdb.com/title/tt0204175/?ref_=fn_tt_tt_1,English,5.3
109,450,Cole Hauser,White Oleander ,http://www.imdb.com/title/tt0283139/?ref_=fn_tt_tt_1,English,7.2
