duration,director_facebook_likes,actor_3_facebook_likes,genres,num_voted_users,facenumber_in_poster,plot_keywords,num_user_for_reviews,country,title_year,actor_2_facebook_likes,imdb_score
117,0,12000,Comedy|Crime,537419,1,death|drug|nihilism|rug|white russian,1028,USA,1998,12000,8.2
116,153,539,Drama|Music,52421,0,breasts|nipples visible through clothing|nudity|rear entry sex|white panties,200,USA,2006,788,7.0
118,41,274,Crime|Drama|Romance|Thriller,17261,1,corrupt|criminal|investigation|lapd|police,125,USA,2002,463,6.6
108,187,254,Biography|Drama|History|Thriller|War,24150,0,fbi|journalist|missing|pakistan|reporter,118,USA,2007,883,6.7
94,9,612,Comedy|Drama|Romance,8055,4,male objectification|manipulative behavior|modern day adaptation|narcissistic woman|promiscuous woman,89,USA,2000,897,5.5
97,2,461,Comedy,26598,4,gay|hot air balloon|rejecting a marriage proposal|talking to a dog|vomiting on someone,132,USA,2002,852,4.9
97,32,692,Comedy|Drama|Romance,18966,5,comedy of manners|false identity|farce|love|period drama,141,UK,2002,1000,6.9
99,45,224,Fantasy|Romance,1465,1,antique|desk|letter|love|time travel,56,USA,1998,393,7.4
91,6,596,Adventure|Comedy|Family,6562,0,fight|florida|montana|owl|school,66,USA,2006,625,5.6
107,454,39,Comedy|Crime|Drama,307639,1,bruges|bullet|hope|irish|tourist,513,UK,2008,49,8.0
95,24,426,Comedy|Romance,4065,6,african american,33,USA,2013,539,5.3
102,11,1000,Comedy|Music,32311,4,20 years later|drummer|hdtv|rock band|rock star,104,USA,2008,14000,6.2
88,96,360,Comedy|Romance,11498,1,graduation|graduation speech|title directed by female|tv studio|unemployment,53,USA,2009,971,5.3
106,835,363,Drama,30284,1,corporate greed|corporation|natural gas|salesman|small town,102,USA,2012,826,6.6
92,11000,386,Comedy|Romance,58967,1,atheist|limp|quantum mechanics|religion|runaway,169,USA,2009,658,7.2
105,52,275,Drama|Mystery|Thriller,3668,4,clique|country club|female protagonist|lip gloss|title directed by female,85,USA,2000,397,4.6
107,0,289,Adventure|Crime|Drama|Mystery|Western,34194,2,cemetery|friend|journey|mexico|promise,199,France,2005,324,7.5
120,0,693,Drama|War,12601,2,german|ghetto|hope|nazi|radio,89,France,1999,1000,6.5
103,1000,611,Comedy|Crime|Mystery,175962,2,actor|detective sergeant|hotel|nightclub|thief,336,USA,2005,1000,7.6
92,6,577,Comedy|Fantasy|Horror|Thriller,33745,0,breasts|female frontal nudity|nude woman murdered|slow motion scene|trailer home,198,USA,1999,729,6.2
147,0,669,Drama|Mystery|Thriller,235992,1,amnesia|car accident|female protagonist|lesbian sex|loss of memory,1768,France,2001,889,8.0
98,18,220,Drama|Fantasy|Horror|Romance,15388,0,colorado|love|murder|rocky mountains|werewolf,190,USA,2007,400,5.5
98,11000,557,Comedy|Drama|Romance,36145,0,call girl|charlatan|fortune teller|manuscript|writer,108,USA,2010,6000,6.3
103,132,844,Drama|Romance|Sci-Fi,109873,0,boarding school|childhood|love|love triangle|organ donation,320,UK,2010,882,7.2
286,,527,Drama|History|Thriller,3828,3,cia|mole|revolution|spy|ussr,39,USA,,555,7.9
111,122,25,Crime|Drama|Mystery|Thriller,42792,0,35 mm digital camera|drugs|murder|train|travel,162,Spain,2008,278,6.7
98,70,90,Adventure|Drama|Fantasy,4996,0,cave bear|cro magnon|neanderthal|survival|tradition,62,USA,1986,324,5.3
111,0,617,Comedy|Crime|Drama,5917,0,abusive husband|alabama|boy|dream|sheriff,71,USA,1999,664,6.3
111,0,287,Crime|Drama|Horror|Thriller,69569,0,breaking the fourth wall|looking at the camera|remake|serial killer|violence,436,USA,2007,294,6.5
100,5,46,Drama|Sci-Fi|Thriller,1933,0,divorce papers|fainting|mind control|playground|technology,13,Cambodia,2014,134,5.6
116,460,71,Drama|Thriller,6690,0,caterer|catering|chef|friend|lawn mower,83,Canada,1999,203,7.0
145,756,18,Drama|Sci-Fi,111841,1,art deco|bible quote|dance|silent film|worker,413,Germany,1927,23,8.3
84,180,58,Action|Crime|Thriller,55928,2,bomb|gang|police|sister|undercover cop,157,France,2004,297,7.2
115,39,642,Crime|Drama,22345,2,death|finger gun|video message|what happened to epilogue|wheelchair,144,USA,1995,970,6.8
105,141,56,Action|Drama,9427,1,black magic|china|love|refusal to kill|wuxia,87,Taiwan,2015,103,6.4
98,34,730,Comedy|Crime|Drama|Thriller|War,20730,1,berlin wall|germany|murder|soldier|specialist,111,UK,2001,826,6.9
99,445,9,Drama|Mystery|Thriller,31589,0,boy|photograph|return|russian|wilderness,172,Russia,2003,13,8.0
110,0,7,Action,24570,0,cult film|elephant|jungle|martial arts|stylized violence,72,Thailand,2008,45,6.2
97,197,570,Action|Adventure|Drama|History|Thriller|War,64777,0,mushroom|mute|roman soldier|screaming|wood carving,201,UK,2010,794,6.4
88,85,40,Action|Drama|Thriller,2699,0,assassin|die hard scenario|rangefinder|soldier|veteran,29,Canada,1996,476,5.6
103,129,1000,Fantasy|Horror|Mystery,47574,0,butcher|girlfriend|mute character|photographer|subway,209,USA,2008,1000,6.1
104,36,2,Biography|Drama|History,609,2,character name in title|nelson mandela|one word title|reference to winnie mandela|south africa,15,South Africa,2011,248,6.0
90,68,642,Crime|Drama|Thriller,14280,5,housing project|letter|man with glasses|murder|subjective camera,41,USA,2011,14000,5.1
105,24,125,Action|Comedy|Drama|War,2236,1,apostrophe in title|behind enemy lines|box office flop|gay interest|punctuation in title,40,Germany,2001,595,4.5
93,17,66,Comedy|Drama|Fantasy|Music|Romance,7519,1,commercial|dream|dreaming|girl|new york city,39,USA,2007,165,5.9
141,15,576,Biography|Drama|Fantasy|History,3425,1,bathory|countess|female protagonist|legend|virgin blood,32,Slovakia,2008,627,6.0
85,0,912,Adventure|Animation|Family,4006,0,herd|ostrich|waterhole|wildebeest|zebra,12,South Africa,2013,12000,5.8
109,19,537,Action|Sci-Fi|Thriller,41638,0,child hitman|dystopia|future|robot|self repair,134,Bulgaria,2014,889,6.1
105,93,51,Action|Adventure|Fantasy,5018,0,combat|helmet|martial arts|medieval times|violence,108,Germany,2005,55,4.9
98,6,50,Biography,80,0,,4,Italy,2015,57,5.7
119,3,19,Action|Crime|Drama|Thriller,9177,4,chinese|gang|gratitude|immigrant|japan,53,Hong Kong,2009,353,7.1
124,67,303,Biography|Drama,695,1,betrayal|french revolution|friendship|poet|revolution,32,UK,2000,452,6.6
101,11000,512,Comedy|Fantasy|Romance,437418,1,cult film|existentialism|groundhog day|time loop|trapped in a time loop,609,USA,1993,571,8.1
115,13,642,Comedy|Drama|Music,38202,3,male bonding|male friendship|male objectification|muscular|stripper,135,USA,2015,17000,5.7
120,1000,954,Drama|Romance,167750,2,hawaiian shirt|love|shakespeare adaptation|shakespeare play|star crossed lovers,506,USA,1996,1000,6.8
111,15,121,Drama|War,12937,2,apartment|escape|jewish family|journalist|key,73,France,2010,767,7.5
94,5,124,Drama|Family|Music,993,2,19th century|christian film|hymn|religion|slave,13,USA,2014,220,6.2
131,16000,638,Drama|Western,277505,1,englishman|leaving flowers on a grave|one last job|reputation|visiting wife's grave,495,USA,1992,11000,8.3
139,3000,236,Drama,18646,1,cotton|female frontal nudity|flogging|gangster|slavery,81,Denmark,2005,769,7.4
120,0,40,Drama|Romance,641997,0,cheating|falling from height|murder|non professional cast|slum,1017,UK,2008,56,8.0
119,213,249,Drama|Romance|Thriller,55101,0,borderline personality disorder|killing a pet|madame butterfly|new york|new york city,201,USA,1987,276,6.9
125,0,700,Comedy|Romance,213476,2,businessman|falling in love with a prostitute|hotel|prostitute|rich man poor woman,271,USA,1990,995,6.9
65,0,176,Comedy,10,2,,,Canada,,179,9.5
108,5,57,Action|Adventure|Comedy,44096,1,australia|australian|crime boss|crocodile|gangster,62,Australia,1988,162,5.5
101,34,277,Action|Crime|Drama|Mystery|Thriller,1554,0,,20,USA,2015,355,5.7
145,0,560,Biography|Drama|War,76842,0,desert|drunkenness|religious mother|strict mother|vietnam war,173,USA,1989,854,7.2
98,226,496,Adventure|Comedy|Family|Sport,69733,1,bobsled|coach|jamaica|olympic games|olympics,97,USA,1993,730,6.9
101,71,725,Horror|Thriller,45603,0,coma|death|miner|valentine|valentine's day,268,USA,2009,960,5.5
92,30,309,Horror|Thriller,47169,0,basketball coach|box|jewish|rabbi|yard sale,162,USA,2012,459,5.9
93,270,535,Action|Adventure|Drama,172493,1,1980s|colonel|deputy|rambo|sheriff,376,USA,1982,954,7.7
109,41,748,Drama|Music|Romance,19505,0,atlanta georgia|competition|dancer|death|fraternity,162,USA,2007,826,5.2
123,43,238,Action|Adventure|Sci-Fi|Thriller,76477,2,1970s|cult film|official james bond series|submarine|world war three,275,UK,1977,244,7.1
60,,84,Documentary,5563,0,ghost|paranormal|paranormal research|shaky cam,57,USA,,130,6.6
99,9,648,Horror|Mystery|Thriller,47814,4,campus|death|friend|professor|urban legend,426,USA,1998,912,5.5
119,350,418,Drama|Romance,52846,2,catholic|corruption|emotional abuse|france|seduction,143,USA,1988,17000,7.7
110,0,490,Comedy|Drama|Romance,6352,1,businessman|fight|mean brother|narrated by character|wordplay in title,43,USA,2012,597,5.4
107,116,25,Adventure|Drama,15730,1,alaska|dog|friendship|gold|yukon,31,USA,1991,172,6.7
81,54,636,Comedy|Romance,15047,1,dancing|orphan|school|special education|student,160,USA,1999,670,5.0
105,58,583,Biography|Drama|History,82327,1,british prime minister|female prime minister|politics|prime minister|told in flashback,350,UK,2011,1000,6.4
82,12,8,Adventure|Animation|Comedy|Drama|Family|Musical,3135,0,anthropomorphism|pirate|pirate ship|tomato|whale,78,USA,2002,12,6.6
109,309,279,Drama|Romance,8904,0,african american|mail carrier|poetry|postal worker|south central los angeles,31,USA,1993,556,5.9
95,10,111,Action|Comedy|Crime|Thriller,9693,2,black comedy|bounty hunter|diamond|machismo|money,33,USA,2002,266,5.7
100,0,364,Comedy|Fantasy|Horror|Romance,17262,1,blood|destiny|nightmare|partner|vampire,53,USA,1995,422,4.5
118,128,467,Horror,16294,7,demon|exorcism|locust|priest|repressed memory,252,USA,1977,726,3.7
91,31,50,Horror|Mystery|Thriller,22207,0,flashback|lifting someone into the air|paranormal phenomena|voice over letter|year 1818,747,UK,2005,613,5.0
90,119,636,Comedy|Romance,24038,2,boss' daughter|crush|house sitter|housesitting|love interest,123,USA,2003,779,4.6
108,123,690,Adventure|Mystery|Thriller,56338,4,cliff|hawaii|island|newlywed|waterfall,215,USA,2009,14000,6.5
103,44,625,Comedy|Romance,5721,2,california|love|marriage|wedding|wedding dress,20,USA,2010,849,4.9
96,0,654,Comedy,11729,0,college|college roommate|party|roommate|student,106,USA,1998,2000,6.0
117,160,55,Comedy|Drama|War,9323,6,ambassador|american|art|english|italy,157,Italy,1999,330,6.9
93,85,514,Fantasy|Horror,19805,0,death|doctor|gypsy|judge|lawyer,122,USA,1996,855,5.7
136,17000,213,Drama|Music|Musical|Romance,13548,0,love|musician|saxophonist|singer|songwriter,75,USA,1977,740,6.7
115,0,534,Comedy|Drama,6011,0,argument|birthday|bully|coming of age|semi autobiographical,39,USA,1994,848,6.9
94,0,458,Comedy|Drama|Romance,13866,3,banker|investment|investment banker|marriage|sex,55,USA,2007,490,5.5
85,52,489,Action|Horror|Sci-Fi|Thriller,38985,1,jason voorhees|lake|machete|scientist|slasher,673,USA,2001,935,4.4
88,189,799,Adventure|Comedy|Family,29008,1,brunette|film producer|liar|prank|stunt,99,USA,2002,927,5.4
112,0,383,Drama|History,38142,0,campaign|chess|friend|hotel|senator,270,USA,2006,593,7.0
86,70,169,Comedy|Mystery|Romance,11693,5,apartment|fast motion scene|model|private investigation|suspected murder,104,USA,2001,834,5.4
86,90,635,Adventure|Comedy,11233,1,adult humor|best friend|friend|halloween|teenage girl,32,USA,2012,925,5.4
112,232,177,Biography|Drama,89906,1,arc de triomphe paris|based on autobiography|coma|elle magazine|male frontal nudity,175,France,2007,412,8.0
137,143,280,Drama|Romance,92781,0,adulterous wife|bar|dysfunctional marriage|sex offender|suburb,320,USA,2006,617,7.6
90,49,191,Drama|Mystery|Thriller,12519,5,college|college campus|gossip|rape|sex,112,USA,2000,215,5.9
107,956,113,Drama,6782,1,adulterous wife|cheating wife|summer|unfaithfulness|woodstock,114,USA,1999,233,6.6
98,176,15,Biography|Drama|History,9334,3,attack|coach|colonel|jail|oil refinery,59,France,2006,113,6.7
84,12,102,Drama|Horror|Mystery|Thriller,7277,4,car accident|college|ghost|girl in panties|white panties,181,USA,2001,102,3.9
139,133,5,Biography|Drama|History|Romance,2427,1,18th century|ambassador|french revolution|friendship|thomas jefferson,27,France,1995,15,5.7
97,11,548,Comedy|Romance,16444,4,estate|female frontal nudity|female nudity|no panties|unhappy marriage,79,UK,2008,1000,6.7
127,109,324,Action|Adventure|History,524,0,afghanistan|caravan|rebel|russian|tribe,8,Iran,1978,469,6.5
150,608,43,Biography|Drama|History,17933,0,prism|rented room|scrofula|sketching|sunrise,165,UK,2014,44,6.8
104,752,59,Drama|Romance,3174,0,dentist|letter|pilot|skateboard|wallet,31,France,2009,74,6.3
132,333,284,Biography|Crime|Drama|War,11077,2,jesuit|jew|pope|priest|ss,55,France,2002,326,7.3
117,2,21,Action,6069,2,martial arts|sword fight|wuxia,34,China,2010,32,6.9
115,168,322,Comedy|Drama|War,11704,0,college tuition|guitar|road trip|soldier|stranded,36,USA,2008,329,7.0
186,50,338,Drama,12053,1,accident|bus|loss of virginity|new york city|virginity,119,USA,2011,1000,6.5
90,10,378,Comedy|Horror,9928,7,dollar bill|double entendre|escaped convict|halloween|striptease,66,Canada,2009,521,3.6
90,0,767,Comedy|Drama|Romance,60460,0,apology|falling in love|multiple perspectives|narrated by a girl|younger version of character,104,USA,2010,872,7.7
134,0,11000,Drama|Romance,259837,0,gay relationship|homosexuality|mountain|ranch|rodeo,2254,USA,2005,13000,7.7
101,473,429,Action|Adventure|Comedy|Sci-Fi,167089,0,18 wheeler|mutant|ninja|sewer|turtle,491,USA,2014,809,5.9
97,143,201,Comedy|Romance,123390,1,female protagonist|high school|makeover|matchmaker|popularity,248,USA,1995,281,6.8
107,162,135,Drama|Romance,36542,2,african american|catastrophe|family relationships|farewell scene|therapy,378,USA,2002,258,7.4
99,38,390,Comedy|Sci-Fi,28159,4,acid trip|gameshow|hot tub|time lord|time machine,96,USA,2015,837,5.1
55,,2,Drama,12590,0,meaning of life|moral challenge|morality|search for meaning|ten commandments,37,Poland,,3,9.1
124,133,170,Biography|Drama,44795,1,asylum|lust|male pubic hair|penis|pubic hair,314,UK,2000,230,7.4
110,454,816,Comedy|Crime,185845,7,dognapping|gangster|misfiring gun|screenwriter|shih tzu,284,UK,2012,906,7.2
105,148,400,Crime|Drama|Music|Mystery|Thriller,5602,0,chrysler building manhattan new york city|delusion|manhattan new york city|new york city|title directed by female,59,USA,2001,508,6.0
41,,2,Action|Crime|Drama|Thriller,271,4,,2,Poland,,2,7.4
178,101,471,Biography|Drama|History|War,248354,0,bunker|hitler|nazi|no exit|war ruins,564,Germany,2004,653,8.3
125,448,93,Biography|Drama|Romance,64556,1,dignity|euthanasia|freedom|lawyer|sailor,140,Spain,2004,114,8.1
108,143,21,Drama|Horror|Sci-Fi|Thriller,85022,0,alien|desire|female nudity|male frontal nudity|scotland,616,UK,2013,50,6.3
121,272,227,Biography|Comedy|Drama|War,98348,1,disc jockey|friendship|radio|vietnam|vietnamese,131,USA,1987,263,7.3
100,26,385,Comedy,912,5,mafia|mafia boss|mafiosi|mafioso|three word title,17,South Korea,2010,391,3.6
115,209,41,Documentary|Music,74351,1,boyhood friend|manager|plasma tv|prodigy|star,233,USA,2011,69,1.6
108,0,1000,Drama|Thriller,551363,1,ballerina|ballet|fear|female protagonist|madness,1140,USA,2010,15000,8.0
117,294,1000,Action|Crime|Sci-Fi|Thriller,182910,0,law enforcement|police|robocop|robot|technology,630,USA,2014,2000,6.2
220,0,3000,Crime|Drama,790926,1,1950s|corrupt politician|lake tahoe nevada|melancholy|revenge,650,USA,1974,14000,9.0
112,49,237,Drama|Music|Romance,47876,0,dance|dancing|ghetto|hip hop|imperative in title,320,USA,2001,363,6.1
99,212,54,Fantasy|Horror|Thriller,36108,0,demon|dream|elm street|freddy krueger|nightmare,260,USA,1988,125,5.7
109,36,579,Drama,6276,0,child cancer|christian film|christianity|falling into a hole|inspiring,55,USA,2016,3000,6.8
83,8,612,Comedy|Mystery,116625,2,bare chested male|gay kiss|homoeroticism|lesbian kiss|transsexual,469,USA,2000,934,5.5
107,58,316,Action|Crime|Drama|Thriller|Western,42614,5,army|cattle|deputy|new mexico|rancher,120,USA,1988,439,6.8
102,51,360,Comedy|Drama,72803,3,bullying|grumpy old man|school presentation|stroke|stroke recovery,171,USA,2014,6000,7.3
100,38,460,Comedy|Romance,16979,4,bedroom|boyfriend girlfriend relationship|hug|interrupted sex|urban setting,42,USA,2014,807,6.1
97,19,835,Comedy|Drama|Romance,222099,6,dating|protective father|school|shrew|teen movie,549,USA,1999,13000,7.2
92,13,301,Comedy,28805,1,cheerleader|geek|high school|prison|reference to janet jackson,159,USA,2002,489,5.9
84,0,182,Action|Comedy|Crime,37611,2,cookie|detective|microfilm|parody|sergeant,72,USA,1993,852,6.1
86,174,2,Drama|Horror|Thriller,12983,0,beach|island|mexico|prey|trapped,139,USA,2016,350,6.8
120,19,829,Sci-Fi|Thriller,357579,0,blackout|child pornography|memory|surprise ending|time travel,1100,USA,2004,902,7.7
89,13,329,Adventure|Comedy|Family,9285,1,meteorologist|snow|snowed in|snowplow|weather,91,USA,2000,442,4.9
117,17,912,Comedy|Drama|Romance,6528,9,christmas|family home|musician|piano|secret,32,USA,2007,997,6.1
97,84,782,Comedy|Crime|Family|Sci-Fi,19547,2,baby|boy|science|scientist|toddler,168,USA,1999,842,2.5
91,6,459,Action|Comedy|Crime|Thriller,24834,5,hitman|kidnapping|kosher|vhs|video store,168,USA,1998,471,6.1
100,15,388,Comedy|Drama|Family,7984,1,binoculars|child spy|notebook|secret|spy,42,USA,1996,558,5.9
72,5,435,Fantasy|Horror,31371,0,boy|doll|foster home|killer doll|serial killer,166,USA,1990,628,5.7
84,12,334,Crime|Thriller,12676,2,home invasion|police officer shot|police officer shot in the chest|psychopath|three word title,84,USA,2014,345,5.6
126,0,745,Horror,220475,0,desperation|fog|giant insect|survival|survival horror,1066,USA,2007,850,7.2
108,232,123,Drama|Mystery|Sci-Fi|Thriller,289508,0,artificial intelligence|robot|robot human relationship|turing test|video surveillance,611,UK,2015,145,7.7
112,0,213,Comedy|Drama|Fantasy,254404,2,body swap|magical realism|portal|puppeteer|surrealism,840,USA,1999,216,7.8
90,7,405,Comedy|Romance,4339,2,advice|battle of the sexes|lingerie|romantic rivalry|rule,31,USA,2001,890,6.1
91,13,140,Adventure|Family|Sci-Fi,15664,0,alien|bar|construction worker|no opening credits|no title at beginning,149,USA,2014,587,5.8
135,134,525,Drama|Romance,21406,2,congressman|high school|latino|pacific palisades|school,169,USA,2001,1000,6.5
141,16000,78,Drama|History|War,132149,0,blood splatter|general|island|japan|world war two,316,USA,2006,85,7.9
104,35,844,Adventure|Drama|Sci-Fi,19707,0,bank|fbi|fuel|rocket|space travel,128,USA,2006,912,6.3
84,18,744,Comedy|Romance,1520,0,blind date|law clerk|love|manhattan new york city|world trade center manhattan new york city,20,USA,1998,851,3.8
118,412,491,Drama,161288,0,based on novel|escape|imprisonment|kidnapping|mother son relationship,351,Ireland,2015,681,8.3
82,799,294,Comedy,20033,0,cult film|gambling debt|job|off screen murder|revenge,117,Canada,1998,359,6.4
95,0,650,Comedy|Crime|Thriller,21212,4,dentist|housewife|howie scream|murder|perfection,107,USA,1994,849,6.7
94,26,4000,Comedy,16059,2,political cover up|political satire|teenage girl|white house|witness,210,France,1999,8000,6.1
88,76,75,Action|Crime|Mystery|Thriller,335,0,,,Sweden,,94,8.1
99,7,730,Drama|Thriller,3116,3,black cop|die hard scenario|hostage negotiator|police|police brutality,39,USA,1999,1000,6.0
121,15,812,Drama|Music,27675,4,angel dust the drug|disco|new york city|quaalude|reference to princess grace of monaco,181,USA,1998,957,5.8
84,2,690,Adventure|Comedy|Romance|Sci-Fi,25541,0,cigarette smoking|hand on butt|niagara falls|plastic bubble|wedding,181,USA,2001,816,5.6
93,16,258,Comedy|Crime|Thriller,21530,1,bank|bank clerk|birthday|mail order bride|russian,159,UK,2001,326,6.1
93,24,499,Comedy,60407,0,21st birthday|college student|drunken man|pubic hair|standing up to father,84,USA,2013,528,5.9
120,107,280,Comedy|Drama|Romance,63084,0,baby|divorce|oscar wilde|pigalle|tourist,123,France,2006,530,7.3
112,37,548,Drama|Sport,18442,1,boxing|colosseum|homeless man|reporter|writer,59,USA,2007,573,6.8
107,80,252,Comedy|Drama|Romance,28573,2,adoption|female protagonist|princeton university|wedding|working women,87,USA,2013,257,5.7
112,83,8,Drama|Romance,4767,1,archipelago|guillotine|island|prison|redemption,69,France,2000,370,7.3
96,460,73,Drama|Mystery|Romance|Thriller,56264,2,bare chested boy|doctor|escort|infidelity|prostitute,166,USA,2009,153,6.3
91,150,150,Comedy|Crime|Drama,1595,3,bathroom|bathtub|female protagonist|flashback|kitchen,19,USA,1996,385,5.9
105,260,1000,Drama|Thriller,88037,0,afghanistan|death of soldier|presumed dead|prisoner|war trauma,201,USA,2009,15000,7.1
125,0,968,Biography|Comedy|Crime|Drama,28068,2,court|drugs|judge|mafia|mobster,108,Germany,2006,14000,7.1
102,139,850,Drama|Romance,351274,2,coming of age|depression|gay|high school|mental illness,457,USA,2012,3000,8.0
87,29,147,Action,922,1,exercise bicycle|face in food|police|police brutality|policeman,23,USA,1993,155,5.1
118,41,442,Biography|Crime|Drama,14143,4,blood|book|cold calculation|murder|writer,102,USA,2006,812,7.1
115,187,887,Drama|Romance|Western,5254,4,gold|gold mine|miner|railroad|surveyor,92,UK,2000,900,6.5
91,83,794,Horror|Thriller,7199,0,evil|injury|possession|priest|vatican,53,USA,2015,1000,4.5
88,115,304,Action|Comedy|Sci-Fi|Thriller,82331,6,alien|alien invasion|apartment|creature|gang,297,UK,2011,305,6.6
127,11000,116,Drama|Romance|War,31414,0,bosnian war|church|emaciation|soldier|violence,180,USA,2011,164,4.3
94,122,383,Crime|Thriller,88241,0,911 operator|calling 911|die hard scenario|head held underwater|white villain,266,USA,2013,461,6.7
115,32,29,Action|Drama|History|War,90,1,,1,South Korea,2016,81,6.8
90,0,234,Action|Adventure|Comedy|Family,5663,0,cia|crocodile|satellite|snake|spider,106,Australia,2002,238,5.4
102,43,113,Biography|Comedy|Crime|Drama|Romance,77305,0,character name in title|con artist|fraud|gay|prison break,162,France,2009,157,6.6
100,218,91,Adventure|Drama|History,16281,0,fire|prehistoric times|primitive|tribe|trio,96,Canada,1981,201,7.4
117,18000,543,Biography|Drama,26493,0,black american|extortion|navy|psychiatrist|sailor,159,USA,2002,638,7.3
109,97,355,Drama,14354,1,classroom|fund raising|headmaster|reunion|roman,139,USA,2002,795,6.9
121,12000,975,Action|Crime|Drama|Romance|Thriller,163492,3,aspiring actor|cocaine|drugs|pimp|suitcase full of money,460,USA,1993,10000,8.0
111,28,1000,Drama|Romance|Sci-Fi,9957,1,clone|love|male nudity|medical ethics|virginity,35,Germany,2010,2000,6.4
100,164,99,Crime|Drama|Mystery,75675,1,office|pressure|real estate|robbery|sales,365,USA,1992,14000,7.8
109,187,204,Crime|Drama|Thriller,28483,0,deputy|murder|revenge|sheriff|texas,176,USA,2010,467,6.1
93,261,697,Fantasy|Horror|Thriller,14193,1,cat|cat people|leopard|love|slip the undergarment,106,USA,1982,782,6.1
101,10,472,Horror|Mystery,24012,2,prank gone wrong|scantily clad female|shotgun|sorority house|stabbed in the neck,126,USA,2009,668,5.1
101,19,135,Adventure|Drama|Romance,3256,2,coronation|fictitious country|king|princess|swashbuckler,44,USA,1937,185,7.8
106,44,552,Comedy|Drama|Romance,114762,1,in love with an inanimate object|internet|introvert|psychologist|sex doll,299,USA,2007,730,7.4
94,39,18,Drama|War,132386,0,boy|fence|jew|nazis|poison gas,398,UK,2008,32,7.8
140,3000,322,Crime|Drama|Musical,79330,0,ends with quotation|execution|factory|women's prison|year 1964,690,Denmark,2000,595,8.0
132,44,241,Drama|Romance,5648,2,australia|church|glass|inheritance|wager,50,USA,1997,653,6.7
99,220,599,Crime|Drama,6921,3,1930s|madness|murder|new york city|violence,48,USA,1996,787,6.6
90,34,506,Comedy|Drama|Romance,13371,7,aging|hdtv|high definition television|love|marriage,60,USA,2009,681,6.4
105,20,844,Action|Crime|Thriller,165792,1,machete|mexican|mexico|priest|texas,392,USA,2010,982,6.7
108,60,168,Biography|Comedy|Crime|Drama,14757,5,corruption|lobbyist|murder|washington d.c.|washington d.c. lobbyist,51,Canada,2010,322,6.2
69,383,191,Adventure|Animation|Family,61753,0,brontosaurus|classical music|dinosaur|dinosaur feature|earthquake,133,USA,1988,320,7.3
148,16,489,Action|Drama|War,31943,2,1950s|archeologist|korea|korean war|soldier,224,South Korea,2004,517,8.1
118,50,655,Comedy|Drama|Family|Sport,2676,0,baseball movie|little league|little league baseball|mexico|three word title,33,Canada,2009,844,7.0
132,607,259,Horror,284252,0,demonic possession|exorcism|exorcist|loss of innocence|priest,1058,USA,1973,931,8.0
