duration,actor_1_facebook_likes,genres,actor_1_name,cast_total_facebook_likes,num_user_for_reviews,imdb_score,aspect_ratio
103,2000,Action|Adventure|Fantasy,Dennis Quaid,2710,139,6.4,2.35
97,4000,Action|Comedy|Crime|Drama,Salma Hayek,9814,147,6.3,2.35
96,12000,Action|Fantasy|Thriller,Nicolas Cage,16121,331,4.3,2.35
131,23000,Drama|Music|Romance|War,Christian Bale,23325,220,5.9,2.35
22,883,Comedy|Romance,Barry Corbin,4115,54,6.7,16.0
95,14000,Action|Comedy|Drama|Family|Thriller,Vin Diesel,16884,225,5.5,2.35
86,12000,Action|Crime,Dwayne Johnson,14146,221,6.2,2.35
142,15000,Comedy|Drama,Tom Hanks,15700,1398,8.8,2.35
92,1000,Animation|Comedy|Family|Fantasy|Music,Jesse McCartney,2847,146,5.2,1.85
108,22000,Comedy,Robert De Niro,24286,507,7.0,1.85
84,23000,Adventure|Animation|Drama|Family|History|Musical|Romance,Christian Bale,26754,216,6.6,1.78
188,10000,Action|Adventure|Drama|Romance|Sci-Fi,Marlon Brando,12940,497,7.3,2.35
95,851,Comedy|Romance|Sci-Fi,Jada Pinkett Smith,3155,99,5.6,1.85
118,10000,Comedy|Romance,Will Smith,13426,372,6.6,2.35
92,3000,Action|Adventure|Comedy|Family|Romance,Brendan Fraser,4518,103,5.4,1.85
74,3000,Comedy|Romance,Alyson Hannigan,5713,332,6.3,2.35
134,15000,Biography|Drama|Thriller,Tom Hanks,16281,527,7.9,2.35
101,15000,Comedy|Crime|Romance|Thriller,Mila Kunis,39822,207,6.3,2.35
100,795,Comedy|Family|Fantasy,Eric Idle,2638,92,6.0,1.85
132,18000,Action|Crime|Thriller,Denzel Washington,37605,436,7.2,2.35
105,5000,Comedy|Drama|Romance,Bob Hoskins,7184,242,5.1,2.35
123,18000,Action|Drama|Thriller|War,Denzel Washington,30132,194,7.3,2.35
117,10000,Biography|Drama,Will Smith,11036,611,8.0,2.35
98,931,Drama|Mystery|Thriller,Erika Christensen,2287,600,6.2,2.35
128,2000,Drama|Thriller,Demi Moore,3888,95,6.0,2.35
114,12000,Drama|Fantasy|Romance,Nicolas Cage,13905,322,6.7,2.35
111,926,Action,David Carradine,3983,2105,8.1,2.35
85,21000,Comedy,Robert Downey Jr.,22458,358,6.4,1.37
44,847,Action|Adventure|Drama|Sci-Fi,Christopher Judge,1359,181,8.4,1.33
137,890,Action|Crime|Drama|Thriller,Vivica A. Fox,1959,935,8.0,2.35
97,13000,Action|Comedy|Crime|Thriller,Sylvester Stallone,14432,149,6.3,2.35
104,13000,Comedy|Fantasy|Horror,Bruce Willis,25599,173,6.4,1.85
110,485,Action|Adventure|Comedy|Western,Xander Berkeley,939,293,6.6,2.35
133,1000,Action|Adventure|Thriller,Oliver Platt,2916,144,6.4,2.35
94,1000,Comedy|Family|Fantasy,Madeline Carroll,2820,108,6.0,1.85
104,5000,Action|Adventure|Fantasy,Jet Li,7247,279,6.6,2.35
91,1000,Adventure|Animation|Comedy|Family,Amy Poehler,3104,73,5.9,1.85
145,534,Action|Horror|Sci-Fi,Charles S. Dutton,1543,776,6.4,2.35
135,57,Biography|Drama|History|Musical,Andrea Corr,164,194,6.3,2.35
122,22000,Action|Adventure|Crime|Thriller,Robert De Niro,24270,572,7.3,2.35
110,1000,Adventure|Drama|Horror|Thriller,Tom Wilkinson,1752,155,6.8,2.35
95,838,Animation|Comedy|Family|Fantasy,Julie Walters,3697,174,7.2,2.35
102,622,Action|Comedy|Sci-Fi,Will Forte,2488,207,5.7,2.35
94,933,Action|Crime|Drama|Thriller,Connie Nielsen,2248,321,6.0,1.85
126,12000,Drama|Thriller,Anthony Hopkins,13406,232,6.5,2.35
118,13000,Comedy,Matt Damon,14036,154,5.8,2.35
99,8000,Comedy|Sport,Will Ferrell,10026,119,5.8,2.35
88,4000,Adventure|Animation|Comedy|Family,Salma Hayek,6254,101,6.7,2.35
141,11000,Crime|Drama|Mystery|Thriller,Angelina Jolie Pitt,12840,387,7.8,2.35
107,18000,Action|Drama|Sci-Fi|Thriller,Keanu Reeves,31014,95,5.6,1.85
116,22000,Action|Drama|Sport|Thriller,Robert De Niro,24618,89,5.8,2.35
143,18000,Drama|Musical|Romance|Thriller,Gerard Butler,20660,2047,7.4,2.35
114,13000,Biography|Drama|History|War,Eddie Redmayne,16899,216,6.9,1.85
93,9000,Action|Sci-Fi,Charlize Theron,10185,532,5.5,2.35
280,789,Drama|History|War,Billy Campbell,1671,497,6.3,2.35
100,995,Action|Thriller,Hector Elizondo,3952,84,4.7,2.35
107,939,Comedy|Drama|Family|Fantasy,Stephen Root,3742,39,5.6,2.35
119,3000,Adventure|Comedy|Crime|Family|Musical,Ty Burrell,6089,110,6.4,1.85
95,956,Action|Adventure|Comedy|Family|Sci-Fi,Sophia Myles,2260,229,4.2,1.85
119,2000,Drama|Music|Musical|Romance,Eric Dane,4315,222,6.4,2.35
133,226,Drama|Mystery|Romance|War,Denis Lavant,405,239,7.7,2.35
152,617,Crime|Drama|Romance,James Mason,1403,207,7.7,1.66
96,13000,Crime|Horror|Mystery|Thriller,Sylvester Stallone,15803,142,5.3,2.35
117,12000,Action|Horror|Sci-Fi|Thriller,Norman Reedus,15371,559,6.7,1.85
123,10000,Drama|Romance,Will Smith,14727,599,7.7,2.35
92,13000,Action|Thriller,Sylvester Stallone,25418,131,5.7,1.85
170,14000,Crime|Drama,Al Pacino,16949,545,7.6,1.85
123,5000,Comedy|Drama|Romance,Orlando Bloom,12700,495,6.4,1.85
110,277,Comedy|Romance,Todd Stashwick,847,195,5.6,1.85
116,593,Action|Adventure|Romance|Sci-Fi,Margot Kidder,2908,269,6.8,2.35
121,117,Comedy|Crime|Romance,Todd Giebenhain,286,418,2.4,2.35
128,14000,Drama|Thriller,Kate Winslet,27614,178,6.2,1.85
99,23000,Action|Crime|Thriller,Christian Bale,26527,301,5.9,2.35
94,4000,Adventure|Animation|Drama|Family|Fantasy|Musical|Mystery|Romance,Kirsten Dunst,6017,191,7.1,2.35
127,1000,Drama|Musical|Romance,Jim Broadbent,2601,2319,7.6,2.35
89,12000,Crime|Mystery|Thriller,Steve Buscemi,13390,190,5.5,2.35
123,40000,Biography|Crime|Drama,Johnny Depp,63769,289,7.0,2.35
135,23000,Drama|History|War,Paul Walker,24468,415,7.1,2.35
118,18000,Crime|Drama|Thriller,Gerard Butler,22517,429,7.4,2.35
189,16000,Action|Horror|Thriller,Quentin Tarantino,22186,532,7.6,2.35
172,852,Drama|History|Horror,Oprah Winfrey,2397,207,5.9,1.85
124,21000,Drama|Romance|Sport,Robert Downey Jr.,26334,63,5.9,2.35
141,29000,Biography|Crime|Drama,Leonardo DiCaprio,48153,667,8.0,1.85
157,1000,Drama|History|Thriller,Jennifer Ehle,2759,640,7.4,1.85
106,4000,Comedy|Drama|Romance,Jon Favreau,8315,483,5.8,1.85
108,14000,Comedy|Family|Musical|Romance,Colin Firth,26002,611,6.3,2.35
125,14000,Comedy|Romance,Bradley Cooper,45696,211,5.7,1.85
107,631,Action|Adventure|Comedy,Alice Greczyn,2297,612,5.1,2.35
215,648,Drama|War,Nick Stahl,1937,1448,7.6,2.35
118,16000,Comedy|Fantasy,Ryan Reynolds,28045,149,6.4,2.35
118,134,Biography|Comedy|Drama,Matt Price,209,549,7.4,2.35
178,22000,Biography|Crime|Drama,Robert De Niro,24183,533,8.2,2.35
92,211,Action|Thriller,Kasia Smutniak,488,211,6.5,2.35
104,961,Action|Comedy|Fantasy,Jaime King,2422,180,5.5,2.35
116,889,Comedy,Robert Forster,1711,481,6.5,1.85
90,677,Animation|Comedy|Family,Rob Paulsen,2055,155,5.6,1.85
93,2000,Comedy|Family,Matthew Broderick,5468,110,4.9,1.85
130,21000,Adventure|Drama|Fantasy|Romance,Robert Pattinson,64040,919,4.6,2.35
