director_name,num_critic_for_reviews,director_facebook_likes,actor_2_name,genres,actor_1_name,num_voted_users,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,language,country,budget,title_year,imdb_score,movie_facebook_likes
Steven Spielberg,174,14000,Embeth Davidtz,Biography|Drama|History,Liam Neeson,865020,Caroline Goodall,0,german|german soldier|jew|jewish|nazi,http://www.imdb.com/title/tt0108052/?ref_=fn_tt_tt_1,English,USA,22000000,1993,8.9,41000
Tate Taylor,373,150,Bryce Dallas Howard,Drama,Emma Stone,318955,Mike Vogel,2,black servant|chocolate pie|jackson mississippi|maid|writing a novel,http://www.imdb.com/title/tt1454029/?ref_=fn_tt_tt_1,English,USA,25000000,2011,8.1,75000
Bill Condon,224,386,Peter Capaldi,Biography|Drama|Thriller,Benedict Cumberbatch,29282,Jamie Blackley,1,computer hacker|internet|news leak|whistleblowing|wikileaks,http://www.imdb.com/title/tt1837703/?ref_=fn_tt_tt_1,English,USA,28000000,2013,6.2,11000
Raja Gosnell,94,67,Linda Cardellini,Adventure|Comedy|Family|Fantasy|Horror|Mystery,Sarah Michelle Gellar,33180,Tim Blake Nelson,0,ghost|masked villain|monster|museum|tv,http://www.imdb.com/title/tt0331632/?ref_=fn_tt_tt_1,English,USA,80000000,2004,4.9,567
Oleg Stepchenko,25,0,Igor Jijikine,Adventure|Fantasy|Mystery|Thriller,Jason Flemyng,3170,Agnia Ditkovskite,1,cartographer|creature|foreign language adaptation|sword and sorcery|village,http://www.imdb.com/title/tt1224378/?ref_=fn_tt_tt_1,Russian,Russia,26000000,2014,5.4,0
Ronny Yu,273,31,Jason Ritter,Action|Horror|Thriller,Katharine Isabelle,89101,Zack Ward,0,elm street|freddy krueger|jason voorhees|serial killer|slasher,http://www.imdb.com/title/tt0329101/?ref_=fn_tt_tt_1,English,USA,30000000,2003,5.8,3000
Michael Winterbottom,78,187,Ava Acres,Drama,Cara Delevingne,2863,Sara Stewart,2,,http://www.imdb.com/title/tt2967008/?ref_=fn_tt_tt_1,English,UK,,2014,4.7,488
John A. Davis,66,8,Rob Paulsen,Action|Adventure|Animation|Comedy|Family|Sci-Fi,Martin Short,23943,Andrea Martin,0,alien|boy genius|children|genius|rescue,http://www.imdb.com/title/tt0268397/?ref_=fn_tt_tt_1,English,USA,30000000,2001,6.0,425
Matt Reeves,459,198,Ben Feldman,Action|Adventure|Horror|Sci-Fi,Mike Vogel,296787,Liza Lapira,0,brooklyn new york city|found footage|night vision|statue of liberty new york city|subway tunnel,http://www.imdb.com/title/tt1060277/?ref_=fn_tt_tt_1,English,USA,25000000,2008,7.0,0
Michael Pressman,68,34,Paige Turco,Action|Adventure|Comedy|Family|Sci-Fi,Kevin Nash,42765,Ernie Reyes Jr.,0,chop socky|mutant|ninja|shredder|turtle,http://www.imdb.com/title/tt0103060/?ref_=fn_tt_tt_1,English,USA,25000000,1991,6.0,0
Brian De Palma,123,0,Billy Drago,Crime|Drama|Thriller,Robert De Niro,219008,Charles Martin Smith,1,corrupt judge|tax evasion|tough cop|white suit|year 1930,http://www.imdb.com/title/tt0094226/?ref_=fn_tt_tt_1,English,USA,25000000,1987,7.9,0
Ethan Coen,488,1000,Stephen Root,Crime|Drama|Thriller,Kelly Macdonald,612060,Barry Corbin,0,coin toss|desert|sheriff|texas|tracking device,http://www.imdb.com/title/tt0477348/?ref_=fn_tt_tt_1,English,USA,25000000,2007,8.1,21000
Tim Story,146,167,Tika Sumpter,Action|Comedy|Crime|Romance,Bruce McGill,75903,Bryan Callen,1,gunfight|outrunning explosion|police|security guard|street shootout,http://www.imdb.com/title/tt1408253/?ref_=fn_tt_tt_1,English,USA,25000000,2014,6.2,0
Sharon Maguire,168,11,Jim Broadbent,Comedy|Drama|Romance,Colin Firth,171568,Shirley Henderson,3,american actress playing british character|book publishing|calorie counting|employer employee relationship|rabbit costume,http://www.imdb.com/title/tt0243155/?ref_=fn_tt_tt_1,English,UK,26000000,2001,6.7,0
Lasse Hallström,152,529,Leslie Caron,Drama|Romance,Lena Olin,150308,Hugh O'Conor,1,chocolate|chocolate shop|food|france|village,http://www.imdb.com/title/tt0241303/?ref_=fn_tt_tt_1,English,UK,25000000,2000,7.3,18000
Charles Herman-Wurmfeld,133,0,Bruce McGill,Comedy,Mary Lynn Rajskub,46417,Bob Newhart,2,animal rights|congresswoman|doorman|transvestism|washington d.c.,http://www.imdb.com/title/tt0333780/?ref_=fn_tt_tt_1,English,USA,45000000,2003,4.6,660
Andy Fickman,139,99,Gedde Watanabe,Comedy|Family,Bailee Madison,21176,Tom Everett Scott,5,chores|father figure|helicopter parents|in laws|punishment,http://www.imdb.com/title/tt1047540/?ref_=fn_tt_tt_1,English,USA,25000000,2012,6.1,0
Ivan Reitman,245,425,Greta Gerwig,Comedy|Romance,Natalie Portman,168717,Mindy Kaling,1,ex girlfriend|funeral|hospital|male objectification|summer camp,http://www.imdb.com/title/tt1411238/?ref_=fn_tt_tt_1,English,USA,25000000,2011,6.2,24000
George P. Cosmatos,84,170,Dana Delany,Action|Biography|Drama|History|Romance|Western,Michael Biehn,95241,Powers Boothe,0,cigar smoking|cowboy|duel|outlaw|tombstone arizona,http://www.imdb.com/title/tt0108358/?ref_=fn_tt_tt_1,English,USA,25000000,1993,7.8,11000
Andrzej Bartkowiak,70,43,Delroy Lindo,Action|Crime|Thriller,Jet Li,57040,Aaliyah,1,death|hong kong|kung fu|prison|waterfront,http://www.imdb.com/title/tt0165929/?ref_=fn_tt_tt_1,English,USA,25000000,2000,6.1,0
Richard Donner,154,503,Patrick Troughton,Fantasy|Horror|Mystery,Lee Remick,80958,Billie Whitelaw,2,ambassador|death|hospital|priest|stillborn child,http://www.imdb.com/title/tt0075005/?ref_=fn_tt_tt_1,English,UK,2800000,1976,7.6,7000
James Wong,216,70,Gina Holden,Horror,Chelan Simmons,102861,Crystal Lowe,0,amusement park|death|fate|premonition|roller coaster,http://www.imdb.com/title/tt0414982/?ref_=fn_tt_tt_1,English,Germany,25000000,2006,5.8,0
Scott Hicks,170,96,Riley Thomas Stewart,Drama|Romance,Blythe Danner,76882,Jay R. Ferguson,0,arrogance|child in peril|disarming someone|kennel|post traumatic stress disorder,http://www.imdb.com/title/tt1327194/?ref_=fn_tt_tt_1,English,USA,25000000,2012,6.5,29000
Gabor Csupo,181,47,Zooey Deschanel,Adventure|Drama|Family|Fantasy,Josh Hutcherson,110390,Bailee Madison,3,bully|friend|imagination|reality|troll,http://www.imdb.com/title/tt0398808/?ref_=fn_tt_tt_1,English,USA,17000000,2007,7.2,6000
Marc Forster,226,395,Kate Winslet,Biography|Drama|Family,Johnny Depp,174591,Kelly Macdonald,1,boy|inspiration|reference to peter pan|stage play|widow,http://www.imdb.com/title/tt0308644/?ref_=fn_tt_tt_1,English,USA,25000000,2004,7.8,0
Tyler Perry,24,0,Tika Sumpter,Comedy|Drama,Alicia Witt,4265,Larry the Cable Guy,0,christmas|holiday|madea series|rural setting|stubbornness,http://www.imdb.com/title/tt2609758/?ref_=fn_tt_tt_1,English,USA,25000000,2013,4.7,0
Joe Carnahan,408,248,Frank Grillo,Action|Adventure|Drama|Thriller,Liam Neeson,203111,James Badge Dale,1,alaska|leadership|snow|survival|wilderness,http://www.imdb.com/title/tt1601913/?ref_=fn_tt_tt_1,English,USA,25000000,2011,6.8,32000
John Polson,180,21,Dylan Baker,Drama|Horror|Mystery|Thriller,Robert De Niro,70205,Robert John Burke,0,bathtub|psychologist|pushed out a window|smothered with a pillow|telescope,http://www.imdb.com/title/tt0382077/?ref_=fn_tt_tt_1,English,USA,30000000,2005,5.9,0
Adam McKay,181,285,Will Ferrell,Comedy,Darcy Donavan,267921,Steve Carell,5,1970s|anchorman|news anchor|newsroom|tv station,http://www.imdb.com/title/tt0357413/?ref_=fn_tt_tt_1,English,USA,26000000,2004,7.2,0
Martin Scorsese,192,17000,Mike Starr,Biography|Crime|Drama,Robert De Niro,728685,Paul Sorvino,3,betrayal|gangster|mafia|organized crime|robbery,http://www.imdb.com/title/tt0099685/?ref_=fn_tt_tt_1,English,USA,25000000,1990,8.7,25000
Harald Zwart,79,91,Frankie Muniz,Action|Adventure|Comedy|Crime|Family|Romance|Thriller,Daniel Roebuck,26755,Chris Gauthier,3,cia|nanobot|prep school|scientist|teenager,http://www.imdb.com/title/tt0313911/?ref_=fn_tt_tt_1,English,USA,26000000,2003,5.0,542
Kirk Jones,128,52,Kelly Macdonald,Comedy|Family|Fantasy,Colin Firth,49676,Imelda Staunton,0,father|governess|magic|nanny|widower,http://www.imdb.com/title/tt0396752/?ref_=fn_tt_tt_1,English,USA,25000000,2005,6.6,0
Brian De Palma,147,0,F. Murray Abraham,Crime|Drama,Al Pacino,537442,Mary Elizabeth Mastrantonio,0,assassination attempt|capitalism|cocaine|cuban american|cuban refugee,http://www.imdb.com/title/tt0086250/?ref_=fn_tt_tt_1,English,USA,25000000,1983,8.3,19000
Steve Oedekerk,49,176,Michael McKean,Action|Adventure|Comedy|Crime,Kelly Preston,36253,Rebecca Gayheart,2,boss|ghetto|money|robber|robbery,http://www.imdb.com/title/tt0119807/?ref_=fn_tt_tt_1,English,USA,25000000,1997,6.7,0
Bernardo Bertolucci,75,973,Joan Chen,Biography|Drama|History,Cary-Hiroyuki Tagawa,70274,Victor Wong,0,abdication|china|emperor|forbidden city|republic,http://www.imdb.com/title/tt0093389/?ref_=fn_tt_tt_1,English,China,23000000,1987,7.8,0
Baltasar Kormákur,270,175,David O'Hara,Action|Crime|Drama|Thriller,J.K. Simmons,101977,Lukas Haas,3,cocaine|contraband|drug lord|prison|smuggling,http://www.imdb.com/title/tt1524137/?ref_=fn_tt_tt_1,English,USA,25000000,2012,6.5,0
Brett Ratner,29,420,Paul Sorvino,Action|Comedy|Crime|Thriller,Heather Locklear,22748,Faizon Love,2,blood splatter|fistfight|murder|police|prison bus,http://www.imdb.com/title/tt0119695/?ref_=fn_tt_tt_1,English,USA,25000000,1997,6.1,666
Paul Thomas Anderson,398,0,Paul F. Tompkins,Drama,Jim Meskimen,372990,Kevin Breznahan,0,alcoholic|alcoholism|money|oil|turn of the century,http://www.imdb.com/title/tt0469494/?ref_=fn_tt_tt_1,English,USA,25000000,2007,8.1,16000
Cathy Malkasian,38,0,Flea,Adventure|Animation|Comedy|Family|Fantasy,Alfre Woodard,12218,Cree Summer,0,africa|chimpanzee|elephant|safari|shaman,http://www.imdb.com/title/tt0282120/?ref_=fn_tt_tt_1,English,USA,25000000,2002,5.2,187
John Eng,45,0,Cree Summer,Adventure|Animation|Comedy|Family|Fantasy|Musical,Elizabeth Daily,5674,Nancy Cartwright,0,kid|oxygen|rugrats|trapped underwater|underwater,http://www.imdb.com/title/tt0337711/?ref_=fn_tt_tt_1,English,USA,25000000,2003,5.6,329
Malcolm D. Lee,81,92,Eddie Griffin,Action|Comedy,Dave Chappelle,29661,Chi McBride,3,african american|cadillac|disguise|secret agent|undercover,http://www.imdb.com/title/tt0279493/?ref_=fn_tt_tt_1,English,USA,25000000,2002,5.8,0
Ken Kwapis,88,42,America Ferrera,Comedy|Drama|Family|Romance,Mike Vogel,44838,Kyle Schmid,0,friendship|jeans|pants|summer|vacation,http://www.imdb.com/title/tt0403508/?ref_=fn_tt_tt_1,English,USA,25000000,2005,6.6,0
Chris Nahon,116,20,Bridget Fonda,Action|Crime|Drama|Thriller,Jet Li,53126,Max Ryan,1,action hero|chinese|forced prostitution|one man army|title spoken by character,http://www.imdb.com/title/tt0271027/?ref_=fn_tt_tt_1,English,France,25000000,2001,6.6,0
Fred Wolf,129,29,Katharine McPhee,Comedy|Romance,Emma Stone,63969,Beverly D'Angelo,1,makeover|party|playboy|playboy mansion|sorority,http://www.imdb.com/title/tt0852713/?ref_=fn_tt_tt_1,English,USA,25000000,2008,5.5,0
Bille Woodruff,72,23,Keshia Knight Pulliam,Comedy,Alfre Woodard,13194,LisaRaye McCoy,1,client|dentures|false teeth|reference to peter pan|single parent,http://www.imdb.com/title/tt0388500/?ref_=fn_tt_tt_1,English,USA,,2005,5.5,671
Craig Gillespie,151,44,Suraj Sharma,Biography|Drama|Sport,Jon Hamm,35833,Gregory Alan Williams,0,baseball|based on true story|india|sports agent|training,http://www.imdb.com/title/tt1647668/?ref_=fn_tt_tt_1,English,USA,25000000,2014,7.0,10000
Phillip Noyce,198,176,Meryl Streep,Drama|Romance|Sci-Fi,Jeff Bridges,86251,Alexander Skarsgård,3,black and white segues into color|color|community|dystopia|infanticide,http://www.imdb.com/title/tt0435651/?ref_=fn_tt_tt_1,English,South Africa,25000000,2014,6.5,58000
Dennie Gordon,66,29,Oliver James,Comedy|Drama|Family|Romance,Colin Firth,48095,Kelly Preston,1,american|daughter|england|father|politician,http://www.imdb.com/title/tt0286788/?ref_=fn_tt_tt_1,English,USA,20000000,2003,5.8,0
Victor Salva,167,108,Jonathan Breck,Horror,Nicki Aycox,45102,Billy Aaron Brown,0,cheerleader|farmer|fear|high school basketball|nightmare,http://www.imdb.com/title/tt0301470/?ref_=fn_tt_tt_1,English,USA,17000000,2003,5.6,0
Mark Helfrich,127,7,Dan Fogler,Comedy|Romance,Dane Cook,74622,Chelan Simmons,1,breasts|leg spreading|mini skirt|sex|sex in bed,http://www.imdb.com/title/tt0452625/?ref_=fn_tt_tt_1,English,USA,25000000,2007,5.6,0
Andrzej Bartkowiak,109,43,Tom Arnold,Action|Crime|Drama|Thriller,Jet Li,34942,DMX,2,camera shot from inside human body|diamond|evil man|heist|terrorism,http://www.imdb.com/title/tt0306685/?ref_=fn_tt_tt_1,English,USA,30000000,2003,5.8,1000
Stephen Daldry,174,335,Stephen Dillane,Drama|Romance,Meryl Streep,102123,Miranda Richardson,3,housewife|lesbian|novel|party|reading,http://www.imdb.com/title/tt0274558/?ref_=fn_tt_tt_1,English,USA,25000000,2002,7.6,0
Andy Fickman,91,99,Alexandra Breckenridge,Comedy|Romance,Channing Tatum,116762,Laura Ramsey,0,disguise|roommate|school|soccer|twin,http://www.imdb.com/title/tt0454945/?ref_=fn_tt_tt_1,English,USA,20000000,2006,6.4,0
Steve Bendelack,151,68,Emma de Caunes,Comedy|Family,Lily Atkinson,88714,Steve Pemberton,0,camcorder|cannes|director|lost passport|train,http://www.imdb.com/title/tt0453451/?ref_=fn_tt_tt_1,English,UK,25000000,2007,6.3,0
Dwight H. Little,94,27,Salli Richardson-Whitfield,Action|Adventure|Horror|Thriller,Nicholas Gonzalez,22243,Johnny Messner,0,anaconda|blood|borneo|flower|orchid,http://www.imdb.com/title/tt0366174/?ref_=fn_tt_tt_1,English,USA,25000000,2004,4.6,686
Guillaume Canet,91,0,Lili Taylor,Crime|Drama|Thriller,Mila Kunis,14612,Billy Crudup,6,1970s|flashback|love|money|murder,http://www.imdb.com/title/tt1747958/?ref_=fn_tt_tt_1,English,France,25500000,2013,6.5,0
Kirsten Sheridan,148,59,Aaron Staton,Drama|Music,Robin Williams,87331,Marian Seldes,0,baby|cellist|genius|prodigy|rhapsody,http://www.imdb.com/title/tt0426931/?ref_=fn_tt_tt_1,English,USA,30000000,2007,7.5,18000
Shekhar Kapur,141,159,John Gielgud,Biography|Drama|History,Fanny Ardant,75973,Eric Cantona,1,16th century|british royal family|catholic|queen|queen elizabeth i,http://www.imdb.com/title/tt0127536/?ref_=fn_tt_tt_1,English,UK,25000000,1998,7.5,0
Ronny Yu,114,31,Park Bench,Comedy|Fantasy|Horror|Romance,Alexis Arquette,39768,Vince Corazza,0,blood|doll|gore|murder|serial killer,http://www.imdb.com/title/tt0144120/?ref_=fn_tt_tt_1,English,Canada,25000000,1998,5.3,0
Richard Fleischer,79,130,Richard Anderson,Action|Drama|History|War,Joseph Cotten,25019,James Whitmore,0,attack|hawaii|navy|pearl harbor|u.s. navy,http://www.imdb.com/title/tt0066473/?ref_=fn_tt_tt_1,English,Japan,25000000,1970,7.5,0
Bob Spiers,33,14,Richard Briers,Comedy|Family|Music,Jason Flemyng,28377,Victoria Beckham,1,bus|concert|live concert|pop group|spice girl,http://www.imdb.com/title/tt0120185/?ref_=fn_tt_tt_1,English,UK,25000000,1997,3.3,0
David Gordon Green,146,234,J.B. Smoove,Comedy,Ari Graynor,60202,Kylie Bunbury,3,babysitting|car crash|child in peril|kicked in the face|reference to craigslist,http://www.imdb.com/title/tt1366344/?ref_=fn_tt_tt_1,English,USA,,2011,5.7,0
Damien Dante Wayans,83,82,Essence Atkins,Action|Comedy|Music,Damon Wayans Jr.,10161,Chris Elliott,0,african american|dance|overalls|parody|rap,http://www.imdb.com/title/tt1153706/?ref_=fn_tt_tt_1,English,USA,25000000,2009,3.5,657
Frank Darabont,199,0,Jeffrey DeMunn,Crime|Drama,Morgan Freeman,1689764,Bob Gunton,0,escape from prison|first person narration|prison|prison cell search|wrongful imprisonment,http://www.imdb.com/title/tt0111161/?ref_=fn_tt_tt_1,English,USA,25000000,1994,9.3,108000
Simon Wincer,71,23,Paul Hogan,Adventure|Comedy|Crime,Jere Burns,19699,Linda Kozlowski,0,boat|crocodile|garbage can|knife|paramount pictures,http://www.imdb.com/title/tt0231402/?ref_=fn_tt_tt_1,English,Australia,21150000,2001,4.8,387
Bobby Farrelly,62,101,Lin Shaye,Comedy|Sport,Bill Murray,63459,Richard Tyson,2,amish|bowling|on the road|rubber hand|tournament,http://www.imdb.com/title/tt0116778/?ref_=fn_tt_tt_1,English,USA,27000000,1996,6.9,3000
Rupert Wyatt,175,81,Cjon Saulsberry,Crime|Drama|Thriller,George Kennedy,48559,Griffin Cleveland,1,dog|gambler|gambling|gangster|professor,http://www.imdb.com/title/tt2039393/?ref_=fn_tt_tt_1,English,USA,25000000,2014,6.0,0
John Wells,322,53,Meryl Streep,Drama,Benedict Cumberbatch,67797,Julia Roberts,3,based on play|incestuous relationship|pedophilia|secret|teenage daughter,http://www.imdb.com/title/tt1322269/?ref_=fn_tt_tt_1,English,USA,25000000,2013,7.3,30000
Tim Fywell,67,3,Trevor Blumas,Comedy|Drama|Family|Sport,Connie Ray,19737,Amy Stewart,2,championship|coach|harvard|physics|zamboni,http://www.imdb.com/title/tt0396652/?ref_=fn_tt_tt_1,English,USA,,2005,6.0,901
Nigel Cole,112,13,Tyrone Giordano,Comedy|Drama|Romance,Aimee Garcia,58297,James Read,3,flight|hasselblad camera|los angeles california|love|medium format camera,http://www.imdb.com/title/tt0391304/?ref_=fn_tt_tt_1,English,USA,30000000,2005,6.6,0
Dexter Fletcher,216,452,Taron Egerton,Biography|Comedy|Drama|Sport,Hugh Jackman,32507,Tim McInnerny,3,1988 winter olympics|coach|ski jumper|winter|winter olympics,http://www.imdb.com/title/tt1083452/?ref_=fn_tt_tt_1,English,UK,23000000,2016,7.5,15000
Spike Lee,48,0,Milla Jovovich,Drama|Sport,Denzel Washington,36108,Rosario Dawson,0,basketball|basketball player|female nudity|porn actor in mainstream movie|prison,http://www.imdb.com/title/tt0124718/?ref_=fn_tt_tt_1,English,USA,25000000,1998,6.9,0
Jeremy Leven,44,19,Marlon Brando,Comedy|Drama|Romance,Johnny Depp,41310,Faye Dunaway,3,don juan|mental institution|patient|psychiatrist|retirement,http://www.imdb.com/title/tt0112883/?ref_=fn_tt_tt_1,English,USA,25000000,1994,6.8,0
,12,,John Sparkes,Animation|Comedy|Family,Justin Fletcher,7968,Kate Harbour,0,farmer|mischief|no dialog|sheep|sheepdog,http://www.imdb.com/title/tt0983983/?ref_=fn_tt_tt_1,English,UK,,,8.3,834
Lasse Hallström,162,529,Henry Thomas,Drama|Romance|War,Channing Tatum,104356,Scott Porter,,army|coin collector|love|surfboard|u.s. army,http://www.imdb.com/title/tt0989757/?ref_=fn_tt_tt_1,English,USA,25000000,2010,6.3,14000
Sylvain White,213,41,Jason Patric,Action|Crime|Drama|Mystery|Thriller,Chris Evans,74691,Óscar Jaenada,1,hacking|hijacking|martial arts|revenge|special forces,http://www.imdb.com/title/tt0480255/?ref_=fn_tt_tt_1,English,USA,25000000,2010,6.4,0
Troy Nixey,298,24,Alan Dale,Fantasy|Horror|Thriller,Bailee Madison,40776,Jack Thompson,1,basement|creature|disappearance|interior designer|mansion,http://www.imdb.com/title/tt1270761/?ref_=fn_tt_tt_1,English,USA,25000000,2010,5.6,10000
Philip G. Atwell,119,5,Jet Li,Action|Crime|Thriller,Jason Statham,72673,Nadine Velazquez,0,assassin|betrayal|fbi|fbi agent|yakuza,http://www.imdb.com/title/tt0499556/?ref_=fn_tt_tt_1,English,USA,25000000,2007,6.3,0
Paul Thomas Anderson,251,0,Emily Watson,Comedy|Drama|Romance|Thriller,Adam Sandler,109855,Don McManus,0,harmonium|love|phone sex|pudding|sister,http://www.imdb.com/title/tt0272338/?ref_=fn_tt_tt_1,English,USA,25000000,2002,7.3,0
Jeff Schaffer,92,17,Scott Mechlowicz,Comedy,Matt Damon,162067,Jacob Pitts,5,female frontal nudity|male frontal nudity|nudist|nudity|public nudity,http://www.imdb.com/title/tt0356150/?ref_=fn_tt_tt_1,English,USA,25000000,2004,6.6,0
Don Michael Paul,58,70,Nia Peeples,Action|Crime|Thriller,Claudia Christian,12263,Tony Plana,0,alcatraz|fbi|gold|prison|undercover,http://www.imdb.com/title/tt0297162/?ref_=fn_tt_tt_1,English,Germany,13000000,2002,4.6,564
Paul Feig,73,176,Rob Riggle,Adventure|Comedy|Family|Romance,Tyler James Williams,8398,B.J. Novak,1,airport|black comedy|blizzard|christmas|pennsylvania,http://www.imdb.com/title/tt0488658/?ref_=fn_tt_tt_1,English,USA,26000000,2006,5.1,498
James Bridges,28,21,Phoebe Cates,Drama,Dianne Wiest,5817,Swoosie Kurtz,0,estranged wife|fashion show|magazine|new york city|writer,http://www.imdb.com/title/tt0094799/?ref_=fn_tt_tt_1,English,USA,25000000,1988,5.6,377
Steve Barron,19,48,Udo Kier,Adventure|Family|Fantasy|Musical,Martin Landau,4086,Bebe Neuwirth,2,based on novel|human becoming an animal|slow motion|transformation|young boy,http://www.imdb.com/title/tt0115472/?ref_=fn_tt_tt_1,Italian,UK,25000000,1996,5.3,246
Bill Paxton,86,0,Matthew Knight,Drama|History|Sport,Stephen Dillane,22289,Amanda Tilson,1,champion|golf tournament|golfer|nostalgia|orchestral music score,http://www.imdb.com/title/tt0388980/?ref_=fn_tt_tt_1,English,USA,,2005,7.5,0
