num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,genres,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,title_year,aspect_ratio,movie_facebook_likes
177,96,0,253,Lee J. Cobb,Crime|Drama,courtroom|dialogue driven|dialogue driven storyline|jury|murder,http://www.imdb.com/title/tt0050083/?ref_=fn_tt_tt_1,888,English,USA,1957,1.66,40000
51,83,3,258,Peter Gerety,Animation|Drama,autobiography|dog movie|german shepherd|memoir|old man,http://www.imdb.com/title/tt0843358/?ref_=fn_tt_tt_1,15,English,USA,2009,1.85,675
124,65,964,21,Alan Hale,Comedy|Romance,bus|detective|love|money|reporter,http://www.imdb.com/title/tt0025316/?ref_=fn_tt_tt_1,235,English,USA,1934,1.37,0
211,94,252,14,Mary Tsoni,Drama|Thriller,fellatio|isolated house|overprotective father|social isolation|unsimulated sex,http://www.imdb.com/title/tt1379182/?ref_=fn_tt_tt_1,170,Greek,Greece,2009,2.35,13000
26,112,2,321,Gary Coleman,Biography|Documentary|Music,hip hop|name in title|rap star|rapper|reference to tupac shakur,http://www.imdb.com/title/tt0343121/?ref_=fn_tt_tt_1,32,English,USA,2003,1.85,0
64,102,149,276,Janet McTeer,Comedy|Drama,boss|fight|reference to william shakespeare|white trash|written and directed by cast member,http://www.imdb.com/title/tt0161023/?ref_=fn_tt_tt_1,73,English,USA,1999,1.85,121
56,98,10,912,Adam Goldberg,Action|Fantasy|Horror|Mystery|Thriller,angel|corpse|girl|heaven|soul,http://www.imdb.com/title/tt0114194/?ref_=fn_tt_tt_1,194,English,USA,1995,2.35,0
29,91,82,8,Zinedine Soualem,Comedy|Romance,cat|homosexual sex|male homosexuality|neighborhood|noisy neighbor,http://www.imdb.com/title/tt0115856/?ref_=fn_tt_tt_1,25,French,France,1996,1.66,166
131,80,54,543,Adrian Martinez,Comedy|Drama,apartment|oven|stove|thanksgiving|thanksgiving dinner,http://www.imdb.com/title/tt0311648/?ref_=fn_tt_tt_1,177,English,USA,2003,1.85,0
4,114,7,2,Mark Caven,Drama,breasts|female frontal nudity|jealousy|male full frontal nudity|male nudity,http://www.imdb.com/title/tt0118717/?ref_=fn_tt_tt_1,7,English,UK,1998,1.33,29
88,76,129,26,Lucy,Drama,cell phone|male frontal nudity|oregon|sexual ambiguity|title directed by female,http://www.imdb.com/title/tt0468526/?ref_=fn_tt_tt_1,57,English,USA,2006,1.66,594
189,80,129,26,Lucy,Drama,car|dog|flip phone|rape threat|vulnerable,http://www.imdb.com/title/tt1152850/?ref_=fn_tt_tt_1,112,English,USA,2008,1.85,0
20,88,5,301,Edie Falco,Drama,number in title,http://www.imdb.com/title/tt1314190/?ref_=fn_tt_tt_1,23,English,USA,2010,,92
96,110,0,0,Anna Karina,Crime|Drama|Romance,beach|money|on the run|party|smuggling,http://www.imdb.com/title/tt0059592/?ref_=fn_tt_tt_1,74,French,France,1965,2.35,2000
27,104,0,,Beatrice Ntuba,Documentary,,http://www.imdb.com/title/tt0474361/?ref_=fn_tt_tt_1,8,English,Cameroon,2005,,50
15,102,95,,,Documentary,eastern philosophy|healing|india|life,http://www.imdb.com/title/tt0221809/?ref_=fn_tt_tt_1,12,English,India,2001,1.85,379
24,95,0,87,Gloria Foster,Drama|Romance,1960s|father|railroad|town|worker,http://www.imdb.com/title/tt0058414/?ref_=fn_tt_tt_1,26,English,USA,1964,,363
16,94,37,104,Eli Marienthal,Drama|Romance,listening to music|misfit|panties|red panties|sex,http://www.imdb.com/title/tt0128214/?ref_=fn_tt_tt_1,16,English,USA,1997,,26
13,109,3,25,Eddie Jones,Drama|Sport,older man younger man relationship|punching bag|school teacher|undressing|unrequited love,http://www.imdb.com/title/tt0366444/?ref_=fn_tt_tt_1,23,English,USA,2004,2.35,30
8,90,0,32,Alexander Wraith,Action|Thriller,assassin|female assassin|kingdom|martial arts|mission,http://www.imdb.com/title/tt0421237/?ref_=fn_tt_tt_1,18,English,USA,2009,,53
156,133,278,107,T.V. Carpio,Drama|Fantasy|Musical|Romance,anti war|liverpool|love|protest|song,http://www.imdb.com/title/tt0445922/?ref_=fn_tt_tt_1,524,English,USA,2007,2.35,14000
4,110,44,221,Elizabeth Stenholt,Drama|Music,,http://www.imdb.com/title/tt2912776/?ref_=fn_tt_tt_1,1,English,USA,2015,,175
164,80,43,668,David Carradine,Action|Comedy|Sci-Fi|Sport,cult director|cult film|drive in classic|psychotronic|race,http://www.imdb.com/title/tt0072856/?ref_=fn_tt_tt_1,147,English,USA,1975,1.85,0
10,95,0,309,Ricky Schroder,Thriller,digit in title|latino|life or death|philosophy|supernatural,http://www.imdb.com/title/tt1241226/?ref_=fn_tt_tt_1,5,English,USA,2014,1.85,261
1,94,0,87,Wilhelm von Homburg,Horror,cigarette smoking|death|devil|nightmare|satanic cult,http://www.imdb.com/title/tt0100146/?ref_=fn_tt_tt_1,4,English,USA,1990,,4
8,98,3,248,Joanna Cassidy,Comedy|Drama|Romance,divorce|marriage|mother daughter relationship|sex|teenage boy,http://www.imdb.com/title/tt0393049/?ref_=fn_tt_tt_1,7,English,USA,2010,,7
9,98,77,0,Pierre Prieur,Drama|Musical|Romance,full frontal nudity|group shower|male full frontal nudity|male nudity|shower,http://www.imdb.com/title/tt3904272/?ref_=fn_tt_tt_1,1,English,France,2015,1.78,114
78,96,5,180,Carmen Argenziano,Horror|Mystery,coach|mask|school principal|team|track,http://www.imdb.com/title/tt0082467/?ref_=fn_tt_tt_1,58,English,USA,1981,1.85,249
131,97,19,313,Barry Bostwick,Comedy|Crime|Drama|Horror|Mystery|Thriller,,http://www.imdb.com/title/tt1568341/?ref_=fn_tt_tt_1,58,English,USA,2011,1.85,0
286,90,25,235,Matt Servitto,Biography|Crime|Drama|Thriller,authority|boss subordinate relationship|fast food restaurant|gullibility|telephone call,http://www.imdb.com/title/tt1971352/?ref_=fn_tt_tt_1,175,English,USA,2012,2.35,0
147,113,0,781,Ethan Suplee,Comedy|Drama|Romance,comic book|friendship|gay|lesbian|secret,http://www.imdb.com/title/tt0118842/?ref_=fn_tt_tt_1,500,English,USA,1997,1.85,0
71,91,132,225,Brenda Blethyn,Comedy|Drama|Romance,african american|dog|homecoming queen|insecurity|surgery,http://www.imdb.com/title/tt0258273/?ref_=fn_tt_tt_1,85,English,USA,2001,1.85,169
,90,2,99,Robert Miano,Action|Adventure|Mystery|Romance|Thriller,murder|oppression|rebirth|reincarnation|revenge,http://www.imdb.com/title/tt1328873/?ref_=fn_tt_tt_1,,English,USA,2010,1.85,16
51,98,681,13,Jason Tobin,Crime|Drama|Romance,asian american|high school|overachiever|pubic hair|vomiting,http://www.imdb.com/title/tt0280477/?ref_=fn_tt_tt_1,138,English,USA,2002,1.85,661
23,94,4,10,Laurel Holloman,Comedy|Drama|Romance,caught having sex|class|friend|lesbian|lesbian sex,http://www.imdb.com/title/tt0113416/?ref_=fn_tt_tt_1,36,English,USA,1995,1.85,423
59,96,44,129,Mike White,Comedy|Drama,best friend|bisexuality|friend|gay kiss|sexuality,http://www.imdb.com/title/tt0200530/?ref_=fn_tt_tt_1,136,English,USA,2000,1.85,170
9,100,0,51,Rizwan Manji,Comedy|Drama|Romance,college|desi|heritage|india|indian american,http://www.imdb.com/title/tt0203289/?ref_=fn_tt_tt_1,40,English,USA,2001,1.85,133
,90,0,185,Nicholas Simmons,Action|Crime|Drama,,http://www.imdb.com/title/tt3976258/?ref_=fn_tt_tt_1,,English,USA,2014,,17
99,90,165,319,Julian Richings,Mystery|Sci-Fi|Thriller,escape|labyrinth|maze|red light|trap,http://www.imdb.com/title/tt0123755/?ref_=fn_tt_tt_1,696,English,Canada,1997,1.85,11000
21,76,0,62,Frances O'Connor,Comedy|Romance,film school|love|medical student|student|university,http://www.imdb.com/title/tt0116931/?ref_=fn_tt_tt_1,21,English,Australia,1996,,46
19,75,45,0,Bill Martone,Animation|Comedy|Drama|Fantasy|Sci-Fi,claim in title|exclamation point in title|punctuation in title|reference to babe ruth|sex,http://www.imdb.com/title/tt0119346/?ref_=fn_tt_tt_1,21,English,USA,1997,1.85,178
43,78,7,142,Anne Archer,Drama|Mystery|Thriller,female protagonist|murder|photographer|robbery|shot to death,http://www.imdb.com/title/tt0368089/?ref_=fn_tt_tt_1,64,English,USA,2004,1.85,98
206,90,52,224,Charlie Bewley,Drama|Romance,girlfriend|immigration|long distance relationship|parents|student visa,http://www.imdb.com/title/tt1758692/?ref_=fn_tt_tt_1,150,English,USA,2011,1.78,12000
,96,0,270,Steffinnie Phrommany,Horror,blood|teeth,http://www.imdb.com/title/tt1991199/?ref_=fn_tt_tt_1,2,English,USA,2015,16.0,85
29,92,99,181,Rosanna Arquette,Comedy|Music,drugs|music producer|rock music|title directed by female|vegetarian,http://www.imdb.com/title/tt0173390/?ref_=fn_tt_tt_1,22,English,UK,1999,,93
27,75,269,7,Clint Jordan,Comedy|Drama,absent father|asian american|friendship between men|motel|mother son relationship,http://www.imdb.com/title/tt0436607/?ref_=fn_tt_tt_1,11,Cantonese,USA,2005,1.85,62
162,99,261,461,Gus Van Sant,Drama|Thriller,cocaine|homosexual|penis|psychopath|pubic hair,http://www.imdb.com/title/tt2292959/?ref_=fn_tt_tt_1,87,English,USA,2013,2.35,0
11,58,,250,James Norton,Crime|Drama,caravan|police|police sergeant|tied to a chair|yorkshire,http://www.imdb.com/title/tt3428912/?ref_=fn_tt_tt_1,59,English,UK,,16.0,10000
26,86,5,41,Flaco Navaja,Drama,dominican|drug dealer|prison|single mother|teenage pregnancy,http://www.imdb.com/title/tt0389235/?ref_=fn_tt_tt_1,15,English,USA,2004,,122
85,92,337,22,Natalie Canerday,Drama|Thriller,bare chested male|half brother|indifference|shotgun|violence,http://www.imdb.com/title/tt0952682/?ref_=fn_tt_tt_1,32,English,USA,2007,2.35,773
77,101,17,289,Luke Mably,Mystery|Thriller,band aid|hairpin|one day|single set production|unsubtitled foreign language,http://www.imdb.com/title/tt1258197/?ref_=fn_tt_tt_1,120,English,UK,2009,2.35,14000
8,81,0,5,Samantha Buck,Sci-Fi,future|nonlinear timeline|time travel|title directed by female|writer,http://www.imdb.com/title/tt0127302/?ref_=fn_tt_tt_1,7,English,USA,1997,1.85,67
5,93,7,73,Mark Hengst,Drama|Musical,church|competition|high school|new school|pastor,http://www.imdb.com/title/tt1270792/?ref_=fn_tt_tt_1,18,English,USA,2008,1.85,777
3,95,1000,3,Lorne Cardinal,Drama,,http://www.imdb.com/title/tt1360826/?ref_=fn_tt_tt_1,8,English,Canada,2010,1.78,141
66,107,63,76,Marty Lindsey,Action|Drama|Fantasy|Sci-Fi,dream|self destructiveness|storyteller|time paradox|workaholic,http://www.imdb.com/title/tt1071804/?ref_=fn_tt_tt_1,215,English,USA,2009,1.78,11000
4,98,3,104,Derek Brandon,Drama|Family,animal in title|christmas|farm|michigan|rabbit,http://www.imdb.com/title/tt1640714/?ref_=fn_tt_tt_1,10,English,USA,2010,,0
,35,2,152,Kate Flannery,Comedy|Short,mockumentary|single camera|subtle comedy,http://www.imdb.com/title/tt1003002/?ref_=fn_tt_tt_1,,English,USA,2007,,0
15,108,32,180,June Lockhart,Crime|Drama,breasts|female frontal nudity|female rear nudity|incest|voyeur,http://www.imdb.com/title/tt0082122/?ref_=fn_tt_tt_1,18,English,USA,1982,1.85,76
1,66,0,0,Steve Duin,Documentary,,http://www.imdb.com/title/tt3564748/?ref_=fn_tt_tt_1,1,English,USA,2013,,53
12,95,7,89,Brit Morgan,Horror|Thriller,two word title,http://www.imdb.com/title/tt2363439/?ref_=fn_tt_tt_1,28,English,USA,2012,,519
,99,45,224,Campbell Scott,Fantasy|Romance,antique|desk|letter|love|time travel,http://www.imdb.com/title/tt0140340/?ref_=fn_tt_tt_1,56,English,USA,1998,1.33,515
1,108,431,3,Dana Blackstone,Family,,http://www.imdb.com/title/tt3421204/?ref_=fn_tt_tt_1,1,English,USA,2014,,71
6,90,30,670,Robert Davi,Documentary,independent film,http://www.imdb.com/title/tt2559658/?ref_=fn_tt_tt_1,2,English,USA,2014,,199
48,151,54,6,Renée Adorée,Drama|Romance|War,chewing gum|climbing a tree|france|translation problems|world war one,http://www.imdb.com/title/tt0015624/?ref_=fn_tt_tt_1,45,,USA,1925,1.33,226
2,83,12,29,Jacob Zachar,Comedy,amateur|circus|clown|unconsciousness|urination,http://www.imdb.com/title/tt0469690/?ref_=fn_tt_tt_1,1,English,USA,2006,,72
17,108,0,142,Brock Baker,Comedy|Music|Romance,,http://www.imdb.com/title/tt2290113/?ref_=fn_tt_tt_1,2,English,USA,2013,1.85,231
225,92,0,146,James Lance,Action|Biography|Crime|Drama,male full frontal nudity|prison|prisoner|solitary confinement|violence,http://www.imdb.com/title/tt1172570/?ref_=fn_tt_tt_1,145,English,UK,2008,1.85,22000
5,105,7,494,Vivian Lamolli,Adventure|Drama|Fantasy|Thriller|Western,arizona|gambling|gunfighter|poker game|year 1879,http://www.imdb.com/title/tt3210710/?ref_=fn_tt_tt_1,4,English,USA,2015,,244
22,86,15,0,Donald Austin,Documentary,abandoned building|detroit michigan|firefighter|michigan|urban setting,http://www.imdb.com/title/tt1781784/?ref_=fn_tt_tt_1,6,English,USA,2012,2.35,801
38,106,0,131,Josh Hamilton,Drama,hot dog bun|needle|new york|rat|tourist,http://www.imdb.com/title/tt0182508/?ref_=fn_tt_tt_1,73,English,USA,2000,1.85,72
21,93,0,0,Nancy Ison,Comedy|Drama,female frontal nudity|female nudity|lesbian sex|lesbianism|sex,http://www.imdb.com/title/tt0168192/?ref_=fn_tt_tt_1,5,English,USA,1969,1.37,17
67,80,7,21,Cecil Kellaway,Adventure|Horror|Sci-Fi,arctic|beast|dinosaur|monster|rhedosaurus,http://www.imdb.com/title/tt0045546/?ref_=fn_tt_tt_1,88,English,USA,1953,1.37,465
69,127,130,51,Robert J. Wilke,Adventure|Drama|Family|Fantasy|Sci-Fi,captain|expedition|sea|submarine|whale,http://www.imdb.com/title/tt0046672/?ref_=fn_tt_tt_1,108,English,USA,1954,1.37,0
208,93,750,28,Steve Bisley,Action|Adventure|Sci-Fi|Thriller,biker|motorcycle|motorcycle gang|post apocalypse|woman wearing only a man's shirt,http://www.imdb.com/title/tt0079501/?ref_=fn_tt_tt_1,303,English,Australia,1979,2.35,10000
