num_critic_for_reviews,actor_3_facebook_likes,num_user_for_reviews,content_rating,aspect_ratio
31,697,28,R,1.85
35,383,66,R,1.85
371,99,455,PG-13,1.85
133,15,108,R,1.85
13,227,44,R,2.35
9,904,47,TV-MA,1.78
56,14,55,R,
191,78,48,Not Rated,2.35
80,141,82,Unrated,2.35
19,686,80,R,1.78
19,854,47,R,1.85
,483,2,PG-13,
38,816,127,TV-PG,1.78
44,394,60,R,
3,388,1,PG,
6,541,15,PG,
,601,3,TV-PG,1.78
64,179,47,R,2.35
8,126,3,R,
64,826,153,PG,2.35
2,723,2,,
,668,,,
35,1000,4,PG-13,
21,538,14,,
99,4,27,R,1.85
115,269,26,,1.85
104,263,309,R,1.85
195,537,112,R,2.35
303,581,1516,R,2.35
122,427,123,R,2.35
359,41,219,R,2.35
130,339,69,R,1.85
64,621,70,PG-13,1.85
13,316,11,Unrated,
159,14,258,X,1.85
54,372,106,R,2.35
440,428,475,R,1.85
7,20,6,,
4,329,12,R,
1,0,1,,
96,16,182,PG-13,1.85
8,413,8,R,2.35
87,9,21,R,1.85
10,140,3,,
121,577,65,Not Rated,1.85
43,3,22,,1.85
45,542,133,R,1.85
36,83,140,R,1.85
84,239,197,R,1.66
118,811,228,X,1.85
42,68,115,Unrated,1.66
202,346,454,R,2.35
5,298,27,,16.0
120,126,208,R,1.85
234,167,1916,R,1.37
17,37,55,Approved,1.37
35,4,40,PG-13,2.0
48,491,89,R,1.85
49,402,125,PG,2.35
283,701,2110,R,2.35
16,122,14,PG-13,2.35
54,3,68,R,1.85
92,391,199,R,1.85
159,844,37,R,1.85
202,38,131,R,2.35
50,9,17,,1.85
54,798,84,R,1.85
98,76,26,R,2.35
92,327,40,R,2.35
112,0,206,R,1.85
138,329,137,R,2.35
9,62,7,,
149,425,760,R,1.85
5,212,4,PG,1.78
39,753,61,PG,1.85
39,12,178,,2.35
2,505,74,TV-G,1.33
29,261,32,R,
111,422,99,R,2.35
149,100,346,R,2.35
90,93,25,R,2.35
149,8,346,PG-13,2.35
12,106,49,,2.35
64,7,62,,2.35
256,394,186,PG,2.35
57,578,726,TV-G,1.33
8,551,23,,16.0
50,130,48,PG-13,1.85
232,16,310,R,1.85
63,327,148,R,2.35
75,95,152,R,1.85
274,231,159,R,2.35
284,56,580,Unrated,1.85
265,11,1848,R,1.85
154,629,491,PG,1.37
44,132,107,Not Rated,1.37
314,748,657,PG-13,2.35
153,80,522,R,2.35
256,428,200,PG-13,2.35
123,687,286,R,1.66
46,555,11,,1.78
203,358,300,R,1.85
34,116,50,PG,2.35
149,326,131,R,2.35
20,69,35,Approved,2.35
9,904,47,TV-MA,1.78
323,712,291,R,1.85
172,133,333,R,2.35
111,145,301,Approved,2.35
74,428,486,Unrated,1.85
161,400,68,PG-13,2.35
548,127,836,R,1.85
177,405,248,PG-13,1.85
230,567,1368,PG-13,2.35
27,69,38,R,1.85
22,585,10,R,1.85
157,407,215,R,2.35
70,268,121,Approved,1.66
125,710,156,R,1.85
10,27,37,R,1.85
160,255,136,R,2.35
300,143,308,R,2.35
69,511,48,R,1.85
143,968,425,R,1.85
50,148,89,M,1.85
46,242,58,R,1.85
51,960,177,R,1.85
163,296,390,R,1.85
52,0,62,R,1.85
40,237,78,R,1.85
50,611,202,R,1.85
45,545,85,R,1.85
121,90,76,R,2.55
114,71,91,R,2.35
270,939,287,R,1.85
116,161,151,PG,1.85
115,0,69,PG-13,2.35
15,324,35,R,1.85
122,322,71,PG-13,2.35
35,842,20,R,2.35
41,444,113,R,1.85
31,687,70,R,1.78
332,226,110,Not Rated,1.85
232,221,118,R,2.35
43,159,53,PG,2.35
68,195,38,R,1.85
51,209,93,Unrated,1.85
33,428,31,R,1.85
26,69,7,PG-13,2.35
109,67,137,R,2.35
34,70,26,R,1.85
31,15,26,R,
141,748,87,R,2.35
19,476,40,R,2.35
64,9,38,R,1.85
215,65,141,R,2.35
5,218,47,TV-G,1.33
12,599,28,R,1.85
70,9,10,Unrated,2.35
46,2000,42,R,2.35
135,641,97,R,2.35
38,150,50,R,2.35
8,22,3,,
34,69,129,PG,2.35
36,5,20,R,2.35
35,4,53,Passed,1.2
6,183,19,,1.85
39,359,29,R,2.35
182,35,104,R,2.35
14,104,21,R,
3,271,4,TV-G,1.78
3,111,15,PG,
1,635,1,PG-13,2.35
62,94,167,Approved,1.66
161,682,317,R,1.85
157,248,706,G,1.37
31,196,10,PG-13,2.35
53,288,67,Approved,2.35
1,601,6,R,1.85
21,83,90,Passed,1.37
246,106,148,R,1.85
42,24,35,R,2.35
78,388,90,R,2.35
41,48,54,Approved,1.37
61,64,14,R,2.35
112,480,172,R,1.85
349,767,332,PG-13,2.35
55,395,147,TV-PG,4.0
88,77,334,X,1.85
122,121,174,R,1.85
134,318,427,PG,1.85
11,6,14,R,1.33
20,624,157,R,1.85
28,556,96,R,1.85
22,496,92,TV-14,16.0
95,178,118,R,1.85
31,242,62,R,1.85
79,188,128,Approved,2.35
25,75,83,Not Rated,1.78
22,367,74,Not Rated,2.35
110,118,199,R,1.85
425,159,452,R,1.66
19,78,38,R,1.85
43,111,98,R,1.85
127,248,229,R,2.35
262,50,231,R,2.35
184,83,419,Unrated,1.85
33,108,52,R,1.85
252,199,537,X,1.85
31,542,131,PG-13,1.85
139,689,236,TV-14,1.78
39,10,494,R,1.85
337,4,199,PG-13,1.85
30,681,24,R,1.85
265,536,207,R,2.35
50,405,53,R,1.85
50,660,135,PG-13,2.35
9,131,15,PG-13,1.85
15,31,11,,1.85
5,467,20,R,1.37
1,119,4,,
4,460,12,,2.35
44,739,55,PG-13,
6,0,2,,
17,50,10,R,1.78
7,597,10,Not Rated,1.85
9,322,13,,2.35
3,37,18,R,2.35
55,605,102,PG,1.85
169,34,331,G,1.85
290,969,225,R,1.85
10,43,13,Not Rated,2.35
159,539,72,R,1.66
535,535,731,R,2.4
214,40,749,R,1.85
47,78,160,R,1.85
17,80,13,PG-13,
85,303,73,R,1.85
349,26,249,R,2.35
109,378,458,PG,1.85
60,377,174,PG-13,1.85
101,129,75,R,1.85
1,491,3,,16.0
16,405,18,R,
212,0,86,PG-13,2.35
215,449,447,R,1.85
107,332,214,Approved,1.85
