actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,movie_title,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,content_rating,budget,movie_facebook_likes
581,Tom Arnold,40000,34872293,Freddy's Dead: The Final Nightmare ,0,dark comedy|dream|freddy krueger|nightmare|serial murder,http://www.imdb.com/title/tt0101917/?ref_=fn_tt_tt_1,252,R,8500000,963
592,Bruce Dern,9000,34468224,Monster ,2,beach|female criminal|hooker|lesbian|prostitute,http://www.imdb.com/title/tt0340855/?ref_=fn_tt_tt_1,533,R,4500000,0
51,Robert J. Wilke,617,,20,000 Leagues Under the Sea ,0,captain|expedition|sea|submarine|whale,http://www.imdb.com/title/tt0046672/?ref_=fn_tt_tt_1,108,Approved,5000000,0
332,Gloria Sandoval,510,32453345,Paranormal Activity: The Marked Ones ,0,apartment|blood|demonic possession|neighbor|pentagram,http://www.imdb.com/title/tt2473682/?ref_=fn_tt_tt_1,155,R,5000000,10000
452,Anne Bancroft,12000,,The Elephant Man ,1,curiosity|exploitation|freak|hospital|physical deformity,http://www.imdb.com/title/tt0080678/?ref_=fn_tt_tt_1,356,PG,5000000,9000
896,Jennifer Garner,11000,27296514,Dallas Buyers Club ,0,drugs|fda|gay community|hiv|homophobia,http://www.imdb.com/title/tt0790636/?ref_=fn_tt_tt_1,340,R,5000000,65000
801,Mark Duplass,10000,25799043,The Lazarus Effect ,0,electrocuted|experiment|hell|serum|university,http://www.imdb.com/title/tt2918436/?ref_=fn_tt_tt_1,126,PG-13,3300000,0
379,Thomas Lennon,716,25530884,Memento ,0,flashback|memory|murder|short term memory|telephone,http://www.imdb.com/title/tt0209144/?ref_=fn_tt_tt_1,2067,R,9000000,40000
202,Rory Cochrane,972,27689474,Oculus ,0,home office|mirror|released from a mental hospital|trauma|video camera,http://www.imdb.com/title/tt2388715/?ref_=fn_tt_tt_1,339,R,5000000,23000
657,Jason Mewes,1000,24138847,Clerks II ,3,fast food|fast food restaurant|new jersey|quick stop|restaurant,http://www.imdb.com/title/tt0424345/?ref_=fn_tt_tt_1,472,R,5000000,0
34,Gary Lewis,838,21994911,Billy Elliot ,0,audition|ballet|boxing|miner|miners strike,http://www.imdb.com/title/tt0249462/?ref_=fn_tt_tt_1,433,R,5000000,0
424,Liam James,7000,21501098,The Way Way Back ,1,awkward boy|shy kid|summer|vacation|water park,http://www.imdb.com/title/tt1727388/?ref_=fn_tt_tt_1,216,PG-13,5000000,22000
287,Tisha Campbell-Martin,901,19281235,House Party 2 ,0,college|misogyny|money|new friend|party,http://www.imdb.com/title/tt0102065/?ref_=fn_tt_tt_1,11,R,5000000,232
75,Jack Thompson,492,,The Man from Snowy River ,0,australia|brumby|ranch|stallion|twin,http://www.imdb.com/title/tt0084296/?ref_=fn_tt_tt_1,56,PG,3500000,0
73,Constance Shulman,2000,19421271,Doug's 1st Movie ,1,dance|friend|monster|reference to batman|valentine,http://www.imdb.com/title/tt0187819/?ref_=fn_tt_tt_1,18,G,5000000,122
77,Todd Allen,205,20733485,The Apostle ,1,church|louisiana|minister|preacher|texas,http://www.imdb.com/title/tt0118632/?ref_=fn_tt_tt_1,157,PG-13,5000000,1000
157,Xander Berkeley,977,,Mommie Dearest ,1,abusive mother|adopted daughter|borderline personality disorder|perfection|sadistic cruelty,http://www.imdb.com/title/tt0082766/?ref_=fn_tt_tt_1,161,R,5000000,0
1000,Adam Scott,11000,24809547,Our Idiot Brother ,1,art model|farmer|jail|nude model|three sisters,http://www.imdb.com/title/tt1637706/?ref_=fn_tt_tt_1,115,R,5000000,11000
388,Tony Curran,882,19097994,Race ,0,1930s|athlete|nazi germany|olympics|track and field,http://www.imdb.com/title/tt3499096/?ref_=fn_tt_tt_1,49,PG-13,,0
498,Monica Calhoun,1000,23031390,The Players Club ,9,catfight|dominatrix|rape|spanking|stripper,http://www.imdb.com/title/tt0119905/?ref_=fn_tt_tt_1,26,R,4500000,575
697,Andrew Keegan,1000,16017403,O ,2,basketball|basketball player|boarding school|love|shakespeare's othello,http://www.imdb.com/title/tt0184791/?ref_=fn_tt_tt_1,153,R,5000000,0
161,Edwin Hodge,1000,21197315,As Above, So Below ,0,archeologist|catacomb|found footage|paris france|philosopher's stone,http://www.imdb.com/title/tt2870612/?ref_=fn_tt_tt_1,211,R,5000000,14000
467,Cameron Mills,1000,17382982,Addicted ,0,adultery|attraction|lust|obsession|temptation,http://www.imdb.com/title/tt2205401/?ref_=fn_tt_tt_1,33,R,5000000,0
426,Lynn Whitfield,2000,14821531,Eve's Bayou ,2,doctor|louisiana|secret|title directed by female|witchcraft,http://www.imdb.com/title/tt0119080/?ref_=fn_tt_tt_1,209,R,6000000,599
423,Hunter Parrish,17000,18656400,Still Alice ,1,alzheimer's disease|bechdel test passed|linguistics professor|new york city|reference to angels in america the play,http://www.imdb.com/title/tt3316960/?ref_=fn_tt_tt_1,195,PG-13,5000000,45000
422,Peter Ustinov,535,,The Egyptian ,0,afterlife|egypt|pharaoh|princess|pyramid,http://www.imdb.com/title/tt0046949/?ref_=fn_tt_tt_1,67,Approved,5000000,376
142,Lindsay Wagner,13000,,Nighthawks ,2,bomb|new york city|partner|shooting|terrorist,http://www.imdb.com/title/tt0082817/?ref_=fn_tt_tt_1,107,R,5000000,0
65,Peter Mark Richman,935,14343976,Friday the 13th Part VIII: Jason Takes Manhattan ,0,cult film|friday the thirteenth|hockey mask|jason voorhees|murder spree,http://www.imdb.com/title/tt0097388/?ref_=fn_tt_tt_1,291,R,5000000,1000
249,Louis Mandylor,567,241437427,My Big Fat Greek Wedding ,3,baptism|greek|greek restaurant|prejudice|travel agency,http://www.imdb.com/title/tt0259446/?ref_=fn_tt_tt_1,756,PG,5000000,5000
192,Heather Morris,11000,14123773,Spring Breakers ,4,kissing a dead body|repeated dialogue|sex in pool|spring break|twins,http://www.imdb.com/title/tt2101441/?ref_=fn_tt_tt_1,561,R,5000000,25000
141,Kim Darby,742,15126948,Halloween: The Curse of Michael Myers ,0,halloween|michael myers|nudity|returning character with different actor|slasher flick,http://www.imdb.com/title/tt0113253/?ref_=fn_tt_tt_1,335,R,5000000,0
19,Daniel Giménez Cacho,269,13622333,Y Tu Mamá También ,1,beach|cleaning a swimming pool|male male kiss|mexico|on the road,http://www.imdb.com/title/tt0245574/?ref_=fn_tt_tt_1,385,R,2000000,0
358,Dylan Moran,605,13464388,Shaun of the Dead ,6,british horror|pub|record collection|zombie|zombie apocalypse,http://www.imdb.com/title/tt0365748/?ref_=fn_tt_tt_1,859,R,4000000,19000
664,Randy Wayne,1000,13350177,The Haunting of Molly Hartley ,5,18th birthday|birthday|community center|resurrection|teenager,http://www.imdb.com/title/tt1045655/?ref_=fn_tt_tt_1,113,PG-13,5000000,562
111,Clifton James,11000,13269963,Lone Star ,2,father son relationship|interracial relationship|neo western|sheriff|texas,http://www.imdb.com/title/tt0116905/?ref_=fn_tt_tt_1,173,R,5000000,0
101,Kathleen Kinmont,742,17768000,Halloween 4: The Return of Michael Myers ,0,halloween|michael myers|murder|niece|october,http://www.imdb.com/title/tt0095271/?ref_=fn_tt_tt_1,374,R,5000000,0
85,Deborah Foreman,690,12947763,April Fool's Day ,0,april fool's day|island|mansion|psycho|secret,http://www.imdb.com/title/tt0090655/?ref_=fn_tt_tt_1,125,R,5000000,0
551,Daniel Stern,801,14100000,Diner ,6,baltimore colts|diner|marriage|salesman|wedding,http://www.imdb.com/title/tt0083833/?ref_=fn_tt_tt_1,87,R,5000000,0
268,William Sanderson,926,12200000,Lone Wolf McQuade ,0,drugs|martial arts|texas|texas ranger|weapon,http://www.imdb.com/title/tt0085862/?ref_=fn_tt_tt_1,65,PG,5000000,0
205,Ryan Robbins,520,17683670,Apollo 18 ,0,cosmonaut|footprint|found footage|moon|secret mission,http://www.imdb.com/title/tt1772240/?ref_=fn_tt_tt_1,323,PG-13,5000000,0
260,Mary Lynn Rajskub,968,12055108,Sunshine Cleaning ,0,business|crime scene cleanup|private school|school|sister sister relationship,http://www.imdb.com/title/tt0862846/?ref_=fn_tt_tt_1,134,R,8000000,0
13,Claire Geare,155,27285953,No Escape ,0,asia|fictional country|hotel|rebellion|revolution,http://www.imdb.com/title/tt1781922/?ref_=fn_tt_tt_1,214,R,5000000,16000
826,John Amos,21000,,The Beastmaster ,0,breasts|critically acclaimed|female frontal nudity|psychotronic film|sword and sorcery,http://www.imdb.com/title/tt0083630/?ref_=fn_tt_tt_1,87,PG,8000000,0
70,George Sanders,746,,Solomon and Sheba ,2,king|pharaoh|queen|queen of sheba|tribe,http://www.imdb.com/title/tt0053290/?ref_=fn_tt_tt_1,33,,5000000,270
355,Mike Epps,729,11675178,Fifty Shades of Black ,4,color in title|parody|reference to cuba gooding jr|reference to netflix|written by star,http://www.imdb.com/title/tt4667094/?ref_=fn_tt_tt_1,53,R,5000000,11000
409,Jenifer Lewis,849,10572742,Not Easily Broken ,1,african american protagonist|based on novel|title spoken by character,http://www.imdb.com/title/tt0795438/?ref_=fn_tt_tt_1,21,PG-13,8000000,738
99,Helen Hayes,998,,A Farewell to Arms ,1,1910s|ambulance driver|italy|lake|nurse,http://www.imdb.com/title/tt0022879/?ref_=fn_tt_tt_1,46,Unrated,800000,213
503,Brandy Norwood,927,9658370,The Perfect Match ,6,,http://www.imdb.com/title/tt4871980/?ref_=fn_tt_tt_1,9,R,5000000,740
44,Colleen O'Shaughnessey,93,9628751,Digimon: The Movie ,0,based on video game|box office hit|computer|digimon|internet,http://www.imdb.com/title/tt0259974/?ref_=fn_tt_tt_1,65,PG,5000000,207
797,Patrick Fugit,3000,8786715,Saved! ,5,christian|jewish|pastor|school|virginity,http://www.imdb.com/title/tt0332375/?ref_=fn_tt_tt_1,324,PG-13,5000000,0
21,Stéphane Rousseau,150,3432342,The Barbarian Invasions ,2,cancer|dying|friend|money|socialist,http://www.imdb.com/title/tt0338135/?ref_=fn_tt_tt_1,166,R,6000000,0
136,Denholm Elliott,559,,Robin and Marian ,10,crusades|friar|robin hood|sheriff|sheriff of nottingham,http://www.imdb.com/title/tt0075147/?ref_=fn_tt_tt_1,90,PG,5000000,672
560,Kerr Smith,847,6755271,The Forsaken ,4,flashing breasts|hitchhiker|vampire|vampire hunter|virus,http://www.imdb.com/title/tt0245120/?ref_=fn_tt_tt_1,131,R,5000000,327
576,Carl Weathers,11000,,Force 10 from Navarone ,2,colonel|mission|partisan|spy|traitor,http://www.imdb.com/title/tt0077572/?ref_=fn_tt_tt_1,80,PG,5000000,729
448,Gedde Watanabe,859,6157157,UHF ,1,gambling|imagination|television|television station|tv show,http://www.imdb.com/title/tt0098546/?ref_=fn_tt_tt_1,198,PG-13,5000000,0
556,Joel David Moore,2000,6088249,Grandma's Boy ,0,co worker|game tester|loss of virginity|roommate|snack,http://www.imdb.com/title/tt0456554/?ref_=fn_tt_tt_1,202,R,,0
572,Kevin Corrigan,1000,5480318,Slums of Beverly Hills ,0,flatulence|menstrual blood|nomad|nursing school|title directed by female,http://www.imdb.com/title/tt0120831/?ref_=fn_tt_tt_1,79,R,5000000,462
392,Woody Strode,973,,Once Upon a Time in the West ,1,gang|gun|harmonica|killing|woman in bathtub,http://www.imdb.com/title/tt0064116/?ref_=fn_tt_tt_1,565,PG-13,5000000,10000
334,Faizon Love,4000,5308707,Made ,2,friendship|loudmouth|money laundering|new york city|stripper,http://www.imdb.com/title/tt0227005/?ref_=fn_tt_tt_1,165,R,5000000,393
372,Matt Berry,18000,5009677,Moon ,0,computer|contract|earth|moon|solitude,http://www.imdb.com/title/tt1182345/?ref_=fn_tt_tt_1,485,R,5000000,47000
701,Jami Gertz,2000,4328294,Keeping Up with the Steins ,0,bar mitzvah|carried in a chair|hebrew|party|rite of passage,http://www.imdb.com/title/tt0415949/?ref_=fn_tt_tt_1,41,PG-13,,249
0,Guillaume Denaiffe,55,4074023,Sea Rex 3D: Journey to a Prehistoric World ,0,3d|imax|plesiosaur|sea|water,http://www.imdb.com/title/tt1529567/?ref_=fn_tt_tt_1,4,,5000000,89
395,Sarah Polley,990,4306697,The Sweet Hereafter ,0,anger|bus|child|lawyer|school,http://www.imdb.com/title/tt0120255/?ref_=fn_tt_tt_1,196,R,5000000,920
32,Michael Lonsdale,186,3950029,Of Gods and Men ,0,catholic church|community|monastery|monk|terrorist,http://www.imdb.com/title/tt1588337/?ref_=fn_tt_tt_1,89,PG-13,4000000,0
39,Freddy Rodríguez,25000,4040588,Bottle Shock ,0,airport|california|flat tire|overalls|wine,http://www.imdb.com/title/tt0914797/?ref_=fn_tt_tt_1,89,PG-13,5000000,0
83,Tim Thomerson,922,,Jekyll and Hyde... Together Again ,0,breasts growing|coors light|drugs|hospital|spinning in grave,http://www.imdb.com/title/tt0084171/?ref_=fn_tt_tt_1,32,R,5000000,323
88,Jed Brophy,14000,3049135,Heavenly Creatures ,2,fantasy life|friend|friendship|love|teenage crush,http://www.imdb.com/title/tt0110005/?ref_=fn_tt_tt_1,265,R,5000000,0
473,Bobby Batson,4000,4700361,90 Minutes in Heaven ,0,heaven|hospital|praying|pronounced dead|recovery,http://www.imdb.com/title/tt4337690/?ref_=fn_tt_tt_1,29,PG-13,5000000,0
939,Scott Takeda,8000,2711210,Everything Must Go ,1,alcoholic|beer|bicycle|new neighbor|yard sale,http://www.imdb.com/title/tt1531663/?ref_=fn_tt_tt_1,86,R,5000000,0
102,Ryan O'Neal,624,1980338,Zero Effect ,2,blackmail|client|private detective|private investigator|tycoon,http://www.imdb.com/title/tt0120906/?ref_=fn_tt_tt_1,151,R,5000000,507
360,Jennifer Jason Leigh,23000,1082044,The Machinist ,0,alienation|conscience|insomnia|paranoia|urban gothic,http://www.imdb.com/title/tt0361862/?ref_=fn_tt_tt_1,458,R,5000000,21000
145,Jane Adams,722,1100000,Light Sleeper ,0,bare breasts|drugs|existentialism|new york city|redemption,http://www.imdb.com/title/tt0102307/?ref_=fn_tt_tt_1,39,R,5000000,247
688,Paz Vega,10000,2445646,Kill the Messenger ,1,based on true story|cia|cocaine|journalist|smear campaign,http://www.imdb.com/title/tt1216491/?ref_=fn_tt_tt_1,99,R,5000000,13000
192,Jon Tenney,967,2221809,Rabbit Hole ,0,car|comic book|comic book artist|iphone|memory,http://www.imdb.com/title/tt0935075/?ref_=fn_tt_tt_1,144,PG-13,5000000,0
600,Mia Kirshner,3000,296665,Party Monster ,1,drug dealer|drugs|gay|homosexual|party,http://www.imdb.com/title/tt0320244/?ref_=fn_tt_tt_1,158,R,5000000,0
233,Mark Webber,727,3219029,Green Room ,0,murder|neo nazi|punk band|skinhead|suspense,http://www.imdb.com/title/tt4062536/?ref_=fn_tt_tt_1,125,R,5000000,10000
276,Tim Russ,740,,The Oh in Ohio ,0,marriage|orgasm|school|sex|swimming,http://www.imdb.com/title/tt0422861/?ref_=fn_tt_tt_1,56,R,5000000,255
361,Greg Germann,578,830210,Atlas Shrugged: Who Is John Galt? ,0,box office flop|critically bashed|economy|individual versus society|rescue,http://www.imdb.com/title/tt2800038/?ref_=fn_tt_tt_1,56,PG-13,5000000,0
65,Darryl Cox,387,1040879,Bottle Rocket ,0,caper|escapade|motel|robbery|texas,http://www.imdb.com/title/tt0115734/?ref_=fn_tt_tt_1,184,R,7000000,0
977,Joe Mantegna,10000,326308,Albino Alligator ,3,bar|box office flop|hostage|new orleans louisiana|police,http://www.imdb.com/title/tt0115495/?ref_=fn_tt_tt_1,69,R,5000000,225
14,Bhoomika Chawla,75,240425,Gandhi, My Father ,0,africa|hindu|india|muslim|south africa,http://www.imdb.com/title/tt0459293/?ref_=fn_tt_tt_1,25,,,133
0,Megan Ambuhl Graner,6,228830,Standard Operating Procedure ,0,abu ghraib|abuse|prison|slow motion|torture,http://www.imdb.com/title/tt0896866/?ref_=fn_tt_tt_1,22,R,,489
51,Don Gordon,311,,Out of the Blue ,1,explosion|hitchhiking|punk|trauma|truck driver,http://www.imdb.com/title/tt0081291/?ref_=fn_tt_tt_1,27,R,2200000,274
440,Tyler Labine,948,223615,Tucker and Dale vs Evil ,1,cabin|chainsaw|college kid|hillbilly|vacation,http://www.imdb.com/title/tt1465522/?ref_=fn_tt_tt_1,200,R,,49000
940,Ellen Burstyn,3000,124720,Lovely, Still ,0,christmas|fable|old man,http://www.imdb.com/title/tt1150947/?ref_=fn_tt_tt_1,15,PG,5000000,777
100,Paul Fix,197,,Tycoon ,1,engineer|ethics|mountain|railroad|south america,http://www.imdb.com/title/tt0039927/?ref_=fn_tt_tt_1,23,Approved,3209000,44
697,John Heard,1000,99147,Desert Blue ,3,cola|desert|ice cream cone|teenage girl|vomiting,http://www.imdb.com/title/tt0126261/?ref_=fn_tt_tt_1,28,R,2000000,69
383,Marc Trottier,889,,Decoys ,0,breasts|campus|college|tentacle|virginity,http://www.imdb.com/title/tt0357585/?ref_=fn_tt_tt_1,66,R,5000000,174
99,Patch Darragh,432,65069140,The Visit ,,farm|handheld camera|impostor|rap|rock paper scissors,http://www.imdb.com/title/tt3567288/?ref_=fn_tt_tt_1,455,PG-13,5000000,27000
15,Daniel Stewart Sherman,343,65087,Redacted ,0,blood splatter|iraq|murder|rape|soldier,http://www.imdb.com/title/tt0937237/?ref_=fn_tt_tt_1,108,R,5000000,559
227,Jacqueline Bisset,811,16066,Fascination ,0,death|love|marriage|secret|suspicion,http://www.imdb.com/title/tt0305632/?ref_=fn_tt_tt_1,44,R,5000000,40
904,Dylan Minnette,1000,,Saving Grace             ,1,catholic|death row|inmate|oklahoma city|sexual promiscuity,http://www.imdb.com/title/tt0830900/?ref_=fn_tt_tt_1,47,TV-MA,,634
14,Sandra Staggs,46,,Area 51 ,0,alien|alien abduction|conspiracy|secret base|ufo,http://www.imdb.com/title/tt1519461/?ref_=fn_tt_tt_1,55,R,5000000,0
78,Tony Corvillo,331,,Sleep Tight ,0,apartment|concierge|girl|hitchcockian|stalking,http://www.imdb.com/title/tt1437358/?ref_=fn_tt_tt_1,48,Not Rated,5000000,0
141,Doug Bradley,570,,The Cottage ,0,countryside|deformed|farmer|gangster|kidnapping,http://www.imdb.com/title/tt0465430/?ref_=fn_tt_tt_1,82,Unrated,2500000,639
686,Callum Blue,866,,Dead Like Me: Life After Death ,1,african american policeman|police|policeman|policewoman|vomiting,http://www.imdb.com/title/tt1079444/?ref_=fn_tt_tt_1,80,R,5000000,887
854,John Stamos,3000,,Farce of the Penguins ,0,flatulence|march|penguin|south pole|spoof,http://www.imdb.com/title/tt0488539/?ref_=fn_tt_tt_1,47,R,,419
483,Patricia Neal,695,,Flying By ,6,,http://www.imdb.com/title/tt1131732/?ref_=fn_tt_tt_1,2,PG-13,,38
816,Dulé Hill,1000,,Psych             ,2,best friend|friend|police|police department|psychic,http://www.imdb.com/title/tt0491738/?ref_=fn_tt_tt_1,127,TV-PG,,0
394,Felicity Huffman,745,37440,Rudderless ,1,demo tape|directed by cast member|grieving father|guitar|guitar player,http://www.imdb.com/title/tt1798243/?ref_=fn_tt_tt_1,60,R,5000000,0
388,Cyndi Lauper,979,,Henry & Me ,2,bare butt|baseball|children|new york yankees|surrealism,http://www.imdb.com/title/tt1460798/?ref_=fn_tt_tt_1,1,PG,10000000,165
541,Jon Heder,989,,Christmas Eve ,7,,http://www.imdb.com/title/tt3703148/?ref_=fn_tt_tt_1,15,PG,,0
601,Esai Morales,708,,We Have Your Husband ,1,abduction|based on true story|mexico,http://www.imdb.com/title/tt2063015/?ref_=fn_tt_tt_1,3,TV-PG,5000000,58
179,Irène Jacob,12000,,Dying of the Light ,1,cia|individualism|mental illness|religion|revenge,http://www.imdb.com/title/tt1274586/?ref_=fn_tt_tt_1,47,R,5000000,0
