director_facebook_likes,actor_1_facebook_likes,genres,plot_keywords,language,country,content_rating,budget,actor_2_facebook_likes,movie_facebook_likes
0,8000,Crime|Drama|Thriller,death|hostage|money|shot in the chest|shot in the heart,English,USA,R,27000000,698,0
31,783,Action|Comedy|Crime|Thriller,american in the uk|drug lord|drugs|gangster|organized crime,English,UK,R,28000000,132,0
541,22000,Comedy|Crime|Drama,gay interest|gay lead character|gay republican|homosexual|neighbor,English,USA,R,15000000,22000,0
212,1000,Crime|Horror|Mystery|Thriller,fbi|group|island|serial killer|training,English,USA,R,27000000,968,2000
272,22000,Comedy|Drama,actor|agent|beard|cannes|hollywood,English,USA,R,25000000,18000,845
278,844,Drama|Thriller,eiffel tower|nazi|police|ritual|stew,English,Canada,R,23000000,766,188
0,5,Drama|Musical|Romance,based on opera|evil|mozart|queen|walking wounded,English,France,,27000000,4,359
41,567,Action|Comedy|Crime,cell phone|hostage|mall|security guard|text messaging,English,USA,PG,26000000,402,0
70,2000,Comedy|Family|Fantasy|Music|Romance,body swap|camera shot of feet|foot closeup|reference to keith richards|reference to the rolling stones,English,USA,PG,26000000,528,0
0,7000,Comedy|Romance,40 year old|car accident|cheating on girlfriend|collection|porno movie,English,USA,R,26000000,966,0
108,1000,Comedy|Drama|Romance,actor|audition|muse|playwright|theater,English,USA,R,25000000,264,0
71,14000,Crime|Drama|Mystery|Thriller,drug dealer|ex cop|murder of wife|revenge|violence,English,USA,R,28000000,439,15000
425,743,Action|Comedy|Crime,astoria|kindergarten|kindergarten teacher|school|teacher,English,USA,PG-13,26000000,394,0
234,11000,Action|Comedy|Crime,murder|paranoia|process server|roach|stoner,English,USA,R,27000000,989,0
72,1000,Comedy|Drama|Romance,based on fairy tale|bechdel test passed|cinderella|fairy tale|leonardo da vinci,English,USA,PG-13,26000000,794,0
0,3000,Drama|Romance|Western,boss|cattle|cowboy|rancher|violence,English,USA,R,22000000,693,0
541,8000,Drama|Horror|Sci-Fi|Thriller,childhood trauma|death|medical student|memory|near death experience,English,USA,R,26000000,1000,0
,813,Comedy,alcohol|bad taste humour|crude humor|loser|self obsession,English,USA,TV-MA,,547,0
0,385,Drama|History|War,airborne troops|allies|operation market garden|panzer|paratrooper,English,USA,PG,26000000,232,0
0,332,Mystery|Thriller,airport|flight|hotel|hotel manager|plane,English,USA,PG-13,26000000,285,0
160,748,Horror|Thriller,car accident|death|freak accident|hospital|premonition,English,USA,R,26000000,439,0
0,1000,Adventure|Comedy|Crime|Music,baby|bank|blind prophet|convict|sirens,English,UK,PG-13,26000000,596,16000
124,2000,Action|Fantasy|Horror,angel|diner|faith|human race|religious faith,English,USA,R,26000000,850,0
0,12000,Comedy|Crime|Drama,american dream|bodybuilder|money|punch into the camera|reference to julia roberts,English,USA,R,26000000,412,43000
80,19000,Comedy|Drama|Romance,company|corporate takeover|executive|magazine|new boss,English,USA,PG-13,26000000,3000,736
906,2000,Action|Adventure|Comedy|Sci-Fi|Thriller,frozen time|stopped time|time freeze|watch|wristwatch,English,USA,PG,26000000,587,874
759,826,Action|Crime|Drama|Western,1880s|kiss|small town|table broken in fight|wild west,English,USA,PG-13,26000000,130,0
260,20000,Drama|Thriller,afghanistan|death of soldier|presumed dead|prisoner|war trauma,English,USA,R,26000000,15000,10000
8,1000,Action|Adventure|Comedy|Family|Romance|Sci-Fi,chase|evil scientist|gadget|mind control|tough girl,English,USA,PG,26000000,934,167
0,22000,Comedy|Romance,expecting|kiss|new year|new year's eve|singer,English,USA,PG-13,56000000,988,20000
49,11000,Drama|Mystery|Romance|Thriller,delaware|erotica|money|pursuit|sex scene,English,France,R,42000000,216,3000
160,771,Crime|Mystery|Thriller,mask|murder|newspaper|poem|serial killer,English,USA,R,26000000,570,35000
80,826,Comedy|Romance,mayor|pink panties|upskirt|white panties|yellow panties,English,USA,PG-13,26000000,590,260
5,1000,Action|Fantasy|Romance|Sci-Fi,cave|highlander|illusion|immortal|japan,English,Canada,PG-13,26000000,691,319
30,1000,Crime|Drama|Thriller,diamond|necklace|safecracker|wine|wine dealer,English,USA,R,22000000,854,145
2,642,Fantasy|Horror,apple|miner|mirror|necromancy|woods,English,USA,R,26000000,638,0
11000,11000,Comedy|Crime|Mystery|Romance,efficiency expert|insurance investigator|magician|scorpion|thief,English,USA,PG-13,26000000,893,826
737,15000,Comedy|Romance,health insurance|long delayed release|nail in the head|waitress|washington d.c.,English,USA,PG-13,26000000,980,0
0,442,Adventure|Family,dolphin|florida|florida keys|summer|vomiting,English,USA,PG,25530000,95,504
763,16000,Action|Mystery|Sci-Fi|Thriller,cancer|elderly man|funeral|medical|transhumanism,English,USA,PG-13,26000000,543,11000
353,883,Drama|Mystery|Romance|Thriller,death|diplomat|doctor|kenya|murder,English,UK,R,15000000,430,0
0,260,Drama,anti semitism|cult film|grindhouse|suffering|torture,Aramaic,USA,R,30000000,252,13000
0,49000,Comedy|Drama|Family|Romance,actor|based on novel|fancy restaurant|male actor playing a female character|party,English,USA,PG-13,25000000,1000,0
272,10000,Drama,buick|convertible|last will and testament|savant|travel,English,USA,R,25000000,898,12000
16000,16000,Drama,gang|gang rape|hmong|teenager|widower,English,USA,R,33000000,601,28000
0,2000,Biography|Drama|History,bible|cabinet meeting|dog|drinking|family relationships,English,USA,PG-13,25100000,826,0
180,14000,Action|Thriller,agent|cia|france|rescue|teenage abduction,English,France,PG-13,25000000,816,29000
97,775,Drama|Romance,adultery|based on novel|heart transplant|infidelity|protective male,English,USA,PG-13,26000000,523,19000
81,970,Action|Drama|Music|Romance,bodyguard|manager|pop singer|secret service agent|singer,English,USA,R,25000000,854,0
14000,14000,Biography|Drama|History,german|german soldier|jew|jewish|nazi,English,USA,R,22000000,795,41000
150,15000,Drama,black servant|chocolate pie|jackson mississippi|maid|writing a novel,English,USA,PG-13,25000000,3000,75000
386,19000,Biography|Drama|Thriller,computer hacker|internet|news leak|whistleblowing|wikileaks,English,USA,R,28000000,17000,11000
67,4000,Adventure|Comedy|Family|Fantasy|Horror|Mystery,ghost|masked villain|monster|museum|tv,English,USA,PG,80000000,2000,567
0,1000,Adventure|Fantasy|Mystery|Thriller,cartographer|creature|foreign language adaptation|sword and sorcery|village,Russian,Russia,,26000000,65,0
31,918,Action|Horror|Thriller,elm street|freddy krueger|jason voorhees|serial killer|slasher,English,USA,R,30000000,782,3000
187,554,Drama,,English,UK,Not Rated,,213,488
8,770,Action|Adventure|Animation|Comedy|Family|Sci-Fi,alien|boy genius|children|genius|rescue,English,USA,G,30000000,677,425
198,2000,Action|Adventure|Horror|Sci-Fi,brooklyn new york city|found footage|night vision|statue of liberty new york city|subway tunnel,English,USA,PG-13,25000000,1000,0
34,642,Action|Adventure|Comedy|Family|Sci-Fi,chop socky|mutant|ninja|shredder|turtle,English,USA,PG,25000000,533,0
0,22000,Crime|Drama|Thriller,corrupt judge|tax evasion|tough cop|white suit|year 1930,English,USA,R,25000000,371,0
1000,2000,Crime|Drama|Thriller,coin toss|desert|sheriff|texas|tracking device,English,USA,R,25000000,939,21000
167,655,Action|Comedy|Crime|Romance,gunfight|outrunning explosion|police|security guard|street shootout,English,USA,PG-13,25000000,521,0
11,14000,Comedy|Drama|Romance,american actress playing british character|book publishing|calorie counting|employer employee relationship|rabbit costume,English,UK,R,26000000,1000,0
529,541,Drama|Romance,chocolate|chocolate shop|food|france|village,English,UK,PG-13,25000000,399,18000
0,934,Comedy,animal rights|congresswoman|doorman|transvestism|washington d.c.,English,USA,PG-13,45000000,655,660
99,3000,Comedy|Family,chores|father figure|helicopter parents|in laws|punishment,English,USA,PG,25000000,448,0
425,20000,Comedy|Romance,ex girlfriend|funeral|hospital|male objectification|summer camp,English,USA,R,25000000,962,24000
170,2000,Action|Biography|Drama|History|Romance|Western,cigar smoking|cowboy|duel|outlaw|tombstone arizona,English,USA,R,25000000,722,11000
43,5000,Action|Crime|Thriller,death|hong kong|kung fu|prison|waterfront,English,USA,R,25000000,848,0
503,264,Fantasy|Horror|Mystery,ambassador|death|hospital|priest|stillborn child,English,UK,R,2800000,139,7000
70,440,Horror,amusement park|death|fate|premonition|roller coaster,English,Germany,R,25000000,346,0
96,713,Drama|Romance,arrogance|child in peril|disarming someone|kennel|post traumatic stress disorder,English,USA,PG-13,25000000,220,29000
47,14000,Adventure|Drama|Family|Fantasy,bully|friend|imagination|reality|troll,English,USA,PG,17000000,11000,6000
395,40000,Biography|Drama|Family,boy|inspiration|reference to peter pan|stage play|widow,English,USA,PG,25000000,14000,0
0,975,Comedy|Drama,christmas|holiday|madea series|rural setting|stubbornness,English,USA,PG-13,25000000,521,0
248,14000,Action|Adventure|Drama|Thriller,alaska|leadership|snow|survival|wilderness,English,USA,R,25000000,798,32000
21,22000,Drama|Horror|Mystery|Thriller,bathtub|psychologist|pushed out a window|smothered with a pillow|telescope,English,USA,R,30000000,812,0
285,640000,Comedy,1970s|anchorman|news anchor|newsroom|tv station,English,USA,PG-13,26000000,8000,0
17000,22000,Biography|Crime|Drama,betrayal|gangster|mafia|organized crime|robbery,English,USA,R,25000000,854,25000
91,1000,Action|Adventure|Comedy|Crime|Family|Romance|Thriller,cia|nanobot|prep school|scientist|teenager,English,USA,PG,26000000,934,542
52,14000,Comedy|Family|Fantasy,father|governess|magic|nanny|widower,English,USA,PG,25000000,2000,0
0,14000,Crime|Drama,assassination attempt|capitalism|cocaine|cuban american|cuban refugee,English,USA,R,25000000,670,19000
176,742,Action|Adventure|Comedy|Crime,boss|ghetto|money|robber|robbery,English,USA,R,25000000,658,0
973,1000,Biography|Drama|History,abdication|china|emperor|forbidden city|republic,English,China,PG-13,23000000,643,0
175,24000,Action|Crime|Drama|Thriller,cocaine|contraband|drug lord|prison|smuggling,English,USA,R,25000000,736,0
420,695,Action|Comedy|Crime|Thriller,blood splatter|fistfight|murder|police|prison bus,English,USA,R,25000000,635,666
0,272,Drama,alcoholic|alcoholism|money|oil|turn of the century,English,USA,R,25000000,111,16000
0,1000,Adventure|Animation|Comedy|Family|Fantasy,africa|chimpanzee|elephant|safari|shaman,English,USA,PG,25000000,535,187
0,971,Adventure|Animation|Comedy|Family|Fantasy|Musical,kid|oxygen|rugrats|trapped underwater|underwater,English,USA,PG,25000000,503,329
92,744,Action|Comedy,african american|cadillac|disguise|secret agent|undercover,English,USA,PG-13,25000000,489,0
42,2000,Comedy|Drama|Family|Romance,friendship|jeans|pants|summer|vacation,English,USA,PG,25000000,953,0
20,5000,Action|Crime|Drama|Thriller,action hero|chinese|forced prostitution|one man army|title spoken by character,English,France,R,25000000,888,0
29,15000,Comedy|Romance,makeover|party|playboy|playboy mansion|sorority,English,USA,PG-13,25000000,852,0
23,1000,Comedy,client|dentures|false teeth|reference to peter pan|single parent,English,USA,PG-13,,619,671
44,4000,Biography|Drama|Sport,baseball|based on true story|india|sports agent|training,English,USA,PG,25000000,774,10000
176,12000,Drama|Romance|Sci-Fi,black and white segues into color|color|community|dystopia|infanticide,English,South Africa,PG-13,25000000,11000,58000
29,14000,Comedy|Drama|Family|Romance,american|daughter|england|father|politician,English,USA,PG,20000000,1000,0
108,296,Horror,cheerleader|farmer|fear|high school basketball|nightmare,English,USA,R,17000000,270,0
7,1000,Comedy|Romance,breasts|leg spreading|mini skirt|sex|sex in bed,English,USA,R,25000000,562,0
43,5000,Action|Crime|Drama|Thriller,camera shot from inside human body|diamond|evil man|heist|terrorism,English,USA,R,30000000,618,1000
335,11000,Drama|Romance,housewife|lesbian|novel|party|reading,English,USA,PG-13,25000000,577,0
99,17000,Comedy|Romance,disguise|roommate|school|soccer|twin,English,USA,PG-13,20000000,1000,0
68,328,Comedy|Family,camcorder|cannes|director|lost passport|train,English,UK,PG,25000000,132,0
27,601,Action|Adventure|Horror|Thriller,anaconda|blood|borneo|flower|orchid,English,USA,PG-13,25000000,543,686
0,15000,Crime|Drama|Thriller,1970s|flashback|love|money|murder,English,France,R,25500000,960,0
59,49000,Drama|Music,baby|cellist|genius|prodigy|rhapsody,English,USA,PG,30000000,702,18000
