num_critic_for_reviews,actor_2_name,actor_1_facebook_likes,num_voted_users,content_rating,actor_2_facebook_likes,movie_facebook_likes
159,Rachel Crow,688,58498,G,237,0
289,Bruce Davison,20000,405973,PG-13,505,0
342,Vin Diesel,23000,284792,PG-13,14000,54000
382,Eddie Marsan,21000,338635,PG-13,979,39000
344,Jason Flemyng,14000,229679,PG-13,1000,15000
196,Rachel Ticotin,605,240241,R,308,0
85,Vladimir Kulich,845,101411,R,372,0
436,Scott Glenn,10000,229823,PG-13,826,31000
183,Vivica A. Fox,920,189855,PG-13,890,0
175,T.J. Thyne,1000,141414,PG,722,0
239,Dennis Quaid,15000,333248,PG-13,2000,19000
237,Dougray Scott,10000,242188,PG-13,794,0
231,Mary Elizabeth Mastrantonio,784,133076,PG-13,638,0
262,Ioan Gruffudd,11000,213275,PG,2000,0
552,Rafe Spall,774,440084,PG,358,122000
276,Matt Long,12000,182661,PG-13,701,0
267,Riz Ahmed,13000,40123,PG-13,365,31000
102,Bernie Mac,2000,100821,PG-13,1000,0
775,Charlize Theron,13000,456260,R,9000,97000
71,Brad Garrett,886,36471,PG,799,459
476,Sharlto Copley,13000,338087,R,2000,61000
207,Alexa Davalos,14000,183909,PG-13,850,0
492,Abbie Cornish,10000,182899,PG-13,2000,60000
284,Kick Gurry,690,57873,PG,107,0
168,Domenick Lombardozzi,273,35066,PG-13,216,0
283,Marc Blucas,10000,148280,PG-13,973,11000
539,Tom Cruise,11000,387436,PG-13,10000,71000
359,Christopher Lee,20000,520104,PG-13,16000,10000
284,Christopher Lee,20000,464310,PG,16000,0
250,John Ratzenberger,12000,585659,G,1000,0
440,Tao Okamoto,20000,328067,PG-13,992,68000
320,Liam Neeson,20000,534658,PG,14000,13000
257,Emma Stone,16000,150618,PG,15000,28000
33,Santiago Segura,936,20567,,276,291
152,Roger Willie,12000,55994,R,836,0
231,Sam Claflin,26000,37750,PG-13,11000,16000
348,Danny Woodburn,833,167085,PG-13,809,62000
738,Basher Savage,39,582917,PG-13,23,147000
93,Grant Heslov,650,62271,PG-13,293,0
181,Noel Fisher,5000,17533,PG-13,833,12000
369,Reg E. Cathey,596,110486,PG-13,360,41000
179,Rami Malek,49000,234480,PG,3000,3000
358,Ioan Gruffudd,12000,147497,PG-13,2000,52000
160,Colin Salmon,811,149680,PG-13,766,0
192,Adam Baldwin,13000,207613,R,2000,4000
198,Julia Roberts,11000,284852,PG-13,8000,0
233,Angelina Jolie Pitt,11000,348861,PG-13,11000,0
263,Theo James,14000,154621,PG-13,5000,27000
267,Adam Scott,29000,264318,PG-13,3000,0
184,Catherine Tate,480,53160,PG,392,0
447,Tom Wilkinson,11000,136019,PG-13,1000,14000
29,Dirk Benedict,669,25402,TV-PG,554,0
366,Sullivan Stapleton,6000,225273,R,1000,71000
172,Tim Gunn,383,66593,PG,113,31000
104,Roseanne Barr,12000,13581,PG,513,304
181,Theo James,6000,44296,PG-13,5000,12000
327,Torey Michael Adkins,20000,254841,PG-13,929,36000
125,Nancy O'Dell,681,27257,PG,71,0
79,Temuera Morrison,673,60573,PG-13,368,894
326,Moises Arias,11000,184561,PG-13,635,123000
354,Jonathan Sadowski,13000,336235,PG-13,300,0
297,Orlando Bloom,16000,1238746,PG-13,5000,21000
188,Steve Coogan,1000,68720,PG,1000,0
174,Jada Pinkett Smith,10000,79186,R,851,0
109,Kelly Preston,760,36033,PG,743,946
225,Bruce Greenwood,10000,387632,PG-13,981,0
239,Orlando Bloom,14000,217373,R,5000,0
101,Nathan Lane,979,94172,PG,886,0
228,Jenifer Lewis,852,89351,G,578,5000
568,Donald Glover,13000,472488,PG-13,801,153000
,,5,6,,,0
257,Steve Buscemi,19000,263329,PG-13,12000,0
62,Warren Beatty,752,4102,R,631,53
175,Angelina Jolie Pitt,12000,218341,PG-13,11000,0
265,Connie Nielsen,3000,982637,R,933,21000
252,Frank Grillo,10000,399651,PG-13,798,0
232,Rupert Grint,11000,387616,PG,10000,0
400,Tobias Menzies,6000,470483,PG-13,1000,0
230,Estella Warren,1000,177725,PG-13,658,0
210,Jenette Goldstein,780,744891,R,604,13000
357,Christian Bale,40000,230931,R,23000,0
300,Ruby Dee,18000,324671,R,782,0
94,Tia Carrere,2000,190439,R,1000,0
267,Ramon Rodriguez,18000,149998,R,464,0
180,Blythe Danner,22000,85531,PG-13,713,0
265,Will Ferrell,12000,189806,PG-13,8000,16000
81,James Coburn,1000,84424,R,773,0
765,Christoph Waltz,29000,955174,R,11000,199000
80,Jason Alexander,2000,102933,G,700,0
141,Wendie Malick,558,128285,G,452,0
383,Sylvester Stallone,26000,246803,R,13000,108000
193,Armando Riesco,12000,255447,PG,625,0
170,Ed Speleers,3000,108076,PG,762,0
333,Ryan Corr,925,87677,PG,468,11000
256,Cara Delevingne,20000,39956,PG,548,24000
203,Emma Kenney,14000,85833,PG,151,17000
321,Angelina Jolie Pitt,40000,176598,PG-13,11000,25000
174,Mark Margolis,1000,89509,R,1000,2000
166,Djimon Hounsou,29000,400292,R,3000,14000
606,Matthew McConaughey,29000,780588,R,11000,138000
144,Rene Auberjonois,920,190786,PG-13,710,0
192,Patrick Muldoon,660,221521,R,475,0
511,Jim Sturgess,15000,284825,R,5000,124000
188,Richard Roxburgh,2000,65785,PG,653,16000
212,Christopher Heyerdahl,827,87451,PG-13,825,0
245,Rufus Sewell,12000,115687,PG-13,3000,21000
127,Martin Short,23000,71527,PG,770,0
167,Anna Friel,8000,52029,PG-13,735,0
320,Sylvester Stallone,26000,127258,PG-13,13000,56000
163,Edgar Ramírez,1000,33953,PG-13,897,37000
78,Traylor Howard,490,40751,PG,294,881
289,Benjamin Walker,26000,71782,PG-13,911,27000
66,Randy Quaid,3000,20295,PG-13,695,416
266,Sean Huze,13000,110364,R,537,0
208,Venus Schultheis,144,27918,G,42,33000
97,Felicity Huffman,623,18697,PG,508,578
202,Brendan Fraser,12000,248045,PG-13,3000,0
233,Liam Neeson,29000,314033,R,14000,0
136,Ni Ni,23000,38690,R,196,13000
154,Zooey Deschanel,12000,54077,PG,11000,0
169,Matthew Broderick,11000,49739,PG-13,2000,0
200,Sam Shepard,2000,292022,R,820,10000
255,Thomas Middleditch,8000,106790,R,331,18000
173,Bruce Willis,14000,343274,PG-13,13000,18000
221,Liza Minnelli,962,59581,R,740,0
82,Rosie Perez,2000,58300,PG,919,0
233,Josh Gad,22000,145321,PG,1000,14000
343,Derek Jacobi,2000,103737,PG,520,56000
308,AJ Michalka,873,125109,PG-13,560,16000
301,Stephen Root,1000,692482,G,939,11000
328,Billy Boyd,5000,1215718,PG-13,857,16000
294,Orlando Bloom,16000,1100446,PG-13,5000,10000
175,Djimon Hounsou,12000,54501,PG-13,3000,16000
199,Noah Taylor,11000,157016,PG-13,509,0
355,Morgan Freeman,40000,172707,PG-13,11000,37000
198,Trevor Morgan,693,219501,PG-13,595,0
529,David Oyelowo,11000,403836,PG-13,1000,47000
198,Tod Fennell,770,68935,PG,419,0
412,Cole Hauser,13000,165618,R,787,66000
106,Marc Blucas,2000,16832,PG-13,973,701
283,Craig T. Nelson,1000,479166,PG,723,0
61,Frank Langella,1000,21102,PG-13,903,1000
217,Rosario Dawson,8000,141179,PG,3000,9000
175,Rip Torn,10000,403014,PG-13,826,0
191,John Ratzenberger,15000,385871,G,1000,0
316,Rosario Dawson,18000,149947,PG-13,3000,18000
127,John Lone,191,160440,PG-13,165,0
185,Amber Valletta,11000,98403,PG-13,627,0
191,Bobb'e J. Thompson,622,152601,PG,526,0
188,Maile Flanagan,835,166791,PG,256,0
362,Adrian Martinez,3000,236421,PG,806,70000
181,LL Cool J,13000,145350,PG-13,1000,0
352,Matt Damon,29000,873649,R,13000,29000
143,Harvey Fierstein,2000,171792,G,500,12000
308,Steve Coogan,21000,307539,R,1000,0
517,Goran Visnjic,18000,330152,R,1000,54000
148,Aldis Hodge,13000,299258,R,559,0
415,Eddie Marsan,21000,477300,PG-13,979,20000
1,Ayelet Zurer,11000,57,PG-13,745,0
146,Jim Varney,12000,72591,PG,802,0
70,Joshua Mikel,35000,9418,PG,1000,0
269,Tom Wilkinson,10000,183247,PG-13,1000,0
198,Sayed Badreya,11000,156348,PG-13,600,0
253,Adam Sandler,22000,89770,PG-13,11000,39000
281,William Hurt,3000,238747,PG-13,882,11000
122,Rachael Harris,691,32049,PG,569,988
159,Tom Skerritt,11000,200556,PG,1000,15000
180,Kim Dickens,833,101834,R,624,0
227,George Harris,591,86152,PG-13,249,0
183,Leven Rambin,8000,86627,PG,956,28000
157,Angelina Jolie Pitt,18000,102747,PG-13,11000,0
196,Morgan Freeman,11000,40862,PG-13,11000,15000
64,Michael Byrne,192,52136,PG-13,117,0
142,Stephen Dillane,11000,121259,R,577,0
181,Connie Nielsen,3000,60467,PG,933,0
240,Wanda Sykes,11000,165333,G,560,19000
93,Oliver Platt,49000,87785,PG,1000,0
84,Anne Heche,3000,58227,PG-13,643,2000
66,Brad Pitt,11000,45602,R,11000,979
136,Christian Camargo,14000,49311,PG-13,602,0
369,Reg E. Cathey,596,110486,PG-13,360,41000
166,Mako,919,113065,R,691,0
201,Bruce McGill,680,148238,PG-13,655,0
47,Nathan Lane,887,2508,PG,886,788
175,Michael Angarano,12000,57661,PG-13,947,0
114,Alan Ruck,22000,144053,PG-13,946,0
187,Vin Diesel,23000,272223,PG-13,14000,14000
221,Paul Sanchez,15000,394317,PG-13,410,23000
206,Hugh Jackman,49000,132501,PG,20000,0
239,Joan Allen,13000,348232,PG-13,805,0
142,Gary Oldman,11000,146134,R,10000,0
186,Bernie Mac,11000,402645,PG-13,1000,0
228,Logan Lerman,14000,88542,PG-13,8000,19000
256,Adam Sandler,12000,164148,PG,11000,28000
222,Teala Dunn,283,142496,PG,142,0
103,Scott Thompson,544,159910,TV-14,183,59000
298,Ryan Reynolds,18000,166693,R,16000,19000
84,Eric Idle,2000,26413,G,795,372
236,Gabourey Sidibe,2000,110073,PG-13,906,0
157,Rufus Sewell,14000,182757,PG-13,3000,19000
81,Jake Busey,10000,188116,R,660,0
187,Hunter Parrish,11000,69860,R,2000,0
238,Matt Damon,14000,256928,PG-13,13000,0
107,Debra Messing,4000,65270,PG,650,863
459,Theo James,14000,341058,PG-13,5000,49000
187,Gabriel Thomson,5000,188887,R,35,0
151,Rosario Dawson,12000,82731,PG-13,3000,0
80,Tom Noonan,670,106528,PG-13,442,0
229,Mako,879,119286,PG-13,691,0
158,Zachery Ty Bryan,584,179500,PG-13,227,0
190,Imelda Staunton,1000,35446,PG,579,0
98,Brad Pitt,12000,169023,PG-13,11000,10000
135,Rick Worthy,672,61417,R,174,941
84,Ben Vereen,813,19228,R,388,0
382,Nathan Lane,8000,70838,PG,886,18000
393,Kieran Culkin,10000,273921,PG-13,1000,36000
149,Tchéky Karyo,894,77029,PG-13,345,0
94,Janet Jackson,611,39391,PG-13,592,374
138,Linda Cardellini,4000,71424,PG,2000,0
432,Jason Cope,409,203458,R,107,46000
173,Cameron Monaghan,11000,246492,PG-13,1000,7000
127,Hal Holbrook,875,29932,R,826,0
91,Sean Hayes,975,10233,PG,760,0
238,Hayden Christensen,17000,243053,PG-13,4000,0
345,Iván Kamarás,3000,208422,PG-13,169,3000
377,Jake Gyllenhaal,21000,301279,R,15000,12000
170,Michael Rapaport,3000,100001,PG-13,975,0
191,Steve Carell,11000,296904,PG-13,7000,0
424,Sylvester Stallone,26000,270226,R,13000,57000
154,Kristin Scott Thomas,10000,300542,PG-13,1000,0
673,Josh Hutcherson,34000,701607,PG-13,14000,140000
383,Mason Lee,14000,375879,R,670,56000
153,Vincent Schiavelli,920,215255,PG-13,811,0
166,Steve Carell,13000,127345,PG,7000,0
180,Jason Scott Lee,1000,117212,PG,533,0
120,Julia Roberts,12000,27838,G,8000,0
125,Jon Favreau,11000,135601,PG-13,4000,0
234,Anthony Hopkins,13000,125036,PG-13,12000,22000
134,Steve Reevis,11000,130070,PG-13,437,0
91,Jesse McCartney,1000,22838,G,1000,0
139,Adam Sandler,12000,107817,PG-13,11000,14000
265,Dwayne Johnson,13000,168172,PG-13,12000,0
145,Jon Favreau,18000,91092,PG-13,4000,0
490,Joseph Sikora,29000,786092,R,223,53000
141,Robert Duvall,4000,48500,PG-13,3000,0
163,Drew Carey,1000,103022,PG,311,0
155,CCH Pounder,12000,283967,R,1000,11000
144,Carmen Electra,11000,72326,PG,869,0
226,Jennifer Jason Leigh,15000,200359,R,1000,0
204,Bailee Madison,11000,172878,PG-13,3000,19000
95,Royce Johnson,577,213483,TV-MA,4,55000
139,Monica Potter,12000,225282,R,878,0
215,Ethan Embry,3000,150764,PG-13,982,0
198,Natalie Portman,22000,118483,R,20000,0
325,Mila Kunis,18000,227072,R,15000,20000
53,Jodi Benson,49000,63625,PG,570,0
167,Lili Taylor,14000,58184,PG-13,960,0
46,Wayne Knight,13000,112167,PG,967,0
147,Henry Czerny,1000,65499,PG,177,0
276,Jon Hamm,18000,139423,PG-13,4000,0
80,Alex McArthur,8000,76099,R,137,0
406,Logan Lerman,11000,303185,R,8000,82000
97,Anne Heche,11000,60910,PG-13,643,0
143,Tom Cavanagh,3000,16385,PG,642,0
106,Charles Napier,13000,44143,G,503,4000
178,Leslie Bibb,3000,44662,PG,1000,0
102,William Hurt,10000,58402,PG-13,882,0
209,Dorian Missick,18000,86422,R,1000,0
19,Stephen Dillane,898,666,PG-13,577,91
152,Adam Sandler,12000,56501,PG,11000,16000
31,Agnes Moorehead,1000,11427,TV-G,960,0
129,Penn Jillette,340,27543,G,243,607
124,Alan Young,891,103787,PG-13,639,3000
35,Mika Boorem,9000,22955,PG,496,0
166,Don Cheadle,20000,155532,R,3000,0
137,Nick Chinlund,2000,71574,PG,277,951
121,Annabella Sciorra,49000,83560,PG-13,448,32000
87,Jon Lovitz,11000,80639,PG-13,11000,0
233,Heath Ledger,13000,98472,PG-13,13000,0
132,Martin Short,20000,172217,PG-13,770,0
63,Roxane Duran,23,979,,21,257
95,Harold Perrineau,12000,55913,R,1000,0
258,Devin Ratray,13000,151424,PG-13,1000,0
162,Jon Foster,981,45231,PG-13,274,0
61,Viggo Mortensen,13000,53132,PG-13,10000,0
113,Tiya Sircar,882,8913,PG,396,0
174,Michael Byrne,743,65464,PG-13,117,0
101,Jenna Elfman,3000,24183,PG,739,665
205,Elio Germano,529,37446,PG-13,48,0
123,Gerard Butler,23000,53057,PG-13,18000,0
79,Brian Anthony Wilson,766,56403,R,674,0
61,Elizabeth Daily,1000,24868,G,971,964
202,Joseph Gilgun,14000,58752,PG-13,788,21000
145,Val Kilmer,2,47612,PG-13,0,995
101,Adam LeFevre,563,25843,PG,80,941
113,Jacques Perrin,67,7630,G,63,0
113,Catherine McCormack,1000,16474,PG-13,307,785
272,Currie Graham,795,84508,PG-13,172,20000
3,David Hoffman,163,230,PG,94,138
205,Austin Pendleton,1000,610568,PG-13,592,29000
186,Nathan Lane,2000,644348,G,886,17000
178,Dwayne Johnson,14000,67296,PG,12000,0
169,Khamani Griffin,622,64387,PG,161,15000
210,Anthony Hopkins,22000,204063,R,12000,0
140,Viggo Mortensen,24000,67856,PG-13,10000,0
156,Adam Sandler,14000,60370,PG,11000,0
150,Cole Hauser,23000,191912,PG-13,787,0
119,James Franco,12000,28276,PG,11000,31000
232,Veronica Cartwright,1000,65037,PG-13,422,0
49,Janeane Garofalo,22000,16611,PG,1000,413
165,Eric Stonestreet,1000,24407,PG,904,36000
202,Max Ryan,1000,141533,PG-13,872,0
306,Miranda Cosgrove,7000,286877,PG,2000,56000
185,Adam Baldwin,10000,430055,PG-13,2000,16000
177,Richard Schiff,610,278362,PG-13,506,0
181,Cedric the Entertainer,851,266636,PG,436,0
372,Danny Huston,16000,361767,R,430,17000
290,Tyler Mane,20000,452928,PG-13,764,0
316,Morgan Freeman,11000,299852,R,11000,0
122,Michael Biehn,12000,259492,R,2000,51000
164,Ray Romano,835,194249,PG,590,0
147,Peter Dante,11000,266103,PG-13,427,11000
219,Elijah Kelley,719,98693,PG,339,0
167,Alan Ford,613,28635,R,422,893
70,Rene Auberjonois,2000,36491,PG,710,509
384,Common,11000,447979,PG-13,988,105000
179,Adam Sandler,12000,181443,PG-13,11000,12000
151,Chi McBride,15000,303864,PG-13,466,16000
12,Matt Ryan,1000,36919,TV-14,560,10000
107,Kevin Dillon,3000,16271,PG,576,1000
134,Scott Glenn,867,49536,PG-13,826,0
269,Tom Hanks,22000,88451,R,15000,0
143,Martin Scorsese,22000,132415,PG,17000,0
241,Jennifer Hudson,912,55901,PG-13,549,0
12,Brent Sexton,374,29450,,130,0
161,Christina Milian,12000,59435,PG-13,1000,0
298,Moritz Bleibtreu,745,176936,R,486,0
89,Tom Skerritt,13000,93494,R,1000,0
140,Lisa Ann Walter,19000,72867,PG-13,1000,0
362,Elizabeth Debicki,15000,175960,PG-13,509,43000
124,Paz Vega,11000,65668,PG-13,964,0
190,Jon Heder,12000,71137,PG,970,0
132,Brían F. O'Byrne,13000,57038,PG-13,450,0
53,Ben Cross,919,55350,PG-13,303,0
91,Geoffrey Palmer,582,31080,PG-13,103,0
284,Daniel Sharman,15000,138190,R,1000,30000
152,Bruce Willis,87000,93790,R,13000,0
131,Janeane Garofalo,13000,52244,PG,1000,0
132,Bruce Greenwood,11000,31293,PG-13,982,648
67,Sean Pertwee,933,44248,R,722,0
130,Kiernan Shipka,3000,35510,PG-13,552,0
74,Bridget Fonda,3000,14280,PG-13,889,683
114,Tony Curran,2000,45815,PG-13,845,1000
294,Bruce Willis,18000,245152,PG-13,13000,0
308,Jon Hamm,7000,142403,PG,4000,70000
435,Abbie Cornish,4000,197584,PG-13,2000,42000
117,Mike Starr,12000,64121,R,854,880
108,James Pickens Jr.,548,81611,PG-13,270,0
141,Josh Gad,22000,27130,PG,1000,14000
176,Ray Winstone,11000,59352,PG-13,1000,0
230,RZA,11000,100837,R,561,0
234,Frances Fisher,3000,101386,R,638,0
164,Leslie Bibb,8000,130776,PG-13,1000,0
91,Jeffrey Jones,1000,33884,PG,692,266
132,Patrick McGoohan,906,736638,R,466,17000
262,Brian Geraghty,15000,143525,R,383,0
299,Yeardley Smith,745,259083,PG-13,440,0
128,Hal Holbrook,940,45031,PG,826,0
109,Estella Warren,13000,34435,PG-13,658,886
88,Jean-Claude Dreyfus,21,11798,PG,17,2000
261,Judy Greer,3000,193770,PG-13,2000,0
73,Raven-Symoné,1000,74343,PG-13,1000,694
208,Merritt Wever,710,271592,PG-13,529,0
205,Jennifer Saunders,692,314630,PG,309,0
256,Cheech Marin,1000,263853,G,843,0
103,Christopher Meloni,8000,74274,PG,3000,0
191,Eve,14000,142569,PG-13,223,10000
147,Billy West,870,34359,PG,861,16000
79,Delroy Lindo,960,98989,R,848,1000
486,Brad Pitt,13000,885175,R,11000,42000
75,Julia Roberts,49000,182802,PG,8000,13000
