actor_2_name,actor_1_facebook_likes,gross,actor_3_name,movie_imdb_link,language,content_rating,actor_2_facebook_likes,aspect_ratio
Thomas Law,177,26003149,Jasper Levine,http://www.imdb.com/title/tt1213663/?ref_=fn_tt_tt_1,English,R,55,2.35
Laura Harring,720,25584685,Tate Donovan,http://www.imdb.com/title/tt0479500/?ref_=fn_tt_tt_1,English,PG,669,2.35
Damien Garvey,125,29975979,Tiffany Lamb,http://www.imdb.com/title/tt0433362/?ref_=fn_tt_tt_1,English,R,37,2.35
Kim Shaw,2000,31584722,Geoff Stults,http://www.imdb.com/title/tt0815236/?ref_=fn_tt_tt_1,English,R,934,2.35
Luke Bracey,3000,23179303,Brett Cullen,http://www.imdb.com/title/tt1067774/?ref_=fn_tt_tt_1,English,PG,775,1.85
Frankie Muniz,1000,23078294,Samaire Armstrong,http://www.imdb.com/title/tt0441796/?ref_=fn_tt_tt_1,English,PG-13,934,2.35
Tom Selleck,25000,21413105,Ben Mendelsohn,http://www.imdb.com/title/tt0102744/?ref_=fn_tt_tt_1,English,PG-13,19000,2.35
Larry Miller,681,25077977,Christine Lakin,http://www.imdb.com/title/tt1213012/?ref_=fn_tt_tt_1,English,PG,611,1.85
Kyle Schmid,960,23292105,Toby Hemingway,http://www.imdb.com/title/tt0475944/?ref_=fn_tt_tt_1,English,PG-13,917,2.35
Vanessa Lengies,12000,26870825,John Patrick Amedori,http://www.imdb.com/title/tt0430634/?ref_=fn_tt_tt_1,English,PG-13,804,1.85
Leo Howard,87000,20916309,Jake Short,http://www.imdb.com/title/tt1100119/?ref_=fn_tt_tt_1,English,PG,570,1.85
Wayne Knight,1000,21200000,Holland Taylor,http://www.imdb.com/title/tt0114681/?ref_=fn_tt_tt_1,English,R,967,1.85
Marc John Jefferies,646,28876924,Emily Meade,http://www.imdb.com/title/tt3531824/?ref_=fn_tt_tt_1,English,PG-13,441,
James Gammon,10000,20207003,Tom Bower,http://www.imdb.com/title/tt0800308/?ref_=fn_tt_tt_1,English,R,311,2.35
Cary-Hiroyuki Tagawa,2000,20241395,Maximilian Schell,http://www.imdb.com/title/tt0120877/?ref_=fn_tt_tt_1,English,R,1000,2.35
,0,,,http://www.imdb.com/title/tt0249327/?ref_=fn_tt_tt_1,Japanese,,,
Vera Miles,606,32000000,John Gavin,http://www.imdb.com/title/tt0054215/?ref_=fn_tt_tt_1,English,R,332,1.85
Taran Killam,1000,19151864,Riki Lindhome,http://www.imdb.com/title/tt1046163/?ref_=fn_tt_tt_1,English,R,500,1.85
Bruce Greenwood,15000,23393765,Rhys Wakefield,http://www.imdb.com/title/tt2318092/?ref_=fn_tt_tt_1,English,PG-13,989,2.35
Zachary Gordon,995,18882880,Jane Fonda,http://www.imdb.com/title/tt0791304/?ref_=fn_tt_tt_1,English,R,975,2.35
Adam Arkin,691,8500000,Billy Barty,http://www.imdb.com/title/tt0083254/?ref_=fn_tt_tt_1,English,PG,374,1.78
John Wood,2000,,Leo McKern,http://www.imdb.com/title/tt0089457/?ref_=fn_tt_tt_1,English,PG-13,92,2.35
Jan Hooks,1000,18252684,Dana Ivey,http://www.imdb.com/title/tt0124879/?ref_=fn_tt_tt_1,English,PG,367,1.85
Don Cheadle,11000,19661987,John de Lancie,http://www.imdb.com/title/tt0490204/?ref_=fn_tt_tt_1,English,R,3000,2.35
William Hurt,17000,18352454,Hal Holbrook,http://www.imdb.com/title/tt0758758/?ref_=fn_tt_tt_1,English,R,882,2.35
Sarah Silverman,970,17803796,Jacinda Barrett,http://www.imdb.com/title/tt0462519/?ref_=fn_tt_tt_1,English,PG-13,931,2.35
Deborah Kara Unger,991,17529157,Martin Donovan,http://www.imdb.com/title/tt0938330/?ref_=fn_tt_tt_1,English,R,494,2.35
Salma Hayek,16000,25753840,Cheech Marin,http://www.imdb.com/title/tt0116367/?ref_=fn_tt_tt_1,English,R,4000,1.85
Brenda Blethyn,304,18081626,John Fiedler,http://www.imdb.com/title/tt0407121/?ref_=fn_tt_tt_1,English,G,286,1.85
Holly Hunter,21000,17518220,Steve Guttenberg,http://www.imdb.com/title/tt0113321/?ref_=fn_tt_tt_1,English,PG-13,1000,1.85
Chi Ling Chiu,264,17104669,Qiu Yuen,http://www.imdb.com/title/tt0373074/?ref_=fn_tt_tt_1,Cantonese,R,62,2.35
Mark Feuerstein,909,,Sharon Lawrence,http://www.imdb.com/title/tt0118315/?ref_=fn_tt_tt_1,English,,417,1.33
Alex Rocco,3000,16988996,Stephen Root,http://www.imdb.com/title/tt0276033/?ref_=fn_tt_tt_1,English,G,968,1.85
Shaun Toub,283,15797907,Khalid Abdalla,http://www.imdb.com/title/tt0419887/?ref_=fn_tt_tt_1,Dari,PG-13,206,2.35
Eddie Marsan,6000,16248701,Danny Huston,http://www.imdb.com/title/tt0315733/?ref_=fn_tt_tt_1,English,R,979,1.85
Tom Hollander,787,15712072,Kelly Carlson,http://www.imdb.com/title/tt0338325/?ref_=fn_tt_tt_1,English,PG-13,555,2.35
Taylor Lautner,17000,191449475,Anna Kendrick,http://www.imdb.com/title/tt1099212/?ref_=fn_tt_tt_1,English,PG-13,12000,2.35
Lochlyn Munro,651,15408822,James Brolin,http://www.imdb.com/title/tt0295289/?ref_=fn_tt_tt_1,English,PG-13,555,1.85
Robert Miano,302,15464026,Zak Orth,http://www.imdb.com/title/tt0217630/?ref_=fn_tt_tt_1,English,PG-13,216,1.85
Michael Moore,1000,14359793,Bernie Sanders,http://www.imdb.com/title/tt1232207/?ref_=fn_tt_tt_1,English,R,909,1.85
Carroll Baker,940,8000000,José Ferrer,http://www.imdb.com/title/tt0059245/?ref_=fn_tt_tt_1,English,G,208,2.76
Michael Kelly,8000,,Joe Cole,http://www.imdb.com/title/tt1741273/?ref_=fn_tt_tt_1,English,PG-13,963,2.35
Tony Cox,869,14174654,Ike Barinholtz,http://www.imdb.com/title/tt1213644/?ref_=fn_tt_tt_1,English,PG-13,624,1.85
Fred Ward,137000,15988876,Lorna Raver,http://www.imdb.com/title/tt0913354/?ref_=fn_tt_tt_1,English,PG-13,459,2.35
Peter Gallagher,13000,13801755,Joanne Whalley,http://www.imdb.com/title/tt0120483/?ref_=fn_tt_tt_1,English,PG,828,1.85
Ari Graynor,11000,13987482,Ed Begley Jr.,http://www.imdb.com/title/tt0770703/?ref_=fn_tt_tt_1,English,R,904,1.85
Vincent Regan,788,14291570,Jacky Ido,http://www.imdb.com/title/tt1592525/?ref_=fn_tt_tt_1,English,PG-13,447,2.35
Ariel Gade,1000,12181484,Sam Lerner,http://www.imdb.com/title/tt0326856/?ref_=fn_tt_tt_1,English,PG-13,87,1.85
Clifton Collins Jr.,26000,13630226,David Carradine,http://www.imdb.com/title/tt1121931/?ref_=fn_tt_tt_1,English,R,968,1.85
Chazz Palminteri,1000,13383737,Dianne Wiest,http://www.imdb.com/title/tt0109348/?ref_=fn_tt_tt_1,English,R,979,1.85
Tiffany Dupont,541,13391174,Nimrat Kaur,http://www.imdb.com/title/tt0430431/?ref_=fn_tt_tt_1,English,PG,249,2.35
Tzi Ma,3000,12987647,Holmes Osborne,http://www.imdb.com/title/tt0258068/?ref_=fn_tt_tt_1,English,R,268,2.35
Hope Davis,12000,12469811,Michael Rispoli,http://www.imdb.com/title/tt0384680/?ref_=fn_tt_tt_1,English,R,442,1.85
Wes Studi,922,12398628,Jon Seda,http://www.imdb.com/title/tt0281322/?ref_=fn_tt_tt_1,English,R,855,2.35
Dequina Moore,346,13214030,Jordan Carlos,http://www.imdb.com/title/tt0995039/?ref_=fn_tt_tt_1,English,PG-13,41,1.85
Ashley Scott,969,12232937,Nick Gomez,http://www.imdb.com/title/tt1160368/?ref_=fn_tt_tt_1,English,PG-13,794,2.35
Dylan Minnette,17000,12134420,Kodi Smit-McPhee,http://www.imdb.com/title/tt1228987/?ref_=fn_tt_tt_1,English,R,1000,2.35
Dustin Nguyen,400,11784000,Don Stark,http://www.imdb.com/title/tt0109015/?ref_=fn_tt_tt_1,English,PG,220,1.85
Mia Farrow,734,11169531,Melonie Diaz,http://www.imdb.com/title/tt0799934/?ref_=fn_tt_tt_1,English,PG-13,563,2.35
Christopher Guest,5000,11034436,Sarah Solemani,http://www.imdb.com/title/tt0413015/?ref_=fn_tt_tt_1,English,R,378,1.85
Norman Reedus,14000,12626905,Clifton Collins Jr.,http://www.imdb.com/title/tt1712261/?ref_=fn_tt_tt_1,English,R,12000,2.35
Lynn Cohen,11000,10569071,Judy Davis,http://www.imdb.com/title/tt0118954/?ref_=fn_tt_tt_1,English,R,474,1.85
Oliver Platt,2000,10544143,David Ramsey,http://www.imdb.com/title/tt0144640/?ref_=fn_tt_tt_1,English,PG-13,1000,1.37
Omar Sy,14000,13650738,Riccardo Scamarcio,http://www.imdb.com/title/tt2503944/?ref_=fn_tt_tt_1,English,R,1000,2.35
Demi Moore,22000,10555348,James Russo,http://www.imdb.com/title/tt0098625/?ref_=fn_tt_tt_1,English,PG-13,2000,2.35
Gaby Hoffmann,1000,9714482,Jeff DeRocker,http://www.imdb.com/title/tt0116242/?ref_=fn_tt_tt_1,English,R,612,1.85
Ewen Bremner,22000,8579684,Kris Marshall,http://www.imdb.com/title/tt0795368/?ref_=fn_tt_tt_1,English,R,557,1.85
Kelly Preston,856,9525276,Edi Gathegi,http://www.imdb.com/title/tt0804461/?ref_=fn_tt_tt_1,English,R,742,2.35
James Frain,22000,8855646,Brendan Sexton III,http://www.imdb.com/title/tt0780511/?ref_=fn_tt_tt_1,English,PG-13,1000,2.35
Vanessa Angel,650,9109322,Peter Wingfield,http://www.imdb.com/title/tt0270846/?ref_=fn_tt_tt_1,English,PG,384,2.35
Susie Essman,688,8326035,Gigi Rice,http://www.imdb.com/title/tt0399327/?ref_=fn_tt_tt_1,English,PG-13,99,1.85
Will Patton,716,8104069,Cedric the Entertainer,http://www.imdb.com/title/tt0462229/?ref_=fn_tt_tt_1,English,PG-13,537,1.85
Nia Vardalos,786,8054280,Dash Mihok,http://www.imdb.com/title/tt0345074/?ref_=fn_tt_tt_1,English,PG-13,567,1.85
Ricardo Montalban,683,,Ben Vereen,http://www.imdb.com/title/tt0065054/?ref_=fn_tt_tt_1,English,G,641,2.35
Katherine Waterston,204,8093318,Serena Scott Thomas,http://www.imdb.com/title/tt1791528/?ref_=fn_tt_tt_1,English,R,178,1.85
Kylie Minogue,787,7382993,Jon Stewart,http://www.imdb.com/title/tt0763304/?ref_=fn_tt_tt_1,English,G,690,1.85
Caity Lotz,997,8888355,Laz Alonso,http://www.imdb.com/title/tt1532958/?ref_=fn_tt_tt_1,English,PG-13,941,1.85
Eric McCormack,1000,,Scott Wolf,http://www.imdb.com/title/tt1714204/?ref_=fn_tt_tt_1,English,TV-14,440,16.0
Geoffrey Arend,885,7001720,Gary Coleman,http://www.imdb.com/title/tt1190617/?ref_=fn_tt_tt_1,English,PG-13,816,2.35
Demián Bichir,2000,7268659,Marko Zaror,http://www.imdb.com/title/tt2002718/?ref_=fn_tt_tt_1,English,R,749,1.85
Ty Olsson,669,6852144,Jackie Burroughs,http://www.imdb.com/title/tt0310357/?ref_=fn_tt_tt_1,English,PG-13,429,2.35
Ashley Scott,1000,6563357,Jeff Garlin,http://www.imdb.com/title/tt0489282/?ref_=fn_tt_tt_1,English,R,794,2.35
Dexter Fletcher,1000,6201757,Lesley Manville,http://www.imdb.com/title/tt0151568/?ref_=fn_tt_tt_1,English,R,452,1.66
Cary-Hiroyuki Tagawa,1000,6420319,Michael Rapaport,http://www.imdb.com/title/tt1810683/?ref_=fn_tt_tt_1,English,PG-13,1000,2.35
Viggo Mortensen,13000,5702083,Sarah Gadon,http://www.imdb.com/title/tt1571222/?ref_=fn_tt_tt_1,English,R,10000,1.85
Keanu Reeves,21000,5480996,Rory Cochrane,http://www.imdb.com/title/tt0405296/?ref_=fn_tt_tt_1,English,R,18000,1.85
Abigail Spencer,18000,6002756,Leven Rambin,http://www.imdb.com/title/tt1629757/?ref_=fn_tt_tt_1,English,PG,1000,1.85
Darren Shahlavi,310,5132655,Karin Konoval,http://www.imdb.com/title/tt0369226/?ref_=fn_tt_tt_1,English,R,294,2.35
Charlie Saxton,690,5205343,Ryan Donowho,http://www.imdb.com/title/tt0976222/?ref_=fn_tt_tt_1,English,PG,224,2.35
Anne Heche,829,5005883,Danny Huston,http://www.imdb.com/title/tt0337876/?ref_=fn_tt_tt_1,English,R,681,1.85
Ashley Williams,1000,5749134,Albert Brooks,http://www.imdb.com/title/tt2937898/?ref_=fn_tt_tt_1,English,R,969,2.35
Michael Greyeyes,1000,,Caroline Dhavernas,http://www.imdb.com/title/tt1092082/?ref_=fn_tt_tt_1,English,R,912,2.35
Bill Lake,20,4234040,Victoria Learn,http://www.imdb.com/title/tt1054588/?ref_=fn_tt_tt_1,English,PG-13,18,2.35
Heath Ledger,23000,4001121,Tyrone Benskin,http://www.imdb.com/title/tt0368794/?ref_=fn_tt_tt_1,English,R,13000,2.35
Bruce Willis,15000,3749061,Óscar Jaenada,http://www.imdb.com/title/tt1366365/?ref_=fn_tt_tt_1,English,PG-13,13000,2.35
Maximilian Schell,975,3519627,Nora Zehetner,http://www.imdb.com/title/tt0844286/?ref_=fn_tt_tt_1,English,PG-13,877,2.35
Jennifer Jason Leigh,22000,3081925,Samantha Morton,http://www.imdb.com/title/tt0383028/?ref_=fn_tt_tt_1,English,R,1000,2.35
Jada Pinkett Smith,893,2298191,Billy Crudup,http://www.imdb.com/title/tt0119698/?ref_=fn_tt_tt_1,Japanese,PG-13,851,1.85
Peter Coyote,572,2353728,Virginie Ledoyen,http://www.imdb.com/title/tt0310778/?ref_=fn_tt_tt_1,French,PG-13,548,2.35
Randy Jones,801,2000000,Caitlyn Jenner,http://www.imdb.com/title/tt0080492/?ref_=fn_tt_tt_1,English,PG,174,2.35
Noah Taylor,1000,1900725,Danny Huston,http://www.imdb.com/title/tt0421238/?ref_=fn_tt_tt_1,English,R,509,2.35
Finn Wittrock,2000,2246000,Brent Anderson,http://www.imdb.com/title/tt3719896/?ref_=fn_tt_tt_1,English,PG,769,2.35
Jane Krakowski,836,1646664,Paula Garcés,http://www.imdb.com/title/tt0266747/?ref_=fn_tt_tt_1,English,R,624,1.85
Emily Watson,23000,1190018,Sean Pertwee,http://www.imdb.com/title/tt0238380/?ref_=fn_tt_tt_1,English,R,876,2.35
Guang Li,991,1027749,Matthew Walker,http://www.imdb.com/title/tt0889588/?ref_=fn_tt_tt_1,English,R,10,2.35
Ellen Burstyn,9000,882710,Faye Dunaway,http://www.imdb.com/title/tt0138946/?ref_=fn_tt_tt_1,English,R,1000,2.35
Garrett Clayton,979,1064277,Toni Braxton,http://www.imdb.com/title/tt1520498/?ref_=fn_tt_tt_1,English,G,532,
Angelina Jolie Pitt,11000,531009,Melvil Poupaud,http://www.imdb.com/title/tt3707106/?ref_=fn_tt_tt_1,English,R,11000,2.35
Robin Atkin Downes,488,410388,Rosalind Ayres,http://www.imdb.com/title/tt0348121/?ref_=fn_tt_tt_1,Japanese,PG-13,336,1.85
Costas Mandylor,18000,375474,Jimmy Jean-Louis,http://www.imdb.com/title/tt0354595/?ref_=fn_tt_tt_1,English,PG,723,2.35
Kirsten Dunst,33000,578382,Frank Langella,http://www.imdb.com/title/tt1175709/?ref_=fn_tt_tt_1,English,R,4000,1.85
Jason Scott Lee,699,305070,Sandrine Holt,http://www.imdb.com/title/tt0110944/?ref_=fn_tt_tt_1,English,R,533,2.35
Yuqi Zhang,46,206678,Chi Chung Lam,http://www.imdb.com/title/tt0940709/?ref_=fn_tt_tt_1,Cantonese,PG,33,2.35
Philippe Nahon,106,146072,Marie-Anne Chazel,http://www.imdb.com/title/tt0120882/?ref_=fn_tt_tt_1,French,,56,2.35
Laura Spencer,403,1183354,Anita Briem,http://www.imdb.com/title/tt1013860/?ref_=fn_tt_tt_1,English,PG-13,368,2.35
Richard Schiff,14000,121972,Mark Webber,http://www.imdb.com/title/tt0274711/?ref_=fn_tt_tt_1,English,R,506,1.85
George Coulouris,310,,Ewen Solon,http://www.imdb.com/title/tt0166038/?ref_=fn_tt_tt_1,English,,11,
Reeve Carney,3000,263365,Tom Conti,http://www.imdb.com/title/tt1274300/?ref_=fn_tt_tt_1,English,PG-13,602,2.35
Aaron Ashmore,9000,54734,Julian Richings,http://www.imdb.com/title/tt3319920/?ref_=fn_tt_tt_1,English,R,750,2.35
Traci Dinwiddie,344,,Elea Oberon,http://www.imdb.com/title/tt1128219/?ref_=fn_tt_tt_1,English,,281,1.85
Sammo Kam-Bo Hung,483,,Andy On,http://www.imdb.com/title/tt0882978/?ref_=fn_tt_tt_1,Mandarin,R,472,2.35
Nicholas Lea,18000,,Callum Rennie,http://www.imdb.com/title/tt0489664/?ref_=fn_tt_tt_1,English,R,867,2.35
Phil LaMarr,12000,,Noureen DeWulf,http://www.imdb.com/title/tt1488181/?ref_=fn_tt_tt_1,English,G,857,1.78
Michael Lieber,109,,Kevin McGowan,http://www.imdb.com/title/tt3037162/?ref_=fn_tt_tt_1,English,,36,2.35
Maggie Wheeler,729,,Jacqueline Lovell,http://www.imdb.com/title/tt1134666/?ref_=fn_tt_tt_1,English,PG,282,
Jurnee Smollett-Bell,22000,,Edgar Ramírez,http://www.imdb.com/title/tt1781827/?ref_=fn_tt_tt_1,English,R,2000,
Roger Rees,14000,,Robert Forster,http://www.imdb.com/title/tt3247714/?ref_=fn_tt_tt_1,English,PG-13,1000,2.35
Radha Mitchell,12000,,Jodi Lyn O'Keefe,http://www.imdb.com/title/tt2005374/?ref_=fn_tt_tt_1,English,R,991,2.35
Sally Hawkins,2000,8047690,Alan David,http://www.imdb.com/title/tt0446755/?ref_=fn_tt_tt_1,Mandarin,PG-13,594,2.35
Alexandra Maria Lara,486,476270,Martina Gedeck,http://www.imdb.com/title/tt0765432/?ref_=fn_tt_tt_1,German,R,471,1.85
Michael Spears,933,184208848,Maury Chaykin,http://www.imdb.com/title/tt0099348/?ref_=fn_tt_tt_1,English,PG-13,839,2.35
John Michael Higgins,3000,100292856,Phyllis Smith,http://www.imdb.com/title/tt1284575/?ref_=fn_tt_tt_1,English,R,957,1.85
Michael O'Neill,14000,58571513,Ellen Barkin,http://www.imdb.com/title/tt0098273/?ref_=fn_tt_tt_1,English,R,599,1.85
Lin Shaye,1000,51431160,Julie Gonzalo,http://www.imdb.com/title/tt0356470/?ref_=fn_tt_tt_1,English,PG,852,1.85
W. Earl Brown,611,103001286,Roger Jackson,http://www.imdb.com/title/tt0117571/?ref_=fn_tt_tt_1,English,R,422,2.35
Embeth Davidtz,1000,41867960,F. Murray Abraham,http://www.imdb.com/title/tt0245674/?ref_=fn_tt_tt_1,English,R,795,1.33
Shelley Duvall,888,,Joe Turkel,http://www.imdb.com/title/tt0081505/?ref_=fn_tt_tt_1,English,R,629,1.37
Thomas F. Wilson,1000,210609762,J.J. Cohen,http://www.imdb.com/title/tt0088763/?ref_=fn_tt_tt_1,English,PG,690,1.18
Peter Gallagher,885,40846082,Bridgette Wilson-Sampras,http://www.imdb.com/title/tt0185371/?ref_=fn_tt_tt_1,English,R,828,1.37
Mary J. Blige,607,51697449,Hope Olaide Wilson,http://www.imdb.com/title/tt1385912/?ref_=fn_tt_tt_1,English,PG-13,269,1.85
Erin O'Brien,731,,Cabrina Collesides,http://www.imdb.com/title/tt4280822/?ref_=fn_tt_tt_1,English,,634,
Scott Elrod,544,27758465,Kelli Barrett,http://www.imdb.com/title/tt0889573/?ref_=fn_tt_tt_1,English,PG-13,449,2.35
David Agranov,500,56127162,David Moscow,http://www.imdb.com/title/tt0305711/?ref_=fn_tt_tt_1,English,PG-13,308,1.85
Dominic Cooper,31000,1357042,Ludivine Sagnier,http://www.imdb.com/title/tt1270262/?ref_=fn_tt_tt_1,English,R,3000,2.35
Jenni 'Jwoww' Farley,341,,Paul 'Pauly D' DelVecchio,http://www.imdb.com/title/tt1697237/?ref_=fn_tt_tt_1,English,TV-14,230,1.33
Colm Feore,1000,15911333,Peter Fonda,http://www.imdb.com/title/tt0205461/?ref_=fn_tt_tt_1,English,G,539,1.85
Glenn Morshower,991,39103378,John Aylward,http://www.imdb.com/title/tt0455407/?ref_=fn_tt_tt_1,English,R,894,2.35
Ryûnosuke Kamiki,17,10049886,Miyu Irino,http://www.imdb.com/title/tt0245429/?ref_=fn_tt_tt_1,Japanese,PG,10,1.85
Michael Wong,483,,Terence Yin,http://www.imdb.com/title/tt3341072/?ref_=fn_tt_tt_1,Mandarin,,91,2.35
Anthony Hopkins,14000,8600000,Laurence Olivier,http://www.imdb.com/title/tt0086993/?ref_=fn_tt_tt_1,English,PG,12000,2.35
Sophie Nélisse,876,21483154,Roger Allam,http://www.imdb.com/title/tt0816442/?ref_=fn_tt_tt_1,English,PG-13,526,2.35
Michael Cudlitz,948,8396942,Alice Greczyn,http://www.imdb.com/title/tt1135985/?ref_=fn_tt_tt_1,English,R,822,1.85
Kaitlin Olson,3000,12561,Dominique McElligott,http://www.imdb.com/title/tt1216492/?ref_=fn_tt_tt_1,English,PG,547,2.35
Mel Ferrer,617,,Stephen Boyd,http://www.imdb.com/title/tt0058085/?ref_=fn_tt_tt_1,English,Approved,134,2.2
Michael Biehn,2000,6923891,Dan Fogler,http://www.imdb.com/title/tt0810922/?ref_=fn_tt_tt_1,English,R,2000,2.35
Rosie Perez,1000,5308553,Dante Brown,http://www.imdb.com/title/tt1870529/?ref_=fn_tt_tt_1,English,PG,919,2.35
Kyra Nichols,2,2119994,Margaret Tracey,http://www.imdb.com/title/tt0107719/?ref_=fn_tt_tt_1,English,G,0,1.85
