num_critic_for_reviews,duration,actor_3_facebook_likes,actor_1_facebook_likes,cast_total_facebook_likes,facenumber_in_poster,language,country,content_rating,title_year
252,89,215,902,1980,3,English,USA,PG-13,2012
72,106,471,900,2972,1,English,Spain,R,2003
220,95,478,8000,10040,1,English,USA,R,2013
1,34,362,882,1967,0,English,USA,,1990
197,101,0,334,338,1,English,USA,R,2008
14,112,125,860,1252,0,English,USA,Not Rated,2008
3,100,107,655,1064,7,English,USA,,2006
191,92,936,989,4730,0,English,USA,PG-13,2004
18,100,249,640,1491,1,English,USA,PG-13,2006
28,80,5,191,210,0,English,USA,R,2010
22,106,315,611,1739,2,English,UK,PG-13,2008
62,103,10,127,163,0,German,Germany,R,2000
47,90,35,426,862,0,Spanish,USA,PG-13,2008
238,96,370,2000,4590,0,English,USA,R,2010
2,89,555,794,2579,2,English,USA,TV-PG,2010
95,87,577,968,3157,0,English,Germany,Not Rated,2015
10,94,442,1000,2406,1,English,USA,,2016
28,120,702,1000,5963,10,English,USA,R,1996
25,101,201,973,2306,0,English,Poland,PG-13,2006
121,84,233,586,1490,0,English,USA,R,2006
10,110,109,490,881,0,English,UK,R,2015
172,101,698,1000,3282,0,English,UK,Unrated,2006
20,101,663,844,3132,0,English,UK,R,2012
8,101,226,675,1627,2,English,USA,Passed,1944
8,105,76,847,1668,0,English,USA,PG-13,2011
15,97,326,982,2580,0,English,USA,PG,1998
14,108,244,960,2329,3,English,USA,Approved,1951
12,95,608,1000,3586,4,English,USA,PG-13,2010
48,108,826,2000,4385,2,English,USA,R,2014
17,90,385,11000,12359,0,English,USA,Not Rated,1987
99,120,,16,16,0,English,USA,G,1940
138,104,109,813,1196,0,English,USA,R,1971
,90,0,210,210,1,English,USA,PG-13,2014
235,91,20,72,174,0,English,USA,R,1982
160,92,17,42,170,0,English,USA,R,1985
18,117,275,861,2161,0,English,USA,PG-13,2007
11,120,835,2000,6752,5,English,USA,PG-13,2015
11,90,306,676,1651,2,English,USA,R,2008
7,119,275,509,1490,0,English,USA,Passed,1945
5,90,708,1000,3799,2,English,Spain,R,2015
10,90,18,114,244,3,English,UK,,2005
5,97,782,3000,6085,5,English,USA,,2014
95,90,42,371,558,2,English,Canada,R,2007
97,172,188,749,1941,5,English,USA,Not Rated,1946
76,115,551,730,3293,0,English,USA,R,2001
67,89,14,117,155,0,Norwegian,Norway,R,2001
4,125,17,128,214,0,English,USA,R,2015
252,78,7,120,145,0,Spanish,Spain,R,2007
,89,650,919,3873,1,English,USA,TV-PG,2010
1,100,338,749,1814,0,English,USA,,2015
33,77,260,846,2044,0,English,UK,,2015
19,81,106,412,1020,1,English,USA,,2015
167,115,177,559,1456,0,English,UK,Approved,1963
49,96,14,40,99,2,English,USA,R,1989
1,60,213,480,1736,1,English,USA,,
66,89,45,11000,11192,0,English,USA,PG,1973
533,100,159,314,1062,0,English,USA,R,2014
50,88,258,11000,12034,5,English,USA,R,1972
127,129,161,3000,3833,0,English,USA,Not Rated,1962
177,87,41,745,1396,0,English,Australia,R,1981
77,102,75,483,768,1,Cantonese,Hong Kong,R,1994
103,152,177,618,1404,0,English,UK,Not Rated,1962
123,118,103,173,563,0,English,USA,R,1999
218,86,32,120,218,0,English,France,R,2011
215,137,155,380,927,3,German,Germany,R,2006
34,129,341,690,2300,7,English,USA,PG-13,2011
100,134,366,654,2290,1,English,USA,Unrated,1961
12,119,380,1000,2555,8,English,USA,Passed,1940
167,80,0,23,29,0,French,France,PG-13,2003
56,89,580,912,3163,3,English,Canada,PG-13,1998
180,101,92,14000,14412,0,English,USA,R,2003
211,80,3,50,65,0,English,USA,R,2004
157,115,35,85,318,0,Spanish,Mexico,R,2000
126,100,374,1000,2186,2,English,USA,R,2003
61,118,167,936,1846,3,English,USA,Approved,1947
365,100,179,34000,34446,2,English,USA,R,2010
121,106,3,21,29,0,English,UK,R,2003
10,106,300,480,1833,2,English,USA,Approved,1938
151,91,244,538,1349,0,English,USA,R,2005
171,105,18,13000,13145,0,English,USA,PG-13,2010
158,96,328,804,3013,0,English,UK,R,2015
167,116,116,251,675,1,English,France,R,1999
118,116,2000,24000,50313,2,English,USA,R,2005
39,97,349,1000,2739,1,English,USA,PG-13,2015
108,101,685,8000,11327,0,English,USA,R,2002
65,98,186,265,901,1,English,UK,R,1986
8,22,344,459,1359,3,English,USA,TV-14,
85,150,401,597,1645,0,English,UK,PG-13,1996
160,101,37,71,226,3,English,USA,Unrated,2006
231,90,0,56,56,0,Hebrew,Israel,R,2008
7,120,40,178,359,1,English,USA,PG-13,2003
79,102,17,393,446,0,English,USA,,2007
168,102,80,10000,11184,3,English,USA,R,2015
1,60,143,11000,11618,5,English,USA,,
107,100,65,168,408,0,English,UK,PG,2007
200,104,887,991,3427,1,English,USA,PG,2010
123,89,218,373,1136,0,English,USA,NC-17,2005
39,99,120,388,1156,1,English,USA,R,2000
41,96,490,584,3011,4,English,UK,PG-13,1997
46,86,126,189,768,0,English,USA,R,2010
30,98,164,1000,1917,1,French,France,R,1985
46,96,902,49000,51441,2,English,USA,PG-13,2004
221,94,268,386,1511,1,English,USA,R,2007
51,91,0,33,36,1,English,USA,PG-13,1998
1,,72,353,613,2,Hindi,India,,2000
58,90,137,326,865,1,English,UK,R,2004
45,85,966,22000,36885,1,English,USA,R,2009
44,96,20,5000,5535,2,English,UK,R,1997
74,129,256,25000,26176,0,English,USA,R,2015
20,60,543,780,4280,2,English,USA,TV-14,
6,93,24,532,653,0,Hindi,India,PG,2008
5,100,267,584,1307,4,English,USA,Not Rated,2003
10,97,395,589,2522,,English,Thailand,PG,2013
81,94,89,10000,10869,7,English,USA,PG-13,2014
66,95,399,529,2749,3,English,USA,,2009
46,97,163,787,1362,1,English,USA,R,1993
34,92,1000,26000,39518,2,English,UK,R,2005
78,96,85,363,774,1,English,USA,R,2006
52,85,455,985,3065,1,English,USA,PG-13,2002
29,87,94,160,776,0,English,USA,Not Rated,2015
161,91,418,13000,14561,1,English,UK,R,2008
18,99,395,638,2341,2,English,USA,R,2013
107,88,161,513,1593,3,English,UK,R,2009
30,119,12,29,86,2,English,South Africa,R,2008
24,99,268,766,1650,1,English,UK,R,2004
116,92,103,253,762,0,English,Canada,Not Rated,2011
98,86,47,121,322,0,English,Ireland,R,2012
25,83,107,413,1149,0,English,USA,R,2010
,81,8,674,712,0,English,UK,,2015
40,82,167,11000,11700,3,English,USA,GP,1971
20,102,46,473,892,0,English,USA,Not Rated,2012
8,90,372,601,2395,1,English,USA,R,2007
19,30,424,685,1884,5,English,USA,,
90,92,18,1000,1055,1,English,USA,Not Rated,1947
21,88,332,633,2620,0,English,USA,R,2008
12,97,171,15000,15740,3,English,USA,R,2002
33,96,722,2000,3683,6,English,USA,R,2012
9,87,424,34000,35796,3,English,USA,,2013
94,106,356,416,1611,2,English,USA,Not Rated,2012
41,107,322,594,2020,1,English,USA,R,2013
38,80,51,16000,16110,0,German,West Germany,M,1967
12,91,293,924,2654,3,English,USA,R,2013
25,99,137,907,1807,0,English,USA,Approved,1966
27,102,119,909,1674,0,English,USA,,2007
2,108,894,10000,15707,1,English,USA,PG-13,2011
23,88,233,680,1425,0,English,USA,R,2015
32,89,618,2000,4968,1,English,USA,,2015
18,92,412,11000,13583,0,English,USA,Not Rated,2015
45,99,223,18000,19649,2,English,USA,R,1986
60,103,482,548,2389,0,English,USA,PG-13,2003
23,90,164,405,1204,2,English,USA,R,2015
363,95,263,16000,17471,0,English,Spain,R,2010
249,97,594,920,3275,1,English,UK,R,2010
68,108,5,161,176,0,Arabic,Egypt,Not Rated,2013
14,95,164,533,1082,5,French,France,Unrated,2006
359,100,534,17000,20051,1,English,USA,R,2013
15,160,71,733,1182,3,Hindi,India,Not Rated,2013
256,101,574,40000,42918,1,English,USA,X,1984
194,90,0,41,68,0,English,UK,PG-13,2008
,86,3,42,90,5,English,New Zealand,,2015
10,89,585,628,4249,6,English,USA,R,2015
311,87,308,463,1958,0,English,France,PG-13,2010
205,98,231,1000,2032,1,English,UK,R,2009
