director_name,duration,actor_1_facebook_likes,actor_1_name,num_voted_users,cast_total_facebook_likes,actor_3_name,movie_imdb_link,num_user_for_reviews,language,content_rating,budget,actor_2_facebook_likes,imdb_score,movie_facebook_likes
James Toback,99,4000,Sarah Michelle Gellar,3754,6776,Joey Lauren Adams,http://www.imdb.com/title/tt0242508/?ref_=fn_tt_tt_1,69,English,R,5500000,902,4.9,113
Aki Kaurismäki,93,232,Jean-Pierre Léaud,15267,391,Jean-Pierre Darroussin,http://www.imdb.com/title/tt1508675/?ref_=fn_tt_tt_1,41,French,Not Rated,3850000,67,7.2,0
Gaspar Noé,99,56,Philippe Nahon,87244,118,Jo Prestia,http://www.imdb.com/title/tt0290673/?ref_=fn_tt_tt_1,664,French,Not Rated,,46,7.4,13000
Hitoshi Matsumoto,99,31,Lindsay Kay Hayward,1658,81,Shinobu Terajima,http://www.imdb.com/title/tt2914838/?ref_=fn_tt_tt_1,12,Japanese,Unrated,5500000,17,6.1,543
Rakeysh Omprakash Mehra,157,397,Anupam Kher,70233,1519,Madhavan,http://www.imdb.com/title/tt0405508/?ref_=fn_tt_tt_1,321,Hindi,Not Rated,,227,8.4,0
Collin Schiffli,90,934,Kim Shaw,605,2030,David Dastmalchian,http://www.imdb.com/title/tt3297554/?ref_=fn_tt_tt_1,8,English,,,697,6.2,679
George Ratliff,96,472,Jim Gaffigan,3788,561,Mike Eshaq,http://www.imdb.com/title/tt1251743/?ref_=fn_tt_tt_1,31,English,R,9000000,39,5.3,1000
David Wain,96,4000,Jon Hamm,15315,4883,Ron Silver,http://www.imdb.com/title/tt0811106/?ref_=fn_tt_tt_1,117,English,R,5250000,543,5.0,915
Shane Meadows,90,5000,Bob Hoskins,4471,6111,Shane Meadows,http://www.imdb.com/title/tt0202559/?ref_=fn_tt_tt_1,47,English,R,,680,7.7,484
Morten Tyldum,100,286,Aksel Hennie,79353,385,Julie R. Ølgaard,http://www.imdb.com/title/tt1614989/?ref_=fn_tt_tt_1,121,Norwegian,R,30300000,52,7.6,23000
Jon Wright,94,796,Russell Tovey,13227,1832,Bronagh Gallagher,http://www.imdb.com/title/tt1525366/?ref_=fn_tt_tt_1,70,English,Not Rated,4000000,567,6.3,11000
Michael McGowan,98,393,Campbell Scott,4976,955,Gordon Pinsent,http://www.imdb.com/title/tt0384488/?ref_=fn_tt_tt_1,52,English,PG-13,6000000,259,7.6,989
Liv Ullmann,129,631,Samantha Morton,2894,631,Colin Farrell,http://www.imdb.com/title/tt2667960/?ref_=fn_tt_tt_1,14,English,PG-13,5500000,0,5.6,0
Jeannot Szwarc,103,208,Teresa Wright,21049,454,George Voskovec,http://www.imdb.com/title/tt0081534/?ref_=fn_tt_tt_1,249,English,PG,5100000,191,7.3,0
Rohan Sippy,128,374,Abhishek Bachchan,3266,787,Prateik,http://www.imdb.com/title/tt1618430/?ref_=fn_tt_tt_1,27,Hindi,R,,282,6.2,421
James Wan,106,852,Lin Shaye,109214,2975,Leigh Whannell,http://www.imdb.com/title/tt2226417/?ref_=fn_tt_tt_1,269,English,PG-13,5000000,618,6.6,35000
Darren Lynn Bousman,95,1000,Emmanuelle Vaugier,188679,4134,Shawnee Smith,http://www.imdb.com/title/tt0432348/?ref_=fn_tt_tt_1,864,English,R,4000000,654,6.6,0
Dan Trachtenberg,104,14000,Bradley Cooper,126893,14504,Sumalee Montano,http://www.imdb.com/title/tt1179933/?ref_=fn_tt_tt_1,440,English,PG-13,15000000,338,7.3,33000
Jeff Tremaine,87,608,Bam Margera,67992,1770,Chris Pontius,http://www.imdb.com/title/tt0322802/?ref_=fn_tt_tt_1,327,English,R,5000000,362,6.6,0
David F. Sandberg,81,2000,Billy Burke,13523,3344,Gabriel Bateman,http://www.imdb.com/title/tt4786282/?ref_=fn_tt_tt_1,95,English,PG-13,4900000,509,6.9,0
Henry Joost,94,581,Johanna Braddy,76828,2371,Christopher Nicholas Smith,http://www.imdb.com/title/tt1778304/?ref_=fn_tt_tt_1,314,English,R,5000000,438,5.8,24000
Stiles White,89,852,Lin Shaye,31915,5056,Daren Kagasoff,http://www.imdb.com/title/tt1204977/?ref_=fn_tt_tt_1,159,English,PG-13,5000000,707,4.4,18000
Chuck Russell,88,506,John Saxon,49820,1584,Jennifer Rubin,http://www.imdb.com/title/tt0093629/?ref_=fn_tt_tt_1,311,English,X,4500000,449,6.6,0
Joel Edgerton,108,1000,Busy Philipps,79916,3215,Wendell Pierce,http://www.imdb.com/title/tt4178092/?ref_=fn_tt_tt_1,279,English,R,5000000,562,7.1,15000
Eugenio Derbez,115,399,Eugenio Derbez,22105,688,Hugo Stiglitz,http://www.imdb.com/title/tt2378281/?ref_=fn_tt_tt_1,81,Spanish,PG-13,5000000,89,7.6,14000
Henry Joost,96,235,Matt Shively,51204,799,Alisha Boe,http://www.imdb.com/title/tt2109184/?ref_=fn_tt_tt_1,247,English,R,5000000,119,4.6,26000
Henry Koster,135,726,Richard Burton,6359,1920,Victor Mature,http://www.imdb.com/title/tt0046247/?ref_=fn_tt_tt_1,69,English,Unrated,5000000,422,6.8,0
Blake Edwards,113,462,Burt Kwouk,19596,971,Catherine Schell,http://www.imdb.com/title/tt0072081/?ref_=fn_tt_tt_1,73,English,G,5000000,278,7.1,620
Rachel Talalay,93,40000,Johnny Depp,30765,42002,Yaphet Kotto,http://www.imdb.com/title/tt0101917/?ref_=fn_tt_tt_1,252,English,R,8500000,618,4.9,963
Patty Jenkins,109,9000,Charlize Theron,105568,11736,Pruitt Taylor Vince,http://www.imdb.com/title/tt0340855/?ref_=fn_tt_tt_1,533,English,R,4500000,844,7.3,0
Richard Fleischer,127,617,James Mason,22123,799,Paul Lukas,http://www.imdb.com/title/tt0046672/?ref_=fn_tt_tt_1,108,English,Approved,5000000,53,7.2,0
Christopher Landon,101,510,Richard Cabral,31791,2161,Molly Ephraim,http://www.imdb.com/title/tt2473682/?ref_=fn_tt_tt_1,155,English,R,5000000,358,5.0,10000
David Lynch,124,12000,Anthony Hopkins,161972,13864,Dexter Fletcher,http://www.imdb.com/title/tt0080678/?ref_=fn_tt_tt_1,356,English,PG,5000000,754,8.2,9000
Jean-Marc Vallée,117,11000,Matthew McConaughey,326494,17738,Denis O'Hare,http://www.imdb.com/title/tt0790636/?ref_=fn_tt_tt_1,340,English,R,5000000,3000,8.0,65000
David Gelb,83,10000,Olivia Wilde,28513,11771,Donald Glover,http://www.imdb.com/title/tt2918436/?ref_=fn_tt_tt_1,126,English,PG-13,3300000,830,5.2,0
Christopher Nolan,113,716,Callum Rennie,845580,1997,Jorja Fox,http://www.imdb.com/title/tt0209144/?ref_=fn_tt_tt_1,2067,English,R,9000000,651,8.5,40000
Mike Flanagan,104,972,James Lafferty,85688,2071,Garrett Ryan,http://www.imdb.com/title/tt2388715/?ref_=fn_tt_tt_1,339,English,R,5000000,407,6.5,23000
Kevin Smith,97,1000,Ethan Suplee,114797,2990,Brian O'Halloran,http://www.imdb.com/title/tt0424345/?ref_=fn_tt_tt_1,472,English,R,5000000,898,7.4,0
Stephen Daldry,110,838,Julie Walters,98354,1122,Jamie Draven,http://www.imdb.com/title/tt0249462/?ref_=fn_tt_tt_1,433,English,R,5000000,203,7.7,0
Nat Faxon,103,7000,Steve Carell,115813,8375,Jim Rash,http://www.imdb.com/title/tt1727388/?ref_=fn_tt_tt_1,216,English,PG-13,5000000,468,7.4,22000
George Jackson,94,901,William Schallert,3571,2523,Helen Martin,http://www.imdb.com/title/tt0102065/?ref_=fn_tt_tt_1,11,English,R,5000000,413,5.1,232
George Miller,102,492,Tony Bonner,5894,854,Tom Burlinson,http://www.imdb.com/title/tt0084296/?ref_=fn_tt_tt_1,56,English,PG,3500000,155,7.3,0
Maurice Joyce,77,2000,Frank Welker,2448,2908,Alice Playten,http://www.imdb.com/title/tt0187819/?ref_=fn_tt_tt_1,18,English,G,5000000,804,5.0,122
Robert Duvall,134,205,John Beasley,11622,428,June Carter Cash,http://www.imdb.com/title/tt0118632/?ref_=fn_tt_tt_1,157,English,PG-13,5000000,130,7.2,1000
Frank Perry,129,977,Faye Dunaway,10564,2014,Diana Scarwid,http://www.imdb.com/title/tt0082766/?ref_=fn_tt_tt_1,161,English,R,5000000,485,6.7,0
Jesse Peretz,90,11000,Zooey Deschanel,74875,15710,Steve Coogan,http://www.imdb.com/title/tt1637706/?ref_=fn_tt_tt_1,115,English,R,5000000,3000,6.4,11000
Stephen Hopkins,134,882,William Hurt,11744,2410,David Kross,http://www.imdb.com/title/tt3499096/?ref_=fn_tt_tt_1,49,English,PG-13,,845,7.1,0
Ice Cube,104,1000,Bernie Mac,4345,2868,Chrystale Wilson,http://www.imdb.com/title/tt0119905/?ref_=fn_tt_tt_1,26,English,R,4500000,597,5.6,575
Tim Blake Nelson,95,1000,Mekhi Phifer,17333,3300,John Heard,http://www.imdb.com/title/tt0184791/?ref_=fn_tt_tt_1,153,English,R,5000000,835,6.2,0
John Erick Dowdle,93,1000,Ben Feldman,49948,1410,Perdita Weeks,http://www.imdb.com/title/tt2870612/?ref_=fn_tt_tt_1,211,English,R,5000000,200,6.1,14000
Bille Woodruff,106,1000,Boris Kodjoe,5975,2840,Sharon Leal,http://www.imdb.com/title/tt2205401/?ref_=fn_tt_tt_1,33,Spanish,R,5000000,694,5.2,0
Kasi Lemmons,109,2000,Jurnee Smollett-Bell,6915,3843,Diahann Carroll,http://www.imdb.com/title/tt0119080/?ref_=fn_tt_tt_1,209,English,R,6000000,434,7.3,599
Richard Glatzer,101,17000,Kristen Stewart,86077,19673,Seth Gilliam,http://www.imdb.com/title/tt3316960/?ref_=fn_tt_tt_1,195,English,PG-13,5000000,2000,7.5,45000
Michael Curtiz,139,535,Gene Tierney,2498,2112,Jean Simmons,http://www.imdb.com/title/tt0046949/?ref_=fn_tt_tt_1,67,English,Approved,5000000,440,6.6,376
Bruce Malmuth,99,13000,Sylvester Stallone,12519,14306,Persis Khambatta,http://www.imdb.com/title/tt0082817/?ref_=fn_tt_tt_1,107,English,R,5000000,970,6.4,0
Rob Hedden,100,935,Kane Hodder,22961,1327,Scott Reeves,http://www.imdb.com/title/tt0097388/?ref_=fn_tt_tt_1,291,English,R,5000000,120,4.5,1000
Joel Zwick,95,567,Nia Vardalos,102071,1495,Lainie Kazan,http://www.imdb.com/title/tt0259446/?ref_=fn_tt_tt_1,756,English,PG,5000000,312,6.6,5000
Harmony Korine,94,11000,James Franco,108683,12306,Rachel Korine,http://www.imdb.com/title/tt2101441/?ref_=fn_tt_tt_1,561,English,R,5000000,892,5.3,25000
Joe Chappelle,93,742,Donald Pleasence,20815,1227,Mitchell Ryan,http://www.imdb.com/title/tt0113253/?ref_=fn_tt_tt_1,335,English,R,5000000,152,4.9,0
Alfonso Cuarón,106,269,Maribel Verdú,91377,361,María Aura,http://www.imdb.com/title/tt0245574/?ref_=fn_tt_tt_1,385,Spanish,R,2000000,43,7.7,0
Edgar Wright,99,605,Peter Serafinowicz,395921,1686,Rafe Spall,http://www.imdb.com/title/tt0365748/?ref_=fn_tt_tt_1,859,English,R,4000000,427,8.0,19000
Mickey Liddell,82,1000,Jessica Lowndes,7904,4856,Haley Bennett,http://www.imdb.com/title/tt1045655/?ref_=fn_tt_tt_1,113,English,PG-13,5000000,984,3.8,562
John Sayles,135,11000,Matthew McConaughey,23202,11400,Miriam Colon,http://www.imdb.com/title/tt0116905/?ref_=fn_tt_tt_1,173,English,R,5000000,189,7.6,0
Dwight H. Little,88,742,Donald Pleasence,29629,1136,Ellie Cornell,http://www.imdb.com/title/tt0095271/?ref_=fn_tt_tt_1,374,English,R,5000000,120,5.9,0
Fred Walton,89,690,Thomas F. Wilson,10624,1160,Clayton Rohner,http://www.imdb.com/title/tt0090655/?ref_=fn_tt_tt_1,125,English,R,5000000,190,6.2,0
Barry Levinson,110,801,Steve Guttenberg,14995,2943,Ellen Barkin,http://www.imdb.com/title/tt0083833/?ref_=fn_tt_tt_1,87,English,R,5000000,796,7.2,0
Steve Carver,107,926,David Carradine,7973,2383,Robert Beltran,http://www.imdb.com/title/tt0085862/?ref_=fn_tt_tt_1,65,English,PG,5000000,400,6.3,0
Gonzalo López-Gallego,86,520,Warren Christie,47227,1520,Andrew Airlie,http://www.imdb.com/title/tt1772240/?ref_=fn_tt_tt_1,323,English,PG-13,5000000,270,5.2,0
Christine Jeffs,91,968,Clifton Collins Jr.,61151,2528,Paul Dooley,http://www.imdb.com/title/tt0862846/?ref_=fn_tt_tt_1,134,English,R,8000000,934,6.9,0
John Erick Dowdle,103,155,Sterling Jerins,48675,259,Sahajak Boonthanakit,http://www.imdb.com/title/tt1781922/?ref_=fn_tt_tt_1,214,English,R,5000000,78,6.8,16000
Don Coscarelli,90,21000,Vanna Bonta,15345,23714,Rip Torn,http://www.imdb.com/title/tt0083630/?ref_=fn_tt_tt_1,87,English,PG,8000000,982,6.2,0
King Vidor,141,746,Gina Lollobrigida,2017,1332,Finlay Currie,http://www.imdb.com/title/tt0053290/?ref_=fn_tt_tt_1,33,English,,5000000,333,6.2,270
