director_name,duration,actor_2_name,genres,movie_title,actor_3_name,facenumber_in_poster,movie_imdb_link,language,content_rating,title_year,aspect_ratio
Clint Eastwood,141,Michael Kelly,Crime|Drama|Mystery|Thriller,Changeling ,Colm Feore,0,http://www.imdb.com/title/tt0824747/?ref_=fn_tt_tt_1,English,R,2008,2.35
Andrew Davis,107,Morgan Freeman,Action|Drama|Sci-Fi|Thriller,Chain Reaction ,Kevin Dunn,1,http://www.imdb.com/title/tt0115857/?ref_=fn_tt_tt_1,English,PG-13,1996,1.85
Tony Scott,116,Kurt Fuller,Action|Drama|Sport|Thriller,The Fan ,Ellen Barkin,3,http://www.imdb.com/title/tt0116277/?ref_=fn_tt_tt_1,English,R,1996,2.35
Joel Schumacher,143,Minnie Driver,Drama|Musical|Romance|Thriller,The Phantom of the Opera ,Miranda Richardson,0,http://www.imdb.com/title/tt0293508/?ref_=fn_tt_tt_1,English,PG-13,2004,2.35
Shekhar Kapur,114,Abbie Cornish,Biography|Drama|History|War,Elizabeth: The Golden Age ,Jordi Mollà,1,http://www.imdb.com/title/tt0414055/?ref_=fn_tt_tt_1,English,PG-13,2007,1.85
Karyn Kusama,93,Sophie Okonedo,Action|Sci-Fi,Æon Flux ,Paterson Joseph,0,http://www.imdb.com/title/tt0402022/?ref_=fn_tt_tt_1,English,PG-13,2005,2.35
Ron Maxwell,280,Bruce Boxleitner,Drama|History|War,Gods and Generals ,John Castle,0,http://www.imdb.com/title/tt0279111/?ref_=fn_tt_tt_1,English,PG-13,2003,2.35
Robert Butler,100,Lauren Holly,Action|Thriller,Turbulence ,Jeffrey DeMunn,0,http://www.imdb.com/title/tt0120390/?ref_=fn_tt_tt_1,English,R,1997,2.35
Karey Kirkpatrick,107,Ronny Cox,Comedy|Drama|Family|Fantasy,Imagine That ,Richard Schiff,2,http://www.imdb.com/title/tt0780567/?ref_=fn_tt_tt_1,English,PG,2009,2.35
James Bobin,119,Tina Fey,Adventure|Comedy|Crime|Family|Musical,Muppets Most Wanted ,Hugh Bonneville,4,http://www.imdb.com/title/tt2281587/?ref_=fn_tt_tt_1,English,PG,2014,1.85
Jonathan Frakes,95,Philip Winchester,Action|Adventure|Comedy|Family|Sci-Fi,Thunderbirds ,Brady Corbet,0,http://www.imdb.com/title/tt0167456/?ref_=fn_tt_tt_1,English,PG,2004,1.85
Steve Antin,119,Peter Gallagher,Drama|Music|Musical|Romance,Burlesque ,David Walton,1,http://www.imdb.com/title/tt1126591/?ref_=fn_tt_tt_1,English,PG-13,2010,2.35
Jean-Pierre Jeunet,133,André Dussollier,Drama|Mystery|Romance|War,A Very Long Engagement ,Albert Dupontel,1,http://www.imdb.com/title/tt0344510/?ref_=fn_tt_tt_1,French,R,2004,2.35
Stanley Kubrick,152,Shelley Winters,Crime|Drama|Romance,Lolita ,Lois Maxwell,0,http://www.imdb.com/title/tt0056193/?ref_=fn_tt_tt_1,English,Not Rated,1962,1.66
Jim Gillespie,96,Tom Berenger,Crime|Horror|Mystery|Thriller,Eye See You ,Charles S. Dutton,1,http://www.imdb.com/title/tt0160184/?ref_=fn_tt_tt_1,English,R,2002,2.35
Guillermo del Toro,117,Thomas Kretschmann,Action|Horror|Sci-Fi|Thriller,Blade II ,Tony Curran,1,http://www.imdb.com/title/tt0187738/?ref_=fn_tt_tt_1,English,R,2002,1.85
Gabriele Muccino,123,Rosario Dawson,Drama|Romance,Seven Pounds ,Madison Pettis,1,http://www.imdb.com/title/tt0814314/?ref_=fn_tt_tt_1,English,PG-13,2008,2.35
Walter Hill,92,Jason Momoa,Action|Thriller,Bullet to the Head ,Jon Seda,3,http://www.imdb.com/title/tt1308729/?ref_=fn_tt_tt_1,English,R,2012,1.85
Francis Ford Coppola,170,Joe Mantegna,Crime|Drama,The Godfather: Part III ,Bridget Fonda,1,http://www.imdb.com/title/tt0099674/?ref_=fn_tt_tt_1,English,R,1990,1.85
Cameron Crowe,123,Kirsten Dunst,Comedy|Drama|Romance,Elizabethtown ,Judy Greer,0,http://www.imdb.com/title/tt0368709/?ref_=fn_tt_tt_1,English,PG-13,2005,1.85
Anthony Russo,110,Billy Gardell,Comedy|Romance,You, Me and Dupree ,Amanda Detmer,1,http://www.imdb.com/title/tt0463034/?ref_=fn_tt_tt_1,English,PG-13,2006,1.85
Richard Lester,116,Ned Beatty,Action|Adventure|Romance|Sci-Fi,Superman II ,Jackie Cooper,4,http://www.imdb.com/title/tt0081573/?ref_=fn_tt_tt_1,English,PG,1980,2.35
Martin Brest,121,Lenny Venito,Comedy|Crime|Romance,Gigli ,David Backus,0,http://www.imdb.com/title/tt0299930/?ref_=fn_tt_tt_1,English,R,2003,2.35
Steven Zaillian,128,Anthony Hopkins,Drama|Thriller,All the King's Men ,Kevin Dunn,0,http://www.imdb.com/title/tt0405676/?ref_=fn_tt_tt_1,English,PG-13,2006,1.85
John Singleton,99,Vanessa Williams,Action|Crime|Thriller,Shaft ,Daniel von Bargen,0,http://www.imdb.com/title/tt0162650/?ref_=fn_tt_tt_1,English,R,2000,2.35
Don Bluth,94,Kelsey Grammer,Adventure|Animation|Drama|Family|Fantasy|Musical|Mystery|Romance,Anastasia ,Bernadette Peters,1,http://www.imdb.com/title/tt0118617/?ref_=fn_tt_tt_1,English,G,1997,2.35
Baz Luhrmann,127,Kylie Minogue,Drama|Musical|Romance,Moulin Rouge! ,Richard Roxburgh,1,http://www.imdb.com/title/tt0203009/?ref_=fn_tt_tt_1,English,PG-13,2001,2.35
Harold Becker,89,Teri Polo,Crime|Mystery|Thriller,Domestic Disturbance ,Matt O'Leary,1,http://www.imdb.com/title/tt0249478/?ref_=fn_tt_tt_1,English,PG-13,2001,2.35
Scott Cooper,123,Benedict Cumberbatch,Biography|Crime|Drama,Black Mass ,Adam Scott,7,http://www.imdb.com/title/tt1355683/?ref_=fn_tt_tt_1,English,R,2015,2.35
Clint Eastwood,135,Chris Bauer,Drama|History|War,Flags of Our Fathers ,Tom McCarthy,0,http://www.imdb.com/title/tt0418689/?ref_=fn_tt_tt_1,English,R,2006,2.35
F. Gary Gray,118,Leslie Bibb,Crime|Drama|Thriller,Law Abiding Citizen ,Michael Kelly,0,http://www.imdb.com/title/tt1197624/?ref_=fn_tt_tt_1,English,R,2009,2.35
Robert Rodriguez,189,Rosario Dawson,Action|Horror|Thriller,Grindhouse ,Zoë Bell,0,http://www.imdb.com/title/tt0462322/?ref_=fn_tt_tt_1,English,R,2007,2.35
Jonathan Demme,172,Kimberly Elise,Drama|History|Horror,Beloved ,Hill Harper,1,http://www.imdb.com/title/tt0120603/?ref_=fn_tt_tt_1,English,R,1998,1.85
Curtis Hanson,124,Robert Duvall,Drama|Romance|Sport,Lucky You ,Kelvin Han Yee,1,http://www.imdb.com/title/tt0338216/?ref_=fn_tt_tt_1,English,PG-13,2007,2.35
Steven Spielberg,141,Tom Hanks,Biography|Crime|Drama,Catch Me If You Can ,Jennifer Garner,0,http://www.imdb.com/title/tt0264464/?ref_=fn_tt_tt_1,English,PG-13,2002,1.85
Kathryn Bigelow,157,Harold Perrineau,Drama|History|Thriller,Zero Dark Thirty ,Parker Sawyers,0,http://www.imdb.com/title/tt1790885/?ref_=fn_tt_tt_1,English,R,2012,1.85
Peyton Reed,106,John Michael Higgins,Comedy|Drama|Romance,The Break-Up ,Ann-Margret,1,http://www.imdb.com/title/tt0452594/?ref_=fn_tt_tt_1,English,PG-13,2006,1.85
Phyllida Lloyd,108,Meryl Streep,Comedy|Family|Musical|Romance,Mamma Mia! ,Julie Walters,1,http://www.imdb.com/title/tt0795421/?ref_=fn_tt_tt_1,English,PG-13,2008,2.35
Garry Marshall,125,Taylor Lautner,Comedy|Romance,Valentine's Day ,Anne Hathaway,12,http://www.imdb.com/title/tt0817230/?ref_=fn_tt_tt_1,English,PG-13,2010,1.85
Jay Chandrasekhar,107,Jessica Simpson,Action|Adventure|Comedy,The Dukes of Hazzard ,Michael Weston,5,http://www.imdb.com/title/tt0377818/?ref_=fn_tt_tt_1,English,PG-13,2005,2.35
Terrence Malick,215,Miranda Otto,Drama|War,The Thin Red Line ,Dash Mihok,0,http://www.imdb.com/title/tt0120863/?ref_=fn_tt_tt_1,English,R,1998,2.35
David Dobkin,118,Olivia Wilde,Comedy|Fantasy,The Change-Up ,Mircea Monroe,2,http://www.imdb.com/title/tt1488555/?ref_=fn_tt_tt_1,English,R,2011,2.35
Milos Forman,118,Gerry Becker,Biography|Comedy|Drama,Man on the Moon ,Tom Dreesen,1,http://www.imdb.com/title/tt0125664/?ref_=fn_tt_tt_1,English,R,1999,2.35
Martin Scorsese,178,Don Rickles,Biography|Crime|Drama,Casino ,Kevin Pollak,2,http://www.imdb.com/title/tt0112641/?ref_=fn_tt_tt_1,English,R,1995,2.35
Pierre Morel,92,Amber Rose Revah,Action|Thriller,From Paris with Love ,Rebecca Dayan,1,http://www.imdb.com/title/tt1179034/?ref_=fn_tt_tt_1,English,R,2010,2.35
Paul Hunter,104,Mako,Action|Comedy|Fantasy,Bulletproof Monk ,Victoria Smurfit,3,http://www.imdb.com/title/tt0245803/?ref_=fn_tt_tt_1,English,PG-13,2003,2.35
Bobby Farrelly,116,Tony Cox,Comedy,Me, Myself & Irene ,Rob Moran,1,http://www.imdb.com/title/tt0183505/?ref_=fn_tt_tt_1,English,R,2000,1.85
Steve Oedekerk,90,Wanda Sykes,Animation|Comedy|Family,Barnyard ,Maurice LaMarche,1,http://www.imdb.com/title/tt0414853/?ref_=fn_tt_tt_1,English,PG,2006,1.85
John Whitesell,93,Jorge Garcia,Comedy|Family,Deck the Halls ,Alia Shawkat,0,http://www.imdb.com/title/tt0790604/?ref_=fn_tt_tt_1,English,PG,2006,1.85
Chris Weitz,130,Kristen Stewart,Adventure|Drama|Fantasy|Romance,The Twilight Saga: New Moon ,Taylor Lautner,2,http://www.imdb.com/title/tt1259571/?ref_=fn_tt_tt_1,English,PG-13,2009,2.35
Andrew Adamson,90,Chris Miller,Adventure|Animation|Comedy|Family|Fantasy,Shrek ,Bobby Block,1,http://www.imdb.com/title/tt0126029/?ref_=fn_tt_tt_1,English,PG,2001,1.85
George Nolfi,106,Michael Kelly,Romance|Sci-Fi|Thriller,The Adjustment Bureau ,Jon Stewart,2,http://www.imdb.com/title/tt1385826/?ref_=fn_tt_tt_1,English,PG-13,2011,1.85
Kevin Reynolds,155,Morgan Freeman,Action|Adventure|Drama|Romance,Robin Hood: Prince of Thieves ,Michael Wincott,0,http://www.imdb.com/title/tt0102798/?ref_=fn_tt_tt_1,English,PG-13,1991,1.85
Cameron Crowe,139,Kelly Preston,Comedy|Drama|Romance|Sport,Jerry Maguire ,Bonnie Hunt,0,http://www.imdb.com/title/tt0116695/?ref_=fn_tt_tt_1,English,R,1996,1.85
Seth MacFarlane,112,Seth MacFarlane,Comedy|Fantasy,Ted ,Tom Skerritt,1,http://www.imdb.com/title/tt1637725/?ref_=fn_tt_tt_1,English,R,2012,1.85
James L. Brooks,139,Yeardley Smith,Comedy|Drama|Romance,As Good as It Gets ,Shirley Knight,0,http://www.imdb.com/title/tt0119822/?ref_=fn_tt_tt_1,English,PG-13,1997,1.85
Tom Shadyac,115,Philip Seymour Hoffman,Biography|Comedy|Drama|Romance,Patch Adams ,Monica Potter,1,http://www.imdb.com/title/tt0129290/?ref_=fn_tt_tt_1,English,PG-13,1998,2.35
Adam McKay,143,Will Ferrell,Comedy,Anchorman 2: The Legend Continues ,Steve Carell,2,http://www.imdb.com/title/tt1229340/?ref_=fn_tt_tt_1,English,PG-13,2013,2.35
Steven Brill,96,Adam Sandler,Comedy|Romance,Mr. Deeds ,Peter Gallagher,1,http://www.imdb.com/title/tt0280590/?ref_=fn_tt_tt_1,English,PG-13,2002,1.85
J.J. Abrams,112,AJ Michalka,Mystery|Sci-Fi|Thriller,Super 8 ,Zach Mills,0,http://www.imdb.com/title/tt1650062/?ref_=fn_tt_tt_1,English,PG-13,2011,2.35
Steven Soderbergh,131,Albert Finney,Biography|Drama,Erin Brockovich ,Conchata Ferrell,0,http://www.imdb.com/title/tt0195685/?ref_=fn_tt_tt_1,English,R,2000,1.85
Donald Petrie,116,Adam Goldberg,Comedy|Romance,How to Lose a Guy in 10 Days ,Thomas Lennon,2,http://www.imdb.com/title/tt0251127/?ref_=fn_tt_tt_1,English,PG-13,2003,1.85
Phil Lord,112,Craig Roberts,Action|Comedy|Crime,22 Jump Street ,Amber Stevens West,2,http://www.imdb.com/title/tt2294449/?ref_=fn_tt_tt_1,English,R,2014,2.35
Neil Jordan,123,Tom Cruise,Drama|Fantasy|Horror,Interview with the Vampire: The Vampire Chronicles ,Kirsten Dunst,0,http://www.imdb.com/title/tt0110148/?ref_=fn_tt_tt_1,English,R,1994,1.85
Peyton Reed,104,Zooey Deschanel,Comedy|Romance,Yes Man ,Danny Masterson,1,http://www.imdb.com/title/tt1068680/?ref_=fn_tt_tt_1,English,PG-13,2008,2.35
Rawson Marshall Thurber,107,Thomas Kretschmann,Action|Comedy|Crime,Central Intelligence ,Megan Park,2,http://www.imdb.com/title/tt1489889/?ref_=fn_tt_tt_1,English,PG-13,2016,2.35
Chris Columbus,124,Liam Aiken,Comedy|Drama,Stepmom ,Herbert Russell,2,http://www.imdb.com/title/tt0120686/?ref_=fn_tt_tt_1,English,PG-13,1998,2.35
Sean Anders,96,Linda Cardellini,Comedy|Family,Daddy's Home ,Mark L. Young,2,http://www.imdb.com/title/tt1528854/?ref_=fn_tt_tt_1,English,PG-13,2015,1.85
Rob Marshall,125,Meryl Streep,Adventure|Comedy|Drama|Fantasy|Musical,Into the Woods ,Anna Kendrick,1,http://www.imdb.com/title/tt2180411/?ref_=fn_tt_tt_1,English,PG,2014,2.39
Spike Lee,129,James Ransone,Crime|Drama|Mystery|Thriller,Inside Man ,Peter Gerety,2,http://www.imdb.com/title/tt0454848/?ref_=fn_tt_tt_1,English,R,2006,2.35
Brian Helgeland,90,Deborah Kara Unger,Action|Crime|Drama|Thriller,Payback ,William Devane,1,http://www.imdb.com/title/tt0120784/?ref_=fn_tt_tt_1,English,R,1999,2.35
Frank Marshall,109,Joe Don Baker,Action|Adventure|Mystery|Sci-Fi,Congo ,Grant Heslov,0,http://www.imdb.com/title/tt0112715/?ref_=fn_tt_tt_1,English,PG-13,1995,1.85
Cameron Crowe,124,Matt Damon,Comedy|Drama|Family,We Bought a Zoo ,Stephanie Szostak,3,http://www.imdb.com/title/tt1389137/?ref_=fn_tt_tt_1,English,PG,2011,1.85
Alex Proyas,121,Ben Mendelsohn,Drama|Mystery|Sci-Fi|Thriller,Knowing ,Chandler Canterbury,0,http://www.imdb.com/title/tt0448011/?ref_=fn_tt_tt_1,English,PG-13,2009,2.35
Tom Dey,95,Matthew McConaughey,Comedy|Romance,Failure to Launch ,Zooey Deschanel,2,http://www.imdb.com/title/tt0427229/?ref_=fn_tt_tt_1,English,PG-13,2006,2.35
Hideo Nakata,128,Gary Cole,Horror|Mystery,The Ring Two ,Sissy Spacek,0,http://www.imdb.com/title/tt0377109/?ref_=fn_tt_tt_1,English,PG-13,2005,1.85
Glenn Ficarra,118,Emma Stone,Comedy|Drama|Romance,Crazy, Stupid, Love. ,Steve Carell,7,http://www.imdb.com/title/tt1570728/?ref_=fn_tt_tt_1,English,PG-13,2011,2.39
Peter Hewitt,80,Mark Christopher Lawrence,Animation|Comedy|Family|Fantasy,Garfield ,Michael Monks,0,http://www.imdb.com/title/tt0356634/?ref_=fn_tt_tt_1,English,PG,2004,1.85
Joe Roth,99,Cheech Marin,Comedy|Family,Christmas with the Kranks ,Jake Busey,1,http://www.imdb.com/title/tt0388419/?ref_=fn_tt_tt_1,English,PG,2004,2.35
Bennett Miller,133,Robin Wright,Biography|Drama|Sport,Moneyball ,Brad Pitt,1,http://www.imdb.com/title/tt1210166/?ref_=fn_tt_tt_1,English,PG-13,2011,1.85
Wolfgang Petersen,127,Morgan Freeman,Action|Drama|Thriller,Outbreak ,Rene Russo,3,http://www.imdb.com/title/tt0114069/?ref_=fn_tt_tt_1,English,R,1995,1.85
Jaume Collet-Serra,106,Nate Parker,Action|Mystery|Thriller,Non-Stop ,Scoot McNairy,0,http://www.imdb.com/title/tt2024469/?ref_=fn_tt_tt_1,English,PG-13,2014,2.35
Andy Fickman,98,Billy Brown,Action|Adventure|Family|Fantasy|Sci-Fi|Thriller,Race to Witch Mountain ,Tom Everett Scott,3,http://www.imdb.com/title/tt1075417/?ref_=fn_tt_tt_1,English,PG,2009,2.35
James McTeigue,132,Eddie Marsan,Action|Drama|Thriller,V for Vendetta ,Rupert Graves,1,http://www.imdb.com/title/tt0434409/?ref_=fn_tt_tt_1,English,R,2005,2.35
David Dobkin,114,Anna-Louise Plowman,Action|Adventure|Comedy,Shanghai Knights ,Georgina Chapman,2,http://www.imdb.com/title/tt0300471/?ref_=fn_tt_tt_1,English,PG-13,2003,2.35
,45,Gemma Jones,Crime|Drama,Unforgotten             ,Nicola Walker,2,http://www.imdb.com/title/tt4192812/?ref_=fn_tt_tt_1,English,,,
Matthew O'Callaghan,78,Frank Welker,Adventure|Animation|Comedy|Family,Curious George ,Alexander Gould,0,http://www.imdb.com/title/tt0381971/?ref_=fn_tt_tt_1,English,G,2006,1.85
