director_name,num_critic_for_reviews,duration,actor_3_facebook_likes,actor_1_facebook_likes,actor_1_name,movie_title,cast_total_facebook_likes,actor_3_name,movie_imdb_link,num_user_for_reviews,content_rating,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Jim Sheridan,217,105,1000,20000,Natalie Portman,Brothers ,39473,Ethan Suplee,http://www.imdb.com/title/tt0765010/?ref_=fn_tt_tt_1,201,R,2009,15000,7.1,2.35,10000
Sidney Lumet,94,125,968,22000,Peter Dinklage,Find Me Guilty ,37606,Alex Rocco,http://www.imdb.com/title/tt0419749/?ref_=fn_tt_tt_1,108,R,2006,14000,7.1,1.85,0
Stephen Chbosky,364,102,850,8000,Logan Lerman,The Perks of Being a Wallflower ,13631,Kate Walsh,http://www.imdb.com/title/tt1659337/?ref_=fn_tt_tt_1,457,PG-13,2012,3000,8.0,1.85,131000
Jon Hess,19,87,147,683,Burt Young,Excessive Force ,1139,Thomas Ian Griffith,http://www.imdb.com/title/tt0104215/?ref_=fn_tt_tt_1,23,R,1993,155,5.1,1.85,107
Douglas McGrath,129,118,442,2000,Toby Jones,Infamous ,3474,Hope Davis,http://www.imdb.com/title/tt0420609/?ref_=fn_tt_tt_1,102,R,2006,812,7.1,1.85,0
Michael Winterbottom,71,115,887,14000,Milla Jovovich,The Claim ,17104,Shirley Henderson,http://www.imdb.com/title/tt0218378/?ref_=fn_tt_tt_1,92,R,2000,900,6.5,2.35,141
Mark Neveldine,93,91,794,3000,Djimon Hounsou,The Vatican Tapes ,7875,Dougray Scott,http://www.imdb.com/title/tt1524575/?ref_=fn_tt_tt_1,53,PG-13,2015,1000,4.5,1.85,0
Joe Cornish,399,88,304,1000,John Boyega,Attack the Block ,2011,Jodie Whittaker,http://www.imdb.com/title/tt1478964/?ref_=fn_tt_tt_1,297,R,2011,305,6.6,2.35,18000
Angelina Jolie Pitt,110,127,116,306,Jelena Jovanova,In the Land of Blood and Honey ,796,Branko Djuric,http://www.imdb.com/title/tt1714209/?ref_=fn_tt_tt_1,180,R,2011,164,4.3,2.35,0
Brad Anderson,285,94,383,873,Michael Imperioli,The Call ,2812,Roma Maffia,http://www.imdb.com/title/tt1911644/?ref_=fn_tt_tt_1,266,R,2013,461,6.7,1.85,23000
John H. Lee,2,115,29,14000,Liam Neeson,Operation Chromite ,14133,Jung-jae Lee,http://www.imdb.com/title/tt4939066/?ref_=fn_tt_tt_1,1,,2016,81,6.8,,139
John Stainton,61,90,234,477,Steve Irwin,The Crocodile Hunter: Collision Course ,1483,Steve Bastoni,http://www.imdb.com/title/tt0305396/?ref_=fn_tt_tt_1,106,PG,2002,238,5.4,2.35,332
Glenn Ficarra,242,102,113,170,Dameon Clarke,I Love You Phillip Morris ,931,Annie Golden,http://www.imdb.com/title/tt1045772/?ref_=fn_tt_tt_1,162,R,2009,157,6.6,1.85,11000
Jean-Jacques Annaud,62,100,91,581,Rae Dawn Chong,Quest for Fire ,931,Gary Schwartz,http://www.imdb.com/title/tt0082484/?ref_=fn_tt_tt_1,96,R,1981,201,7.4,2.35,0
Denzel Washington,121,117,543,18000,Denzel Washington,Antwone Fisher ,20456,Derek Luke,http://www.imdb.com/title/tt0168786/?ref_=fn_tt_tt_1,159,PG-13,2002,638,7.3,2.35,0
Michael Hoffman,83,109,355,13000,Gabriel Millman,The Emperor's Club ,14347,Rob Morrow,http://www.imdb.com/title/tt0283530/?ref_=fn_tt_tt_1,139,PG-13,2002,795,6.9,1.85,0
Tony Scott,122,121,975,11000,Brad Pitt,True Romance ,23602,Michael Rapaport,http://www.imdb.com/title/tt0108399/?ref_=fn_tt_tt_1,460,R,1993,10000,8.0,2.35,15000
Benedek Fliegauf,88,111,1000,6000,Eva Green,Womb ,9244,Hannah Murray,http://www.imdb.com/title/tt1216520/?ref_=fn_tt_tt_1,35,Unrated,2010,2000,6.4,2.35,0
James Foley,120,100,99,18000,Kevin Spacey,Glengarry Glen Ross ,32288,Jude Ciccolella,http://www.imdb.com/title/tt0104348/?ref_=fn_tt_tt_1,365,R,1992,14000,7.8,2.35,0
Michael Winterbottom,225,109,204,818,Liam Aiken,The Killer Inside Me ,1813,Jay R. Ferguson,http://www.imdb.com/title/tt0954947/?ref_=fn_tt_tt_1,176,R,2010,467,6.1,2.35,0
Paul Schrader,130,93,697,783,Ed Begley Jr.,Cat People ,3700,John Heard,http://www.imdb.com/title/tt0083722/?ref_=fn_tt_tt_1,106,R,1982,782,6.1,1.85,0
Stewart Hendler,167,101,472,1000,Julian Morris,Sorority Row ,3142,Rumer Willis,http://www.imdb.com/title/tt1232783/?ref_=fn_tt_tt_1,126,R,2009,668,5.1,2.35,0
John Cromwell,7,101,135,490,David Niven,The Prisoner of Zenda ,1166,Ronald Colman,http://www.imdb.com/title/tt0029442/?ref_=fn_tt_tt_1,44,Approved,1937,185,7.8,1.37,337
Craig Gillespie,226,106,552,33000,Ryan Gosling,Lars and the Real Girl ,34351,Paul Schneider,http://www.imdb.com/title/tt0805564/?ref_=fn_tt_tt_1,299,PG-13,2007,730,7.4,1.85,19000
Mark Herman,185,94,18,77,Richard Johnson,The Boy in the Striped Pajamas ,156,Cara Horgan,http://www.imdb.com/title/tt0914798/?ref_=fn_tt_tt_1,398,PG-13,2008,32,7.8,1.85,38000
Lars von Trier,177,140,322,963,Catherine Deneuve,Dancer in the Dark ,2894,Björk,http://www.imdb.com/title/tt0168629/?ref_=fn_tt_tt_1,690,R,2000,595,8.0,2.35,0
Gillian Armstrong,28,132,241,1000,Tom Wilkinson,Oscar and Lucinda ,2004,Clive Russell,http://www.imdb.com/title/tt0119843/?ref_=fn_tt_tt_1,50,R,1997,653,6.7,2.35,329
Abel Ferrara,48,99,599,812,Isabella Rossellini,The Funeral ,3337,Gretchen Mol,http://www.imdb.com/title/tt0116378/?ref_=fn_tt_tt_1,48,R,1996,787,6.6,1.85,344
Brian Koppelman,116,90,506,966,Jenna Fischer,Solitary Man ,2661,Richard Schiff,http://www.imdb.com/title/tt1294213/?ref_=fn_tt_tt_1,60,R,2009,681,6.4,1.85,0
Ethan Maniquis,391,105,844,22000,Robert De Niro,Machete ,26233,Cheech Marin,http://www.imdb.com/title/tt0985694/?ref_=fn_tt_tt_1,392,R,2010,982,6.7,1.85,44000
George Hickenlooper,117,108,168,18000,Kevin Spacey,Casino Jack ,18739,Christian Campbell,http://www.imdb.com/title/tt1194417/?ref_=fn_tt_tt_1,51,R,2010,322,6.2,2.35,0
Don Bluth,24,69,191,912,Judith Barsi,The Land Before Time ,1833,Bill Erwin,http://www.imdb.com/title/tt0095489/?ref_=fn_tt_tt_1,133,G,1988,320,7.3,1.33,5000
Je-kyu Kang,86,148,489,717,Min-sik Choi,Tae Guk Gi: The Brotherhood of War ,1730,Dong-gun Jang,http://www.imdb.com/title/tt0386064/?ref_=fn_tt_tt_1,224,R,2004,517,8.1,2.35,0
William Dear,41,118,655,968,Clifton Collins Jr.,The Perfect Game ,4270,Bruce McGill,http://www.imdb.com/title/tt0473102/?ref_=fn_tt_tt_1,33,PG,2009,844,7.0,2.35,0
William Friedkin,304,132,259,1000,Ellen Burstyn,The Exorcist ,2466,Lee J. Cobb,http://www.imdb.com/title/tt0070047/?ref_=fn_tt_tt_1,1058,R,1973,931,8.0,1.37,18000
