movie_title,actor_3_name,facenumber_in_poster,plot_keywords,language,actor_2_facebook_likes
La otra conquista ,Damián Delgado,0,1520s|aztec|indian|spanish colonization|spanish conquest,Spanish,16
Trollhunter ,Glenn Erland Tosterud,0,bear|cameraman|hunter|secret government agency|troll,Norwegian,4
Ira & Abby ,Kevin Sussman,3,erectile dysfunction|mugger|mugging|subway robbery|therapy,English,729
The Watch ,Rosemarie DeWitt,4,alien|escape|manager|neighborhood watch|ohio,English,591
Winter Passing ,Dallas Roberts,4,love|michigan|musician|novelist|student,English,8000
D.E.B.S. ,Scoot McNairy,3,1959 cadillac|diamonds|female villain|force field|voyeurism,English,756
The Masked Saint ,Lara Jean Chorostecki,0,,English,294
The Betrayed ,Blaine Anderson,0,blood splatter|ski mask|stolen money|vomiting|warehouse,English,168
Taxman ,Robert Townsend,6,bar|box office flop|dance|one word title|voice over narration,English,893
The Secret             ,Genevieve O'Reilly,3,adultery|baptist church|dentist|double murder|tv mini series,English,133
2:13 ,Jere Burns,0,death|forensic|murder|profiler|serial killer,English,574
Batman: The Dark Knight Returns, Part 2 ,Grey Griffin,0,batman|joker|mutant|tattoo on breast|the joker,English,774
Time to Choose ,Peter Agnefjall,0,,English,3
In the Name of the King: The Last Job ,Ralitsa Paskaleva,1,castle|dragon|kidnapping|satire|sword and sorcery,English,145
Wicked Blood ,Lew Temple,2,chess|drugs|love|meth|pawn,English,660
Dawn Patrol ,Rita Wilson,0,desert|held at gunpoint|marine|revenge|sex on table,English,535
Lords of London ,Glen Murphy,1,gang leader|italian woman|period piece|purgatory|suicide,English,53
High Anxiety ,Dick Van Patten,0,belldon's hysteria|high anxiety|hitchcockian|murder|parody,English,628
March of the Penguins ,Romane Bohringer,0,chick|emperor penguin|journey|ocean|penguin,French,108
Margin Call ,Ashley Williams,8,capital management|financial crisis|financial disaster|investment fraud|management,English,2000
August ,Edward Conna,1,apartment|gay parent|job interview|male pubic hair|pubic hair,English,69
Choke ,Jonah Bobo,0,choking|friend|hospital|restaurant|scam,English,585
Whiplash ,Chris Mulkey,0,conservatory|drummer|emotional abuse|music school|obsession,English,970
City of God ,Alexandre Rodrigues,0,coming of age|male frontal nudity|male nudity|photographer|slum,Portuguese,69
Human Traffic ,Shaun Parkes,2,friday|friend|hip hop|techno rave|weekend,English,472
Day One ,Luis Antonio,7,character name in title|depression|drugs|one word title,English,144
The Dead Girl ,Piper Laurie,0,dead girl|girl|granddaughter|morgue|storage unit,English,505
The Hunt ,Hana Shuan,1,deer|gun|gunshot|hunt|kindergarten teacher,Danish,69
A Christmas Story ,Scott Schwartz,0,bb gun|boy|bully|christmas|tongue stuck on a pole,English,577
Bella ,Eduardo Verástegui,0,inter cultural|latino|restaurant|soccer|train,English,464
Class of 1984 ,Timothy Van Patten,4,back to school|city|high school|sadism|teacher,English,251
The Opposite Sex ,Josh Hopkins,5,bare breasts,English,521
Dreaming of Joseph Lees ,Miriam Margolyes,0,love crime|love triangle|lust|sister sister relationship|unrequited love,English,443
The Class ,Angélica Sancio,7,high school|inner city|school|student|teacher,French,2
Rosemary's Baby ,Charles Grodin,0,devil worship|incubus|paranoia|raped by a demon|satanism,English,563
The Man Who Shot Liberty Valance ,Vera Miles,1,friend|funeral|outlaw|pistol|stagecoach,English,423
Adam ,Amy Irving,0,apartment|asperger's syndrome|children|teacher|writer,English,390
Maria Full of Grace ,Yenny Paola Vega,0,colombia|colombian|drug mule|money|stomach,Spanish,11
Beginners ,Mary Page Keller,4,actress|cancer|death|french|gay relationship,English,394
Feast ,Henry Rollins,0,bar|bloody body of child|dead boy|monster|vomiting,English,2000
Animal House ,Tim Matheson,6,academic probation|camera shot of feet|fraternity|school expulsion|smashing a guitar,English,783
Goldfinger ,Lois Maxwell,2,bikini|covered in melted gold|fort knox|gold|pilot,English,202
Antiviral ,Caleb Landry Jones,0,celebrity|injection|near future|scalpel|stabbed in the mouth,English,480
It's a Wonderful Life ,Thomas Mitchell,0,angel|bank|guardian angel|second chance|small town life,English,275
Trainspotting ,Ewen Bremner,4,drug culture|drugs|filthy toilet|heroin addict|heroin withdrawal,English,887
The Original Kings of Comedy ,Steve Harvey,0,backstage|comedian|concert film|emcee|stand up comedian,English,436
Paranormal Activity 2 ,Micah Sloat,0,california|carlsbad california|house|nanny|security camera,English,332
Waking Ned Devine ,Fionnula Flanagan,0,dead body|death|lottery|small town|village,English,588
Bowling for Columbine ,Bill Clinton,2,bank|columbine|columbine high school killings|firearm|school shooting,English,504
Coming Home ,Ni Yan,1,amnesia|cultural revolution|husband wife relationship|memory|political prisoner,Mandarin,10
A Nightmare on Elm Street 2: Freddy's Revenge ,Marshall Bell,0,freddy krueger|gay|gay subtext|homoeroticism|jock strap,English,359
A Room with a View ,Denholm Elliott,0,male nudity|male pubic hair|nude bathing|piano|pubic hair,English,443
The Purge ,Chris Mulkey,0,class differences|killing spree|one night|suburb|violence,English,810
Sinister ,James Ransone,0,book|found footage|research|snuff film|writer,English,419
Martin Lawrence Live: Runteldat ,Dayna Devon,1,actor name in title|colon in title|four word title|live performance|satire,English,65
Cat on a Hot Tin Roof ,Jack Carson,0,cancer|football|homosexuality|marriage|mississippi,English,197
Beneath the Planet of the Apes ,Victor Buono,0,ape|astronaut|mission|planet|rescue,English,162
Air Bud ,Michael Jeter,0,basketball|boy|dog|dog movie|golden retriever,English,970
Pokémon 3: The Movie ,Lisa Ortiz,0,ash|father|mother|pokemon|professor,Japanese,82
Jason Lives: Friday the 13th Part VI ,Vincent Guastaferro,0,actual animal killed|death|jason voorhees|slasher flick|teen horror,English,316
The Bridge on the River Kwai ,Jack Hawkins,2,allies|bridge|construction|jungle|sabotage,English,119
Spaced Invaders ,Tonya Lee Williams,1,alien|halloween|killer robot|outer space|wrestler costume,English,232
Family Plot ,William Devane,1,actor|diamond|heir|kidnapping|ransom,English,844
The Apartment ,David White,2,apartment|elevator|elevator girl|love|mistress,English,417
Jason Goes to Hell: The Final Friday ,Erin Gray,0,brutality|evil|jason voorhees|paranormal phenomena|terror,English,805
Torn Curtain ,David Opatoshu,1,defection|east germany|germany|iron curtain|scientist,English,16
Dave Chappelle's Block Party ,Lauryn Hill,0,block party|marching band|neighborhood|new york city|tyrannosaurus rex,English,744
Slow West ,Ben Mendelsohn,2,american west|bounty hunter|frontier|horse riding|outlaw,English,884
Krush Groove ,Bobby Brown,0,actress shares first name with character|bar|car wash|city|d.j.,English,178
Next Day Air ,Mike Epps,3,cocaine|package|slow motion scene|topless female nudity|wrong address,English,927
Elmer Gantry ,Edward Andrews,1,1920s|evangelist|preacher|revival|traveling salesman,English,422
Judgment at Nuremberg ,Spencer Tracy,0,judge|law|nazi|nuremberg|war crime,English,862
Trippin' ,Countess Vaughn,3,apostrophe in title|bare breasts|female nudity|nude black woman|prom,English,209
Robot Chicken             ,Breckin Meyer,0,celebrity|robot|satire|sketch comedy|stop motion animation,English,0
Red River ,Harry Carey Jr.,0,cattle|cattle drive|cowboy|kansas|texas,English,376
Phat Girlz ,Joyful Drake,0,female protagonist|size positive|thin|title directed by female|wet dream,English,407
Before Midnight ,Athina Rachel Tsangari,1,friend|greece|greek|hotel room|twin,English,63
Teen Wolf Too ,Kim Darby,1,falling in love|glowing eyes|insult|teenager|three word title,English,168
Phantasm II ,James Le Gros,1,cemetery|female nudity|mortuary|sphere|tall man,English,174
Woman Thou Art Loosed ,Clifton Powell,0,abuse|bishop|death|flashback|poverty,English,637
Real Women Have Curves ,George Lopez,1,education|factory|high school|mexican american|religious icon,English,625
Deadline Gallipoli             ,Luke Ford,0,gallipoli|tv mini series|world war one,English,476
Water ,Seema Biswas,0,ashram|india|love|tradition|widow,Hindi,329
East Is East ,Om Puri,0,england|marriage|muslim|pakistani|salford,English,183
Whipped ,David Heyman,1,dating|diner|masturbation|urination|washington square manhattan new york city,English,324
Kama Sutra: A Tale of Love ,Rekha,0,courtesan|friend|kama sutra|seduction|wedding,English,257
Please Give ,Ann Morgan Guilbert,0,apartment|first date|neighbor|new york|new york city,English,864
Willy Wonka & the Chocolate Factory ,Julie Dawn Cole,1,candy|chocolate|factory|miniaturization|sudden change in size,English,177
Warlock: The Armageddon ,Paula Marshall,0,druid|eclipse|rune|scalping|warlock,English,233
8 Heads in a Duffel Bag ,Dyan Cannon,0,camera shot of feet|female stockinged feet|female stockinged soles|nude pantyhose|pantyhose,English,341
Days of Heaven ,Richard Libertini,0,farm|farm worker|grasshopper|harvest|wealth,English,350
Thirteen Conversations About One Thing ,Amy Irving,2,attorney|happiness|house cleaner|physics|professor,English,813
Jawbreaker ,Jeff Conaway,3,best friend|bitch|friend|popular girl|prom,English,2000
Basquiat ,Courtney Love,4,andy warhol|art|artist|friendship|street artist,English,721
Frances Ha ,Vanessa Ray,0,best friend|black and white|father daughter relationship|female protagonist|mother daughter relationship,English,481
Tsotsi ,Rapulana Seiphemo,1,baby|bathing a baby|criminal|slum|vomiting,Zulu,64
Happiness ,Dylan Baker,9,ensemble cast|episodic structure|satire|social satire|suburb,English,11000
DysFunktional Family ,Robert Noble,1,african american|family relationships|stand up comedian|stand up comedy,English,26
Tusk ,Michael Parks,0,canada|human becoming an animal|mad scientist|part of trilogy|walrus,English,3000
Oldboy ,Hye-jeong Kang,0,brother sister relationship|hypnosis|imprisonment|love|revenge,Korean,78
Letters to God ,Christopher Schmidt,0,cancer|faith|hope|letter|prayer,English,399
Hobo with a Shotgun ,Molly Dunsworth,4,hobo|pedophile|rampage|shotgun|vigilante,English,324
Compadres ,Erick Elias,2,,English,327
Freeway ,Robert Peters,1,freeway|nightmare|police|school|trailer park,English,281
Love's Abiding Joy ,Brianna Brown,0,19th century|faith|mayor|ranch|sheriff,,366
Fish Tank ,Jason Maza,0,15 year old|dancing|essex|little sister|suburb,English,260
Damsels in Distress ,Zach Woods,5,college|college campus|dance craze|depression|fraternity,English,476
Creature             ,Megalyn Echikunwoke,3,author cameo|family relationships|island|monster|two part tv movie,English,539
Bachelorette ,Andrew Rannells,3,bachelorette party|drug use|high school|overdose|wedding dress,English,3000
BrainDead             ,Zach Grenier,0,brains|exploding head|politician|swarm behavior|washington d.c.,English,341
Brave New Girl ,Lindsey Haun,2,based on a book|based on a novel|made for tv movie|music school|support,English,750
Tim and Eric's Billion Dollar Movie ,Bob Ross,3,film in film|man with glasses|reference to steven spielberg|self referential|shopping mall,English,317
The Gambler ,Griffin Cleveland,1,dog|gambler|gambling|gangster|professor,English,571
The Grand             ,Tim Healy,0,concierge|front desk|hotel|maid|prostitute,English,37
Summer Storm ,Robert Stadlober,0,friend|friendship|rowing|storm|summer camp,German,38
Fort McCoy ,Brendan Fehr,1,,English,902
Chain Letter ,Noah Segan,0,blood splatter|chain|murder|mysterious killer|warning,English,298
Just Looking ,Peter Onorati,1,1955 chevrolet|nurse|peeping tom|reference to brooklyn dodgers|spying,English,325
The Divide ,Rosanna Arquette,4,doggystyle sex|rough sex|sodomy|torture|violent sex,English,683
The Eclipse ,Jim Norton,0,ghost|irish|kissing|novelist|widower,English,122
Demonic ,Aaron Yoo,1,death|detective|house|missing|supernatural,English,634
My Big Fat Independent Movie ,David Douglas,1,independent film|spoof,English,27
Alice in Wonderland ,Anne Hathaway,0,alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion,English,25000
The Deported ,Talia Shire,1,actor|italian american|mexico|orphan|usa,English,975
Tanner Hall ,Chris Kattan,2,boarding school|coming of age|female friendship|lesbian|new england,English,396
Open Road ,Emily Nelson,3,dealer|drugs|killer|police,English,124
They Came Together ,Jack McBrayer,2,halloween party|new york city|racism|romcom|spoof,English,1000
30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo ,Olivia Alexander,0,exorcism|female nudity|haunted house|lesbian kiss|masturbation,English,302
Never Back Down 2: The Beatdown ,Jillian Murray,3,bad cop|college|second part|sequel|wrestler,English,606
Point Blank ,Carroll O'Connor,0,criminal|gangster|money|revenge|violence,English,754
Four Single Fathers ,Salvatore Santone,0,number in title|single father,Italian,810
Enter the Dangerous Mind ,Jason Priestley,0,dubstep|tied feet,English,715
Something Wicked ,John Robinson,2,eugene oregon|independent film|obsession,English,747
AWOL-72 ,Brett Wagner,4,police officer|police officer taken hostage,English,779
Iguana ,Fabio Testi,1,19th century|based on novel|disfigurement|harpooner|independent film,English,39
Cinderella ,Lily James,1,dress|duke|fairy godmother|fairy tale|pumpkin,English,520
Chicago Overcoat ,Frank Vincent,3,detective|killer|police|shootout|thong,English,602
Barry Munday ,Shea Whigham,2,doctor|letter|paternity|sex|testicles,English,536
Central Station ,Othon Bastos,0,brazil|letter|rio de janeiro brazil|sertao|teacher,Portuguese,14
Pocketful of Miracles ,Thomas Mitchell,2,1930s|apple|dude|luck|new york city,English,416
Close Range ,Scott Evans,1,corrupt sheriff|drug cartel|flash drive|niece|sheriff,English,277
Boynton Beach Club ,Brenda Vaccaro,8,title spoken by character,English,225
Amnesiac ,Mia Barron,0,child in peril|electroshock therapy|memory|memory loss|teenage girl,English,158
Freakonomics ,Tempestt Bledsoe,0,cheating|economics|experiment|human nature|sumo wrestling,English,412
The Omen ,Billie Whitelaw,2,ambassador|death|hospital|priest|stillborn child,English,139
High Tension ,Oana Pellea,1,car chase|plot twist|police van|rear ending a car|slasher,French,236
Griff the Invisible ,Kelly Paterniti,1,alter ego|awkwardness|office|scientist|superhero,English,96
Unnatural ,Allegra Carpenter,0,alaska|climate change|global|polar bear|scientific,English,234
Hustle & Flow ,Elise Neal,1,baby|friend|hip hop|pimp|stripper,English,247
Some Like It Hot ,George Raft,2,all girl band|band|cross dressing|musician|yacht,English,103
Friday the 13th Part VII: The New Blood ,William Butler,0,death|jason voorhees|massacre|slaughter|telekinesis,English,448
The Wizard of Oz ,Billie Burke,3,evil witch|tornado|witch|wizard|wizard of oz,English,421
Young Frankenstein ,Teri Garr,0,assistant|castle|experiment|frankenstein's monster|scientist,English,595
Diary of the Dead ,Joe Dinicol,0,barn|film student|hospital|mummy|video camera,English,529
Lage Raho Munna Bhai ,Jimmy Shergill,0,love|professor of history|radio|satyagraha|unscrupulous builder,Hindi,426
Ulee's Gold ,Vanessa Zima,1,beekeeper|bound and gagged|dysfunctional family|man with glasses|tied to a chair,English,222
The Black Stallion ,Hoyt Axton,0,black horse|boy horse relationship|horse|rescued by a horse|training,English,81
Sardaar Ji ,Diljit Dosanjh,2,,Panjabi,85
Journey to Saturn ,Casper Christensen,0,crew|cult film|denmark|earth|wristwatch,Danish,33
Donovan's Reef ,Jack Warden,1,falling into water|medical doctor|priest|roof leak|swimming in the ocean,English,370
The Dress ,Henri Garcin,0,bare breasts|bra|panties|topless female nudity|underwear,Dutch,3
A Guy Named Joe ,Irene Dunne,0,heaven|pilot|teacher|training|world war two,English,675
Blazing Saddles ,Harvey Korman,0,railroad|reference to douglas fairbanks|reference to jesse owens|reference to randolph scott|year 1874,English,1000
Friday the 13th: The Final Chapter ,Kimberly Beck,0,friday the thirteenth|hockey mask|jason voorhees|morgue|slasher,English,84
Ida ,Agata Kulesza,1,convent|jew|jewish|nun|poland,Polish,64
Maurice ,Simon Callow,1,homosexuality|love|male full frontal nudity|male rear nudity|one word title,English,249
Beer League ,Seymour Cassel,2,baseball|baseball movie|beer|slacker|softball,English,549
The Astronaut's Wife ,Clea DuVall,0,astronaut|electrocuted in bathtub|mission|pilot|sister,English,9000
Riding Giants ,Laird John Hamilton,1,beach|surfing|surfing contest|two word title|wave,English,52
Timecrimes ,Bárbara Goenaga,0,binoculars|hitchcockian|scissors|time machine|woods,Spanish,76
Silver Medallist ,Zheng Xu,1,color in title,Mandarin,4
Timber Falls ,Beth Broderick,1,hiking|voyeur|voyeurism|west virginia|woods,English,272
Singin' in the Rain ,Cyd Charisse,0,actress|chorus girl|fan|friend|love,English,786
Fat, Sick & Nearly Dead ,Amy Badberg,2,fat|food|health|juice|obese,English,2
A Haunted House ,J.B. Smoove,6,hamburger|parody|priest|psychic|woman in a bikini,English,584
2016: Obama's America ,Dinesh D'Souza,0,critically bashed|partisan commentary|political propoganda|punctuation in title|reenactment,English,118
Halloween II ,Margot Kidder,0,halloween|hospital|michael myers|rampage|vomiting,English,764
That Thing You Do! ,Ethan Embry,6,band|drummer|jazz|pennsylvania|song,English,9000
Halloween III: Season of the Witch ,Nancy Kyes,0,doctor|factory|halloween|holiday horror|stonehenge,English,128
Escape from the Planet of the Apes ,Sal Mineo,0,ape|fear|future|spacecraft|spaceship,English,521
Hud ,Whit Bissell,0,alcoholism|forename as title|rancher|rodeo cowboy|texas,English,189
Kevin Hart: Let Me Explain ,Dana Hanna,0,lying|montreal|reference to twitter|reference to youtube|toronto,English,309
My Own Private Idaho ,Flea,2,friend|hustler|italy|narcolepsy|traveling,English,595
Garden State ,Jill Flint,3,actor|doctor|drugs|home|pain,English,379
Before Sunrise ,Dominik Castell,1,american|conversations|kiss|love|train,English,12
Sur le seuil ,Jean Pierre Bergeron,0,canadian gothic|hospital|murder|paranormal|supernatural,French,16
Jesus' Son ,Mark Webber,1,hospital|love|mennonite|shower|song,English,631
Saving Face ,Jessica Hecht,0,chinese|chinese american|lesbian love|mother daughter relationship|surgeon,English,265
Brick Lane ,Tannishtha Chatterjee,1,arranged marriage|bangladesh|buckingham palace|september 11 2001|title directed by female,English,41
Robot & Frank ,Ana Gasteyer,3,burglary|dementia|near future|robot|thief,English,291
My Life Without Me ,Amanda Plummer,1,cancer|death|doctor|drinking|love,English,648
The Spectacular Now ,Dayo Okeniyi,1,crying man|high school|high school senior|men's clothing store|party,English,1000
Marilyn Hotchkiss' Ballroom Dancing and Charm School ,Michael Bower,0,student film|wonder years,English,577
Religulous ,Steve Burg,1,catholic|christian|jew|muslim|religion,English,4
Fuel ,George W. Bush,0,alternative energy|energy|fuel|green|oil,English,130
Valley of the Heart's Delight ,Tom Bower,7,,English,157
Dodgeball: A True Underdog Story ,Joel David Moore,0,dodgeball|gym|las vegas|pirate|ups,English,939
Eye of the Dolphin ,George Harris,1,dolphin|island|research|tourist|town,English,261
8: The Mormon Proposition ,Gavin Newsom,0,church|marriage|mormon|mormon church|proposition,English,12
The Other End of the Line ,Shriya Saran,2,birthday|call center|fiance|hotel|indian,English,397
Anatomy ,Sebastian Blomberg,0,dissection|male pubic hair|medical school|medical student|train,German,10
Sleep Dealer ,Tenoch Huerta,0,computer|future|mexican immigrant|network|wilhelm scream,Spanish,399
Super ,Paul T. Taylor,0,drug dealer|superhero|tragedy|tragic hero|tragic love,English,973
Christmas Mail ,Lochlyn Munro,2,boss|holiday|letter|north pole|santa,English,607
Stung ,David Masterson,0,catering|monster|one word title|party|wasp,English,625
Antibirth ,Mark Webber,1,,English,677
Get on the Bus ,Andre Braugher,10,actor|bus|march|million man march|religion,English,748
Thr3e ,Justine Waddell,0,bound with duct tape|flash forward|number|riddle|stalking,English,872
Idiocracy ,David Herman,0,experiment|future|hibernation|stupidity|top secret,English,497
The Rise of the Krays ,Kris Sommerville,0,,English,159
This Is England ,Jack O'Connell,0,england|racism|racist|skinhead|violence,English,788
Alien Uprising ,Bianca Brigitte VanDamme,0,acronym in title|period in title|title ends with period,English,722
Bathing Beauty ,Red Skelton,2,college|teacher|theatrical producer|tutu|wedding,English,659
Go for It! ,Rene Rosado,0,exclamation point in title|imperative in title|punctuation in title|three word title,English,618
Dancer, Texas Pop. 81 ,Alexandra Holden,0,best friend|friendship|population|state in title|texas,English,599
Show Boat ,Howard Keel,3,gambling|interracial marriage|love|miscegenation|showboat,English,715
Redemption Road ,Luke Perry,4,death of loved one|loss of father|loss of loved one|musician|singer,English,646
The Calling ,Christopher Heyerdahl,2,bouquet|house fire|praying|serial killer|tied to a chair,English,1000
The Brave Little Toaster ,Mindy Sterling,0,journey|obsolescence|radio|toaster|vacuum cleaner,English,516
Fantasia ,,0,apprentice|classical music|disney|mouse|orchestra,English,0
The French Connection ,Tony Lo Bianco,0,crime boss|drug smuggling|heroin|mafia boss|organized crime,English,165
8 Days ,Ivette Alvarez,1,,English,0
Friday the 13th Part III ,Catherine Parks,0,defecation|hockey mask|jason voorhees|lake|serial killer,English,31
Friday the 13th: A New Beginning ,Dominick Brascia,0,jason voorhees|murder|new jersey|nightmare|teenager,English,27
The Last Sin Eater ,A.J. Buckley,0,1850s|christian film|dark secret|funeral|sin eater,English,425
Do You Believe? ,Madison Pettis,5,belief|faith|pastor|question in title|three word title,English,848
Impact Point ,Linden Ashby,2,championship|hit and run|police|police investigation|volleyball,English,399
The Valley of Decision ,Lionel Barrymore,0,immigrant|maid|steel mill|strike|union,English,284
Eden ,Brad Schmidt,2,flare gun|island|plane crash|soccer team|stranded,English,800
Chicken Tikka Masala ,Shobu Kapoor,3,acceptance|coming out to family|gay|large family|wedding,English,79
Always Woodstock ,Jason Ritter,5,claim in title|contraction in title|new york|new york city|woodstock,English,938
Jack Brooks: Monster Slayer ,Stefanie Drummond,2,cult film|demon|monster slayer|uncle|vomiting,English,52
The Best Years of Our Lives ,Dana Andrews,5,love|pity|readjusting to civilian life|veteran|world war two veteran,English,208
Bully ,Brad Renfro,0,cruelty|friend|male frontal nudity|male nudity|pubic hair,English,648
Elling ,Sven Nordin,0,friendship|mental illness|poet|sex obsession|virgin,Norwegian,21
Mi America ,Brad Lee Wind,0,,English,22
[Rec] ,Carlos Lasarte,0,apartment building|character's point of view camera shot|fire station|subjective camera|television reporter,Spanish,9
Lies in Plain Sight ,Cheyenne Haynes,1,,English,718
Sharkskin ,Carmen Argenziano,0,,English,354
Containment ,Louise Brealey,0,hazmat suit,English,366
The Timber ,Shaun O'Hagan,1,,English,308
From Russia with Love ,Lois Maxwell,0,assassin|british agent|british secret service|decoder|russian,English,201
The Toxic Avenger Part II ,Lisa Gaye,2,bare breasts|japan|tokyo japan|toxic avenger|troma,English,30
In the Heat of the Night             ,Crystal R. Fox,1,detective|mississippi|police|police detective|small town,English,360
Sleeper ,Mews Small,0,frozen|future|health food|leader|police,English,66
It Follows ,Jake Weary,0,ambiguous ending|being followed|sex scene|supernatural|supernatural being,English,189
Everything You Always Wanted to Know About Sex * But Were Afraid to Ask ,Lynn Redgrave,5,aphrodisiac|court jester|jester|queen|written and directed by cast member,English,300
To Kill a Mockingbird ,William Windom,0,1930s|alabama|lawyer|six year old|trial,English,226
Mad Max 2: The Road Warrior ,Kjell Nilsson,0,australian|gasoline|post apocalypse|refinery|warrior,English,531
The Legend of Drunken Master ,Ho-Sung Pak,1,battle|fight|fighting|martial artist|snake,Cantonese,147
Lolita ,Lois Maxwell,0,lolita|nymphet|older man young girl relationship|professor|writer,English,367
Boys Don't Cry ,Jeannetta Arnette,0,drinking|female dressed as male|love|nebraska|transgender,English,148
Silent House ,Adam Trese,0,bound and gagged|girl|haunted house|hearing noises|uninterrupted shot,English,44
The Lives of Others ,Martina Gedeck,3,east germany|police|secret police|stasi|writer,German,284
Courageous ,T.C. Stallings,7,faith|fatherhood|integrity|police|responsibility,English,589
The Hustler ,Murray Hamilton,1,drink|manager|money|partner|pool hall,English,491
Boom Town ,Claudette Colbert,8,oil|oil field|oil tycoon|partnership|wildcatter,English,760
The Triplets of Belleville ,Béatrice Bonifassi,0,belleville|dog|mafia|tour de france|very little dialogue,French,6
Smoke Signals ,Gary Farmer,3,family abandonment|fire|loss of father|native american protagonist|native american reservation,English,752
American Splendor ,Daniel Tay,0,1980s|comic book|dark horse comics|reference to david letterman|robert crumb,English,119
Before Sunset ,Marie Pillet,0,book|bookstore|love|simultaneity|train,English,8
Amores Perros ,Goya Toledo,0,animal in title|dog fight|mexico city|multiple perspectives|nonlinear timeline,Spanish,79
Thirteen ,Kip Pardue,2,13 year olds|adolescence|friend|peer pressure|teacher,English,482
Gentleman's Agreement ,John Garfield,3,bigotry|jewish|prejudice|racism|writer,English,297
Winter's Bone ,Lauren Sweetser,2,bail|crystal meth|family relationships|female protagonist|search for father,English,248
Touching the Void ,Joe Simpson,0,bone|climbing|crevasse|partner|rope,English,5
Alexander's Ragtime Band ,John Carradine,2,band|dance|ragtime|singer|violinist,English,392
Me and You and Everyone We Know ,Miranda July,0,fellatio|seven word title|shoe salesman|title directed by female|written by director,English,363
Inside Job ,Barney Frank,0,florida|iceland|interview|new york city new york|recession,English,125
We Are Your Friends ,Jonny Weston,0,box office flop|critically bashed|male objectification|narcissism|wannabe dj,English,625
Ghost Dog: The Way of the Samurai ,Richard Portnow,1,african american|code|dog|pigeon|samurai,English,147
Harsh Times ,Noel Gugliemi,2,blood splatter|friend|lapd|mexican|violence,English,23000
