actor_3_facebook_likes,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,facenumber_in_poster,num_user_for_reviews,country,budget,title_year,actor_2_facebook_likes,movie_facebook_likes
680,12000,55808744,Comedy|Crime|Music,Dwayne Johnson,Be Cool ,4,323,USA,53000000,2005,1000,0
412,745,47379090,Drama|History|Thriller,Ayelet Zurer,Munich ,0,824,France,70000000,2005,486,0
787,13000,43426961,Action|Drama|Thriller|War,Bruce Willis,Tears of the Sun ,1,394,USA,70000000,2003,1000,0
925,19000,47000485,Action|Comedy|Romance|Thriller,Tom Selleck,Killers ,2,120,USA,75000000,2010,1000,0
104,15000,45434443,Action|Adventure|Comedy,Henry Cavill,The Man from U.N.C.L.E. ,2,360,USA,75000000,2015,509,43000
138,11000,42044321,Comedy|Drama|Romance,Adam Sandler,Spanglish ,2,342,USA,80000000,2004,964,0
925,12000,73661010,Animation|Comedy|Family|Fantasy|Mystery,Steve Buscemi,Monster House ,0,229,USA,75000000,2006,970,0
193,13000,41523271,Comedy|Crime|Drama|Romance,Bruce Willis,Bandits ,2,261,USA,80000000,2001,450,0
249,919,37600435,Action|Adventure|Romance|Thriller,Julia Ormond,First Knight ,3,180,USA,55000000,1995,303,0
99,582,39251128,Drama|History|Romance,Bai Ling,Anna and the King ,2,217,USA,75000000,1999,103,0
222,15000,83503161,Action|Drama|Fantasy|Romance,Henry Cavill,Immortals ,1,405,USA,75000000,2011,1000,30000
759,87000,34636443,Action|Crime|Drama|Mystery|Thriller,Jimmy Bennett,Hostage ,0,288,USA,52000000,2005,13000,0
886,13000,22751979,Action|Adventure|Animation|Family|Sci-Fi,Matt Damon,Titan A.E. ,0,377,USA,75000000,2000,1000,0
541,11000,30013346,Action|Comedy|Crime|Thriller,Harrison Ford,Hollywood Homicide ,2,254,USA,75000000,2003,982,648
533,933,14567883,Action|Drama|Sci-Fi,Connie Nielsen,Soldier ,1,373,UK,75000000,1998,722,0
394,3000,90820,Drama|Horror|Sci-Fi|Thriller,Christopher Meloni,Carriers ,0,119,USA,,2009,552,0
637,3000,5409517,Animation|Comedy|Fantasy,Brendan Fraser,Monkeybone ,0,171,USA,75000000,2001,889,683
568,2000,21009180,Action|Adventure|Drama|Thriller,Dennis Quaid,Flight of the Phoenix ,4,222,USA,45000000,2004,845,1000
963,18000,94999143,Drama|Mystery|Sci-Fi|Thriller,Robin Wright,Unbreakable ,0,1344,USA,75000000,2000,13000,0
1000,7000,336029560,Action|Animation|Comedy|Family|Sci-Fi,Steve Carell,Minions ,0,275,USA,74000000,2015,4000,70000
826,4000,36381716,Action|Fantasy,Jon Hamm,Sucker Punch ,4,918,USA,82000000,2011,2000,42000
697,12000,55585389,Crime|Mystery|Thriller,Nicolas Cage,Snake Eyes ,1,241,USA,69000000,1998,854,880
215,548,36976367,Drama|Mystery|Sci-Fi|Thriller,Peter Coyote,Sphere ,3,274,USA,75000000,1998,270,0
415,22000,107225164,Action|Animation|Comedy|Family,Peter Dinklage,The Angry Birds Movie ,0,126,USA,73000000,2016,1000,14000
715,11000,70224196,Action|Adventure|Comedy|Romance|Thriller,Matthew McConaughey,Fool's Gold ,0,138,USA,70000000,2008,1000,0
130,11000,51814190,Comedy|Drama,Adam Sandler,Funny People ,1,301,USA,75000000,2009,561,0
461,3000,47456450,Action|Drama|Thriller,Jennifer Garner,The Kingdom ,1,289,USA,70000000,2007,638,0
989,8000,148213377,Action|Comedy|Sport,Will Ferrell,Talladega Nights: The Ballad of Ricky Bobby ,5,437,USA,73000000,2006,1000,0
574,1000,112950721,Comedy|Family|Fantasy,Raven-Symoné,Dr. Dolittle 2 ,0,79,USA,72000000,2001,692,266
403,906,75600000,Biography|Drama|History|War,Mhairi Calvey,Braveheart ,1,1065,USA,72000000,1995,466,17000
210,15000,62647540,Action|Drama|War,Jake Gyllenhaal,Jarhead ,0,657,Germany,70000000,2005,383,0
433,745,183132370,Adventure|Animation|Comedy,Albert Brooks,The Simpsons Movie ,0,763,USA,75000000,2007,440,0
745,940,27796042,Drama|Romance,Martin Landau,The Majestic ,1,376,USA,72000000,2001,826,0
462,13000,32616869,Action|Drama|Sport,Sylvester Stallone,Driven ,0,346,USA,72000000,2001,658,886
8,21,18947630,Adventure|Drama|Family,David Gant,Two Brothers ,0,124,France,59660000,2004,17,2000
882,3000,114195633,Drama|Mystery|Romance|Thriller,Bryce Dallas Howard,The Village ,0,2003,USA,60000000,2004,2000,0
595,1000,144156464,Comedy|Family|Fantasy,Oliver Platt,Doctor Dolittle ,0,98,USA,71500000,1998,1000,694
242,710,227965690,Drama|Sci-Fi|Thriller,Rory Culkin,Signs ,0,2335,USA,72000000,2002,529,0
48,692,436471036,Adventure|Animation|Comedy|Family|Fantasy|Romance,Rupert Everett,Shrek 2 ,1,483,USA,150000000,2004,309,0
769,1000,244052771,Adventure|Animation|Comedy|Family|Sport,John Ratzenberger,Cars ,0,584,USA,120000000,2006,843,0
995,8000,152149590,Comedy|Romance,Julia Roberts,Runaway Bride ,2,255,USA,70000000,1999,3000,0
212,14000,141204016,Action|Adventure|Thriller,Vin Diesel,xXx ,0,737,USA,70000000,2002,223,10000
726,870,162495848,Adventure|Animation|Comedy|Family|Fantasy,Tim Conway,The SpongeBob Movie: Sponge Out of Water ,0,133,USA,74000000,2015,861,16000
808,960,136448821,Crime|Thriller,Lili Taylor,Ransom ,1,158,USA,80000000,1996,848,1000
11000,13000,120523073,Adventure|Drama|War,Michael Fassbender,Inglourious Basterds ,1,1527,USA,75000000,2009,11000,42000
5000,49000,119654900,Adventure|Comedy|Family|Fantasy,Robin Williams,Hook ,1,363,USA,70000000,1991,8000,13000
467,12000,72660029,Action|Adventure,Dwayne Johnson,Hercules ,0,269,USA,100000000,2014,3000,21000
576,13000,117541000,Action|Thriller,Bruce Willis,Die Hard 2 ,0,316,USA,70000000,1990,982,0
1000,10000,116643346,Action|Adventure|Crime|Thriller,Jeremy Renner,S.W.A.T. ,1,340,USA,80000000,2003,1000,0
160,898,,Adventure|Drama|Fantasy|Mystery|Thriller,Nicole Beharie,Sleepy Hollow             ,0,110,USA,,,372,14000
509,10000,100614858,Fantasy|Mystery|Romance|Sci-Fi|Thriller,Tom Cruise,Vanilla Sky ,1,1248,USA,68000000,2001,834,0
559,3000,42272747,Drama|Fantasy|Mystery|Thriller,Bryce Dallas Howard,Lady in the Water ,1,1040,USA,70000000,2006,579,0
727,886,80281096,Action|Horror|Sci-Fi|Thriller,Sanaa Lathan,AVP: Alien vs. Predator ,0,1283,USA,60000000,2004,766,0
1000,1000,219613391,Animation|Comedy|Family|Fantasy|Music,Amy Poehler,Alvin and the Chipmunks: The Squeakquel ,0,98,USA,75000000,2009,1000,2000
841,4000,78120196,Action|Drama|History|War,Jon Hamm,We Were Soldiers ,0,742,USA,75000000,2002,973,5000
992,18000,98895417,Action|Thriller,Gerard Butler,Olympus Has Fallen ,3,698,USA,70000000,2013,11000,45000
748,1000,70117571,Action|Adventure|Sci-Fi|Thriller,LeVar Burton,Star Trek: Insurrection ,0,515,USA,58000000,1998,906,1000
464,833,83552429,Action|Sci-Fi,Noel Fisher,Battle Los Angeles ,0,800,USA,70000000,2011,697,25000
883,12000,66257002,Adventure|Drama|Fantasy,Steve Buscemi,Big Fish ,0,816,USA,70000000,2003,1000,26000
184,443,65012000,Drama|Horror|Romance|Thriller,David Hyde Pierce,Wolf ,1,137,USA,70000000,1994,277,0
979,25000,79883359,Drama|War,Jeremy Irvine,War Horse ,1,488,USA,66000000,2011,19000,28000
559,13000,78031620,Drama|War,Bill Murray,The Monuments Men ,7,403,USA,70000000,2014,13000,34000
638,2000,54222000,Adventure|Drama|Sci-Fi|Thriller,Michael Biehn,The Abyss ,0,380,USA,69500000,1989,650,0
17,903,52474616,Drama,Frank Langella,Wall Street: Money Never Sleeps ,2,245,USA,70000000,2010,592,13000
423,3000,55942830,Action|Drama|Fantasy|Horror|War,Dominic Cooper,Dracula Untold ,1,423,USA,70000000,2014,692,37000
774,18000,40932372,Action|Thriller,Denzel Washington,The Siege ,0,281,USA,70000000,1998,13000,0
271,15000,38345403,Adventure|Family|Fantasy|Romance,Henry Cavill,Stardust ,8,492,UK,70000000,2007,588,15000
400,11000,37901509,Adventure|Biography|Drama|History|War,Brad Pitt,Seven Years in Tibet ,1,119,USA,70000000,1997,691,0
244,17000,48430355,Comedy|Drama,Channing Tatum,The Dilemma ,2,141,USA,70000000,2011,1000,0
384,12000,30157016,Action|Adventure|Comedy|Thriller,Anthony Hopkins,Bad Company ,2,189,USA,70000000,2002,405,792
452,12000,28031250,Action|Adventure|Horror|Sci-Fi,Dwayne Johnson,Doom ,0,814,UK,60000000,2005,585,0
150,989,33105600,Action|Adventure|Comedy|Thriller,Gary Cole,I Spy ,1,141,USA,70000000,2002,229,531
324,5000,62321039,Action|Fantasy|Horror,Theo James,Underworld: Awakening ,1,271,USA,70000000,2012,327,24000
66,394,38509342,Comedy|Drama|Musical|Romance,James Martin Kelly,Rock of Ages ,7,356,USA,75000000,2012,217,33000
407,13000,19076815,Drama|War,Bruce Willis,Hart's War ,0,196,USA,60000000,2002,787,997
748,26000,25093607,Action|Crime|Thriller,Jason Statham,Killer Elite ,2,157,UK,35000000,2011,22000,17000
390,1000,18990542,Action|Sci-Fi|Sport,LL Cool J,Rollerball ,3,289,USA,70000000,2002,841,584
298,349,14294842,Action|Crime|Sci-Fi|Thriller,Talisa Soto,Ballistic: Ecks vs. Sever ,1,277,USA,70000000,2002,324,391
695,11000,19819494,Action|Crime|Drama|Thriller,Morgan Freeman,Hard Rain ,0,126,USA,70000000,1998,893,815
443,2000,13596911,Action|Adventure|Animation|Comedy|Crime|Family|Fantasy,Ron Howard,Osmosis Jones ,0,123,USA,70000000,2001,509,2000
854,2000,8460990,Adventure|Animation|Family|Fantasy|Musical,Lea Michele,Legends of Oz: Dorothy's Return ,1,54,USA,70000000,2013,1000,5000
301,26000,7097125,Action|Crime|Drama|Mystery|Thriller,Chris Hemsworth,Blackhat ,1,207,USA,70000000,2015,326,11000
582,11000,37760080,Action|Adventure|Mystery|Sci-Fi|Thriller,Angelina Jolie Pitt,Sky Captain and the World of Tomorrow ,2,618,USA,70000000,2004,1000,0
246,844,5851188,Crime|Mystery|Thriller,Charlotte Rampling,Basic Instinct 2 ,1,313,UK,70000000,2006,729,764
585,13000,25121291,Action|Crime|Mystery|Sci-Fi|Thriller,Sylvester Stallone,Escape Plan ,1,279,USA,50000000,2013,1000,34000
182,576,18821279,Action|Adventure|Fantasy,Roxanne McKee,The Legend of Hercules ,0,202,USA,70000000,2014,358,12000
497,11000,118471320,Action|Drama|Thriller,Morgan Freeman,The Sum of All Fears ,0,568,USA,68000000,2002,655,0
10000,21000,300523113,Adventure|Drama|Fantasy|Romance,Robert Pattinson,The Twilight Saga: Eclipse ,3,498,USA,68000000,2010,17000,29000
580,22000,71069884,Crime|Drama|Thriller,Robert De Niro,The Score ,0,445,USA,68000000,2001,10000,0
975,7000,251501645,Animation|Comedy|Family,Steve Carell,Despicable Me ,0,296,USA,69000000,2010,2000,31000
97,584,35324232,Action|Comedy|Crime|Drama|Thriller,Vincent Pastore,Money Train ,1,62,USA,68000000,1995,220,617
3000,14000,81257500,Comedy,Liam Neeson,Ted 2 ,0,229,USA,68000000,2015,11000,30000
334,614,617840,Adventure|Drama|History|Romance,Max Minghella,Agora ,2,172,Spain,70000000,2009,451,29000
776,1000,29655590,Action|Comedy|Fantasy|Sci-Fi,Janeane Garofalo,Mystery Men ,4,435,USA,65000000,1999,855,0
681,966,45045037,Comedy|Romance,Jenna Fischer,Hall Pass ,3,143,USA,36000000,2011,919,10000
680,14000,28965197,Biography|Drama|Thriller,Al Pacino,The Insider ,1,521,USA,68000000,1999,826,0
531,788,27550735,Action|Drama|History|Thriller,Michael Raymond-James,The Finest Hours ,0,113,USA,,2016,562,12000
135,29000,39380442,Action|Drama|Thriller,Leonardo DiCaprio,Body of Lies ,1,263,USA,70000000,2008,149,0
982,7000,72980108,Comedy,Steve Carell,Dinner for Schmucks ,2,264,USA,,2010,1000,0
911,3000,37516013,Action|Fantasy|Horror,Rufus Sewell,Abraham Lincoln: Vampire Hunter ,0,348,USA,69000000,2012,3000,98000
232,537,87704396,Action|Crime|Romance|Thriller,Will Patton,Entrapment ,1,274,USA,66000000,1999,427,0
359,995,,Comedy,Hector Elizondo,Last Man Standing             ,1,87,USA,,,363,0
745,940,83892374,Drama|Mystery|Sci-Fi|Thriller,Martin Landau,The X Files ,0,297,USA,66000000,1998,826,0
112,14000,5932060,Action|Adventure|Fantasy|War,Colin Firth,The Last Legion ,0,174,UK,35000000,2007,394,0
13000,15000,216119491,Action|Drama|War,Tom Hanks,Saving Private Ryan ,2,2277,USA,70000000,1998,14000,22000
464,3000,43568507,Action|Crime|Drama|Thriller,Rami Malek,Need for Speed ,1,346,USA,66000000,2014,3000,32000
912,2000,182805123,Comedy|Fantasy|Romance,Judy Greer,What Women Want ,1,395,USA,70000000,2000,955,0
835,1000,176387405,Adventure|Animation|Comedy|Family,Goran Visnjic,Ice Age ,0,467,USA,59000000,2002,939,3000
354,11000,33685268,Drama|Horror|Sci-Fi|Thriller,Morgan Freeman,Dreamcatcher ,1,662,USA,68000000,2003,599,4000
655,23000,182204440,Biography|Drama|History|War,Joseph Gordon-Levitt,Lincoln ,0,720,USA,65000000,2012,826,71000
99,18000,171383253,Action|Sci-Fi,Keanu Reeves,The Matrix ,3,3646,USA,63000000,1999,145,25000
552,15000,172071312,Adventure|Drama|History,Tom Hanks,Apollo 13 ,0,296,USA,62000000,1995,968,5000
217,605,119412921,Action|Sci-Fi,Ronny Cox,Total Recall ,0,391,USA,65000000,1990,308,0
775,901,139225854,Comedy|Family|Fantasy,Judge Reinhold,The Santa Clause 2 ,0,116,USA,60000000,2002,857,1000
11000,20000,148775460,Drama|Musical|Romance,Hugh Jackman,Les Misérables ,1,845,USA,61000000,2012,13000,144000
744,15000,115731542,Comedy|Drama|Romance,Tom Hanks,You've Got Mail ,2,556,USA,65000000,1998,793,0
105,8000,100468793,Comedy,Will Ferrell,Step Brothers ,2,277,USA,65000000,2008,3000,0
94,12000,93771072,Action|Adventure|Comedy|Romance|Thriller|Western,Anthony Hopkins,The Mask of Zorro ,0,318,USA,65000000,1998,174,0
490,21000,100448498,Comedy|Drama,Robert Downey Jr.,Due Date ,3,285,USA,65000000,2010,561,25000
465,769,115603980,Biography|Drama|Sport|War,Finn Wittrock,Unbroken ,0,351,USA,65000000,2014,698,35000
416,16000,90454043,Action|Adventure|Thriller,Clint Eastwood,Space Cowboys ,1,326,USA,65000000,2000,495,0
