director_name,num_critic_for_reviews,director_facebook_likes,actor_3_facebook_likes,actor_2_name,gross,movie_title,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,plot_keywords,movie_imdb_link,content_rating,budget,imdb_score,aspect_ratio,movie_facebook_likes
David Anspaugh,21,25,407,Costas Mandylor,375474,The Game of Their Lives ,2613,20354,0,1950s|brazil|soccer|soccer movie|world cup,http://www.imdb.com/title/tt0354595/?ref_=fn_tt_tt_1,PG,20000000,6.2,2.35,445
Andrew Jarecki,140,46,902,Kirsten Dunst,578382,All Good Things ,41249,39515,2,family business|friend|murder|new york city|trial,http://www.imdb.com/title/tt1175709/?ref_=fn_tt_tt_1,R,,6.3,1.85,0
Kevin Reynolds,9,58,324,Jason Scott Lee,305070,Rapa Nui ,3843,1592,1,easter island|location in title|statue|topless female nudity|two word title,http://www.imdb.com/title/tt0110944/?ref_=fn_tt_tt_1,R,20000000,6.4,2.35,399
Stephen Chow,83,0,3,Yuqi Zhang,206678,CJ7 ,11391,82,1,father son relationship|miracle|school|ufo|written and directed by cast member,http://www.imdb.com/title/tt0940709/?ref_=fn_tt_tt_1,PG,,6.5,2.35,1000
Jean-Marie Poiré,8,8,11,Philippe Nahon,146072,Les couloirs du temps: Les visiteurs II ,7147,182,0,jewel|knight|magical potion|sequel|time travel comedy,http://www.imdb.com/title/tt0120882/?ref_=fn_tt_tt_1,,140000000,6.0,2.35,136
Kevin Munroe,138,14,311,Laura Spencer,1183354,Dylan Dog: Dead of Night ,13026,1577,1,close up of eyes|monster|quirkiness|supernatural|vomiting,http://www.imdb.com/title/tt1013860/?ref_=fn_tt_tt_1,PG-13,20000000,5.1,2.35,0
Daniel Algrant,42,3,442,Richard Schiff,121972,People I Know ,9868,15612,3,actor|client|new york|protection|scandal,http://www.imdb.com/title/tt0274711/?ref_=fn_tt_tt_1,R,22000000,5.5,1.85,217
,,,9,George Coulouris,,The Doombolt Chase             ,18,344,4,,http://www.imdb.com/title/tt0166038/?ref_=fn_tt_tt_1,,,7.2,,0
Julie Taymor,92,278,181,Reeve Carney,263365,The Tempest ,6147,3785,2,banishment|sorcery|spirit|staff|storm at sea,http://www.imdb.com/title/tt1274300/?ref_=fn_tt_tt_1,PG-13,20000000,5.4,2.35,0
Alejandro Amenábar,140,448,648,Aaron Ashmore,54734,Regression ,20821,10982,1,inspired by true events|memory|minnesota|police|year 1990,http://www.imdb.com/title/tt3319920/?ref_=fn_tt_tt_1,R,,5.7,2.35,0
Jane Clark,,23,51,Traci Dinwiddie,,The Touch ,118,726,0,lesbian|paris france|period piece|poem|poetess,http://www.imdb.com/title/tt1128219/?ref_=fn_tt_tt_1,,13000,5.2,1.85,30
Daniel Lee,29,10,60,Sammo Kam-Bo Hung,,Three Kingdoms: Resurrection of the Dragon ,5154,1113,3,art of war|china|civil war|female warrior|musician,http://www.imdb.com/title/tt0882978/?ref_=fn_tt_tt_1,R,25000000,6.2,2.35,314
Mike Barker,29,5,716,Nicholas Lea,,Shattered ,25450,20472,1,daughter|gun|nanny|sociopath|suburb,http://www.imdb.com/title/tt0489664/?ref_=fn_tt_tt_1,R,20000000,6.7,2.35,0
Wayne Thornley,39,0,700,Phil LaMarr,,Zambezia ,5203,15680,0,bird|city name in title|falcon|one word title|place name in title,http://www.imdb.com/title/tt1488181/?ref_=fn_tt_tt_1,G,20000000,5.8,1.78,1000
Gnana Rajasekaran,2,0,7,Michael Lieber,,Ramanujan ,102,164,0,ramanujan,http://www.imdb.com/title/tt3037162/?ref_=fn_tt_tt_1,,,7.0,2.35,58
Tom Walsh,2,2,53,Maggie Wheeler,,Dwegons and Leprechauns ,50,1092,4,dwegons,http://www.imdb.com/title/tt1134666/?ref_=fn_tt_tt_1,PG,20000000,4.8,,70
Jonathan Jakubowicz,,23,897,Jurnee Smollett-Bell,,Hands of Stone ,178,27425,0,boxer|boxing|three word title,http://www.imdb.com/title/tt1781827/?ref_=fn_tt_tt_1,R,20000000,7.2,,0
James McTeigue,64,160,889,Roger Rees,,Survivor ,21833,17957,2,cigarette lighter|death|fire|on the run|terrorist,http://www.imdb.com/title/tt3247714/?ref_=fn_tt_tt_1,PG-13,20000000,5.6,2.35,0
Scott Walker,120,17,897,Radha Mitchell,,The Frozen Ground ,43879,16355,3,anchorage alaska|based on true story|pole dancer|serial killer|strip club,http://www.imdb.com/title/tt2005374/?ref_=fn_tt_tt_1,R,27220000,6.4,2.35,11000
John Curran,143,43,7,Sally Hawkins,8047690,The Painted Veil ,77656,2608,0,china|cholera|epidemic|love|marriage,http://www.imdb.com/title/tt0446755/?ref_=fn_tt_tt_1,PG-13,19400000,7.5,2.35,0
Uli Edel,160,34,155,Alexandra Maria Lara,476270,The Baader Meinhof Complex ,29602,1601,2,bonn germany|failed kidnapping|handcuffs|projectile|terrorist,http://www.imdb.com/title/tt0765432/?ref_=fn_tt_tt_1,R,20000000,7.4,1.85,0
Kevin Costner,92,0,232,Michael Spears,184208848,Dances with Wolves ,186485,2398,1,friendship|frontier|honor|outpost|soldier,http://www.imdb.com/title/tt0099348/?ref_=fn_tt_tt_1,PG-13,22000000,8.0,2.35,0
Jake Kasdan,286,52,384,John Michael Higgins,100292856,Bad Teacher ,160418,5547,0,boob job|breast enlargement|breast surgery|cheating on a test|ejaculation,http://www.imdb.com/title/tt1284575/?ref_=fn_tt_tt_1,R,20000000,5.7,1.85,16000
Harold Becker,43,17,551,Michael O'Neill,58571513,Sea of Love ,30213,15914,1,detective|love|single|suspect|title from song,http://www.imdb.com/title/tt0098273/?ref_=fn_tt_tt_1,R,19000000,6.8,1.85,0
Mark Rosman,69,15,528,Lin Shaye,51431160,A Cinderella Story ,62861,3092,2,cinderella story|correspondence|evil step mother|female protagonist|teenage girl,http://www.imdb.com/title/tt0356470/?ref_=fn_tt_tt_1,PG,20000000,5.9,1.85,0
Wes Craven,242,0,157,W. Earl Brown,103001286,Scream ,222018,1212,0,mask|mystery killer|slasher|teenage girl|telephone,http://www.imdb.com/title/tt0117571/?ref_=fn_tt_tt_1,R,15000000,7.2,2.35,11000
Steve Beck,149,17,670,Embeth Davidtz,41867960,Thir13en Ghosts ,65512,3023,0,collector|ghost|ghost hunter|glass house|machine,http://www.imdb.com/title/tt0245674/?ref_=fn_tt_tt_1,R,20000000,5.5,1.33,0
Stanley Kubrick,253,0,413,Shelley Duvall,,The Shining ,610333,2560,0,breaking down a door|haunted hotel|identical twins|labyrinth|twin sisters,http://www.imdb.com/title/tt0081505/?ref_=fn_tt_tt_1,R,19000000,8.4,1.37,37000
Robert Zemeckis,198,0,459,Thomas F. Wilson,210609762,Back to the Future ,732212,3230,0,clock tower|delorean|future|time travel|time travel comedy,http://www.imdb.com/title/tt0088763/?ref_=fn_tt_tt_1,PG,19000000,8.5,1.18,39000
William Malone,147,37,545,Peter Gallagher,40846082,House on Haunted Hill ,45317,2872,0,billionaire|corpse|eccentric|haunted hospital|haunted house,http://www.imdb.com/title/tt0185371/?ref_=fn_tt_tt_1,R,19000000,5.6,1.37,0
Tyler Perry,36,0,256,Mary J. Blige,51697449,I Can Do Bad All by Myself ,8346,1465,6,aunt|immigrant|looting|love|nightclub singer,http://www.imdb.com/title/tt1385912/?ref_=fn_tt_tt_1,PG-13,13000000,4.1,1.85,1000
Rob Hawk,6,97,319,Erin O'Brien,,Fight Valley ,60,2374,4,,http://www.imdb.com/title/tt4280822/?ref_=fn_tt_tt_1,,27000000,5.0,,1000
Josh Gordon,181,8,110,Scott Elrod,27758465,The Switch ,77987,1292,2,artificial insemination|best friend|new york city|sperm|sperm donor,http://www.imdb.com/title/tt0889573/?ref_=fn_tt_tt_1,PG-13,19000000,6.1,2.35,0
Shawn Levy,97,189,306,David Agranov,56127162,Just Married ,57479,2020,2,fall|honeymoon|love|marriage|newlywed,http://www.imdb.com/title/tt0305711/?ref_=fn_tt_tt_1,PG-13,18000000,5.4,1.85,0
Lee Tamahori,167,93,521,Dominic Cooper,1357042,The Devil's Double ,53977,35561,1,betrayal|debauchery|lust|palace|saddam hussein,http://www.imdb.com/title/tt1270262/?ref_=fn_tt_tt_1,R,15000000,7.1,2.35,14000
,,,211,Jenni 'Jwoww' Farley,,Gone, Baby, Gone             ,29,1462,1,lifestyle,http://www.imdb.com/title/tt1697237/?ref_=fn_tt_tt_1,TV-14,,6.6,1.33,0
Britt Allcroft,47,2,402,Colm Feore,15911333,Thomas and the Magic Railroad ,2855,2429,1,locomotive|magic|mountain|railroad|steam locomotive,http://www.imdb.com/title/tt0205461/?ref_=fn_tt_tt_1,G,19000000,3.6,1.85,663
Breck Eisner,308,42,219,Glenn Morshower,39103378,The Crazies ,93272,2609,0,deputy|iowa|rural setting|sheriff|survival,http://www.imdb.com/title/tt0455407/?ref_=fn_tt_tt_1,R,20000000,6.5,2.35,0
Hayao Miyazaki,246,6000,7,Ryûnosuke Kamiki,10049886,Spirited Away ,417971,44,0,anime|bathhouse|pig|spirit|work,http://www.imdb.com/title/tt0245429/?ref_=fn_tt_tt_1,PG,19000000,8.6,1.85,28000
Alan Yuen,23,0,30,Michael Wong,,Firestorm ,1904,635,1,die hard scenario|gunfight|hong kong police|police escort attacked|shootout,http://www.imdb.com/title/tt3341072/?ref_=fn_tt_tt_1,,,6.2,2.35,332
Roger Donaldson,29,79,1000,Anthony Hopkins,8600000,The Bounty ,17982,28094,2,lieutenant|lifeboat|mutiny|sailing ship|ship,http://www.imdb.com/title/tt0086993/?ref_=fn_tt_tt_1,PG,25000000,7.0,2.35,1000
Brian Percival,252,33,326,Sophie Nélisse,21483154,The Book Thief ,98741,1985,1,basement|book|girl|library|track,http://www.imdb.com/title/tt0816442/?ref_=fn_tt_tt_1,PG-13,19000000,7.6,2.35,53000
Sean Anders,102,51,630,Michael Cudlitz,8396942,Sex Drive ,72715,4324,1,amish|friend|friendship|high school|virgin,http://www.imdb.com/title/tt1135985/?ref_=fn_tt_tt_1,R,19000000,6.5,1.85,0
Anand Tucker,134,14,356,Kaitlin Olson,12561,Leap Year ,71276,4094,2,ireland|irish|journey|tradition|travel,http://www.imdb.com/title/tt1216492/?ref_=fn_tt_tt_1,PG,19000000,6.4,2.35,13000
Anthony Mann,30,75,102,Mel Ferrer,,The Fall of the Roman Empire ,6156,1131,0,2nd century|emperor|european history|loosely based on historical events|roman empire,http://www.imdb.com/title/tt0058085/?ref_=fn_tt_tt_1,Approved,19000000,6.7,2.2,560
Michael Dowse,136,31,562,Michael Biehn,6923891,Take Me Home Tonight ,43867,5519,4,friend|night|party|sex scene|sister,http://www.imdb.com/title/tt0810922/?ref_=fn_tt_tt_1,R,23000000,6.3,2.35,0
Daniel Barnz,102,33,505,Rosie Perez,5308553,Won't Back Down ,5147,3260,2,children|inner city|parent|school|teacher,http://www.imdb.com/title/tt1870529/?ref_=fn_tt_tt_1,PG,,6.4,2.35,0
Emile Ardolino,10,22,0,Kyra Nichols,2119994,The Nutcracker ,1153,2,0,christmas|lifting female in air|lifting male in air|lifting someone into the air|little girl,http://www.imdb.com/title/tt0107719/?ref_=fn_tt_tt_1,G,19000000,5.7,1.85,238
Robert Altman,31,500,530,Jennifer Jason Leigh,1292527,Kansas City ,3536,14579,2,1930s|election|female frontal nudity|kansas city|politician,http://www.imdb.com/title/tt0116745/?ref_=fn_tt_tt_1,R,19000000,6.3,1.85,228
James Schamus,63,44,85,Sarah Gadon,560512,Indignation ,550,8972,0,based on novel,http://www.imdb.com/title/tt4193394/?ref_=fn_tt_tt_1,R,,7.8,2.0,599
Andrew Douglas,220,15,16000,Chloë Grace Moretz,64255243,The Amityville Horror ,80903,120797,0,ghost|haunted house|murder|nightmare|priest,http://www.imdb.com/title/tt0384806/?ref_=fn_tt_tt_1,R,19000000,6.0,2.35,0
Spike Jonze,241,0,836,Meryl Streep,22245861,Adaptation. ,143251,25489,0,book|orchid|screenwriter|thief|twin,http://www.imdb.com/title/tt0268126/?ref_=fn_tt_tt_1,R,19000000,7.7,1.85,0
George A. Romero,252,0,233,Shawn Roberts,20433940,Land of the Dead ,78883,1876,8,apocalypse|mercenary|skyscraper|urban setting|zombie apocalypse,http://www.imdb.com/title/tt0418819/?ref_=fn_tt_tt_1,R,15000000,6.2,2.35,0
Danny Pang,23,15,27,Angelica Lee,,Out of Inferno ,625,151,2,,http://www.imdb.com/title/tt2957680/?ref_=fn_tt_tt_1,PG-13,,5.7,1.85,124
Terry Gilliam,156,0,551,Michael Jeter,10562387,Fear and Loathing in Las Vegas ,213226,43105,0,american dream|convertible|drugs|journalist|lawyer,http://www.imdb.com/title/tt0120669/?ref_=fn_tt_tt_1,R,18500000,7.7,2.35,15000
Ricky Gervais,192,0,985,Tina Fey,18439082,The Invention of Lying ,94292,7252,3,genetics|heaven|lie|screenwriter|truth,http://www.imdb.com/title/tt1058017/?ref_=fn_tt_tt_1,PG-13,18500000,6.4,1.85,13000
Nicholas Stoller,351,89,329,Carla Gallo,150056505,Neighbors ,216581,2771,3,broken leg|friendship|jewish|topless female nudity|urination,http://www.imdb.com/title/tt2004420/?ref_=fn_tt_tt_1,R,18000000,6.4,2.35,21000
Chuck Russell,57,55,360,Amy Yasbeck,119938730,The Mask ,265818,2085,0,bank|bank clerk|gangster|loki|mask,http://www.imdb.com/title/tt0110475/?ref_=fn_tt_tt_1,PG-13,18000000,6.9,1.85,0
Penny Marshall,99,545,697,Jon Lovitz,114968774,Big ,153468,28018,1,friend|job|new york city|toy|wish,http://www.imdb.com/title/tt0094737/?ref_=fn_tt_tt_1,PG,18000000,7.3,1.85,0
Larry Charles,343,119,6,Ken Davitian,128505958,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan ,297014,505,1,california|city|kazakhstan|travel|tv reporter,http://www.imdb.com/title/tt0443453/?ref_=fn_tt_tt_1,R,18000000,7.3,1.85,0
Robert Luketic,163,126,584,Raquel Welch,95001351,Legally Blonde ,131801,4380,1,blonde|harvard|law|law school|sorority,http://www.imdb.com/title/tt0250494/?ref_=fn_tt_tt_1,PG-13,18000000,6.2,2.35,0
Leonard Nimoy,110,12000,643,Nichelle Nichols,76400000,Star Trek III: The Search for Spock ,58743,14762,1,dying planet|planet|regaining one's memory|sacrifice|stabbed to death,http://www.imdb.com/title/tt0088170/?ref_=fn_tt_tt_1,PG,17000000,6.6,2.35,0
Scott Derrickson,233,301,457,Colm Feore,75072454,The Exorcism of Emily Rose ,96569,2759,0,death|demonic possession|exorcism|lawyer|priest,http://www.imdb.com/title/tt0404032/?ref_=fn_tt_tt_1,PG-13,20000000,6.7,2.35,0
Mike Mitchell,91,31,489,Eddie Griffin,65535067,Deuce Bigalow: Male Gigolo ,59380,2604,1,aquarium|fish|fish tank|gigolo|norwegian,http://www.imdb.com/title/tt0205000/?ref_=fn_tt_tt_1,R,17000000,5.7,1.85,0
Vic Armstrong,169,179,734,Lea Thompson,13998282,Left Behind ,24854,15044,1,bible quote|chaos|faith|riot|shrine,http://www.imdb.com/title/tt2467046/?ref_=fn_tt_tt_1,PG-13,16000000,3.1,2.35,31000
Thomas Bezucha,142,15,172,Paul Schneider,6061759,The Family Stone ,49077,1615,0,christmas|cruelty|ring|secret|tension,http://www.imdb.com/title/tt0356680/?ref_=fn_tt_tt_1,PG-13,17000000,6.3,1.85,0
Kevin Rodney Sullivan,50,8,521,Sean Patrick Thomas,64955956,Barbershop 2: Back in Business ,10104,3956,4,barbecue|barbershop|blaxploitation|marriage|politics,http://www.imdb.com/title/tt0337579/?ref_=fn_tt_tt_1,PG-13,18000000,5.7,1.85,265
Terry Zwigoff,195,72,566,Tony Cox,60057639,Bad Santa ,107815,3151,2,bartender|christmas|christmas eve|department store|drink,http://www.imdb.com/title/tt0307987/?ref_=fn_tt_tt_1,R,18000000,7.1,1.85,10000
Jay Roach,129,116,481,Charles Napier,53868030,Austin Powers: International Man of Mystery ,183425,10557,2,cartoon on tv|reference to frankenstein|reference to jimi hendrix|scene during end credits|surrealism,http://www.imdb.com/title/tt0118655/?ref_=fn_tt_tt_1,PG-13,17000000,7.0,2.35,0
Kirk Jones,156,52,261,Louis Mandylor,59573085,My Big Fat Greek Wedding 2 ,13562,2259,10,family restaurant|greek|remarriage|suburb|wedding,http://www.imdb.com/title/tt3760922/?ref_=fn_tt_tt_1,PG-13,18000000,6.1,2.35,19000
David Bowers,103,42,557,Rachael Harris,52691009,Diary of a Wimpy Kid: Rodrick Rules ,18727,3567,2,brother|middle school|no opening credits|photograph|school,http://www.imdb.com/title/tt1650043/?ref_=fn_tt_tt_1,PG,21000000,6.6,2.35,0
John McTiernan,217,323,794,Bill Duke,59735548,Predator ,290949,4223,1,box office hit|commando|death of friend|jungle|severed arm,http://www.imdb.com/title/tt0093773/?ref_=fn_tt_tt_1,R,15000000,7.8,1.85,13000
Milos Forman,134,869,521,F. Murray Abraham,51600000,Amadeus ,270790,3076,0,1800s|classical composer|composer|first person narration|opera,http://www.imdb.com/title/tt0086879/?ref_=fn_tt_tt_1,R,18000000,8.3,2.35,16000
Nelson McCormick,146,29,458,Scott Porter,43818159,Prom Night ,27664,4867,0,friend|hotel|killer|murder|prom,http://www.imdb.com/title/tt0926129/?ref_=fn_tt_tt_1,PG-13,20000000,3.9,2.35,1000
Mark Waters,159,70,625,Amy Poehler,86049418,Mean Girls ,245989,5032,4,bully|clique|high school|high school girl|secret,http://www.imdb.com/title/tt0377092/?ref_=fn_tt_tt_1,PG-13,17000000,7.0,1.85,0
Audrey Wells,111,22,148,Lindsay Duncan,43601508,Under the Tuscan Sun ,35718,1310,1,author|book|vacation|villa|writer,http://www.imdb.com/title/tt0328589/?ref_=fn_tt_tt_1,PG-13,18000000,6.7,1.85,0
Robert Altman,187,500,555,Bob Balaban,41300105,Gosford Park ,65201,3261,0,country house|murder|producer|servant|shooting party,http://www.imdb.com/title/tt0280707/?ref_=fn_tt_tt_1,R,19800000,7.3,2.35,0
,20,,650,Melinda Clarke,,The O.C.             ,65785,2546,8,california|lawyer|love|orange county california|wealth,http://www.imdb.com/title/tt0362359/?ref_=fn_tt_tt_1,TV-PG,,7.5,1.78,0
Francis Ford Coppola,44,0,805,Kathleen Turner,41382841,Peggy Sue Got Married ,27149,14672,0,alternate history|alternate timeline|divorce|high school|reunion,http://www.imdb.com/title/tt0091738/?ref_=fn_tt_tt_1,PG-13,18000000,6.3,1.85,0
Alejandro G. Iñárritu,588,0,529,Naomi Watts,42335698,Birdman or (The Unexpected Virtue of Ignorance) ,395087,21668,8,actor|artist|broadway play|replacement|stage,http://www.imdb.com/title/tt2562232/?ref_=fn_tt_tt_1,R,18000000,7.8,1.85,114000
Woody Allen,415,11000,218,Charlie Tahan,33404871,Blue Jasmine ,150082,1353,1,congenital liar|mental breakdown|self deception|snob|talking to oneself,http://www.imdb.com/title/tt2334873/?ref_=fn_tt_tt_1,PG-13,18000000,7.3,2.35,36000
Paul Greengrass,279,521,64,David Alan Basche,31471430,United 93 ,83374,313,0,flight|passenger|plane|september 11 2001|terrorist,http://www.imdb.com/title/tt0475276/?ref_=fn_tt_tt_1,R,15000000,7.6,2.35,0
Bille Woodruff,97,23,582,Mekhi Phifer,30222640,Honey ,36666,4868,2,choreographer|dance|dancer|dancing|hip hop,http://www.imdb.com/title/tt0322589/?ref_=fn_tt_tt_1,PG-13,25000000,5.3,1.85,0
Edward Zwick,60,380,2000,Morgan Freeman,26830000,Glory ,101889,32930,3,army|black soldier|military uniform|prejudice|u.s. civil war,http://www.imdb.com/title/tt0097441/?ref_=fn_tt_tt_1,R,18000000,7.9,1.85,0
Rick Friedberg,27,8,341,Barry Bostwick,26906039,Spy Hard ,29621,2653,2,1990s|dentist|hit with a door|martial arts|museum,http://www.imdb.com/title/tt0117723/?ref_=fn_tt_tt_1,PG-13,18000000,5.3,1.85,588
John Carpenter,212,0,606,Hal Holbrook,21378000,The Fog ,46492,4877,0,california|fog|leper|lighthouse|ship,http://www.imdb.com/title/tt0080749/?ref_=fn_tt_tt_1,R,1000000,6.8,2.35,7000
Sean McNamara,110,80,723,Chris Brochu,43853424,Soul Surfer ,35514,5024,1,christian|christian film|shark|surfer|surfing,http://www.imdb.com/title/tt1596346/?ref_=fn_tt_tt_1,PG,18000000,7.1,2.35,15000
Mike Nichols,45,0,191,Bob Balaban,,Catch-22 ,17277,2032,0,catch 22|friend|insanity|kneed in the groin|military,http://www.imdb.com/title/tt0065528/?ref_=fn_tt_tt_1,R,18000000,7.2,2.35,0
Jody Hill,190,62,59,Celia Weston,23993605,Observe and Report ,52467,727,1,male pubic hair|mall|police detective|pubic hair|security guard,http://www.imdb.com/title/tt1197628/?ref_=fn_tt_tt_1,R,18000000,5.8,2.35,0
Richard Fleischer,77,130,406,Olivia d'Abo,26400000,Conan the Destroyer ,62009,2481,1,gods|princess|queen|rescue|wizard,http://www.imdb.com/title/tt0087078/?ref_=fn_tt_tt_1,PG,18000000,5.8,2.35,2000
Martin Scorsese,151,17000,356,Cathy Moriarty,45250,Raging Bull ,235133,23008,1,boxing|domestic violence|hot temper|jealousy|rage,http://www.imdb.com/title/tt0081398/?ref_=fn_tt_tt_1,R,18000000,8.3,1.85,0
Brandon Camp,111,7,827,Sasha Alexander,22927390,Love Happens ,25344,4947,0,florist|motivational speaker|self help guru|seminar|widower,http://www.imdb.com/title/tt0899106/?ref_=fn_tt_tt_1,PG-13,18000000,5.6,1.85,0
Barry Levinson,64,272,124,Roger Ashton-Griffiths,4250320,Young Sherlock Holmes ,14870,605,1,cult|death|delusion|girl|sherlock holmes,http://www.imdb.com/title/tt0090357/?ref_=fn_tt_tt_1,PG-13,18000000,6.8,1.85,0
Kevin Tancharoen,134,64,637,Kay Panabaker,22452209,Fame ,14062,5734,0,new york|performing arts|school|student|teacher,http://www.imdb.com/title/tt1016075/?ref_=fn_tt_tt_1,PG,18000000,5.0,2.35,0
Danny Boyle,450,0,223,Treat Williams,18329466,127 Hours ,279179,11984,0,alone|aron ralston|based on autobiography|canyon|survival,http://www.imdb.com/title/tt1542344/?ref_=fn_tt_tt_1,R,18000000,7.6,1.85,63000
Woody Allen,128,11000,975,Jon Lovitz,17071230,Small Time Crooks ,31169,23283,0,apartment building|crook|new york city|three word title|written and directed by cast member,http://www.imdb.com/title/tt0196216/?ref_=fn_tt_tt_1,PG,18000000,6.7,1.85,812
Nicholas Hytner,68,13,111,Susan May Pratt,17174870,Center Stage ,15817,1201,2,ballet|dance|dancer|dancing|love,http://www.imdb.com/title/tt0210616/?ref_=fn_tt_tt_1,PG-13,18000000,6.7,2.35,0
Jessie Nelson,97,24,85,Alex Borstein,26284475,Love the Coopers ,9051,10691,13,christmas|family dinner|husband wife conflict|husband wife kiss|large family,http://www.imdb.com/title/tt2279339/?ref_=fn_tt_tt_1,PG-13,17000000,5.7,2.35,0
Bart Freundlich,54,38,362,Corbin Bleu,16702864,Catch That Kid ,8023,18711,0,caper|computer genius|dog|heist|security chief,http://www.imdb.com/title/tt0337917/?ref_=fn_tt_tt_1,PG,18000000,5.2,1.85,591
Irwin Winkler,99,34,1000,Hayden Christensen,15561627,Life as a House ,39105,21622,0,cancer|construction|house|house construction|neighbor,http://www.imdb.com/title/tt0264796/?ref_=fn_tt_tt_1,R,18000000,7.5,2.35,0
Danny Boyle,412,0,816,Michael Fassbender,17750583,Steve Jobs ,93548,28933,0,apple computer|box office flop|computer|dialogue driven|father daughter relationship,http://www.imdb.com/title/tt2080374/?ref_=fn_tt_tt_1,R,30000000,7.2,2.35,23000
Chris Columbus,107,0,529,Marie Avgeropoulos,14793904,I Love You, Beth Cooper ,28209,4072,1,cheerleader|party|popular girl|speech|valedictorian,http://www.imdb.com/title/tt1032815/?ref_=fn_tt_tt_1,PG-13,18000000,5.3,1.85,0
Miguel Arteta,192,44,729,Ari Graynor,15281286,Youth in Revolt ,64646,16004,2,alter ego|boarding school|love|masturbation|teen movie,http://www.imdb.com/title/tt0403702/?ref_=fn_tt_tt_1,R,18000000,6.5,1.85,0
William A. Fraker,25,28,102,Richard Farnsworth,8000000,The Legend of the Lone Ranger ,1400,927,0,ambush|hero|masked hero|outlaw|texas ranger,http://www.imdb.com/title/tt0082648/?ref_=fn_tt_tt_1,PG,18000000,5.0,2.35,346
John Boorman,104,128,1000,Jamie Lee Curtis,13491653,The Tailor of Panama ,23728,14995,0,canal|panama|president|spy|tailor,http://www.imdb.com/title/tt0236784/?ref_=fn_tt_tt_1,R,18000000,6.1,2.35,813
Brian De Palma,120,0,101,Dennis Franz,,Blow Out ,27629,1067,0,conspiracy|political conspiracy|recording|sound|truth,http://www.imdb.com/title/tt0082085/?ref_=fn_tt_tt_1,R,18000000,7.4,2.35,2000
