director_name,num_critic_for_reviews,actor_2_name,genres,actor_3_name,plot_keywords,aspect_ratio
François Ozon,128,Isabelle Huppert,Comedy|Crime|Musical|Romance,Emmanuelle Béart,cook|industrialist|secret|snowstorm|suspect,1.85
Mark L. Lester,45,Tia Carrere,Action|Comedy|Crime|Thriller,Vernee Watson,bare chested male|detective|electric torture|japanese american|yakuza,1.85
David Dobkin,49,Vince Vieluf,Comedy|Crime,Kevin Rahm,breasts|serial killer|small town|vomiting|widow,1.85
Anna Boden,163,Jeremy Davies,Comedy|Drama|Romance,Jim Gaffigan,based on novel|depression|psychiatric ward|suicide attempt|therapy,1.85
Nigel Cole,163,Robbie Kay,Biography|Comedy|Drama|History,Sally Hawkins,equal pay|machinist|minister|protest|sex,2.35
Anand Tucker,90,Jim Broadbent,Biography|Drama,Gina McKee,cancer|children|death|terminal cancer|time,2.35
Steve James,23,Laurel Holloman,Biography|Drama|Romance|Sport,Amy Locane,long distance runner|olympics|oregon|runner|watching television,1.66
Michael Winner,17,Marina Sirtis,Adventure|Drama,John Gielgud,female nudity|highwayman|nell gwynne|nudity|whipping,1.85
Tomm Moore,118,Mick Lally,Adventure|Animation|Family|Fantasy,Evan McGuire,barbarian|fairy|forest|monastery|unfinished book,1.85
John Carney,283,Karen Pittman,Drama|Music,Mary Catherine Garrison,manhattan new york city|new york city|record label|singer|song,1.85
David Jacobson,74,Bruce Dern,Drama|Romance|Thriller,Rory Culkin,beach|cowboy|cowboy hat|neo western|valley,2.35
Michael Corrente,41,Tony Devon,Crime|Drama,Alexa Havins,1980s|friend|friendship|loyalty|mafia,2.35
Edward Hall,17,Hayley Atwell,Drama|Romance,Charlotte Rampling,espionage|motel|mother son relationship|murder disguised as suicide|shot in the head,16.0
Keith Gordon,66,Robin Wright,Comedy|Crime|Musical|Mystery,Alfre Woodard,detective|detective novel|fantasy sequence|hallucination|writer,1.85
David Leland,36,Catherine McCormack,Drama|Romance|War,Steven Mackintosh,dorset|farm|friend|love|women's land army,2.35
Andrew Currie,140,Henry Czerny,Comedy|Drama|Horror|Sci-Fi,Kesun Loder,decapitation|neighbor|neighborhood|next door neighbor|zombie,2.35
Andrew Wilson,32,Eddie Griffin,Comedy|Drama|Romance,Jacob Vargas,directorial debut|fantasy sequence|nurse|old age home|prison,2.35
Jonathan Lynn,68,Rupert Everett,Action|Comedy|Crime,Geoff Bell,apprentice|assassin|hitman|kleptomaniac|thief,2.35
Marc Schölermann,79,Larry Drake,Crime|Horror|Thriller,Johnny Whitworth,corpse|dark humor|medical school|murder|pathology,2.35
,9,Jack O'Connell,Drama|Romance,Kevin McNally,abuse|love|moor the landscape|revenge|tv mini series,
Robert Moresco,26,Brad Renfro,Crime|Drama|Thriller,Dash Mihok,desert storm|fbi|fbi agent|fragmentation grenade|woman kills attacker,2.35
Thomas Vinterberg,100,Chris Owen,Comedy|Crime|Drama|Romance,William Hootkins,gang|gun|loner|love|outcast,1.66
Claudia Llosa,56,Zen McGrath,Drama,William Shimell,,2.35
Katsuhiro Ôtomo,150,Takeshi Kusao,Action|Animation|Sci-Fi,Tesshô Genda,based on manga|biker gang|gifted child|post thermonuclear war|science runs amok,1.85
John Herzfeld,30,Olivia Wilde,Action|Crime|Thriller,Jason Flemyng,drug lord|on the run|prison|vegan|vegetarian,2.35
Charles Binamé,20,Roy Dupuis,Biography|Drama|Sport,Julie LeBreton,fan|french canadian|hockey|hockey player|machinist,2.35
Keith Parmer,21,Josh Henderson,Action|Crime|Drama|Thriller,Grant Bowler,police officer killed|police officer shot in the chest|police officer shot in the forehead|police officer shot in the head|police shootout,
Dennie Gordon,11,Ruby Lin,Action|Adventure|Comedy|Romance,Jack Kao,,2.35
Ol Parker,85,Ben Miles,Comedy|Drama|Romance,Darren Boyd,florist|friend|friendship|lesbian|love,2.35
Bruce Beresford,5,Lucy Fry,Drama,Natalie Coughlin,,2.35
François Ozon,160,Ludivine Sagnier,Crime|Drama|Mystery|Thriller,Jean-Claude Lecas,luberon|mystery writer|night|publisher|swimming,1.85
James Nunn,25,Mark Wingett,Action|Drama,Kacey Clarke,bare breasts|firm|hooliganism|training|west ham supporter,2.35
David Webb Peoples,21,Joan Chen,Action|Sci-Fi|Sport,Anna Katarina,battle|blood splatter|combat|game|showdown,1.33
Michael Winnick,15,Helena Mattsson,Action,Craig Sheffer,gun|mayor|nightclub|police|vigilantism,
Bruce Beresford,61,Jessica Tandy,Comedy|Drama|Family,Patti LuPone,1950s|african american|jewish|old age|widow,1.85
George Tillman Jr.,34,Mekhi Phifer,Comedy|Drama,Vivica A. Fox,1990s|family relationships|food in title|sister|unity,1.85
Stanley Tong,62,Anita Mui,Action|Comedy,Garvin Cross,fight|gang|greed|street gang|wedding,2.35
David Oelhoffen,102,Reda Kateb,Drama|War|Western,Ángela Molina,algerian war|based on short story|hostage|teacher|title at the end,2.35
Jason Reitman,239,Cameron Bright,Comedy|Drama,Todd Louiso,cigarette smoking|lobbyist|political satire|reporter|tobacco industry,2.35
Eli Roth,252,Lauren German,Horror,Stanislav Ianevski,american|hostel|slovakia|torture|train,2.35
Lone Scherfig,278,Olivia Williams,Drama,Ellie Kendrick,1960s|age difference|france|loss of virginity|oxford,2.35
Anand Tucker,124,Bridgette Wilson-Sampras,Drama|Romance,Clyde Kusatsu,artist|depression|gloves|photography|slacker,2.35
Tony Richardson,9,Beau Bridges,Comedy|Drama|Romance,Nastassja Kinski,football|hotel|teenage girl|terrorist|wien,1.85
Joe Carnahan,127,Chi McBride,Crime|Drama|Mystery|Thriller,Alan Van Sprang,blood splatter|cover up|murder|police shootout|undercover,1.85
Paul Gross,9,Paul Gross,Comedy|Drama|Romance|Sport,Kari Matchett,championship|coach|curling|marriage|rural setting,1.85
Charles Robert Carner,35,Jenny McCarthy,Comedy|Crime,Richard Bull,fbi|polo|possum|sheriff|shotgun,1.85
Russell Holt,6,Brenda Strong,Drama|Romance,Tiffany Dupont,1830s|baptism|intolerance|mormon church|sibling rivalry,
Mike Judge,192,Mila Kunis,Comedy|Crime|Romance,Clifton Collins Jr.,freak accident|gigolo|hit in the crotch|nosy neighbor|on the job injury,1.85
Larry Charles,51,Cheech Marin,Comedy|Drama|Music,Bruce Dern,concert|jail|journalist|revolution|singer,1.85
Claude Miller,38,Edouard Baer,Comedy|Crime|Drama|Romance|Thriller,Roschdy Zem,child|criminal|death|depression|novelist,
Michael Winterbottom,133,Om Puri,Drama|Romance|Sci-Fi|Thriller,Natalie Mendoza,genetics|i.d.|love|sphinx|totalitarian,2.35
Sacha Bennett,4,Jenny Agutter,Comedy,Vincent Regan,,
Paul Haggis,287,Loretta Devine,Crime|Drama|Thriller,Jennifer Esposito,race relations|racism|racist|social problem|stereotype,2.35
Rodrigo García,222,Michael McElhatton,Drama,Mark Williams,19th century|hotel|painter|waiter|woman pretending to be a man,2.35
Jeta Amata,6,Nathin Butler,Action|Crime|Drama|Thriller,Razaaq Adoti,color in title|number in title|two word title,
Siddharth Anand,16,Mary Goggin,Comedy|Family|Romance,Vic Aviles,comeback|family relationships|marriage|new york|racer,
Vincent Paronnaud,242,Gena Rowlands,Animation|Biography|Drama|War,Danielle Darrieux,dream|girl|iran|islamic revolution|revolution,1.85
Joe Dante,147,Teri Polo,Adventure|Fantasy|Thriller,Haley Bennett,basement|family relationships|hole|no opening credits|slow motion scene,1.85
Dennis Gansel,93,Elyas M'Barek,Drama|Thriller,Jennifer Ulrich,autocracy|based on real events|dictatorship|germany|teacher,2.35
Nicolas Winding Refn,253,Bella Heathcote,Horror|Thriller,Charles Baker,beauty|cannibalism|fashion|lesbian|model,2.35
Daniel Barber,224,Jack O'Connell,Action|Crime|Drama|Thriller,Sean Harris,bayonet|death|police|self defense|widower,2.35
Sam Raimi,392,James Franco,Action|Adventure|Romance,Kirsten Dunst,sandman|spider man|symbiote|venom|villain,2.35
Robert Marcarelli,39,William Hootkins,Action|Adventure|Fantasy|Sci-Fi|Thriller,Ayla Kell,code|evil|false accusation|megalomaniac|torah,1.37
Jason Reitman,387,Jennifer Garner,Comedy|Drama|Romance,Rainn Wilson,adoption|baby|friend|pregnancy|school,1.85
Ernie Barbarash,36,Aki Aleong,Action|Thriller,Brahim Achabbakhe,fighting|hand to hand combat|jujitsu|kickboxing|organ,1.85
Guy Hamilton,120,Lois Maxwell,Action|Adventure|Thriller,Jill St. John,cat|diamond|ford mustang|james bond 007|yanked off bikini top,2.35
Francis Ford Coppola,208,Marlon Brando,Crime|Drama,Robert Duvall,crime family|mafia|organized crime|patriarch|rise to power,1.85
Adrian Lyne,51,Cynthia Rhodes,Drama|Music|Romance,Lee Ving,ballet school|dance|dancer|overalls|steel worker,1.85
Marc Webb,331,Chloë Grace Moretz,Comedy|Drama|Romance,Zooey Deschanel,friend|greeting card|office|summer|true love,2.35
Jane Campion,83,Ian Mune,Drama|Music|Romance,Geneviève Lemon,adultery|daughter|male rear nudity|new zealand|piano,1.85
Steven Soderbergh,324,Alex Pettyfer,Comedy|Drama,Matthew McConaughey,bank|male nudity|male objectification|male stripper|stripper,2.35
Jonathan Liebesman,140,Emma Caulfield,Horror|Mystery|Thriller,Angus Sampson,boy|darkness|light|tooth|tooth fairy,2.35
Guy Hamilton,136,Geoffrey Holder,Action|Adventure|Thriller,Clifton James,british|cards|heroin|murder|tarot card,1.66
Jay Russell,79,Frankie Muniz,Drama|Family|Sport,Cody Linley,1940s|dog|mississippi|puppy|veteran,1.37
Adam Brooks,160,Sakina Jaffrey,Comedy|Drama|Romance,Paulina Gerzon,college|daughter|girl|sex|wisconsin,2.35
Salim Akil,52,Loretta Devine,Comedy|Drama,Laz Alonso,martha's vineyard|mother|older woman younger man relationship|wedding|weekend,1.85
Baz Luhrmann,490,Elizabeth Debicki,Drama|Romance,Steve Bisley,ingratitude|mansion|party|title appears in writing|tragedy,2.35
George Clooney,351,Tate Donovan,Biography|Drama|History,Alex Borstein,cbs|expose|fear|paranoia|reporter,1.85
Bennett Miller,271,Michael J. Burg,Biography|Crime|Drama,Kwesi Ameyaw,book|holcomb kansas|kansas|killer|truman capote,2.35
Robert Rodriguez,93,Steve Buscemi,Action|Crime|Thriller,Salma Hayek,crushed by a car|female frontal nudity|female nudity|female rear nudity|one against many,1.85
Michael Winterbottom,71,Sarah Polley,Drama|Romance|Western,Shirley Henderson,gold|gold mine|miner|railroad|surveyor,2.35
,54,Adam Goldberg,Crime|Drama|Thriller,Oliver Platt,anthology|death|insurance salesman|minnesota|police officer,1.78
Michael Anderson,112,Jenny Agutter,Action|Adventure|Sci-Fi,Peter Ustinov,cat|computer|cult film|runner|sanctuary,2.35
Guy Hamilton,118,Hervé Villechaize,Action|Adventure|Thriller,Desmond Llewelyn,assassin|bikini|girl in a bikini|mission|secret agent,1.66
Craig R. Baxley,35,Vanity,Action|Comedy|Crime|Thriller,Carl Weathers,murder|power|psychotronic|tough cop|union,1.85
Neil Marshall,342,Shauna Macdonald,Adventure|Horror|Thriller,Craig Conway,cave|expedition|friendship between women|group of friends|survival horror,2.35
Don Kempf,14,Michael Jordan,Documentary|Sport,Bob Costas,basketball|basketball player|character name in title|chicago bulls|imax,1.44
Matt Bettinelli-Olpin,137,Allison Miller,Horror|Mystery,Vanessa Ray,eiffel tower at night|honeymoon|implied insemination|party|taxi driver,1.85
David O. Russell,50,Mary Tyler Moore,Comedy,David Patrick Kelly,adoption|armpit fetish|mistaken identity|new mexico|overalls,1.85
Rob Zombie,261,Ken Foree,Crime|Horror,Lew Temple,escape|police|road trip|sheriff|texas,1.85
,96,Alyson Hannigan,Action|Drama|Fantasy|Romance,Emma Caulfield,action heroine|coming of age|destiny|double life|vampire,1.33
Rick Famuyiwa,180,Rick Fox,Comedy|Crime|Drama,Kiersey Clemons,african american|geek|hip hop|party|tomboy,2.35
Michael Rymer,28,Omar Epps,Crime|Drama|Thriller,Nia Long,cunnilingus|oral sex|police|sex scene|undercover,2.35
Sam Mendes,750,Helen McCrory,Action|Adventure|Thriller,Rory Kinnear,brawl|childhood home|computer cracker|intelligence agency|terrorist cell,2.35
Rob Zombie,202,Matthew McGrory,Horror,Erin Daniels,actor playing multiple roles|axe|dark comedy|masked man|sadism,1.85
Sharron Miller,8,Elizabeth MacRae,Horror,Charles Aidman,affair|child murderer|mortician|strangulation|supernatural power,
Ethan Coen,341,Fred Melamed,Comedy|Drama,Peter Breitmayer,bar mitzvah|jewish|marital breakup|nose job|rabbi,1.85
Aaron Schneider,160,Robert Duvall,Drama|Mystery,Bill Cobbs,funeral|funeral home|hermit|party|secret,2.35
Steve Miner,31,Richard E. Grant,Action|Fantasy|Horror|Thriller,Lori Singer,17th century|book|death|warlock|witch hunter,1.85
Gina Prince-Bythewood,71,Nate Parker,Drama|Music,Darryl Stephens,domestic abuse|public humiliation|sex symbol|singer|suicide attempt,
Tom Ford,281,Teddy Sears,Drama|Romance,Keri Lynn Pratt,car accident|male full back nudity|practicing a suicide|public nudity|suicide contemplation,2.35
Martin Scorsese,114,Barbara Hershey,Drama,Roberts Blossom,carpenter|exorcism|faith|reference to jesus christ|temptation,1.85
Michael Corrente,72,George Wendt,Comedy|Drama|Romance,Shawn Hatosy,class|cornwall connecticut|dog|friend|pawtucket rhode island,1.85
Gurinder Chadha,119,Martin Henderson,Comedy|Drama|Musical|Romance,Anupam Kher,bollywood|india|jane austen|london england|travel,2.35
Phillip Noyce,74,David Gulpilil,Adventure|Biography|Drama|History,Deborah Mailman,aborigine|based on true story|colonialism|fence|half caste,2.35
Don Michael Paul,25,Faizon Love,Comedy|Sport,Lil' Wayne,2000s|golf caddy|golf course|golfer|question mark in title,1.85
Tony Maylam,39,Alun Armstrong,Action|Crime|Horror|Sci-Fi|Thriller,Alastair Duncan,appearing from water|breasts|creature|partner|water,1.85
,27,Xander Berkeley,Action|Crime|Drama|Thriller,Aaron Stanford,assassin|death|female protagonist|rogue|training,16.0
Mitch Davis,27,Nathaniel Lees,Adventure|Biography|Drama,Miriama Smith,1950s|idaho|love|missionary|mormon,1.85
,11,Ashley Scott,Action|Drama|Mystery|Sci-Fi,John Savage,cat burglar|female lead|future|mixed martial arts|post apocalypse,1.33
Yash Chopra,29,Preity Zinta,Drama|Musical|Romance,Anupam Kher,fair|pakistan|prison|rescue|stranded,2.35
David Mamet,158,Randy Couture,Drama|Sport,Jose Pablo Cantillo,bar|debt|fight|instructor|jujitsu,2.35
Jay Duplass,223,Tim Guinee,Comedy|Drama|Romance,Katie Aselton,21 year old|forename as title|musician|party|rearview mirror,1.85
Kevin Brodie,25,Cheryl Ladd,Drama|Family,Jack Warden,artist|box office flop|dog|drawing|flanders,1.85
Paul Schrader,97,Michael McKean,Biography|Crime|Drama,Kurt Fuller,friendship|photography|radio|sex addict|video,1.85
George Hickenlooper,117,Jimmy Fallon,Biography|Drama,Beth Grant,andy warhol|female nudity|public nudity|singer|socialite,1.85
Lynne Ramsay,389,Siobhan Fallon Hogan,Drama|Thriller,Ashley Gerasimovich,archery|defiance|mental illness|psychopath|toilet training,2.35
John Stephenson,9,Hans Matheson,Drama|Family,Lesley Manville,angel|candle|christmas|miracle|village,
Tim Chambers,34,Marley Shelton,Drama|Sport,Jennifer Butler,basketball|catholic|coach|college|nun,2.35
Curtis Hanson,7,Shelley Long,Comedy|Drama|Family,Rick Rossovich,apostrophe in title|bare breasts|friendship between men|teen sex comedy|two word title,
Rodrigo García,161,Jimmy Smits,Drama|Romance,Carla Gallo,adoption|baby|girl|lawyer|sex,2.35
Dick Richards,6,Terence Hill,Adventure|Drama|Romance|War,Jack O'Halloran,arab|bare chested male|foreign legion|french foreign legion|morocco,1.85
Jean-Marie Poiré,16,Isabelle Nanty,Comedy|Fantasy|Sci-Fi,Valérie Lemercier,distant past|future time travel|nobleman|squire|trapped in the past,2.35
Sofia Coppola,301,Chris Pontius,Comedy|Drama,Erin Wasson,actor|boredom|luxury hotel|party|trip,1.85
Bob Gosse,52,Susie Abromeit,Comedy,Derek Wayne Johnson,bachelor party|bare butt|loud sex|sex standing up|topless female nudity,2.35
Alex Zamm,12,Raquel Welch,Comedy,Larry Miller,box office flop|company|invention|roommate|surfer,1.85
Spencer Susser,134,Natalie Portman,Drama,Rainn Wilson,bully|car|car accident|fire|vomiting,2.35
Richard Shepard,151,Mark Wingett,Comedy|Crime|Drama,Richard Graham,male frontal nudity|male nudity|male rear nudity|nudity|sex scene,2.35
Gus Van Sant,103,Casey Affleck,Adventure|Drama|Mystery,,desert|friend|friendship|minimal dialogue|water,2.35
Thaddeus O'Sullivan,39,Luke Newberry,Drama|Romance,Eleanor Bron,1930s|car accident|hospital|marital rape|painter,1.85
Peter Sollett,133,Josh Charles,Biography|Drama|Romance,Luke Grimes,cancer|gay bar|lesbian kiss|partner|public hearing,1.85
Shari Springer Berman,104,Marian Seldes,Comedy,Dan Hedaya,co worker|escort|magazine|teacher|writer,2.35
Aleksey German,121,Yuriy Tsurilo,Drama|Sci-Fi,Valentin Golubenko,fictional war|hanging|male full frontal nudity|medieval times|nudity,1.66
Stephen Milburn Anderson,27,Mike Starr,Comedy|Crime|Thriller,Paul Sanchez,cash|financial problem|heist|land rover|mortgage,1.85
Richard E. Grant,49,Julie Walters,Drama,Miranda Richardson,alcoholic|alcoholic father|stepmother|swaziland|unfaithful wife,2.35
Troy Duffy,100,David Della Rocco,Action|Crime|Thriller,Bob Marley,fbi|fbi agent|friend|irish|mafia,2.35
David Lam,12,Louis Koo,Action|Crime,Stephen Au,,2.35
Francis Ford Coppola,112,Bruce Dern,Comedy|Fantasy|Horror|Mystery,Joanne Whalley,ghost|hotel|murder|stake|what happened to epilogue,1.85
Vladlen Barbe,10,Wendee Lee,Adventure|Animation|Family,Ivan Okhlobystin,3d,
Richard Rich,2,Kate Higgins,Action|Adventure|Animation|Comedy|Drama|Family|Fantasy|Thriller,Cindy Robinson,blindness|cave|spirit|wolf|wolf cub,
Clint Eastwood,38,Chris Penn,Western,Sydney Penny,gold|miner|preacher|prospector|sheriff,2.35
Robert C. Cooper,18,Christopher Judge,Action|Adventure|Drama|Fantasy|Sci-Fi,Julian Sands,2000s|evil god|space opera|stargate|wormhole,1.78
Richard Linklater,152,Adam Goldberg,Comedy,Cole Hauser,football|hazing|high school|last day of school|pledge,1.85
Kenny Ortega,44,Corbin Bleu,Comedy|Drama|Family|Music|Musical|Romance,Olesya Rulin,2000s|basketball|country club|lifeguard|talent show,1.78
Kim Nguyen,6,Justin Edward Seale,Drama|Romance,John Ralston,,2.35
Jackie Earle Haley,46,Edi Gathegi,Crime|Drama|Thriller,Travis Aaron Wade,african american gangster|falling to death|in over one's head|murder|surveillance,2.35
Max Färberböck,63,Johanna Wokalek,Biography|Drama|Romance|War,Maria Schrader,lesbian mother|lesbian parent|lesbian relationship|lesbian romance|lesbianism,1.85
Arie Posin,74,John Heard,Comedy|Drama,Tim DeKay,chumscrubber|death|friend|pills|school,2.35
Damian Nieman,25,Jason Cerbone,Crime|Thriller,Mark De Alessandro,bar|strip club|stripper|texas hold 'em|thong,2.35
Mark Tonderai,224,Nolan Gerard Funk,Drama|Horror|Thriller,Gil Bellows,brother sister relationship|death of sister|female protagonist|mother daughter relationship|murder,2.35
Denis Villeneuve,226,Mélissa Désormeaux-Poulin,Drama|Mystery|War,Ahmad Massad,brother sister relationship|family relationships|middle east|mother son relationship|twin brother and sister,1.85
Gabriele Muccino,36,Silvio Muccino,Comedy|Drama|Romance,Giulia Michelini,box office hit|dancer|sex scene|television|underage sex,2.35
Ian Fitzgibbon,54,Brendan Coyle,Action|Comedy|Crime|Drama|Romance|Thriller,Michael McElhatton,burglary|estranged father|money|neighbor|thug,2.35
José Padilha,142,Fernanda Machado,Action|Crime|Drama|Thriller,André Ramiro,brazil|military police|police|rio de janeiro brazil|slum,1.85
John R. Leonetti,271,Annabelle Wallis,Horror|Mystery,Gabriel Bateman,horror movie prequel|murder|paranormal activity|self sacrifice|suicide,2.35
Rachel Perkins,33,Magda Szubanski,Comedy|Drama|Musical,Jessica Mauboy,australia|journey|love|priest|traveling,2.35
John Singleton,64,Lloyd Avery II,Crime|Drama,Na'Blonka Durden,drugs|escape|football|friend|violence,1.85
Luis Valdez,18,Rosanna DeSoto,Biography|Drama|Music,Danielle von Zerneck,crash|hispanic|interracial relationship|interracial romance|racism,1.85
Alan Alda,6,Len Cariou,Comedy|Drama,Sandy Dennis,directed by star|friendship|reference to isaac newton|skinny dipping|written and directed by cast member,1.85
Brian De Palma,121,David Margulies,Mystery|Romance|Thriller,Nancy Allen,apartment|elevator|murder|psychiatrist|sunglasses,2.35
Stephen Sommers,14,Frances Conroy,Adventure|Comedy|Drama|Family,Anne Heche,boy|lesson|mississippi river|river|slave,1.85
Doug Liman,137,Jay Mohr,Comedy|Crime,Scott Wolf,drug deal|drugs|sex|sex on stairs|strip club,2.35
Nicole Holofcener,111,Marin Hinkle,Comedy|Drama|Romance,Jake Cherry,friend|friendship|marital problem|money problems|nervous breakdown,2.35
Robert Wise,57,Paula Kelly,Sci-Fi|Thriller,Eric Christmas,alien|baby|new mexico|satellite|scientist,2.35
Louis Morneau,97,Bob Gunton,Horror|Sci-Fi|Thriller,Ned Bellamy,animal attack|bat|creature feature|experiment|mad scientist,2.35
Caroline Link,73,Juliane Köhler,Biography|Drama,Matthias Habich,breasts|farm|jew|kenya|tween girl,2.35
Steve McQueen,486,Nicole Beharie,Drama,James Badge Dale,female frontal nudity|female nudity|male nudity|sex addict|sex addiction,2.35
Matthew Vaughn,149,Sally Hawkins,Crime|Drama|Thriller,Jamie Foreman,cake|cocaine|drugs|pills|serbian,2.35
Sterling Van Wagenen,4,Eric Johnson,Drama|Western,Brenda Strong,estrangement|missouri|mormon|mormon church|mormon temple,2.35
Zal Batmanglij,200,Julia Ormond,Drama|Thriller,Jason Ritter,anarchist|corporation|greedy institution|vomiting|watching television,2.35
Michael Mayer,84,Matt Frewer,Drama|Romance,Sissy Spacek,hand job|hugging|long hair|new york city|two men one woman,2.35
Hans Petter Moland,28,Sara-Marie Maltha,Drama,Stellan Skarsgård,death|ferry|lawyer|norway|vomiting,1.85
Oren Moverman,217,Yaya DaCosta,Drama|Romance|War,Eamonn Walker,captain|casualty notification|casualty notification team|sergeant|staff sergeant,2.35
Ian Sharp,12,Jed Brophy,Action|Adventure|Drama|Western,Temuera Morrison,one word title,2.35
Anton Corbijn,183,Samantha Morton,Biography|Drama|Music,Alexandra Maria Lara,band|employment agency|singer|stage fright|suicide,2.35
James Cameron,204,Brian Thompson,Action|Sci-Fi,Paul Winfield,cyborg|future war|robot|shootout in a police station|urban setting,1.85
Wolfgang Becker,153,Chulpan Khamatova,Drama|Romance,Burghart Klaußner,coma|east germany|german democratic republic|germany|heart attack,1.85
Tom Hooper,145,Mark Bazeley,Biography|Drama|Sport,Maurice Roëves,cup|derby county|flashback|football|leeds united,1.85
Dan O'Bannon,203,Clu Gulager,Comedy|Horror|Sci-Fi,Beverly Randolph,crematorium|female frontal nudity|naked dead woman|paramedic|poison gas,1.85
,10,Fortunato Cerlino,Crime|Drama|Thriller,Marco D'Amore,,1.85
Kevin Smith,93,Jason Mewes,Comedy|Romance,Joey Lauren Adams,comic|ex girlfriend|jay and silent bob|mall|teenager,1.85
Randal Kleiser,124,Stockard Channing,Musical|Romance,Sid Caesar,automobile racing|boyfriend girlfriend relationship|high school|wrestling|year 1959,2.35
Oliver Stone,120,Tom Berenger,Drama|War,Kevin Dillon,1960s|famous score|hero|vietnam|vietnam war,1.85
Michael Moore,288,Stevie Wonder,Documentary|Drama|War,Ricky Martin,anti war|interview|iraq|paranoia|war on terrorism,1.85
George Roy Hill,130,Ted Cassidy,Biography|Crime|Drama|Western,Kenneth Mars,bolivia|gang|outlaw|posse|train,2.35
Robert Stevenson,145,Glynis Johns,Comedy|Family|Fantasy|Musical,Elsa Lanchester,banker|female protagonist|live action and animation|magic|nanny,1.66
Robert Redford,62,Elizabeth McGovern,Drama,Judd Hirsch,choir|death|friend|suicide|therapy,1.85
