director_name,director_facebook_likes,actor_2_name,actor_1_facebook_likes,genres,movie_title,num_voted_users,facenumber_in_poster,language
William Gazecki,3,Colin Andrews,0,Documentary,Crop Circles: Quest for Truth ,204,0,English
Lance McDaniel,0,Steven Michael Quezada,595,Action|Drama|Thriller,Light from the Darkroom ,6,0,English
Thomas Lilti,12,Félix Moati,541,Comedy|Drama,Irreplaceable ,389,2,French
Michael Walker,5,Annabella Sciorra,587,Thriller,The Maid's Room ,719,0,English
Richard Lester,44,Ringo Starr,785,Comedy|Musical,A Hard Day's Night ,31429,1,English
U. Roberto Romano,6,,,Documentary,The Harvest/La Cosecha ,57,0,English
Amy Holden Jones,11,Sally Kirkland,2000,Drama|Romance,Love Letters ,487,1,English
Blaz Zavrsnik,0,Spela Colja,0,Comedy,Julija in alfa Romeo ,86,6,Slovenian
Alex Kendrick,589,Ken Bevel,848,Drama|Romance,Fireproof ,17068,0,English
Pan Nalin,95,Pant Shirt Baba,0,Biography|Documentary|Drama,Faith Connections ,113,1,Hindi
Joe Camp,24,Peter Breck,407,Adventure|Family|Romance,Benji ,3411,0,English
Chris Kentis,9,Saul Stein,48,Adventure|Biography|Drama|Horror|Thriller,Open Water ,42256,1,English
Matt Walsh,490,Matt Jones,833,Comedy,High Road ,1305,6,English
John 'Bud' Cardos,8,Hoke Howell,423,Horror|Sci-Fi,Kingdom of the Spiders ,3274,0,English
Marilyn Agrelo,2,Eva Carrozza,0,Documentary|Family|Music,Mad Hot Ballroom ,3156,2,English
Tom McCarthy,310,Joe Lo Truglio,22000,Comedy|Drama,The Station Agent ,58260,0,English
Brian Baugh,3,Sean Michael Afable,984,Drama,To Save a Life ,4583,1,English
Patrick Creadon,3,Bill Clinton,196,Documentary,Wordplay ,3394,0,English
Barry W. Blaustein,6,Vince McMahon,54,Biography|Documentary|Sport,Beyond the Mat ,6790,3,English
Kurt Hale,0,Lincoln Hoppe,69,Comedy|Drama|Romance,The Singles Ward ,1099,0,English
Siddiq Barmak,6,Zubaida Sahar,30,Drama,Osama ,7559,1,Dari
Joseph Dorman,0,Peter Riegert,399,Documentary,Sholem Aleichem: Laughing in the Darkness ,154,1,English
Greg Harrison,7,Ari Gold,328,Drama|Music,Groove ,3562,0,English
Kurt Hale,0,Big Budah,69,Comedy|Crime|Family,The R.M. ,651,0,English
Michael Polish,35,William Katt,980,Drama,Twin Falls Idaho ,3479,0,English
Jacob Aaron Estes,9,Scott Mechlowicz,710,Crime|Drama,Mean Creek ,26407,0,English
Morgan J. Freeman,204,Heather Matarazzo,659,Crime|Drama|Romance,Hurricane Streets ,1038,3,English
Eric Schaeffer,71,Bill Duke,22000,Comedy|Romance,Never Again ,709,1,English
Neema Barnette,21,LisaRaye McCoy,597,Crime|Drama|Thriller,Civil Brand ,553,3,English
Steve Buscemi,12000,Seymour Cassel,778,Comedy|Drama,Lonesome Jim ,6884,0,English
Joe Swanberg,217,Anna Kendrick,10000,Comedy|Drama|Romance,Drinking Buddies ,45928,5,English
Molly Bernstein,0,Ricky Jay,342,Documentary,Deceptive Practice: The Mysteries and Mentors of Ricky Jay ,774,0,English
Akira Kurosawa,0,Minoru Chiaki,304,Action|Adventure|Drama,Seven Samurai ,229012,6,Japanese
Marius A. Markevicius,6,Greg Speirs,14,Documentary|Sport,The Other Dream Team ,3086,1,English
Tom DiCillo,32,Tina Louise,11000,Comedy|Music|Romance,Johnny Suede ,3013,0,English
Justin Lin,681,Jake Sandvig,239,Comedy,Finishing the Game: The Search for a New Bruce Lee ,1656,0,English
Quentin Dupieux,248,Jack Plotnick,353,Comedy|Fantasy|Horror,Rubber ,26185,0,English
Tim Johnson,12,Matt Jones,17000,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,Home ,70136,0,English
C. Jay Cox,6,Amber Benson,396,Comedy|Romance,Kiss the Bride ,1358,3,English
Alex Smith,12,Clea DuVall,33000,Drama|Sport,The Slaughter Rule ,2004,2,English
Gareth Edwards,380,Whitney Able,660,Drama|Sci-Fi|Thriller,Monsters ,75669,0,English
Jonathan Parker,0,Joanne Whalley,584,Drama,The Californians ,299,3,English
Sol Tryon,0,Ann Dowd,472,Comedy,The Living Wake ,739,2,English
Alex Craig Mann,38,Christa B. Allen,552,Comedy|Horror,Detention of the Dead ,2038,6,English
Hao Ning,0,Zheng Xu,4,Comedy|Crime,Crazy Stone ,2097,1,Mandarin
Stephen Kijak,3,Jacques Brel,30,Biography|Documentary|Music,Scott Walker: 30 Century Man ,1006,0,English
Marc Forster,395,Alan Ruck,991,Drama,Everything Put Together ,601,0,English
Andrew Niccol,487,Zoë Kravitz,991,Drama|Thriller,Good Kill ,15756,0,English
Daston Kalili,2,Rai Alexandra,2,Thriller,Insomnia Manica ,16,0,English
William Gazecki,3,Bruce Vilanch,387,Documentary,The Outrageous Sophie Tucker ,38,1,English
Ol Parker,21,Olivia Williams,25000,Drama|Romance,Now Is Good ,26863,3,English
Michael Hoffman Jr.,32,John McGlothlin,685,Comedy|Horror,Girls Gone Dead ,2012,2,English
Patrick Gilles,0,Dylan Baker,970,History,America Is Still the Place ,22,0,English
Georgia Hilton,406,Tim Abell,358,Action|Mystery|Thriller,Subconscious ,292,0,English
Tamra Davis,33,Katherine Boecher,1000,Comedy|Drama,Crossroads ,34219,1,English
Jack Heller,0,Katherine Waterston,322,Mystery|Thriller,Enter Nowhere ,5025,3,English
Fernando Baez Mella,0,Christian Alvarez,159,Crime|Drama,The King of Najayo ,197,1,Spanish
Warren Sheppard,0,Randy Jay Burrell,918,Action|Romance|Sport,Fight to the Finish ,60,0,English
Darren Lynn Bousman,163,Barry Bostwick,636,Horror|Musical,Alleluia! The Devil's Carnival ,259,5,English
Justin Paul Miller,0,Jennifer Landa,84,Comedy|Mystery|Thriller,The Sound and the Shadow ,30,0,English
Joel Paul Reisig,431,Joel Paul Reisig,466,Family,Rodeo Girl ,62,2,English
Catherine Gund,0,Sarah Callan,0,Action|Biography|Documentary|Sport,Born to Fly: Elizabeth Streb vs. Gravity ,40,1,English
Luke Dye,0,Jeff Delaney,385,Family,The Little Ponderosa Zoo ,15,2,English
Sam Raimi,0,Mila Kunis,44000,Adventure|Family|Fantasy,Oz the Great and Powerful ,175413,4,English
Michael Herz,6,Mark Torgl,488,Action|Comedy|Horror|Sci-Fi,The Toxic Avenger ,19253,0,English
Matty Rich,10,George T. Odom,353,Crime|Drama,Straight Out of Brooklyn ,475,4,English
Paul Greengrass,521,Nicholas Farrell,773,Drama|History|War,Bloody Sunday ,19732,0,English
Alec Asten,5,Dennis L.A. White,472,Action,Diamond Ruff ,53,6,English
Hans Canosa,3,Thomas Lennon,10000,Comedy|Drama|Romance,Conversations with Other Women ,10143,0,English
Lloyd Kaufman,365,Lloyd Kaufman,907,Comedy|Horror|Musical,Poultrygeist: Night of the Chicken Dead ,5931,0,English
Matthew Watts,0,Cheyenne Jackson,873,Comedy|Romance,Mutual Friends ,64,1,English
Lloyd Bacon,24,Dick Powell,610,Comedy|Musical|Romance,42nd Street ,7921,2,English
Joe Kenemore,0,Jack Canfield,8,Documentary,Rise of the Entrepreneur: The Search for a Better Way ,78,0,English
Whit Stillman,89,Taylor Nichols,88,Comedy|Drama|Romance,Metropolitan ,7143,1,English
Kay Pollak,10,Frida Hallgren,690,Comedy|Drama|Music|Romance,As It Is in Heaven ,13543,15,Swedish
Eric England,15,Ace Marrero,847,Drama|Horror|Mystery|Thriller,Roadside ,268,0,English
Jared Hess,100,Diedrich Bader,970,Comedy,Napoleon Dynamite ,161448,0,English
Jeremy Saulnier,57,Eve Plumb,1000,Crime|Drama|Thriller,Blue Ruin ,42678,0,English
Oren Peli,110,Ashley Palmer,189,Horror,Paranormal Activity ,184824,0,English
Stacy Peralta,147,Jay Adams,22,Documentary|Sport,Dogtown and Z-Boys ,10366,0,English
Terry Gilliam,0,Michael Palin,795,Adventure|Comedy|Fantasy,Monty Python and the Holy Grail ,382240,0,English
Richard Glatzer,25,Jesse Garcia,231,Drama,Quinceañera ,3675,1,Spanish
Sue Corcoran,14,Sue Corcoran,361,Comedy|Fantasy|Horror|Musical,Gory Gory Hallelujah ,179,2,English
,,Masi Oka,1000,Drama|Fantasy|Sci-Fi|Thriller,Heroes             ,202115,4,English
Jonathan Caouette,20,Jonathan Caouette,58,Biography|Documentary,Tarnation ,5709,3,English
Ray Griggs,4,Chris Cox,93,Documentary,I Want Your Money ,1123,0,English
Matt Jackson,0,Paul Elia,935,Comedy|Horror,Love in the Time of Monsters ,143,3,English
Lucio Fulci,385,David Warbeck,48,Horror,The Beyond ,14985,0,Italian
,,Ron Lynch,59,Animation|Comedy|Drama,Home Movies             ,7458,0,English
Tom Vaughan,12,Andrew Daly,642,Comedy|Romance,What Happens in Vegas ,140740,2,English
Paul Fox,3,Jeff Seymour,108,Horror|Thriller,The Dark Hours ,4788,0,English
Stephen Frears,350,Roshan Seth,114,Comedy|Drama|Romance,My Beautiful Laundrette ,10577,1,English
Ari Kirschenbaum,0,Adam LeFevre,169,Drama|Horror|Mystery|Thriller,Fabled ,191,0,English
Cassandra Nicolaou,0,Michelle Nolden,918,Drama|Thriller,Show Me ,369,0,French
Ingmar Bergman,0,Ingrid Thulin,440,Drama,Cries & Whispers ,19964,0,Swedish
D.W. Griffith,204,Mae Marsh,436,Drama|History|War,Intolerance: Love's Struggle Throughout the Ages ,10718,1,
Roger Nygard,3,DeForest Kelley,643,Documentary,Trekkies ,4407,1,English
Harry Beaumont,4,Bessie Love,77,Musical|Romance,The Broadway Melody ,4546,8,English
Sam Raimi,0,Betsy Baker,634,Fantasy|Horror,The Evil Dead ,141219,0,English
Franck Khalfoun,33,Nora Arnezeder,470,Horror|Thriller,Maniac ,27297,0,English
Mor Loushy,0,,3,Documentary|History,Censored Voices ,186,0,Hebrew
Henry Alex Rubin,30,Joe Bishop,15,Documentary|Sport,Murderball ,9037,1,English
Sam Firstenberg,44,Steve James,615,Action|Drama,American Ninja 2: The Confrontation ,6046,0,English
Doug Block,0,Ellen Block,0,Documentary,51 Birch Street ,695,2,English
,,Tracy Spiridakos,2000,Action|Adventure|Drama|Sci-Fi,Revolution             ,72017,6,English
Chad Kapper,0,Natalie Welch,196,Family|Sci-Fi,Rotor DR1 ,209,2,English
John Carpenter,0,Donald Pleasence,2000,Horror|Thriller,Halloween ,157863,0,English
Sidney Lumet,0,Lee J. Cobb,359,Crime|Drama,12 Angry Men ,447785,1,English
Paul Fierlinger,3,Peter Gerety,812,Animation|Drama,My Dog Tulip ,1272,0,English
Frank Capra,964,Alan Hale,380,Comedy|Romance,It Happened One Night ,64888,1,English
Yorgos Lanthimos,252,Mary Tsoni,47,Drama|Thriller,Dogtooth ,44864,0,Greek
Lauren Lazin,2,Gary Coleman,786,Biography|Documentary|Music,Tupac: Resurrection ,7687,0,English
Gavin O'Connor,149,Janet McTeer,409,Comedy|Drama,Tumbleweeds ,2932,1,English
Gregory Widen,10,Adam Goldberg,10000,Action|Fantasy|Horror|Mystery|Thriller,The Prophecy ,24438,0,English
Cédric Klapisch,82,Zinedine Soualem,75,Comedy|Romance,When the Cat's Away ,2843,7,French
Peter Hedges,54,Adrian Martinez,1000,Comedy|Drama,Pieces of April ,18035,3,English
Niall Johnson,7,Mark Caven,19,Drama,The Big Swap ,270,0,English
Kelly Reichardt,129,Lucy,52,Drama,Old Joy ,4423,2,English
Kelly Reichardt,129,Lucy,375,Drama,Wendy and Lucy ,12241,1,English
Eric Mendelsohn,5,Edie Falco,795,Drama,3 Backyards ,554,0,English
Jean-Luc Godard,0,Anna Karina,710,Crime|Drama|Romance,Pierrot le Fou ,19386,1,French
Florence Ayisi,0,Beatrice Ntuba,2,Documentary,Sisters in Law ,291,1,English
Pan Nalin,95,,,Documentary,Ayurveda: Art of Being ,341,0,English
Michael Roemer,0,Gloria Foster,581,Drama|Romance,Nothing But a Man ,891,1,English
Jesse Peretz,37,Eli Marienthal,318,Drama|Romance,First Love, Last Rites ,294,0,English
Eddie O'Flaherty,3,Eddie Jones,54,Drama|Sport,Fighting Tommy Riley ,720,0,English
Babar Ahmed,0,Alexander Wraith,502,Action|Thriller,Royal Kill ,476,0,English
Julie Taymor,278,T.V. Carpio,5000,Drama|Fantasy|Musical|Romance,Across the Universe ,91863,0,English
John D. Hancock,44,Elizabeth Stenholt,644,Drama|Music,The Looking Glass ,82,0,English
Paul Bartel,43,David Carradine,13000,Action|Comedy|Sci-Fi|Sport,Death Race 2000 ,19875,0,English
Bruce Dellis,0,Ricky Schroder,685,Thriller,Locker 13 ,241,3,English
Pece Dingo,0,Wilhelm von Homburg,156,Horror,Midnight Cabaret ,47,0,English
Jerome Elston Scott,3,Joanna Cassidy,500,Comedy|Drama|Romance,Anderson's Cross ,95,7,English
Étienne Faure,77,Pierre Prieur,19,Drama|Musical|Romance,Bizarre ,569,0,English
Herb Freed,5,Carmen Argenziano,431,Horror|Mystery,Graduation Day ,1905,0,English
Jack Perez,19,Barry Bostwick,778,Comedy|Crime|Drama|Horror|Mystery|Thriller,Some Guy Who Kills People ,4550,2,English
Craig Zobel,25,Matt Servitto,601,Biography|Crime|Drama|Thriller,Compliance ,24668,0,English
Kevin Smith,0,Ethan Suplee,13000,Comedy|Drama|Romance,Chasing Amy ,114070,5,English
Nicole Holofcener,132,Brenda Blethyn,400,Comedy|Drama|Romance,Lovely & Amazing ,6041,3,English
Ken Del Conte,2,Robert Miano,466,Action|Adventure|Mystery|Romance|Thriller,Death Calls ,30,2,English
Justin Lin,681,Jason Tobin,94,Crime|Drama|Romance,Better Luck Tomorrow ,8000,1,English
Maria Maggenti,4,Laurel Holloman,360,Comedy|Drama|Romance,The Incredibly True Adventure of Two Girls in Love ,3513,0,English
Miguel Arteta,44,Mike White,625,Comedy|Drama,Chuck & Buck ,4662,0,English
Piyush Dinker Pandya,0,Rizwan Manji,250,Comedy|Drama|Romance,American Desi ,1489,2,English
Daniel Columbie,0,Nicholas Simmons,569,Action|Crime|Drama,Amidst the Devil's Wings ,28,0,English
Vincenzo Natali,165,Julian Richings,686,Mystery|Sci-Fi|Thriller,Cube ,160511,0,English
Emma-Kate Croghan,0,Frances O'Connor,991,Comedy|Romance,Love and Other Catastrophes ,1727,1,English
Bill Plympton,45,Bill Martone,5,Animation|Comedy|Drama|Fantasy|Sci-Fi,I Married a Strange Person! ,1428,0,English
Greg Harrison,7,Anne Archer,308,Drama|Mystery|Thriller,November ,2787,1,English
Drake Doremus,52,Charlie Bewley,34000,Drama|Romance,Like Crazy ,46813,1,English
Al Franklin,0,Steffinnie Phrommany,471,Horror,Teeth and Blood ,24,0,English
Allison Anders,99,Rosanna Arquette,793,Comedy|Music,Sugar Town ,708,2,English
Michael Kang,269,Clint Jordan,100,Comedy|Drama,The Motel ,1227,1,Cantonese
