actor_3_facebook_likes,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,language,country,budget,aspect_ratio
80,19732,976,Tim Pigott-Smith,0,English,UK,2000000,1.85
237,53,1752,Fredro Starr,6,English,USA,500000,
446,10143,12496,Nora Zehetner,0,English,UK,450000,2.39
49,5931,1411,Kate Graham,0,English,USA,500000,1.85
304,64,2830,Michael Stahl-David,1,English,USA,450000,
45,7921,995,George Brent,2,English,USA,439000,1.37
0,78,10,Eric Worre,0,English,USA,450000,
3,7143,173,Ellia Thompson,1,English,USA,225000,1.66
19,13543,774,Nils-Anders Vallgårda,15,Swedish,Sweden,25000000,1.85
93,268,1151,Alan Pietruszewski,0,English,USA,,16.0
482,161448,3950,Jon Gries,0,English,USA,400000,1.85
92,42678,1528,Amy Hargreaves,0,English,USA,1066167,2.35
21,184824,330,Amber Armstrong,0,English,USA,15000,1.85
5,10366,54,Jeff Ament,0,English,USA,,1.37
332,382240,2158,Terry Jones,0,English,UK,229575,1.66
138,3675,771,Alicia Sixtos,1,Spanish,USA,400000,2.35
6,179,387,David Frederick White,2,English,USA,100000,1.78
833,202115,4908,Greg Grunberg,4,English,USA,,16.0
0,5709,78,Renee Leblanc,3,English,USA,218,1.37
12,1123,168,Mike Huckabee,0,English,USA,400000,1.78
271,143,2350,Alex Sanborn,3,English,USA,500000,
22,14985,123,Al Cliver,0,Italian,Italy,400000,2.35
6,7458,81,Melissa Bardin Galsky,0,English,USA,,1.33
149,140740,1026,Michelle Krusiec,2,English,USA,35000000,2.35
39,4788,272,Gordon Currie,0,English,Canada,500000,1.85
33,10577,260,Garry Cooper,1,English,UK,650000,1.66
36,191,312,Desmond Askew,0,English,USA,,1.78
83,369,1163,Gabriel Hogan,0,French,Canada,900000,1.78
92,19964,809,Erland Josephson,0,Swedish,Sweden,400000,1.66
9,10718,481,Walter Long,1,,USA,385907,1.33
513,4407,2864,James Doohan,1,English,USA,375000,
4,4546,109,Charles King,8,English,USA,379000,1.37
58,141219,813,Ellen Sandweiss,0,English,USA,375000,1.37
118,27297,1233,Liane Balaban,0,English,France,6000000,2.35
,186,3,,0,Hebrew,Israel,450000,1.78
0,9037,15,Andy Cohn,1,English,USA,1750211,1.85
93,6046,872,Larry Poindexter,0,English,USA,350000,1.85
0,695,0,Mike Block,2,English,Germany,,
576,72017,5052,David Lyons,6,English,USA,,16.0
0,209,199,Christian Kapper,2,English,USA,350000,2.35
598,157863,4400,P.J. Soles,0,English,USA,300000,2.35
253,447785,1433,John Fiedler,1,English,USA,350000,1.66
258,1272,1370,Lynn Redgrave,0,English,USA,,1.85
21,64888,540,Walter Connolly,1,English,USA,325000,1.37
14,44864,126,Sissy Petropoulou,0,Greek,Greece,,2.35
321,7687,2638,Todd Bridges,0,English,USA,,1.85
276,2932,1986,Lois Smith,1,English,USA,312000,1.85
912,24438,13433,Virginia Madsen,0,English,USA,8000000,2.35
8,2843,102,Jane Bradbury,7,French,France,300000,1.66
543,18035,3010,Derek Luke,3,English,USA,300000,1.85
2,270,37,Thierry Harcourt,0,English,UK,,1.33
26,4423,132,Will Oldham,2,English,USA,300000,1.66
26,12241,460,Will Oldham,1,English,USA,200000,1.85
301,554,1884,Kathryn Erbe,0,English,USA,300000,
0,19386,967,Graziella Galvani,1,French,France,300000,2.35
,291,2,,1,English,Cameroon,,
,341,0,,0,English,India,300000,1.85
87,891,835,Ivan Dixon,1,English,USA,160000,
104,294,751,Natasha Gregson Wagner,0,English,USA,300000,
25,720,185,Christina Chambers,0,English,USA,200000,2.35
32,476,689,Darren Kendrick,0,English,USA,350000,
107,91863,5405,Robert Clohessy,0,English,USA,45000000,2.35
221,82,1440,Mary Norwood,0,English,USA,,
668,19875,14950,Martin Kove,0,English,USA,300000,1.85
309,241,2048,Jon Polito,3,English,USA,300000,1.85
87,47,544,Thom Mathews,0,English,USA,,
248,95,1545,Ryan Carnes,7,English,USA,300000,
0,569,19,Raquel Nave,0,English,France,500000,1.78
180,1905,1228,Vanna White,0,English,USA,250000,1.85
313,4550,2515,Ahmed Best,2,English,USA,300000,1.85
235,24668,1734,James McCaffrey,0,English,USA,270000,2.35
781,114070,15765,Joey Lauren Adams,5,English,USA,250000,1.85
225,6041,1330,Raven Goodwin,3,English,USA,250000,1.85
99,30,842,Ron Roggé,2,English,USA,290000,1.85
13,8000,139,Collin Kahey,1,English,USA,250000,1.85
10,3513,656,Stephanie Berry,0,English,USA,250000,1.85
129,4662,1378,Chris Weitz,0,English,USA,250000,1.85
51,1489,454,Anil Kumar,2,English,USA,250000,1.85
185,28,1461,Barbie Castro,0,English,USA,300000,
319,160511,1743,Nicole de Boer,0,English,Canada,365000,1.85
62,1727,1661,Matt Day,1,English,Australia,250000,
0,1428,7,Richard Spore,0,English,USA,250000,1.85
142,2787,1008,Nora Dunn,1,English,USA,150000,1.85
224,46813,34983,Finola Hughes,1,English,USA,250000,1.78
270,24,1399,Clint Jung,0,English,USA,300000,16.0
181,708,1987,John Doe,2,English,UK,250000,
7,1227,127,Jackie Nova,1,Cantonese,USA,,1.85
461,8511,2862,James Deen,0,English,USA,250000,2.35
250,12848,2572,Sarah Lancashire,1,English,UK,,16.0
41,603,216,Dominic Colón,3,English,USA,,
22,7148,114,Travis Smith,0,English,USA,,2.35
289,70076,2123,Pollyanna McIntosh,0,English,UK,,2.35
5,336,154,Terumi Matthews,0,English,USA,250000,1.85
73,602,631,Debra Lynn Hull,0,English,USA,,1.85
3,300,1056,Kirsten Collins,1,English,Canada,250000,1.78
76,18486,457,Jessica Duffy,0,English,USA,,1.78
104,450,694,Charles Irving Beale,2,English,USA,250000,
152,31,968,Tim Bagley,5,English,USA,,
180,870,1991,Stuart Whitman,0,English,USA,,1.85
0,6,0,Jeff Jacob,2,English,USA,250000,
89,1488,537,Sedona James,1,English,USA,250000,
224,1465,2166,Estelle Parsons,1,English,USA,,1.33
3,25,387,Annelyse Ahmad,6,English,USA,250000,
670,37,3967,Elaine Hendrix,0,English,USA,250000,
6,4849,108,Claire Adams,0,,USA,245000,1.33
29,110,1244,Travis Betz,0,English,USA,240000,
142,330,1087,Sheldon Bailey,3,English,USA,250000,1.85
146,84817,27507,Matt King,0,English,UK,,1.85
494,146,2970,Greg Jackson,0,English,USA,250000,
0,575,2,Craig Dougherty,0,English,USA,225000,2.35
131,2742,964,Matt Keeslar,1,English,USA,225000,1.85
0,161,24,William Condos,0,English,USA,100000,1.37
21,4812,205,Ross Elliott,0,English,USA,210000,1.37
51,22124,800,Paul Lukas,0,English,USA,5000000,1.37
28,152232,928,Joanne Samuel,0,English,Australia,200000,2.35
31,63951,4230,Blake Lindsley,0,English,USA,200000,1.85
93,147566,16534,Aldo Sambrell,1,Italian,Italy,200000,2.35
28,4152,583,Louise Beavers,1,English,USA,200000,1.37
0,131,66,Swami Krishnanad,0,English,USA,200000,1.78
16,2099,77046,Michael Higgenbottom,7,English,USA,200000,
305,1034,3021,Lorraine Toussaint,2,English,USA,200000,2.35
9,4212,69,Sophie Rois,0,German,Germany,,2.35
61,460,314,Cynthia Geary,0,English,USA,200000,
15,48,279,Madeleine Albright,3,English,USA,200000,
273,148334,18469,Katie Lowes,0,English,USA,30000000,1.85
10,2413,206,Richard Glover,0,English,USA,200000,1.33
45,81,705,Bethany Blakey,0,English,USA,250000,
156,1328,711,John Reardon,0,English,USA,13000000,2.35
98,3507,2016,Elise Muller,0,English,USA,,1.85
15,78,192,Ali Daniels,0,English,USA,,
0,352,27,Léon Schwartzenberg,0,French,France,150000,1.37
0,9903,0,Ejner Federspiel,0,Danish,Denmark,,1.37
