actor_2_name,genres,movie_title,actor_3_name,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,aspect_ratio
Scott Elrod,Action|Biography|Drama|Thriller|War,Lone Survivor ,Dan Bilzerian,420,English,USA,R,40000000,2013,449,2.35
Lori Petty,Comedy|Drama|Sport,A League of Their Own ,Rosie O'Donnell,166,English,USA,PG,40000000,1992,923,2.35
Frances O'Connor,Horror|Mystery|Thriller,The Conjuring 2 ,Robin Atkin Downes,279,English,USA,R,40000000,2016,575,2.35
Dustin Fitzsimons,Biography|Drama,The Social Network ,Marcella Lentz-Pope,696,English,USA,PG-13,40000000,2010,349,2.35
Sabrina Revelle,Comedy|Drama|Romance,He's Just Not That Into You ,Sachiko Ishida,203,English,USA,PG-13,40000000,2009,50,2.35
Carmen Electra,Comedy,Scary Movie 4 ,Regina Hall,410,English,USA,PG-13,45000000,2006,869,1.85
Roger Jackson,Horror|Mystery,Scream 3 ,Nancy O'Dell,734,English,USA,R,40000000,2000,157,2.35
Jeffrey Weissman,Adventure|Comedy|Sci-Fi|Western,Back to the Future Part III ,Thomas F. Wilson,263,English,USA,PG,40000000,1990,869,1.37
Alison Brie,Comedy|Crime,Get Hard ,Craig T. Nelson,144,English,USA,R,40000000,2015,2000,1.85
Anthony Hopkins,Fantasy|Horror|Romance,Bram Stoker's Dracula ,Gary Oldman,654,English,USA,R,40000000,1992,12000,1.85
Mary Lynn Rajskub,Biography|Drama|Romance,Julie & Julia ,Vanessa Ferlito,277,English,USA,PG-13,40000000,2009,935,1.85
Christopher Meloni,Biography|Drama|Sport,42 ,Nicole Beharie,200,English,USA,PG-13,40000000,2013,3000,2.35
Matt Damon,Crime|Drama|Thriller,The Talented Mr. Ripley ,Jack Davenport,696,English,USA,R,40000000,1999,13000,1.85
Kathleen Turner,Comedy,Dumb and Dumber To ,Rob Riggle,285,English,USA,PG-13,35000000,2014,899,1.85
Bruce Greenwood,Adventure|Drama|Family,Eight Below ,Wendy Crewson,263,English,USA,PG,40000000,2006,984,2.35
Anne Hathaway,Comedy|Drama,The Intern ,Rene Russo,304,English,USA,PG-13,35000000,2015,11000,1.85
Nadine Velazquez,Action|Comedy,Ride Along 2 ,Bruce McGill,58,English,USA,PG-13,40000000,2016,874,2.35
Terry Kinney,Action|Adventure|Drama|Romance|War,The Last of the Mohicans ,Eric Schweig,382,English,USA,R,40000000,1992,363,2.35
Curtis Armstrong,Biography|Drama|Music,Ray ,Harry Lennix,433,English,USA,PG-13,40000000,2004,876,1.85
Powers Boothe,Crime|Thriller,Sin City ,Jason Douglas,1732,English,USA,R,40000000,2005,472,1.85
Edgar Ramírez,Crime|Drama|Mystery|Thriller,Vantage Point ,William Hurt,422,English,USA,PG-13,40000000,2008,897,2.35
Jon Favreau,Comedy|Romance,I Love You, Man ,Jane Curtin,215,English,USA,R,40000000,2009,4000,1.85
Bruce McGill,Comedy|Drama|Fantasy|Romance,Shallow Hal ,Susan Ward,426,English,USA,PG-13,40000000,2001,655,1.85
Jay O. Sanders,Drama|History|Thriller,JFK ,Cheryl Penland,442,English,France,R,40000000,1991,256,2.35
Nia Long,Comedy|Crime,Big Momma's House 2 ,Marisol Nichols,82,English,USA,PG-13,40000000,2006,826,1.85
Brad Pitt,Adventure|Comedy|Crime|Romance,The Mexican ,Julia Roberts,344,English,USA,R,34000000,2001,11000,2.35
Jack O'Connell,Biography|Drama|Sport|War,Unbroken ,Alex Russell,351,English,USA,PG-13,65000000,2014,698,2.35
Hunter Parrish,Comedy|Drama|Family|Fantasy|Romance,17 Again ,Thomas Lennon,185,English,USA,PG-13,20000000,2009,2000,2.35
Kate Upton,Comedy|Romance,The Other Woman ,David Thornton,189,English,USA,PG-13,40000000,2014,971,2.35
Andrew Fiscella,Horror,The Final Destination ,Shantel VanSanten,290,English,USA,R,40000000,2009,137000,2.35
Mark Rylance,Drama|History|Thriller,Bridge of Spies ,Amy Ryan,355,English,USA,PG-13,40000000,2015,535,2.35
David Keith,Action|Drama|Thriller|War,Behind Enemy Lines ,Sam Jaeger,411,English,USA,PG-13,40000000,2001,563,2.35
Mario Lopez,Comedy|Music,Get Him to the Greek ,Lino Facioli,197,English,USA,R,,2010,719,1.85
Nick Cannon,Comedy|Drama|Romance,Shall We Dance ,Omar Benson Miller,211,English,USA,PG-13,50000000,2004,593,1.85
Denis Leary,Action|Adventure|Comedy|Family|Sci-Fi,Small Soldiers ,Robert Picardo,139,English,USA,PG-13,40000000,1998,835,2.35
Frank Welker,Action|Horror,Spawn ,Miko Hughes,209,English,USA,R,40000000,1997,2000,1.85
James Frain,Action|Adventure|Drama|Romance|Thriller,The Count of Monte Cristo ,Michael Wincott,544,English,UK,PG-13,35000000,2002,1000,1.85
Margarita Levieva,Crime|Drama|Thriller,The Lincoln Lawyer ,Frances Fisher,203,English,USA,R,40000000,2011,980,2.35
Frank Langella,Action|Mystery|Thriller,Unknown ,Aidan Quinn,332,English,UK,PG-13,30000000,2011,903,2.35
Hugh Jackman,Drama|Mystery|Sci-Fi|Thriller,The Prestige ,Scarlett Johansson,1100,English,USA,PG-13,40000000,2006,20000,2.35
Christoph Waltz,Comedy|Crime,Horrible Bosses 2 ,Lindsay Sloane,187,English,USA,R,42000000,2014,11000,2.35
Paul Scheer,Adventure|Animation|Comedy|Family|Sci-Fi,Escape from Planet Earth ,Jonathan Morgan Heit,44,English,USA,PG,40000000,2013,190,2.35
Dalia Hernández,Action|Adventure|Drama|Thriller,Apocalypto ,Jonathan Brewer,1043,Maya,USA,R,40000000,2006,78,1.85
Desmond Llewelyn,Action|Adventure|Thriller,The Living Daylights ,Art Malik,271,English,UK,PG,30000000,1987,244,2.35
Alice Braga,Action|Adventure|Sci-Fi|Thriller,Predators ,Derek Mears,619,English,USA,R,40000000,2010,1000,2.35
Debra Winger,Comedy|Crime|Romance,Legal Eagles ,Roscoe Lee Browne,34,English,USA,PG,40000000,1986,568,2.35
Charles S. Dutton,Mystery|Thriller,Secret Window ,Timothy Hutton,531,English,USA,PG-13,40000000,2004,534,2.35
Dylan Walsh,Drama|Fantasy|Romance,The Lake House ,Ebon Moss-Bachrach,548,English,USA,PG,40000000,2006,426,2.35
Deneen Tyler,Horror|Mystery|Thriller,The Skeleton Key ,Joy Bryant,371,English,USA,PG-13,43000000,2005,351,2.35
Odeya Rush,Comedy|Drama|Family|Fantasy,The Odd Life of Timothy Green ,Common,110,English,USA,PG,25000000,2012,2000,1.85
Beau Garrett,Comedy|Romance,Made of Honor ,Kevin Sussman,101,English,USA,PG-13,40000000,2008,689,2.35
Steve Schirripa,Biography|Drama|Music|Musical,Jersey Boys ,Scott Vance,190,English,USA,R,40000000,2014,413,2.35
Dean Stockwell,Crime|Drama|Thriller,The Rainmaker ,Virginia Madsen,141,English,USA,PG-13,40000000,1997,936,2.35
Charles S. Dutton,Horror|Mystery|Thriller,Gothika ,Bernard Hill,376,English,USA,R,40000000,2003,534,1.85
Morgan Freeman,Drama|History,Amistad ,Matthew McConaughey,227,English,USA,R,36000000,1997,11000,1.85
José Wilker,Adventure|Drama|Romance,Medicine Man ,Sean Connery,56,English,USA,PG-13,40000000,1992,47,2.35
Johnny Lewis,Action|Horror|Sci-Fi|Thriller,Aliens vs. Predator: Requiem ,Ian Whyte,998,English,USA,R,40000000,2007,741,2.35
John Larroquette,Comedy|Family,Ri¢hie Ri¢h ,Jonathan Hyde,39,English,USA,PG,40000000,1994,450,1.85
Sam Trammell,Drama|Romance,Autumn in New York ,Elaine Stritch,180,English,USA,PG-13,40000000,2000,1000,1.85
Scott Porter,Comedy|Music|Romance,Music and Lyrics ,Haley Bennett,291,English,USA,PG-13,,2007,690,1.85
Nelson Ascencio,Adventure|Comedy|Sci-Fi,Paul ,Jeremy Owen,334,English,USA,R,40000000,2011,61,2.35
Tom Virtue,Comedy|Drama,The Guilt Trip ,Julene Renee,103,English,USA,PG-13,40000000,2012,358,2.35
Aimee Teegarden,Horror|Mystery,Scream 4 ,Shenae Grimes-Beech,518,English,USA,R,40000000,2011,741,2.35
Chris Bauer,Mystery|Thriller,8MM ,Anthony Heald,587,English,Germany,R,40000000,1999,638,2.35
Kevin Dillon,Biography|Drama|Music|Musical,The Doors ,Kathleen Quinlan,209,English,USA,R,38000000,1991,576,2.35
Randall Park,Comedy,Sex Tape ,Nat Faxon,158,English,USA,R,40000000,2014,392,1.85
Celia Weston,Comedy|Drama,Hanging Up ,Jesse James,130,English,Germany,PG-13,60000000,2000,258,1.85
Jacqueline MacInnes Wood,Horror,Final Destination 5 ,Courtney B. Vance,227,English,USA,R,40000000,2011,682,2.35
Burt Young,Comedy|Crime|Romance,Mickey Blue Eyes ,Vincent Pastore,117,English,UK,PG-13,40000000,1999,683,1.85
Haley Joel Osment,Drama,Pay It Forward ,Angie Dickinson,660,English,USA,PG-13,40000000,2000,3000,1.85
KaDee Strickland,Comedy|Drama|Romance|Sport,Fever Pitch ,Ione Skye,208,English,USA,PG-13,30000000,2005,299,2.35
Melissa Altro,Animation|Comedy|Family,Arthur             ,Daniel Brochu,43,English,Canada,TV-Y,,,21,1.33
Shaun Weiss,Comedy|Drama,Drillbit Taylor ,Matt Walsh,101,English,USA,PG-13,40000000,2008,613,2.35
Charlize Theron,Comedy|Western,A Million Ways to Die in the West ,Seth MacFarlane,416,English,USA,R,40000000,2014,9000,2.35
Peter Boyle,Action|Adventure|Crime|Fantasy|Mystery|Thriller,The Shadow ,John Kapelos,146,English,USA,PG-13,25000000,1994,595,1.85
Thomas Horn,Adventure|Drama|Mystery,Extremely Loud & Incredibly Close ,Stephen Henderson,341,English,USA,PG-13,40000000,2011,467,2.35
Patti D'Arbanville,Comedy|Drama|Romance,Morning Glory ,Vanessa Aspillaga,156,English,USA,PG-13,40000000,2010,117,2.35
Bill Duke,Biography|Crime|Drama|Music,Get Rich or Die Tryin' ,Marc John Jefferies,284,English,USA,R,40000000,2005,1000,2.35
Cary-Hiroyuki Tagawa,Action|Adventure|Crime|Thriller,The Art of War ,Anne Archer,167,English,USA,R,40000000,2000,1000,2.35
David Fine,Drama|Musical|Romance,Rent ,Jesse L. Martin,754,English,USA,PG-13,40000000,2005,1000,2.35
Jimmy Smits,Crime|Drama|Horror|Thriller,Bless the Child ,Angela Bettis,188,English,USA,R,40000000,2000,941,2.35
Valerie Perri,Comedy,The Out-of-Towners ,Carlease Burke,105,English,USA,PG-13,40000000,1999,322,1.85
Temuera Morrison,Horror|Sci-Fi|Thriller,The Island of Dr. Moreau ,Marco Hofschneider,164,English,USA,PG-13,40000000,1996,368,2.35
Justin Chambers,Action|Adventure|Romance,The Musketeer ,Stephen Rea,291,English,Germany,PG-13,40000000,2001,931,2.35
Scarlett Johansson,Biography|Drama|History|Romance,The Other Boleyn Girl ,Benedict Cumberbatch,252,English,UK,PG-13,35000000,2008,19000,1.85
Charlize Theron,Drama|Romance,Sweet November ,Frank Langella,274,English,USA,PG-13,40000000,2001,9000,1.85
Andrea Frankle,Horror|Thriller,The Reaping ,William Ragsdale,178,English,USA,R,40000000,2007,253,2.35
David Carradine,Crime|Drama|Romance|Thriller,Mean Streets ,David Proval,223,English,USA,R,500000,1973,926,1.85
Cliff Robertson,Comedy|Drama,Renaissance Man ,Lillo Brancato,61,English,USA,PG-13,40000000,1994,754,1.85
Callum Blue,Action|Crime|Drama|Thriller,Colombiana ,Jesse Borrego,203,English,France,PG-13,40000000,2011,738,2.35
Jaleel White,Adventure|Animation|Comedy|Drama|Family|Fantasy|Musical,The Magic Sword: Quest for Camelot ,Eric Idle,67,English,USA,G,40000000,1998,908,1.85
James Franco,Crime|Drama|Mystery|Thriller,City by the Sea ,John Doman,166,English,USA,R,60000000,2002,11000,2.35
Nathan Lane,Drama|Romance,At First Sight ,Steven Weber,106,English,USA,PG-13,60000000,1999,886,1.85
Jay Hernandez,Action|Comedy|Crime,Torque ,Christina Milian,207,English,USA,PG-13,40000000,2004,1000,2.35
Martin Landau,Drama|Thriller,City Hall ,Bridget Fonda,60,English,USA,R,40000000,1996,940,1.85
Elizabeth Berkley,Drama,Showgirls ,Robert Davi,450,English,France,NC-17,45000000,1995,893,2.35
Shirley Henderson,Biography|Drama|History|Romance,Marie Antoinette ,Rip Torn,619,English,USA,PG-13,40000000,2006,887,1.85
Michael Rapaport,Action|Crime|Thriller,Kiss of Death ,Philip Baker Hall,60,English,USA,R,40000000,1995,975,1.85
Miranda Richardson,Action|Crime|Drama|Thriller,Get Carter ,Lauren Lee Smith,284,English,USA,R,40000000,2000,530,2.35
Geraldine Chaplin,Drama|Thriller,The Impossible ,Oaklee Pendergast,322,English,Spain,PG-13,45000000,2012,382,2.35
Warren Beatty,Action|Adventure|Comedy|Music|Thriller,Ishtar ,Isabelle Adjani,126,English,USA,PG-13,51000000,1987,631,1.85
Meryl Streep,Adventure|Animation|Comedy|Crime|Family,Fantastic Mr. Fox ,Helen McCrory,245,English,USA,PG,40000000,2009,11000,1.85
Stockard Channing,Comedy|Romance,Life or Something Like It ,James Gammon,128,English,USA,PG-13,40000000,2002,944,2.35
Michael McKean,Comedy|Romance|Sci-Fi|Thriller,Memoirs of an Invisible Man ,Patricia Heaton,66,English,USA,PG-13,40000000,1992,658,2.35
Jamel Debbouze,Comedy|Romance,Amélie ,Isabelle Nanty,1314,French,France,R,77000000,2001,326,2.35
Bob Saget,Comedy|Crime|Family|Romance,New York Minute ,Riley Smith,111,English,USA,PG,30000000,2004,799,1.85
Nia Long,Comedy|Drama|Romance,Alfie ,Jane Krakowski,146,English,UK,R,60000000,2004,826,1.85
Tim Blake Nelson,Biography|Drama|Romance,Big Miracle ,Andrew Daly,66,English,USA,PG,40000000,2012,596,2.35
Treat Williams,Drama,The Deep End of the Ocean ,Jonathan Jackson,111,English,USA,PG-13,40000000,1999,642,1.85
Jeffrey Combs,Crime|Horror|Thriller,Feardotcom ,Udo Kier,388,English,UK,R,42000000,2002,886,2.35
Salma Hayek,Action|Adventure|Fantasy|Thriller,Cirque du Freak: The Vampire's Assistant ,Patrick Fugit,157,English,USA,PG-13,40000000,2009,4000,2.35
Spencer Wilding,Drama|Horror|Sci-Fi|Thriller,Victor Frankenstein ,Daniel Mays,91,English,USA,PG-13,40000000,2015,1000,2.35
Amber Valletta,Comedy,Duplex ,Harvey Fierstein,147,English,USA,PG-13,40000000,2003,627,1.85
Sean Hayes,Comedy|Drama|Music,Soul Men ,Mike Epps,25,English,USA,R,,2008,760,2.35
Jason Robards,Action|Adventure|Drama|Thriller,Raise the Titanic ,Anne Archer,70,English,UK,PG,36000000,1980,372,2.35
Daniel von Bargen,Action|Sci-Fi,Universal Soldier: The Return ,Xander Berkeley,162,English,USA,R,24000000,1999,577,1.85
Dennis Quaid,Action|Horror|Mystery|Sci-Fi|Thriller,Pandorum ,Eddie Rouse,310,English,Germany,R,33000000,2009,2000,2.35
Mekhi Phifer,Drama|Mystery|Sci-Fi|Thriller,Impostor ,Tim Guinee,207,English,USA,R,40000000,2001,1000,1.85
Bridgette Wilson-Sampras,Action|Adventure|Thriller,Extreme Ops ,Rupert Graves,82,English,UK,PG-13,40000000,2002,545,2.35
Matt Ross,Comedy|Fantasy|Sci-Fi,Just Visiting ,John Aylward,98,English,France,PG-13,40000000,2001,248,2.35
Benedict Wong,Adventure|Sci-Fi|Thriller,Sunshine ,Troy Garity,801,English,UK,R,26000000,2007,372,2.35
Lou Saliba,Comedy|Drama,A Thousand Words ,Greg Collins,93,English,USA,PG-13,40000000,2012,46,2.35
Anne Bancroft,Adventure|Animation|Comedy|Fantasy|Romance,Delgo ,Kelly Ripa,26,English,USA,PG,40000000,2008,754,1.85
Mark Rylance,Action|Crime|Drama|Mystery|Thriller,The Gunman ,Jasmine Trinca,110,English,USA,R,40000000,2015,535,2.35
Sophie Okonedo,Action|Adventure|Family|Thriller,Alex Rider: Operation Stormbreaker ,Ashley Walters,187,English,Germany,PG,40000000,2006,460,2.35
Aaron Yoo,Drama|Mystery|Thriller,Disturbia ,Jose Pablo Cantillo,491,English,USA,PG-13,20000000,2007,617,1.85
Fisher Stevens,Comedy|Crime|Drama|Thriller,Hackers ,Lorraine Bracco,223,English,USA,PG-13,20000000,1995,922,2.35
Zan Marolt,Adventure|Comedy|Drama|Romance|Thriller|War,The Hunting Party ,Ljubomir Kerekes,90,English,USA,R,25000000,2007,3,2.35
Bill Cobbs,Comedy|Fantasy,The Hudsucker Proxy ,John Mahoney,211,English,UK,PG,30000000,1994,970,1.85
Takeshi Kaneshiro,Action|Drama|History|Romance|War,The Warlords ,Andy Lau,61,Mandarin,Hong Kong,R,40000000,2007,755,2.35
Kuno Becker,Drama|History|War,Nomad: The Warrior ,Jason Scott Lee,32,Kazakh,France,R,25000000,2005,580,2.35
Ewen Bremner,Action|Drama|Sci-Fi|Thriller,Snowpiercer ,Kang-ho Song,514,English,South Korea,R,39200000,2013,557,1.85
Bob Balaban,Adventure|Animation|Comedy|Fantasy|Music|Romance,A Monster in Paris ,François Cluzet,40,French,France,PG,25000000,2011,559,1.85
Glenn Morshower,Comedy,The Last Shot ,Tim Blake Nelson,39,English,USA,R,,2004,894,1.85
Bai Ling,Action|Drama|Fantasy,The Crow ,David Patrick Kelly,545,English,USA,R,23000000,1994,581,1.85
Anushka Shetty,Action|Adventure|Drama|Fantasy|War,Baahubali: The Beginning ,Prabhas,410,Telugu,India,,18026148,2015,133,1.85
Brooklynn Proulx,Drama|Fantasy|Romance|Sci-Fi,The Time Traveler's Wife ,Michelle Nolden,234,English,USA,PG-13,39000000,2009,142,2.35
Stephen Collins,Comedy|Romance,Because I Said So ,Tom Everett Scott,184,English,USA,PG-13,,2007,452,1.85
Vin Diesel,Action|Crime|Thriller,The Fast and the Furious ,Jordana Brewster,988,English,USA,PG-13,38000000,2001,14000,2.35
Catherine O'Hara,Animation|Comedy|Family|Horror|Sci-Fi,Frankenweenie ,Atticus Shaffer,165,English,USA,PG,39000000,2012,925,1.85
Sean Maher,Action|Adventure|Sci-Fi|Thriller,Serenity ,Michael Hitchcock,1594,English,USA,PG-13,40000000,2005,505,2.35
Charles S. Dutton,Biography|Drama|Romance|Sport,Against the Ropes ,Tim Daly,50,English,USA,PG-13,39000000,2004,534,2.35
Robert Vaughn,Action|Comedy|Sci-Fi,Superman III ,Jackie Cooper,224,English,UK,PG,39000000,1983,542,2.35
Sylvester Stallone,Comedy|Sport,Grudge Match ,Oscar Gale,115,English,USA,PG-13,40000000,2013,13000,1.85
Tony Chiu Wai Leung,Action|Adventure|Drama|History|War,Red Cliff ,Wei Zhao,105,Mandarin,China,R,553632000,2008,643,2.35
Mary Lynn Rajskub,Comedy|Romance,Sweet Home Alabama ,Courtney Gains,392,English,USA,PG-13,38000000,2002,935,2.35
John Michael Higgins,Comedy|Romance,The Ugly Truth ,Eric Winter,169,English,USA,R,38000000,2009,957,2.35
Phil Hartman,Comedy,Sgt. Bilko ,Max Casella,73,English,USA,PG,39000000,1996,516,2.35
Alexa PenaVega,Action|Adventure|Comedy|Family|Sci-Fi,Spy Kids 2: Island of Lost Dreams ,Emily Osment,107,English,USA,PG,38000000,2002,2000,1.85
Alan Ruck,Action|Adventure|Mystery|Sci-Fi|Thriller,Star Trek: Generations ,Jonathan Frakes,249,English,USA,PG,35000000,1994,946,2.35
Hye-kyo Song,Action|Biography|Drama,The Grandmaster ,Elvis Tsui,111,Mandarin,Hong Kong,PG-13,38600000,2013,290,2.35
Christoph Waltz,Drama|Romance,Water for Elephants ,James Frain,260,English,USA,PG-13,38000000,2011,11000,2.35
Wayne Knight,Comedy|Family|Sci-Fi,3rd Rock from the Sun             ,Kristen Johnston,86,English,USA,TV-PG,,,967,1.33
Bianca Collins,Adventure|Animation|Family|Fantasy,Dragon Nest: Warriors' Dawn ,Jiao Xu,18,English,China,,40000000,2014,47,
Vincent Pastore,Biography|Drama|Sport,The Hurricane ,Deborah Kara Unger,265,English,USA,R,38000000,1999,584,1.85
Jeff Kober,Crime|Drama|Thriller,Enough ,Billy Campbell,234,English,USA,PG-13,38000000,2002,919,2.35
Anne Bancroft,Comedy|Crime|Romance,Heartbreakers ,Jeffrey Jones,216,English,USA,PG-13,35000000,2001,754,2.35
Daniella Alonso,Action|Comedy|Crime,Paul Blart: Mall Cop 2 ,Eduardo Verástegui,123,English,USA,PG,30000000,2015,557,1.85
Shirley Knight,Drama|Romance,Angel Eyes ,Kari Matchett,180,English,USA,R,38000000,2001,285,1.85
Ken Marino,Comedy|Drama,Joe Somebody ,Kelly Lynch,85,English,USA,PG,38000000,2001,543,1.85
Frank Langella,Mystery|Thriller,The Ninth Gate ,Lena Olin,638,English,Spain,R,38000000,1999,903,2.35
Paul Guilfoyle,Crime|Drama|Mystery|Thriller,Extreme Measures ,Bill Nunn,75,English,USA,R,38000000,1996,210,2.35
Dagmara Dominczyk,Drama|Music,Rock Star ,Matthew Glave,191,English,USA,R,57000000,2001,316,2.35
Gabourey Sidibe,Drama,Precious ,Mariah Carey,275,English,USA,R,10000000,2009,906,1.85
Jason Marsden,Adventure|Drama,White Squall ,Ethan Embry,89,English,USA,PG-13,38000000,1996,1000,2.35
Richard Masur,Horror|Mystery|Sci-Fi,The Thing ,David Clennon,911,English,USA,R,15000000,1982,163,2.35
Nolan Gerard Funk,Action|Sci-Fi|Thriller,Riddick ,Bokeem Woodbine,343,English,USA,R,38000000,2013,924,2.35
Claudia Stedelin,Crime|Mystery|Thriller,Switchback ,Ted Markland,81,English,USA,R,37000000,1997,12,2.35
Usher Raymond,Action|Adventure|Drama|Thriller|Western,Texas Rangers ,Leonor Varela,67,English,USA,PG-13,38000000,2001,569,2.35
Toby Jones,Adventure|Family|Fantasy|Sci-Fi,City of Ember ,Harry Treadaway,102,English,USA,PG,55000000,2008,2000,2.35
Jeffrey W. Jenkins,Drama,The Master ,Bruce Goodchild,405,English,USA,R,32000000,2012,18,1.85
Ryan Cartwright,Adventure|Comedy|History|Romance,Virgin Territory ,David Walliams,28,English,Italy,R,38000000,2007,476,1.85
Nicole Beharie,Biography|Drama|Sport,The Express ,Charles S. Dutton,45,English,USA,PG,40000000,2008,898,2.35
Maggie Siff,Action|Adventure|Sci-Fi|Thriller,The 5th Wave ,Nick Robinson,266,English,USA,PG-13,38000000,2016,1000,2.35
Phylicia Rashad,Drama|Sport,Creed ,Graham McTavish,362,English,USA,PG-13,35000000,2015,597,2.35
Jon Hamm,Crime|Drama|Thriller,The Town ,Owen Burke,420,English,USA,R,37000000,2010,4000,2.35
Dennis Quaid,Comedy|Drama|Romance,What to Expect When You're Expecting ,Thomas Lennon,89,English,USA,PG-13,40000000,2012,2000,2.35
Brad Pitt,Comedy|Drama,Burn After Reading ,Kevin Sussman,545,English,USA,R,37000000,2008,11000,1.85
Anthony Simcoe,Adventure|Comedy|Family|Fantasy,Nim's Island ,Christopher James Baker,110,English,USA,PG,37000000,2008,82,2.35
Olivia Wilde,Action|Biography|Drama|Sport,Rush ,Alexandra Maria Lara,475,English,UK,R,38000000,2013,10000,2.35
Neil Flynn,Drama,Magnolia ,Jim Meskimen,1437,English,USA,R,37000000,1999,625,2.35
Tracy Morgan,Action|Comedy|Crime,Cop Out ,Kevin Pollak,176,English,USA,R,37000000,2010,642,2.35
Damon Wayans Jr.,Comedy|Romance,How to Be Single ,Nicholas Braun,83,English,USA,R,38000000,2016,756,2.35
Michael Roark,Drama|Family,Dolphin Tale ,Harry Connick Jr.,86,English,USA,PG,37000000,2011,680,1.85
Taylor Lautner,Drama|Fantasy|Romance,Twilight ,Anna Kendrick,1535,English,USA,PG-13,37000000,2008,12000,2.35
Laura Harring,Crime|Drama|Thriller,John Q ,Anne Heche,394,English,USA,PG-13,36000000,2002,669,1.85
Dave Chappelle,Action|Comedy|Crime|Thriller,Blue Streak ,Tamala Jones,144,English,USA,PG-13,65000000,1999,744,1.85
Molly C. Quinn,Comedy|Crime,We're the Millers ,Thomas Lennon,301,English,USA,R,37000000,2013,707,2.35
Fedor Bondarchuk,Action|Adventure|Sci-Fi,Obitaemyy ostrov ,Aleksey Serebryakov,21,Russian,Russia,,29500000,2009,35,
M.C. Gainey,Action|Crime|Drama|Mystery|Thriller,Breakdown ,J.T. Walsh,218,English,USA,R,36000000,1997,284,2.35
Klaus Maria Brandauer,Action|Adventure|Thriller,Never Say Never Again ,Barbara Carrera,214,English,UK,PG,36000000,1983,172,2.35
Collette Wolfe,Comedy|Sci-Fi,Hot Tub Time Machine ,Crystal Lowe,243,English,USA,R,36000000,2010,390,1.85
Taylor Blackwell,Drama|Family,Dolphin Tale 2 ,Harry Connick Jr.,33,English,USA,PG,36000000,2014,641,1.85
James Frain,Action|Adventure|Crime|Drama|Family|Fantasy|Romance|Thriller,Reindeer Games ,Clarence Williams III,212,English,USA,R,34000000,2000,1000,2.35
Jeff Kober,Action|Crime|Drama|Thriller,A Man Apart ,Larenz Tate,135,English,USA,R,36000000,2003,919,2.35
Bradley Cooper,Comedy|Drama|Romance,Aloha ,Bill Murray,172,English,USA,PG-13,37000000,2015,14000,1.85
Virginia Madsen,Drama|History,Ghosts of Mississippi ,Craig T. Nelson,57,English,USA,PG-13,36000000,1996,912,1.85
