director_name,num_critic_for_reviews,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,genres,movie_title,num_voted_users,actor_3_name,facenumber_in_poster,num_user_for_reviews,country,budget,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Barry Levinson,130,957,Kirsten Dunst,22000,Comedy|Drama,Wag the Dog ,67604,John Michael Higgins,0,218,USA,15000000,4000,7.1,1.85,12000
Jim Fall,66,566,Adam Lamberg,925,Adventure|Comedy|Family|Music|Romance,The Lizzie McGuire Movie ,27580,Alex Borstein,1,172,USA,17000000,738,5.3,2.35,0
Ric Roman Waugh,238,874,Harold Perrineau,12000,Action|Drama|Thriller,Snitch ,64747,Nadine Velazquez,1,122,USA,15000000,1000,6.5,2.35,12000
Michael Dougherty,198,562,Conchata Ferrell,3000,Comedy|Fantasy|Horror,Krampus ,29867,Allison Tolman,0,181,USA,15000000,658,6.2,2.35,27000
Robert Rodriguez,154,1000,Salma Hayek,4000,Horror|Mystery|Sci-Fi,The Faculty ,92074,Clea DuVall,1,502,USA,15000000,4000,6.4,1.85,0
Brian Gibson,19,2,Virginia Capers,90,Biography|Drama|Music,What's Love Got to Do with It ,13442,Dororthy Thorton,0,59,USA,,22,7.2,1.85,0
James Mangold,131,1000,Sylvester Stallone,22000,Crime|Drama|Thriller,Cop Land ,69576,Janeane Garofalo,3,207,USA,10000000,13000,6.9,1.85,2000
Joel Gallen,97,971,JoAnna Garcia Swisher,11000,Comedy,Not Another Teen Movie ,80305,Mia Kirshner,0,393,USA,16000000,983,5.7,1.85,0
David Ayer,355,953,Anna Kendrick,15000,Crime|Drama|Thriller,End of Watch ,181025,America Ferrera,2,336,USA,7000000,10000,7.7,1.85,38000
Cameron Crowe,138,13000,Bradley Cooper,15000,Comedy|Drama|Romance,Aloha ,39782,Bill Murray,1,172,USA,37000000,14000,5.4,1.85,11000
Rob Cohen,102,883,Leslie Bibb,23000,Action|Crime|Drama|Thriller,The Skulls ,26846,William Petersen,0,193,USA,15000000,1000,5.6,1.85,0
James Marsh,419,149,Emily Watson,13000,Biography|Drama|Romance,The Theory of Everything ,265507,Simon McBurney,0,388,UK,15000000,876,7.7,2.35,90000
John Whitesell,37,685,Regina Hall,833,Comedy|Crime,Malibu's Most Wanted ,15939,Blair Underwood,3,87,USA,16000000,807,5.1,2.35,0
Matt Williams,78,944,James Frain,20000,Comedy|Drama|Romance,Where the Heart Is ,27044,Stockard Channing,2,240,USA,15000000,1000,6.8,1.85,0
David Lean,181,87,José Ferrer,607,Adventure|Biography|Drama|History|War,Lawrence of Arabia ,192775,Jack Hawkins,8,559,UK,15000000,202,8.4,2.2,11000
Rob Zombie,220,593,Tyler Mane,908,Horror,Halloween II ,36372,Margot Kidder,0,491,USA,15000000,764,4.9,1.85,3000
Jean-Marc Vallée,349,612,Kevin Rankin,2000,Adventure|Biography|Drama,Wild ,86664,Gaby Hoffmann,1,252,USA,15000000,820,7.1,2.35,38000
Dennis Iliadis,241,616,Monica Potter,956,Crime|Horror|Thriller,The Last House on the Left ,67822,Martha MacIsaac,0,279,USA,15000000,878,6.6,1.85,0
Clare Kilner,103,458,Debra Messing,1000,Comedy|Romance,The Wedding Date ,38248,Holland Taylor,0,250,USA,15000000,650,6.1,1.85,0
Rick Rosenthal,151,731,Thomas Ian Nicholas,2000,Comedy|Horror|Thriller,Halloween: Resurrection ,26905,Bianca Kajlich,5,614,USA,15000000,864,4.1,2.35,0
Louis Leterrier,344,850,Jason Flemyng,14000,Action|Adventure|Fantasy,Clash of the Titans ,229687,Alexa Davalos,0,637,USA,125000000,1000,5.8,2.35,15000
Rob Reiner,185,594,Carol Kane,18000,Adventure|Family|Fantasy|Romance,The Princess Bride ,294163,André the Giant,0,718,USA,16000000,636,8.1,1.85,33000
Denzel Washington,112,697,Jurnee Smollett-Bell,18000,Biography|Drama,The Great Debaters ,47626,John Heard,1,118,USA,15000000,2000,7.6,2.35,0
Nicolas Winding Refn,676,228,Albert Brooks,33000,Crime|Drama,Drive ,431578,Russ Tamblyn,0,1264,USA,15000000,745,7.8,2.35,81000
Sara Sugarman,74,231,Carol Kane,811,Comedy|Family|Music|Romance,Confessions of a Teenage Drama Queen ,23408,Glenne Headly,8,105,Germany,15000000,636,4.6,1.85,810
Nicholas Hytner,65,106,Tim Daly,818,Comedy|Drama|Romance,The Object of My Affection ,15582,Kali Rocha,0,132,USA,15000000,511,6.0,1.85,849
Juan Carlos Fresnadillo,274,306,Harold Perrineau,10000,Drama|Horror|Sci-Fi,28 Weeks Later ,212167,Catherine McCormack,1,713,UK,15000000,1000,7.0,1.85,0
Thomas Carter,50,100,Matthew Daddario,116,Drama|Family|Sport,When the Game Stands Tall ,12596,Ser'Darius Blain,0,64,USA,15000000,110,6.7,1.85,0
Wayne Wang,96,649,Luke Benward,907,Comedy|Drama|Family,Because of Winn-Dixie ,8427,Eva Marie Saint,5,88,USA,14000000,807,6.4,1.85,1000
Gina Prince-Bythewood,68,865,Sanaa Lathan,1000,Drama|Romance|Sport,Love & Basketball ,14322,Omar Epps,0,116,USA,15000000,886,7.2,1.85,0
George Armitage,111,141,Michael Cudlitz,893,Action|Comedy|Crime|Romance|Thriller,Grosse Pointe Blank ,73347,Mitchell Ryan,1,296,USA,15000000,822,7.4,1.85,0
Phil Traill,128,628,Katy Mixon,14000,Comedy|Romance,All About Steve ,33088,Beth Grant,3,143,USA,15000000,982,4.8,1.85,0
Joe Berlinger,160,162,Erica Leerhsen,193,Adventure|Fantasy|Horror|Mystery|Thriller,Book of Shadows: Blair Witch 2 ,28964,Kurt Loder,0,457,USA,15000000,184,4.0,1.85,949
Andrew Fleming,93,266,Rachel True,838,Drama|Fantasy|Horror|Thriller,The Craft ,57140,Brenda Strong,0,195,USA,15000000,328,6.2,1.85,6000
Woody Allen,278,400,Mark Gatiss,19000,Drama|Romance|Thriller,Match Point ,166269,Penelope Wilton,3,735,UK,15000000,567,7.7,1.85,0
Elizabeth Allen Rosenbaum,81,125,Hutch Dano,512,Adventure|Comedy|Family|Fantasy,Ramona and Beezus ,13874,Jason Spevack,2,52,USA,15000000,316,6.7,2.35,0
James Ivory,58,258,Peter Vaughan,12000,Drama|Romance,The Remains of the Day ,45703,Ben Chaplin,1,156,UK,11500000,310,7.9,2.35,0
Paul Thomas Anderson,153,170,Nicole Ari Parker,3000,Drama,Boogie Nights ,189032,Nina Hartley,15,560,USA,15000000,360,7.9,2.35,0
Robert Harmon,25,232,Rosanna Arquette,1000,Action|Crime|Drama|Romance|Thriller,Nowhere to Run ,17074,Joss Ackland,0,55,USA,15000000,605,5.5,1.85,466
Michael Mayer,46,461,Danny Pino,1000,Adventure|Drama|Family,Flicka ,6095,Tim McGraw,0,76,USA,15000000,786,6.2,2.35,1000
Martin Weisz,161,399,Daniella Alonso,919,Horror,The Hills Have Eyes II ,49721,Jacob Vargas,0,211,USA,15000000,557,5.1,2.35,0
John Ottman,108,579,Joey Lawrence,912,Horror|Mystery|Thriller,Urban Legends: Final Cut ,13048,Jacinda Barrett,2,227,USA,14000000,786,4.1,2.35,243
Jay Russell,69,613,Sissy Spacek,882,Drama|Family|Fantasy|Romance,Tuck Everlasting ,17983,Jonathan Jackson,2,127,USA,15000000,874,6.7,2.35,0
John Bonito,78,129,Firass Dirani,472,Action|Drama|Thriller,The Marine ,27486,Drew Powell,1,284,USA,20000000,239,4.7,1.85,0
Peter Atencio,129,415,Will Forte,826,Action|Comedy,Keanu ,15385,Keegan-Michael Key,2,84,USA,15000000,622,6.4,2.35,0
Shana Feste,135,461,Cinda McCain,3000,Drama|Music,Country Strong ,14814,Tim McGraw,4,114,Official site,15000000,646,6.3,2.35,0
David Nutter,96,918,Ethan Embry,989,Horror|Mystery|Sci-Fi|Thriller,Disturbing Behavior ,17328,Katharine Isabelle,3,237,Australia,15000000,982,5.5,1.85,673
Derek Cianfrance,417,619,Ben Mendelsohn,33000,Crime|Drama|Thriller,The Place Beyond the Pines ,187170,Angelo Anthony Pizza,3,376,USA,15000000,748,7.3,2.35,47000
Roger Donaldson,172,537,Akie Kotabe,775,Action|Crime|Thriller,The November Man ,50056,Will Patton,2,152,USA,15000000,614,6.3,2.35,0
Stephan Elliott,88,159,Patrick Bergin,471,Drama|Mystery|Thriller,Eye of the Beholder ,13320,Geneviève Bujold,1,415,Canada,15000000,308,4.9,2.35,327
Kathryn Bigelow,388,383,Christian Camargo,10000,Drama|History|Thriller|War,The Hurt Locker ,332065,Brian Geraghty,0,876,USA,15000000,602,7.6,1.85,16000
Mark L. Lester,45,563,George C. Scott,695,Action|Horror|Sci-Fi|Thriller,Firestarter ,22797,David Keith,1,96,USA,15000000,654,6.0,2.35,0
Andrew Dominik,414,748,Sam Shepard,11000,Crime|Thriller,Killing Them Softly ,111625,Ben Mendelsohn,1,369,USA,15000000,820,6.2,2.35,20000
Anton Corbijn,291,123,Nina Hoss,22000,Crime|Drama|Thriller,A Most Wanted Man ,57210,Homayoun Ershadi,3,158,UK,15000000,164,6.8,2.35,13000
Tom Green,97,484,Harland Williams,826,Comedy,Freddy Got Fingered ,39788,Eddie Kaye Thomas,1,619,USA,15000000,503,4.5,1.85,0
Mike Nawrocki,37,23,Cam Clarke,354,Adventure|Animation|Comedy|Family,The Pirates Who Don't Do Anything: A VeggieTales Movie ,2037,Phil Vischer,0,22,USA,15000000,173,5.7,1.85,175
Catherine Owens,68,44,The Edge,468,Documentary|Music,U2 3D ,2673,Larry Mullen Jr.,0,31,USA,,67,8.4,1.78,116
Douglas Aarniokoski,90,377,Adrian Paul,1000,Action|Adventure|Fantasy|Sci-Fi,Highlander: Endgame ,16340,Adam Copeland,1,355,USA,15000000,786,4.6,2.35,356
Bryan Barber,81,526,Faizon Love,907,Crime|Drama|Musical|Romance,Idlewild ,4603,Bobb'e J. Thompson,4,91,USA,15000000,585,6.2,2.35,489
Lone Scherfig,221,358,Jim Sturgess,11000,Drama|Romance,One Day ,106111,Rafe Spall,0,181,USA,15000000,5000,7.0,2.35,49000
Drew Barrymore,230,727,Jimmy Fallon,796,Drama|Sport,Whip It ,55665,Alia Shawkat,1,118,USA,15000000,787,6.9,2.35,10000
Brian Koppelman,57,366,Tom Noonan,14000,Crime|Drama|Thriller,Knockaround Guys ,19768,Kevin Gage,1,135,USA,,442,6.1,2.35,566
James Foley,119,308,Brian Van Holt,436,Crime|Thriller,Confidence ,30643,Leland Orser,3,144,USA,15000000,324,6.7,2.35,622
Albert Brooks,97,745,Bradley Whitford,12000,Comedy,The Muse ,9294,Albert Brooks,2,140,USA,15000000,821,5.6,1.37,251
Irwin Winkler,119,65,Keith Allen,427,Biography|Drama|Music|Musical,De-Lovely ,9649,Sandra Nelson,7,226,USA,20000000,66,6.6,2.35,1000
Woody Allen,42,563,Larry David,11000,Comedy|Drama|Romance,New York Stories ,13692,Mia Farrow,0,55,USA,15000000,860,6.4,1.85,877
Steve Gomer,24,47,Kyla Pratt,595,Adventure|Family,Barney's Great Adventure ,2724,Shirley Douglas,0,53,Canada,15000000,417,2.8,1.85,436
RZA,208,353,RZA,746,Action,The Man with the Iron Fists ,53471,Daniel Wu,3,224,USA,15000000,561,5.4,2.35,29000
Dean Parisot,42,629,Jake Busey,925,Comedy|Drama|Romance,Home Fries ,7159,Shelley Duvall,2,88,USA,15000000,660,5.0,1.85,247
Mark Piznarski,44,670,Chris Klein,989,Drama|Romance,Here on Earth ,7403,Elaine Hendrix,1,162,USA,15000000,841,5.1,1.85,648
Terry Gilliam,230,1000,Bob Hoskins,22000,Drama|Sci-Fi,Brazil ,152306,Jim Broadbent,0,513,UK,15000000,5000,8.0,1.85,16000
Sean McNamara,46,782,Rebecca De Mornay,1000,Family|Music|Romance,Raise Your Voice ,22649,Jason Ritter,0,212,USA,15000000,872,5.9,2.35,1000
,18,186,Nicole de Boer,443,Drama|Fantasy|Mystery|Sci-Fi,The Dead Zone             ,7122,Chris Bruno,1,77,Canada,,319,7.5,,576
Joel Coen,249,12000,Jeff Bridges,22000,Comedy|Crime,The Big Lebowski ,537419,Steve Buscemi,1,1028,USA,15000000,12000,8.2,1.85,35000
Craig Brewer,197,539,Michael Raymond-James,3000,Drama|Music,Black Snake Moan ,52421,S. Epatha Merkerson,0,200,USA,15000000,788,7.0,2.35,0
Ron Shelton,71,274,Dash Mihok,556,Crime|Drama|Romance|Thriller,Dark Blue ,17261,Michael Michele,1,125,USA,15000000,463,6.6,2.35,455
Michael Winterbottom,190,254,Archie Panjabi,11000,Biography|Drama|History|Thriller|War,A Mighty Heart ,24150,Dan Futterman,0,118,USA,16000000,883,6.7,2.35,923
David Raynr,50,612,Jodi Lyn O'Keefe,11000,Comedy|Drama|Romance,Whatever It Takes ,8055,Marla Sokoloff,4,89,USA,15000000,897,5.5,1.85,816
Mort Nathan,63,461,Lin Shaye,890,Comedy,Boat Trip ,26598,Bob Gunton,4,132,USA,20000000,852,4.9,1.85,1000
Oliver Parker,104,692,Tom Wilkinson,14000,Comedy|Drama|Romance,The Importance of Being Earnest ,18966,Rupert Everett,5,141,UK,15000000,1000,6.9,2.35,0
Dan Curtis,,224,Campbell Scott,1000,Fantasy|Romance,The Love Letter ,1465,Estelle Parsons,1,56,USA,,393,7.4,1.33,515
Wil Shriner,49,596,Neil Flynn,8000,Adventure|Comedy|Family,Hoot ,6562,Tim Blake Nelson,0,66,USA,15000000,625,5.6,1.85,647
Martin McDonagh,300,39,Anna Madeley,65,Comedy|Crime|Drama,In Bruges ,307639,Eric Godon,1,513,UK,15000000,49,8.0,2.35,32000
Tina Gordon Chism,43,426,S. Epatha Merkerson,931,Comedy|Romance,Peeples ,4065,Diahann Carroll,6,33,USA,15000000,539,5.3,2.35,0
Peter Cattaneo,132,1000,Bradley Cooper,15000,Comedy|Music,The Rocker ,32311,Josh Gad,4,104,USA,15000000,14000,6.2,1.85,0
Vicky Jenson,97,360,Zach Gilford,24000,Comedy|Romance,Post Grad ,11498,Bobby Coleman,1,53,USA,15000000,971,5.3,1.85,0
Gus Van Sant,242,363,Hal Holbrook,13000,Drama,Promised Land ,30284,Terry Kinney,1,102,USA,15000000,826,6.6,1.85,10000
Woody Allen,218,386,Michael McKean,860,Comedy|Romance,Whatever Works ,58967,Conleth Hill,1,169,USA,15000000,658,7.2,1.85,10000
Mary Lambert,49,275,Susan Ward,477,Drama|Mystery|Thriller,The In Crowd ,3668,A.J. Buckley,4,85,USA,15000000,397,4.6,1.85,157
Tommy Lee Jones,172,289,Dwight Yoakam,572,Adventure|Crime|Drama|Mystery|Western,Three Burials ,34194,Guillermo Arriaga,2,199,France,15000000,324,7.5,2.35,0
Peter Kassovitz,68,693,Mark Margolis,49000,Drama|War,Jakob the Liar ,12601,Michael Jeter,2,89,France,15000000,1000,6.5,1.85,0
Shane Black,223,611,Corbin Bernsen,21000,Comedy|Crime|Mystery,Kiss Kiss Bang Bang ,175962,Larry Miller,2,336,USA,15000000,1000,7.6,2.35,0
Rodman Flender,59,577,Fred Willard,890,Comedy|Fantasy|Horror|Thriller,Idle Hands ,33745,Elden Henson,0,198,USA,20000000,729,6.2,1.85,0
David Lynch,252,669,Robert Forster,6000,Drama|Mystery|Thriller,Mulholland Drive ,235992,Laura Harring,1,1768,France,15000000,889,8.0,1.85,16000
Katja von Garnier,106,220,Agnes Bruckner,837,Drama|Fantasy|Horror|Romance,Blood and Chocolate ,15388,Chris Geere,0,190,USA,,400,5.5,2.35,0
Woody Allen,223,557,Naomi Watts,12000,Comedy|Drama|Romance,You Will Meet a Tall Dark Stranger ,36145,Ewen Bremner,0,108,USA,22000000,6000,6.3,1.85,0
Mark Romanek,328,844,Charlie Rowe,10000,Drama|Romance|Sci-Fi,Never Let Me Go ,109873,Charlotte Rampling,0,320,UK,15000000,882,7.2,2.35,33000
,9,527,Tom Hollander,857,Drama|History|Thriller,The Company             ,3828,Alessandro Nivola,3,39,USA,,555,7.9,1.78,733
Brad Anderson,150,25,Eduardo Noriega,918,Crime|Drama|Mystery|Thriller,Transsiberian ,42792,Mac McDonald,0,162,Spain,15000000,278,6.7,2.35,0
Michael Chapman,21,90,Pamela Reed,876,Adventure|Drama|Fantasy,The Clan of the Cave Bear ,4996,Mike Muscat,0,62,USA,15000000,324,5.3,2.35,843
Antonio Banderas,28,617,Elizabeth Perkins,783,Comedy|Crime|Drama,Crazy in Alabama ,5917,Noah Emmerich,0,71,USA,15000000,664,6.3,2.35,391
Michael Haneke,250,287,Siobhan Fallon Hogan,6000,Crime|Drama|Horror|Thriller,Funny Games ,69569,Brady Corbet,0,436,USA,15000000,294,6.5,1.85,0
Khalil Sullins,17,46,Kalim Chandler,192,Drama|Sci-Fi|Thriller,Listening ,1933,Amber Marie Bollinger,0,13,Cambodia,,134,5.6,2.35,708
Atom Egoyan,95,71,Elaine Cassidy,5000,Drama|Thriller,Felicia's Journey ,6690,Gerard McSorley,0,83,Canada,,203,7.0,2.35,284
Fritz Lang,260,18,Gustav Fröhlich,136,Drama|Sci-Fi,Metropolis ,111841,Rudolf Klein-Rogge,1,413,Germany,6000000,23,8.3,1.33,12000
Pierre Morel,141,58,Cyril Raffaelli,510,Action|Crime|Thriller,District B13 ,55928,Dany Verissimo-Petit,2,157,France,12000000,297,7.2,2.35,0
Gary Fleder,52,642,Bill Cobbs,12000,Crime|Drama,Things to Do in Denver When You're Dead ,22345,Treat Williams,2,144,USA,7000000,970,6.8,1.85,0
Hsiao-Hsien Hou,205,56,Chen Chang,1000,Action|Drama,The Assassin ,9427,Satoshi Tsumabuki,1,87,Taiwan,15000000,103,6.4,1.37,0
Gregor Jordan,109,730,Scott Glenn,936,Comedy|Crime|Drama|Thriller|War,Buffalo Soldiers ,20730,Leon,1,111,UK,15000000,826,6.9,2.35,664
Andrey Zvyagintsev,103,9,Vladimir Garin,20,Drama|Mystery|Thriller,The Return ,31589,Nataliya Vdovina,0,172,Russia,,13,8.0,1.85,0
Tony Jaa,110,7,Petchtai Wongkamlao,64,Action,Ong-bak 2 ,24570,Sarunyu Wongkrachang,0,72,Thailand,300000000,45,6.2,2.35,0
Neil Marshall,195,570,JJ Feild,13000,Action|Adventure|Drama|History|Thriller|War,Centurion ,64777,Dave Legeno,0,201,UK,,794,6.4,2.35,0
Russell Mulcahy,14,40,Gina Bellman,825,Action|Drama|Thriller,Silent Trigger ,2699,Conrad Dunn,0,29,Canada,9000000,476,5.6,2.35,154
Ryûhei Kitamura,177,1000,Brooke Shields,14000,Fantasy|Horror|Mystery,The Midnight Meat Train ,47574,Leslie Bibb,0,209,USA,15000000,1000,6.1,2.35,0
Darrell Roodt,17,2,Wendy Crewson,549,Biography|Drama|History,Winnie Mandela ,609,Aubrey Poo,2,15,South Africa,15000000,248,6.0,,705
Dito Montiel,62,642,Al Pacino,17000,Crime|Drama|Thriller,The Son of No One ,14280,Tracy Morgan,5,41,USA,15000000,14000,5.1,2.35,0
Stefan Ruzowitzky,19,125,Udo Kier,776,Action|Comedy|Drama|War,All the Queen's Men ,2236,Edward Fox,1,40,Germany,25000000,595,4.5,2.35,193
Jake Paltrow,50,66,Gael Le Cornec,1000,Comedy|Drama|Fantasy|Music|Romance,The Good Night ,7519,Keith Allen,1,39,USA,15000000,165,5.9,1.85,445
Juraj Jakubisko,25,576,Hans Matheson,735,Biography|Drama|Fantasy|History,Bathory: Countess of Blood ,3425,Franco Nero,1,32,Slovakia,,627,6.0,2.35,0
Anthony Silverston,39,912,Steve Buscemi,14000,Adventure|Animation|Family,Khumba ,4006,Loretta Devine,0,12,South Africa,20000000,12000,5.8,,0
Gabe Ibáñez,136,537,Robert Forster,1000,Action|Sci-Fi|Thriller,Automata ,41638,Melanie Griffith,0,134,Bulgaria,7000000,889,6.1,2.35,13000
Gerry Lively,26,51,Lucy Gaskell,179,Action|Adventure|Fantasy,Dungeons & Dragons: Wrath of the Dragon God ,5018,Steven Elder,0,108,Germany,15000000,55,4.9,1.78,473
Daniele Luchetti,4,50,Rodrigo De la Serna,61,Biography,Chiamatemi Francesco - Il Papa della gente ,80,Ferdinando Vetere,0,4,Italy,15000000,57,5.7,,18
Tung-Shing Yee,53,19,Daniel Wu,556,Action|Crime|Drama|Thriller,Shinjuku Incident ,9177,Yasuaki Kurata,4,53,Hong Kong,15000000,353,7.1,2.35,821
Julien Temple,22,303,Dexter Fletcher,631,Biography|Drama,Pandaemonium ,695,Linus Roache,1,32,UK,15000000,452,6.6,,277
Harold Ramis,147,512,Chris Elliott,13000,Comedy|Fantasy|Romance,Groundhog Day ,437418,Willie Garson,1,609,USA,14600000,571,8.1,1.85,38000
Gregory Jacobs,222,642,Channing Tatum,20000,Comedy|Drama|Music,Magic Mike XXL ,38202,Kevin Nash,3,135,USA,14800000,17000,5.7,2.35,41000
Baz Luhrmann,106,954,Harold Perrineau,29000,Drama|Romance,Romeo + Juliet ,167750,Brian Dennehy,2,506,USA,14500000,1000,6.8,2.35,10000
Gilles Paquet-Brenner,136,121,Aidan Quinn,1000,Drama|War,Sarah's Key ,12937,Arben Bajraktaraj,2,73,France,10000000,767,7.5,2.35,0
Peter Cousens,5,124,David Rasche,467,Drama|Family|Music,Freedom ,993,Bart Shatto,2,13,USA,14500000,220,6.2,,998
Clint Eastwood,131,638,Morgan Freeman,16000,Drama|Western,Unforgiven ,277505,Frances Fisher,1,495,USA,14400000,11000,8.3,2.35,10000
Lars von Trier,140,236,Jeremy Davies,3000,Drama,Manderlay ,18646,Jean-Marc Barr,1,81,Denmark,14200000,769,7.4,2.35,1000
