director_facebook_likes,gross,facenumber_in_poster,num_user_for_reviews,actor_2_facebook_likes
4,317040,1,36,13000
14000,94175854,0,199,581
2,,2,25,80
335,,2,1,744
77,91121452,1,608,393
6,69800000,1,60,745
150,79900000,0,84,816
87,64001297,1,103,975
127,71588220,1,304,340
0,47000000,0,1191,742
11000,61400000,1,183,695
79,101978840,0,162,38
350,56437947,0,421,48
13000,73326666,3,306,692
0,55184721,8,100,721
44,50003300,4,132,4000
43,54322273,0,509,326
165,47860214,0,468,431
189,47811275,1,99,927
517,,2,1026,11000
272,43022524,0,218,4000
13,42672630,1,172,738
29,42919096,1,122,1000
66,42592530,0,181,658
0,40064955,1,502,4000
13,39100956,0,59,22
446,44886089,3,207,13000
11,37882551,0,393,983
453,40983001,2,336,10000
488,20991497,1,172,14000
357,35007180,0,193,1000
120,35887263,0,388,876
14,34308901,3,87,807
18,33771174,2,240,1000
767,6000000,8,559,202
0,33386128,0,491,764
212,37877959,1,252,820
29,32721635,0,279,878
6,31585300,0,250,650
28,30259652,5,614,864
255,163192114,0,637,1000
0,30857814,0,718,636
18000,30226144,1,118,2000
0,35054909,0,1264,745
10,29302097,8,105,636
13,29106737,0,132,511
35,28637507,1,713,1000
49,30127963,0,64,110
61,32645546,5,88,807
107,27441122,0,116,886
5,28014536,1,296,822
3,33860010,3,143,982
31,26421314,0,457,184
26,24881000,0,195,328
11000,23089926,3,735,567
20,26161406,2,52,316
133,22954968,1,156,310
0,26384919,15,560,360
11,22189039,0,55,605
15,20998709,0,76,786
7,20801344,0,211,557
83,21468807,2,227,786
13,19158074,2,127,874
8,18843314,1,284,239
10,20566327,2,84,622
19,20218921,4,114,646
119,17411331,3,237,982
310,21383298,3,376,748
79,24984868,2,152,614
11,16459004,1,415,308
0,15700000,0,876,602
73,15100000,1,96,654
181,14938570,1,369,820
210,17237244,3,158,164
374,14249005,1,619,503
12,12701880,0,22,173
0,10353690,0,31,67
36,12801190,1,355,786
16,12549485,4,91,585
92,13766014,0,181,5000
0,13034417,1,118,787
34,11632420,1,135,442
164,12212417,3,144,324
745,11614236,2,140,821
34,13337299,7,226,66
11000,10763469,0,55,860
9,11144518,0,53,417
561,15608545,3,224,561
23,10443316,2,88,660
4,10494147,1,162,841
0,9929000,0,513,5000
80,10411980,0,212,872
,,1,77,319
0,17439163,1,1028,12000
153,9396487,0,200,788
41,9059588,1,125,463
187,9172810,0,118,883
9,8735529,4,89,897
2,8586376,4,132,852
32,8378141,5,141,1000
45,,1,56,393
6,8080116,0,66,625
454,7757130,1,513,49
24,9123834,6,33,539
11,6409206,4,104,14000
96,6373693,1,53,971
835,7556708,1,102,826
11000,5306447,1,169,658
52,5217498,4,85,397
0,5023275,2,199,324
0,4956401,2,89,1000
1000,4235837,2,336,1000
6,4002955,0,198,729
0,7219578,1,1768,889
18,3525161,0,190,400
11000,3247816,0,108,6000
132,2412045,0,320,882
,,3,39,555
122,2203641,0,162,278
70,1953732,0,62,324
0,1954202,0,71,664
0,1294640,0,436,294
5,,0,13,134
460,819852,0,83,203
756,26435,1,413,23
180,1197786,2,157,297
39,529766,2,144,970
141,613556,1,87,103
34,353743,1,111,826
445,502028,0,172,13
0,102055,0,72,45
197,122288,0,201,794
85,,0,29,476
129,73548,0,209,1000
36,,2,15,248
68,28870,5,41,14000
24,22723,1,40,595
17,20380,1,39,165
15,,1,32,627
0,,0,12,12000
19,,0,134,889
93,,0,108,55
6,,0,4,57
3,,4,53,353
67,,1,32,452
11000,70906973,1,609,571
13,66009973,3,135,17000
1000,46338728,2,506,1000
15,7691700,2,73,767
5,,2,13,220
16000,101157447,1,495,11000
3000,74205,1,81,769
0,141319195,0,1017,56
213,156645693,0,201,276
0,178406268,2,271,995
0,,2,,179
5,109306210,1,62,162
34,,0,20,355
0,70001698,0,173,854
226,68856263,1,97,730
71,51527787,0,268,960
30,49122319,0,162,459
270,,1,376,954
41,61356221,0,162,826
43,46800000,2,275,244
,,0,57,130
9,38048637,4,426,912
350,34700000,2,143,17000
0,35010192,1,43,597
116,34793160,1,31,172
54,30628981,1,160,670
58,29959436,1,350,1000
12,25571351,0,78,12
309,27515786,0,31,556
10,25482931,2,33,266
0,19900000,1,53,422
128,,7,252,726
31,16298046,0,747,613
119,15549702,2,123,779
123,15483540,4,215,14000
44,20246959,2,20,849
0,15062898,0,106,2000
160,14348123,6,157,330
85,15171475,0,122,855
17000,,0,75,740
0,13640000,0,39,848
0,12550242,3,55,490
52,12610731,1,673,935
189,47811275,1,99,927
0,11204499,0,270,593
70,10397365,5,104,834
90,9402410,1,32,925
232,5990075,1,175,412
143,5459824,0,320,617
49,5108820,5,112,215
956,4741987,1,114,233
176,4291965,3,59,113
12,3100650,4,181,102
133,2474000,1,27,15
11,2656324,4,79,1000
109,1000000,0,8,469
608,3958500,0,165,44
752,403649,0,31,74
333,274299,2,55,326
2,,2,34,32
168,183088,0,36,329
50,46495,1,119,1000
10,,7,66,521
0,1752214,0,104,872
0,83025853,0,2254,13000
473,190871240,0,491,809
143,56631572,1,248,281
162,15854988,2,378,258
38,12282677,4,96,837
,447093,0,37,3
133,7060876,1,314,230
454,14989761,7,284,906
148,687081,0,59,508
,,4,2,2
101,5501940,0,564,653
448,2086345,1,140,114
143,2605039,0,616,50
272,123922370,1,131,263
26,163591,5,17,391
209,73000942,1,233,69
0,106952327,1,1140,15000
294,58607007,0,630,2000
0,57300000,1,650,14000
49,91038276,0,320,363
212,49369900,0,260,125
36,61693523,0,55,3000
8,46729374,2,469,934
58,44726644,5,120,439
51,44134898,3,171,6000
38,48637684,4,42,807
19,38176108,6,549,13000
13,28972187,1,159,489
0,27979400,2,72,852
174,54257433,0,139,350
19,23947,0,1100,902
13,60008303,1,91,442
17,49121934,9,32,997
84,27141959,2,168,842
6,27052167,5,168,471
15,26539321,1,42,558
5,28501605,0,166,628
12,52543632,2,84,345
0,25592632,0,1066,850
232,25440971,0,611,145
0,22858926,2,840,216
7,22235901,2,31,890
13,38916903,0,149,587
134,16929123,2,169,1000
16000,13753931,0,316,85
35,10996440,0,128,912
18,8026971,0,20,851
412,14677654,0,351,681
799,9975684,0,117,359
0,7881335,4,107,849
26,6241697,2,210,8000
76,,0,,94
7,5871603,3,39,1000
15,16574731,4,181,957
2,5002310,0,181,816
16,4919896,1,159,326
24,25675765,0,84,528
107,4857376,0,123,530
37,3169424,1,59,573
80,18004225,2,87,257
83,3058380,1,69,370
460,3074838,2,166,153
150,2104000,3,19,385
260,28501651,0,201,15000
0,1172769,2,108,14000
139,17738570,2,457,3000
29,1200000,1,23,155
41,1150403,4,102,812
187,403932,4,92,900
83,1712111,0,53,1000
115,1024175,6,297,305
11000,301305,0,180,164
122,51872378,0,266,461
32,31662,1,1,81
0,28399192,0,106,238
43,2035566,0,162,157
218,,0,96,201
18000,21078145,0,159,638
97,14060950,1,139,795
12000,12281500,3,460,10000
28,,1,35,2000
164,10725228,1,365,14000
187,214966,0,176,467
261,,1,106,782
10,11956207,2,126,668
19,,2,44,185
44,5949693,1,299,730
39,9030581,0,398,32
3000,4157491,0,690,595
44,1508689,2,50,653
220,1227324,3,48,787
34,4360548,7,60,681
20,26589953,1,392,982
60,1039869,5,51,322
383,48092846,0,133,320
16,1110186,2,224,517
50,1089445,0,33,844
607,204565000,0,1058,931
14000,260000000,0,962,559
80,101736215,6,789,1000
2,71442,0,32,637
23,79817937,1,69,255
167,91547205,8,62,966
167,75074950,0,156,528
120,78900000,2,359,980
293,72217000,1,242,595
139,79568000,0,152,883
608,65500000,1,175,10000
16,70011073,0,349,17
98,65269010,0,271,2000
406,63071133,0,154,2000
16000,39647595,5,462,1000
22,38087366,2,165,954
128,64572496,0,471,465
0,30400000,1,68,194
0,42365600,0,177,561
33,37188667,1,578,188
166,54724272,0,261,329
76,,0,258,416
132,31597131,0,605,989
66,31691811,0,369,1000
0,31397498,1,156,527
4,31179516,5,49,1000
58,31155435,2,102,729
53,27281507,0,147,94
258,167007184,1,2301,1000
278,25776062,0,271,1000
4,25240988,0,50,9
131,124868837,0,548,1000
131,22905674,2,290,940
0,25277561,10,93,966
287,,1,75,122
192,21133087,0,374,301
,,2,302,939
350,37707719,2,233,482
57,18761993,1,219,931
76,,3,123,837
20,18595716,3,150,826
14,31990064,2,160,558
17,17321573,5,18,691
729,17613460,0,274,844
226,21088568,1,104,851
25,17292381,0,69,626
655,16300302,1,203,786
83,27829874,1,444,725
3,13960203,2,15,560
98,12902790,1,88,849
43,21520719,1,36,826
438,12796277,1,281,536
30,,0,48,230
73,11634362,0,296,14000
249,11433134,0,426,21
102,22406362,0,267,973
32,10198766,3,105,526
628,15294553,1,391,555
611,11041228,3,420,483
27,7918283,1,145,591
16,22331028,0,177,328
67,8134217,3,90,223
25,6982680,0,69,744
216,6739141,0,68,1000
378,5542025,0,150,925
11000,5032496,0,161,255
708,6754898,0,188,398
7,4922166,2,304,281
0,4903000,3,33,680
319,4717455,0,354,65
115,3148482,0,98,580
40,2326407,5,99,1000
584,2201412,0,279,398
55,,0,10,642
61,2060953,0,316,692
20,3950294,5,124,569
667,2835886,2,124,98
0,1779284,4,122,165
0,1702277,4,235,1000
0,261481,0,210,643
60,1506998,4,50,46
19,860002,0,43,442
277,548934,2,57,327
0,447750,0,133,685
94,333976,0,90,534
0,141853,2,12,754
26,303439,2,78,474
759,793352,1,25,830
7,214202,0,75,345
45,195888,0,45,2
18,175370,1,133,883
611,190666,1,20,4
165,,2,124,327
14,119922,0,62,32
12,177343675,0,214,523
0,,0,12,618
7,,0,49,33
212,17149,9,61,111
76,,1,293,168
0,14616,1,10,445
