duration,actor_2_name,genres,movie_title,num_voted_users,movie_imdb_link,content_rating,title_year
99,James Kyson,Thriller,Plush ,2895,http://www.imdb.com/title/tt2226519/?ref_=fn_tt_tt_1,R,2013
88,James Corden,Action|Comedy|Fantasy|Horror,Vampire Killers ,17296,http://www.imdb.com/title/tt1020885/?ref_=fn_tt_tt_1,R,2009
119,Kenneth Nkosi,Action|Crime|Drama,Gangster's Paradise: Jerusalema ,9689,http://www.imdb.com/title/tt0783532/?ref_=fn_tt_tt_1,R,2008
99,Lee Evans,Crime|Drama|Thriller,Freeze Frame ,2588,http://www.imdb.com/title/tt0363095/?ref_=fn_tt_tt_1,R,2004
92,Sean Rogerson,Horror,Grave Encounters ,40380,http://www.imdb.com/title/tt1703199/?ref_=fn_tt_tt_1,Not Rated,2011
86,Tommy Knight,Comedy|Horror,Stitches ,6585,http://www.imdb.com/title/tt2126362/?ref_=fn_tt_tt_1,R,2012
83,William Lee Scott,Crime|Drama|Horror|Mystery|Thriller,Nine Dead ,9280,http://www.imdb.com/title/tt0959329/?ref_=fn_tt_tt_1,R,2010
81,Tim Rice,Documentary,"To Be Frank, Sinatra at 100 ",7,http://www.imdb.com/title/tt4704314/?ref_=fn_tt_tt_1,,2015
82,Charlotte Rae,Comedy,Bananas ,27646,http://www.imdb.com/title/tt0066808/?ref_=fn_tt_tt_1,GP,1971
102,Linus Roache,Thriller,Supercapitalist ,289,http://www.imdb.com/title/tt1734586/?ref_=fn_tt_tt_1,Not Rated,2012
90,Mario Cimarro,Action|Crime|Drama|Thriller,Rockaway ,355,http://www.imdb.com/title/tt0796355/?ref_=fn_tt_tt_1,R,2007
30,Tim Daly,Comedy|Drama,Wings             ,7646,http://www.imdb.com/title/tt0098948/?ref_=fn_tt_tt_1,,
92,Everett Sloane,Crime|Drama|Film-Noir|Mystery|Thriller,The Lady from Shanghai ,19236,http://www.imdb.com/title/tt0040525/?ref_=fn_tt_tt_1,Not Rated,1947
88,Lew Temple,Horror|Thriller,No Man's Land: The Rise of Reeker ,2701,http://www.imdb.com/title/tt1090671/?ref_=fn_tt_tt_1,R,2008
97,M.C. Gainey,Crime|Drama,Highway ,5182,http://www.imdb.com/title/tt0165361/?ref_=fn_tt_tt_1,R,2002
96,Saffron Burrows,Comedy|Crime|Drama,Small Apartments ,5732,http://www.imdb.com/title/tt1272886/?ref_=fn_tt_tt_1,R,2012
87,Ben Schwartz,Comedy,Coffee Town ,4204,http://www.imdb.com/title/tt2234025/?ref_=fn_tt_tt_1,,2013
106,Kevin McCarthy,Comedy|Fantasy|Musical|Sci-Fi,The Ghastly Love of Johnny X ,344,http://www.imdb.com/title/tt1754633/?ref_=fn_tt_tt_1,Not Rated,2012
107,Curtiss Cook,Comedy|Drama,All Is Bright ,4478,http://www.imdb.com/title/tt1462901/?ref_=fn_tt_tt_1,R,2013
80,Lex Barker,Horror|Mystery,The Torture Chamber of Dr. Sadism ,952,http://www.imdb.com/title/tt0062235/?ref_=fn_tt_tt_1,M,1967
91,Powers Boothe,Comedy|Drama,Straight A's ,3605,http://www.imdb.com/title/tt2024506/?ref_=fn_tt_tt_1,R,2013
99,Zero Mostel,Comedy|Musical,A Funny Thing Happened on the Way to the Forum ,6804,http://www.imdb.com/title/tt0060438/?ref_=fn_tt_tt_1,Approved,1966
102,Eddie Vedder,Documentary,Slacker Uprising ,2242,http://www.imdb.com/title/tt0850669/?ref_=fn_tt_tt_1,,2007
108,Kevin Alejandro,Action|Adventure|History|Western,The Legend of Hell's Gate: An American Conspiracy ,583,http://www.imdb.com/title/tt1220217/?ref_=fn_tt_tt_1,PG-13,2011
88,Wray Crawford,Comedy|Horror,The Walking Deceased ,2348,http://www.imdb.com/title/tt3499458/?ref_=fn_tt_tt_1,R,2015
89,Bella Heathcote,Drama|Horror|Mystery|Thriller,The Curse of Downers Grove ,1040,http://www.imdb.com/title/tt1772261/?ref_=fn_tt_tt_1,,2015
92,Michael Aaron Milligan,Thriller,Shark Lake ,838,http://www.imdb.com/title/tt4416518/?ref_=fn_tt_tt_1,Not Rated,2015
99,Daniel Roebuck,Crime|Drama,River's Edge ,11763,http://www.imdb.com/title/tt0091860/?ref_=fn_tt_tt_1,R,1986
103,Anthony Edwards,Drama|Fantasy,Northfork ,4894,http://www.imdb.com/title/tt0322659/?ref_=fn_tt_tt_1,PG-13,2003
90,Mike 'The Miz' Mizanin,Action|Thriller,The Marine 4: Moving Target ,2032,http://www.imdb.com/title/tt3528666/?ref_=fn_tt_tt_1,R,2015
95,Samantha Mathis,Drama|Mystery|Thriller,Buried ,118684,http://www.imdb.com/title/tt1462758/?ref_=fn_tt_tt_1,R,2010
97,Paddy Considine,Comedy|Drama|Romance,Submarine ,65877,http://www.imdb.com/title/tt1440292/?ref_=fn_tt_tt_1,R,2010
108,Ahmed Hassan,Documentary|Drama|History|News,The Square ,6678,http://www.imdb.com/title/tt2486682/?ref_=fn_tt_tt_1,Not Rated,2013
95,Lizzie Brocheré,Drama,One to Another ,1010,http://www.imdb.com/title/tt0486751/?ref_=fn_tt_tt_1,Unrated,2006
100,Judy Greer,Drama|Fantasy|Horror,Carrie ,108248,http://www.imdb.com/title/tt1939659/?ref_=fn_tt_tt_1,R,2013
160,Remo,Drama|Musical,ABCD (Any Body Can Dance) ,5018,http://www.imdb.com/title/tt2321163/?ref_=fn_tt_tt_1,Not Rated,2013
101,Lin Shaye,Horror,A Nightmare on Elm Street ,149293,http://www.imdb.com/title/tt0087800/?ref_=fn_tt_tt_1,X,1984
