director_name,duration,actor_3_facebook_likes,genres,actor_1_name,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,actor_2_facebook_likes,imdb_score
Cédric Klapisch,91,8,Comedy|Romance,Simon Abkarian,102,Jane Bradbury,7,http://www.imdb.com/title/tt0115856/?ref_=fn_tt_tt_1,25,9,6.9
Peter Hedges,80,543,Comedy|Drama,Oliver Platt,3010,Derek Luke,3,http://www.imdb.com/title/tt0311648/?ref_=fn_tt_tt_1,177,806,7.1
Niall Johnson,114,2,Drama,Kevin Howarth,37,Thierry Harcourt,0,http://www.imdb.com/title/tt0118717/?ref_=fn_tt_tt_1,7,16,5.6
Kelly Reichardt,76,26,Drama,Daniel London,132,Will Oldham,2,http://www.imdb.com/title/tt0468526/?ref_=fn_tt_tt_1,57,44,6.7
Kelly Reichardt,80,26,Drama,John Robinson,460,Will Oldham,1,http://www.imdb.com/title/tt1152850/?ref_=fn_tt_tt_1,112,44,7.1
Eric Mendelsohn,88,301,Drama,Embeth Davidtz,1884,Kathryn Erbe,0,http://www.imdb.com/title/tt1314190/?ref_=fn_tt_tt_1,23,659,5.2
Jean-Luc Godard,110,0,Crime|Drama|Romance,Jean-Paul Belmondo,967,Graziella Galvani,1,http://www.imdb.com/title/tt0059592/?ref_=fn_tt_tt_1,74,257,7.7
Florence Ayisi,104,,Documentary,Vera Ngassa,2,,1,http://www.imdb.com/title/tt0474361/?ref_=fn_tt_tt_1,8,0,7.5
Pan Nalin,102,,Documentary,,0,,0,http://www.imdb.com/title/tt0221809/?ref_=fn_tt_tt_1,12,,7.6
Michael Roemer,95,87,Drama|Romance,Yaphet Kotto,835,Ivan Dixon,1,http://www.imdb.com/title/tt0058414/?ref_=fn_tt_tt_1,26,99,8.1
Jesse Peretz,94,104,Drama|Romance,Robert John Burke,751,Natasha Gregson Wagner,0,http://www.imdb.com/title/tt0128214/?ref_=fn_tt_tt_1,16,157,5.5
Eddie O'Flaherty,109,25,Drama|Sport,Don Wallace,185,Christina Chambers,0,http://www.imdb.com/title/tt0366444/?ref_=fn_tt_tt_1,23,53,6.6
Babar Ahmed,90,32,Action|Thriller,Lalaine,689,Darren Kendrick,0,http://www.imdb.com/title/tt0421237/?ref_=fn_tt_tt_1,18,119,3.2
Julie Taymor,133,107,Drama|Fantasy|Musical|Romance,Jim Sturgess,5405,Robert Clohessy,0,http://www.imdb.com/title/tt0445922/?ref_=fn_tt_tt_1,524,117,7.4
John D. Hancock,110,221,Drama|Music,Trish Basinger,1440,Mary Norwood,0,http://www.imdb.com/title/tt2912776/?ref_=fn_tt_tt_1,1,503,6.6
Paul Bartel,80,668,Action|Comedy|Sci-Fi|Sport,Sylvester Stallone,14950,Martin Kove,0,http://www.imdb.com/title/tt0072856/?ref_=fn_tt_tt_1,147,926,6.2
Bruce Dellis,95,309,Thriller,Tatyana Ali,2048,Jon Polito,3,http://www.imdb.com/title/tt1241226/?ref_=fn_tt_tt_1,5,665,4.8
Pece Dingo,94,87,Horror,Michael Des Barres,544,Thom Mathews,0,http://www.imdb.com/title/tt0100146/?ref_=fn_tt_tt_1,4,102,4.5
Jerome Elston Scott,98,248,Comedy|Drama|Romance,Taran Killam,1545,Ryan Carnes,7,http://www.imdb.com/title/tt0393049/?ref_=fn_tt_tt_1,7,317,7.2
Étienne Faure,98,0,Drama|Musical|Romance,Rumi Missabu,19,Raquel Nave,0,http://www.imdb.com/title/tt3904272/?ref_=fn_tt_tt_1,1,0,4.3
Herb Freed,96,180,Horror|Mystery,Linnea Quigley,1228,Vanna White,0,http://www.imdb.com/title/tt0082467/?ref_=fn_tt_tt_1,58,338,4.5
Jack Perez,97,313,Comedy|Crime|Drama|Horror|Mystery|Thriller,Kevin Corrigan,2515,Ahmed Best,2,http://www.imdb.com/title/tt1568341/?ref_=fn_tt_tt_1,58,456,6.4
Craig Zobel,90,235,Biography|Crime|Drama|Thriller,Dreama Walker,1734,James McCaffrey,0,http://www.imdb.com/title/tt1971352/?ref_=fn_tt_tt_1,175,260,6.4
Kevin Smith,113,781,Comedy|Drama|Romance,Matt Damon,15765,Joey Lauren Adams,5,http://www.imdb.com/title/tt0118842/?ref_=fn_tt_tt_1,500,1000,7.3
Nicole Holofcener,91,225,Comedy|Drama|Romance,Aunjanue Ellis,1330,Raven Goodwin,3,http://www.imdb.com/title/tt0258273/?ref_=fn_tt_tt_1,85,286,6.9
Ken Del Conte,90,99,Action|Adventure|Mystery|Romance|Thriller,Hector Echavarria,842,Ron Roggé,2,http://www.imdb.com/title/tt1328873/?ref_=fn_tt_tt_1,,216,4.3
Justin Lin,98,13,Crime|Drama|Romance,Parry Shen,139,Collin Kahey,1,http://www.imdb.com/title/tt0280477/?ref_=fn_tt_tt_1,138,26,7.2
Maria Maggenti,94,10,Comedy|Drama|Romance,Nicole Ari Parker,656,Stephanie Berry,0,http://www.imdb.com/title/tt0113416/?ref_=fn_tt_tt_1,36,273,6.5
Miguel Arteta,96,129,Comedy|Drama,Lupe Ontiveros,1378,Chris Weitz,0,http://www.imdb.com/title/tt0200530/?ref_=fn_tt_tt_1,136,487,6.6
Piyush Dinker Pandya,100,51,Comedy|Drama|Romance,Purva Bedi,454,Anil Kumar,2,http://www.imdb.com/title/tt0203289/?ref_=fn_tt_tt_1,40,89,6.7
Daniel Columbie,90,185,Action|Crime|Drama,Keri Maletto,1461,Barbie Castro,0,http://www.imdb.com/title/tt3976258/?ref_=fn_tt_tt_1,,553,4.3
Vincenzo Natali,90,319,Mystery|Sci-Fi|Thriller,David Hewlett,1743,Nicole de Boer,0,http://www.imdb.com/title/tt0123755/?ref_=fn_tt_tt_1,696,648,7.3
Emma-Kate Croghan,76,62,Comedy|Romance,Radha Mitchell,1661,Matt Day,1,http://www.imdb.com/title/tt0116931/?ref_=fn_tt_tt_1,21,575,6.4
Bill Plympton,75,0,Animation|Comedy|Drama|Fantasy|Sci-Fi,Charis Michelsen,7,Richard Spore,0,http://www.imdb.com/title/tt0119346/?ref_=fn_tt_tt_1,21,2,7.0
Greg Harrison,78,142,Drama|Mystery|Thriller,Amir Talai,1008,Nora Dunn,1,http://www.imdb.com/title/tt0368089/?ref_=fn_tt_tt_1,64,249,5.5
Drake Doremus,90,224,Drama|Romance,Jennifer Lawrence,34983,Finola Hughes,1,http://www.imdb.com/title/tt1758692/?ref_=fn_tt_tt_1,150,487,6.7
Al Franklin,96,270,Horror,Marshal Hilton,1399,Clint Jung,0,http://www.imdb.com/title/tt1991199/?ref_=fn_tt_tt_1,2,320,4.3
Allison Anders,92,181,Comedy|Music,Ally Sheedy,1987,John Doe,2,http://www.imdb.com/title/tt0173390/?ref_=fn_tt_tt_1,22,605,6.1
Michael Kang,75,7,Comedy|Drama,Samantha Futerman,127,Jackie Nova,1,http://www.imdb.com/title/tt0436607/?ref_=fn_tt_tt_1,11,8,6.8
Paul Schrader,99,461,Drama|Thriller,Nolan Gerard Funk,2862,James Deen,0,http://www.imdb.com/title/tt2292959/?ref_=fn_tt_tt_1,87,835,3.9
,58,250,Crime|Drama,Shirley Henderson,2572,Sarah Lancashire,1,http://www.imdb.com/title/tt3428912/?ref_=fn_tt_tt_1,59,340,8.5
Lori Silverbush,86,41,Drama,Judy Marte,216,Dominic Colón,3,http://www.imdb.com/title/tt0389235/?ref_=fn_tt_tt_1,15,64,6.9
Jeff Nichols,92,22,Drama|Thriller,Michael Abbott Jr.,114,Travis Smith,0,http://www.imdb.com/title/tt0952682/?ref_=fn_tt_tt_1,32,32,7.3
Stuart Hazeldine,101,289,Mystery|Thriller,Colin Salmon,2123,Pollyanna McIntosh,0,http://www.imdb.com/title/tt1258197/?ref_=fn_tt_tt_1,120,438,6.9
Hilary Brougher,81,5,Sci-Fi,James Urbaniak,154,Terumi Matthews,0,http://www.imdb.com/title/tt0127302/?ref_=fn_tt_tt_1,7,24,6.3
Rachel Goldenberg,93,73,Drama|Musical,Dustin Fitzsimons,631,Debra Lynn Hull,0,http://www.imdb.com/title/tt1270792/?ref_=fn_tt_tt_1,18,168,2.5
Corbin Bernsen,95,3,Drama,Corbin Bernsen,1056,Kirsten Collins,1,http://www.imdb.com/title/tt1360826/?ref_=fn_tt_tt_1,8,53,5.7
Jamin Winans,107,76,Action|Drama|Fantasy|Sci-Fi,Eme Ikwuakor,457,Jessica Duffy,0,http://www.imdb.com/title/tt1071804/?ref_=fn_tt_tt_1,215,115,7.0
Tom Seidman,98,104,Drama|Family,Florence Henderson,694,Charles Irving Beale,2,http://www.imdb.com/title/tt1640714/?ref_=fn_tt_tt_1,10,168,6.2
Jason Naumann,35,152,Comedy|Short,Victoria Jackson,968,Tim Bagley,5,http://www.imdb.com/title/tt1003002/?ref_=fn_tt_tt_1,,219,6.9
Matt Cimber,108,180,Crime|Drama,Stacy Keach,1991,Stuart Whitman,0,http://www.imdb.com/title/tt0082122/?ref_=fn_tt_tt_1,18,427,4.5
Sam Martin,66,0,Documentary,Sam Adams,0,Jeff Jacob,2,http://www.imdb.com/title/tt3564748/?ref_=fn_tt_tt_1,1,0,7.8
Andrew Hyatt,95,89,Horror|Thriller,Noah Segan,537,Sedona James,1,http://www.imdb.com/title/tt2363439/?ref_=fn_tt_tt_1,28,206,4.4
Dan Curtis,99,224,Fantasy|Romance,Jennifer Jason Leigh,2166,Estelle Parsons,1,http://www.imdb.com/title/tt0140340/?ref_=fn_tt_tt_1,56,393,7.4
Joel Paul Reisig,108,3,Family,Joshua Ray Bell,387,Annelyse Ahmad,6,http://www.imdb.com/title/tt3421204/?ref_=fn_tt_tt_1,1,96,6.6
Kristin Rizzo,90,670,Documentary,Esai Morales,3967,Elaine Hendrix,0,http://www.imdb.com/title/tt2559658/?ref_=fn_tt_tt_1,2,683,8.0
King Vidor,151,6,Drama|Romance|War,John Gilbert,108,Claire Adams,0,http://www.imdb.com/title/tt0015624/?ref_=fn_tt_tt_1,45,12,8.3
Ward Roberts,83,29,Comedy,Sid Haig,1244,Travis Betz,0,http://www.imdb.com/title/tt0469690/?ref_=fn_tt_tt_1,1,185,6.5
Zoran Lisinac,108,142,Comedy|Music|Romance,Matthew Emerick,1087,Sheldon Bailey,3,http://www.imdb.com/title/tt2290113/?ref_=fn_tt_tt_1,2,297,7.1
Nicolas Winding Refn,92,146,Action|Biography|Crime|Drama,Tom Hardy,27507,Matt King,0,http://www.imdb.com/title/tt1172570/?ref_=fn_tt_tt_1,145,161,7.1
James O'Brien,105,494,Adventure|Drama|Fantasy|Thriller|Western,Mark Fantasia,2970,Greg Jackson,0,http://www.imdb.com/title/tt3210710/?ref_=fn_tt_tt_1,4,755,4.0
Tom Putnam,86,0,Documentary,Brendan Doogie Milewski,2,Craig Dougherty,0,http://www.imdb.com/title/tt1781784/?ref_=fn_tt_tt_1,6,0,7.5
Jon Shear,106,131,Drama,Dan Futterman,964,Matt Keeslar,1,http://www.imdb.com/title/tt0182508/?ref_=fn_tt_tt_1,73,147,7.0
Al Silliman Jr.,93,0,Comedy|Drama,Christina Hart,24,William Condos,0,http://www.imdb.com/title/tt0168192/?ref_=fn_tt_tt_1,5,12,4.0
Eugène Lourié,80,21,Adventure|Horror|Sci-Fi,Kenneth Tobey,205,Ross Elliott,0,http://www.imdb.com/title/tt0045546/?ref_=fn_tt_tt_1,88,40,6.7
Richard Fleischer,127,51,Adventure|Drama|Family|Fantasy|Sci-Fi,James Mason,800,Paul Lukas,0,http://www.imdb.com/title/tt0046672/?ref_=fn_tt_tt_1,108,53,7.2
George Miller,93,28,Action|Adventure|Sci-Fi|Thriller,Hugh Keays-Byrne,928,Joanne Samuel,0,http://www.imdb.com/title/tt0079501/?ref_=fn_tt_tt_1,303,76,7.0
Doug Liman,96,31,Comedy|Drama,Jon Favreau,4230,Blake Lindsley,0,http://www.imdb.com/title/tt0117802/?ref_=fn_tt_tt_1,252,135,7.4
Sergio Leone,99,93,Action|Drama|Western,Clint Eastwood,16534,Aldo Sambrell,1,http://www.imdb.com/title/tt0058461/?ref_=fn_tt_tt_1,235,360,8.0
Lowell Sherman,66,28,Comedy|Drama|History|Musical|Romance,Mae West,583,Louise Beavers,1,http://www.imdb.com/title/tt0024548/?ref_=fn_tt_tt_1,59,85,6.5
Maurizio Benazzo,85,0,Documentary,The Dalai Lama,66,Swami Krishnanad,0,http://www.imdb.com/title/tt0420723/?ref_=fn_tt_tt_1,13,0,7.2
David G. Evans,101,16,Drama,Michael Joiner,77046,Michael Higgenbottom,7,http://www.imdb.com/title/tt1544600/?ref_=fn_tt_tt_1,26,21,6.4
Ava DuVernay,97,305,Drama,Omari Hardwick,3021,Lorraine Toussaint,2,http://www.imdb.com/title/tt1211890/?ref_=fn_tt_tt_1,10,1000,6.5
Tom Tykwer,119,9,Comedy|Drama|Romance,Devid Striesow,69,Sophie Rois,0,http://www.imdb.com/title/tt1517177/?ref_=fn_tt_tt_1,18,20,6.8
Sherman Alexie,103,61,Drama|Music,William Joseph Elk III,314,Cynthia Geary,0,http://www.imdb.com/title/tt0303313/?ref_=fn_tt_tt_1,14,90,6.9
Justin Dillon,86,15,Documentary|History|Music,Matisyahu,279,Madeleine Albright,3,http://www.imdb.com/title/tt1301130/?ref_=fn_tt_tt_1,2,58,7.5
Steven Soderbergh,106,273,Crime|Drama|Thriller,Channing Tatum,18469,Katie Lowes,0,http://www.imdb.com/title/tt2053463/?ref_=fn_tt_tt_1,274,681,7.1
Stevan Mena,90,10,Crime|Horror|Mystery|Thriller,R. Brandon Johnson,206,Richard Glover,0,http://www.imdb.com/title/tt0388230/?ref_=fn_tt_tt_1,112,25,5.1
Adam Rifkin,95,45,Comedy|Drama,Marri Savinar,705,Bethany Blakey,0,http://www.imdb.com/title/tt2690560/?ref_=fn_tt_tt_1,1,89,6.2
Eric Valette,94,156,Horror|Sci-Fi|Thriller,Melanie Papalia,711,John Reardon,0,http://www.imdb.com/title/tt1152827/?ref_=fn_tt_tt_1,22,165,3.9
Jay Duplass,84,98,Comedy|Drama|Horror|Romance,Greta Gerwig,2016,Elise Muller,0,http://www.imdb.com/title/tt0923600/?ref_=fn_tt_tt_1,40,873,6.0
Livingston Oden,89,15,Comedy|Horror|Mystery|Thriller,Susan Chambers,192,Ali Daniels,0,http://www.imdb.com/title/tt3565836/?ref_=fn_tt_tt_1,1,18,6.8
Chris Marker,59,0,Documentary,Marina Vlady,27,Léon Schwartzenberg,0,http://www.imdb.com/title/tt0437123/?ref_=fn_tt_tt_1,4,0,7.4
Carl Theodor Dreyer,126,0,Drama|Fantasy,Hanne Aagesen,0,Ejner Federspiel,0,http://www.imdb.com/title/tt0048452/?ref_=fn_tt_tt_1,49,0,8.1
Marianna Palka,86,782,Comedy|Drama|Romance,Bryce Dallas Howard,7144,Jason Ritter,0,http://www.imdb.com/title/tt0944101/?ref_=fn_tt_tt_1,51,985,6.5
Richard Schenkman,87,131,Drama|Romance|Sci-Fi,William Katt,1181,David Lee Smith,0,http://www.imdb.com/title/tt0756683/?ref_=fn_tt_tt_1,638,323,8.0
Ricki Stern,106,0,Crime|Documentary,Darryl Hunt,2,John Reeves,0,http://www.imdb.com/title/tt0446055/?ref_=fn_tt_tt_1,10,0,7.7
Nadia Tass,86,32,Drama|Family,Mia Farrow,828,Bruce Gooch,1,http://www.imdb.com/title/tt0412366/?ref_=fn_tt_tt_1,32,194,7.2
James Kerwin,89,31,Drama|Music|Mystery|Romance|Sci-Fi,John Newton,518,H.M. Wynant,3,http://www.imdb.com/title/tt0448182/?ref_=fn_tt_tt_1,10,189,5.4
C. Fraser Press,105,27,Comedy|Drama|Music,Elaine Bromka,263,Matthew Gumley,0,http://www.imdb.com/title/tt1989646/?ref_=fn_tt_tt_1,1,32,6.7
Rania Attieh,93,75,Drama|Sci-Fi|Thriller,Paul Hickert,338,Rebecca Dayan,0,http://www.imdb.com/title/tt3666210/?ref_=fn_tt_tt_1,1,79,6.3
Sharon Greytak,94,178,Drama,Sally Kirkland,1112,Elaine Bromka,1,http://www.imdb.com/title/tt1702455/?ref_=fn_tt_tt_1,3,375,8.1
Majid Majidi,89,27,Drama|Family,Bahare Seddiqi,100,Mohammad Amir Naji,0,http://www.imdb.com/title/tt0118849/?ref_=fn_tt_tt_1,130,35,8.5
Andrew Haigh,97,67,Drama|Romance,Tom Cullen,654,Vauxhall Jermaine,0,http://www.imdb.com/title/tt1714210/?ref_=fn_tt_tt_1,68,75,7.7
Spike Lee,88,46,Comedy|Romance,S. Epatha Merkerson,708,Tracy Camilla Johns,0,http://www.imdb.com/title/tt0091939/?ref_=fn_tt_tt_1,26,53,6.5
Cary Bell,78,0,Documentary,Abigail Evans,0,Emily Gorell,0,http://www.imdb.com/title/tt2421956/?ref_=fn_tt_tt_1,1,0,8.7
Nicolae Constantin Tanase,104,0,Drama,Iulia Ciochina,0,Ana Vatamanu,1,http://www.imdb.com/title/tt4707756/?ref_=fn_tt_tt_1,1,0,6.5
Mike Cahill,92,259,Drama|Romance|Sci-Fi,Robin Lord Taylor,1303,Flint Beverage,1,http://www.imdb.com/title/tt1549572/?ref_=fn_tt_tt_1,228,399,7.0
Jason Stone,108,826,Thriller,Topher Grace,4385,Christopher Heyerdahl,2,http://www.imdb.com/title/tt1666335/?ref_=fn_tt_tt_1,28,1000,5.8
Melvin Van Peebles,97,101,Crime|Drama|Thriller,John Amos,1631,Melvin Van Peebles,1,http://www.imdb.com/title/tt0067810/?ref_=fn_tt_tt_1,50,535,5.5
Ken Roht,109,26,Drama,Charla Cochran,364,Sienna Beckman,3,http://www.imdb.com/title/tt3581098/?ref_=fn_tt_tt_1,,54,7.0
Gary Winick,78,184,Comedy|Drama|Romance,Bebe Neuwirth,1144,Ron Rifkin,2,http://www.imdb.com/title/tt0271219/?ref_=fn_tt_tt_1,101,346,6.3
John Carney,85,18,Drama|Music|Romance,Glen Hansard,332,Darren Healy,0,http://www.imdb.com/title/tt0907657/?ref_=fn_tt_tt_1,329,96,7.9
Robinson Devor,88,3,Comedy,Marilyn Rising,168,Max Kerstein,0,http://www.imdb.com/title/tt0217894/?ref_=fn_tt_tt_1,22,23,7.3
Michel Orion Scott,93,2,Documentary,Temple Grandin,62,Simon Baron-Cohen,0,http://www.imdb.com/title/tt1333668/?ref_=fn_tt_tt_1,9,2,7.4
Pat Holden,86,115,Horror,Alan Brent,895,Kate Ashfield,0,http://www.imdb.com/title/tt1743993/?ref_=fn_tt_tt_1,27,204,5.4
Eric Bugbee,98,21,Action|Drama|Sport,Joel Moody,130,Lia Tucker,0,http://www.imdb.com/title/tt1934172/?ref_=fn_tt_tt_1,1,36,7.1
Tobe Hooper,88,177,Horror|Thriller,Gunnar Hansen,1094,Marilyn Burns,0,http://www.imdb.com/title/tt0072271/?ref_=fn_tt_tt_1,826,371,7.5
Bill Melendez,25,27,Animation|Comedy|Family,Peter Robbins,139,Christopher Shea,0,http://www.imdb.com/title/tt0059026/?ref_=fn_tt_tt_1,126,36,8.4
Dena Seidel,72,0,Adventure|Documentary,Naderev Sano,0,Mike Brett,0,http://www.imdb.com/title/tt2780714/?ref_=fn_tt_tt_1,2,0,7.0
Deborah Anderson,66,232,Documentary,Lisa Ann,1796,Kayden Kross,0,http://www.imdb.com/title/tt2403815/?ref_=fn_tt_tt_1,9,366,5.3
Sara Newens,80,0,Documentary,Ariel Hsing,0,Michael Landers,0,http://www.imdb.com/title/tt4219836/?ref_=fn_tt_tt_1,2,0,7.1
Michael Moore,91,42,Documentary,Michael Moore,1048,Bob Eubanks,0,http://www.imdb.com/title/tt0098213/?ref_=fn_tt_tt_1,133,91,7.5
Paul Schrader,93,697,Fantasy|Horror|Thriller,Ed Begley Jr.,3700,John Heard,1,http://www.imdb.com/title/tt0083722/?ref_=fn_tt_tt_1,106,782,6.1
Sai Varadan,89,163,Drama,J.D. Williams,942,Samantha Esteban,0,http://www.imdb.com/title/tt2125430/?ref_=fn_tt_tt_1,3,180,7.2
Zal Batmanglij,85,100,Drama|Mystery|Sci-Fi|Thriller,Christopher Denham,511,Constance Wu,0,http://www.imdb.com/title/tt1748207/?ref_=fn_tt_tt_1,69,119,6.7
Amal Al-Agroobi,62,,Documentary|Family,,0,,1,http://www.imdb.com/title/tt2638024/?ref_=fn_tt_tt_1,,,8.2
Andrew Berends,90,,Documentary|War,,0,,1,http://www.imdb.com/title/tt0488873/?ref_=fn_tt_tt_1,7,,6.6
Lynn Shelton,90,9,Comedy|Drama,Mark Duplass,973,Mel Eslyn,2,http://www.imdb.com/title/tt1742336/?ref_=fn_tt_tt_1,62,128,6.7
Valentine,,,Romance,Diane Sorrentino,17,,2,http://www.imdb.com/title/tt4607906/?ref_=fn_tt_tt_1,,0,5.1
David Hewlett,88,405,Comedy,Christopher Judge,2364,Paul McGillion,2,http://www.imdb.com/title/tt0796314/?ref_=fn_tt_tt_1,46,686,7.0
David Hewlett,88,405,Comedy,Christopher Judge,2364,Paul McGillion,2,http://www.imdb.com/title/tt0796314/?ref_=fn_tt_tt_1,46,686,7.0
George A. Romero,96,56,Drama|Horror|Mystery,Judith O'Dea,403,S. William Hinzman,5,http://www.imdb.com/title/tt0063350/?ref_=fn_tt_tt_1,580,108,8.0
Jean-Luc Godard,94,5,Drama,Philippe Leroy,27,Rita Maiden,0,http://www.imdb.com/title/tt0058701/?ref_=fn_tt_tt_1,10,7,7.4
Nate Parker,120,400,Biography|Drama,Jason Stuart,3525,Aunjanue Ellis,1,http://www.imdb.com/title/tt4196450/?ref_=fn_tt_tt_1,8,664,5.4
Nathan Smith Jones,77,69,Comedy,Richard Moll,516,Christopher Robin Miller,0,http://www.imdb.com/title/tt0339921/?ref_=fn_tt_tt_1,5,81,5.7
Alex Kendrick,111,51,Drama|Sport,Alex Kendrick,916,Shannen Fields,0,http://www.imdb.com/title/tt0805526/?ref_=fn_tt_tt_1,382,150,6.7
Travis Cluff,81,7,Horror|Thriller,Pfeifer Brown,276,Reese Mishler,0,http://www.imdb.com/title/tt2309260/?ref_=fn_tt_tt_1,150,40,4.2
David Lynch,89,121,Fantasy|Horror|Sci-Fi,Hal Landon Jr.,837,Charlotte Stewart,1,http://www.imdb.com/title/tt0074486/?ref_=fn_tt_tt_1,535,158,7.4
Harry F. Millarde,110,0,Crime|Drama,Stephen Carr,4,Mary Carr,1,http://www.imdb.com/title/tt0011549/?ref_=fn_tt_tt_1,1,2,4.8
Robert Townsend,81,287,Comedy,Robert Townsend,1431,Helen Martin,1,http://www.imdb.com/title/tt0093200/?ref_=fn_tt_tt_1,32,322,7.0
Peter Chelsom,100,545,Comedy|Drama,Kieran Culkin,2283,Gena Rowlands,4,http://www.imdb.com/title/tt0119670/?ref_=fn_tt_tt_1,113,577,7.3
Jamaa Fanaka,99,10,Crime|Drama|Sport,Leon Isaac Kennedy,170,Wilbur 'Hi-Fi' White,2,http://www.imdb.com/title/tt0079709/?ref_=fn_tt_tt_1,10,24,5.8
Larry Blamire,90,56,Comedy|Horror|Sci-Fi,Fay Masterson,284,Larry Blamire,1,http://www.imdb.com/title/tt0307109/?ref_=fn_tt_tt_1,118,76,7.0
Stephen Langford,82,50,Family,Kevin P. Farley,417,Brandon Middleton,0,http://www.imdb.com/title/tt3109200/?ref_=fn_tt_tt_1,4,134,3.2
