director_facebook_likes,genres,actor_1_name,num_voted_users,cast_total_facebook_likes,movie_facebook_likes
0,Comedy|Drama,Eric Mendenhall,8346,1465,1000
97,Action|Drama,Kari J. Kramer,60,2374,1000
8,Comedy|Drama|Romance,Caroline Dhavernas,77987,1292,0
189,Comedy|Romance,Taran Killam,57479,2020,0
93,Biography|Drama|Thriller,Mem Ferda,53977,35561,14000
,Comedy|Drama|Reality-TV|Romance,Nicole 'Snooki' Polizzi,29,1462,0
2,Adventure|Comedy|Drama|Family|Fantasy,Mara Wilson,2855,2429,663
42,Horror|Thriller,Radha Mitchell,93272,2609,0
6000,Adventure|Animation|Family|Fantasy,Bunta Sugawara,417971,44,28000
0,Action|Crime|Thriller,Andy Lau,1904,635,332
79,Action|Adventure|Drama|History|Romance,Liam Neeson,17982,28094,1000
33,Drama|War,Emily Watson,98741,1985,53000
51,Adventure|Comedy|Romance,Katrina Bowden,72715,4324,0
14,Comedy|Romance,Adam Scott,71276,4094,13000
75,Drama|History|War,James Mason,6156,1131,560
31,Comedy|Drama|Romance,Topher Grace,43867,5519,0
33,Drama,Holly Hunter,5147,3260,0
22,Family|Fantasy|Music,Darci Kistler,1153,2,238
500,Crime|Drama|Music|Thriller,Steve Buscemi,3536,14579,228
44,Drama,Logan Lerman,550,8972,599
15,Drama|Horror|Mystery|Thriller,Jimmy Bennett,80903,120797,0
0,Comedy|Drama,Nicolas Cage,143251,25489,0
0,Horror,Tony Nappo,78883,1876,0
15,Action,Louis Koo,625,151,124
0,Adventure|Comedy|Drama,Johnny Depp,213226,43105,15000
0,Comedy|Fantasy|Romance,Jennifer Garner,94292,7252,13000
89,Comedy,Craig Roberts,216581,2771,21000
55,Action|Comedy|Crime|Fantasy,Peter Greene,265818,2085,0
545,Comedy|Drama|Family|Fantasy|Romance,Tom Hanks,153468,28018,0
119,Comedy,Luenell,297014,505,0
126,Comedy|Romance,Linda Cardellini,131801,4380,0
12000,Action|Adventure|Sci-Fi,Leonard Nimoy,58743,14762,0
301,Drama|Horror|Thriller,Tom Wilkinson,96569,2759,0
31,Comedy|Romance,Amy Poehler,59380,2604,0
179,Action|Drama|Fantasy|Mystery|Thriller,Nicolas Cage,24854,15044,31000
15,Comedy|Drama|Romance,Craig T. Nelson,49077,1615,0
8,Comedy|Drama,Harry Lennix,10104,3956,265
72,Comedy|Crime|Drama,Bernie Mac,107815,3151,10000
116,Comedy|Crime,Will Ferrell,183425,10557,0
52,Comedy|Family|Romance,Nia Vardalos,13562,2259,19000
42,Comedy|Family,Zachary Gordon,18727,3567,0
323,Action|Horror|Sci-Fi,Shane Black,290949,4223,13000
869,Biography|Drama|History|Music,Jeffrey Jones,270790,3076,16000
29,Horror|Mystery,Ming-Na Wen,27664,4867,1000
70,Comedy,Tina Fey,245989,5032,0
22,Comedy|Drama|Romance,Raoul Bova,35718,1310,0
500,Drama|Mystery,Kristin Scott Thomas,65201,3261,0
,Comedy|Drama|Romance,Peter Gallagher,65785,2546,0
0,Comedy|Drama|Fantasy|Romance,Nicolas Cage,27149,14672,0
0,Comedy|Drama|Romance,Emma Stone,395087,21668,114000
11000,Drama,Sally Hawkins,150082,1353,36000
521,Drama|History|Thriller,Christian Clemenson,83374,313,0
23,Drama|Music|Romance,Christian Monzon,36666,4868,0
380,Drama|History|War,Denzel Washington,101889,32930,0
8,Action|Comedy,Hulk Hogan,29621,2653,588
0,Fantasy|Horror,Jamie Lee Curtis,46492,4877,7000
80,Biography|Drama|Family|Sport,Dennis Quaid,35514,5024,15000
0,Comedy|Drama|War,Bob Newhart,17277,2032,0
62,Comedy|Crime|Drama,Collette Wolfe,52467,727,0
130,Action|Adventure|Fantasy,Mako,62009,2481,2000
17000,Biography|Drama|Sport,Robert De Niro,235133,23008,0
7,Drama|Romance,Judy Greer,25344,4947,0
272,Adventure|Fantasy|Mystery|Thriller,Nicholas Rowe,14870,605,0
64,Comedy|Drama|Musical|Romance,Kelsey Grammer,14062,5734,0
0,Adventure|Biography|Drama|Thriller,James Franco,279179,11984,63000
11000,Comedy|Crime,Woody Allen,31169,23283,812
13,Drama|Music|Romance,Amanda Schull,15817,1201,0
24,Comedy,Olivia Wilde,9051,10691,0
38,Comedy|Crime,Kristen Stewart,8023,18711,591
34,Drama,Ian Somerhalder,39105,21622,0
0,Biography|Drama,Kate Winslet,93548,28933,23000
0,Comedy|Romance,Alan Ruck,28209,4072,0
44,Comedy|Drama|Romance,Steve Buscemi,64646,16004,0
28,Action|Adventure|Western,Jason Robards,1400,927,346
128,Drama|Thriller,Daniel Radcliffe,23728,14995,813
0,Mystery|Thriller,Nancy Allen,27629,1067,2000
31,Action|Crime|Thriller,Rebecca Budig,19586,676,4000
0,Drama,Joan Allen,46396,1466,0
0,Comedy|Drama|Romance,Yaya DaCosta,8895,1673,3000
6,Adventure|Comedy,Craig T. Nelson,7470,2368,0
109,Comedy|Drama|Romance,Miriam Margolyes,10680,847,562
213,Drama|Romance,David Margulies,29591,711,0
25,Action|Adventure|Fantasy,Ian McDiarmid,10832,1263,0
97,Biography|Drama|Romance,David Masterson,15352,1341,0
13000,Biography|Comedy|Drama,Johnny Depp,142416,56585,0
655,Drama,J.K. Simmons,31898,39307,0
44,Adventure|Biography|Drama|History|War,Tadanobu Asano,37635,653,0
0,Action|Crime|Thriller,Tom Hardy,194489,46944,12000
379,Action|Sci-Fi,Barry Bostwick,2541,1356,0
0,Drama,Julie Christie,30618,1645,0
78,Biography|Drama|Music|Romance,Bruce Greenwood,6091,1598,0
337,Adventure|Drama|Sci-Fi|Thriller,Kirsten Dunst,31359,5671,0
11000,Comedy|Romance,Woody Allen,25165,14843,827
6,Biography|Drama|Romance|War,Jeremy Irvine,27882,39463,18000
,Drama|Mystery,Poppy Montgomery,12854,1906,0
0,Drama|Mystery,Ulrich Tukur,52958,167,0
662,Horror,Zack Ward,436,1498,378
28,Action|Horror|Romance|Sci-Fi|Thriller,Clint Howard,10082,2319,0
154,Crime|Drama|Mystery|Thriller,Adam Goldberg,26730,4094,2000
190,Music,James Hetfield,13359,1083,19000
34,Crime|Drama|Thriller,Austin Nichols,14324,2215,1000
,Biography|Crime|Drama|Thriller,Edgar Ramírez,10111,1032,0
157,Thriller,Takuya Kimura,2541,198,342
0,Action|Drama|History|Romance|War|Western,Tom Berenger,899,2705,271
0,Horror,Greg Nicotero,49669,1592,3000
55,Action|Crime|Drama|Thriller,Sam Trammell,4510,3212,0
2,Action|Animation|Sci-Fi|Thriller,Romola Garai,14325,1185,0
78,Drama|Western,Demi Moore,4693,4142,0
130,Action|Adventure|Fantasy,Ernie Reyes Jr.,30215,1243,0
89,Drama|Horror|Mystery|Thriller,Robert De Niro,48162,25804,10000
99,Comedy,Emma Stone,422606,17584,0
0,Comedy|Crime|Drama,Vanessa Ferlito,9544,3699,804
512,Action|Horror,Jason Momoa,5693,13545,0
209,Drama|Music|Musical|Romance,Cassie Ventura,67653,816,0
19,Action|Animation|Comedy|Crime|Family,Anne Hathaway,45900,14385,0
83,Drama|History|War,Don Cheadle,264533,4142,12000
87,Action|Crime|Drama|Thriller,Henry Ian Cusick,140780,2124,0
148,Drama|Family|Music|Musical,Jennifer Hudson,1633,1373,0
32,Action|Thriller,Bruce Willis,13133,16735,0
0,Crime|Drama|Thriller,Kirk Fox,4387,245,204
448,Fantasy|Horror|Thriller,Fionnula Flanagan,268581,956,20000
0,Action|Adventure|Sci-Fi,Michael Biehn,488537,4228,18000
165,Drama|Family|Musical|Romance,Jeremy Brett,66959,1164,0
13,Horror|Mystery|Thriller,Muse Watson,105585,50284,0
42,Comedy,Rob Riggle,106820,3627,14000
729,Adventure|Comedy|Drama|Romance,Virginia Madsen,149966,2170,0
422,Comedy,Chris Moss,54710,35345,0
0,Horror|Thriller,Jamie Lee Curtis,157857,4400,12000
611,Action|Adventure|History,Jet Li,149414,6229,0
9,Comedy|Drama|Family|Fantasy|Sci-Fi,Liam Aiken,3407,2164,309
92,Comedy|Drama,Harold Perrineau,11600,5306,7000
248,Action|Crime|Drama|Thriller,Ryan Reynolds,121058,19410,3000
52,Horror|Mystery,Costas Mandylor,67978,1978,12000
36,Comedy|Romance,Emmanuelle Vaugier,62272,3294,2000
364,Action|Adventure|Sci-Fi,Jeff Bridges,264186,25549,30000
12,Comedy|Music|Romance,Will Ferrell,48458,9271,0
33,Drama|Fantasy|Romance,Alex Pettyfer,64190,17396,16000
192,Horror,Dan Byrd,129719,4500,0
39,Comedy,Kevin Grevioux,11815,2713,320
51,Biography|Drama|Sport,Morgan Saylor,23480,952,21000
17,Comedy,Brandon T. Jackson,7991,4797,0
49,Comedy|Crime|Drama|Music|Romance,T.I.,8522,1538,874
36,Comedy|Music|Romance,Anna Kendrick,213898,12676,36000
19,Comedy|Drama|Romance|Sport,Marc Blucas,12993,3344,476
0,Crime|Drama|Thriller,Gary Cole,50656,2365,0
11,Horror|Mystery|Thriller,Alexander Gould,10885,4060,814
0,Comedy|Romance,Thomas F. Wilson,9104,2135,110
11,Adventure|Comedy|Family|Fantasy|Musical,Vanessa Williams,2045,2020,339
847,Crime|Drama|Thriller,Don Cheadle,52852,6317,4000
117,Action|Adventure|Drama|History|War,Ava Gardner,4550,1567,419
201,Horror,Lou Taylor Pucci,125016,673,70000
80,Comedy|Romance,Nia Vardalos,15033,2016,0
80,Comedy|Music,Judy Greer,22639,5992,300
22,Action|Adventure|Family|Sci-Fi,Jim Broadbent,33570,3007,1000
8,Drama,DeRay Davis,4600,760,238
47,Action|Crime|Drama|Thriller,Paul Walker,88590,27381,0
9,Biography|Drama|Romance|Sport,Aidan Quinn,3222,1727,352
3,Adventure|Crime|Drama|Romance,Victor Wong,4081,805,154
168,Drama|Mystery|Romance|Thriller,Rufus Sewell,295375,4210,15000
4,Adventure|Horror|Thriller,Tippi Hedren,1275,1262,0
541,Biography|Crime|Drama|Thriller,Brenda Fricker,16234,409,0
30,Crime|Drama|Romance|Thriller,Josh Hutcherson,13762,14492,0
219,Comedy|Mystery|Sci-Fi|Thriller,Janeane Garofalo,32671,2340,0
0,Adventure|Animation|Family|Fantasy,Rob Paulsen,10706,1364,0
22,Sci-Fi,George Peppard,3701,1769,903
57,Horror|Thriller,Julianna Guill,16268,730,0
6,Comedy|Drama|Family|Romance,Macaulay Culkin,55895,5433,0
30,Biography|Drama|Romance,Robert Downey Jr.,13239,25173,0
168,Drama|Mystery|Romance|Thriller,Rufus Sewell,295375,4210,15000
0,Crime|Drama,Hal Holbrook,119150,1607,0
0,Drama|Romance,Alan Rickman,78392,41059,0
11,Biography|Drama|Romance,Anne Hathaway,46204,12554,0
18,Comedy|Romance,Danny Strong,37700,2785,0
26,Drama,Frances Fisher,56665,2282,0
608,Comedy|Drama,Robin Williams,277451,51609,23000
137,Comedy,Lauren Holly,288451,2985,0
0,Comedy|Drama|Romance,Bruno Kirby,149108,485,0
0,Drama,Charlotte Rampling,26310,2330,0
480,Comedy,Ethan Suplee,132963,3889,0
48,Comedy|Drama|Romance|Sport,Paul Walker,35312,23369,0
405,Comedy|Drama|Romance,Bérénice Bejo,190030,4606,30000
687,Drama|Fantasy|Horror|Mystery|Thriller,Gary Oldman,42182,12183,0
0,Adventure|Comedy|Drama|Romance,Bruce Willis,237848,27911,71000
473,Horror,Matt Bomer,56269,26402,0
19,Drama,Clive Russell,1449,824,0
11,Comedy|Family,Jennifer Esposito,18254,3058,1000
0,Drama|Fantasy|War,Ivana Baquero,467234,1322,27000
,Drama|Fantasy|Mystery|Thriller,Joel Courtney,7210,4561,0
14,Action|Comedy|Crime|Family,Leslie Bibb,7392,4194,393
309,Crime|Drama|Romance|Thriller,Mo'Nique,9566,3107,1000
26,Drama|Horror|Thriller,Leighton Meester,29147,5349,0
29,Adventure|Comedy|Drama,Brittany Daniel,41664,2543,0
23,Action|Crime,Bolo Yeung,28736,874,0
1000,Action|Comedy|Mystery,Bill Bailey,352695,485,17000
15,Comedy|Drama,Jada Pinkett Smith,16582,3485,0
11000,Drama|Romance,Scarlett Johansson,198111,19894,14000
5,Action|Adventure|Drama|Romance|War,Gustaf Skarsgård,18041,2762,0
24,Comedy,Mila Kunis,4654,18786,18000
7,Comedy|Drama|Romance,Alyson Hannigan,13661,3451,487
7,Drama,Patrick Fugit,25549,2572,0
45,Comedy|Fantasy|Horror,J.K. Simmons,92712,24805,6000
22,Comedy|Crime|Mystery,Will Ferrell,11768,11078,492
11000,Comedy,Mike Starr,24256,1653,0
179,Action|Drama|Fantasy|Mystery|Thriller,Nicolas Cage,24854,15044,31000
47,Drama|Romance,Robert Pattinson,113963,22088,24000
6,Comedy|Drama|Romance,Dylan Baker,8215,1882,371
121,Comedy|Romance|Sci-Fi,Jon Lovitz,21079,14677,818
438,Drama,Denzel Washington,178731,33865,0
9,Mystery|Sci-Fi|Thriller,Gretchen Mol,51996,2389,0
3,Comedy,Farrah Fawcett,2385,3835,177
38,Action|Drama|Sci-Fi|Thriller,Martin Landau,5237,1945,392
28,Comedy|Drama|Music,Lochlyn Munro,8217,1227,573
11000,Comedy|Romance,Woody Allen,21613,12766,762
89,Comedy|Music,Natasha Lyonne,30682,2518,0
85,Action|Adventure|Fantasy,Christopher Lambert,98629,1852,0
369,Drama,Alison Lohman,24104,1889,0
34,Action|Crime|Sci-Fi,Charles Napier,8687,3100,0
115,Drama|Romance,Jeremy Renner,20616,11019,0
