director_facebook_likes,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,language,country,budget,imdb_score,aspect_ratio
117,13000,4311834,Crime|Documentary,Matt Damon,Inside Job ,55382,Barney Frank,0,florida|iceland|interview|new york city new york|recession,129,English,USA,,8.3,2.35
31,804,3590010,Drama|Music|Romance,Vanessa Lengies,We Are Your Friends ,20885,Jonny Weston,0,box office flop|critically bashed|male objectification|narcissism|wannabe dj,60,English,UK,2000000,6.1,1.85
0,251,3300230,Action|Crime|Drama|Thriller,Henry Silva,Ghost Dog: The Way of the Samurai ,70084,Richard Portnow,1,african american|code|dog|pigeon|samurai,346,English,France,,7.5,1.85
453,24000,3335839,Action|Crime|Drama|Thriller,J.K. Simmons,Harsh Times ,54657,Noel Gugliemi,2,blood splatter|friend|lapd|mexican|violence,222,English,USA,2000000,7.0,1.85
5,1000,2557668,Crime|Drama|Thriller,David Oyelowo,Captive ,3911,Sydelle Noel,1,auto theft|based on true story|drug addict|kidnapping|violence,22,English,USA,2000000,5.3,1.85
0,8000,2506446,Comedy|Romance,Julia Roberts,Full Frontal ,8662,Blair Underwood,0,birthday|friend|hollywood|party|sex,172,English,USA,2000000,4.7,1.85
85,265,7369373,Horror|Mystery|Thriller,Kathleen Wilhoite,Witchboard ,4288,Rose Marie,1,evil spirit|hatchet|ouija|ouija board|psychopathic killer,74,English,UK,2000000,5.7,1.85
,459,,Comedy,Stephen Colbert,Strangers with Candy             ,4181,Maria Thayer,3,alternative comedy|female protagonist|high school|social satire|three word title,62,English,USA,,8.1,4.0
0,597,4414535,Drama,Julie Christie,Hamlet ,30618,Richard Briers,0,classic literature|denmark|funeral|madness|prince,224,English,UK,18000000,7.8,2.2
263,71,1984378,Comedy|Drama|Romance,Sook-Yin Lee,Shortbus ,27346,Raphael Barker,3,controversy|ejaculation|male frontal nudity|oral sex|unsimulated sex,206,English,USA,2000000,6.5,1.78
56,56,2283276,Animation|Biography|Documentary|Drama|History|War,Ari Folman,Waltz with Bashir ,46107,Zahava Solomon,0,bar|dog|interview|lebanon|nightmare,156,Hebrew,Israel,1500000,8.0,1.85
0,178,1098224,Adventure,Noah Danby,"The Book of Mormon Movie, Volume 1: The Journey ",397,Bruce Newbold,1,jerusalem|journey|promised land|ship|wilderness,30,English,USA,2000000,3.3,1.85
117,393,1430185,Documentary|War,Campbell Scott,No End in Sight ,7314,Donald Rumsfeld,0,american politics|iraq|iraq war|occupation|white house,55,English,USA,2000000,8.3,1.85
22,10000,1477002,Drama|Romance,Alexander Skarsgård,The Diary of a Teenage Girl ,16645,Austin Lyon,3,1970s|mother's boyfriend|overalls|phone booth|sexual promiscuity,72,English,USA,2000000,6.9,2.35
,11000,,Comedy|Drama|Romance,Anne Hathaway,Get Real             ,415,Debrah Farentino,5,breaking the fourth wall|brother brother relationship|high school friends|imperative in title|skateboard,26,English,USA,,7.3,1.33
90,168,1134049,Documentary|History,John F. Kennedy,In the Shadow of the Moon ,5475,Neil Armstrong,0,1960s|astronaut|moon|nasa|spacecraft accident,44,English,UK,2000000,8.1,1.85
129,991,977600,Drama|Western,Bruce Greenwood,Meek's Cutoff ,8204,Shirley Henderson,1,desert|oregon|survival|trust|water,98,English,USA,,6.5,1.33
13,373,653621,Biography|Documentary|History,Hugh M. Hefner,Inside Deep Throat ,5615,Linda Lovelace,0,clitoris|deep throat|fellatio|oral sex|porn industry,64,English,USA,2000000,6.8,1.85
34,388,110000,Crime|Drama|Romance,Danny Aiello,Dinner Rush ,4359,Ajay Naidu,1,detective|food|gangster|police|restaurant,73,English,USA,,7.3,1.85
11,584,444354,Comedy|Drama,Alanna Ubach,Clockwatchers ,4049,Jamie Kennedy,4,office|office politics|photo booth|snobbery|title directed by female,111,English,UK,,6.4,
10,189,535249,Comedy,Matt Bennett,The Virginity Hit ,3467,Zack Pearlman,0,masturbation|porn star|sex lesson from a prostitute|spreadeagle|topless,13,English,USA,3400000,4.6,1.85
0,1000,,Comedy|Drama|Thriller,Christopher Lambert,Subway ,11031,Jean-Hugues Anglade,1,band|blackmail|safe|subway|train,45,French,France,17000000,6.5,2.35
0,49000,371081,Comedy|Drama,Robin Williams,House of D ,7479,Frank Langella,2,artist|butchery|catholic|catholic school|friend,86,English,USA,6000000,7.0,1.85
53,386,347578,Comedy|Fantasy|Horror|Thriller,Jess Weixler,Teeth ,34556,John Hensley,1,high school|purity|stepbrother|temptation|vagina dentata,161,English,USA,,5.4,1.85
4,33,124494,Action|Adventure|Comedy|Drama|Music|Sci-Fi,Jeffrey Falcon,Six-String Samurai ,5613,Kim De Angelo,1,boy|guitar|orphan|rock 'n' roll|sword,102,English,USA,2000000,6.7,1.85
4,353,,Action|Comedy|Romance|Thriller,Karisma Kapoor,Hum To Mohabbat Karega ,275,Shakti Kapoor,2,elevator|news reporter|police|restaurant|waiter,1,Hindi,India,,2.8,
31,326,120620,Biography|Comedy|Drama|Music,Paul Kaye,It's All Gone Pete Tong ,16828,Kate Magowan,1,deafness|disappearance|ears|ibiza|musician,67,English,UK,,7.4,2.35
0,22000,100669,Comedy|Drama,Peter Dinklage,Saint John of Las Vegas ,2522,Romany Malco,1,city name in title|male frontal nudity|place name in title,11,English,USA,3800000,5.8,2.35
222,5000,,Comedy|Drama|Romance|Sport,Bob Hoskins,24 7: Twenty Four Seven ,2081,Karl Collins,2,fight|gang|hiking|wales|working class,21,English,UK,,7.1,1.85
776,25000,186354,Drama,Jeremy Irvine,Stonewall ,1758,Matt Craven,0,box office flop|critically bashed|gay rights|new york city|stonewall riots,30,English,USA,13500000,4.5,2.35
,780,,Comedy|Drama|Sci-Fi,Joe Morton,Eureka             ,39559,Salli Richardson-Whitfield,2,alternate reality|pacific northwest|small town|small town life|small town sheriff,136,English,USA,,7.9,1.78
32,532,55202,Animation|Comedy|Family|Romance,Saif Ali Khan,Roadside Romeo ,922,Javed Jaffrey,0,india|love|love at first sight|mumbai india|reference to edward scissorhands,17,Hindi,India,,5.3,2.35
84,584,,Crime|Drama,Vincent Pastore,This Thing of Ours ,508,Chuck Zito,4,gangster|heist|internet|mafia|miami florida,18,English,USA,,5.4,1.85
19,589,549632,Adventure|Family|Fantasy,Alex Kendrick,The Lost Medallion: The Adventures of Billy Stone ,1278,Tiya Sircar,,cave|cobra|island|medallion|waterfall,16,English,Thailand,,4.8,2.35
98,10000,137945,Comedy|Drama|Musical|Romance,Anna Kendrick,The Last Five Years ,6223,Charly Bivona,7,based on play|number in title,40,English,USA,,5.9,2.35
8,529,17580,Drama,Merritt Wever,The Missing Person ,1268,Paul Adelstein,3,cellphone|detective|missing person|private detective|train,23,English,USA,1500000,6.2,1.85
97,787,,Horror|Romance|Sci-Fi,Melinda Clarke,Return of the Living Dead III ,10182,Sarah Douglas,1,female nudity|living dead|self mutilation|sequel|zombie,130,English,USA,2000000,5.9,1.85
11,26000,12667,Drama|Romance,Jason Statham,London ,19336,Dane Cook,2,bar|coke|drugs|party|snorting,90,English,UK,14000,6.6,2.35
38,363,198407,Drama,Brad William Henke,Sherrybaby ,10282,Michelle Hurst,1,ex convict|halfway house|nipples visible through clothing|orgasm|parole officer,78,English,USA,2000000,6.6,1.85
54,985,13973532,Comedy|Crime,Martin Starr,Stealing Harvard ,11211,Chris Penn,1,black humor|crying during sex|harvard|humor|man with glasses,92,English,USA,25000000,5.1,1.85
0,160,,Drama|Horror|Mystery|Sci-Fi|Thriller,Jordi Vilasuso,Circle ,13279,Kaiwi Lyman-Mersereau,0,alien abduction|debate|lesbian|pregnant|spaceship,59,English,USA,,6.0,
43,13000,5824,Horror|Thriller,Michael Fassbender,Eden Lake ,57811,Lorraine Stanley,1,camping|forest|lake|stabbed with glass|vomiting,357,English,UK,,6.8,2.35
308,638,2843,Thriller,Frances Fisher,Plush ,2895,Marlene Forte,2,gay interest|guitarist|obsessed fan|seduction|sex scene,24,English,USA,,5.4,1.78
6,513,,Action|Comedy|Fantasy|Horror,MyAnna Buring,Vampire Killers ,17296,Silvia Colloca,3,blood|breasts|female nudity|lesbian|vampire,91,English,UK,,5.2,2.35
5,29,4958,Action|Crime|Drama,Rapulana Seiphemo,Gangster's Paradise: Jerusalema ,9689,Robert Hobbs,2,carjacking|drug lord|johannesburg south africa|police|post apartheid,23,English,South Africa,2000000,7.8,2.35
0,766,,Crime|Drama|Thriller,Colin Salmon,Freeze Frame ,2588,Ian McNeice,1,alibi|box office flop|newspaper clipping|non statutory female on male rape|profiler,41,English,UK,2000000,6.4,2.35
6,253,,Horror,Mackenzie Gray,Grave Encounters ,40380,Ashleigh Gryzko,0,ghost|ghost hunting|labyrinth|paranormal|reality show,235,English,Canada,100000,6.1,1.78
5,121,,Comedy|Horror,Peter McQuinn,Stitches ,6585,Jemma Curran,0,cat killer|death of animal|high heels|kneed in the crotch|kneed in the groin,53,English,Ireland,,5.7,1.85
0,413,,Crime|Drama|Horror|Mystery|Thriller,Daniel Baldwin,Nine Dead ,9280,Marc Macaulay,0,betrayal|car|connection|death|gun,64,English,USA,2000000,5.5,2.35
0,674,,Documentary,Alice Cooper,"To Be Frank, Sinatra at 100 ",7,Louis Walsh,0,,,English,UK,2000000,7.4,
11000,11000,,Comedy,Woody Allen,Bananas ,27646,Louise Lasser,3,fictitious country|latin america|president|rebellion|reference to fidel castro,105,English,USA,2000000,7.1,1.37
0,473,13220,Thriller,Paul Sheehan,Supercapitalist ,289,Kathy Uyen,0,,9,English,USA,,3.9,
5,601,,Action|Crime|Drama|Thriller,Nicholas Gonzalez,Rockaway ,355,Ricardo Chavira,1,one word title,6,English,USA,2000000,4.6,2.35
,685,,Comedy|Drama,Steven Weber,Wings             ,7646,Amy Yasbeck,5,1990s|brother brother relationship|nantucket island|one word title|sister sister relationship,56,English,USA,,7.3,1.33
0,1000,7927,Crime|Drama|Film-Noir|Mystery|Thriller,Rita Hayworth,The Lady from Shanghai ,19236,Ted de Corsia,1,law partner|murder|partner|seaman|yacht,175,English,USA,2300000,7.7,1.37
0,633,,Horror|Thriller,Mircea Monroe,No Man's Land: The Rise of Reeker ,2701,Robert Pine,0,death|desert|robber|sheriff|waitress,31,English,USA,2000000,4.9,1.78
10,15000,,Crime|Drama,Jake Gyllenhaal,Highway ,5182,Mark Rolston,3,1990s|homoeroticism|reference to kurt cobain|road trip|year 1994,67,English,USA,14000000,6.3,2.35
68,2000,,Comedy|Crime|Drama,Noel Gugliemi,Small Apartments ,5732,Matt Lucas,6,fire investigator|landlord|suicide|talking to one's self in a mirror|turpentine,26,English,USA,2000000,6.1,1.85
8,34000,,Comedy,Sunil Narkar,Coffee Town ,4204,Glenn Howerton,3,barista|coffee|coffee shop|fight|insult,19,English,USA,2000000,6.6,2.35
5,416,2436,Comedy|Fantasy|Musical|Sci-Fi,Kate Maberly,The Ghastly Love of Johnny X ,344,Paul Williams,2,1950s|independent film|outlaw|trial,19,English,USA,2000000,5.7,2.35
17,594,4556,Comedy|Drama,Sally Hawkins,All Is Bright ,4478,Peter Hermann,1,christmas tree|french canadian|new york|salesman,23,English,USA,,5.6,
2,16000,,Horror|Mystery,Christopher Lee,The Torture Chamber of Dr. Sadism ,952,Karin Dor,0,count|drawn and quartered|tied up|torture chamber|torture device,36,German,West Germany,,6.0,1.66
10,924,,Comedy|Drama,Jon Mack,Straight A's ,3605,Josh Meyers,3,addict|paternity|rascal|swimming pool|texas,20,English,USA,2000000,5.7,
44,907,,Comedy|Musical,Buster Keaton,A Funny Thing Happened on the Way to the Forum ,6804,Phil Silvers,0,based on stage musical|based on stage musical based on stage play|freedom|historical fiction|virgin,72,English,USA,2000000,7.0,1.85
909,909,,Documentary,Michael Moore,Slacker Uprising ,2242,Steve Earle,0,character name in title|election campaign|presidential election,15,English,USA,2000000,5.3,
531,10000,,Action|Adventure|History|Western,William McNamara,The Legend of Hell's Gate: An American Conspiracy ,583,Glenn Morshower,1,1800s|doc holliday|robbers|sheriff|texas,14,English,USA,2000000,4.4,
6,680,,Comedy|Horror,Trenton Rostedt,The Walking Deceased ,2348,Dave Sheridan,0,zombie|zombie spoof,25,English,USA,1250000,3.4,
20000,2000,,Drama|Horror|Mystery|Thriller,Kevin Zegers,The Curse of Downers Grove ,1040,Tom Arnold,1,,22,English,USA,2000000,4.5,
3,11000,,Thriller,Melissa Bolona,Shark Lake ,838,James Chalke,0,blood|daughter|jail|police|shark,17,English,USA,2000000,3.4,
28,18000,4600000,Crime|Drama,Keanu Reeves,River's Edge ,11763,Ione Skye,2,death|friend|high school|murder|police,111,English,USA,1900000,7.1,1.85
35,548,1420578,Drama|Fantasy,Peter Coyote,Northfork ,4894,Jon Gries,0,boy|caretaker|dam|evacuation|orphanage,122,English,USA,1900000,6.4,2.35
58,405,,Action|Thriller,Paul McGillion,The Marine 4: Moving Target ,2032,David Lewis,2,killed in police car|mercenary|police officer shot in the leg|police officer shot through the heart|whistleblower,15,English,USA,1950000,5.2,1.78
89,16000,1028658,Drama|Mystery|Thriller,Ryan Reynolds,Buried ,118684,Erik Palladino,0,buried alive|coffin|iraq|one person|single set production,447,English,Spain,3000000,7.0,2.35
0,920,466702,Comedy|Drama|Romance,Craig Roberts,Submarine ,65877,Sally Hawkins,1,15 year old|school|teen comedy|teen movie|virginity,100,English,UK,,7.3,1.85
63,161,,Documentary|Drama|History|News,Khalid Abdalla,The Square ,6678,Aida Elkashef,0,,42,Arabic,Egypt,1500000,8.1,1.85
0,533,18435,Drama,Karl E. Landler,One to Another ,1010,Pierre Perrier,5,fellatio|female frontal nudity|male frontal nudity|nude sunbathing|orgy,15,French,France,1400000,5.8,1.85
108,17000,35266619,Drama|Fantasy|Horror,Chloë Grace Moretz,Carrie ,108248,Portia Doubleday,1,outcast|prom|self injury|telekinesis|tragic event,371,English,USA,30000000,5.9,2.35
168,733,95236,Drama|Musical,Lauren Gottlieb,ABCD (Any Body Can Dance) ,5018,Prabhudheva,3,,38,Hindi,India,,6.4,
0,40000,26505000,Horror,Johnny Depp,A Nightmare on Elm Street ,149293,Amanda Wyss,1,freddy krueger|lucid dream|serial killer|slasher|sleep deprivation,668,English,USA,1800000,7.5,1.85
120,41,2957978,Biography|Crime|Documentary|History|Thriller,Paul McGill,Man on Wire ,40481,Jean-Louis Blondeau,0,new york city|passion|reenactment|rooftop|tower,134,English,UK,1000000,7.8,1.85
0,42,,Drama,Siobhan Marshall,Abandoned ,333,Rachel Nash,5,boat|one word title|sea|storm|survivor,6,English,New Zealand,,6.3,
47,628,444044,Drama,Logan Browning,Brotherly Love ,744,Faizon Love,6,basketball|burglary|police|robbery|teenage girl,19,English,USA,1900000,7.2,1.85
13,463,40990055,Drama|Horror|Thriller,Caleb Landry Jones,The Last Exorcism ,41509,Patrick Fabian,0,cult film|documentary crew|exorcism|found footage|satanic ritual,300,English,France,1800000,5.6,1.85
456,1000,1445366,Biography|Drama|Music,Kristin Scott Thomas,Nowhere Boy ,29019,Anne-Marie Duff,1,1960s|childhood|friendship|love|the beatles,75,English,UK,,7.2,2.35
603,10000,,Drama,Marlon Brando,A Streetcar Named Desire ,78454,Kim Hunter,0,brother in law sister in law relationship|expectant father|histrionic personality disorder|middle aged woman|off screen rape,233,English,USA,1800000,8.0,1.37
0,654,,Comedy,George C. Scott,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,342585,Keenan Wynn,0,bomber|doomsday|general|u.s. president|war room,839,English,USA,1800000,8.5,1.66
12,201,5709616,Drama|Romance,Damián Alcázar,El crimen del padre Amaro ,11088,Pedro Armendáriz Jr.,0,church|love|mexico|politics|priest,110,Spanish,Mexico,1800000,6.8,1.85
188,2000,12784397,Drama|Fantasy,Quvenzhané Wallis,Beasts of the Southern Wild ,70336,Dwight Henry,0,auroch|community|hospital|illness|six year old,269,English,USA,1800000,7.3,1.85
88,595,,Action|Sci-Fi,Roddy McDowall,Battle for the Planet of the Apes ,22764,Claude Akins,4,ape|general|gorilla|outer space|planet of the apes,91,English,USA,1800000,5.5,2.35
9,767,3050934,Drama|Music,Aidan Quinn,Songcatcher ,2794,Jane Adams,1,doctor|mountain|musician|song|university,78,English,USA,1800000,7.3,1.85
0,553,841206,Drama,Donna Murphy,Higher Ground ,2603,Michael Chernus,0,1960s|belief in the afterlife|domestic violence|faith|minister,34,English,USA,,6.3,1.85
0,141,,Comedy|Romance,Hansika Motwani,Vaalu ,563,Brahmanandam,2,,6,Tamil,India,150000000,5.1,
293,16000,638476,Comedy|Documentary,Quentin Tarantino,The Greatest Movie Ever Sold ,13223,Donald Trump,1,advertising|movie in title|product placement,45,English,USA,1500000,6.6,
0,12000,,Comedy|Horror,Steve Buscemi,Ed and His Dead Mother ,1435,Jon Gries,0,based on ed gein|dog|hyperactive|macabre|zombie,17,English,USA,1800000,6.1,1.78
28,0,505295,Adventure|Drama,Tshewang Dendup,Travelers and Magicians ,1747,Sonam Kinga,0,bhutan|buddhist|monk|storytelling|weaver,28,Dzongkha,Australia,1800000,7.5,1.85
57,16000,,Western,Clint Eastwood,Hang 'Em High ,25472,Alan Hale Jr.,3,imperative in title|judge|marshal|murder|vigilante,109,English,USA,1800000,7.0,1.85
174,2000,,Crime|Drama|Film-Noir,Humphrey Bogart,Deadline - U.S.A. ,1756,Kim Hunter,0,editor|gangster|newspaper|organized crime|press,28,English,USA,,7.2,1.37
15,647,,Horror|Thriller,George Newbern,Sublime ,6267,Cas Anvar,0,birthday|birthday party|colonoscopy|hospital|surgery,103,English,USA,1800000,5.3,2.35
9,467,,Comedy|Horror|Thriller,Kimberley Crossman,A Beginner's Guide to Snuff ,13,Bree Williamson,0,,,English,USA,,8.7,
