director_name,director_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,actor_3_name,language,country,content_rating,budget,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Peter Hyams,0,1891821,Action|Adventure|Horror|Sci-Fi|Thriller,David Oyelowo,A Sound of Thunder ,16474,Jemima Rooper,English,UK,PG-13,52000000,307,4.2,2.35,785
Paul W.S. Anderson,545,23219748,Action|Adventure|Drama|History|Romance,Sasha Roiz,Pompeii ,84508,Dylan Schombing,English,Canada,PG-13,80000000,172,5.6,2.35,20000
Andrés Couturier,0,,Animation|Family,Sariann Monaco,Top Cat Begins ,230,Ben Diskin,Spanish,Mexico,PG,8000000,94,4.4,,138
Ron Howard,2000,170708996,Biography|Drama,Adam Goldberg,A Beautiful Mind ,610568,Judd Hirsch,English,USA,PG-13,58000000,592,8.2,1.85,29000
Roger Allers,28,422783777,Adventure|Animation|Drama|Family|Musical,Matthew Broderick,The Lion King ,644348,Niketa Calame,English,USA,G,45000000,886,8.5,1.66,17000
Brad Peyton,62,103812241,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,Josh Hutcherson,Journey 2: The Mysterious Island ,67296,Kristin Davis,English,USA,PG,79000000,12000,5.8,1.85,0
Cody Cameron,18,119793567,Animation|Comedy|Family|Fantasy|Sci-Fi,Will Forte,Cloudy with a Chance of Meatballs 2 ,64387,Melissa Sturm,English,USA,PG,78000000,161,6.5,2.35,15000
Brett Ratner,420,92930005,Crime|Drama|Thriller,Philip Seymour Hoffman,Red Dragon ,204063,Emily Watson,English,Germany,R,78000000,12000,7.2,2.35,0
Joe Johnston,394,67286731,Action|Adventure|Western,J.K. Simmons,Hidalgo ,67856,Peter Mensah,English,USA,PG-13,100000000,10000,6.7,2.35,0
Dennis Dugan,221,74158157,Comedy,Al Pacino,Jack and Jill ,60370,Tim Meadows,English,USA,PG,79000000,11000,3.4,1.85,0
John Singleton,309,127083765,Action|Crime|Thriller,Paul Walker,2 Fast 2 Furious ,191912,Mo Gallini,English,USA,PG-13,76000000,787,5.9,2.35,0
Mark Osborne,54,1339152,Adventure|Animation|Drama|Family|Fantasy,Jeff Bridges,The Little Prince ,28276,Mackenzie Foy,English,France,PG,81200000,11000,7.8,2.35,31000
Oliver Hirschbiegel,101,15071514,Sci-Fi|Thriller,Roger Rees,The Invasion ,65037,Jeremy Northam,English,USA,PG-13,80000000,422,5.9,1.85,0
Des McAnuff,5,26000610,Adventure|Animation|Comedy|Family|Fantasy,Robert De Niro,The Adventures of Rocky & Bullwinkle ,16611,Jonathan Winters,English,USA,PG,76000000,1000,4.1,1.85,413
Yarrow Cheney,11,323505540,Animation|Comedy|Family,Steve Coogan,The Secret Life of Pets ,24407,Albert Brooks,English,Japan,PG,75000000,904,6.8,1.85,36000
Stephen Norrington,45,66462600,Action|Adventure|Fantasy|Sci-Fi,Jason Flemyng,The League of Extraordinary Gentlemen ,141533,Tony Curran,English,USA,PG-13,78000000,872,5.8,2.35,0
Pierre Coffin,275,368049635,Animation|Comedy|Family|Sci-Fi,Steve Carell,Despicable Me 2 ,286877,Steve Coogan,English,USA,PG,76000000,2000,7.5,1.85,56000
Roland Emmerich,776,306124059,Action|Adventure|Sci-Fi,Will Smith,Independence Day ,430055,Mary McDonnell,English,USA,PG-13,75000000,2000,6.9,2.35,16000
Steven Spielberg,14000,229074524,Action|Adventure|Sci-Fi,Ariana Richards,The Lost World: Jurassic Park ,278362,Vanessa Lee Chester,English,USA,PG-13,73000000,506,6.5,1.85,0
Eric Darnell,35,193136719,Adventure|Animation|Comedy|Family,Jada Pinkett Smith,Madagascar ,266636,Andy Richter,English,USA,PG,75000000,436,6.9,1.85,0
Alfonso Cuarón,0,35286428,Drama|Sci-Fi|Thriller,Charlie Hunnam,Children of Men ,361767,Rita Davies,English,USA,R,76000000,430,7.9,1.85,17000
Bryan Singer,0,157299717,Action|Adventure|Sci-Fi,Hugh Jackman,X-Men ,452928,Bruce Davison,English,USA,PG-13,75000000,764,7.4,2.35,0
Timur Bekmambetov,335,134568845,Action|Crime|Fantasy|Thriller,Angelina Jolie Pitt,Wanted ,299852,Common,English,USA,R,75000000,11000,6.7,2.35,0
Michael Bay,0,134006721,Action|Adventure|Thriller,Nicolas Cage,The Rock ,259492,Bokeem Woodbine,English,USA,R,75000000,2000,7.4,2.35,51000
Carlos Saldanha,107,195329763,Action|Adventure|Animation|Comedy|Family|Fantasy,Denis Leary,Ice Age: The Meltdown ,194249,Jay Leno,English,USA,PG,80000000,590,6.9,1.85,0
Peter Segal,88,120776832,Comedy|Romance,Adam Sandler,50 First Dates ,266103,Allen Covert,English,USA,PG-13,75000000,427,6.8,2.35,11000
Adam Shankman,163,118823091,Comedy|Drama|Family|Music|Musical|Romance,Jerry Stiller,Hairspray ,98693,Paul Dooley,English,USA,PG,75000000,339,6.7,2.35,0
Renny Harlin,212,41814863,Horror|Mystery|Thriller,James D'Arcy,Exorcist: The Beginning ,28635,Izabella Scorupco,English,USA,R,50000000,422,5.1,2.0,893
David Kellogg,16,97360069,Action|Adventure|Comedy|Family|Sci-Fi,Matthew Broderick,Inspector Gadget ,36491,Rupert Everett,English,USA,PG,75000000,710,4.1,1.85,509
Louis Leterrier,255,117698894,Crime|Mystery|Thriller,Morgan Freeman,Now You See Me ,447979,Michael Kelly,English,USA,PG-13,75000000,988,7.3,2.35,105000
Dennis Dugan,221,162001186,Comedy,Steve Buscemi,Grown Ups ,181443,Salma Hayek,English,USA,PG-13,80000000,11000,6.0,1.85,12000
Steven Spielberg,14000,77032279,Comedy|Drama,Tom Hanks,The Terminal ,303864,Barry Shabaka Henley,English,USA,PG-13,60000000,466,7.3,1.85,16000
,,,Drama|Fantasy|Horror|Thriller,Harold Perrineau,Constantine             ,36919,Charles Halford,English,USA,TV-14,,560,7.5,16.0,10000
Thor Freudenthal,87,73023275,Comedy|Family,Don Cheadle,Hotel for Dogs ,16271,Yvette Nicole Brown,English,USA,PG,35000000,576,5.4,1.85,1000
Martin Campbell,258,68473360,Action|Adventure|Drama|Thriller,Nicholas Lea,Vertical Limit ,49536,Ben Mendelsohn,English,USA,PG-13,75000000,826,5.9,1.85,0
Mike Nichols,0,66636385,Biography|Comedy|Drama|History,Philip Seymour Hoffman,Charlie Wilson's War ,88451,Jud Tylor,English,USA,R,75000000,15000,7.1,1.85,0
Bibo Bergeron,10,160762022,Adventure|Animation|Comedy|Family,Robert De Niro,Shark Tale ,132415,Angelina Jolie Pitt,English,USA,PG,75000000,17000,6.0,1.85,0
Bill Condon,386,103338338,Drama|Music|Musical,Loretta Devine,Dreamgirls ,55901,Anika Noni Rose,English,USA,PG-13,70000000,549,6.5,2.35,0
,,,Crime|Drama|Mystery,Adam Arkin,Life             ,29450,Damian Lewis,English,USA,,,130,8.3,,0
F. Gary Gray,473,55808744,Comedy|Crime|Music,Dwayne Johnson,Be Cool ,59435,Debi Mazar,English,USA,PG-13,53000000,1000,5.7,2.4,0
Steven Spielberg,14000,47379090,Drama|History|Thriller,Ayelet Zurer,Munich ,176936,Mathieu Amalric,English,France,R,70000000,486,7.6,2.35,0
Antoine Fuqua,845,43426961,Action|Drama|Thriller|War,Bruce Willis,Tears of the Sun ,93494,Cole Hauser,English,USA,R,70000000,1000,6.6,2.35,0
Robert Luketic,126,47000485,Action|Comedy|Romance|Thriller,Tom Selleck,Killers ,72867,Catherine O'Hara,English,USA,PG-13,75000000,1000,5.4,2.35,0
Guy Ritchie,0,45434443,Action|Adventure|Comedy,Henry Cavill,The Man from U.N.C.L.E. ,175960,Christian Berkel,English,USA,PG-13,75000000,509,7.3,2.35,43000
James L. Brooks,274,42044321,Comedy|Drama|Romance,Adam Sandler,Spanglish ,65668,Sarah Steele,English,USA,PG-13,80000000,964,6.5,1.85,0
Gil Kenan,27,73661010,Animation|Comedy|Family|Fantasy|Mystery,Steve Buscemi,Monster House ,71137,Catherine O'Hara,English,USA,PG,75000000,970,6.6,2.35,0
Barry Levinson,272,41523271,Comedy|Crime|Drama|Romance,Bruce Willis,Bandits ,57038,Azura Skye,English,USA,PG-13,80000000,450,6.6,2.35,0
Jerry Zucker,109,37600435,Action|Adventure|Romance|Thriller,Julia Ormond,First Knight ,55350,John Gielgud,English,USA,PG-13,55000000,303,5.9,1.85,0
Andy Tennant,72,39251128,Drama|History|Romance,Bai Ling,Anna and the King ,31080,Randall Duk Kim,English,USA,PG-13,75000000,103,6.7,2.35,0
Tarsem Singh,763,83503161,Action|Drama|Fantasy|Romance,Henry Cavill,Immortals ,138190,Steve Byers,English,USA,R,75000000,1000,6.1,1.85,30000
Florent-Emilio Siri,17,34636443,Action|Crime|Drama|Mystery|Thriller,Jimmy Bennett,Hostage ,93790,Ransford Doherty,English,USA,R,52000000,13000,6.6,2.35,0
Don Bluth,383,22751979,Action|Adventure|Animation|Family|Sci-Fi,Matt Damon,Titan A.E. ,52244,Nathan Lane,English,USA,PG,75000000,1000,6.6,2.35,0
Ron Shelton,41,30013346,Action|Comedy|Crime|Thriller,Harrison Ford,Hollywood Homicide ,31293,Lena Olin,English,USA,PG-13,75000000,982,5.3,2.35,648
Paul W.S. Anderson,545,14567883,Action|Drama|Sci-Fi,Connie Nielsen,Soldier ,44248,Jason Scott Lee,English,UK,R,75000000,722,6.0,2.35,0
David Pastor,10,90820,Drama|Horror|Sci-Fi|Thriller,Christopher Meloni,Carriers ,35510,Lou Taylor Pucci,English,USA,PG-13,,552,6.0,2.35,0
Henry Selick,253,5409517,Animation|Comedy|Fantasy,Brendan Fraser,Monkeybone ,14280,Megan Mullally,English,USA,PG-13,75000000,889,4.7,1.85,683
John Moore,212,21009180,Action|Adventure|Drama|Thriller,Dennis Quaid,Flight of the Phoenix ,45815,Miranda Otto,English,USA,PG-13,45000000,845,6.1,2.35,1000
M. Night Shyamalan,0,94999143,Drama|Mystery|Sci-Fi|Thriller,Robin Wright,Unbreakable ,245152,Michael Kelly,English,USA,PG-13,75000000,13000,7.2,2.35,0
Kyle Balda,22,336029560,Action|Animation|Comedy|Family|Sci-Fi,Steve Carell,Minions ,142403,Steve Coogan,English,USA,PG,74000000,4000,6.4,1.85,70000
Zack Snyder,0,36381716,Action|Fantasy,Jon Hamm,Sucker Punch ,197584,Scott Glenn,English,USA,PG-13,82000000,2000,6.1,2.35,42000
Brian De Palma,0,55585389,Crime|Mystery|Thriller,Nicolas Cage,Snake Eyes ,64121,John Heard,English,USA,R,69000000,854,5.9,2.35,880
Barry Levinson,272,36976367,Drama|Mystery|Sci-Fi|Thriller,Peter Coyote,Sphere ,81611,Huey Lewis,English,USA,PG-13,75000000,270,6.0,2.35,0
Clay Kaytis,6,107225164,Action|Animation|Comedy|Family,Peter Dinklage,The Angry Birds Movie ,27130,Keegan-Michael Key,English,USA,PG,73000000,1000,6.3,1.85,14000
Andy Tennant,72,70224196,Action|Adventure|Comedy|Romance|Thriller,Matthew McConaughey,Fool's Gold ,59352,Alexis Dziena,English,USA,PG-13,70000000,1000,5.6,2.35,0
Judd Apatow,0,51814190,Comedy|Drama,Adam Sandler,Funny People ,100837,Maude Apatow,English,USA,R,75000000,561,6.4,1.85,0
Peter Berg,532,47456450,Action|Drama|Thriller,Jennifer Garner,The Kingdom ,101386,Tim McGraw,English,USA,R,70000000,638,7.1,2.35,0
Adam McKay,285,148213377,Action|Comedy|Sport,Will Ferrell,Talladega Nights: The Ballad of Ricky Bobby ,130776,Gary Cole,English,USA,PG-13,73000000,1000,6.6,2.35,0
Steve Carr,41,112950721,Comedy|Family|Fantasy,Raven-Symoné,Dr. Dolittle 2 ,33884,Kevin Pollak,English,USA,PG,72000000,692,4.6,2.35,266
Mel Gibson,0,75600000,Biography|Drama|History|War,Mhairi Calvey,Braveheart ,736638,James Robinson,English,USA,R,72000000,466,8.4,2.35,17000
Sam Mendes,0,62647540,Action|Drama|War,Jake Gyllenhaal,Jarhead ,143525,James Morrison,English,Germany,R,70000000,383,7.1,2.35,0
David Silverman,30,183132370,Adventure|Animation|Comedy,Albert Brooks,The Simpsons Movie ,259083,Marcia Wallace,English,USA,PG-13,75000000,440,7.4,2.35,0
Frank Darabont,0,27796042,Drama|Romance,Martin Landau,The Majestic ,45031,Jeffrey DeMunn,English,USA,PG,72000000,826,6.9,1.85,0
Renny Harlin,212,32616869,Action|Drama|Sport,Sylvester Stallone,Driven ,34435,Cristián de la Fuente,English,USA,PG-13,72000000,658,4.5,2.35,886
Jean-Jacques Annaud,218,18947630,Adventure|Drama|Family,David Gant,Two Brothers ,11798,Oanh Nguyen,English,France,PG,59660000,17,7.1,2.35,2000
M. Night Shyamalan,0,114195633,Drama|Mystery|Romance|Thriller,Bryce Dallas Howard,The Village ,193770,William Hurt,English,USA,PG-13,60000000,2000,6.5,1.85,0
Betty Thomas,84,144156464,Comedy|Family|Fantasy,Oliver Platt,Doctor Dolittle ,74343,Peter Boyle,English,USA,PG-13,71500000,1000,5.3,1.85,694
M. Night Shyamalan,0,227965690,Drama|Sci-Fi|Thriller,Rory Culkin,Signs ,271592,Cherry Jones,English,USA,PG-13,72000000,529,6.7,1.85,0
Andrew Adamson,80,436471036,Adventure|Animation|Comedy|Family|Fantasy|Romance,Rupert Everett,Shrek 2 ,314630,Conrad Vernon,English,USA,PG,150000000,309,7.2,1.85,0
John Lasseter,487,244052771,Adventure|Animation|Comedy|Family|Sport,John Ratzenberger,Cars ,263853,George Carlin,English,USA,G,120000000,843,7.2,2.35,0
Garry Marshall,0,152149590,Comedy|Romance,Julia Roberts,Runaway Bride ,74274,Hector Elizondo,English,USA,PG,70000000,3000,5.5,2.35,0
Rob Cohen,357,141204016,Action|Adventure|Thriller,Vin Diesel,xXx ,142569,Leila Arcieri,English,USA,PG-13,70000000,223,5.8,2.35,10000
Paul Tibbitt,5,162495848,Adventure|Animation|Comedy|Family|Fantasy,Tim Conway,The SpongeBob Movie: Sponge Out of Water ,34359,Eddie Deezen,English,USA,PG,74000000,861,6.0,1.85,16000
Ron Howard,2000,136448821,Crime|Thriller,Lili Taylor,Ransom ,98989,Rene Russo,English,USA,R,80000000,848,6.6,1.85,1000
Quentin Tarantino,16000,120523073,Adventure|Drama|War,Michael Fassbender,Inglourious Basterds ,885175,Christoph Waltz,English,USA,R,75000000,11000,8.3,2.35,42000
Steven Spielberg,14000,119654900,Adventure|Comedy|Family|Fantasy,Robin Williams,Hook ,182802,Bob Hoskins,English,USA,PG,70000000,8000,6.7,2.35,13000
Brett Ratner,420,72660029,Action|Adventure,Dwayne Johnson,Hercules ,115687,Ingrid Bolsø Berdal,English,USA,PG-13,100000000,3000,6.0,2.35,21000
Renny Harlin,212,117541000,Action|Thriller,Bruce Willis,Die Hard 2 ,269858,Franco Nero,English,USA,R,70000000,982,7.1,2.35,0
Clark Johnson,69,116643346,Action|Adventure|Crime|Thriller,Jeremy Renner,S.W.A.T. ,119807,LL Cool J,English,USA,PG-13,80000000,1000,6.0,2.35,0
,,,Adventure|Drama|Fantasy|Mystery|Thriller,Nicole Beharie,Sleepy Hollow             ,49049,Lyndie Greenwood,English,USA,TV-14,,372,7.5,16.0,14000
Cameron Crowe,488,100614858,Fantasy|Mystery|Romance|Sci-Fi|Thriller,Tom Cruise,Vanilla Sky ,206776,Noah Taylor,English,USA,R,68000000,834,6.9,1.85,0
M. Night Shyamalan,0,42272747,Drama|Fantasy|Mystery|Thriller,Bryce Dallas Howard,Lady in the Water ,78635,Bob Balaban,English,USA,PG-13,70000000,579,5.6,1.85,0
Paul W.S. Anderson,545,80281096,Action|Horror|Sci-Fi|Thriller,Sanaa Lathan,AVP: Alien vs. Predator ,143628,Raoul Bova,English,USA,PG-13,60000000,766,5.6,2.35,0
Betty Thomas,84,219613391,Animation|Comedy|Family|Fantasy|Music,Amy Poehler,Alvin and the Chipmunks: The Squeakquel ,31649,Jesse McCartney,English,USA,PG,75000000,1000,4.5,1.85,2000
Randall Wallace,130,78120196,Action|Drama|History|War,Jon Hamm,We Were Soldiers ,103241,Chris Klein,English,USA,R,75000000,973,7.1,2.35,5000
Antoine Fuqua,845,98895417,Action|Thriller,Gerard Butler,Olympus Has Fallen ,203154,Radha Mitchell,English,USA,R,70000000,11000,6.5,2.35,45000
Jonathan Frakes,906,70117571,Action|Adventure|Sci-Fi|Thriller,LeVar Burton,Star Trek: Insurrection ,56741,Michael Dorn,English,USA,PG,58000000,906,6.4,2.35,1000
Jonathan Liebesman,473,83552429,Action|Sci-Fi,Noel Fisher,Battle Los Angeles ,154955,Ramon Rodriguez,English,USA,PG-13,70000000,697,5.8,2.35,25000
Tim Burton,13000,66257002,Adventure|Drama|Fantasy,Steve Buscemi,Big Fish ,350698,Albert Finney,English,USA,PG-13,70000000,1000,8.0,1.37,26000
Mike Nichols,0,65012000,Drama|Horror|Romance|Thriller,David Hyde Pierce,Wolf ,43559,Ron Rifkin,English,USA,R,70000000,277,6.2,1.85,0
Steven Spielberg,14000,79883359,Drama|War,Jeremy Irvine,War Horse ,116159,Eddie Marsan,English,USA,PG-13,66000000,19000,7.2,2.35,28000
George Clooney,0,78031620,Drama|War,Bill Murray,The Monuments Men ,102248,Bob Balaban,English,USA,PG-13,70000000,13000,6.1,2.35,34000
James Cameron,0,54222000,Adventure|Drama|Sci-Fi|Thriller,Michael Biehn,The Abyss ,131217,Mary Elizabeth Mastrantonio,English,USA,PG-13,69500000,650,7.6,2.35,0
Oliver Stone,0,52474616,Drama,Frank Langella,Wall Street: Money Never Sleeps ,84118,John Buffalo Mailer,English,USA,PG-13,70000000,592,6.3,2.35,13000
Gary Shore,28,55942830,Action|Drama|Fantasy|Horror|War,Dominic Cooper,Dracula Untold ,138582,Zach McGowan,English,USA,PG-13,70000000,692,6.3,2.35,37000
Edward Zwick,380,40932372,Action|Thriller,Denzel Washington,The Siege ,58023,Mark Valley,English,USA,R,70000000,13000,6.3,2.35,0
Matthew Vaughn,905,38345403,Adventure|Family|Fantasy|Romance,Henry Cavill,Stardust ,212085,Nathaniel Parker,English,UK,PG-13,70000000,588,7.7,2.35,15000
Jean-Jacques Annaud,218,37901509,Adventure|Biography|Drama|History|War,Brad Pitt,Seven Years in Tibet ,96385,Victor Wong,English,USA,PG-13,70000000,691,7.0,2.35,0
Ron Howard,2000,48430355,Comedy|Drama,Channing Tatum,The Dilemma ,43709,Chelcie Ross,English,USA,PG-13,70000000,1000,5.3,2.35,0
Joel Schumacher,541,30157016,Action|Adventure|Comedy|Thriller,Anthony Hopkins,Bad Company ,39659,Garcelle Beauvais,English,USA,PG-13,70000000,405,5.6,2.35,792
Andrzej Bartkowiak,43,28031250,Action|Adventure|Horror|Sci-Fi,Dwayne Johnson,Doom ,88146,Dexter Fletcher,English,UK,R,60000000,585,5.2,2.35,0
Betty Thomas,84,33105600,Action|Adventure|Comedy|Thriller,Gary Cole,I Spy ,41663,Tate Taylor,English,USA,PG-13,70000000,229,5.4,1.37,531
Måns Mårlind,24,62321039,Action|Fantasy|Horror,Theo James,Underworld: Awakening ,117096,Sandrine Holt,English,USA,R,70000000,327,6.4,2.35,24000
Adam Shankman,163,38509342,Comedy|Drama|Musical|Romance,James Martin Kelly,Rock of Ages ,61995,Celina Beach,English,USA,PG-13,75000000,217,5.9,2.35,33000
Gregory Hoblit,40,19076815,Drama|War,Bruce Willis,Hart's War ,43651,Rory Cochrane,English,USA,R,60000000,787,6.3,2.35,997
Gary McKendry,5,25093607,Action|Crime|Thriller,Jason Statham,Killer Elite ,105556,Ben Mendelsohn,English,UK,R,35000000,22000,6.5,2.35,17000
John McTiernan,323,18990542,Action|Sci-Fi|Sport,LL Cool J,Rollerball ,22264,Andrew Bryniarski,English,USA,R,70000000,841,3.0,2.35,584
Wych Kaosayananda,8,14294842,Action|Crime|Sci-Fi|Thriller,Talisa Soto,Ballistic: Ecks vs. Sever ,16761,Gregg Henry,English,USA,R,70000000,324,3.6,2.35,391
Mikael Salomon,13,19819494,Action|Crime|Drama|Thriller,Morgan Freeman,Hard Rain ,26893,Randy Quaid,English,USA,R,70000000,893,5.8,2.35,815
Bobby Farrelly,101,13596911,Action|Adventure|Animation|Comedy|Crime|Family|Fantasy,Ron Howard,Osmosis Jones ,25572,David Hyde Pierce,English,USA,PG,70000000,509,6.2,2.35,2000
Will Finn,6,8460990,Adventure|Animation|Family|Fantasy|Musical,Lea Michele,Legends of Oz: Dorothy's Return ,5116,Jim Belushi,English,USA,PG,70000000,1000,5.6,,5000
Michael Mann,0,7097125,Action|Crime|Drama|Mystery|Thriller,Chris Hemsworth,Blackhat ,38983,Brandon Molale,English,USA,R,70000000,326,5.4,2.35,11000
Kerry Conran,14,37760080,Action|Adventure|Mystery|Sci-Fi|Thriller,Angelina Jolie Pitt,Sky Captain and the World of Tomorrow ,72868,Bai Ling,English,USA,PG,70000000,1000,6.1,1.85,0
