num_critic_for_reviews,actor_1_facebook_likes,gross,num_user_for_reviews,language,country,budget,title_year,imdb_score,aspect_ratio,movie_facebook_likes
181,6000,66002193,144,English,USA,110000000,2016,5.8,2.35,12000
327,20000,85463309,426,English,USA,110000000,2011,7.1,2.35,36000
125,681,71017784,59,English,USA,105000000,2013,5.4,1.85,0
79,673,48068396,248,English,USA,160000000,1997,3.7,2.35,894
326,11000,61656849,554,English,USA,110000000,2013,6.7,2.35,123000
354,13000,134520804,782,English,USA,110000000,2007,7.2,2.35,0
297,16000,313837577,5060,English,New Zealand,93000000,2001,8.8,2.35,21000
188,1000,24004159,191,English,USA,110000000,2004,5.8,2.35,0
174,10000,58183966,386,English,USA,107000000,2001,6.8,2.35,0
109,760,100446895,456,English,USA,109000000,2003,3.8,1.85,946
225,10000,144795350,789,English,USA,120000000,2004,7.1,2.35,0
239,14000,47396698,942,English,USA,130000000,2005,7.2,2.35,0
101,979,140015224,179,English,Germany,133000000,1999,5.9,1.85,0
228,852,104374107,214,English,USA,105000000,2009,7.1,1.85,5000
568,13000,228430993,1023,English,USA,108000000,2015,8.1,2.35,153000
,5,,,,,,,7.2,,0
257,19000,35799026,899,English,USA,126000000,2005,6.9,2.35,0
62,752,6712451,89,English,New Line,90000000,2001,4.4,1.85,53
175,12000,101643008,498,English,USA,90000000,2000,6.5,2.35,0
265,3000,187670866,2368,English,USA,103000000,2000,8.5,2.35,21000
252,10000,132014112,1331,English,USA,102000000,2002,7.7,2.35,0
232,11000,261970615,858,English,UK,100000000,2002,7.4,2.35,0
400,6000,167007184,2301,English,UK,150000000,2006,8.0,2.35,0
230,1000,180011740,1368,English,USA,100000000,2001,5.7,2.35,0
210,780,204843350,983,English,USA,102000000,1991,8.5,2.35,13000
357,40000,97030725,585,English,USA,100000000,2009,7.0,2.35,0
300,18000,130127620,458,English,USA,100000000,2007,7.8,1.85,0
94,2000,146282411,351,English,USA,115000000,1994,7.2,2.35,0
267,18000,65452312,285,English,USA,100000000,2009,6.4,2.35,0
180,22000,148383780,152,English,USA,100000000,2010,5.5,1.85,0
265,12000,119219978,316,English,USA,100000000,2010,6.7,2.35,16000
81,1000,101228120,131,English,USA,100000000,1996,6.1,2.35,0
765,29000,162804648,1193,English,USA,100000000,2012,8.5,2.35,199000
80,2000,100117603,230,English,USA,100000000,1996,6.9,1.78,0
141,558,89296573,297,English,USA,100000000,2000,7.3,1.66,0
383,26000,85017401,474,English,USA,92000000,2012,6.7,2.35,108000
193,12000,173005002,692,English,USA,100000000,2004,6.9,2.35,0
170,3000,75030163,1690,English,USA,100000000,2006,5.1,2.35,0
333,925,77222184,388,English,Germany,100000000,2009,6.8,2.35,11000
256,20000,34964818,186,English,USA,150000000,2015,5.8,2.35,24000
203,14000,107515297,113,English,USA,100000000,2013,6.7,2.35,17000
321,40000,67631157,374,English,USA,100000000,2010,6.0,2.35,25000
174,1000,66862068,524,English,USA,83000000,1999,5.7,2.35,2000
166,29000,57366262,657,English,Germany,100000000,2006,8.0,2.35,14000
606,29000,116866727,1138,English,USA,100000000,2013,8.2,2.35,138000
144,920,184031112,539,English,USA,100000000,1995,5.4,1.85,0
192,660,54700065,1049,English,USA,105000000,1997,7.2,1.85,0
511,15000,27098580,828,English,Germany,102000000,2012,7.5,2.35,124000
188,2000,55673333,160,English,USA,80000000,2010,7.0,2.35,16000
212,827,40198710,660,English,USA,100000000,2004,3.3,2.35,0
245,12000,72660029,269,English,USA,100000000,2014,6.0,2.35,21000
127,23000,38120554,217,English,USA,140000000,2002,7.1,1.5,0
167,8000,49392095,224,English,USA,100000000,2009,5.4,1.85,0
320,26000,39292022,351,English,USA,90000000,2014,6.1,2.35,56000
163,1000,28772222,163,English,USA,105000000,2015,5.3,2.35,37000
78,490,17010646,239,English,USA,84000000,2005,2.2,1.85,881
289,26000,24985612,161,English,USA,100000000,2015,7.0,1.85,27000
66,3000,4411102,164,English,USA,100000000,2002,3.8,1.85,416
266,13000,35024475,261,English,France,100000000,2010,6.9,2.35,0
208,144,130174897,155,English,USA,99000000,2015,7.2,1.85,33000
97,623,10200000,263,English,USA,10000000,1997,7.3,1.85,578
202,12000,202007640,890,English,USA,98000000,2001,6.3,2.35,0
233,29000,77679638,1166,English,USA,100000000,2002,7.5,2.35,0
136,23000,9213,130,Mandarin,China,94000000,2011,7.6,2.35,13000
154,12000,58867694,112,English,USA,100000000,2007,6.8,1.85,0
169,11000,59475623,407,English,USA,90000000,2004,5.2,1.85,0
200,2000,108638745,1103,English,USA,92000000,2001,7.7,2.35,10000
255,8000,86897182,177,English,USA,95000000,2012,6.2,1.85,18000
173,14000,63540020,742,English,France,93000000,1997,7.7,2.35,18000
221,962,95328937,293,English,USA,100000000,2010,4.3,1.85,0
82,2000,50802661,139,English,USA,95000000,2000,6.9,1.85,0
233,22000,161317423,139,English,USA,95000000,2012,6.6,2.35,14000
343,2000,201148159,322,English,USA,95000000,2015,7.0,2.35,56000
308,873,43982842,593,English,USA,65000000,2009,6.7,2.35,16000
301,1000,380838870,866,English,USA,94000000,2003,8.2,1.85,11000
328,5000,377019252,3189,English,USA,94000000,2003,8.9,2.35,16000
294,16000,340478898,2417,English,USA,94000000,2002,8.7,2.35,10000
175,12000,17176900,154,English,USA,95000000,2014,5.5,2.35,16000
199,11000,131144183,824,English,USA,115000000,2001,5.7,2.35,0
355,40000,23014504,462,English,UK,100000000,2014,6.3,2.35,37000
198,693,181166115,1236,English,USA,93000000,2001,5.9,1.85,0
529,11000,176740650,646,English,USA,93000000,2011,7.6,2.35,47000
198,770,71148699,125,English,USA,90000000,2008,6.6,2.35,0
412,13000,67344392,503,English,USA,92000000,2013,5.3,1.85,66000
106,2000,22406362,267,English,USA,107000000,2004,6.0,2.35,701
283,1000,261437578,815,English,USA,92000000,2004,8.0,2.35,0
61,1000,11000000,169,English,USA,98000000,1995,5.6,2.35,1000
217,8000,88761720,419,English,UK,95000000,2010,5.9,2.35,9000
175,10000,250147615,289,English,USA,90000000,1997,7.3,1.85,0
191,15000,245823397,515,English,USA,90000000,1999,7.9,1.85,0
316,18000,81557479,326,English,USA,100000000,2010,6.8,2.35,18000
127,191,226138454,394,English,USA,90000000,2001,6.6,2.35,0
185,11000,155370362,683,English,USA,100000000,2000,6.6,2.35,0
191,622,124870275,156,English,USA,100000000,2009,7.0,2.35,0
188,835,196573705,132,English,USA,90000000,2009,7.0,1.85,0
362,3000,58229120,515,English,USA,90000000,2013,7.3,2.35,70000
181,13000,125305545,643,English,USA,92000000,2000,5.5,2.35,0
352,29000,132373442,2054,English,USA,90000000,2006,8.5,2.35,29000
143,2000,120618403,222,English,USA,90000000,1998,7.5,1.66,12000
308,21000,110416702,577,English,USA,92000000,2008,7.0,2.35,0
517,18000,102515793,632,English,USA,90000000,2011,7.8,2.35,54000
148,13000,100012500,346,English,USA,90000000,1995,7.6,2.35,0
415,21000,209019489,621,English,USA,90000000,2009,7.6,1.85,20000
1,11000,,1,English,USA,,2016,6.1,2.35,0
146,12000,84037039,289,English,USA,120000000,2001,6.8,2.35,0
70,35000,85884815,53,English,USA,90000000,2015,5.0,1.85,0
269,10000,83077470,440,English,USA,75000000,2008,7.1,1.85,0
198,11000,100018837,380,English,USA,90000000,2008,5.5,1.85,0
253,22000,78747585,342,English,USA,88000000,2015,5.6,2.35,39000
281,3000,78616689,2153,English,USA,100000000,2001,7.1,1.85,11000
122,691,75817994,179,English,USA,90000000,2003,4.9,2.35,988
