director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_2_name,actor_1_facebook_likes,genres,actor_1_name,num_voted_users,actor_3_name,plot_keywords,movie_imdb_link,num_user_for_reviews,country,budget
Alex Proyas,118,98,295,Bai Ling,720,Action|Drama|Fantasy,Michael Wincott,136580,David Patrick Kelly,back from the dead|crime boss|crow|gothic|vigilante,http://www.imdb.com/title/tt0109506/?ref_=fn_tt_tt_1,545,USA,23000000
S.S. Rajamouli,44,159,50,Anushka Shetty,218,Action|Adventure|Drama|Fantasy|War,Tamannaah Bhatia,62756,Prabhas,ancient india|dual role|good versus evil|hindu|kingdom,http://www.imdb.com/title/tt2631186/?ref_=fn_tt_tt_1,410,India,18026148
Robert Schwentke,214,107,124,Brooklynn Proulx,152,Drama|Fantasy|Romance|Sci-Fi,Arliss Howard,114925,Michelle Nolden,jumping on a bed|kissing while having sex|librarian|male objectification|pregnant woman in bathtub,http://www.imdb.com/title/tt0452694/?ref_=fn_tt_tt_1,234,USA,39000000
Michael Lehmann,110,102,36,Stephen Collins,747,Comedy|Romance,Colin Ferguson,32412,Tom Everett Scott,meddling|psychologist|sobbing female|subtitled scene|you can say that again joke,http://www.imdb.com/title/tt0490084/?ref_=fn_tt_tt_1,184,USA,
Rob Cohen,187,106,357,Vin Diesel,23000,Action|Crime|Thriller,Paul Walker,272227,Jordana Brewster,eighteen wheeler|illegal street racing|truck|trucker|undercover cop,http://www.imdb.com/title/tt0232500/?ref_=fn_tt_tt_1,988,USA,38000000
Tim Burton,370,87,13000,Catherine O'Hara,940,Animation|Comedy|Family|Horror|Sci-Fi,Martin Landau,73886,Atticus Shaffer,dog|life|remake by original director|science|stop motion animation,http://www.imdb.com/title/tt1142977/?ref_=fn_tt_tt_1,165,USA,39000000
Joss Whedon,276,119,0,Sean Maher,2000,Action|Adventure|Sci-Fi|Thriller,Adam Baldwin,242599,Michael Hitchcock,alliance|cannibalism|future|operative|planet,http://www.imdb.com/title/tt0379786/?ref_=fn_tt_tt_1,1594,USA,40000000
Charles S. Dutton,76,110,534,Charles S. Dutton,865,Biography|Drama|Romance|Sport,Omar Epps,5917,Tim Daly,boxer|boxing|boxing arena|boxing manager|directed by co star,http://www.imdb.com/title/tt0312329/?ref_=fn_tt_tt_1,50,USA,39000000
Richard Lester,95,125,44,Robert Vaughn,593,Action|Comedy|Sci-Fi,Margot Kidder,49934,Jackie Cooper,computer|high school|kryptonite|smallville|villain,http://www.imdb.com/title/tt0086393/?ref_=fn_tt_tt_1,224,UK,39000000
Peter Segal,211,113,88,Sylvester Stallone,22000,Comedy|Sport,Robert De Niro,46480,Oscar Gale,broke|promoter|retirement|trainer|training,http://www.imdb.com/title/tt1661382/?ref_=fn_tt_tt_1,115,USA,40000000
John Woo,160,150,610,Tony Chiu Wai Leung,755,Action|Adventure|Drama|History|War,Takeshi Kaneshiro,36894,Wei Zhao,alliance|battle|china|chinese|strategy,http://www.imdb.com/title/tt0425637/?ref_=fn_tt_tt_1,105,China,553632000
Andy Tennant,97,108,72,Mary Lynn Rajskub,982,Comedy|Romance,Ethan Embry,83786,Courtney Gains,alabama|divorce|divorce papers|husband wife relationship|new york city,http://www.imdb.com/title/tt0256415/?ref_=fn_tt_tt_1,392,USA,38000000
Robert Luketic,174,96,126,John Michael Higgins,18000,Comedy|Romance,Gerard Butler,163665,Eric Winter,call in|chick flick|date|hot air balloon|show producer,http://www.imdb.com/title/tt1142988/?ref_=fn_tt_tt_1,169,USA,38000000
Jonathan Lynn,23,93,36,Phil Hartman,592,Comedy,Austin Pendleton,17810,Max Casella,greenland|military|revenge|soldier|u.s. soldier,http://www.imdb.com/title/tt0117608/?ref_=fn_tt_tt_1,73,USA,39000000
Robert Rodriguez,103,100,0,Alexa PenaVega,12000,Action|Adventure|Comedy|Family|Sci-Fi,Steve Buscemi,44885,Emily Osment,island|mad scientist|scientist|sequel|spy,http://www.imdb.com/title/tt0287717/?ref_=fn_tt_tt_1,107,USA,38000000
David Carson,98,118,18,Alan Ruck,1000,Action|Adventure|Mystery|Sci-Fi|Thriller,LeVar Burton,60504,Jonathan Frakes,23rd century|bare chested male bondage|enterprise the starship|rescue|sacrifice,http://www.imdb.com/title/tt0111280/?ref_=fn_tt_tt_1,249,USA,35000000
Kar-Wai Wong,273,122,0,Hye-kyo Song,643,Action|Biography|Drama,Tony Chiu Wai Leung,24557,Elvis Tsui,challenge|china|hong kong|martial arts|martial arts master,http://www.imdb.com/title/tt1462900/?ref_=fn_tt_tt_1,111,Hong Kong,38600000
Francis Lawrence,279,120,508,Christoph Waltz,21000,Drama|Romance,Robert Pattinson,95367,James Frain,circus|circus vargas|elephant|fear|train,http://www.imdb.com/title/tt1067583/?ref_=fn_tt_tt_1,260,USA,38000000
,22,60,,Wayne Knight,23000,Comedy|Family|Sci-Fi,Joseph Gordon-Levitt,38383,Kristen Johnston,alien|digit in title|human form|number 3 in title|talking on a rooftop,http://www.imdb.com/title/tt0115082/?ref_=fn_tt_tt_1,86,USA,
Yuefeng Song,4,88,0,Bianca Collins,76,Adventure|Animation|Family|Fantasy,Blythe Auffarth,2169,Jiao Xu,,http://www.imdb.com/title/tt2911342/?ref_=fn_tt_tt_1,18,China,40000000
Norman Jewison,65,146,278,Vincent Pastore,18000,Biography|Drama|Sport,Denzel Washington,76016,Deborah Kara Unger,african american|book|boxer|boxing|murder,http://www.imdb.com/title/tt0174856/?ref_=fn_tt_tt_1,265,USA,38000000
Michael Apted,98,115,150,Jeff Kober,970,Crime|Drama|Thriller,Bill Cobbs,30667,Billy Campbell,abusive husband|escape|intimate partner homicide|marriage|woman wearing only a man's shirt,http://www.imdb.com/title/tt0278435/?ref_=fn_tt_tt_1,234,USA,38000000
David Mirkin,116,123,7,Anne Bancroft,931,Comedy|Crime|Romance,Sarah Silverman,44168,Jeffrey Jones,bank|infidelity|millionaire|money|scam,http://www.imdb.com/title/tt0125022/?ref_=fn_tt_tt_1,216,USA,35000000
Andy Fickman,76,94,99,Daniella Alonso,598,Action|Comedy|Crime,D.B. Woodside,23473,Eduardo Verástegui,character name in title|no opening credits|sequel|wilhelm scream,http://www.imdb.com/title/tt3450650/?ref_=fn_tt_tt_1,123,USA,30000000
Luis Mandoki,106,102,43,Shirley Knight,308,Drama|Romance,Sonia Braga,19686,Kari Matchett,apartment|fate|gun|love|mysterious man,http://www.imdb.com/title/tt0225071/?ref_=fn_tt_tt_1,180,USA,38000000
John Pasquin,55,98,11,Ken Marino,854,Comedy|Drama,Jim Belushi,8433,Kelly Lynch,bully|co worker|divorce|fight|karate,http://www.imdb.com/title/tt0279889/?ref_=fn_tt_tt_1,85,USA,38000000
Roman Polanski,172,133,2000,Frank Langella,40000,Mystery|Thriller,Johnny Depp,137722,Lena Olin,bare butt|gnosticism|lucifer|rare book|sex,http://www.imdb.com/title/tt0142688/?ref_=fn_tt_tt_1,638,Spain,38000000
Michael Apted,47,118,150,Paul Guilfoyle,24000,Crime|Drama|Mystery|Thriller,J.K. Simmons,14066,Bill Nunn,cartoon on tv|doctor|emergency room|hospital|nudity,http://www.imdb.com/title/tt0116259/?ref_=fn_tt_tt_1,75,USA,38000000
Stephen Herek,107,105,65,Dagmara Dominczyk,628,Drama|Music,Beth Grant,34592,Matthew Glave,cover band|fired from a job|heavy metal|rock star|tribute band,http://www.imdb.com/title/tt0202470/?ref_=fn_tt_tt_1,191,USA,57000000
Lee Daniels,323,109,304,Gabourey Sidibe,940,Drama,Mo'Nique,86955,Mariah Carey,abuse|african american lesbian|lesbian|lesbian couple|school,http://www.imdb.com/title/tt0929632/?ref_=fn_tt_tt_1,275,USA,10000000
Ridley Scott,37,129,0,Jason Marsden,12000,Adventure|Drama,Jeff Bridges,17859,Ethan Embry,acrophobia|jamaica|male bonding|prostitute|tragedy,http://www.imdb.com/title/tt0118158/?ref_=fn_tt_tt_1,89,USA,38000000
John Carpenter,297,109,0,Richard Masur,957,Horror|Mystery|Sci-Fi,Wilford Brimley,258078,David Clennon,alien creature|alien life form|antarctica|isolation|paranoia,http://www.imdb.com/title/tt0084787/?ref_=fn_tt_tt_1,911,USA,15000000
David Twohy,302,127,123,Nolan Gerard Funk,14000,Action|Sci-Fi|Thriller,Vin Diesel,125305,Bokeem Woodbine,alien|left for dead|mercenary|survival|vomiting,http://www.imdb.com/title/tt1411250/?ref_=fn_tt_tt_1,343,USA,38000000
Jeb Stuart,38,118,11,Claudia Stedelin,37,Crime|Mystery|Thriller,Gregory Scott Cummins,9740,Ted Markland,deputy|fbi agent|knife held to throat|serial killer|sheriff,http://www.imdb.com/title/tt0119210/?ref_=fn_tt_tt_1,81,USA,37000000
Steve Miner,31,110,49,Usher Raymond,1000,Action|Adventure|Drama|Thriller|Western,Tom Skerritt,4757,Leonor Varela,army|mexican|orphan|texas|texas ranger,http://www.imdb.com/title/tt0193560/?ref_=fn_tt_tt_1,67,USA,38000000
Gil Kenan,118,90,27,Toby Jones,13000,Adventure|Family|Fantasy|Sci-Fi,Bill Murray,52908,Harry Treadaway,box|food|mayor|pipeworks|scientist,http://www.imdb.com/title/tt0970411/?ref_=fn_tt_tt_1,102,USA,55000000
Paul Thomas Anderson,546,144,0,Jeffrey W. Jenkins,378,Drama,Mike Howard,105144,Bruce Goodchild,drifter|past life regression|psychological testing|right hand man|scientology,http://www.imdb.com/title/tt1560747/?ref_=fn_tt_tt_1,405,USA,32000000
David Leland,21,97,2,Ryan Cartwright,4000,Adventure|Comedy|History|Romance,Hayden Christensen,6691,David Walliams,breasts|nude nun|plague|russian nobleman|two word title,http://www.imdb.com/title/tt0437954/?ref_=fn_tt_tt_1,28,Italy,38000000
Gary Fleder,86,130,39,Nicole Beharie,2000,Biography|Drama|Sport,Dennis Quaid,16673,Charles S. Dutton,african american|coach|football movie|nonlinear timeline|syracuse university,http://www.imdb.com/title/tt0469903/?ref_=fn_tt_tt_1,45,USA,40000000
J Blakeson,194,112,5,Maggie Siff,17000,Action|Adventure|Sci-Fi|Thriller,Chloë Grace Moretz,55617,Nick Robinson,alien|attack|based on novel|based on young adult novel|fear,http://www.imdb.com/title/tt2304933/?ref_=fn_tt_tt_1,266,USA,38000000
Ryan Coogler,437,133,0,Phylicia Rashad,13000,Drama|Sport,Sylvester Stallone,146708,Graham McTavish,boxing|boxing match|fight|montage|philadelphia,http://www.imdb.com/title/tt3076658/?ref_=fn_tt_tt_1,362,USA,35000000
Ben Affleck,378,150,0,Jon Hamm,10000,Crime|Drama|Thriller,Jeremy Renner,280228,Owen Burke,bank manager|bank robbery|criminal gang|heist|prison,http://www.imdb.com/title/tt0840361/?ref_=fn_tt_tt_1,420,USA,37000000
Kirk Jones,170,110,52,Dennis Quaid,10000,Comedy|Drama|Romance,Anna Kendrick,57266,Thomas Lennon,baby|expecting twins|hawaiian shirt|photographer|pregnancy,http://www.imdb.com/title/tt1586265/?ref_=fn_tt_tt_1,89,USA,40000000
Ethan Coen,341,96,1000,Brad Pitt,24000,Comedy|Drama,J.K. Simmons,248468,Kevin Sussman,cia|divorce|embassy|gym|memoir,http://www.imdb.com/title/tt0887883/?ref_=fn_tt_tt_1,545,USA,37000000
Jennifer Flackett,139,96,3,Anthony Simcoe,18000,Adventure|Comedy|Family|Fantasy,Gerard Butler,28109,Christopher James Baker,author|girl|island|reading|scientist,http://www.imdb.com/title/tt0410377/?ref_=fn_tt_tt_1,110,USA,37000000
Ron Howard,393,123,2000,Olivia Wilde,26000,Action|Biography|Drama|Sport,Chris Hemsworth,312629,Alexandra Maria Lara,1970s|female rear nudity|formula 1|rivalry|sex with a nurse,http://www.imdb.com/title/tt1979320/?ref_=fn_tt_tt_1,475,UK,38000000
Paul Thomas Anderson,224,188,0,Neil Flynn,786,Drama,Patton Oswalt,241030,Jim Meskimen,abusive father|coincidence|fictional game show|fictional quiz show|multiple storyline,http://www.imdb.com/title/tt0175880/?ref_=fn_tt_tt_1,1437,USA,37000000
Kevin Smith,203,107,0,Tracy Morgan,13000,Action|Comedy|Crime,Bruce Willis,75347,Kevin Pollak,baseball card|detective|partner|thief|wedding,http://www.imdb.com/title/tt1385867/?ref_=fn_tt_tt_1,176,USA,37000000
Christian Ditter,148,110,11,Damon Wayans Jr.,2000,Comedy|Romance,Alison Brie,39440,Nicholas Braun,motor scooter|new york city|newborn baby|scooter|single,http://www.imdb.com/title/tt1292566/?ref_=fn_tt_tt_1,83,USA,38000000
Charles Martin Smith,131,113,188,Michael Roark,11000,Drama|Family,Morgan Freeman,17948,Harry Connick Jr.,boy|dolphin|prosthetics|tail|trap,http://www.imdb.com/title/tt1564349/?ref_=fn_tt_tt_1,86,USA,37000000
Catherine Hardwicke,350,122,308,Taylor Lautner,17000,Drama|Fantasy|Romance,Kristen Stewart,348007,Anna Kendrick,blood|high school|love|school|vampire,http://www.imdb.com/title/tt1099212/?ref_=fn_tt_tt_1,1535,USA,37000000
Nick Cassavetes,129,116,415,Laura Harring,18000,Crime|Drama|Thriller,Denzel Washington,98899,Anne Heche,health care|heart transplant|hospital|hostage|insurance,http://www.imdb.com/title/tt0251160/?ref_=fn_tt_tt_1,394,USA,36000000
Les Mayfield,40,93,10,Dave Chappelle,789,Action|Comedy|Crime|Thriller,Peter Greene,60572,Tamala Jones,detective|diamond|jewel|police|thief,http://www.imdb.com/title/tt0181316/?ref_=fn_tt_tt_1,144,USA,65000000
Rawson Marshall Thurber,289,118,43,Molly C. Quinn,740,Comedy|Crime,Laura-Leigh,316671,Thomas Lennon,fake family|male frontal nudity|marijuana|mexico|stripper,http://www.imdb.com/title/tt1723121/?ref_=fn_tt_tt_1,301,USA,37000000
Fedor Bondarchuk,14,115,35,Fedor Bondarchuk,463,Action|Adventure|Sci-Fi,Yuliya Snigir,4387,Aleksey Serebryakov,22nd century|first part|friend|guard|space opera,http://www.imdb.com/title/tt0972558/?ref_=fn_tt_tt_1,21,Russia,29500000
Jonathan Mostow,72,93,84,M.C. Gainey,551,Action|Crime|Drama|Mystery|Thriller,Kathleen Quinlan,38399,J.T. Walsh,car breakdown|diner|jeep|paranoia|violence,http://www.imdb.com/title/tt0118771/?ref_=fn_tt_tt_1,218,USA,36000000
Irvin Kershner,89,121,883,Klaus Maria Brandauer,180,Action|Adventure|Thriller,Bernie Casey,48636,Barbara Carrera,british|character says now that you're on the case i hope we're going to have some gratuitous sex and violence|cruise missile|missile|nuclear warhead,http://www.imdb.com/title/tt0086006/?ref_=fn_tt_tt_1,214,UK,36000000
Steve Pink,265,101,38,Collette Wolfe,496,Comedy|Sci-Fi,Charlie McDermott,139184,Crystal Lowe,cheating wife|drug reference|maintenance man|male vomiting|promiscuous woman,http://www.imdb.com/title/tt1231587/?ref_=fn_tt_tt_1,243,USA,36000000
Charles Martin Smith,54,107,188,Taylor Blackwell,11000,Drama|Family,Morgan Freeman,6069,Harry Connick Jr.,dolphin|latex gloves|medical scrubs|purple gloves|turtle,http://www.imdb.com/title/tt2978462/?ref_=fn_tt_tt_1,33,USA,36000000
John Frankenheimer,126,124,287,James Frain,9000,Action|Adventure|Crime|Drama|Family|Fantasy|Romance|Thriller,Charlize Theron,31113,Clarence Williams III,casino|christmas|christmas season|girlfriend|release from prison,http://www.imdb.com/title/tt0184858/?ref_=fn_tt_tt_1,212,USA,34000000
